just recorded a jazz orchester and got the applause of the musicians for the good sound  .
as for mic issues i hear about , for the price its great  .
if you are looking for a pro camera , then you will have to pay the price for one  .
this if for the rest of us .
even though it has no hdmi cable , i got a firewire cable and can download hd to my laptop  .
the pinnacle software i got for free , works great and that is where the firewire cable works best  .
the software can control playback of the camera through the firewire cable  .
i do not own any hd viewing equipment , but with the upcoming birth of my first child i figured i'd thank myself in 20 years for capturing the memories in 1080i  .
the hv10 is a fairly low    priced hd alternative , and i love the small form factor i'm using premiere pro to capture and edit my clips , which are posted online right now (dvd later) my only complaint (a minor one) is that the wrist strap is a bit tight for my hands  .
this makes it tricky to hold the camera and also use the zoom control  .
i'd like to see the zoom control mounted in the rear with thumb access .
i have traveled with many video and still cameras  .
this fits in my pants pocket and takes great video still photos  .
i have bought many camcorders over the last 3 years and this is by far the best one .
i have had a dozen camcorders over the years and this one is just on a completely different level  .
the resolution and picture quality is nothing less than amazing  .
i live in sf and get ota hdtv in 720p and 1080i and the picture this camera delivers is every bit as good  .
in addition , i plugged it in to my macbook pro and it is automatically recognized in imovie hd and i is able to download the recorded video to my computer for editing with the click of a button  .
a mic jack would be nice , but does not affect me  .
however , it is difficult to get a consistently smooth zoom because the zoom switch is tiny  .
the difference between slow zoom and fast zoom should be more pronounced  .
i am sure that i will get used to it after time in conclusion , zero buyer's remorse i friggin love this camcorder on a side note , i ordered a canon sd800is digital camera at the same time and had to send it back it is a total piece of crap with completely unacceptable picture quality .
i've been really happy with this camcorder  .
picture quality is breathtaking on hd via component inputs , downsamples fine to dv for making dvds in imovie/idvd  .
low light capability is not as bad as some reviews  .
works fine in a normally lit room or at dusk i'm using it a lot for taking photos  .
have a look at  .
http  //www  .
flickr  .
com/photos/hbtphotos/  .
for some sample photos taken by this camera .
overall , this is a very good hd camcorder  .
but , why is it missing hdmi output  .
i just used this on a two week safari in botswana and it performed perfectly in that dusty environment  .
i had no problems what    so    ever  .
no glitches or lock    ups at any time the lcd screen is the best i've ever seen  .
you can see it well in bright daylight  .
i tried to use the viewfinder as much as possible , as the lcd drains the battery  .
the viewfinder has an adjustment for the diopter of your eye (so no need for glasses) i liked the compact size  .
it fit perfectly in the palm of my hand and stayed there even when the hippo brushed the boat i bought an extra battery that is larger than the one provided , as i never knew how much video i would shoot on each trip i now have to edit through four hours of tape and 4 gb of stills  .
i used the 2 gb mini    sd cards from san disk and kingston .
thanks for the review , which will definitely help buyers to make a more informed decision when selecting high    definition consumer products i would like to add one comment , though  .
the review states that canon hv10 records in 1080/60i , that��s a resolution of 1920 x 1080 at 60 interlaced fields per second , which is not accurate  .
although the full resolution of 1080i atsc standard is indeed 1920x1080 pixels , but hdv resolution is limited to 1440x1080  .
the pixels are anamorphic , i  .
, they are stretched horizontally to provide 16  9 aspect ratio of the whole picture lance  .
http  //www  .
camcorder    battery    shop  .
com  .
i bought this camera for one reason , to get better low light video quality  .
the sony camcorder i had previous to this is terribly grainy when shooting indoors with ambient day light conditions  .
with the cannon i can shoot indoors and only in very low light do i start to see the video degrade i do not care that it is not bundled with software  .
i find any software that is included with cameras (camcorders and digital cameras) to be useless anyway the controls (particularly the zoom control) takes a little getting used to , but otherwise this camera is easy to use in closing i'm very satisfied with this purchase  .
i purchased this camcorder in 14 months ago , november 2006 , for my family holiday disney vacation  .
it is a replacement for my sony digital 8  .
the viseo quality is outstanding  .
in low light it gets a little muddy , but it is much higher quality that any other camera that i have used the compact size is the main reason that i chose it over the sony  .
it actually fits in all of my jacket coat pockets  .
the image stabilization works well and the internal flash video light do a nice job when the subject is close the only negative thing to say is that the sound is not very directional because the mic is mounted on the top of the camera  .
so the sterio separation is poor and when there is alot of ambient noise , the subject's sound may be a bit washed out  .
i understand why there is no front mounted mic , because of the size and orientation , but a mic jack would have been a nice addition , even if it is in the form of an accessory shoe , like sony's the bottom line is that i am happy with my choice    the tiny size and fantastic picture quality are well worth the $1100 that i paid .
this a pretty neat little camcorder  .
for those folks considering a consumer    level camcorder that can do it all (at a reasonable price) , this is one to give serious consideration to  .
the video quality is excellent , still pics are very good too , audio quality is mediocre , however  .
one of its biggest attributes (its compact size) also contributes to one if its most significant drawbacks (poor ergonomics)  .
however , once you've worked with it a while it becomes tolerable  .
other issues to consider are its lack of video editing software and the fact the camera only comes in a tape version (no hard drive)  .
evenso , this unit probably represents the best value in consumer hd camcorders available right now .
i bought mine from costco  .
com for $800  .
it is more than i is looking to spend on a camcorder (it's not like i'm going to make an inde    film anytime soon)  .
being a mac person , i really needed one that is compatible with imovie hd  .
that ruled out minidvd models right off the bat  .
hdd would've been nice , but the picture quality was not there the canon hv10's 1080i picture quality is amazing  .
the built    in led light is extremely bright so i don't use it as much , but it's there if you need it  .
with firewire (not included) , it connects directly to my macbook pro and i can edit using imovie hd (awesome  .
i read a lot of complaints about the software that canon camcorders come with  .
i haven't even unpacked that cd the auto focus is extremely fast and the auto lens cover is fast as well  .
the view finder is very clear , even outside in daylight because of the upright design , you hold it near your chest for stability  .
then with the mic located on top of the camera , i could hear my breathing in the recording like darth vader  .
they did not include an external mic plug to fix this  .
zoom control is okay , but hard to keep the camera steady while pushing any button with the upright design  .
maybe that's why they went to a palm design for the hv20  .
the grey menu control wheel should've been on the left , not the right  .
i have to strain my right thumb to use it and it's impossible to keep the camera steady while using it it really is the best bang for the buck if you're looking for great picture quality .
hdv is a promosing new technology ,  .
the video or pix quality much better than traditional video camcorder hdv give a 3d look on objects , however , the 3d quality is just good , not great by any means the locations of buttons makes this feather weight camcorder quite difficult to handle with 1 hand overall get this hdv if u r tired of standard video  .
or u can wait for more mature and better hdv camcorders down the road .
i'm one of those people who is a bit of a techie but always behind the curve a year or so , heh heh  .
anyway , i decided to make the complete hdtv switch in 2007 , and part of that , is to retire my old sony dv for an hd all i can say is that this canon is such a quantum leap over the old format that words fail me  .
if one were to do an a/b video quality comparison (audio too  .
) between standard and hd , it would ruin one for life [i should state at this point that i'm playing the video (for the most part) on a pc through a geforce 7950gt hdmi to a 32 viewsonic lcd  .
video burned on a standard dvd is fantastic , but to bluray it's absolutely stunning  .
i know , i know the blue discs are pricey right now , but i do not see how you can do hd right without one  .
anyway , definition and color seperation are infinitely better than what i have ever experienced from a consumer camcorder even on a boat in moderate seas , the image stays sharp and focused , without the ghosting or jitteriness i've experienced from dv in the past i rated this fantastic camera an 8 simply because the operating interface is counterintuitive (until you get used to it) , and the menu is a bit confusing and prone to leading you in the wrong direction defaults work best it seems , though the low light function is awesome  .
i see here the price is down to about $900 (i paid $1 , 100 a few weeks back) , so it's likely the bloody thing will be down around what a standard high    end camcorder cost shortly if not , it's definitely worth the money now  .
i purchased this camera to record family events , and did'nt want to have to carry seperate cameras for still photo , and videos this camera has worked out great  .
it did take some time to get used to the very awkward controls , and terrible speaker location , you must whisper while recording the video , and still photos this camera produces will quickly make you forget about  .
this camers little quirks .
i have no problem with the verticle design  .
i have gotten used to it ok this is the low down  .
this camera provides great video at 1440x1080 in hdv format  .
apparently canon has a 1920x1080 cmos and then (scales down  .
) just like sony to meet the hdv format of 1440x1080  .
uug  .
how stupid  .
on the positive side , adobe premiere cs3 supports 1440x1080 video well  .
that software does not even support out of the camera 1920x1080  .
however , i think there might be a trick using the hdmi port if the video can be sent directly from the cmos to an hdmi card in the computer without being processed by the camcorder  .
for this reason i am now looking at a camcorder with hdmi (such as the hv20)  .
with the black magic design hdmi card , it might be possible to get real 1920x1080 video off of one of these cameras  .
i am not sure at what point the video is scaled down by the camera for the hdv spec  .
if the video can be pulled off at 1920x1080 then it could be dropped onto the adobe premiere timeline as 1920x1080 sequential images (like the idea behind motion jpeg) and then we are set  .
real hd 1920x1080 video  .
the camera can already do it but the folks at sony keep screwing up the works with their hdv and now their avchd  .
why do not you all just stop the crap and give us our 1920x1080 video and we will determine how to process it once we have it  .
avchd h  .
264 is a great encoding format (blu    ray , etc  .
) but for true editing you need sequential images that are not interlaced  .
all of these cameras are interlaced and therefore none of them give true 24p (non interlaced images)  .
that is the problem  .
believe it or not the cheapie cameras that use motion jpeg come closer to giving us what we really need as editors  .
however , the most promising idea is hdmi out of the camera into hdmi port in the computer using black magic design's software to create sequential images  .
that is what i am going to try next  .
canon and sony only want to sell logos to unsuspecting consumers that are caught up in the compression craze when in fact the most serious compression should come after editing on the timeline not before  .
and to sell a 24p consumer camcorder when it can not do 24p because of interlacing is misguided  .
shame on you canon (hv20)  .
it is now almost 2008 and we are still using interlaced camcorders that were developed for television years ago  .
let's get with the times .
i bought this camera fully aware of the lack of hdmi and lack of external mic jack , so i'm not going to complain about that  .
i am very happy with the video quality  .
it looks wonderful on my plasma high    def tv unfortunately , i'm very disappointed that you can hear the tape mechanism on the audio track  .
the review that stood in a quiet room and still did not hear the hum , must have an exceptionally quiet one , becasue it is easily discerable in normal noise settings  .
i'm really amazed that they would design it like this .
every now and again company's shoot themselves in the foot  .
to produce a high quality image video camera without a high quality sound imput jack is just such a foot shooting exercise .
hv10 does not come with any way to capture or edit video  .
when i had trouble using powerdirector , canon customer care (  .
) told me they do not test the camera with third party software  .
since they have no software of their own , i guess you're suposed to do their testing for them  .
by the way , the trial version of pinnacle will not work for capture either .
god i thought this camera would be amazing for me    it sounded too good to be true    1080 hd for an unbeatable price turned out it is too good to be true the audio quality is unbelievably bad  .
the microphone is positioned on top of the camera , so it picks up all the nasty wind noise , as well as the operators every breath basically , it sounds like im having sex everytime i breath also , there is no external plug for a microphone do not buy  .
stay far away .
