you will love it  .
all 3 cameras have great auto red eye fix but i think it does slow the camers down a bet if your new to this camera stuff remember to format your sd memory card 1st thing .
this camera , along with the lumix fz28 are at the top of the superzoom pile (the sx1 is costing alot more)  .
i have owned this unit for a couple of months now , and after a few hundred pics , i could not be happier with the results  .
if you are new to canon products , i would urge you to read the manual a few times , as i did , in order to truly appreciate what this camera can do  .
you wont be disapointed  .
joeb  .
this camera is a an excellent camera for anyone even half way serious about taking photos  .
obviously it is not a pocket camera but it rocks  .
i took some photos of people surfing and i is not even close at all and the photos are amazing  .
really .
this camera is my favorite so far  .
i started out years ago with the earlier canon a    line pocket camera and advanced to the canon s2 , s3 and s5 cameras  .
while there was not much difference between the s2 , s3 and s5 in terms of features and ergonomics , the sx10 is is a great improvement over all  .
for starters , canon finally fixed the issue with the camera lens  .
while it's not perfect , it stays on at least and does not pop off constantly like it did on the previous s series  .
also , the buttons have been moved to more convenient places around the camera  .
of course , the biggest improvement in my eyes is the 20x zoom  .
while the 12 megapixels are impressive , ( i rarely blow picture up larger than 8x10 anyway) , it's the 20x zoom that makes this camera second to none  .
even at full zoom , the pictures are clear and the colors are accurate  .
(albeit , when zooming to 20x , the object can and does appear blurry on the lcd screen , but when downloaded and printed out this is not the case  .
) i love the color accent and face detection modes , and the fact that you can zoom in while taking a video  .
i honestly have no use for my camcorder anymore as the sx10's video mode is that good  .
battery life is awesome  .
just make sure you have two sets of re    chargable batteries if you use the lcd and the video feature (which you will often  .
i recently bought the newest canon xsi dslr and had it for a couple of weeks before selling it on e    bay  .
i missed my lcd viewfinder , zoom lens , and video option that much  .
when i found out that canon had upgraded the s5 to the sx10 , i is thrilled  .
i bought it as soon as it is released at a reasonable price online and i have not been dissappointed  .
i have taken many fall foliage photos and many people have told me they look professional  .
as an amateur hobbyist , i mostly use the auto setting for outdoor photos , and the program setting for low light situations , but a more advanced photographer would appreciate all the other manual settings , that make canon the best in the business  .
i highly recommend this camera for anyone who is looking to expand their horizens , but is not yet confident enough in their abiliy to delve into the world of dslrs updated  .
on nov 3 , 2008  .
by far the best megazoom out there  .
i own the powershot 2s is and one of the 10 optical zoom panasonics and have used most of the others  .
this one is by far the best .
this one does it all in one package  .
after years of shooting with an slr , i made the leap to a this camera and love it , love it , love it  .
lens   great lens with broad reach , good clarity and fine detail allows for hand held shooting in most situations with excellent results  .
macro is very sharp and 586mm covers the range of what most photographers would ever need body   good feel  .
balanced  .
nice size  .
feels like an slr without the need for a carrying case for the extras needed with an slr 10 mega pixels gives great detail in final product can shoot fully automatic or set anything that you like so that you can get the results you expect from an slr .
ok my mom's boyfriend had just gotten one and we can not seem to figure out how to remove the time stamp on his camera so if anyone could help that would be much appreciated  .
just for another bit of information its a canon powershot sx20 is  .
its a good camera but a bit too large for beginners  .
i would recommend this camera to anyone who loves photography as a hobby and wants something more professonal , but still allows the photographer the choice of point and shoot or manual without having to lug around two cameras .
updated  .
on nov 8 , 2009  .
great camera for a avid shooter who does not want the budget of a pro , its not the slr but all the lenses  .
camera is compatible with slr flash packs and basically acts as an slr w/o raw mode and the back that the 28    520 lens doesnt screw off .
i did a lot of research on cameras , and this one really stood out to me  .
when it arrived , it took a little getting used to , but it did not disappoint me and will not disappoint you unless you are looking for the performance of a $1500 setup out of it  .
even then , i would be willing , after having practiced with it , to take on many of the dslr's i have seen  .
this is definitely a camera with which you get bang for your buck  .
don't be scared by claims that the grip is bad , the zoom is slow , the lens cap does not have a strap , etc the camera is worth every penny .
i is looking for a video camera as my son has become mobile and , although i love my dslr (nikon d300) , i wanted a second/replacement camera  .
i found the canon and loved it when i tried it at the store  .
i decided to buy one and haven't been disappointed  .
the video mode is excellent (not hd quality , but i knew this) and the optical zoom is great  .
although the camera is a little bulky , and not really a replacement for my dslr camera in body size , i really like how funtional it is  .
if all i'm doing is still pictures , i take the d300 , but if on a family outing i take both , but usually end up using the canon exclusively  .
i haven't found a negative on this camera yet well , i would say auto mode seems to shoot in iso of 80 which i do not like  .
it probably is user error and i am too lazy to read the manual  .
however , i just put it in program mode and use 400 iso  .
anyways , if you cannot tell by now i love this camera  .
seems solid , like the ease of use and looking forward to getting into the features  .
lens is fantastic , and the processor is fast , lcd is crisp and visable in the day light  .
good choice , i'm happy , and it is fairly cheap .
i am a retired professional artist and have used every media available  .
i now specialize in pencil art and photoshop  .
i have migrated to photography as a spin    off of photoshop  .
i discovered combinations of photography and free hand art is a unique way to express my art  .
i thrive on mental challenges , as a way of remaining young , so i joined the villages photography club when i saw some of the photos taken by members i realized my little nikon coolpix pocket camera would not be suitable , so i went to the store to purchase a large nikon camera  .
expense is not a factor and i expected to spend about $1 , 000  .
in fact i thought an slr would be mandatory to get the kind of quality i is looking for  .
the salesman told me that for the price i could not get much better quality , than the powershot the flip    and    twist lcd immediately sold me on the canon powershot sx10 is  .
i compared features of every camera not concerned about price and this camera easily won me over  .
when i discovered it is only $360 i is pleasantly surprised  .
now i am an enthusiastic canon user after i temporarily lost my lens cover , because it fell off my strap , i fashioned a lens cover tether by drilling a hole through the cap , attaching a jewelry    clip on chain , using a cable tie which i fashioned from materials bought at jo    an fabrics  .
a clumsy solution  .
canon engineers should have provided a better arrangement  .
if there is a lens cap made by canon with a well designed snap    on tether i would buy it i have spent many hours the last month learning my camera using the manual , and going to various web sites and buying books  .
i find that every expression of photography is handled by my powershot , and am determined to learn all facets of this fine piece of equipment  .
of course i am retired , have two college degrees and have the time to spend pouring over the terrible manual  .
i wonder how the young first time camera owner can learn how to correctly use this fine camera .
all in all a good buy , but it pays to get lithium aas  .
don't zoom in on close shots    go point blank if you must  .
if you don't want to set the white balance , go for tungsten for indoor shots  .
don't leave the exposure for too long , because the photo will be reddened  .
however , i don't regret my buy , and i would recommend this to anyone that is at least at the hobbyist level  .
i would give this a 5/5 , but i have not used it much yet , so it's a 4  .
5/5 p  .
can the guys at cnet make a video of the sx10 is  .
cnet australia and cnet uk already have .
i would highly recommend this camera .
after seeing this camera on display in an electronics store , i knew it is a must have camera , and simply paid retail for mine  .
i'm more used to the old 35mm film cameras where i could get more creative , but still recommend this camera  .
i had compared several cameras in store prior to finding this one , and rejected all of them mostly because of the fact that they had blurred view finder images , poor auto focus etc  .
but this canon does not have any of these troubles  .
i've shot nearly 1 , 000 shots with it and it contines to impress me every time  .
for 99% of us who want something more sophisticated , this is the camera to get  .
i really enjoy this camera  .
alright just a quick review on my gear aside from the sx10 is , i also have a rebel xsi and a canon 7d it is very important to point out that this is not a dslr and as much as people want it to be , it will never compare raving said that this is deffinitely the best bang for the buck in it's own category  .
some pics even do look close to some entry level dslrs even with nikon having a longer zoom (24x) , the image quality in this camera is fantastic for a point and shoot  .
even with the zoom at it's maximum range , you can still get awesome images assuming that you have enough light o increase the shutter speed to use it freely or a tripod if you need to use some apperture images have no shadowing whatsoever very detailed , very good especially at low iso at night time i wished for 1 little thing 1    that the flash has a longer range  .
unfortunatelly , after around 12 to 15 ft you wo not be capturing much at nigh , unless you have time to adjust settings to better capture the natural lighting the burst mode is something that i really enjoy one pic after another and the image is still great manual flash is awesome if you have some light and a little knowledge of how to set the camera for night time , you can take lots of pics without dragging attention to yourself  .
to use the flash , you just need to touch it up although there's no hd , the video quality is still awesome and i do mean very very good  .
good sound and claer images and you can use the zoom while shooting the video i love this camera and if you take a little time to learn i's features i guarantee you will love it too your weekend at disney or at the beach will be recorded at it's best with this baby .
i like the camera because of its feel and weight  .
after a little practice and reading i found i could take photographs instead of pictures  .
the cameras manual settings although not as numerous as those found on dslr's there are enough that an amateur can use with relative ease  .
the camera and all it is capable of doing seem a bit overwhelming at first i found that reading the manual and playing around with it is pretty simple  .
the thru the lens view finder has a diopter and is great for wide angle shots and 3x or 5x zoom  .
the disposable lithium batteries i use last an incredibly long time  .
i carry four extra batteries in my case at all time so i will never find myself without power  .
the video feature is pretty sad  .
want decent video  .
buy a canon digital camera and a canon or panasonic video camera  .
indoor shooting with or without flash is inconsistent  .
adjusting megapixels , awb and shutter speed can help  .
the best thing to do is buy a decent flash as the camera has shoe mount  .
i have owned this camera for one year and use it almost everyday  .
with all the mostly useful features and manual settings some patience i am for the first time that i can take photographs that i frame and hang in our home  .
the camera is bulky and not the easiest camera to carry around but it is a small inconvenience compared to the photographs i create .
everyday and all across the country , i am looking for the perfect shot  .
this camera has allowed me to get some really great shots without having to spend twice the money or more for equipment that i could not fit in my truck  .
just add tri    pod and lets go shooting .
i bought this at deltacamera  .
com for 267  .
00 and due to the savings added a 270ex speedlite which is a perfect fit for this camera  .
this camera is way easier to use than the s2is that it replaces although i am a bit concerned about the e18 kiss of death  .
i got 5 good years out of the s2is though  .
none of these cameras are built like many of the old venerable 35mm film machines but what is these days  .
if i get 5 years out of this and as manyy pictures i'll be happy button placement is good and in my opinion the menu is far easier to navigate than my s2is was  .
lensmate has a filter solution for this camera but why should we have to go to an outside company for something that should be such a no brainer  .
if you get one do not bother downloading the software its just redundannt to the software that comes packaged in almost all computers these days for someone wanting more than a point and shoot and who likes a bulkier camera with a great option set and doesnt want to commit to a true dslr's price this will make your picture taking soul happy updated  .
on jul 20 , 2009  .
if you dont do night shots or sport shots , this is perfect  .
the 20x zoom is amazing , the 10mgpx res compliments it perfectly , the small form factor and the lightweight make it perfect  .
great results , great video and sound as well  .
all using popular sdhc and aa  .
(take that , sony)  .
it is a small camera slightly larger than my compact , and less than two pounds , which made it great for sticking in my bag  .
the cost is medium priced so it wo not kill me if i have to upgrade again in a couple years  .
right now it has everything i would want so hopefully will keep it for a long time  .
the zoom is perfect for the wildlife pictures and scenery  .
with studying the booklet , i hope to get even better and be more willing to get off the automatic button .
the camera is a wonderful piece of equipment , because it delivers almost studio quality work without having to think about it  .
the price is magnificent  .
i bought mine at best buy in march 2009 in palo alto , ca , and paid under $400 (tax included)  .
i have already taken over 2000 photos with it (my iphoto library can attest to that  .
) and it works flawlessly with all the programmes i normally use (iphoto , picasa , wonderful to work with)  .
i am a hobbyist , not a professional by any standard , but i am now learning the technical side of photography this camera allows me to explore that without breaking the bank  .
there is a fully manual option , a total swing of the pendulum from the auto feature that is most promoted  .
i use it for taking photos at church and what have you , and is able to even use it to help the police recently in submitting to them a photo i took of a girl who subsequently went missing i highly recommend this to anyone with a desire to rise above the generic point shoot category , but might not have the budget to become immersed in the world of photography  .
i even sent a few of my photos to a buddy of mine who is a professional photographer , and he is a devoted nikon fanboy  .
even he is suitably impressed with the quality of the shots , though his discerning eye could detect some blurring where dslr would not have had  .
fine , but that is apples to oranges  .
it is not a dslr , and probably should not be compared to one , but the mere fact that it is speaks volumes to the quality of the unit go to best buy or some other store where they have the unit on the shelf , and see if you can get to use it  .
i highly recommend purchasing some nickel metal hydride rechargeable aa batteries  .
i personally prefer lithium ion batteries , because of their form factor and the fact that they can be recharged separately from the camera or device , but then again , so can rechargeable aa batteries  .
i just have a personal preference , and the fact that i new this prior to buying the camera clearly indicates that for me this is not a deal    breaker try it , buy it , enjoy it , love it  .
it will do you well , you will not regret the purchase , and your photos will be living testimony to fact that it is a beautiful piece of equipment  .
relatively inexpensive , beautiful form factor , evenly balanced , attractive design , i highly recommend it .
originally i purchased the fuji film s2000hd and is not happy with it's performance (good price though)  .
so i returned it and now have the sx10  .
this camera has been a blast cycling though all the features  .
it took some time in the owners manual but there is a ton of things you can do (such as colour switch , colour accent , etc  .
the af it great and i have been able to snap some pretty decent indoor shots without a flash  .
there is endless shooting modes available and gives me (the novice photographer) the option to shoot auto are make an attempt at changing some of the settings i am off to vietnam so now i will give it the toughness test too  .
great choice of camera  .
i love this camera and have used it daily since i got it 2 months ago .
we upgraded from a canon a95 that we loved and used often (and that is repaired fro free under extended/courtesy warranty by canon for a failed digic ii chip)  .
sx10is blows that ol' workhorse away in terms of image quality , ability to capture an usable image , versatility , and tech/feature improvements (is , face detection , larger twist lcd , 20x optical zoom , better/longer video)  .
the a95 is more portable/almost    pocketable and we'll keep it as our backup  .
the sx10is will now become our workhorse , albeit a bit bulkier/heavier cannot get away with an unobtrusive smallish camera pouch any more and have to use a medium    sized bag now canon please redesign the idiotic lens cap (i bought an aftermarket lens tether) and the handgrip (i bought an aftermarket handgrip loop) and the button/control ergonomics and the user's manual  .
i had to ask a local ritz camera shop for help in figuring out the size for the filterlens adapter ring 52mm  .
canon although the lens hood accessory is a nice gesture , i think a starter memory card would have been a nicer gimme and much more useful  .
i bought some 4gb sdhc cards and a sdhc reader device from costco canon keep using the twist lcd design  .
it is one of the primary features i look for in mid    size digi    cams  .
prior to our circa 2004 a95 , we had a circa 2000 sony dsc    s50 that also has a twist lcd  .
sony stopped using that design and along with their idiotic/proprietary/$$$$$ memory card format , we stopped shopping sony digi    cams canon (and others) please stop with the idiotic megapixel wars especially for consumer    level cams  .
it is getting to be overkill and the larger the megapixel sizes the larger the file sizes  .
it is becoming unmanageable  .
yes , i know i can use lower quality settings to reduce the file size (or use compression software) , but that's like driving a ferrari in rush hour traffic why bother  .
this is almost the perfect ultrazoom digital camera  .
i hope the sx20 or whatever the successor is called next year improves the usability factors and maybe i'd upgrade again if there are significant improvements ymmv updated  .
on jan 5 , 2009  .
cnet's review need refining and more professional assessments .
disappointing low light performance with same poor low light result as my other canons a540 and sd700  .
thought new digic4 chip would do better (other canons are digic3) superzoom is super    duper  .
is is very effective  .
flash cycle time a little better than 540/700 but still feel slow (i guess due to aa battery format  .
overall , a good canon  .
but i still take the a540 to the park with the kids due to the smaller size and relatively similar picture quality  .
i would take the sx10 to sports events , graduations , or recitals , where you can take full advantage of the superzoom/is when you're sitting in the bleachers if you do not need the superzoom , i would buy the a590 or sd850 instead  .
these canons , overall price per performance    wise , would be a better deal .
i've had many canon compact cameras , and this one is the best so far , the lens error notwithstanding  .
i use this as my tourist cameras when i do not want or need to carry the big guns  .
the lens restart issue is a problem , but not a big one for me .
after the 2nd sx10 (canon replaced the 1st one , believed to be faulty) which continued providing the same dismal performance as the 1st one , i had had enough of missing out on photo ops of my two girls ; especially after i is taking pictures at my daughter's college indoctrination ceremony and a lady taking pictures with an iphone photos came out better than mine taken with my sx10  .
( so , after some extensive research , i chose the fz35 which arrived via 2 day delivery from amazon and man i have to tell ya even though i've had it less than a week now , out of the box it performed as expected , as a high end point    and    shoot camera when shooting in doors  .
the consistency with which the fz35 takes quality photos , with minimal to  .
mucking around with setting has made me a believer in the panasonic lumix fz35 ; as a true high end  .
point    n    shoot camera out of the box  .
overall , for me , owning the sx10 proved to be both a frustrating and very disappointing ordeal ; especially in light of the stellar performance i had received owing my 3 previous canons a1 , ae1 especially s1is also , check out this review of the fz35    .
video review of the panasonic lumix dmc    fz35  .
http  //www  .
youtube  .
com/watch  .
v  opxhpj4ww1a  .
hope this helpssome one .
this is the 3rd model is camera ive owned and glad to see they're attempting to do nice upgrades  .
the lens itself is great with a little wider view and the immense zoom lens  .
ive read reviews that it has a faster processor but ive experienced the shutter (even after manually changing) seems to lag a little  .
i'm always having to adjust for over    exposure and editing my pics .
given the size of this camera    you might as well get a real dslr  .
i plan to get either the nikon d80 or d90 or one of the canon eos series .
the camera is alright , but i don't need to hassel over files for the next couple years i'm used to a new folder for each days shooting , and each photo numbered consecutively from the very first , and with a date code as part of the number  .
i usually shoot about 5    10 , 000 photos a year , and it really helps  .
canon has none of these , and if you put in a blank memery card , it all resets to zero  .
no fun i'll tell you i do not have much else to say , except that i've had the camera 3 days , and i'm shopping for a new one .
like the telephoto , but hate mov format when everyone else is using mpg or avi my sony and nikon both shoot compatible video .
cannot give a bottom line until i get it back from canon  .
this problem is very frustrating as i bought the camera for use on a trip out of the country but had to ship it back to the retailer who is forwarding it to canon  .
canon's web site does not allow for it to be sent to the lab in the country we are visiting for warranty repairs as the info does not match the purchase info  .
quite a frustration to not have the camera for (they estimate) 6 to 8 weeks  .
will update this when i get the camera back .
took the same picture with s3 and s10 powershot at full zoom , it is a river and the other bank  .
the houses showed more details in the s10 picture because of more pixel and more zoom , but the water of the river being perfect in the s3 picture , is very pixelised in the s10 picture the control wheel is so loose i could not operate the camera properly i returned the camera .
i am looking for a camera for date/stamp because my job (livilihood) relies on photos with date stamp  .
i thought my sony dsc    s700 had date/stamp but i would have to have all the equipment and know    how of the above (and i do not) in order to print photos with the date  .
i just lost a case in a lawsuit because i did not have date/stamp on my photos , for those of you who cannot understand why a date stamp on a photo is soi mportant  .
it is a legal document  .
try getting a traffic ticket and have the officer show a date stamp photo with you in it muy importante  .
now do you understand  .
this review is helpful  .
thank you  .
so i do not buy another camera that does not put the date/stamp on the picture  .
and as stated you can always turn this function off ps i am 55 .
crap  .
buy a nikon , sony or kodak  .
anything other than a canon continuing from above cons  .
customer service is lousy  .
why they could not send me an email or call me regarding the problem for the repair is beyond comprehension  .
i need my camera frequently for work and pleasure  .
since the customer service rep had no idea when the back ordered parts would be available , i asked that a loaner be sent  .
nope  .
not possible  .
how about a new replacement  .
nope  .
not possible  .
meanwhile i have no camera nor any date for its return  .
unbelievable  .
buy something else  .
i am pissed  .
i purchased this camera to upgrade from my cannon a560 because i needed more zoom and battery capacity the camera features are very good but the sx10 is does not have the capability to put a date/time stamp on the pictures i just got off the phone with cannon tech support at 1    800    385    2155 and the tech support person assured me there is no way to make this camera mark a date/time stamp on the pictures  .
not only this but the cannon sx1 is does not have date/time stamp capability either  .
i hope the tech support person is wrong but it appears not i cannot believe cannon would produce a camera in this class without date/time stamp capability  .
the date/time stamp is a very common if not universal and standard feature on nearly all digital cameras this is tantamount to manufacturing automobiles with no seatbelts or windshield wipers  .
i is better off with my cannon a560  .
cannon used to make the best line of camera's on the market in my opinion apparently cannon is taking notes from american manufactures and throwing quality and common sense out the window a camera with no date/time stamp feature that is selectible is of no use to me  .
i am extremely disappointed in this camera .
it is an overrated piece of electronic crap that should not be allowed in the market place  .
this tirade comes from wanting to do multiple shutter takes with one depression of button , and i cannot tell if camera can do that , and manual does not refer to anything about it  .
thus , it's of no use to me  .
i spent hours trying to get video passed my computer and that's a no    go as well  .
it takes fair pictures , and i could have saved a ton of money by buying throwaway cameras .
i hope canon implements a refund plan to reimburse all the unfortunate customers like myself for this very defective product  .
the bottom line is canon would be wise to discontinue the sx10 is until it is overhauled .
