if you can get a reasonably priced used one , go for it       it's definitely worth it .
only took about 10 or 11 days from when i shipped it out for it to get back to me  .
the only thing i paid for is shipping it there , cost me like $4  .
30 or something from san jose , ca to il anyways , besides that  .
there are too many rad features to list , and i've already written a lot so i'll let the rest of the reviews do this camera justice i give this camera and canon as a company a 10  .
they deserve it  .
i feel like any other company just wouldn't do this  .
if the warranty had not been honored , the repair would have cost me nearly $140  .
thats like nearly 1/2 the value of the camera sorry , i'm ranting again a+ .
i read some people nit pic over features , but what i is looking for a great point and shoot camara with good pq and this camara fits the bill .
thumbs up for this little master  .
can fit in my shirt pocket and shoots amazing photos and videos  .
highly recommended .
this is a great small camera  .
awesome picture quality  .
it powers on very fast and its ready to shoot the first picture  .
all of this will happen in about 3 seconds  .
has awesome shooting modes and manual mode as well  .
i like to play a little bit as well  .
it fits and goes everywhere .
i bought this camera over a year ago and have shot about two thousand stills and several videos with it  .
for some reason it is only $279 back then and now street price is about $600  .
check out dpreview for best camera ratings  .
i went to yosemite with a friend who owns a $2000 canon dslr  .
my pictures came out better  .
sharper and more accurate in color  .
i cannot explain it really , especially when you compare his fat lens to my tiny one  .
also is very impressed with shots at night of christmas decorated houses  .
the colored lights were sharp and color defined with no burning or red shifting , and the camera handled the extreme contrasts of the lights and dark surroundings beautifully  .
video quality is also excellent except when zoomed in where pixilation becomes obvious  .
the metal body is very attractive and this camera does not feel cheap like many compacts do  .
again , low light performance is excellent , and the screen is quite fine  .
you can use the optical viewfinder when sun glare is a problem , but practice your framing because the viewfinder is way off  .
color saturation is outstanding , and i rarely felt the need to use photoshop i took a hundred or so shots of the san francisco carnaval on a semi overcast day  .
without the harsh shadows of a bright sun , the colorful costumes popped off the images and these were the most satisfying photographs i have ever taken  .
i'm not a pro , but i used to use ae1 programs and used to print and develop my own photos eons ago i took a full year of photography in college so i consider myself an advanced amateur  .
if you do not need to zoom a lot , this camera will do everything you want it to  .
that's pretty amazing for a camera that will fit in your pocket .
i've had this camera for at least 6 to 8 months now and i absoluty love it  .
i paid around $200 for it and for the price i paid vrs the quality of camera you just cannot beat it  .
i don't have any other camera to compare it to but i realy like this one  .
i turn it on zoom if needed press the button half way wait for the green box and take the picture now some of the pictures don't come out as nice as i would like but i just take another one (great thing about digitals with lcd) and most people that use film only expect one good picture out of a roll of film , so i get around 90% of my pictures to come out great  .
also with a 1g memory card i can take just over 700 pictures the size is great it fits right in my pokets and its easy to cary and hold if you expect to take pictures  .
the options for taking pictures are easy to use and redily availible for quick acsess  .
there are plenty of options like red eye reduction , iso , macro and a few others to boot  .
the only thing i didn't like about the camera is that there is no option to delete all pictures (wich all in all might not be a bad thing) but you just have to remeber to do it right after you download them to the cp and go into the camera ctr + a and then delete  .
i'm no profesinal but for me an avrige user for family and stuff it's great and the size make it perfict for travel the battery life is great i hav not had the battery die on me in the middle of shooting and if conserved right can last a few days without recharging  .
also the charger is smaller thatn the camera and is easy to take traveling .
i bought my camera off of beachcamera  .
com for a little over $200  .
it's strikingly simple , well designed , and compact  .
most people have already raved about the great features so i'll just mention three things it has a gravity sensor  .
i don't know if most cameras have this but just like the iphone , when you hold the camera vertically while viewing photos , it automatically shifts the picture for you so you can see it better  .
at first i had no idea why it moved by itself and then after i realized it , i felt all silly and giddy another feature i'm not too familiar with is the ability to change pictures into black and white and sepia  .
nice touch  .
again , i do not know if most other cameras have this , but it's really fun to use great mechanism for charging  .
i love how there are no cords in order to charge this  .
you're given a small adapter , you pop the removable battery into it , you plug it into the wall and when the light turns yellow it is fully charged  .
so easy and portable .
i have no compatibility problems with xp  .
i consider my photography skills very basic  .
i like the fact take 200+ pictures over the course of a couple weeks without a recharge  .
its small enough that i always have it in my pocket the video works great , better than my old kodak easyshare i chose it over the 630 because i wanted the viewfinder  .
my kodak is always low on battery power and i is concerned that with only the larger screen i would have problems  .
the battery life on the sd 600 is so good , i never worry about it  .
the screen is big and clear enough that my wife can see the pictures fine without her glasses every sunday i charge the battery overnight and i have enough to take 200    300 photos the following week  .
sometimes i forget and i still haven't had a problem  .
i use it for work verification photos and pictures of my kids i looked at a lot of digital cameras before purchasing this one  .
there are some good deals in the sub $200 range but you have to look for them  .
i paid $175 at staples in march 07 to sum it all up , unless this camera breaks , i do not see myself buying a new camera for a long , long time .
i recently updated from canon powershot sd200 to the sd600 and the difference is phenomenal  .
i cannot imagine a better camera for everyday use  .
closeups are super crisp  .
the 3x optical zoom is great  .
the 12x digital zoom is nearly perfect  .
movies on this camera are clear and i is able to zoom while taking the movie .
this camera is great  .
it takes superb pictures  .
my favorite thing about the camera is that it takes high quality video images  .
the zoom is great and the size is very comfortable  .
canon by far makes the best cameras  .
i had an olympus once and will never use them again  .
by far this is the best canon i have ever owned .
awesome picture quality  .
totally amazing  .
videos are cool with this too  .
but , what gets everyone's eye is when you're reviewing the pictures , if you took a portrait picture you can just tilt the camera and the picture turns sideways so you can see it better  .
so many people have thought this is just amazing  .
overall , i love this camera  .
as as freshman in college , i needed a camera to help me remember all the great times i had  .
i got my camera for christmas once i opened the package , i is surprised how small the camera actually is and how big the screen was  .
the second thing i noticed is the nice metal finish  .
i turned it on and started to test out the camera    turns on fast ; don't have to wait long to start taking pictures  .
3x optical zoom along with digital zoom  .
sturdy , durable , as far as i can tell , scratch proof  .
easy navigation  .
large screen  .
small size camera  .
battery lasts long compared to 2 aa or aaa batteries    takes decent quality video  .
cons  .
no extra battery if your first one runs out of juice or you lost your other battery  .
no case  .
comes with only 16mb sd card  .
it has been a couple months with the camera , and i have not had a problem since i've got it .
i did loads of research before buying this model  .
we needed something very small , no fuss , with reliable picture quality  .
we have used an older model of canon digital camera for the past 3 years , and have been fairly happy , but we needed an upgrade  .
we have been so satisfied with our purchase  .
it is affordable , high quality , and came in a very small package  .
we considered getting the very highly rated sd800 , but , frankly , i'm glad we didn't i'm no expert on cameras , but that's exactly why this camera is so perfect  .
you can easily switch from one mode to another , or quickly turn the flash off  .
in general , that's all i ever want to do  .
i didn't give it a 10 for the simple reason that the are a few features it lacks (such as image stabilization) , but i do not feel like i'm missing anything  .
if you're looking for something with more bells and whistles , i would go with the sd800  .
but if you want a camera that does the point    and    shoot thing like a predictable charm , this is it  .
despite small little glitches , it's a great camera to have in this price  .
i have used sony and i must admit that sony is little more user friendly than canon but there is a fair difference in image quality canon sd600 takes great photos and somehow capture amazing video clips too  .
one of the good features is dedicated button to transfer images to pc .
i recently bought the olympus fe    230 (after having an older canon) and quickly returned it for this camera  .
the olympus did have image stabilization , however , the picture quality is so crappy it did not matter if my subject (my toddler) is still or not  .
i would have given the canon sd600 a 10 out of 10 if it had the image stabilization feature  .
the camera takes amazing photos without it , but it would be nice to have .
i bought this canon camera last thanksgiving (2006) to replace another great canon 2 megapixal digital camera that i loved but that had over the years become a dated dinosaur if you're like me and used to an older slower performing digital cameras , you'll be amazed at the fast start up , sheer speed and performance when taking pictures  .
i'm a happy camper  .
this really is a great ultra compact point and shoot camera that you can fit into a pocket and take with you anywhere  .
feels sturdy canon is smart to continue making ultra compact cameras that include a small but usable optical viewfinder along with a nice sized 2  .
5    inch screen the 6 megapixals on this camera is more than plenty for the average point and shoot person buy this ultra compact camera with great canon quality built in while it's still available  .
at the great current prices , i'd be really surprised if it stays around much longer .
some people have said you cannot select how long you want the shutter to stay open for long exposures and this is a lie  .
please for the love of technology read the advanced manual or at least wait to review things till after you know what you're talking about  .
you can keep the shutter open up to 15 seconds in manual mode , you just need to enable long shutter times (switch to manual mode menu iso iso long shutter to on) see easy as apple pie  .
now to use the long shutter (func down to exp  .
menu left/right to select shutter time) wow  .
now as for having to have a super steady hand , no not really  .
i shake pretty bad and so far i have not had a blurry image , it's all in the settings my friends  .
just take your time and read up on this camera in the 2 manuals that come with it  .
if this is too hard go get a kodak or something .
excellent pix videos , versatility n programmability of manual controls are just some of the sexy features of this little babe ixus60  .
pix r clear enough 2 capture even dust particles or orbs , when shooting in night/dark  .
(dust particles while snapping photos in dusty areas or orbs while snapping in ghostly or haunted areas , ha ha  .
those who r crying over poor night photos , try this setting 2 get the true night pic better than its competitors like sony , casio , olympus , etc shooting mode    manual  .
exposure compensation    +2  .
skin tone    dark  .
metering method    evaluative  .
compression    superfine (for most settings)  .
flash    off (if object is illuminated)  .
flash    auto if there is poor light those who r crying over problems faced after connecting the cam with win xp , better install licenced version of windows xp  .
windows xp has clear n most simple way of communicating with wide range of cams , printers scanners u dont even need to install canon photo software those who r crying over lack of anti    shake feature , better use timer to snap the photos  .
set the timer to say 2 seconds and press the button , buzzer will beep and there u go  .
the software inside camera does the job of snapping the photo which r crisp clear and offcourse with 0% blurrrrrr best anti    shake by default is present in casion exilim series  .
but casio is no match 2 canon when it comes 2 indoor/close    up/night photos  .
remember anti    shake doesnt work well in night modes/while shooting in dark metering methods are simply mindbogling using that u can snap clear pix under bright lights  .
even when the cam is facing the light source slight con is when the low battery warning appears then u have roughly 10 min 2 finish up the photo session  .
so b quick or carry a spare battery with u .
i love this camera  .
just bought it about a month ago and have had several occasions to use it  .
it takes great pics , some better while on manual , so you can make use of all the great settings , such as   inside , pets , nighttime , fireworks , snow  .
the pics are very clean and crisp , and the movie option is pretty cool    you can take short movie clips and e    mail them  .
you'll definitely need an additional memory card and an extra battery (both easily and cheaply purchased on ebay)  .
i also got a card reader , so no need for cords and loading the software onto every computer i bought the camera (brand new) and all the accessories (carrying case , memory card , cleaning case , small tripod , card reader) on e    bay for $239  .
great buy  .
i've read several reviews where people mention being concerned about scratching the screen  .
i found some screen protectors on ebay and they work perfectly ; and they do not distort the lcd screen at all  .
just search   canon sd600 protector or guard  .
they were $1 + s h and well worth the price  .
no further need to be super careful about simple scratching , dust and finger marks overall , a great camera  .
highly recommended  .
i am so happy with this camera  .
i had originally purchased a sony dsc s500 and is so disappointed with it  .
i returned it and replaced it with this canon digital elph and am glad i did  .
the photo quality is fantastic in all lighting situations  .
i love the software that comes with it too  .
this is a versitile camera that is so reliable and easy to use  .
plus the compact design makes it great to store in your purse or pocket  .
i know so many people who have this canon digital elph and i have not heard one bad thing about it  .
do yourself a favor , and get this camera  .
you will not be disappointed .
i've owned several kodak digital cameras over the past 5 years ranging the full rainbow of quality  .
i purchased this canon when my last dx kodak had battery issues , and breaking plastic parts due to poor design and cheap materials  .
i'm never going back  .
the canon sd600 has excellent build quality and materials , a decent battery charge , incredibly compact yet feels rugged (an honest pocket camera) , but the image quailty is way above anything i've seen from kodak  .
the color rendering , crispness , and automatic exposure and iso is all excellent    you have to work to take a bad picture with this one  .
i'm very pleased with this camera after a frustrating experience of my kodak dx only lasting two years  .
menu is 'bare' if you are national geographic photographer , for the 99% rest of us mortals , you will find it well thought out and easy to navigate after the first day .
i like this camera for its really fast performance , stunning image and graphics , and has good features i would recommend this for people who takes pride in photohraphy , graphics , performance , and technology  .
this is by far the best camera i have ever owned  .
what makes it even better is the price as compared to the other $500    $600 cameras  .
i rate the color and clarity a 10 .
after camera after cheap camera i finally stepped up paid a little cash and got a decent camera and i am totally satisfied  .
great pictures , great size , andand feels solid .
really compact , awesome picture quality , really good for hangin' out in a party , a concert , really good  .
i've had many 'name' film camers and this is my fourth digital  .
a fujifilm mx    2900 ($450) , fujifilm 1300 ($150) , one kodak c743 ($150) that i did not keep long  .
the sd600 ($212) is better than the rest all put together  .
it is really a quality camera in an unbelieveably small package .
canon really seems to have figured out this whole digital camera concept , finally  .
too bad other companies haven't caught up    i previously had the equivalent olympus 6    megapixel point    and    shoot (stylus 600) , and it simply didn't measure up in a number of ways    most importantly , ease of use and photo quality whereas my wife had trouble figuring out the olympus at times , the canon is mind    numbingly simple    as it should be  .
it really is point    and    shoot the photo quality is great , especially when compared with the olympus  .
when all is said and done , poor quality is the one reason we simply couldn't use the olympus any more    we had to delete 75% of the shots we took because they came out horribly  .
night and day with the canon    the vast majority of our shots are keepers now the videos it takes are really impressive in their quality  .
it uses some sort of image stabilization , so the video is not bouncing all over the place ; you get surprisingly good results , as if the video is taken with a real video camera one recent discovery for me   the macro mode is amazing  .
it takes simply awesome close    up shots ; you'll have to try it out and see the one nit i have to pick   its red    eye reduction is not very effective  .
in some situations , it just does not work  .
but really , any time the flash and lens are so close together , you're going to get that , and 5 minutes in photoshop fixes the problem anyway .
this camera is great for the average person who doesnt want to carry around a big slr but still wants beautiful pictures  .
the camera is so small that it is easy to misplace  .
at around 250 dollars after getting a memory card it is much less expensive next to similar 6 megapixel cameras  .
it is easy to get professional looking shots with this camera even if you do not have the most steady hand or the subject is moving  .
i would highly recommend this camera to anyone looking for a great everyday way to capture a moment .
if you're looking for an ultra    compact point    and    shoot , you can stop looking because this is the camera for you  .
i have had this camera for several months now and use it almost everyday  .
the images are excellent , the camera is very fast , and it even performs well in low light situations i use the camera everyday because i can  .
my old camera is so much bigger and i had to store it in a camera bag  .
this thing is so small i just slip it in my pocket and use it whenever i want  .
no hassle  .
the videos are pretty good too , so it's nice to have video capability at your fingertips as well most users do not need more advanced features or higher resolution , so this camera makes things simple  .
and at $200 you cannot find a better deal .
we own a canon elph film camera and love it  .
it travels great  .
sd 600 is our first digital  .
it fits our use and situation perfectly  .
simple to use  .
travels great sales person's expertise prepared us with spare battery and sd's  .
the resolution is very good  .
use it everyday everywhere  .
spare sd cards and battery store and pack easy  .
still learning how to conserve battery power  .
downloading pix is simple with or without canon software  .
but canon software program is very , very good and simple to use  .
this camera is very easy to use and maintain  .
just like the elph film camera , strap it to your belt and you're off and running .
i recently upgraded from the canon sd450 to the sd600  .
i have always been a canon fan and don't think there are many cameras out there that are as reliable the picture quality on the sd600 is of course better than the 450 and i have not had any complaints at all  .
the battery life is very good and we have taken it on 3    4 days trips and taken more than 200 shots and the battery is still good  .
i think this is the most important thing for us  .
the sd card interface is great as well    from camera to computer in a jiffy  .
i do not use the canon software    picasa is the best way to transfer the images only complaint if anything , i wish it were faster  .
in the right mode , it is quick but on auto sometimes you are taking chances with the right moment  .
i will still recommend this to anyone looking for a smart , sharp , small yet powerful digital camera .
not just relevant to this camera , but why , oh why , do they bother with digital zoom  .
does anyone use it  .
i love this digital camera so much  .
i just got it a few days ago and i am starting to experiment with the coler accent and coler swap  .
the zoom feature could have been better but other than that this camera is the best  .
i did a lot of research before buying this little dynamo  .
i had to replace my kodak 4 mp after i dropped it  .
i really wanted either the casio exilim or the nikon but research convinced me to buy the canon  .
the sd600 is amazing and truly compact i've never used manual controls for fear i didn't know what i is doing , but this camera makes it very simple by just skimming the instructions and playing with the features in various lighting and motion scenarios  .
reviews said it just had the basic set of features , but i cannot find anything that it's lacking i took pictures in las vegas in a dark setting inside a hotel with a show full of lights and moving everything , the pictures came out perfect  .
also took shots of the freemont street experience and again perfect pictures  .
i have so many old pictures of a nighttime party where all the lights are streaming across the pictures this camera does not do that when the settings are (easily) adjusted accordingly and i have yet to come across shutter lag that is noticeable to the basic user  .
you need to know when you want more light to come into your picture , you need to hold the shot for a couple of seconds , but is not that common sense  .
it's not a camera flaw the lcd screen is big and can be easily viewed in the dark or in bright sunlight i've taken pictures of pictures using the macro setting and the result is worth making 5x7's for the rest of the family of a picture that i thought is long gone  .
i know i could have taken it to the kodak picture maker but i wanted to test out the macro setting i've taken pictures of a baseball game at noon and at 6 pm and i've been able to catch a clear shot of the ball in the air and the ball connecting with the bat not to mention the batter running between bases the video is also great , no problems yet only downfall is that i used the same 256mb sd card from my old kodak that held 300+ pictures but with this camera and the various setting i've used , i recommend the 1g or 2g card  .
the first day i had it i had it set to large format photos and used the video setting and it only held 21 pictures and a total of 45 seconds of video  .
i quickly made the adjustment , but thought i'd share the info  .
on the normal settings i have ran out of memory yet , but i'm still buying the bigger memory so i don't run into a problem at the worst possible moment i is really concerned about the rechargeable battery and thought i'd need a back up , but so far so good  .
i do not need to spend the extra $40 for the spare battery i've highly recommended this camera to everyone that is even remotely interested in buying a new digital camera .
unlike another rater , i have no problem with multiple usb imaging devices being installed on my computer and uploading from this camera  .
the camera simply falls in queue and uploads when requested  .
of course , any problem in this area could well be a windows setup problem  .
i'm running xp pro sp2 build 2600 and it's 100% patched  .
no idea about apples i really have nothing bad to say about this camera , given it's price , i expect fewer bells and whistles  .
but as a p s i really would recommend it to even those who might be electronic gizmo challenged cameras of this nature , and other electronic kit purchases , are always assembled to maximize profit  .
to that extent , you going to have to take care of the extras yourself  .
extra battery , large mem card , carry case , and etc  .
are simply not going to be included in the base purchase  .
i feel this is an advantage in that it gives me the freedom to shop around for what little extras i want  .
i like deciding for myself , finding the highest value , reading reviews and all other activities associated with all my hobbies and avocations .
http  //digital    camera    resource  .
blogspot  .
com/  .
this is another canon that i plan to feature on my site  .
what a wonderful camera for the price features  .
get it while you can    )  .
first let me say i'm fussy , very fussy  .
i'm not exaggerating when i say i've tried out about 8 cameras recently , all makes and price ranges of compact auto    focus digitals in canada we have 15 days to try out a camera which is a damn good idea ; i had almost given up on ever finding a camera to please me ; thanks to cnet camera reviews , i saw that this little beauty had a great rating ; it deserves it  .
i would highly reccommend this solidly built (japan) user    friendly work of photographic art  .
i'm getting macro shots that bring tears to my weary eyes and no , i'm not a canon employee .
get this camera with the cannon leather case , one extra battery , and a 1gb sd card and you are ready to capture a long vacation without wires  .
the high iso setting really helps in low light situations .
i just want to thank cnet for helping me purchase this product  .
the review helped me so much more  .
the camera is excellent  .
the features , the size , the shots is great  .
i mean in pitch black the pics still comes out perfect .
love the canon sd600 really small and slick and yet can take amazing photos  .
i actually used it to shoot great quality photos that i used for a photography class  .
this is my third canon , and they keep getting better  .
nothing is really wrong with this little camera  .
best investment is purchase a 1gb memory stick  .
cannot go wrong with this one if you're looking for a small handy camera .
i just bought this camera and i am very impressed  .
very often , high tech electronics fail to live up to the expectations , leaving you with a bad case of buyer remorse  .
not in this case  .
this camera seems to provide you with everything you would expect  .
i wanted a compact camera that would produce great 4x6 and 5x7 prints  .
that is exactly what i have .
this is the third digital camera i have owned  .
after purchasing a kodak 2mp camera 4 years ago , i vowed i would never do that again  .
2 months ago i purchased a kodak easyshare one for all the wrong reasons  .
it is cool , but the picture quality and menus stunk  .
this camera is ten times the camera the kodak was  .
i love this thing  .
it takes awesome pictures , the menues are intuitive and it is solidly built .
i bought this little camera to use when i did not want to lug my bigger nikon around  .
i love it so much , i'm actually considering selling the nikon  .
it took fantastic shots right out of the box before i really knew how to use all the features  .
i went with the the 600 as opposed to the sd630 because it has the exact same features as the sd630 , except for the fact that the sd630 has a 3 lcd screen as opposed to the sd600's 2  .
5 screen  .
but with the bigger screen , you get no viewfinder    and that is something that i wanted , because in certain shooting situations , a viewfinder is the better choice to use over the lcd  .
plus the sd600 is $50 cheaper (which i spent on my sd card) this camera is fun , easy to use , and takes wonderful pictures  .
i highly recommend it  .
i love this camera  .
bought it online based upon the cnet reviews  .
i used it on a trip to the oregon coast and it produced excellent photos  .
batter life is good , but canon should provide a larger card upon purchase  .
go out and get a 1gb card and you can shoot about 300 photos  .
i is pleasantly surprised by the quality of the software that came with the camera  .
very easy to use the quality of the camera is outstanding  .
i love the large lcd viewer  .
my wife is jealous and wants one now .
i wanted a small point    n    shoot camera that i could carry with me  .
i had a sony w1 and is frustrated with the slow response time between shots  .
good camera though  .
i read all the review on this one and found that there are not too many complaint  .
i agree i recommend a high capacity memory card however  .
the image quality is superb on the large picture setting it is also just fine on the other settings i love how quick this camera is  .
i can power up and i'm ready to take the picture  .
no waiting on the flash , or loading settings  .
it's already there when i want to snap a picture another great feature is the color accent and color swap  .
it's a bunch of fun  .
overall i would recoment this camera to anyone  .
i dont know much about cameras but i have to say that so far i love this little gadget  .
it takes clean and clear pictures and its also a video recorder  .
its just amazing  .
its so small you can carry it around like a cell phone  .
i also love the fact that itcame with videoaudio cable to plug right in to your tv so you can check out your pictures and videos  .
buy this camera  .
i purchased this camera from buydig about 2 weeks ago and have taken several hundred pictures since  .
i am happy with its ease of use and excellent picture quality  .
its a great camera for those of us that do not need a thousand different options , bells , and whistles  .
its a simple , high quality camera .
i'm a avid cyclist , and i needed a small digital camera that would easily fit in the back of my bicycle jersey on a recent bike tour in colorado  .
i originally set a budget of $200 for camera and memory card  .
after reading many , many reivews and trying out several potential candidates at the local retailers , i decided on the sd600 some of the things that this camera had that others did not were   fast shutter response , fast picture save to memory (this is very important to me) , lithum ion rechargeable battery , iso800 mode , large lcd and manual viewfinder  .
and of course mostly good to excellent reviews bought the camera at fry's as i needed it that day since i is leaving for colorado the next day  .
paid $346 for the camera , and also picked up a 2gb sd card that came free with an extra 512mb  .
so , 2  .
5gb for $69  .
with tax and everything it is $453 out the door  .
so much for that budget i have always bought cheap digital cameras in the past  .
i is immediately impressed by the vastly higher quality of shots i is able to take with this camera , even in low light situations  .
with lesser cams , low light pics are often pointless  .
before leaving for colorado i downloaded some of my pics to my computer and they looked stunning on my monitor (viewsonic p225f , 22 flat crt , 1280x1024 resolution) made a nice find at rei , a timbuk2 carrying case that fit the camera perfectly and has a large vecro strap in the back  .
this allowed me to strap the case to the handlebars on my bike , making it easy to take on    the    fly photos the camera performed perfectly in colorado  .
i is able to take many pictures while riding , although one drawback emerged  .
if you're not careful , the function slider can end up in movie mode instead of picture mode  .
i guess it probably slid over when i is taking it out of the case  .
i ended up taking at least 7 inadvertent movies on my 471 mile , 6 day bicycle trek  .
on the flip side , the quality of the movies is excellent when downloaded and viewed on the computer  .
with the 2gb card i could take up to a 16 minute movie , which is cool battery life is great , i charged it the first day i had it , and then took at least 200 pictures in all lighting conditions before having to recharge again on the road in colorado btw , downloading pictures is a breeze  .
i haven't even taken the cd or the cable out of the box as the camera uses the same cable type to hook up to the comptuer that my blackberry does , so i just use that instead  .
you can look at all your pics in a folder in xp without having to install the software , so i do not know what all is on the included cd overall i am really , really happy with my purchase  .
i am super glad that i did not cheap out this time  .
the difference between this camera and lesser ones is pretty noticable even for a novice like myself  .
if you want a small camera that takes great pictures with no unnecessary complications and no performance compromises , this is the one .
being the canon fanboy that i am with their multifunction photo printer (mp500) , camcorder (optura300) , 35 m  .
, and now my second powershot camera , i have been greatly impressed by this particular camera it's highly pocketable , very durable , as well as functional  .
the buttons are laid out in a logical manner and makes it easy to get to all the options and customization available  .
the screen is sharp , bright , and vivid enough to see it outside on a bright day  .
the all metal casing is durable and does not smudge  .
i also like the fact that all canon cameras have a place on the side for users to attach a lanyard ; it makes it much easier to carry the camera now onto the image quality  .
what can i say , the pictures are terrific  .
all of my shots have turned out just bright enough and pefectly matched colors  .
