if what you want is an easy to use , shoot and play camcorder for b    days and holidays , in a format that won't be obsolete in 3 weeks , this is your camera  .
i couldn't care less about editing or transfering to my computer  .
i hope this is a one time incident we have upgraded to the dvd403 based on reviews (camcorderinfo  .
com) and i hope this is the right decision  .
if it provides reliable recording we will be happy , if not mini dv is probably the way to go sony is easy to contact but not really helpful when we had questions about where to find software to manipulate the vob files this device writes in .
very good pricing , cheapest in the series  .
very poor customer service , online chat is very slow , they mislead me into buying a sony software that does not read the sony file extensions , no response to email complaints and takes ages to get someone on the phone  .
i still have not been able to make a copy of the movies that i wanted to make for the grand parents , i will have to buy a dvd recorder that i can connect the camera to  .
that adds to the final out of pocket expense for the device  .
this camera is nice and takes great digital video and puts on a convenient mini dvd but if you ever want to put it on your pc and edit your movies not going to happen  .
there is no usb port , why bother making a digital camera without this basic feature  .
you can dump the movies into a pc but it's usless because the dvd is formatted by the camcorder itself in a way you cannot edit it or at least i've have not found software that can  .
so beware if you want to edit your movies this camcorder does not communicate with a computer .
i got the dvd92 as a gift and loved how small it is compared the sony digital hi8 that i had  .
i liked the feature of the dvd as it is quicker to find what clips are on the dvd and that you can play it in a dvd player as compared to having the camera to play back tapes the one thing that you do not see mentioned in most of the reviews or when you talk to some reps at the electronic stores is the video resolution of the dvd92 compared to the other models  .
the 92s video resolution is 340k pixels compared to the dvd403 which is 2048k pixels this prompted me to upgrade to the 403 and i can see a big difference in the video quality and i like the fact that the camera resolution is at 3mp which allows me to eliminate having to carry around the digital camera too  .
i am very happy with this camcorder (403) if you happen to go with a dvd camcorder become familiar with dvd data rescue as with all media they sometimes become corrupted  .
this program saved a family video that i shot in the dvd92 .
first of all if anyone in the world records something chances are they will want to edit  .
on this thing you can not transfer to pc so there is no editing what so ever  .
and get this , if you open the lcd screen on the side where it says dolby digital there is a sticker which can be peeled off to reveal none other then a usb port  .
i spent months looking for a driver that would allow me to use this port  .
by the way sony denies there being a usb port on the camera  .
also sometimes the dvd does not record correctly and does not allow playback on dvd players  .
finally , the quality is pretty bad i have a 25 inch lcd hd tv and the playback quality is choppy .
the sony dcr    dvd92 , which i have since returned , is very disappointing  .
its picture quality is substandard       colors appeared dull and faded , and overall sharpness and clarity were poor  .
in fact , my old sony 8mm camcorder , purchased in 1991 , delivered better results  .
and most comparably priced canon camcorders produce videos with twice the number of effective pixels as the sony dcr    dvd92 furthermore , videos taken on the dcr    dvd92 had missing frames , creating jerky and unstable playback images i did not experiment with the camcorder's numerous editing features       the picture quality is such a deal    breaker that i returned it before experimenting with its full range of features on the plus side , the camcorder is easy to shoot with in easy mode , and the mini    dvd format allows for quick playback videos on your dvd player  .
but this does not outweigh the overall lack of picture quality .
think twice about purchasing this product  .
it is good for ease of use but that's about it  .
there is no way to hook the camcorder to your computer major flaw  .
plus the format the digital files are in is not supported by any movie editing software  .
i'm going to try and return my handycam .
i agree with all the unhappy buyers  .
why is this camera not included in all of sonys class action lawsuits  .
i have downloaded any and every trial program to work with this camera , no luck here i too called sony before my two weeks where up to return , but i is misinformed from sony they told me they would be sending me software , the laugh is on me i never received a thing and by waiting of course my two weeks where up  .
i even took my camera back to best buy twice went right to the camera department and asked them to show me how to work with this on one of their computers , of course they could not help me and said this is one camera they do not try to sell because of all the issues  .
best buy quit selling this model hummmmm wonder why  .
after just 2 weeks , the camcorder stopped reading discs  .
it just gave an error message no matter what disc i put in  .
sony's support line said that i should just send it in to have it fixed at a service center  .
i'm sending it back for a refund  .
sony seems to think we are all dumb by shipping their camcorders with such a low capacity battery (rated at one hour but with the screen more like 30    45 minutes) that we have no choice but to upgrade the battery before leaving the store  .
no big issue , just annoying  .
if your going that cheap why not say it comes with no battery and take $20 off the purchase price  .
big problem   in dvd mode , as you collect clips on the dvd , if you get to your 3rd or 4th clip and decide you do not like it , too bad  .
you are stuck with it  .
even with dvd rw , believe it or not  .
you can erase the entire disk via reformat or erase nothing  .
who dreamt this up  .
in vr mode , you can erase individual clips  .
however , this must be some rarely used or proprietary format as my 3 dvd players would not play the finalized disk  .
not even my computer could read it  .
useless i returned it  .
unless you have a player that will play vr format , this camcorder is junk .
this is a great idea that will probably follow in the footsteps of the edsel  .
you cannot get your footage onto a computer , and not all dvd players will understand the format  .
what happens is that you have a dvd that you have to be happy with as it is recorded , 'cuz once done it's in concrete  .
even if you're cecil b  .
demille you are probably going to want to do some basic editing  .
sorry sony says to that hope  .
even their own software people groan when you mention you have a question about this camera  .
sony vegas movie studio software told me flat out that they do not support this thing  .
look deep before you make this plunge  .
it's sad too , 'cuz this could be a great camera and format with a little more forethought ski  .
might be the worst product on the market today  .
expensive breakdowns are almost guaranteed after only a few months  .
sony will not back or support their inferior products , so buy elsewhere .
i am having problems importing the file  .
you can copy the    .
vob file  .
you can play the video using ms media player  .
you cannot recode to another format  .
i tried pinnacle 10 and nero 7  .
both purchased for a total of over $100 after rebates  .
now i find out that the only program that can import the  .
file is sony vegas  .
i should have know  .
sony has always held to the proprietory bs , (think beta)  .
now , if i want to edit , i have to shell out another $150 bucks  .
great deal  .
yeah right  .
gee the trial version does not have the necessary decoders unlocked  .
should have know .
i am having problems importing the file  .
you can copy the    .
vob file  .
you can play the video using ms media player  .
you cannot recode to another format  .
i tried pinnacle 10 and nero 7  .
both purchased for a total of over $100 after rebates  .
now i find out that the only program that can import the  .
file is sony vegas  .
i should have know  .
sony has always held to the proprietory bs , (think beta)  .
now , if i want to edit , i have to shell out another $150 bucks  .
great deal  .
yeah right  .
gee the trial version does not have the necessary decoders unlocked  .
should have know .
