very good looking fast phone that would satisfy pro needs .
it is an amazing little phone  .
the incredible is named appropriately  .
buy it  .
no wonder still on backorder , good solid unit , and many phones this first really works well with the screen cover film .
one of the best phones (smartphone included) on the market       if not the best  .
it gets lots of comments on its looks and the htc has done a great job on fit finish  .
cannot wait for 2  .
2 (perhaps within the next 2 weeks) .
this device does everything i need it to do and more  .
i find that i use my computer a lot less and my mp3 player , kindle , and gps have basically been gathering dust since i got my incredible  .
every day i find something new i can do with this device       and best of all i can cold it any way i want and it makes incredibly good quality calls  .
i've never dropped a sincle call .
like the htc google open operation system with all the flexibility  .
the 8mg pix camera replace me carrying around my sony 10mg camera i use google premium apps that auto sync my laptop , desktop and d    inc to perfection for only $50  .
00 per year  .
calender , contact and email using outlook 2007 .
i have had this phone for about a month now and i think i can give it a pretty fair review  .
i came from the htc hero and evo 4g compared to the evo my incredible is managable  .
the evo is entirely to large to hold , type on one    handed , and too big and bulky to put in the pocket  .
compared to the hero , uhmm , thats not even worth comparing too  .
the hero is junk compareed to this phone battery   i can get almost a full day out of this phone with moderate use  .
i am playing with this phone all the time  .
as long as you use advanced task killer to manage the processes of the phone , and keep gps and wi  fi off unless needed , the phone lasts just fine screen   the screen can be a little hard to see in direct sunlight , but it definitely isnt a deal breaker by no means  .
the screen is small enough to put in the pocket but large enough for my man    size fingers to type on  .
and not make any mistakes speed   this phone is fast  .
the snapdragon processor is great  .
nothing more to say about that  .
htc   i find the htc sense to be suprior to motorola androus os  .
but thats just me  .
and in a side    by    side comparison , the incredible just seemed all around better than the x  .
the x is bigger than the evo  .
if i want something that big i will bring my ipad along with me all    in    all , this is the nicest , fastest phone i have ever owned  .
and verizon service seems just as good as the sprint service i left to get this phone  .
except verizon costs a little more for the same features i got from sprint  .
$33 more  .
htc facebook for sense has a big problem by not allowing phone to go into standby  .
i reset the phone , omitting the facebook setup and my battery lasts 3x as long  .
easily a full    day without recharging , which i could not do before  .
check to see if settings    battery up time and active time are the same  .
if so , you have this problem  .
afterward , the active time is one    third of the up time music lacks bass response updated  .
on jul 30 , 2010  .
have not had issues with battery life keep plugged in when at office , use car adapter when on the road , plus have a travel wall charger that keeps an extra battery charged and on hand at all times  .
also have installed juice defender app which adds greatly to battery life  .
plus , i have bothe att and verizon accounts and the vzn network is a plus .
this is my first smart phone  .
i waited until my 2 year contract is up to get the extra $50 off and then i had to wait a little over 3 weeks to get it since they were on backorder  .
i had lots of second thoughts while waiting for it to ship  .
i had even been debating getting the iphone , since i love my ipod touch so much this is well worth the wait  .
the longer i have it the more i learn about it and the more i like  .
i use texting now , which i never did before , and i love checking email while on lunch break at work , and checking the news headlines or weather while on breaks  .
while waiting in doctors offices i play solitaire or read news headlines or whatever  .
love it  .
i bought a 1750 extended battery and never have any problems with battery life at all , (usually lasts 36 to 48 hours) though i'm not a heavy user  .
i do not stream pandora very often or play intense games on it , just light phone and texting use , and some use of the various apps during the day  .
i really recommend it and love the flexibility and endless ringtones and wallpapers and apps available for it  .
not at all sorry i decided to get this instead of the iphone  .
phone is clear and loud  .
good reception .
if you want the fastest android device to date and don't care to lug around a giant brick , this is your device  .
the web browsing and camera are my favorite workings of this device  .
this is by far the closest to desktop experience i have had in a mobile device and i have owned many windows mobile devices in the past  .
the froyo update for this device promises 3g wifi tethering and 720p video recording just like its big brother the evo on sprint which makes this device near perfect  .
i do not do many games but flight control is fun and the screen is very sensitive and responsive for accurate mapping  .
typing is as good or maybe a little better than iphone due to the slightly larger screen and accurate text prediction  .
not to mention being able to speak in your text and emails is a literal life saver on the road  .
i have never had this device crash or freeze in the couple months that i've had it  .
i only turn it off to change the battery  .
htc's great device building reputation does not suffer here as the incredible is a great representative of that .
i like this product because it's beautiful and functional  .
this is my personal , i had my last phone for three years and after trying this phone and reading all the reviews , i is sold  .
my work phone is the htc hd 2 from t    mobile , and i have to say , verizon is the best service out there  .
this is an excellent phone , with lots more features upcoming in the next ota software update and froyo  .
we will soon have 720 movie recorders , wifi tethering and much more for verizon , this is one of the best phones out there  .
the two main things you will be deciding if you want to get this is screen size and ui  .
the motorola droid x has the larger screen , but is it too large for normal pocket carrying  .
the incredible has the htc sense user interface , while the droid x has the moto blur interface  .
the moto blur ui , in my opinion , is inferior to the htc sense ui i personally wouldn't complain if i had either phone , but i am extremely happy with my droid incredible  .
even things like call quality have not been an issue for me  .
i actually get compliments on how clearly things come through on there end  .
the droid incredible is my first experience in owning a smart device (if you do not count an ipod touch) , and i am glad i started here .
i have own this phone from day one of it's release and it is great phone  .
in my opinion the best verizon smart phone by far  .
you can run many apps at the same time and in that aspect it clearly beats iphone 3g s (not sure about iphone 4) not to mention that it belongs to america's biggest network  .
i would highly recoment this phone to everybody  .
thanks for reading  .
htc droid incredible (verizon wireless) is cheap which means it will have many users and still have the same style  .
we guess  .
but ordinary as iphone  .
updated  .
on jul 16 , 2010  .
one of my favorite things about this phone is its speed  .
it can do everything i need (games , texts , phone    calls , email , facebook , etc  .
) without slowing down a bit  .
the phone looks sexy  .
the keyboard doesn't give me many problems once i get used to it , and i can find my way around it quite easily honestly , i cannot think of anything i do not like about this phone right off the top of my head  .
maybe the virtual keyboard makes me make some mistakes sometimes , but i have big hands .
overall , the htc droid incredible is a very customizable and high    end device offering myriad ways to show that the incredible is yours  .
the internet never could look better on a smartphone , thanks to the gorgeous display and 1 gigahertz processor  .
ok , so the battery may not last as long as with some other smartphones but if you consider how much the incredible offers , the battery life would not matter       just charge it every night before you go to bed .
by far the best smart phone on the market with the best network  .
verizon wake up and smell the roses , you need to produce more of this phone  .
even apple knows not everyone wants to carry a brick around in their pocket  .
(droid , evo , droid x    huge  .
) make more of this phone  .
fools the only mistake verizon made is not having enough units available on the market .
i absolutely love this phone  .
i is waiting for the nexus one to come out on verizon but when i saw this phone i is sold on it right away  .
the 1 ghz processor is lightning quick and even when you have multiple apps running it really doesnt slow down much at all  .
i primarily bought it because i wanted the google maps gps but i have discovered so much more i can do with this phone  .
it is very customizable so if you know a bit about computers and you like to play around and change settings and uis this is definitely the right phone for you  .
i learn new stuff about it every day and absolutely could not be happier  .
if i had to do it all over again knowing about the new phones coming out i would , i do not see a phone out there that would make me want to trade my incredible  .
with the new update coming out (2  .
2) my droid is only becoming more incredible  .
if your on verison and you want the iphone for verison this is not it , it's way better  .
my previous phone , lg env2 , has been my phone for the past 2 years  .
because i am on the board of a non    profit , it is important that i am able to get my email on my phone  .
frankly , the email experience on the env2 is a nightmare  .
not feeling hopeful about the iphone coming to verizon anytime soon , i decided to go android , and even with other android phones to pick from , including the upcoming droid x , i really wanted to go with the incredible  .
the number 1 reason is the size  .
a co    worker in my office recently got an evo , and i had to set up his office email on it  .
nice , phone but just too big for me (felt like i had an ipad to my ear)  .
the only downside with the size is the web browsing experience , and i can live with that the battery life is less than i'm used to , but based on my usage so far , i can get almost 2 days out of the phone (not much talk , low to moderate text , and moderate email and app usage)  .
i use advanced task killer for all but the most crucial apps , and i use it often  .
i also turned the brightness down slightly and turned off the haptic feedback on the home keys  .
these couple of settings dramatically increase the battery life and have not interfered with my usage of the phone features i haven't had the phone very long , so i haven't gotten to fully test my signal , but i is surprised by the fact that my lg env2 could get full bars inside my house , but this phone can only get 1 bar  .
i'm monitoring it carefully in case i have a defective phone , and so far , no dropped calls or reception problems  .
i'm away from my office on vacation , so i'll have a better chance to test it then other than the incredibly (no pun intended) long wait for this phone and the poor and delayed response from verizon when the phone is delayed well beyond what it should have been , i am very happy with this phone  .
my experience with verizon customer service in that matter is mixed , and i almost canceled the phone order  .
however , i'm really glad i didn't  .
having done some research and talking to other users , i really like the way htc has handled android compared to other manufacturers , especially with the interface  .
the phone is snappy and responsive , the screen looks great , the camera is easy to use , takes great shots (even in my house) , and does everything i expect it to do  .
i knew it did not get an cnet editor's choice for nothing  .
i really recommend this phone  .
the phone is amazing  .
the name suits it , incredible my sister has the motorola droid and the incredible won every test i could think to put it through  .
i is hesitant on having no physical keyboard , but the touchscreen works so well you can do everything with this phone and more you can customize it to exactly how you want .
get a life phone fans  .
battery life is solved by cycling in 4 times when you get it (4 times) i get 3 days in use but i do not live by phone and seldon have to use wifi  .
oh must have app killer  .
outlook no problem just sync as per instrustions  .
if your having issues its probably not the phone for you and maybe you first smart phone , i've had them all .
best phone ive ever owned easy to use and not to big screen is great .
go for it    you'll be glad you did .
i love my incredible  .
i agree with cnet in the fact that verizon's service puts this phone over the iphone with at t's questionable service  .
the calls are very clear even with the speaker on  .
the 8  .
0 mega pixel camera is a nice added feature that i can easily e    mail pictures or upload them to facebook  .
htc sense has tons of customizable features to make this phone your own  .
the android market has fewer apps but there are several free apps that you would never find with the app store  .
the snapdragon processor is blazing fast  .
i dare say it will pull up a webpage almost as fast as your laptop  .
this has tons of small features that most do not know about  .
ie   you can touch and hold your finger on a word or phrase like on a webpage or e    mail and you will have a few options like cut n paste  .
but you can also search the word quickly in googles dictionary or translate it for you in several different languages  .
the speech to text works perfectly almost every time  .
you can even complete a web search by speaking into the phone  .
now that they announced iphone 4 from what i have read i'd still rather have my incredible  .
some must have free apps  .
shop savy picsay pro google goggles audio manager task killer  .
the verizon wireless droid incredible really lives up to its name  .
there is just so much you can do with it  .
every week i discover a new way to use it  .
because i am a verizon customer , i do not have an iphone , but i have a ipod touch that i love also  .
but since i bought the droid incredible , i have yet to use my ipod touch .
this phone it's at or above every other smartphone on the market today  .
it competes well with the iphone , blackberry phones , palm devices , and even the evo (too big in my opinion  .
) it really lives up to the droid does slogan and would encourage anyone to check it out when shopping for a new phone .
durable pocket device that seems like nasa had its hands on  .
so much to do on it that ill be entertained for years to come  .
i did a lot of research on phones and picked the right one .
first this phone had widgets , widgets are very useful and creative  .
iphone does not have widgets , also this phone can do awesome video streams , iphone and ipad cannot .
having never owned a smart phone before i decided to take the plunge with this one because it had everything i wanted  .
i know i made a great purchase because my wife enjoys using it  .
she is not very tech savey  .
everyday i learn some new exciting thing the phone is capable of doing  .
there is a bit of a learning curve with it but with a little time you get easily acclimated to the phone and it's features .
i believe it is only fair to compare this smart phone (apples to apples) with the 2nd best smart phone available    the iphone if not , you mine as well compare it to dell laptop  .
if you do not understand this reference , perhaps you should stick to owning a motorola flip phone anyone can speculate on what may be released in the future , who knows , one day we may be able to communicate telepathically  .
until a smart phone is released and for sale to the general public it is not fair to even bring it up if your at all like me , and must own the latest and greatest technologies , i am sure you will agree with my review if your ignorant , or naive , then you should not share your opinions     .
it is better to be thought a fool , than to write a review and remove all doubt  .
the phone is just incredible , it truly is  .
i see some people complaining about the battery life but it works just as long as all other smart phones i have owned before (palm , blackberry , etc)  .
just a fantastic phone , if you have any doubt do not the thing is great .
if you want a really cool phone with tons of features and you don  .
t need to have your email delivered to you every 2 seconds then you might love it like me  .
i don  .
t pay attention to bars but call quality is good and i haven  .
t dropped a call .
first things first , it has the best voice recognition software ive ever seen and when paired with google everything it makes life much simpler  .
ive reduced the amount of text i have to input in text fields by 50% , all you have to do is speak what you want to type and it is accurate 90% of the time (depending on background noise of course)  .
i can get a full voiced turn    by    turn directions in about 20 seconds flat just by using the voice input , instead of opening up the maps app and then typing my destination or searching first then selecting it  .
my tom tom car gps is now completely obsolete os   this phone is for people who are a bit more tech savvy and care about how/why a phone can do what it does  .
the android os is a bit more complex than the iphone os , but this is mostly due to the amount of customization available  .
the htc sense ui alleviates some of this with a unified inbox , friend stream , widgets , etc  .
the best part about this phone is that if you dont like something about the os , there is usually a way to change it  .
also , if you dont have itunes or dont like itunes , you can still use the phone  .
although the stock htc and android media players are not very good , you can download better players for free  .
there are syncing software out there that can help transfer music , movies , pics , docs , etc , but you can still mount the phone as an external hd and use the old drag'n'drop method to transfer anything you want  .
htc sense has plenty of useful widgets that can eliminate digging through menus , etc  .
and there are always more on the android market  .
also , dont worry about how many apps are available compared to the itunes store there are plenty of good , free apps to download and besides how many do you really need  .
of the 100 , 000+ apps , probably only 40% are actually decent enough to download and of that 40% , how many do you actually need  .
quality should be paramount over quantity  .
hardware   as usual , the phone hardware is tops in the market right now , but will be surpassed in the near future  .
its just the nature of the cell phone industry  .
dont worry about other phones coming out w/ better specs , etc  .
the incredible has enough ram , processing speed , camera quality , touch sensivity , call quality , signal reception , and style to last you through a 2 year contract and by then , another awesome htc phone will be available  .
pop in a 16 gig micro sd card and you have 24 gigs of total storage  .
the processor is pretty fast , and it helps when multi    taksing  .
i use quotations because most people dont intend to multi    task but do so inadvertently , i  .
listening to music while playing a game , then you get an email and check that  .
then you go to the web browser to look up something , and finally you ask to navigate to an address  .
so far you just opened up the 1) music player 2) email client 3) web browser 4) google maps 5) google navigator  .
unfortunately , all those applications will stay open until you close them (sucking up battery) so you need to download a free appkiller that can close things once youre donr with them  .
but still , with 5 or more applications open , the phone does not slow down because of the 1 ghz processor style   the form factor is great  .
some dont like the rubbery topographic battery cover , but i say it helps hold onto the device and prevents it from sliding when placed on inclined surfaces (car dashboard , couch , your lap , etc )  .
the display is amazing , has one of the top resolutions out there , but washes out in direct sunlight  .
the phone is just as thin as an iphone and the optical trackball is actually useful  .
seriously , people frown at extra physical buttons on the front face , but the 1) home 2) back 3) menu 4) optical trackball are time savers and more importantly fingerprint eliminators  .
if you can reduce the amount of finger swipes you have to make in order to perform a simple task , it helps reduce smudging up the beautiful screen .
impressive  .
friendly  .
cool tool .
i turned in my moto droid when the htc incredible fell into my lap and i couldn't be happier  .
the incredible blows away my moto droid  .
it is much , much faster  .
there is no lag time switching between screens  .
the display color and intensity is , well , incredible  .
my download speeds for web browsing are phenomenal to the point that when i show friends they are stunned  .
it is almost as fast as my wired cable connection on my pc  .
the build quality of the phone is very good  .
it has a nice weight without being too heavy  .
my moto droid is so heavy that if i threw it at your head i could kill you the other major selling point for me is the htc sense software  .
it makes the android experience much better  .
everything is more seamless and flows really well  .
the sense software has great widgets    from email to calendar and weather it is far superior to the motorola product  .
if there is a down side it is battery life the charge does not last more than 6    8 hours with moderate use  .
this is minor to me considering all of the functions of this phone and should be expected with heavy 3g use  .
all being said , this is probably the best android phone currently available  .
i cannot wait to see what comes next  .
the best device on the market to include i    phone  .
i've used each extensively and this is the best .
awesome  .
got mine at www  .
wireless  .
sasmaso  .
com for cheaper than verizon's own website .
this is the best phone verizon has ever released  .
the difference in usefulness between this and the droid by moto is night and day  .
all of my iphone owning friends are jealous  .
the perfect phone  .
read more here   http  //www  .
crappytechreviews  .
com/2010/05/verizon    droid    incredible    hardware  .
html  .
bought a palm pre plus in january and really wanted it to work  .
everything on it is great except the pos keyboard  .
so bad i tossed it and went for the droid incredible  .
a little concerned because of the comments about battery life , camera , etc  .
i didn't find any shortmings with the incredible  .
it is at least as good as the hype and most importantly , the learning curve is about 3 or 4 hours to be competently functional  .
cannot say enough positive about this phone  .
use companionlink usb to synch and it's wonderful (a plug for their support team) could not be happier .
incredible takes android to a new level  .
watch out mac msft    android is here  .
amazing phone , the call quality is amazing and the web browsing is really fast and responsive  .
had an iphone and jumped ship and couldnt be happier  .
i really think this is the official iphone killer .
it may take a little while to learn about everything this phone can do , but once you get the hang of it it really is incredible  .
i had an lg dare and is worried about only having a touchscreen again , but the incredible's htc sense ui is amazing , lightyears ahead of the older touchscreens .
i have had at least 10 different varieties of smartphones in the last 7 years  .
i think the overall capabilities , speed power and sound quality and is excellent with no dropped calls , i have no issues making it all day without a battery charge , and that is with plenty of browsing and other use , that would normally burn up battery (beware of lots of camera use)  .
i have noted , and read many threads on the lower than normal bar display that seems to be bothering people , i too have that issue , with a 2    3 bar instead of 4 bar reading , when my other phones would diplay maxed out signal , but no sound quality issues , or dropped calls , so this must be a display issue , as the real bottom line is the signal strength is    dbm not bars , and since this is always great , i have been ignoring bars i would expect an ota update to come out soon to sync the bars with the real signal strength  .
the apps available are great , but as a ipad and ipod owner i miss the depth of applications and especially games , i hope with the new phones available for this platform the application base will grow exponentially as the apple segment has  .
i wish the people that are complaining about call quality would talk to verizon and verify if they actually have a defective phone or quit posting to make this phone look bad , because there are way too many happy people with this phone's call quality for it to be a problem design i do suspect there are folks trying to bring down the rating of this phone because they love the competition (iphone) and may not even have one of these  .
even my wife who does not like techie phones fell on love with this one  .
the ease of integration with social networking apps , great google built in and htc apps and the super fast internet capabilities pushes this over the top  .
htc/verizon , it's about time all in all the phone is the best smart phone i have ever used .
i have not had it long enough to give a full review but , so far , it pretty much lives up to all my expectations  .
the more i use it , the more i find it can do and there's a constant stream of new apps and upgrades (pc access is coming soon) two thumbs up    cuz i keyboard with my index finger ;    )  .
i love my moto droid  .
but even my rooted moto oc'd to 1ghz doesn't match the speed and fluidity of the inc  .
i will tackle some common con    listings  .
battery life  .
95% of people who complain of battery suckage are running everything fullforce , full time  .
tip   use the power management widget  .
if you are not using gps , turn it off  .
if you are not using wifi turn it off  .
so on and so forth  .
tip go into your main settings and uncheck gmail calendar and contacts sync , leave the mail  .
you can still sync these as you need them manually  .
tip turn your brightness down  .
doing this alone will give you at least an extra 3 hours of battery  .
tip download atk  .
enough said  .
tip get an extended battery  .
tip download screebl  .
some debate as to its effectiveness , but i am certain it improves my battery time even on the stock battery , doing all of these took me from roughly 10 hours worth of battery to almost a day and a half of pretty consistent usage  .
try it  .
you might be surprised here is another peeve of mine  .
many people complain of the signal bars , yet they don't actually complain that they drop calls or lose speed  .
amount of signal bars for any phone by no means indicates actual quality of service  .
it is more or less a ballpark estimate  .
i have my moto droid and inc activated on two different lines and comparing the actual dbm in the settings menu reveals nearly the same measurements for both web browsing on this phone is amazing  .
flash 4  .
0 comes preinstalled , and will be upgraded to 10  .
1 once it is released and formatted for the device overall , i switched to this phone from my moto because i love the android platform  .
but the htc sense , with its added functionality and widgets , is what polishes it all up for me and gives me an even more pleasurable experience  .
i thought i would miss the keyboard on my moto , but i do not  .
i thought i would miss that solid metal build of my moto , but the inc has a great feel to it (no , not too plasticy by any means)  .
i will be in this phone for quite some time  .
good stuff .
people have complained about the battery life and i am completely baffled by this  .
granted , i am not talking to people all day long on my phone but with a few 30    40 min conversations and messing around with the phone throughout the day has left me with about 50% charge  .
this is my first smartphone so i have been messing around with it the past few days and the battery has not been an issue  .
i would recommend this to anyone .
i bought this phone the day it came out , and have put it through the mill  .
i have yet to stop playing with this phone  .
browser , e mail , messaging are exceptional  .
the phone is faster than my laptop  .
the call strength sometimes reads 1 bar , however i have never dropped a call  .
i just drove through some canyons in so  .
california , as an ultimate test  .
again , i did not drop a call and that is saying something  .
listen to music , while browsing the web , answer an e mail , than send a text , with no lag what so ever simply amazing phone , unbelievably functional for anything you could do , or consider doing  .
wi    fi , 3g are very powerful , and there is absolutely no lag even with several apps open  .
battery life  .
s a smart phone , of course the battery life is not good ; however there is an extended life battery which will take care of that  .
absolutely the most  .
incredible  .
piece of technology in the wireless phone industry  .
exceptional phone  .
updated  .
on may 18 , 2010  .
they named it aptly , incredible  .
my first android phone (coming from windows mobile 6  .
5 touch pro 2) and i love it  .
have not missed my touch pro 2 at all  .
i would highly recomment this phone to any serious smartphone users , if you can get your hands on one .
really powerful phone  .
cannot think of another device that can hold a candle to it  .
strongly recommend it .
i'm thrilled to have the incredible  .
i is turning blue waiting for the iphone on verizon , the annual rumors became tiring  .
apple waited to long .
i like giving apple a run for their money  .
the incredible does that  .
my experience has been a delight .
this phone is well made super fast and does not stall like the other smartphones out there  .
no phone can top this phone right now not even the iphone .
being in marketing i thought htc's product name , incredible , is a poor choice  .
i have now used the phone for 5 days and it is truely incredible  .
i am still learning all the functions , and playing with various downloaded apps , but so far i am most impressed with it  .
the most impressive thing about the phone though is it is just flat fast  .
huge speed advantage over my previous smart phone  .
with so many apps to select from the people in my office are tired of me gee whizzing as i try a new app  .
there are just too many good things about this phone to list  .
bottom line , best phone purchase i have ever made and it is on a superior network .
i is able to get mine last thursday and can not put it down  .
my first smartphone  .
really impressive and incredible  .
this product has pretty much been the best gadget i have ever own  .
it is open , easy to use , and is wonderful to use .
with the android operating system and htc's sense ui , this phone is just what the doctor ordered  .
it handles any program easily  .
plus with the never mentioned option of talk and surf , by way of wifi , i humbly say screw you apple , enjoy verizons's expansive coverage , and say good bye to att's dropped calls , pathetic 3g , and crappy edge service  .
did i mention flash support  .
now i can actually watch videos without clicking on a youtube app or trying to hack and brick  .
lastly , android is a heck of lot more open  .
so i don't feel like a convict on the run from the anal apple police  .
i wo not say this phone is the best phone ever  .
it still has moments that it does something crazy  .
(like randomly turning on pandora will i'm taking a leak)  .
and let's face it , the battery is not what i expected with a 1ghz snapdragon processor  .
still , this phone is the best phone i've ever owned and i have high hopes for the things that are to come  .
with small tweaks and updates , this will be a big contender for a long time  .
htc good job  .
bottom line for all of you iphone users is go into a verizon store and just try it out  .
appreciate it for what it is and try not to compare it to your iphone but if you do i doubt you could honestly say that the iphone is a better unit  .
the htc incredible allows for complete user customization and sure it may not have hundreds of thousands of apps but it has all the ones that most iphone users use and the market hasn't been around that long  .
developers are catching up and android versions of your apps are on the way if they aren't already there i have been waiting for verizon to come out with a great smartphone for a long time  .
i thought that the iphone would be the one but when android systems came out on verizon i was not so sure if apple would get my money  .
i is excited when the moto droid came out but even more excited by the htc eris which received almost no advertisement  .
i didn't like the slide out qwerty for moto so considered getting its cousin  .
that is until word of the nexus one came out  .
i is ready to buy that until htc announced the droid incredible  .
i came into my verizon store at 8  00 on april 29th and immediately bought the incredible  .
it is so fast and htc sense makes customization easy  .
i have shown the phone to several people in my office who have iphones and they almost all are ready to make the jump  .
one thing that keeps them happy with the iphone though is how it links with itunes  .
i don't really use itunes so this didn't bother me but i did find syncing media on the incredible confusing  .
nothing is in the manual about how to do it and i had to do a google search to figure it out  .
even then i haven't downloaded the program from htc because a version for the incredible doesn't exist  .
i called htc and they said i can use the htc eris version instead as far as the battery goes it all depends on how you use it  .
i have gotten two days of usage out of it so far between each charge but i do not use it overly much  .
i am not complaining about it though because almost every iphone user i know charges their phone every night .
i have had many phones in my time  .
but this is only my second smart phone  .
i came from the bb storm  .
i liked that phone at first but got real tired real fast with it  .
the incredible is something fresh , fast and just incredible pun intended  .
if you are in the market for a new phone  .
then look no further  .
best phone on the market to date .
i'm another one of those guys that never submit reviews  .
but i have to give this device praise  .
pound for pound , this is the best smart phone i have ever owned  .
here is my phone evolution   motorola (that is from when i started caring about the device i carried) v60p which i still have , lg env , samsung sch    i760 (my favorite) , vx6800 (what a brick  .
) the body could have been better  .
but this is not bad at all  .
i got the black shell case from verizon plus the zagg invisible shield and i'm good to go  .
google has slipped up by not letting the nexus 1 hit verizon's stores  .
this phone has it beat head and shoulders battery life is mediocre  .
but that's mediocre for my tastes  .
i would call my self a power user that has all the bell and whistles an signals on all the time  .
i text alot  .
i'm on the net alot , i use the gps alot  .
i run my mouth on the phone alot  .
your results may vary  .
but hey there is a 1750mah battery out there for 50 bucks that solves this problem  .
and if your on a budget (like the cost of this phone left you broke) , a cheaper alternative can be had on ebay (2x 1500mah batteries plus desk charger)  .
under 15 bucks to your doorstep  .
there are even rumors of a 3500mah battery  .
similar to the one for the eris if your are on verizon already and are due for your new every two upgrade , your getting a banging deal on the phone ($99 150 with taxes ) using an android device is taking some getting used to  .
but that is only because i am used to the previous limits of smart phones (former win mobile prisoner)  .
every day i have an ah ha  .
moment with this phone  .
if you want to stay connected to your digital world , then this device is your leash  .
even you crackberry users may be swayed by this one  .
it even supports an exchange server  .
flawlessly i might add  .
i'm content with the fact that i waited and bypassed other devices for this phone (read   droid milestone , storm2) getting over my need for a keyboard is hard  .
yes i have fairly big fingers  .
but i can type on this device faster than i could with my lg env (by leaps and bounds) and accurately to boot because of the predictive corrections it makes for me  .
and if you don't like that , it has the voice to text feature nailed  .
seriously , let this be the review that makes you pull the trigger on this phone  .
i almost do not want to tell anyone  .
like its my secret so i will be the only cool kid on the block  .
while the rest wait for the newest crackberry or iphone  .
