i always listen to music with this device day and night  .
with time no doubt they will do the same for music and videos the mini usb cable that comes with the player is far too short , probably about 3    4 inches in total  .
i use a usb extender when i want to transfer anything to the player  .
i suggest you buy the same if you do not have a long distance to travel from the player to your usb port overall , the player does what its suppsoed to , plays music , pictures , and videos , and it does so well in all facets  .
expandable memory is useful and cost effective and it has all the good features of the ipod in my opinion , and then some new ones  .
you can still use itunes and any other organizing system you want  .
you should buy this player and the 4 gb sdhc card for 35$  .
that and a case , and you are set for life  .
for the ones who look for a small gadget , that can play nice quality sound , great vivid pictures and video , plus radio , microphone and extras (such as calendar and tasks register) this is it  .
some crashed  .
no surprise , among millions , it�s perfectly normal some dozens would crash mine works like a charm  .
with this looks features , quite frankly , don�t know what more you can ask for  .
greatings  .
this is would be my mp3 player of choice but they just brought out a 32gb version i think this could be the turning point for creative , this may just be a platform to launch them to compete with the ipod  .
not only is it cheaper than the equivalent , the ipod nano , its got a larger screen , is nearlly as small , and is almost as easy to use  .
the buttons just make you want to press them , and manage to be intuitive at the same time  .
the audio quality is superb with a brilliant equalizer and if u plug a decend pair of head phones in it will literally rock your world the only con i can see here is the screen does become very greasy over time , how ever , i'm easily up for whiping the screen every so often , its definately no biggy .
i ordered the creative zen 16gb portable media player from amazon  .
com for $200  .
i've had it for two days now and am already very accustomed to it  .
it is an amazing music and video player  .
it has many features , 16gbs of built in flash memory , and an amazingly good price  .
in the following paragraphs i will go into detail about each aspect of the player music   the zen supports many music file types (drag and drop)  .
it's sound quality is amazing (i use the shure se110 headphones)  .
using these headphones , i compared it to the ipod video gen1 and heard a noticeable quality difference  .
i highly recommend the shure se110's with this player video   the zen plays wmv video files and comes with video converting software that works great  .
a great thing about the video converting software is that is optimizes your video files for the player and at the same time greatly reduces the video size allowing you to hold many more videos  .
the video quality is also amazing  .
it is much clearer and brighter than the ipod video  .
the screen is about the same size but has 16  .
7 million colors compared to 65 , 000 on the ipod radio   the radio works well and also sounds very clear pictures   i have not used this feature yet but the software can optimize your photos for the player's screen or you can just drag and drop your pictures microphone   i have not used this yet but i know it will work great extras   it comes with a date time screen , calendar , and contacts settings   you can adjust the player to the exact specifications that you like such as brightness , sound quality (eq , enhanced bass , etc  .
) , slide show settings , etc the interface is simple and beautiful  .
the bottom line is that this player is the best i have ever had/used  .
besides the fact that i am nervous about dropping it on the ground , there are no cons  .
i would recommend the creative zen 16gb to anyone who wants to move away from the ipod craze or just wants a great personal media player if you have any questions feel free to e    mail me at    .
ix_envy_xi@hotmail  .
com  .
what first struck me is that the player is almost all screen  .
and what a gorgeous screen it is  .
vidoes looked awesome on the 2  .
5 screen , and i is comfortably able to watch a 40 min  .
episode of life on it  .
photos looked fantastic as well and the sound quality is simply awesome  .
let's leave it at that it's also cheaper than the same capacity nano and zune while having a larger screen  .
it's music format compatibility is second to none although mine only seems to support album art on wma files the sd card interface is also a little bit dissapointing  .
media on a card must be viewed seperately from media on the player as far as its interfacing with my computer i find that wmp 11 is great for transferring music files  .
for photos and videos however , i find that treating the zen as an external usb drive makes it easier to organize files into folders and categories i personally tried out the zune 8gb and the iriver clix 8gb before choosing the zen  .
it had a larger screen than both as well as having a more solid feel to it than the clix  .
also the zune doesn't play protected wma's , and both were more expensive  .
i chose it over the nano simply because ipods have a reputation for mediocre sound quality and don't include fm tuners  .
(seriously , in the age of do    it    all devices how can you not include a radio with a music player  .
) also the zen is cheaper and has a larger screen  .
i also looked at the sansa view which has a screen that's almost as large  .
however , the body of the view is much bigger i paid $160 for the 8gb zen and could not be happier .
americans are easy victims of massive advertisements  .
ipods are nothin but products of media hype  .
for those who say this or that crashed , same also happenned w/ my previous ipod on its 2nd day  .
tech is not perfect  .
its a matter of having a bad luck , i guess  .
but i tell you , this is the gadget to beat ipod  .
if this pace of zune's improvement by microsoft continues , the day is not far behind when zune will leave apple ipod behind sachin  .
(http  //qtp  .
blogspot  .
com)  .
my excursion into ipod    world (after owning a zen usb 2  .
0 since 2002 that refuses to die) is a disaster  .
the ipod is definitely the prettiest girl on the block , but is obsessive    compulsive and narcisistic it's the apple way or the highway  .
hence , back to creative  .
i now have a few of them , they have consistant flexible menus (ever try to create a playlist on an ipod and save it and i have an advanced degree from harvard  .
the screen is beautiful  .
the software is easy to use and familiar   it gets along with my computers i know what i am dealing with  .
i find the build and quality of creative products to be excellent  .
they hold up  .
the buttons are small , but now that i am used to them (same layout as the vision w)i use them reflexively  .
i have not used the sd slot yet  .
16 gigs is actually quite a lot and i have the core of my music and photo gallery with me as well as books from audible and the public library (overdrive    not apple compatible  .
) very pocketable worth looking at  .
the creative zen 16gb is worth the wait  .
i like the secure digital slot , picture quality is great , although i would have liked a 3 instead of 2  .
5 display  .
you can get it from creative for $250  .
this thing is an ipod killer unfortunately most people are stuck on the ipod name and will buy it blindly  .
i dont feel insulted by creative unlike apple who forces you to use their itunes software which is complete garbage zen is the smart way to go  .
ipod is archaic by comparison  .
creative labs is an innovative company and this is my first creative mp3 player but so far so good  .
i love the fm tuner too    lovely to listen to while i study  .
a great replacement to my zen microphoto ; with its expandable sd slot , its capacity is as big as the number of sd cards i want to carry or as of the biggest current capacity audio playback is fantastic with it being sharper and crisp video playback is also as sharp and clear only drawback would the bundled software as it takes quite a long while for videos to be converted to fit into the player also it seems to be built of cheap materials imo maybe making it slightly heavier would be better .
this player is really the best  .
i have tried ipod , and one thing that i dislike about ipod is the must to use itune i got it and this player is slim , classy , reasonable priced , excellent features , unlimited memory space with sd card highly recommended  .
i emailed the folks at creative to ask when the 16gb version is available  .
i got back a nice response saying it wo not be available until mid    to    late oct  .
it's expected to be priced at $250  .
for anyone that's thinking of getting it , i would recommend waiting till the 16gb version comes out    you get double the memory of the 8gb version for only $50 more  .
i can recommend creative products , i own the zen micro 5gb version and love it , it's over 3 years old and works great  .
i'm only changing because of the upgrade to a color screen and more memory .
creative is selling it below thier list price if you thought it is a bargain at 150 go to their website now and order the 4gb for 129  .
i is trial in iea2007 , it's great i like it  .
audio quality   perfect .
overall i'm very happy  .
the sound quality is  nearly  unbeatable , the screen gets the job done more than well enough , and the interface is as good as i've ever seen  .
my only real complaint would be the build quality  .
while reliable overall , the buttons feel cheap , especially the power/hold button  .
my player is also prone to sudden freezes , which requires poking the tiny reset to fix .
i love my zen and use it every day  .
it sounds great , boots up fairly quickly (could be faster though) , and is easy to use  .
the user interface is decent and is fairly attractive  .
it syncs easily with audible  .
com and windows media player (wmp)  .
with the solid state drive you can use it while running and don't have to worry about dropping it  .
i wish i could rename files when they're on the device , but i have not been able to do that i use it for videos occasionally , but the small screen is not ideal for that unless you have great vision have had some crashes , mostly around syncing  .
if you close wmp , for instance , with the player still connected it may need to be reset (do what wmp says , which is disconnect it when your sync is done)  .
the navigation buttons can be hard to use with a silicon case for anyone capable of independent thought (i  .
, anyone but an apple slave) this is a great mp3 player  .
it delivers the best combination of performance and value and i've been really happy with my purchase .
my 16gb zen is replacing a dell dj , an earlier creative product which gave me good service for almost four years but finally got too buggy  .
the zen has a lot of great features and i am basically happy with it  .
however , the software is a step back from what came with the dell dj  .
specifically    .
your files show up in the folders they were in when you transferred them from your home computer  .
there seems to be no way to reorganize the folders once they are on the player       the software does not show you the menu structure that you have on the player , only the original folders  .
this makes it very difficult to organize the media on your player in an efficient manner  .
the dell dj software could do this   list files by artist , album , genre , etc       you can only retag one file at a time  .
the old dell dj software let you highlight multiple files and retag them  .
i work around this by using media monkey to retag , but it is an annoying extra step my suspicion is that creative wants you to buy their upgraded software for 40 bucks and has therefore removed capability from the included software  .
very annoying does anyone know of some better software that can be used to organize and retag the files on a zen  .
this is a great product  .
i have the 4 gb version , and havent had a single problem with it  .
screen is crisp and clear , and a good size for such a small player  .
works great with subscription services , like rhapsody , and videos from amazons unbox  .
only thing that i have against this player is that it doesnt support full integration  .
what i mean by this is , unlike some mp3 players , like the sansa view , the media on the memory card isnt automatically organized into the catagories on the player  .
instead you have to browse through the memory card  .
other than that , its a great mp3 player with a good screen , battery life , and stylish look .
to me , creative will always be the best  .
i previously owned a zen vision  m and loved it for it's space , screen , and the oh so efficient touch strip the zen has the same great sound quality and has an awesome menu system  .
however , i would like to see the sd expansion used as recognizable storage for music integrated into the library .
i bought two of these (one 8gb for my sister and one 16gb for myself i is being greedy)  .
the player works well and i think the cnet review is pretty on point for the most part  .
the player is crammed full of features , it sounds good and is chock full of features that should be standard on all players i wish that it came with bluetooth support , but i realize that this is still a fairly high class feature , so i wo not hold it against the zen for now as for working with the player , my sister is not zactly techie , but she loves the player  .
she does rely on me to upgrade her firmware , but then i do all her electronic things for her i think the player is nice , but the real reason i chose it is the sd card  .
since i use sd card in my digital cameras i wanted to be able to 'dump' my memory onto something while i am in the field (of saaaay cambodia) and be able to keep shooting  .
the zen has can do this and has allowed me to keep my overactive photophinger going  .
one caveat   the firmware only allows for you to copy over the entire sd card  .
which is cool if you are trying to do a mass dump quickly , but does not allow to take a single or small group of pictures for safe keeping  .
i hope they change this in the future as this can fill up the player quickly a common gripe against the sd card is that it is not supported as a part of the memory  .
this is annoying , but it is not horrid  .
you have to think of the sd card as a separate drive , not as a part of a player  .
going to the sd card will stop your music and you cannot search or browse the same way  .
i find that if i keep video on there , it is not quite as jarring , and keeps my player space open for music also , realize that while the zen does play video well , i have yet to find something that will play natively  .
the conversion process through windows media is not bad , but there are times i wish i could just stick my sd card in and watch with out planning for it  .
still the video player came in handy more than once while waiting for whatever in all , i like the player and would recommend it .
i absolutely love my zen  .
it sounds great , looks great , has tons of storage , includes lots of extras  .
definitely the best choice  .
great product  .
had the zen vision plus , had to send it because of it freezing all the time  .
i is put off creative , but i took a chance with them again  .
got the 16gig and glad i did , no freezing , very light , sound great , plays video  .
5 in screen is surprisingly viewable even while on the treadmill .
i've had this player for a month now and love the way it handles music  .
if i never use it for anything else , it will have been worth the price  .
it is pretty easy to get it operational and i copied in about a hundred cd's i've had quite a learning experience on trying to access free audio books (not audible) and found the documentation lacking in creative's instructions  .
i finally got it done for the first time but relied a lot on my other types of computer experience to figure it out because of my slow internet , i have not done anything with downloading videos yet  .
the included pictures are gorgeous and i'm looking forward to loading a bunch of my own battery life has been very good  .
recharging via usb seems slow but the optional charger is fast  .
the zen has driven all kinds of ear buds and headphones well  .
the layered menu system is not hard to use and just takes practice to get familiar with it .
the additional sd card slot is what makes the zen a better choice than other mp3 players around  .
the screen though , is more of a gimmick than a real useful feature  .
i mean why would i want to view pics of vids with that 2  .
5 inch screen when the display on my camera and psp are much larger and sharper  .
i'm looking forward to the next generation of zen when the buttons will be replaced by a touch screen , so they wo not use up so much space and thus leave more room for the screen  .
i actually have one of the 32gb ones  .
in the month and a half i've used it , it has met or exceeded all expectations it is literally the size of a credit card and only 0  .
44 thick i also use it with the creative hard case , which adds thickness , but it's still very pocketable , and the integrated kickstand is a plus  .
from an angle , there is a rainbow sheen on the case , but from straight on , it's very clear  .
there is no protection for the buttons on the clear case , so i used a clear screen protector film to protect them  .
the case is a tight fit , and the film will make it harder to get the case closed , so don't use too much film  .
i don't use the carabiner that comes with the hard case , because it's kinda weak , and on the nyc subway , someone's liable to literally rip it off of you i use mediamonkey to sync , which by itself is brilliant  .
mediamonkey gold will re    encode and sync on the fly  .
i use wma's on the device to save space (8000+ songs , 2 full length movies , 5gb to spare  .
, and the quality is good enough for the morning commute sd card integration is slowly improving with the firmware updates , but is still largely separate  .
i'm not too concerned because i plan on using the main memory for music , and the sd card for video sound quality , even with the wma's , is outstanding  .
i'm using skullcandy ink'd noise isolating earbuds (cheap and sufficient until my etymotic's arrive) , and on a busy subway , i rarely raise the volume above 10  .
there is also an eq for tailoring the sound to your taste video must be re    encoded to play on the device  .
yes , it will play divx  .
i use iriverter , with the zen vision  m setting  .
the included conversion software will work , but it only converts to wmv , it's slow as a dog (intel e4300 , 1gb ram) , and the end result on the player is not as good as what is produced with iriverter if you get this player , if you want to preserve battery life , the hold button becomes your best friend  .
afaik , using the hold button ensures the screen is off while playing if you don't need it , and is the only way to ensure the player is completely off and not in standby mode when you turn it off it's annoying , but you get used to it quickly , and it turns into a non    issue fm radio works well (when i use it) , i don't use the organizer (got a bb 8320 for that) , and i also haven't tried the microphone but i may try that to record a meeting later i have yet to try it with linux , but i'm sure that community will adapt soon i have yet to experience the wsod that i see people complaining of in the forums  .
not with the original firmware that came with the player (1  .
01) and not with the upgraded firmware (1  .
02)  .
overall , i'm very happy with the creative zen , and recommend it with no reservations for someone who does not mind getting thier hands a bit dirty  .
this player requires a bit more initial attention than the ipods , but for me is worth it for the greater flexibility and features .
my first mp3  .
wow , i thought it would be a no brainer ipod  .
then i got the lowdown to apple's priopertiary dominance to i    tunes and no one else  .
that sucked  .
the majority of my    tunes came from another legal source that won't upload with ipods newst software with out possibably jumping through a few firey hoops  .
hmmmm , i had to rethink this one as i don't support monopoly companies if i can help it  .
especially , since i've already invested the $$$ into my    music , i didn't want to start from scratch or take that chance  .
onward and upward  .
the research  .
it came down to two mp3 players the zen and the sansa  .
both have the same features , close to the same price range and the the sd expansion slot  .
although the sansa uses the micro card and the zen uses the next size of sd cards , it made a difference since i already have a few of these cards from other devices  .
the sansa had a few available aftermarket products as where the zen required ordering them decision time  .
ok , the zen  .
same sd card    check  .
16mb for under $200    check  .
biggest seller accross the rating board , it has the highest satisfaction rate  .
clincher  .
moment of truth  .
i'm glad i made the decision i did  .
in a perfect world all mp3's would be flawless but this world is not perfect and neither are mp3's  .
zen has some things to work on , like workable mp4s that don't freeze up  .
second , creating a seamless use of the sd card with readable content though their software  .
third , micro mp3's are good but micro usb cables    bad  .
if your hdd is on the floor then you'll need a longer cable  .
the one included with the device is only 5 inches long  .
lastly , saving your pictures in the order you saved them in and not by a unforseeable requirement that the software chooses could be user error or not  .
i will be honest i have not read zen for dummies yet and that being said , it could be me but the software is user freindly , once loaded on my comuter it took over downloading my mp3's some mp4's with little effort on my part overall , the zen is doing fine with what i wanted it for , that being a quick plug and play one source for the car  .
all the other perks are great and will eventually be used and for now i'm happy  .
i really like this player  .
i had the creative zen micro for 2 and a half years , so it is time to get a new one i really have no major complaints       the music sounds great , the colors are awesome and it's a relatively fast player  .
not to mention the design       i love it however , i do not like the control pad  .
it feels really cheap and i'm scared i'm going to break it one day  .
i can actually move the buttons , which is a concern  .
also , i cannot figure out how to get the backlight to go off when the player is turned on  .
it's always on  .
i have it at the lowest setting , but i think it still drains the battery  .
the only time it will go off is when it's in the locked position other than that , it's a great investment  .
i'd recommend it to anyone who's looking for a good , flash    based mp3 player that is not an apple product .
this new zen is very nice  .
i love the small size and the controls are much easier to use then the click wheel of an ipod or sliders of previous zens  .
the only 2 things i wish is that you could change the order of the music on the fly (ie by name , or by length , by album) like you can on the ipod with itunes  .
and not being able to record from the fm radio like the older units is a detriment  .
other then these small snags its a great mp3 player .
because i am in an informal reviewer position at a college , i own a handful of mp3 players , including the ipod classic 30gb , the treo 700p , a zune 2nd generation , the creative vision m , the creative muvo , and an rca mp3 player  .
easily this one beats out all the others , although the treo does a fine job for basic stuff and handles everything else as well  .
if you only get to buy one product , make it a smartphone , but if you can afford to also own a dedicated mp3 player the zen is an amazingly clear and easy to use device that doesn't require much time to figure out how to use  .
it has many little niceties for the user that companies like apple or microsoft won't provide , such as agnostic support for file types , and the ability to delete files directly off the device  .
the controls are satisfying and easily usable by touch , which is handy in the dark , and it doesn't require me to bother with annoying slider control inaccuracies  .
the one area i'd suggest creative works on is the sd card    sure there is a better way to integrate the sd card content with rest of the content on the device , and why on earth cannot i play audible files from the sd card  .
still , these are not deal breakers    nice job , creative  .
i have been waiting for an mp3 player that could hold all of my music while i exercise (i only use flash based players for that) and this fits the bill  .
i am not much of a video watcher so the capacity is more than enough for my growing library  .
i had to return my first one because of hardware issues but the second one works great  .
i think think that is better than the ipod nano because of screen size and standard interface  .
i cannot wait for more accessories to be released  .
i do wish that there is a direct link to podcasts on the user interface  .
i have to dig through my music library to find them  .
overall a great player for those who like exercising to new hits every week  .
first up some caveats   i love creative products  .
this is my fifth creative zen player  .
i bought a zen micro for my oldest daughter and loved it so much i bought one for myself  .
a year later i bought my youngest daugther a zen microphoto  .
shortly after that i bought my son a zen v plus  .
all have worked flawlessly  .
