their is nothing to say but the iphone 4 is the best phone in the world  .
also , there should be a multi carrier platform , at t has a great 3g network , but that is if you can get a signal  .
lastly , flash support  .
while not of major concern , it would certainly be a great addition to the phones already awesome browser .
i see all the iphone bashing going on in these reviews and most of it is from folks who have never used one as a business tool like i do  .
i is a loyal blackberry user for years before making the switch to apple and i have never looked back  .
i have also converted my office from the pc and windows world to mac os and that is the best business decision i have made in years i have tried other phones with android , windows mobile and they all fall short  .
i hate to say this but the google email and calendar functions are much nicer and streamlined on the iphone then on the google phones  .
i will say that apple needs to make improvements in the multitasking and allow the end user to set up the phone the way they would like it to look instead of the one way approach they currently have in place they have become a 50 billion dollar company because they build stuff people want and they stand behind what they build  .
i would love to see apple just make a phone that any carrier can use and quit lining themselves up with one carrier  .
i hate at t because they nickel and dime me to death and with all the cell phones and portable internet devices out there , there is no reason any carrier should be charging more the 79  .
00 for everthing period and they would still make a fortune as to all the iphone haters and bashers out there , keep you second rate devices and i will keep on using my world class phone and enjoy it everytime someone ask me is that the iphone and i proudly say yes it is .
i used my phone unhacked for months and finally got sick of being restricted by stupid apple restrictions if it was not for the jailbreaking community i would like this phone but it would not be nearly as perfect  .
people complain about signal but i generally have strong signals when my friends have very low or none every thing that is customizable on it , i have a personalized theme and background all my settings are configurable and sbprefs allows me to toggle almost anything i want instantly , edge , 3g , bluetooth , brightness , processes , ssh , wi    fi , autolock , rotation its perfect  .
i recommend it to any iphone owner  .
having had blackberry 8900 for almost an year and switched to iphone , i gotta admit the better user experience iphone offers  .
to start off , the software iphone uses is very straight forward and almost never lags  .
everything is streamlined and runs smoothly  .
for the same $30 dollars a month for unlimited data plan , i get way more out of my iphone than a blackberry  .
there is simply so much more to do on iphone  .
at the time i switched to iphone there are many other choices out there with better hardware  .
but , for a consumer that does not know a tad about hacking , i believe the usability or a phone is way more important than raw tech spec  .
iphone have over 100 , 000+ (and growing) applications in their app store , most of them are cheaply priced or free  .
i also love the fact that iphone receives a system update every year or so  .
with all the available applications and new updates for its software , iphone is a phone you grow with , not out of .
im sorry but anyone giving a piece of technology this unbelievable needs their head read  .
evrything is amazing right now and nobody is happy louis ck  .
it is a mini laptop  .
updated  .
on jan 13 , 2010  .
if you hate yourself and your neighbors then you can probably hate on the iphone too  .
but really who gives a crap about the cons , just buy the phone and throw your worries away forever  .
the best phone there is yet  .
with the voice control , i never seen any cellphone with that function , i like it , and any more , its design and interface is very good  .
in fact , http  //www  .
cellphone    china  .
com is a good cellphone website , i think that is very good choose for you .
before i got mine , i is skeptical about the iphone , but once i got it , i is blown away by the features  .
enough of the bad talk about the iphone for reasons of call quality and coverage , thats the network , not the phone  .
i could not imagine a better phone .
the apple iphone continues to be the phone by which all other smart phones are compared  .
most of the negative reviews you see here will be from pre or android users  .
the iphone is still the phone that does the basics in a world class fashion and adds to the experience like only apple can (bt , wifi , apps , etc)  .
don't worry much about what you read about the iphone not being able to multi    task it can and it does multi    task  .
there are core apps (like phone  .
app , etc) that are consistently running in the background  .
you can access another app while on a call and not loose the phone call  .
so it is constantly multi    tasking the core apps , and also lets you access apps while on a phone call  .
what it does not do is let you control what multi    tasks       i have yet to see a need to do this , and am happy my phone does it for me .
the phone is amazing  .
the carrier so so much .
it is a perfect gadget  .
it is useful for all    buisness , personal , entertainment  .
very handy and unique .
i switched from a motorola razr to the iphone 3gs 16gb so you should have an idea of the leap in technology i experienced with the iphone  .
a gigantic leap  .
this phone is very easy to use  .
i text a lot so i is looking forward to using the qwerty keyboard on the iphone  .
once i got the hang of it , the keyboard is very easy to use  .
i'm a facebook fanatic so the fb application is very cool to use  .
as a matter of fact , the iphone facebook app is the main reason why i bought this phone  .
i'm still learning the phone since i've only had it for 2 weeks now (28nov09)  .
but so far i am very , very happy with this phone  .
i've heard negative things about the call quality , but i have not experienced it  .
the call quality that i've experienced has been very good clear  .
the headphone that comes with the iphone is not bad both for listening to music and talking hands free  .
i highly recommend the iphone 3gs .
absolutely love this phone  .
very intuitive and everything works all the time  .
my husband has verizon and i have at t wireless  .
between the two our service is pretty much the same  .
the call quality on my iphone is superb  .
i upgraded from a motorola that supposedly is reviewed for excellent call quality and everyone tells me that the new iphone is much better and that is in rural nh with limited service  .
all the applications are just awesome  .
the phone is easy to adapt to and it just does everything it is supposed to and then some  .
great quality construction  .
i is so happy with this phone i switched from a pc and purchased a macbook pro  .
i'm apple all the way now and one happy camper  .
iphone is great  .
at t is unfornuately the worst cell provider to have chosen to pair up with  .
apple should go with another cell provider , or their product will suffer because of it's dependancy on at t my experience    .
all of at t coverage maps show downtown chicago as 100% coverage for edge and 3g  .
this is not the case  .
i get dropped calls 50% of the time , no exageration  .
i cannot use the phone anywhere above the 10th floor of any building in the city , which at t says is normal  .
however , i previously had verizon , and never experienced this type of cell dropout  .
at t is clearly lying about cell coverage , and any time i call to complain , they just say you are wrong , our maps show full coverage in that area  .
honestly , i really like the iphone  .
it does just about everything  .
it connects you to all the facets of your life  .
i have the 32gig 3g    s  .
i feel that it's extremely fast , especially over wi    fi  .
but all i have to compair it to is all the junky verizon phones i've had  .
they were so slow and aggrevating  .
the iphone seems so far ahead of all the competition both in ease of use and speed  .
it really is a palm computer  .
now , if you are talking trends , iphone downloads music , crazy easy  .
i mean , it's an ipod  .
itunes is the mother of all download services  .
no one does it better  .
the camera is darn right good as well  .
while 3 mp is not earth shattering , it's still very good  .
in fact , i'd say the picture's are printable  .
the video quality is extremely good as well  .
there is such a huge support market for this advanced piece of art  .
when they say there's an app for that , they mean everything  .
banking on line , ebay , amazon , games , gps , stocks , spell check , news , an app to show you excactly where you parked , weather and my favorite , dozens of resturaunt guides  .
what ever your interests are , there's probably an app  .
your iphone is capable of being personalised by you , in more ways than i could possibly know  .
each one of these portholes (apps) , are just that  .
the droid might be a worthy phone , but , i doubt it has the support infastructure of the iphone  .
this is not a phone  .
this is a sophisticated hand held computer with a phone built in if you want a well constructed , beautifully designed , fast , multifunctional , device then the iphone is for you  .
if you dont care about these things and want a cheap phone go to sprint  .
warning these devices are addicting and you will find yourself buying all of apple products after using an iphone or ipod  .
remember i warned you .
work home club bar kitchen travel , car , , grandmas , , , this works everywhere , along with all of apples accessories and all the hack    a    ble solutions , , , g sus phone i coined that  .
lol  .
everything works intuitively  .
the i    phone does everything , but you do not have to learn how to use it  .
it is truly a computer in my pocket  .
web access is as good as my desk top , zoom is so easy , no matter where i am the internet is with me  .
e    mail is great , i erase them as they come , no 10 , 000 unread e    mails on my computer  .
phone works great , speakerphone is fine , visual voicemail is great , texting is great  .
no signal problems for me , so far better than verizon , i'm in la , oc area so others might have problems , but i have had none  .
oh yea , i almost forgot its an i    pod too  .
great photo editing app , push    up app , calorie monitoring app , weight monitoring app  .
upc reading app , photo document scanning app , daily spending app  .
camera takes real photos  .
i market citrus to national grocery chains , used to have to take pictures in cooler download and e    mail  .
now i take the picture edit and e    mail on the spot , incredible  .
i have had no battery problem  .
the a/c adapter just plugs into the wall , get a ups extension , keep it plugged in at desk or car updated  .
on oct 15 , 2009  .
this is my 3rd iphone , and simply the best one  .
i should of waited for this one the 3gs  .
i am so pleased with all it can do  .
i cannot get over the fact it is a mini tablet in the palm of your hands for so little money  .
i am getting 3 days now out of the battery compared to 1 day with the old 3g  .
which i sold on craigs list for $400 it is so much faster and responsive  .
i did several side by side test with the 3g and 3gs  .
the results were not even close  .
3gs makes browsing the web like using your laptop with broadband  .
starting a game like ferrari gt is 8 times faster and no in game lag  .
turning on the phones is like night and day  .
the 3gs is so fast i is surfing the web while the older 3g is still loading  .
gps worked so much quicker and more responsive  .
i have no complaints at all with this new 3gs model my only gripe is the people who give negative reviews  .
why didn't you return the phone if you are negative  .
i know i would have if i is not happy with it just got to love 600mhz processor and 256mb of ram and the new itunes cover flow for the iphone apps is simply easy did you know the iphone 3gs is also a text reader  .
in the settings under general click on accessibility and click on voice over  .
this is so damn neat  .
maybe you wo not want it on all the time but if you have a long newspaper article or email to read why not let it be read to you  .
the handicap features are bar none to any other device  .
apple thought of everything here you can even change the appearance using accessibility  .
pretty damn cool and how many products are still worth a good chunk of change when you own them  .
go to ebay or craigs list and see what they are selling for if you decide you want to get out of it .
new features such as video and voice control along with the speed boost make the 3gs a great upgrade .
i love the touch , the feel , the fabric of our lives  .
but seriously folks , this is a solid classy phone  .
every feather is well thought out  .
i love the way it feel in my suit coat  .
none of that silly hooking it to your belt crap holder and stuff  .
just pull it in your suit coat or pant pocket or blue jeans and you are good to go  .
i love it  .
i get my news , daily stock quotes , and email on the go  .
i like that i can read ebooks and kindle books on my phone  .
with documents to go , i have the entire microsoft suite on my handheld  .
i can sync my contacts and calendars and have then withme  .
i like that if i lose my phone , i can remotely wipe it clean if there is no hope of finding it with mobile me technology  .
i like the navigation capabilities  .
it's great that i can now get live or recorded tv broadcasts with the updated eye tv app  .
yahoooo there are just so many things that i can do with my 3gs iphone , and do them well  .
if i forget it on the way to work , i feel incomplete and lost  .
in my book , the iphone rocks .
the bottom line is once you tweak all the options to minimize battery drain the amount of time for active use and stand by is totally accurate  .
i used apple's site and their tips and it works like a charm  .
if you're still complaining about your battery life then you're doing something wrong , not the phone .
awesome phone  .
way to go for all phones .
okay , so i is able to pick up my apple iphone 3g s 16gb from jab cellular (http  //www  .
jabcellular  .
com) it is factory unlocked , brand new  .
this means that it came from the manufacture , unlocked version 3  .
0 os direct link to the product is   http  //www  .
jabcellular  .
com/apple    iphone    16gb    unlocked    p    61  .
html you can get black or white , and they also have additional product options  .
i absolutely love my phone , and loved the service from jab cellular  .
i will definitely be returning to jab cellular in the future a+  .
just a brief story i is with sprint for 5 years and always had their top of the line phone all of the htc's , and pda's , and i always had to return them in for some defect that i found on the phone when my ipod is stolen i decided to leave sprint for the iphone 3gs to combine my ipod feature and phone together and oh boy that is the best move ever i remember when i first got this phone about 3 months ago i is telling everyone about all of the features it has its definitely the best phone out there  .
its super fast , doesnt even feel like you have a phone closing and opening app are easy , now with the new update mms picture mail is soooooo cool and practical no need logging to the net to see you photo or video , you receive them as a text and you can give your phone#@mms  .
att  .
net to your friends and receive emails instantly like the blackberry in the form of a text there's just sooo much you can do  .
i have a program that monitors my calories and sets a goal for me for christ sake  .
you cant go wrong with this  .
if you feel that 299  .
00 is too much to spend , then pay for the 16gig the only downfall with this phone and that i'm scared of is , there is no insurance plan if its lost or stolen  .
(one thing i will miss from sprint)  .
and the reception can be a tad bit better  .
but the good definitely out ways the bad  .
dont think about it , if you dont have it yet get it  .
what are you waiting for  .
overall i love this phone , i got it this past week and it has made my life so much easier  .
i am able to look things up quickly , i have games to always play , i am able to email my coworkers without any problem , and i do not have any calling problems  .
i do wish i could use the music that i already have in my itunes library as a ringtone without having to pay to make it that way , but other than that , i love this phone  .
wanna get a free iphone 3gs  .
it's really simple ,  .
go to xpango  .
com register there and type the referral id    91935437  .
c'mon just try it .
please let me start by saying unlike some other users reviews , this is of the iphone 3gs , not at t  .
if you dont like at t , leave and stop complaining about them on an iphone review  .
i just switched from another carrier to get the iphone 3gs because finally , the phone has the capabilities i wanted  .
this phone has pretty much everything you need in a smartphone  .
no , it does not multitask , but is fast enough to just close and open other apps back to back with no lag ( and most every app starts you right back where you were) unlike winmo phones , and the infamous palm pre , this phone has no lag that i have yet to find , does not need to be constantly reset , and pretty much everything electronic is ipod/iphone compatible , not htc or palm compatible  .
i believe palm is even try to leech off itunes , even after being blocked from syncing to it twice now  .
truth is , the phone is a great device , does email well , browser is wonderful , even the keyboard is great (and i came from a touch pro 2)  .
music capabilities on this phone are unsurpassed by any other phone i have used , moto q , htc touch , diamond , pro , and pro2  .
video on this phone is excellent (including the video recording  .
people complain about not being able to customize the phone  .
i is sick and tired of having to try to find roms for my winmo phones to make it faster , more stable , etc why would you want to customize the 3gs if it does everything already  .
the service costs a little more , but in my opinion , having a phone that does not constantly lock up , or need to be replaced due to faulty keyboards ( htc people you know who you are  .
) is worth the extra few $$ a month  .
i am not an apple fanboy , and hate macs , but have to admit this phone does everything i need , and does it very very well updated  .
on sep 22 , 2009  .
for me , this device is great  .
this is my first iphone so i cannot compare to the older models  .
this is also my first multi    use device that i actually bought a dataplan for  .
so far i love it and have not found anything wrong software wise the apple connector bugs me because it's much larger than it needs to be  .
if you look inside the connector itself you'll see that it only uses 5 of the pins  .
a much smaller connector could have been used and the remaining room could have been enough to accomodate a microsd expansion slot jailbreaking the iphone imo is completely worth it  .
it solves the but apple restricts the apps you can download arguement and it is completely reversable and will not 'brick' your iphone the only other gripe i have is that it is pretty fragile and a simple small drop could easily crack the screen  .
i solved this by getting an otterbox case for the ultimate protection  .
it makes the size much larger but being that i'm used to the size of a t    mobile wizard , i think i can live with it .
just about everything on this phone is amazing , the only real downfalls are the battery life and possibly the voice control , which is not as acurate as i would have liked it to be , as far as battery life goes , my 32gig 3gs model lasted an entire day of heavy usage , when you consider that the largest draw on any phones battery is the screen and the radios , and this phone has a massive touchscreen and just about every radio there is makes what battery life this does have actually quite impressive , as long as it lasts thriugh the day who cares  .
it's not like you use the phone as you sleep right  .
please do not take me to be one of those people who like apple just because they're apple , i'm actually a big microsoft fan , but apple put the best product out on the market and i think it's great , i would recomend it to anyone who can get the upgrade discount  .
to finish this off i would just like to say that i submitted this entire review on my iphone on at t's 3g network as easily as i would on regular computer  .
great great phone  .
the service from at t could be better , but overall , 5 stars  .
this phone does it all  .
my wife got the original iphone , then i got the 3g , then she got the 3gs  .
her brother got one , my sister got one , my sister's husband has one , everyone i know has one or is getting one  .
and once you own one , you will not want another phone .
i'm a big fan of my iphone , and so is everyone around me  .
i is on an unbeatable employee advantage deal with sprint and could never justify the crossover until my employee connection is laid off  .
once i realized i is paying a little over 60$ for kinda    wish    it    was    an    iphone , i is okay with just spending thirty extra a month  .
i live in columbus , oh , and the service has been fantastic  .
i'm moving to chicago in a few weeks and during my last trip there i noticed that the reception is fine , but the gps required just a wee bit more patience because of the tall buildings , and that i have no reception issues although i saw iphones everywhere i look for the deals , and for what the iphone provides me , the price    tag is not outrageous  .
but i make full use of employee discounts that are not advertised at all  .
i also think it's going to be a huge wake    up call when other carriers get the iphone  .
everyone will be happy because some people will be able to go with their preferred carrier , those who stay with at t will be able to breathe a little easier in bandwidth , and maybe , just maybe , the price tag will tumble a bit i'm optimistic it seems that people are just easily offended at what seems to be a logical issue  .
spread the load of the data to other carriers and everyone will be happy  .
when at t got the iphone i do not know if they knew they were signing up for such a deluge of customers  .
i can see them sitting in there offices sweating , praying , begging , somebody , please , design something better than this thing  .
make the iphone killer for jobs' sake  .
battery life is fine in mine  .
i took the bells and whistles down a bit , lowering the screen dimmer to 70% and turning off constant wi    fi  .
when i splurge , i need to recharge at the end of the day (but i'm actually at about 50% , so need to remarks to my own ocd  .
) under heavy usage , the iphone lasts as long as it should need to , and the chord is pretty portable anyways .
i is in the market for a phone that could offere me wifi  .
however , i did not want to purchase the data plan to be able to use the wifi option  .
therefore , i searched the net and is able to find a brand new , unlocked , iphone from http  //www  .
jabcellular  .
com they were awesome to work with , and i absolutely love the phone  .
nice job on this one apple  .
i did not get this to completely replace a pc , but to almost do it , and that is what it does  .
it allows me to keep up on my job hunt activities , help me watch my calorie intake  .
share moments with my family  .
keep me on track with my appointments  .
keep me entertained with my music library at my finger tips  .
also keep me entertained with the online access to audio streams of radio from around the world  .
keeps me informed when i am otherwise wasting time  .
and can be is turned off when i just want some peace  .
sometimes i use it with the meditation apps providing binural beats updated  .
on aug 31 , 2009  .
i've always been a tech junkie , especially when it comes to cell phones so i clearly know my fair share when it comes to technology  .
the iphone is hands down the most impressive phone on the market  .
it's text messaging and auto    correction system is perfect  .
over time it detects your spelling habits and adapts to them  .
if you modify the phone in certain ways the customization for it is ridiculous  .
you can do just about anything to it that you want without compromising the os  .
mms and tethering are finally available , but not on at t just yet    which has made me consider switching providers  .
as of recently the iphone is now extremely affordable , and realistically    there is really no reason to not buy this phone  .
you can get an iphone for $99 with a new contract which is less than some non    smart phones  .
i recommend this phone to every one of my friends and family members and i have never met a person who is disappointed with this phone .
wish i owned one sooner , had slower windows mobile phones ,  .
the iphone 3g s is fast , i like the full html browser  .
taking pics / video's and emailing them is extremely easy , the sound recorder picks up sound very well , the camera has good picture quality , google maps is rich and detailed  .
the apps are endless and the possibilities are endless as well updated  .
on aug 8 , 2009  .
its a huge improvement over my blackjack 2  .
first thing i noticed is the fact that when i text message , the keyboard doesnt leave out letters , no matter how fast i type  .
unlike my blackjack where every other letter is missing  .
overall this is a great phone , and the apps just make it that much cooler  .
the around me app is amazing when you are on vacation , or a mission trip and need to find a gas station or a restaurant  .
i would 100% recommend this phone to anyone  .
updated  .
on aug 8 , 2009  .
mobile of 2009  .
i avoided apple products since the original apple computer  .
i is a pc guy and built a 2500 song mp3 collection using a rio and later a zune  .
than i had the ultimate (mis) fortune    i won an apple touch as a door prize to a conference i is attending well it is free so i loaded itunes and got it up and running  .
within a few days my zune started to collect dust  .
two years later i had spent more than $800 on itunes and it doesn't stop there  .
a few days before the new apple 3gs is released i started at a new company and the standard company phone is from at t    i asked about the iphone and they said sure , if you can get one well thanks to the business rep at at t i got two 32 gig 3gs phones on opening day (say what verizon  .
your business reps cannot even show how to use voicemail)  .
one iphone for me for the business account and one for my wife (we ditched verizon    been with them since bell atlantic) and moved over to at t i have had the phone for a month and the luster hasn't worn off  .
sure i had an itouch so many features were the same  .
but the 3g network works great (in and around dc    not so much down at dewey beach , de)  .
i wrapped it in a rubber skin with a face shield and it is surviving the beating i am giving it ipod functions are as great as ever phone is good but the ringer is weak    so is my last blackberry  .
easy to configure email accounts to both hotmail and outlook exhange (much better than blackberry especially if your company doesn't have the $1000s in blackberry enterprise software)  .
the apps rock  .
espn scores , weatherbug , facebook , ebay , pizza hut ordering  .
the maps function is manna from heaven    the live traffic update is brilliant    i drove to the beach and ran into stop and go traffic  .
pulled up maps function and saw bad traffic ending after a mile and green the rest of the way  .
a mile later we had a easy drive to the beach    wow what a feature great texting interface    conversations    need i say more  .
awesome sounds in the car    run the stereo through the auxillary inputs and dang it sures sounds great    i played with the options on the harder tracks to boost the output and the truck is rocking  .
movies on planes    i do not care what seat they put me in  .
i put on a movie and that's 90 to 120 minutes i am obivious to the crummy world on modern jets google voice search    driving down the highway    say find mr wash    the website pops up and i konw the exit to turn on to get there bottom line    this is the most amazing handheld hardware in history  .
i had the palm v , the ipaq , blackberries and finally apple has invented the swiss army knife of handheld devices  .
others will immitate but for now there are no equals  .
and for your haters    i is you and i have seen the light on my iphone screen updated  .
on oct 8 , 2009  .
to me this is the greatest phone ever made and it will continue to be number 1 phone  .
i don't know why others gave this phone a 1 star , most likely these people are a bunch of haters because it's only out for at t users  .
at t has the number phone out and yes it is the apple iphone 3gs  .
i left sprint because i liked the apple iphone and the way it is built and the things that this phone can do  .
so far i don't see any other phone that can compare to this phone  .
as for the iphone being on at t ; at t is the best network in the us and out of the us so i do not know what people are talking about .
i liked the prodect because it gave me the infomation i needed to now about the phone and it told you how to work the phone so it made me take less time in my life to get comtherbale with the phone then i thought it would  .
besides if i did not find this phone on this website i would not of got this phone  .
i also got this phne because it is afordable and i did not have to brake the bank  .
i think you are doing an exelent job on this web site keep up the good work .
easily the best , most versatile mobile unit out there  .
best interface , best apps .
itune synch , app store , fast , clear audio , multimedia , exchange server compatability , video is great , camera is ok  .
did i mention its fast  .
i love this phone  .
both my wife and i purchased one and we find nothing to dislike  .
coverage seem good where we live and i believe att will build more towers to compete with verizon  .
if they went to verizon also i know phone sales would skyrocket because of the coverage issue since verizon got started alot sooner in the wireless market .
its a great phone , and unlike other phones i have had the software has evolved by leaps and bounds and will continue to do so  .
bottom line is that over all this is the best phone out there with a company that can back up the product  .
att needs to work harder on the service to keep up with the demand of the phone  .
push notification has solved the multitask problem in a better way  .
most reviews point to this device as number one .
i have tried other touch screen phones , and nothing come close  .
the reason for this is the applications available for the iphone  .
there really is an app for everything  .
also , multitasking on a phone is way overhyped due to immediate drain of battery with that feature .
because there are so many apps available , would like to see upgrades that will offer more organization for the numerous apps (folder tabs or button navigation)  .
the camera and video are enough for my portable needs (if i want to enter a photo contest i would use my dslr camera)  .
the phone feels good in my hand , whether i'm on a call , or accessing apps  .
the design and interface are stunning  .
overall , i think apple did an amazing job of integrating ease of use with sophisticated styling , although , at times one can argue that the ease    of    use unfairly trumps the technology that could be integrated into the phone  .
but , when all is said and done , i appreciate the though that goes into this 'less is more' (bauhaus    esque) design path the pros definitely outweigh the cons on this phone  .
it's great to have a quality device in my pocket with a visually pleasing design that allows me to carry my ipod , camera , video recorder , to do list , shopping list , web , reading library , gps , workout program , recipes , art , banking , and gaming oh , right       and a phone i never take the apple bashers very seriously  .
historically , apple has set the bar for affordable innovation and design in the computer industry  .
what follows are the critics , competitors , plagiarists , and whiners who thought innovation and style amounted to siting in front of a plastic beige box while typing with a neon green terminal font against a black background .
its makes me so mad that the cnet people keep marking it for having bad reception  .
that is not apples fault its at t's  .
and this is the best phone out there  .
its keeps making improvements but all cnet editors want is more  .
more more more  .
how can it not have the editors choice  .
because of the reception  .
complain some more cnet losers  .
a href   http  //www  .
iintense  .
com build backlinks /a  .
a href   http  //www  .
iintense  .
com/subscribe seo marketing /a  .
although it's missing some features this iphone is the best one out their and the fastest , which makes the phone more enjoyable .
overall love it .
new customers should have no hesitation buying a 3gs  .
iphone 3gs offers a massive library of applications and a beautiful touch screen  .
simply there's no better smartphone out there today .
this is a must have for any apple lover .
awesome product  .
i switched to att just for this phone  .
the user interphase is flawless seemless and fluid  .
does everything i need and much more  .
i upgraded from a 2g iphone  .
i is reluctant at first , after reading random blogs about bad battery life , overheating , etc  .
i have had zero , read zero , problems with my 3gs  .
battery life is good , even when using 3g data and my phone has no problems with overheating or discoloration  .
in seattle , my 3g coverage is outstanding , no reception problems at all most of the time people will only take the time to post a review if there is something negative they want to get off their chest  .
well here i am with nothing to gain , posting a positive review  .
i love my iphone 3gs and am very happy i got it  .
i honestly do not think anything else compares .
i dont understand what you are saying about call quality or 3g reception i have had every iphone since the original and i never had call quality issues  .
i had some minor reception issues with the first iphone but that is not a big deal , since the 3g the reception became great and the 3gs is even better , i get 3g signals in places that my versizon friends and other people on att with other phones do not get any signal .
i've had this phone for several weeks now and as a first time iphone user , i couldn't be happier  .
i'm absolutely amazed at how easy everything is to use  .
texting is fantastic and the keyboard is extremely responsive and makes typing very easy  .
i've had a blackberry curve in the past and let me tell you that when it comes to speed , this contest is not even close i am amazed at how unbelievable the internet browsing/email is  .
the pages are very easy to zoom in and out of and as i mentioned , they load in just a second or two then there are the apps i never would have imagined at how much use you can get from the apps  .
everything from a wikipedia app to the news apps to the facebook app to the sports apps    make the experience that much more enjoyable and easier i'm also extremely happy with the ipod player  .
it did not take long to notice that the ipod player in the iphone is better than the actual ipod  .
the menus , displays , and ease of use actually make the iphone preferable i've had everything from motorola phones to blackberry's in the past , and i can tell you this phone absolutely 100% blows everything else out of the water  .
it is baffling as to why some people continue to rip the littlest features about this phone because i'd like to dare them to tell me anything out there that even comes close  .
i'd really like to know what phones out there that some of these people actually think are in the same ballpark as this if you have never owned an iphone before and have been wanting to experience it like i did , then i'm telling you to dive into the 3gs    you will not be disappointed in the least .
i sold my 3g for $250 on craig's list and spent $110 to upgrade to the 32gb 3g    s  .
love it  .
pretty good http  //www  .
giftsunusual  .
biz  .
updated  .
on jul 5 , 2009  .
no other smartphone comes close to the iphone none .
i enjoy the new iphone 3gs more so because i have experienced the previous iteration  .
the speed increase makes the phone more enjoyable  .
the home button feels different and more comfortable to press and also the oleophobic screen coating is excellent as a single wipe rids the prints  .
the voice control gets a little getting used to but is very well implemented  .
the inclusion of a digital compass is great for anyone that uses the maps app on a regular basis as it rotates to your direction  .
i is jealous when the 2g ipod touch received the nike+ chip and iphone 3g did not so i am very happy to be able to take advantage of that now  .
the camera is definitely a lot more usable now with the added features of video , touch to focus , increased ability in low light situations and other auto functions  .
anyone with a mobile me account will get more use out of the gallery with video included now  .
the smallest new feature but nevertheless important is the battery meter gaining percentage  .
that bit of information gives the user a definite amount of battery as opposed to guessing like in the past  .
the battery seems a bit more accurate now too  .
voice control is definitely a welcome feature as hands free ipod and voice usage is now possible  .
i have used it for ipod control more than voice so far  .
