its worth every cent , dime  .
if you can afford this , it is a must have  .
too bad pioneer is going out of business  .
also , i hired professionals to calibrate and install the tv to the wall  .
well worth it .
well worth the money    best picture ever    cant wait till its isf calibrated  .
slick design    looks great even turned off  .
shop around for best price .
this is simply the best television available today , no other direct    view television comes close now , or is likely to in the near future  .
we recently upgraded our kuro to the 60 pro 151fd from the 50 pro 111fd  .
the screen is a lot bigger    the math says its 44% larger in fact  .
here is my take on the 151 and some comparisons to it's smaller sibling   brightness is sufficient for a room with considerable ambient light   refresh speed and motion resolution are excellent    none of the motion blur artifacts common to lcd screens   to my untrained eye , color accuracy , greyscale and gamma are good out of the box in accurate pure mode and promise to be excellent with professional calibration   de    interlacing and scaling is good but not excellent  .
noise reduction is very good  .
just like on the 50 , 720p looks soft , implicating the internal scaling , not just the large screen size   displays 24fps at the native frame rate  .
though not an advertised , accepts both 50hz pal and 60hz ntsc to display at native frame    rate   pure cinema has been a source of considerable confusion  .
this setting is not properly explained in the manual , which uses obscure marketing speak that tells you absolutely nothing  .
this is what the settings have been confirmed to do    .
o standard    the source direct mode  .
for 1080p24fps materials , it displays at 72hz using 3  3 pulldown  .
for interlaced signals (480i and 1080i) , traditional 3  2 pulldown detection is applied to display at 60hz  .
leaves (480p , 720p and 1080p) at 60hz untouched o smooth    uses motion interpolation to build intermediate frames  .
not active on 1080p60 sources o advanced    like standard mode , displays 1080p24fps materials at 72hz using 3  3 pulldown  .
performs inverse telecine (recreates original 24 frames) when film    based video cadence detected to display 72hz using 3  3 pulldown  .
results vary depending on the quality of the source  .
not active on 1080p60 sources o off    24fps material is displayed at 60hz using 3  2 pulldown  .
film cadence detection is disabled   standard definition processing yields acceptable results through hdmi depending on the quality of the source  .
noise reduction options are effective with minimal loss of detail  .
highly compressed standard definition sources (e  .
cable) do not make good viewing at this screen size   internal scaling of non    native resolution sources is not as good as external solutions  .
compressed 720 (abc , espn , output at the native resolution) can be pretty soft  .
compared to 720p , a denon 2930 delivers a similar level of detail from pal dvd upscaled to 1080p  .
while the oppo bdp    83's abt solution is not as strong as the denon's reon    based scaling , both are easily better at deinterlacing/scaling dvd test patterns and reference materials than the internal processor   zoom modes are fairly useful  .
non    linear stretch mode has a very high level of overscan , making sd materials look even worse   image retention is simply not an issue with sensible viewing  .
we've not done any sort of break    in procedure as suggested in some corners of the internet but we have kept the contrast lower than normal    around 35  .
yes , we occassionally pause a bd/dvd and leave the room  .
we've watched lot's of material in the original aspect ratio with black letterboxes in the first 100 hours  .
no issues   design   the bezel of the 151 is slightly larger than the 111 and the stand is of a more robust construction to support the weight    over 100 lbs  .
the 111 , if you can still find one , definitely has sleeker lines but both are elegant when off   built    in home media gallery (dnla) will display photos , play mp3s from a computer or media server over your network  .
file support is limited    aac/flac/apple lossless files will not play  .
great for photos    probably not the most usable solution for music/video   our pro 151 is used as a monitor only so the included speakers are not attached  .
i cannot comment on the sound quality review rig consists of   oppo bdp    83 , denon 2930 , sa 8300hd (comcast) , hdmi pass    through denon 2308 i would say that this television actually has a better picture than it's younger sibling but that may be idiosyncatic    each plasma displays some individuality , if you'll pardon the pun  .
our pro 151 shows better brightness uniformity , better color and seems less noisy than the pro 111 it replaced  .
we got our 151 at cost well below the lowest advertised on cnet  .
if you live in the dc area , the folks at myer    emco come with my strongest recommendation for buying av gear    these guys offer great deals , unparalleled customer service and after    purchase care .
i love the pc hookup and all the features especially pro    calibration features , simply stunning with the correct sources  .
i really love watching hockey and bb in hd on this thing  .
blu ray movies are stunning to say the least .
if you want the biggest 'bang for your buck' the kuro 151fd plasma is the only way to go  .
i connected my 151 to the pioneer elite sc    05 receiver and a set of bose speakers with a rel subwoofer for an entertainment experience that is second to none  .
what i like best is there no chance for pixilation with plasma like there is in an lcd screen the pioneer equipment works very well with one another  .
i have no complaints with this product  .
you experience some artifacts of movement in the screen when the signal is too compressed ; for example , verizon fios  .
this is the best 1080p picture you can get in a television  .
why would you stop making plasma televisions pioneer  .
my advice is to grab a 111fd or the 151fd while they last .
i had no intention of purchasing this set right now , intending to wait at least another year  .
but when it is bruited about that pioneer is getting out of the tv business , and hfc offered a three    year zero    interest loan , i bit my video standards are very high , and i expected the pro    151fd to meet them  .
it didn't  .
it is /better/ than i'd expected i started with amadeus (on a sony bd    s550)  .
the dark scenes weren't so hot , but when the movie got to the day    lit court scenes , my jaw hit the floor  .
tremendous detail , but without exaggeration  .
vivid colors (where appropriate) , but without them popping  .
it is much like looking a huge photograph that moved  .
or perhaps seeing the thing itself , in 2d ratatouille , with all its incredible detail , is almost as good  .
sleeping beauty finally revealed what the disney artists were trying to do  .
even 7th voyage of sinbad looked (mostly) fine , the skeleton duel being especially impressive i paid $6k , plus sales tax and delivery , and it is worth every stinking penny  .
do not vidition this set unless you have the money  .
it is to die for updated  .
on apr 17 , 2009  .
i got the 151fd pro elite  .
the big problem  .
i look down at other tvs sad i know but if you have the means to get this , bite the bullet and go for it  .
no buyer's remorse or anything  .
i love the overall product , but am somewhat disappointed with the lack of component connections  .
cannot recall offhand if there's a usb connection  .
there should be , if there is not .
if you want the best tv and you've got the dough , you wo not go wrong with this set .
this is truly the best tv on the market  .
if you are looking for the best possible tv experience this does not disappoint  .
this tv goes beyond what you thought you could see in a tv and achieves a color and blackness that never existed before  .
it is a hefty investment but it will be the best tv in that size for at least then next 5 years  .
(oled will rival the quality and picture abilities , but those wont be available at a reasonable price in the next 5 years  .
overall , if you have the means for purchasing this tv you will not be dissapointed btw you do see an increase in picture quality if you use pioneer products with them (bluray in particular  .
if you can afford an ice series (sc) def if not the vsx    03txh works great  .
eventhough the bdp    05fd is pricey at list $800 , and its only profile 1  .
1 , its still excellent  .
you do get what you pay for and the processor quality and built in hd sound processors really make the bluray worth it  .
if your not going to use the online features then the 05fd is great (better than the s550 pq wise) .
the gloss black stand and bezel give it a very classy look ; the picture is outstanding with crystal clear picture when using blu    ray player and very deep blacks ; room ambient light and color sensor ; myriad of adjustable settings ; lots of inputs (only one component , if you have a lot of legacy equipment) ; nice sturdy remote  .
this is my first foray into plasma and certainly the biggest tv in the houre  .
i replaced a second    generation samsung dlp 61 with this , and there is no comparison  .
it is amazing watching blu    ray movies on this tv , and regular hd cable programs and movies are also stunning  .
i have yet to notice a lot of heat coming off the back of the panel as i have with other tvs in the stores  .
you could probably spend over $10 , 000 for a runco or other prestige tv and not surpass the performance of this panel  .
i is trying to decide between this and the panasonic 58 plasma and took the plunge  .
i'm sure the panasonic would have been great as it looked comparable (but not the same  .
) in the store , but am totally happy with this panel  .
i heartily recommend this tv if you can get it at a discount as i did .
if you can afford this and are considering it , i say go buy it today i have used it with everything from poor quality youtube videos to blu    ray and it makes everything look better  .
the only tv i saw that even came close is pioneer's 6020fd which i is about to buy , but after i saw the 151fd i had to have it  .
if you are a total video adjusting nut you can buy one of there signature monitors for 500 dollars more .
love the product , have had some great nights in watching movies and sport .
this is the last year that pioneer will produce their own panels  .
begining in 2009 the panels will be produced by panasonic so i chose to buy now  .
after months of research and shopping , comparing panasonic , pioneer and hitachi i decided to go for broke and buy the pioneer elite  .
there is not good information on the difference between pioneer and the pioneer elite series (not even from pioneer) both use the same panel  .
the elite gives you an additional year warranty , additional color controls and the consistent statement  .
hand    picked components  .
but no information what that means every store i shopped , i compared the elite series to the base pioneer and the elite always showed better than the base set  .
i have never seen either of these plasmas displayed by a retailer in a way that does them justice  .
when you are shopping for a flat panel television the bright sets with very sharp edges jump out as the best because they compete with the fluorescent lighting used by the retailer  .
when you get the sets home it is a different story  .
the bright sets are to bright , the enhancements that create the sharp edges become annoying because they are not natural  .
the blacks are grey and dark grey , the colors are bright but not true  .
the pioneer sets have blacks that match the piano black finish of the frame and a realistic natural picture that is as real as it gets  .
again a picture that seems you could reach out and touch everything on the screen .
this is the best tv ever made you simply cannot do better this tv performs well in just about ever single important categorie  .
something no other tv can do like this one i am looking forward to the sony xbr8 lcd's and the samsung 950 lcds , but i do not expect either of them to perfom like this tv  .
mark my words .
this is an amazing hdtv  .
the setup in best buy does no justice to the image quality of this thing  .
the problem with most big chain stores is the at they never bother to set up tv's like this properly , even in their magnolia home theatre stores  .
i'm not targeting best buy , but this applies to just about every big name electronic store  .
you never get to see the true nature of this tv , and it makes it seem as though the lcd's are better because of the lighting  .
but if you see this tv properly set up , you'll be amazed  .
the black is truly black  .
the colors really really vibrant  .
all of this combined produces a really wonderful image .
i think this tv has the best picture i have ever seen  .
it is not easy to find and i probably paid too much for it  .
no regrets  .
i did not have it calibrated  .
i saw quantum of solace on it in the store and the details are stunning  .
the blacks are truly amazing  .
i have a sony lcd 46 and i thought the image is great and actually did not think it could get much better  .
i saw the planet earth bluray on the sony and thought it is spectacular but on the pioneer it is even better  .
i have seen the casino royale bluray many times but even that movie on the pioneer allowed me to see details not seen before  .
the contrasting shades of black and dark gray is where it shines  .
for casual watching it is best with sports in my opinion  .
i watched the world series on hi def cable which i believe is 720p and it looked great and natural which in my opinion is the problem with lcds  .
i think the lcd is cheaper but my perception is that movies and tv look like soap operas that is , kind of artificial looking  .
just a personal preference  .
i is a little gunshy given that pioneer is exiting the tv business but part should be available for 7 years  .
that may be bs but i took the plunge  .
i don't regret it  .
linked to a good home theater i think you can rest easy that you hav e the best picture possible outside of some very high end systems  .
no problem with screen burn in although i worry when my nephews will use it for gaming on the ps3  .
even my wife who is your typical woman with regards to electronics thinks the picture is spectacular  .
did not need to go to the doghouse for this one  .
like i said i have not calibrated it and do not see the need yet  .
brilliant tv  .
it has a beautiful picture , it is in a bright room with 3 windows approximately six feet away from the screen , but on the side not in front  .
bright room or dark room it still has a great picture  .
i am sure you will not regret purchasing this unit .
this is a great t  .
v with great picture and quality i have had this model for 1 year now  .
but i must say the new samsung series 850 is better than this model in picture quality and smoothness and its only 3 , 200$ .
