i deliberated for a year and read everything available  .
it doesn't show up that much in a hd source (my test for it is the hd cables for the xbox 360)  .
if you don't have hd cable or satellite , do yourself a favor if you get one of these tvs , get one of the 2  .
regular cable sucks on this set  .
then again most people who get a set this size usually have one or the other anyway , so do not let that discourage you .
i did aqbout 3 weeks of research before i bought this tv  .
i bought it from sam's club for $699 i use this tv for gaming on the xbox 360 and to watch football games on  .
the picture is clear and the color is great i am very pleased with the sounds of the tv  .
the sound of a rifle shot on the xbox 360 sounds better than when i had the 360 hooked up through a stereo  .
it really adds to the games i am playing live tv looks great in both regular def , but this tv really shines at hd mode  .
it is like looking through a window , the way hd is supposed to be the tv looks best in vivid mode , and the cool and warm modes are not that much different it does have a hdmi input and (if i remember right) 2 compononent connections .
after reading some reviews and then checking it out at costco , i had to get this tv  .
costco even had a $100 dollars off macking this a $700 dollar steal i got home and is amazed on the quality of the packaging  .
if you ever purchase a server this is exactly how they are packaged  .
i first tried over the air hd , and i got a good picture , not great , but good  .
i then hooked up the cable , (digital) and had the tv scan for sources  .
at first i is disappointed , but realized i connected the cable not via my digital cable box , but directly into the tv/cable rca so the tv did not recognize a dtr signal  .
i change the set up and again very good picture my favorite out of the box display is the vivid 3 setting with the picture set to panormaic now on to hd content  .
i then connected it via hdmi to my hdtv converter box and all i can say is wow  .
the performance and image is better then the plasmas at the local fox sports bar  .
the colors where true (no articfial red , green or blue) , crisp on hd and non    hd signals  .
the only issue is i dont have all my channels in hd  .
the hd channels consume the entire screen and are surrounded by a gray bar or graphic when commercials or non    hd content is broadcast if you are worried about burn in  .
the same for non    hd channels  .
i spent 4 hours just watching espnhd and discover hd  .
if the 50 inch version is as good as this one , i got a perm replacement for my entertainment room dvd image is amazing via s    video , which thankfully my cord is long enough to reach the side , but like i said this became a non issue very quickly  .
i then set up this tv with a home theater system using an hdmi switcher to control switching of hdmi sources between the cable converter and dvd  .
my dvd does up    convert the signal so that the tv does not have to by this tv you will be amazed and i have yet to run it through a home theater dvd setup to fine tune it .
$799  .
00 with built in tuner  .
cant find better for the price  .
used in bedroom with a sony hd 3000 box with dvi to hdmi  .
picture is much clearer then in store (costco)  .
grant it it's not as clear as the sony but its not $1400  .
00+ either  .
i will purchase a second one for my daughters room  .
two 32 lcd for under $1600  .
00 how can you justify spending more .
as a woman on a budget , watching a 20 apex i wanted a new hdtv that i could afford on my small budget  .
i bought the lg 30 crt for $759 @ best buy but had a very bad experience with 2 bad sets (would not power on) and bb customer service  .
based on the cnet review of this set i took a trip to my local sams and saw the set priced at $799  .
sam's is playing sub    par dvd that did not look as good as the more expensive name brand sets but i thought you get what you can pay for  .
since this tv is my budget i decided to settle for 2nd best i got the set home , carried it in all by myself , and installed the cable from my digital cable box  .
i have to admit that i is prepared for a tv that would only be mediocre  .
i found that i is plesantly surprised  .
the picture is great  .
the only drawback i see so far is the quality of the sound ; hopefully i will be able to adjust once i have the opportunity to read the manual all in all i am pleased  .
in view of some other consumer reviews i did buy the 3 year service plan for $79 but thought it is a good price since bb and cc are almost $250  .
32 lcd hdtv , including the service plan , for less that $900 fantastic .
hey , i think that this is a quality piece of equipment  .
vizio brings us a clean design , good sound , great picture and it's at sam's club for only 800$ .
i is nervous about buying an unknown brand , especially when i read on the box made in china , but now feel i got an amazing bargain   $700 at costco  .
similar name brand sets cost more than double that  .
i watch the screen , not the logo other than a couple of relatively minor design flaws noted in pros and cons i'm totally satisfied with the set  .
watching movies with the audio feeding into my bose is awesome  .
btw , cnet needs to update its where to buy section , which told me this set is not available in any store in my area of washington state ; my costco has stocked them for months .
i'm absolutely not a video professional  .
i'm just your typical guy who wanted a digital television that didn't take a lot of room i had come to the conclusion that we weren't going to purchase another television that didn't have a qam tuner builtin since we're supposed to be all digital sometime in the near future this thing has it , with a myriad of inputs/outputs  .
i'm very satisfied for the price  .
i did not see any other televisiions for the price that had everything this vizio model has make sure you get the 10a model , otherwise it may not have the qam tuner builtin i'm happy and i'd buy another one charles whealton  .
chuck whealton @ pleasedontspam  .
com  .
when i first saw this set at costco , i thought that it had a great price and the picture looked as good or better than the bigger name sets near it  .
when i got it home , it is easy to unpack and hook up  .
i got an hdvi cable at walmart and the set works perfectly for much less than anything comparable that i found out there  .
additionally , i have the comfort of purchasing it from costco , so i know that if there is a problem , i can take it back there .
i own two panasonic 37 plasmas ; an ed monitor and an hdtv  .
both have excellent picture quality (i use an hd cable box with the monitor and a cable card with the tv) , but cost over $2 , 000 (the monitor is more than 2    1/2 years old)  .
i needed a flat    panel television for a guest bedroom and wanted to keep the cost down , so i just purchased an l32hdtv from sam's club for only $869  .
88 although the l32hdtv's picture quality is not as good as that of my panasonic plasmas , its picture quality is more than acceptable for the price  .
it is an incredible value , particularly because it includes digital (dtv) and hdtv tuners  .
i had previously purchased a 32 ilo (initial) lcd hdtv from wal    mart , but it had only an analog tuner and its picture quality is not acceptable , even for $2  .
88 less than the l32hdtv  .
because i use it in a guest bedroom , i did not want to pay for an additional cable box or cable card ; it displays only what it can tune in from my comcast cable line  .
what it tunes in are all of the analog channels and some of the dtv channels  .
i do not get over    the    air hdtv signals in my area the only quibbles i have with the l32hdtv are that the analog tuner does not handle weak signals well and the dtv tuner only handles channels up to 125 (unfortunately , comcast's hd channels are all over 125)  .
i have an old crt television that , unlike the l32hdtv , handles the weak analog signals from my cable line without any distortion at all  .
however , my cable line goes through an eight    line splitter to five televisions and a cable/voip modem , so i had already planned to purchase a cable signal amplifier to eliminate occasional hdtv pixellation and improve cable modem connectivity  .
it would also be more convenient if the coax inputs for the analog and dtv tuners were not separate the l32hdtv's positive attributes also include high    end packaging , terrific documentation and a table stand , although i have already taken advantage of an included 10% off accessories offer and ordered an articulating wall mount directly from vizio for $80  .
99 ($32  .
49 for the cheapest fedex shipping option is steep , but the total price is still reasonable)  .
the remote is not backlit , but can handle up to three additional components and has button access to the functions i commonly use , including changing inputs (e  .
, from analog to dtv) and changing picture aspect (e  .
, from normal to wide) bottom line   the l32hdtv is the best flat    panel hdtv value on the market today .
i have to put my two cents in on this subject i love this tv  .
i have only delt with a panasonic 42 plasma and a rca 32 lcd  .
all i know is that this tv has a very good picture and sound  .
this set kills the rca hands down  .
i also like the picture better on the lcd than on the plasma because the the picture is so much brighter  .
i think it has much better sound than the rca and par with the panasonic  .
it has pip and pop  .
i love the pop and think i'll be using that most of the time  .
with pip i hate that one corner is always covered up at all times  .
with pop you have two smaller pictures side by side whitch is what i like better  .
now too the remote  .
it is rock solid  .
i is going to purchase the logitech universal learning remote for around $120 dollars so i could get all of the menus and other buttons to work unlike other remotes that just give you basic features  .
the univerasal remote worked on my cable bos/dvr , dvd player and vcr and i got everything to work  .
no joke  .
the speed button for the vcr work , all of the setup menus for my equipment worked and all of the extra features for the dvr worked  .
wow  .
yesterday i put all of my remotes back in my dressser to free up some space and now i don't have to pay so much for all of the batteries used  .
this is the best part  .
it is on sale at walmart for $896 i think  .
all for under $1000 dollars  .
i do not think there is any deal out there better than this  .
i think for anyone this would be a very good hdtv for any where in the house  .
hope you like it as much as i do .
purchased this set at costco last week 3    31    06 the set    up instructions were easy to read and follow i am using a comcast cable box with dvi output to the tv that has a hdmi input i have the picture but no sound  .
input mode on the tv is set to 'hdtv'  .
i cannot find any red or white jacks on the cable box that say output audio unless you use the red and white jacks that are associated this the component  .
i tried those jacks but still no sound in addition i have hooked up a sony dvd/vcr  .
combo with component hookup to to the tv labeled 'analog hd1'  .
nothing happened , but i hooked up the vcr to 'av1'  .
now i can watch vhs tapes and dvd through 'av1'  .
the picture on the dvd's is good but not spectular as i would like  .
if anybody out there is having this problem and has a soultion please write another review .
bought the l32 this christmas and mounted it on the wall  .
it realy looks great and far exceded my expectations .
i helped my mother choose a new flat screen for her new house and we chose the vizeo not only because of the great price (go to costco  .
) , but the picture quality is great too  .
very happy .
this a good hdtv for those of you on a budget  .
has a very nice picture quality but you cannot connect multiple peripherals at once .
overall i have been satisfied with the tvs performance  .
ps2 and ps3 games look amazing  .
the only downfall that i have found in this tv has been the already stated , sub    par black levels  .
when watching movies with alot of dark shadows and night scenes , the picture is okay at best i would reccomend this tv to anyone looking for an hdtv in this price range .
this is a fantastic value at sam's club everyday at $699 , despite the fact that cnet says it is not available near me  .
make sure you are taking advantage of true hd buy using the hdmi port  .
it has two  .
i use a dvi to hdmi cable from my sa 3250 hd and run the sound through a 5  .
1 system  .
awesome  .
david , why would you want to use a s    video with this anyways  .
as said , you can notice some macro blocking , but this it is negligible  .
make sure you have this unit not plugged into a powerstrip , but directly into wall , or a single unit surge suppressor  .
i did get a cycling event situation (unit shut off and restarted) , but worked with customer service and this suggestion has solved the issue for months now .
i bought the 32 a week ago at costco , and i'm a happy camper  .
my roommate's b/f had bought her one for her b'day last month  .
i saw it and liked it  .
now we each have one in our bedrooms  .
we were thinking about putting a 42 plasma in the living room but now we're rethinking the 50 vizio , at less than half the cost of the plasma  .
we upgraded our dish service to hd , but even with analog , the picture is great , now it's awesome  .
for the price , we couldn't ask for better tv  .
i've got mine connected to a surround sound system , but even without it , the audio is pretty good  .
my roomie's son plays his x    box on her set , and the gaming is great  .
all    in    all , this is a nice tv , and hopefully i wo not have to find out how good (or bad) customer service is .
excellent features makes it the best value for money  .
got it from costco  .
connected the antenna and now watching about 30 digital channels , all crisp and clear hdmi interface and backlight features were the ones i is looking for channel guide a plus a few cons remote has to be pointed specifically at the sensor  .
no indicator of signal strength audio    ok compared to my old panasonic crt  .
could be better  .
but i'm not using the tv audio , so does not make a difference overall a great tv with excellent features for a decent price .
i like this set  .
i think some of the complaints that the cnet reviewers list are quite minor  .
all    in    all i think this is a very good set for the price i don't have cable or satellite service ; i rely on broadcast signals to get my hdtv  .
i live near chicago ; i installed a high    quality roof    top antenna and am extremely pleased about the reception and the picture i receive  .
i tend to agree with the reviewer about how the set may perform better at 720p than at 1080i , but the picture at 1080i is still fine , if not fantastic  .
also , the remote is rather difficult to use because of the button size and layout , but nothing that you cannot get used to i have had the set for about a month and a half and could not be happier  .
i'll never go back to sdtv again .
being a videophile and all i'll give ya the quick heads up first thing you should know about this tv  .
they have a zero bright pixel garrantee  .
how well their customer service is i'm not sure but that is a better garrantee than any other tv manufactuare has for lcd tv's anyware that i'm aware of  .
they also have a 1 year onsite tech support if something should go wrong  .
and one other nice thing is that they are based out of california , i'm not sure where these tv's are made but know that the company headquarters being american based is reassurring to me since i live in the u  .
s ok on to some things most people don't care about but i found quite impressive  .
the box the tv came in is amazingly designed in that you unclip 4 plastic clips and the whole top came off with no cutting tape of any kind  .
this tv had the best instructions and the best packaging i've ever seen  .
everything in the manual is easy to understand and the quick guide to the setup is top notch  .
any grandmother could set this sucker up in a heart beat  .
which is saying alot for the presentation of the packaging on to the remote and first impressions  .
the remote is a universal that you can program it for 4 devices and it's very well laid out and comfortable in the hand  .
upon firing up the tv i first tuned in my basic cable channels and then the hd over the air channels  .
it didn't take very long at all and went very smoothly  .
the hd tuner picked up all the channels that my media center pc does and the only one i have troubles with is cbs for some reason in chicago they broadcast on vhf and not uhf like all the others  .
i always have trouble with cbs  .
i first turned on the hd but nothing in good hd is playing but i did notice that the channel changes were very fast and the tv had a very nice guide description for the hd channels that could be toggled on and off much like using tivo and displaying what is on at the top and being able the minimize it to just show the channel or all the info for what is playing and so on  .
next i went on to trying basic cable  .
it looks ok , merely ok but some channels are much better than others  .
like i said i use basic cable and it's not very good  .
on the bad channels you would kind of get a slight blurring effect but on the good ones that is almost non existent  .
later that night i checked out some of the hd shows and noticed that the hd tuner does a adequate job but the picture never quite looks as sharp as the newer bravias or sammys but it does look good overall , just not great onto the 360  .
i read somewhere that this tv's picture is much crisper on the hdmi than the components and that the difference is more than you would normally notice  .
after hooking the 360 via components i noticed that the tv didn't have the same clarity as my dell w2600  .
it is very good and almost as good but you could tell that the dell is better  .
so next i hooked up the vga adpater , i tried the 1360 768 resolution since the tv is native 1366 768 but for some reason it made picture off center and could not be fixed  .
i then switched to the 1280x720 res and is really impressed straight away  .
i made some minor adjustments and then ran the gammut at it  .
first of i played all my downloaded hd trailers and is blown away  .
over the vga it actually now looked better than my w2600  .
all the videos just popped off the screen  .
i then played the beginning of kameo just to check out the colors  .
it looked fabulous , again i is floored  .
i then fired up my media center pc and played some of my hd tv shows  .
like prison break and house  .
it's funny because my recorded shows over the mce actually looked a tiny bit better than what is currently on the hd tuner  .
after a bunch of playing with mce , which worked perfectly at the 1280x720 resolution ( my prior westinghouse had issues with mce and the vga adapter) i tried a dvd  .
that didn't work out so well  .
for some oddball reason the dvd is not filling up the whole screen  .
i then tried it with the components and it worked fine but still wouldn't with the vga adapter  .
i do have another dvd player hooked to the tv so this did not bother me much to sum it up this tv cost me $999 , has a great warranty , good hd , ok analog though i is using cable so it might be better with something else  .
but the most important it has a 8ms response time and plays xbox360 games with no blurring whatsoever and looks incredible doing it  .
my decision to buy this tv came down to a few things  .
could i return it  .
, would it play xbox 360 games well  .
, and would the hd tuner be any good  .
well i'm not gonna return it and it plays xbox 360 games superbly using the vga at 1280x720 and the hd tuner is good but merely acceptable to me  .
it does it's job but will never stun you like the bravias and sammys  .
my mce hdtuner actually does a better job in the end i'm happy and this is a tv manufacture worth looking out for in the future  .
with their superb quality i'm sure we'll be seeing more of them .
very hesitant about purchasing a product from a relatively unknown off    brand company  .
come to find out vizio is us based , subcontracting to thailand manufacturers  .
further research shows that specs are above the norm for this price point in the end , i made the decision as to whether the incremental specs / features were worth the price difference  .
they were not  .
no regrets either .
i've had a 32 inch vizio for about 6 months and i'm very pleased with the picture and features  .
i have recorded 900 dvd's and they are all very good quality from this tv  .
there is little tweaking needed for color rendition and the built in speakers are more than adequate  .
i paid $599 at costco with a double manufacturer warranty and concierge support .
my wife and i have been very happy with this tv  .
we got it home from sam's club and i set it up with no problem  .
there were better tv's on the market , but they were either more than we wanted to spend or the tv's dimensions did not work with where the set is going in our small tv room  .
my only complaint is that the on    screen display dominates the screen which interfers with making adjustments .
i just picked mine up 2 days ago from wal    mart , and am quite happy with it so far  .
it is sticker priced at $884 , which came to $939 with michigan 6% sales tax  .
i is a little worried because i've been reading mixed reviews about the set  .
but i asked wal    mart and they said if i was not happy with it , i could return it as long as i had the original box and receipt i've heard some people complaining about the black not being black  .
mine does pitch black just fine  .
my colors are bright and beautiful  .
my main uses for it are my pc and my xbox    360  .
i run both into the vga port on the back and the results are just beautiful  .
this is the first lcd system i've owned , so i really have nothing to compare it to  .
but like i said , i'm quite happy with it so far i'm really not going to use it for much tv , because i only get over the air broadcasting  .
i cancelled the cable a while ago to save a few bucks  .
i'm sure with a digital cable box it would look tons better , but the over the air viewing is not anything to brag about  .
perhaps if i had one of those newer antennas for it it would be better  .
if i pick one up , i'll edit my review and let you know how much improvement i get from it .
i can net out the review of this unit pretty easily  .
great displaying hd , ok from dvd and poor from standard definition tv signal  .
but good enough value to consider i bought this for the world cup  .
the games looked magnificent via direct tv (with tivo)  .
this is sooooo much better than my old standard def set up (with an excellent sony 27 crt)  .
all 6 of the hd channels look great and with the addition of a uhf antenna the hd local channels i can receive look fab  .
but i cannot get all of them and futzing with uhf antenna issues is timeconsuming  .
http  //www  .
antennaweb  .
org though is the fount of all sorts of good info  .
and somewhere along the line i is told that if you squawk enough , direct tv will give you hd broadcast stations (abc , cbs , fox , nbc) , though not necessarily local to you playing dvds is somewhat problematic  .
of course there is not enough digital info on a standard dvd to take advantage of the display capabilities of hd , so the picture will never match that of a hd source  .
the tv has 3 modes , normal , wide , and zoom and as long as you are not watching films that have subtitles , zoom is great  .
you lose a bit of info around the edges for standard 4  3 dvds but not noticable  .
if you watch sub    titled films , you have to use 'normal' which makes for a fairly tiny picture on a 32 screen  .
very sharp image though the problem with dvds is that the color mapping never seems to be right  .
one can spend hours messing with the controls trying to get the color right but after the novelty of that wears off , i just tend to accept the picture  .
it's sharp enough , but the colors often don't seem right  .
and what works for one dvd doesn't work for another  .
in contrast , for broadcast hd , no complaints the unit really falls down on standard television signals  .
i marveled at how good my sony crt could display old boring ntsc video and compared to that the vizio seems generations behind  .
just to put it in perspective the differences between one hd lcd tv and another brand are , to my eye , pretty subtle  .
the differences between an average standard def signal on the vizio (or any other brand lcd) compared to a good (and cheaper) crt are huge my buying process went something like this  .
first i got all excited about sony hd crts  .
great prices (a 32 inch (i think) is running around $500  .
the rub is that it weighed 170lb  .
it is huge  .
my wife balked  .
all i could think is 'how am i going to get rid of this when i get my next tv' so then i looked at the lcds and the vizio for $850 seemed great  .
i bought the vizio at costco (they have an excellent return policy) figuring i would keep looking for the perfect tv  .
i got very interested in a sharp 32 lcd and a samsung  .
but they were in the $1200    $1500 and they didn't look any better on hd nor for standard def tv signals  .
i is told if i really wanted the best of both worlds i should look at plasma so i briefly got excited about a samsung plasma system  .
but again , at 2x the cost and honestly , standard def still did not look as good as on my old sony crt so the bottomline for me is that these technologies are still rapidly improving and it's crazy to invest relatively large sums in something that will probably be available at half the cost 2 years from now (with a big jump in quality)  .
from that perspective the entry level vizio is an excellent compromise  .
i get the great hd experience and well , i just tolerate standard definition limitations be warned    after looking at hd on 32 you are going to wish you had 37 for 42  .
it just looks so good .
i bought it at costco after new year  .
use it with charter cable (regular)  .
it worked great  .
since that is my first lcd set  .
loved the picture  .
thought i had a great buy  .
10 days later , i could not see pictures when i turned on  .
i had turned it off and on to receive picture  .
i email vezio  .
they sent a replacement within few days  .
great experience  .
after viewing two times , the picture started to flash rapidly  .
ouch  .
i returned it at once  .
according to the service rep , it happens 1 to 2 times out of 100  .
i guess it is my luck maybe i have to spend few more bucks to get samsung or sony .
decided to jump in and finally buy an lcd flat panel tv  .
bought the vizio l32 in july 2006 from costco because it looked like a good tv to start with and it had good ratings from cnet and others  .
well , after 18 months , the picture blacked out for the first time yesterday  .
only sound is available  .
i tried to troubleshoot it by disconnecting it from my dvr cable box and plugging the cable directly into the tv  .
the picture reappeared but then after 5    7 minutes , the picture blacked out again  .
now i have to get with vizio and see what they can do  .
although the set is out    of    warranty , it is a good thing i used my costco american express card  .
i'm covered with their buyer's assurance plan and will get an additional year of warranty coverage  .
i still will need to take it to a repair shop for service  .
if this should happen to you and your vizio , make sure to see if you're covered with a buyer's protection plan if you paid for your vizio with your major credit card .
i bought it in a sam's club  .
it lasted one hour  .
i turned it on and it got frozen  .
i could not change inputs nor turn it off  .
i went back to sam's and exchange it  .
the second one lasted for one hour  .
after i turn it on , it turns off on its own after three seconds  .
it can not stay on anymore  .
tomorow , i am going to return and take a refund  .
had the thing nine months ; broke without any apparent cause  .
got what we paid for   cheap tv  .
good image quality while it lasted , but risky buying non    established brand .
i'm disappointed that after only 2  .
5 years of use , this tv bit the dust  .
a loud buzz followed by smoke billowing out the backside .
the television is adequate for the price , though the picture is never better than mediocre  .
2 weeks after warrante expired , picture got bad  .
6 more weeks , tv died would have been much better off to pay more money and get a better television  .
purchased vizio 32 tv on august 6 , 2006    it died on august 10 , 2007  .
i called the vizio support desk ( held for 45 minutes)    their answer is its past the one year warranty    too bad  .
i did not know vizio then , but thought it is safe purchase at sams club    wish that i had bought another brand  .
if you buy this unit    get the extended warranty    otherwise you are screwed     .
in my opinion pay a little more and get a high quality tv i bought the vizio at costco and took it back the same day  .
and bought a phillips 32 lcd the quality of the phillips unit is outstanding .
(this product does not deserve even 1 star  .
however , a star is required in order to send it  .
) i bought a refurbished vizio 32 lcd tv  .
used it for a year and a green hue started to appear on screen  .
the screen started to gradually lose its brightness  .
at first i thought i just had bad luck in buying a lemon of a refurbished product  .
not until i searched the net did i realize the problem with my tv is not unique  .
there are scores of vizio tv owners having the same problem  .
well , the other day , a loud pop came out of the tv set and the picture started to grow dimmer and dimmer until it completely went dark    and it shut itself off  .
i turned it back on and i could faintly detect some image on the screen  .
when i pressed menu to try to adjust the set , the tv turns itself off  .
this went on repeatedly for at least a half hour before i finally gave up  .
i went out and bought an rca 32 lcd tv at walmart and so far have been happy with it  .
no more vizio for me  .
my advice to anyone out there in the market for a tv is   do not waste your hard    earned money  .
exterior shell looks nice , but nothing good on the inside .
after two years of use , the tv had no picture and only sound  .
after numerous phone    calls with the vizio tech support , i found out that the tvs power board had gone bad  .
after researching on the web , i realized that it is a common problem with vizio tvs  .
however , the company refuses to take any responsibility for engineering a bad product and wants to charge me hundreds of dollars for replacing its own faulty power board  .
ultimately , i am left with a fancy looking expensive radio that vizio sells as a tv .
