super clean and easy to use product  .
it wo not play or function what    so    ever  .
i had to literally pull the plug to restart it  .
after it boots back up it no longer can find my itunes library  .
by now apple care is closed  .
i have an appointment scheduled for them to contact me tomorrow  .
i am not entirely convinced that i am going to be keeping this  .
this is a fail on apples part .
i own the older apple tv which in my opinion is a better device    no    one should argue with me on that point especially when it comes to the hardware (the smaller size of the new one will not be a big deal)  .
its essentially a cheaper device without a hard drive but gives you the ability to tap into netflix and rent tv shows    thats just software    which the old apple tv will not be allowed to have in any future updates apparently while i like the idea of renting movies (where the cost of buying is 3x the cost of renting    you typically only need to watch a movie once)  .
i am not sure if i am into renting a tv show which is half the price of buying    in fact if you buy a season of say how i met your mother    it would end up costing less than $1  .
30 per episode    and chances are you may want to watch the same episode more than once so in other words , you have given me something i don't want and taken away something i do want  .
if i want to buy tv shows , i have to buy it on my mac and stream it to the apple tv    which is kind of back to square one again to be honest , i understand why it continues to be a hobby  .
the reason is simple   apple cannot make it anything more than that unless they negotiate better terms with content providers who are paranoid about cannibalizing their existing revenue streams with networks and dvd sales as a device i think the original apple tv is perfect actually    the key limitation is content availability , content pricing , and storage  .
storage is not about the gigabites it came with , but why i need to store anything locally at all  .
if i is allowed to purchase the content on my account and have it streamed to me whenever i wanted to , then thats a great deal  .
but i would need to have all content available at prices that are lower than the cost of dvds for movies (essentially you are cutting all the middle men) , and be able to purchase all tv shows as they air on the local networks    or give me the option to subscription deals for some content etc its a case of chicken and the egg    you cannot have a golden egg unless the chicken of the entertainment industry (studios) is willing to lay that egg and embrace this new age of digital content i just wish that the usb port on the old apple tv had some use  .
i would love to attach a hard drive to it so i don't have to worry about managing storage    i do not want my mac to have all of this content on its hard drive    i am maxed out as it is .
still cant find any good reason to buy this and i am an apple fan  .
i will probably look at the roku box or the boxee box .
i need local storage to use an apple tv  .
i hate the new design and features and so do many of the users i talked with .
