this is the top of the mountain as far as led tv's go  .
i went to my friend's store which provides both lightened and darkened room for tvs as far as black performance goes , the a950 outperformed the xbr8 in real world  .
the ultra clear panel gives you more depth than the matted panel on the xbr8  .
the reason cnet gave xbr8 a bit better score is most likely because of the rgb led that gives the xbr8 less time to calibrate because it is quite accurate out of the box  .
but if both parties a950 and xbr8 were calibrated and have them side by side , the a950 will outperform the xbr8 either in a lightened room or darkened room  .
i have seen users with both tvs and the a950 gives a lot more stable color accuracy deltae across all colors than the xbr8 after calibration and it is funny that cnet had the a950 measured 0  .
00cd/m^2 and calling xbr8 have a better black which measured at 0  .
01cd/m^2  .
and cnet also stated that xbr8's black tends to go bluish which is just like every japanese tvs  .
whereas the samsung tv with ultra clear panel is towards true black with 0  .
00cd/m^2  .
i think that cnet better reconsider about their hyped comments in their reviews the image quality is obvious if you go see it in person side by side  .
the a950 ultra clear panel gives a better sense of depth and true black .
it seems that current lcd technology is going down the same path as microsoft pc technology  .
it definitely gets better , but a little more cluttered with more patches and fixes and cover ups to get the most out of it  .
i am sure that will change very soon  .
i have been a sony xbr owner since 86 , and after 5 different sets , i always thought they produced the best picture in any tv category until i had the chance to demo the xbr8 and the pioneer elite in an almost side by side comparison  .
truth be told , the pioneer outshines the sony where it matters to me most which is fast action hockey games , movies , etc  .
i can actually watch the game without any motion    blur    dizzy    sickness i get from my xbr1 , and to a much smaller degree , the xbr8  .
further , the overall colour representation and sheer clarity on the pioneer is almost spooky i kid you not  .
i am not dissing sony or it's tv as it is one hell of a product , and many will go for it and they should  .
its tomato and tomaato as far as i am concerned  .
but at this price point , and if you have a discerning eye , check out the two top dogs before dropping your hard earned , federal    reserve    approved    promissory    notes , and no matter if you choose the sony , or the pioneer , or you take the $$$ and go to st tropez for a month , at least you'll know you looked at the two best technological marvels as of november 23 , 2008  .
now , if they could just get rid of those silly , non    detachable speakers .
i had been looking forward to the arrival of the sony 55xbr8 ever since it is announced , and went to my local sony store in victoria , bc as soon as it arrived  .
when i walked into the store i could immediately tell which is the xbr8 because it stood out from the others , in completely the wrong way the images were lit up like a beacon compared with the earlier xbrs surrounding it  .
the colours were over saturated and fast motion left trails  .
needless to say i is very disappointed , but the salesperson insisted it is the best picture in the store  .
i am sure the set needed to be properly calibtrated , and i will check other stores to see if the 55xbr8 looks more like the standard reported in early reviews there is also a sony 46xbr8 in the store showing slow moving nature scenes , and the picture on this set is stunning    correct colour , but no means of checking motion blur i am sure most people buying a $7 , 000 television will use home theatre components for best sound reproduction , so i am surprised that sony still does not offer removeable speakers inspite of the first impressions , i still plan on buying the sony 55xbr8 , providing the picture is as good as the reviews report .
with motion or new scenes , the picture is truly horrible  .
salesman could not fix it  .
sony style store tysons corner mall va , 55xbr8 with sony blu    ray player playing transformers blu    ray dvd  .
it is as though the set is over    compensating for the hockey    puck effect  .
you did not see slightly lighter trailing image of what is moving  .
instead whatever is moving would leave a trail of    as best i can describe    invisible man effect of what is no longer there  .
you could see the outline of what had been in the location on the set in previous frames as if through a water bubble or odd lens  .
salesman is astonished when i pointed it out (perhaps because i told him it is the absolute worst lcd i had ever seen) and he tried to fix  .
he reset the cinema settings and played with a few other items  .
nothing resolved it  .
another , apparently more knowledgeable salesman , busy with other customers  .
no other blu    ray dvd's to switch to    i asked (that is a disappointment in a sony style store full of blu    ray dvd's)  .
is this ever seen in testing  .
i saw some of the same scenes on samsung ln55a950 at best buy and did not see such issues  .
any thoughts on cause  .
based on this review , i is expecting to be blown away  .
i've generally agreed with the reviews here on , for example , the pioneer 800 , samsung a950 , and pioneer kuro 111/151 updated  .
on nov 22 , 2008  .
