i use the camera primarily when travelling  .
i can understand why as the unit is lovely and i think people get a bit carried away with its looks and large screen  .
but in the end you are using it for photos and i would recommend an ixus 70 over this any day  .
its smaller , as quick and takes better photos .
this is a great camera for the beginner who wants to impress his friends at a party  .
it starts up in a second and it takes great shots with super speed  .
the t    100 offers a lot of bells and whistles like 8  .
0 megapixel , super double steady shot , 3 lcd , a powerful flash , iso up to 3200 and lots of other cool toys that take too long to mention  .
however after impressing everybody you can develop your prints and find out that the pictures are not so great  .
prints from this camera are grainy , with a lot of noise and they lack color  .
just like every other cybershot super fan , i sold my older model t    9 and upgraded to the t    100  .
what a mistake  .
once i received the camera i took as many pictures as i could in every type of environment and even went as to compare its pictures to pictures taken with my old canon s80  .
i is shocked with the results  .
i compared the pictures side by side and found that the canon s80 put the sony t    100 to shame  .
the canon pictures where very well focused with great color  .
as for the t    100 sony pictures , they where lacking some color , sharpness and worst of all the pictures looked liked someone had blown sand on them grainy so in conclusion i would not advise anyone to purchase this camera unless you dot plan to print pictures larger than a 4 x 6  .
as for myself , i have already returned the t    100 to sony for a refund and i am back on the market searching for another t    9 or something that performs like it .
i have to agree with some other guys here , i am not sure how cnet did their review i came from dslr world , so all those fancy features do not impress me on these point    n    shoot    all i care is quality photos  .
i got this camera for my wife , due to the fact that we used to have a sony dsc    t3 camera which took very sharp and impressive photos  .
however , i am extremely disappointed with this t100  .
i would never buy sony point    n    shoot again  .
i am so surprised that a camera in 2004 can beat a camera in 2007 .
i purchased the t100 yesterday and returned it today  .
i looked at many reviews , mostly good and a few bad  .
majority rules , so i bought the camera first i should say that i love the design and menus on this camera but what counts most is the picture and it just wasnt good enough  .
here is what i discovered comparing images from 3 different digital cameras   my panasonic lumix dmc    fz5 (they dont make it anymore) , a friends new canon elph sd    850 , and the sony dsc    t100 i had good results taking pictures outdoors with the t100 , however i had more variation on auto than i thought i should have  .
picture quality improved when i set the iso manually  .
some minor color correction in photoshop , nothing usual , and i have some outstanding pictures indoors is another story , which is where i compared the three cameras  .
my lumix is a larger camera , not pocket size , and i know not to expect the same flash power from the other pocket cameras  .
the elph and sony t100 are competitors  .
taking the same pictures , on auto , the iso setting used by both the elph and lumix is 200  .
the sony used 800 , which results in a picture with a lot of noise  .
when i manually set the sony to 200 , i got a much better picture , but still not as sharp or detailed as the others the bottom line   i dont use manual settings very often and want a camera with outstanding quality on auto  .
the sony t100 did not deliver .
i bought this camera on the reviews (both cnet , other sites , user opinions) and is completely ready to be wow'ed by the results  .
i is at least hoping to get decent results , consistent with a good point and shoot  .
i have been trying to reconcile the results i received however , and now have to conclude , the reviews and opinions of others were based on promise , not actual results  .
i'm an avid photographer that has several camerals , include a couple slrs and numerous point and shoots  .
this is the first of my cameras that did not meet expectations , which admittedly were high photo quality is mediocre , especially in mid to low light , and it is slow to focus , often not focusing correctly  .
my sony t    9 is far superior in photo quality and shot taking process , though supposedly with 2 less megapixels  .
photos with the t100 are grainy , and last dynamic range in color which is noticible in most photos/prints  .
i would have to rank it as the least impressive camera that i've owned going back to my first digital camera , a fuji 2mp i purchased in 2001 i really wanted to like this camera , but must say i have buyers remorse  .
i'm still hoping the hd playback will win me over (have yet to try this) , but the photo quality and prints that come from this camera really are mediocre at best disappointing .
picked this camera up last week  .
have to agree with a lot of users on the site  .
the pictures on this camera stink  .
no where near as good as my old canon sd300  .
the camera has an awesome feature set , and i am really disappointed that i have to take it back , but ultimately you buy a camera for the picture quality and pics taken indoors stink  .
the auto mode jacks up the iso and the camera overcompensates the noise reduction and the pics look blotchy  .
i am ticked off that i have to pay the restocking fee , but cannot live with this camera for the $400 i just plunked down  .
going to wait for the sd850 or pick up an sd800 .
i have a sony dsc    f717 and this cam @ 5mp , takes better pics than the dsc    t100  .
the noise in every single one of the pics i take is so bad i sent it into sony for repair and it came back the same way it left  .
so if the answer to my solution is having to constantly make adjustments to the cam to fit it surrounding then what the point of point and shoot  .
i compared this to an older canon power s70 i think it is and i could not believe the canon took better pics than this $500 sony cyber shot i think my solution is simple bye bye sony hello canon .
this camera is over priced and overrated  .
i do not know how it can be rated the top camera in its class  .
c    net , i need a job , you need some qualified writers    hire me  .
the image looks like some sort of artistic effect is put on it  .
some pictures are hazy  .
color is off , even in well    lit room .
should have returned this when first purchased  .
it just does not seem to focus correctly , especially indoors when using a flash  .
maybe 1 out of 6 pictures are focused  .
i also find having the lens so high up on the camera and not in the center makes it very easy to partially block the lens with a finger  .
weak redeye reduction as well  .
think i'll go back to a canon .
i bought this camera because of its 8  .
1 mega pixels  .
the pictures i took outside were not as good as those that i take with my cybershot dsc1 with 5 mega pixels , but were still ok  .
any picture that i took inside with a flash is practically useless , too grainy , fuzzy and unclear  .
i do not recommend this camera for taking pictures  .
(as a nice toy , perhaps  .
) i do not know how cnet did .
i watched the reviews for this camera , and picked it up since it is so well reviewed  .
while it is working , it is a great point    and    click camera that we used for travel and real estate however , just recently , about 8 months after we bought it , the camera just stopped working  .
after sending it in to sony , they claimed it is corrosion damage and not covered by warranty given that we are very careful with our cameras and keep them in cases unless they are being used , i is very disappointed with sony's product and handling of the issue  .
if the camera is corroded within 8 months of normal use , then it seems it's a product issue .
the auto    focus only functions when the flash is used  .
i just got off the phone with sony technical support       this is part of the camera design and their is no way to fix it  .
also their is no manual focus  .
so if you dont use the flash this camera has no way to focus , and pictures will always be fuzzy basically unless you plan to always use flash       this is a very poor choice of camera  .
i feel this one flaw should knock this one out of editors choice .
ok ,  .
i had a canon sd 500 that is great  .
however it is 3 years old and the power supply is bad  .
so i researched consumer reports , dp review and cnet the salesman in circuit city said this is his best camera  .
it is i think one of the only cameras that is able to zoom in video mode i am returning the camera tomorrow because    .
in order to navigate from picture mode to video mode you need to    .
press the home menu button  .
scroll down to video  .
select video  .
exit the home menu here are some more negatives    .
the menu's are far from intuitive the pictures are grainy camera is unable to maunually or automatically properly adjust the white balance to energy saving fluorescent lights sony's proprietary memory stick is not compatable with the rest of society's sd slots sony's proprietary usb camera connection is flimsy but most of all    .
the picture's are bad i'm going to buy the lumix    tz1 (old model) tomorrow  .
note   the new version , tz3 is unable to zoom in video mode  .
the tz1 can df  .
face detection is a big joke  .
i cannot believe sony is selling this camera and claiming the excellant focus when it does not work properly  .
i am taking it back and buying something more resonable for this type of point and shoot i have used 100 cameras that focus better  .
sony t100 sucks for focusing  .
i am upset because all of my daughter prom pictures are soft  .
you cannot tell in the playback of the camera but when youblow them up it is not focused on the subjects nice try sony but you definately have a problem with this camera  .
caller the sony store and i am not the only one complaining  .
i'm a sony freak  .
i have a sony tv , dvd    r , vcr , dc    10 (mini dv camcorder) , etc  .
i would not buy this camera again if i knew what i know now  .
i doubt sony will make any future models better  .
it's a horrible model .
we've finally figured out how to take decent indoor pictures , but in order to do it we have to put it in a mode that disables most of the advanced features (face detection etc  .
cnet really let me down with this review  .
they were the primary reason i bought this camera as a point an shoot  .
turns out the auto mode is completely useless  .
almost never takes a useful picture  .
we spend more time trying to adjust the modes than we do taking pictures  .
please cnet take the time to take pictures in a variety of environments before recommending a camera  .
the first time you tried shooting indoors you would have found the massive short commings of this camera  .
i bought this camera to upgrade from my canon sd300  .
there is absolutely no comparison between the 2 cameras  .
the sony cybershot dsc    t100 took pictures that constantly appeared blurry and orange  .
i tired every possible combination of settings and eventually gave up  .
bought a canon sd750 (which costs much less) , charged the battery , and snapped away  .
i am absolutely floored at how poor the pciture quality of the sony was  .
i have been taking pictures of my 2 young children for years and picture quality is critical for me  .
the picture browser software turns red    eye into green eye  .
having read cnet reviews for many years , and used those reviews in influencing my decision in most of my purchases , including three digital cameras  .
i now realize that whoever reviews digital cameras for cnet has very little concept or understanding of digital cameras  .
you only have to compare cnet reviews with those of dedicated camera web sites to realize this i have now decided to base my buying decisions on the score given by other reviewers  .
check it out yourself , if you haven't already noticed the hundreds of reviews that start with i do not now which camera cnet is reviewing , it was not the same one i have  .
i am sorry , everyone is entitled to their opinion , but when i read numerous reviews by a camera expert , then find those views contradicted by the reviews of users and other professional camera reviewers , i start to doubt the ability of cnet's reviewer the fuji s9100 is another example  .
cnet's view is though high on features , fuji's fine pix s9100 comes up short on image quality  .
yet every other amateur and professional reviewer found the image quality the leader in it's field and price range , with 90% of those reviews giving a 9 or 10 score , against cnet's 7  .
4 i believe that many buyers like me were swayed by cnet giving this camera it's highest accolade and score this camera is ok , not great , in well lit outdoor situations , but is horrible indoors , both in well lit and in low lit situations , flash photographs over six feet away , twilight and night shots with and without a tripod  .
i am an advanced photo enthusiast , i read the manuals , practice with all the features , etc  .
but on a recent vacation i is not able to print one 8x10 that is shot in anything but perfect outdoor conditions  .
all the other photos were noisy , soft , fuzzy photos that looked like they were taken by a five year old with a $20 camera  .
my 6 year old pentax takes photos that are 10x better just in case you are in any doubt that the problem might be my ability or my camera  .
my 30 year old son accompanied us , and he also has the t100 , which he bought after reading cnet's review , and all his photo's were equally poor quality choose something else , and base your choice on user reviews not cnets hit or miss approach .
theres something terrible wrong with that camera , it has to be recalled and fixed , i took amazing pictures with the older t10 , thats the main reason that i buy the t100  .
the quality of the pictures its not bad , its awful , its not like little difference from t10 when you enlarge the picture , its terrible grainy and blurry all the way i want my money back  .
i had bought the t20 for a vacation a few weeks ago , and it took some great day pictures  .
however , the minute i got inside and i took the flash off or even lowered it , the pictures looked horrible  .
night time shots also , and the flash is incredibly weak  .
my father is using a much older sony 3  .
1 mp camera and his shots were coming out sharper  .
and i payed $400 plus for this thing  .
i figured it is the camera , so i returned it for the t100 thinking it has to be better  .
nope , same problem  .
the minute you change the flash , you get the constant camera shake warning , even if you're perfectly stil , the picture come out blurry this is even in a moderately lit room  .
sometimes even with the flash , the pictures were soft , when you zoomed in  .
before i took it back i purchased the canon 750 and 850 is  .
both cameras blew away the sony in terms of picture clarity and indoor/night time pictures i even setup all the cameras on a table with the timer , and the t100 pictures looked terrible compared to the canons  .
blotchy , soft messes on indoor shots  .
it great for the outdoors , but most people take indoor shots , at least i know i do most of my night time flash shots showed those white dots , which i know is typical with these small cameras , but the canons seem to not have the problem as often the menu system is also a little annoying to navigate , especially if you want to switch to a different scene , image size , or exposure setting i really wanted to like this camera as it looks fantastic , and the 3 screen is fantastic , but the camera is not worth the money  .
look at the reviews aroung the net on this thing , and you'll see this camera has issues shame on sony for not testing it out better , and shame on cnet for leaving this part out  .
if they did it on purpose , then they lose more and more credibility each day  .
if they did not even bother testing taking pictures indoors , then why bother having a review section if you're not going to fully test out the products you showcase  .
btw , i stuck with the 750  .
it took great pictures , has gotten fantastic reviews , and looks much nicer than than the 850 is .
i is shocked to see that my 400 euro camera had this big big problem when shooting indoor pictures  .
in some instances where the light is low , you just can not see the faces that look like old amiga sprites this camera should have been withdrawn from the market and get fixed  .
sony qc department should re    check this problem especially when there are tons of customer complaints through the internet this issue is brought to the attention of sony customer service and their answer is that since their is no technical problem we just can not do anything to help you  .
in other words if the customer is totally unsatisfied and their is no technical problem they just do not care if you need a camera for outdoor shots only then buy it  .
otherwise , just forget it and look for something else .
had camera for 2 months and it stopped working  .
repair shop stated that corrosion is the issue and it is irreparable  .
sony stated that because it is corrosion , it is not covered under warranty and also voided the warranty entirely i previously had a dsc    p8 and loved it  .
the only reason i picked up this one is because i lost it during a trip  .
i used both cameras in the same environment and never had an issue with the p8  .
humidity is never a factor so is hard to understand exactly how much moisture is really needed to cause the camera to stop functioning  .
two months and $400 is flushed away .
