i use it for a backup camera for weddings as i can keep it on my belt    small lenses and pickup sensors mean low light will never be up to bigger camcorders  .
in normal light the pictures are just as good though  .
i'm not sure if i can post a link here , but here's a 7 minute documentary i shot with it  .
it is mostly indoors and with low light    .
http  //www  .
youtube  .
com/watch  .
v  6bxwweyjjzs  .
overall this is a great purchase  .
it is a gift for my wife and we had been shopping for cameras for 12    18 months  .
this has all of the features that a couple with young kids needs in terms of zoom , speed , size , ease of use  .
having a fully flash memory camera is a must for us because of the ease of having many 16 gig cards with us  .
the battery life is plentiful and all of the functions are there for a reason and work well  .
there are a lot of other cameras out there that have some similarities in features but none of them put together the whole package quite as well as cannon does on this one  .
great job cannon .
for the cost of it is expecting something better fromn canon .
no one should buy this camera without completely understanding its format  .
you will be disapointed  .
hard to burn standard dvds  .
you will find most of your friends will need a blu ray or hd player  .
the dw    100 burner does not write to sd  .
cannot burn dvds from flash card , format for dvd    r only , so you are out of luck if your computer burner does not burn    r  .
i will have to buy a external burner now , to burn dvds  .
be sure you understand camera before buying .
i bought this camera based on expert reviews about the video quality and features for the price range  .
there were a number of user reviews complaining about poor quality for subjects in motion  .
i decided to try this camera , for the main puropose of motion recording  .
after fiddling with all the features and instruction booklet for about a week i decided to record a couple clips of fast moving objects , at the highest setting , and check out the quality  .
after transferring the clips the my pc , i played them back  .
the motion parts were awful  .
anything moving is blurry  .
hooked it up to an hdtv and same result  .
i should have listened to the complaints  .
the camera is in the box to be returned within an hour the only other complaint i have is you need to connect the power cord to interface with a pc in any way , no matter what the status of the battery is .
not good if you mostly shoot inddor .
failed on critical recording during one time event  .
buffer overflow message and hf200 locked up till battery exhausted  .
no files or data on card , totally corrupted  .
if it is old type with tape , video would be there up to point of failure  .
so much for new technology .
