the best mp3 player ever  .
also , now , i can read some notes on there and sync my i    cal onto it and see it in color  .
and my pictures can be stored there and also viewed on the nice color screen  .
some users have problem with transfering the videos onto the ipod  .
but since i use a powerbook  .
i found it very easy even easier then the psp  .
i use handbrake , and just one click , a dvd can be convert to ipod format  .
however , i do not find the video function too useful and it drains the battery too quickly  .
but oh well , i get an mp3 player , not a big pmp that epson sells  .
so i just take that as an extra features of a very very nice mp3 player .
copy and paste this url into your browser and all you have to do is complete one offer  .
they you recieve your ipod free  .
no shipping cost or any other costs http  //ipods  .
freepay  .
com/  .
r  25775530  .
if you are looking to buy an mp3 player  .
keep this ipod on your mind  .
sound quality is great  .
sounds just like any cd  .
the new feature in this ipod is of course , video  .
at first i is mad because i had a bunch of videos i wanted to put in my ipod , but i found a program called videora ipod  .
that program will convert any old video file that you have on your computer and convert it to an ipod friendly format  .
so now i can watch anything i want and not be limited to buying videos from itunes  .
another feature the ipod has is photo    nothing new  .
you can look at any photo that you have on your computer and import it to your ipod  .
those pictures look perfect i cannot think of any con that would stop you from buying an ipod except for the price .
this is the most outstanding ipod i'v ever seen  .
it is so amazing , it's beautiful  .
oh its just soo nice  .
the battery is fairly long , its got a great colour screen  .
it's got great sound quality  .
amazing  .
excellent music player with the best interface and linked jukebox (itunes)  .
the video is a minor factor  .
after all , what is the major use of the ipod  .
to listen to music , period .
this is awesome , i love it  .
the display is amazingly crisp and detailed  .
i love the battery life for audio playback , even though the during video it drains the battery pretty quick  .
i love being able to take clips from home videos to show them to other people  .
it is very slim and light  .
awesome is all i can say  .
i used to hate apple products , after getting this player , i love them  .
that says it all  .
been fooling with it tonight and love it  .
is shipped wednesday and is suppose to be delivered friday but got it today thursday  .
ordered from apple store  .
over all , i just got it in yesterday on oct 19th , 2005 , shipped in from china  .
none of the stores have this unit yet  .
i have added videos , photos and music  .
over all my experience so far has proved well worth the cost of the unit  .
it's thin , lightweight , and easy to use  .
the video is as sharp as can be , and you can process your own videos as long as you have quicktime pro 7  .
which is free to download on apple's website , or you can opt to buy the professional version which in turn lets you do more with the video  .
the battery life on the 30gb model is great for the music side  .
14hours of music can be played , but if your going to use video , you might want to bring a charger with you , when you play video it only lasts about 2 hours  .
this is due because of the size of the battery and how thin the unit is  .
if you opt for the 60 gb model , your battery life increases  .
music can go for 20 hours , and video is 3hours  .
but you can use 3rd party extended external life batteries , if you want to watch more video  .
most older accessories will work , even the photo dock , and older docks you might have  .
the only issue you will have is , that you'll have a space in front and in the back of the unit , where it is docked  .
i have tested this with a photo dock and it works just fine  .
i would highly recommend this unit  .
even though video has been out forever on mp3 players and same with photo abilites , it's just nice to have video finally on an ipod  .
plus , apple has 75 percent of the market sales for mp3 players , if they weren't doing something right , that number wouldn't be like that  .
the next major company that has a chunk of the market is creative labs , and they only have about 3    4 percent of the market area  .
if numbers don't speak for themselves , i do not know what will .
this should be this years best mp3 player hit with the thin apple design this is for sure the best product that will fly of the store shelfs .
first    to address the haters  .
this is not the archos    it's thinner , wieghs less than half as much , can be used in one hand , has the simplicity of the scroll wheel and , well , it's pretty  .
on top of all of those comparative pluses it's cheaper and it has more storage    hello upgrade  .
to the whiners about paying for video    you do not have to buy it but if you're downloading the video and putting it on your player for free you might want to realize that's actually illegal  .
ok    so on to the pluses compared to the past ipod  .
screen is bigger and more vivid  .
the storage capacity increased , the size got thinner , increased functionality with the new little apps  .
overall it's a great update/upgrade and the only issue might be battery length but it's still good    keep an adapter at work if you're going to listen to it all day .
this is a great product , it can fit anywhere easily and has lots of space for music and videos  .
it has a big color screen for its' size  .
yes , there are other products out there like the archos av 480 with a bigger screen etc but will they fit in your pocket  .
i do not think so  .
also , they are about three times more expensive than this ipod  .
that's why i think this gets the job done better than any other portable media center for a much cheaper price the bad thing about it though is that music videos cost 2$  .
who would buy a music video for 2$  .
the price for the shows are reasonable though (also 2$) , but its still money going out of you pocket  .
i get them free what i did is this   using a t  .
tuner i record every show i know i am going to miss , and keep it on my ipod overall , i think the product itself is perfect .
overall this is a great product  .
it has so many great features  .
i is impressed by the high resolution desplay and the fast load time  .
the click wheel has no delay  .
i personally love that i can have all my music on this device and still have room to install games and a couple movies  .
there are over 20 games to chose from and all of them are easy to control that you can purchase on itunes  .
so the bottom line is , its easy to control , its seek , easy and fun to hold , strong and sturdy and has a great audio and video quality .
out of all the ipods and mp3 players that i own , this is my all time favorite  .
it has a traditional apple design , a great screen resolution , huge amounts of storage  .
i like to watch my favorite television episodes , but after i watch two the battery is already drained  .
also when i watch full length movies , the battery is drained at the end of the movie , and i pretty much have to stop using the ipod or else it would turn off  .
my opinion is to get the ipod , but also get some portable/car chargers because you'll need them .
i just got the 30gb ipod video yesterday and so far all i can say is that is awsome  .
i haven't uploaded any video files yet so i coul not tell you how that works but that's not the reason why i bought it i bought it for the music  .
it sounds great and looks great as well  .
as a first time ipod owner i would recommend this product to any one looking for an mp3 player .
well i is always an apple hater , but i decided  .
to get a ipod as a backup to my zen vision m  .
i really like that you can put lyrics on the ipod  .
and look at a larger image of the artwork i hate the fact that every on buys these , but now that i own one i can see why i would suggest it if you have alot of mp3's its not like it matters though cause people will buy them , cause there cool to have or whatever .
i have had my ipod 30gb now for nearly a year and i could not recommend it anymore  .
the player itself is very solid and has a lovely feel to it when you hold it in your hand  .
the itunes software included will quickly become your no  .
1 music playing software because it is so intuitive to use and music , video and photos transfer to your ipod with no problem  .
once turned on the menu system is so easy a 3 year old could use it  .
anyone who is nervous about using technology should have no fears after using an ipod for more than about a minute  .
videos , music and photos play beautifully on the large screen  .
one think to look out for is the lag if buttons are pushed too quickly  .
apart from this using the player is a dream  .
my only criticisms of this player are    .
shiny back gets marked if you look at it  .
menu lag when ipod becomes rather full  .
lack of stuff included in the price , it really should come with a better case or something  .
overall this is a fantastic player with excellent features and beats any player in the price field .
i am very happy with my 5g ipod video  .
i have been babying it for a long time  .
this ipod outbeats all the other mp3 players out there  .
no doubt  .
it is a solid device by apple inc  .
i just love it and will love it forever  .
the resolution on the color screen is phenomenal  .
the battery life is nice  .
everything is nice  .
another awesome apple product  .
i will be very happy with apple for a long time  .
in fact , i bought a 4g 20gig ipod and a 3g 10gig ipod to add to my collection  .
with that , i own a powerbook g4 which is amazing  .
once you go mac , u'll never go back  .
i will buy anything apple now  .
sachin  .
portage , mi  .
i love this model , great price for amount of storage , i is very impressed with the quality of the videos once put on the ipod super clear , one precaution the backs of these ipods scratch very easily so does the screen , purchasing a cover is worth the investment  .
i bought the 5g a year ago for $300 (which is now $250) and now a year goes by and it still works as if i just got it on day 1  .
i loved the fact that im free from cd's and can finally drag my collection in a size that can fit my pocket  .
you can also add them in playlists so you can add a playlist as (new hits) or (the good stuff)  .
and you can also sort them by artist , album , title of song (all in a    z)  .
you can also watch movies on it which is a great plus when you get tired of listening to your music  .
the negatives that i have with the ipod is that it still has no fm radio or voice recording or fm recording  .
it still scratches like if youre holding a cd  .
i put my ipod in protective overlays and a case to keep it having that fresh and brand new look  .
if only apple can fix these problems they would probably have sold out signs everywhere all the time like they did last year when the nano and video came out  .
but i still love my ipod and im still gonna keep mine forever and ever (until it breaks because nothing in the world we make can last forever)  .
updated  .
on aug 20 , 2009  .
the first thing i noticed when i pulled it out of the box is that it already had some little scratches  .
it did not really bother me but i found it odd the screen is very bright and the sound quality sounds fine to my ear the battery life is a little bit short but with the firmware update that came out in september 06' (you can now ajust the brightness) it seems better when the brightness is lower i love this and it is a really nice player  .
highly reccomended  .
zbetta  .
the video ipod is on of the best pvp in the market , and with it's compadability with the itunes music store it is even better .
this is a really good ipod  .
it has all the functions you need it to have this is a good quality ipod  .
its video function is real awsome  .
but it takes up a lot of your battery  .
if you play with it too much the battery will die  .
it has good programs in there like a stop watch , world clock , calender , games and more  .
in itunes theres a lot of videos , music , music videos and podcast to choose from  .
i really recommend getting this ipod  .
probably sold ot still by now .
i have owned and used many mp3 players and have been blown away with the sound and build quality of the ipod i have never really liked the apple company or products , but decided to finally give the ipod a try after owning many subpar players , including the new gigabeat s i am extremely happy with my 30gb ipod and now see why they have such a large share of the market .
the 5th generation (5g) ipod is a great device  .
it doesn't seem to be getting much praise here on cnet because people people seem to think this is a portable video player lets get some things straight the 5g ipod (30 and 60gb models) are portable music players that have the capability of playing limited video  .
if you use your ipod to listen to music then you will not be disapointed  .
if you think you can go and download a bunch of video files and use your ipod to watch hours of video then you won't be happy the 5g ipod can play video really well and for a small screen , it looks really good  .
i think apple ment for the video capabilities to be used for watching a short video clip or two while you're passing time at the airport or on your otherwise boring commute to work riding a bus or train  .
that's how i use my ipod and i have had no complaints the ipod is a great device if you are using it with any computer  .
it's 100 times better if you're using it with a mac  .
it's so easy to put all of your contacts from your address book and all of the things in your ical calendar onto your ipod  .
it's really cool when you're wondering what appointment you have tomorrow or something like that and you're on your way to or from the office and you don't want to (or cannot) pull your laptop out  .
it's all on your ipod for another issue concerning the whole ipod line is lack of a am/fm tuner built in  .
i think that might be a cool addition to an ipod but i'm ok without it  .
the music that i've put on my ipod is what i want to hear and i have control over it  .
i can live without the radio for now i hear a lot of complaints about the itunes music store on cnet too  .
i've got to agree that getting something for free is very appealing  .
the reason i just don't even bother with trying to find some third party service to get free music is because i'd rather pay the small fee and know that i can just load the song or video to ipod without even thinking about it  .
i do not have to figure out how to get the file to my ipod , itunes has already done the dirty work  .
i just click update ipod and it's done itunes music store is also briliant for importing cd's that you already own  .
the way that the music is organized and the amount of info about a song or album that your playlists are organized by is great  .
i think people need to stop complainng about itunes music store and realize that it is the best out there for many reasons .
i simply cannot understand why the people at cnet  .
com are suddenly starting to hate the extremely successful ipod  .
it is simply so nice and easy to use ; just think about itunes and organise that and you can forget about your ipod as it takes it all in without worries  .
why does molly wood and james kim brag against it so much in their podcasts  .
i used to like ms  .
wood but now her comments are getting to me especially now that i actually have a ipod she gawps at the fact that you can connect your digital camera to the toshiba gigabeat s as if it's some exclusive feature when you can easily do the same thing on an ipod using the camera connector  .
the gigabeat s has similar battery life to the ipod but they just make fun of the ipod's short one  .
come on don't be like that  .
apparently they all have ipods but they still make fun of them  .
and apart from all that why is not having all the accessories included with the ipod seen as a con  .
i think it's more of a pro thing coz like you don't have to pay for an accessory which you might not necessarily want to use such as the power adapter so that simply keeps the final cost of the ipod down  .
if you need it , just buy it  .
i like apple's way of not forcing them out to everyone who wants an ipod  .
i really used to like cnet's commentaries and podcasts but they are getting rather biased and annoying bashing continually at the most successful mp3 player and coming up with alternatives which they themselves say are not really up par with the ipod in appearance for example  .
just accept that they're massively successful and quit your moans and groans .
i've been thinking over getting music player for almost two years  .
i finally took the plunge and got the 30g 5g  .
i own an imac and a powerbook but even so i is still surprised by the ease of use and quality of the ipod  .
now my wife wants one  .
i decided on the 5g 30g because at just $50 more you get almost 8 times the storage of the nano  .
i have a lot of music  .
i did not really care about the photo and video aspects but while setting it up and transferring my music i loaded some of my photos and one of my home videos  .
i is astonished at the quality of the video i realize that apple has its fan boys and its haters  .
the simple fact is that from macs to osx to ilife to the ipod , they create a simple intuitive user interface that is second to none  .
yes , they are proprietary and not the cheapest in any category , but the get how people interface with technology i highly recommend the ipod 5g .
i've had this device for almost 3 months now , and i love it  .
both the device itself and itunes are very easy to use  .
i choose this over the cowon x5 because of the ease of hotsyncing this to my pc  .
with the x5 you apparently have to manually put everything in , with the ipod you just plug it in and itunes does the rest  .
the x5's method is good if you want all your music in a certain organization , but i much perfer just scrolling through artists/genres my only gripes are simple ones that you don't really think about much  .
the first is that there isnt a dedicated volume rocker  .
if your listening to music while playing a game or such , you must navigate back to the now playing screen to adjust the volume , though the pause and play buttons work wherever you are in the menus  .
i've also noticed that when you want to get back to the main menu , you have to press the menu button several times  .
if you do this fast like i do , the ipod will experience a small bit of lag  .
no big deal , but it would be nice to have a way to imediately access the main menu  .
the device also scratches easily (hardly noticeable on the white version though) , and the chrome backing and the black version collect and show fingerprints like you would not believe  .
easily polished with a shirt though  .
the included sleeve is pretty wimpy , mine came apart .
i really like my ipod and i think it is woth buying  .
the video is very good if you have a proper videro converter  .
i have 10 full sized movies , 15 half houir show and about 50 music videos and 1400 songs and my ipod is only half full  .
theres not much to dislike when it comes to this ipod  .
looks great , feels great , works great , its just great all together but there are some minor hangups  .
the biggest one being the video playback only last a little over two hours , which is enough for most cases , but still could be longer ans while its a nice screan , watching it near a creative zen vision m , is one the few things the vesion has over the ipod and it scratches easily  .
but due to its extreme slim design , i cant put my iskin on (iskin  .
com) and its still thinner than the creative .
i know this seems like spam but i can prmise you that this works  .
all you have to do isclick the link below to get started    .
http  //ipods  .
freepay  .
com/  .
r  28900979  .
i live in dallas and our local news station (fox 4) did an investgation , the links below are proof that it works    .
http  //www  .
kdfwfox4  .
com/dynamic/story  .
asp  .
category  183  .
http  //www  .
freeipodguide  .
com/  .
i just got my white 30gig one from costco couple of weeks back  .
it is just 289  .
00 with costco full refund policy for members even after one year  .
i have put my entire music collection on it just over the weekend with itunes  .
getting photos is not very easy as my kodak software is not compatible with ipod  .
i had to copy desired pictures to another folder and then sync up i is really amazed at its ability to play photo slideshow and play music seemlessly that it never even skipped once i is also able to put some of my video captured thru my digi camera as it is already in  .
mov format  .
videos look really cool  .
i read somewhere that creative zen vision m can display more colors that ipod but i is not able to make out the difference  .
i am not a photo expert but to me it looked good i is also able to output my pictures and video to a tv yesterday using standard camcorder a/v cables (no need to buy apple cables for this)  .
switch the red and yellow rca jacks when you connect to the tv or home theatre reciever  .
ipod sends video signal thru red instead of yellow  .
this trick worked and the looked awesome frankly speaking i do not care about a fm tuner as i have a large collection of music  .
who wants to listen to fm when you have your entire music collection with you  .
my next project is to put a dvd on my ipod  .
i have downloaded all needed software  .
i will update this post when i do it .
absolutely wonderful product  .
i love the ipod and use it all the time  .
the only thing is that sometimes there is a slight lag when i press play for a video , but otherwise the ipod is perfect .
design  .
ipod has again surfaced itself to be the fashionable mp3 gadget of the century with its new slimer , wider screen version  .
abslolutely sleek and of chromed back audio video  .
audio wise , the clarity of the sound can be heard and experienced (compared to other mp3s) but to a minimum  .
perhaps i need to get the earphones replaced with a better one  .
i did not expect myself to give 2 thumbs up for its video clarity until i played some of the video podcasts and i went wows  .
it is clear and absolutely sharp  .
imagine you are squeezing your desktop video onto a small screen (2  .
5 inch)  .
perfect  .
clickwheel  .
same as previous models  .
sensitve  .
definitely have to lock the ipod when placed inside my bag other extras  .
i would say people getting ipod is not really into its calendar/ notes/ games/ screenlock functions  .
it is just too troublesome to sync my calendar with outlook intentionally  .
the games are old except for these times they come in color (ipod photo)  .
screenlock to me is judged by something redundant unless i have some contacts that need very very discreet handling  .
but in this case , i think my handphone will be perform this function better photos  .
clear and sharp photos  .
but the limitations is it has no zoom function  .
on the otherhand , it has great slide transitions with accompanying music of my own  .
i do all the settings myself podcasts  .
alot of podcast can be downloaded from the internet  .
simply easy  .
just go itunes and download or search via googles no adaptor charger  .
there is no adaptor for charging  .
i charge my ipod thru my pc via the usb sync wire supplied  .
but this does not pose as a big problem as there are many third parties chargers selling everywhere my view  .
get an ipod only if you like its design , its beauty and its brand  .
buy without hesitations if you prefer its audio and superb clear video capability  .
but do think twice if you want a multi    tasking mp3 consider these b4 getting an ipod video ,  .
1) no fm/ am (but the radio remote earpiece can be purchease easliy) money money 2) no bundled software that converts the video (videora has the converter to do that just for ipod and it's free  .
) (quicktime is provided , enabled me to convert my mp3s to acc)  .
3) limited types of files ; acc , mp3 and mpeg4 compared to its rival    creative vision m  .
(avi , mpeg , mp3 , wma etc) (well , acc's quality of sound is better , mpeg 4 video is sharper)  .
4) short battery life (battery's life is short if the screen backlight is on simultaneously) (was rumored that for video viewing , it's up to a 2hr max  .
) the problem will be easier if a charger is purchased 5) no card reader (unlike creative vision) , but card reader can be purchaed  .
money out again 6) no recorder  .
if you are in an urgent meeting/ lecture , a recorder would be your life    saving gadget when there is no pen or paper available  .
but once again , that can be purchased , so money again i cant really list out all for the review  .
i bought ipod video for it is an ipod  .
i remember once my colleague went into an apple shop , the staff emphasized to my friend ipod is a lifestyle gadget , you have to pay for its other accessories  .
from my usage , i only need a music , video and a photo player and that is why i buy an ipod video  .
and i do not have regrets as to now  .
maybe perhaps after i bought the card reader , and realised the transfer rate or high battery absorption rate etc , i will come back to give negative remarks  .
who knows .
best mp3 player ever  .
it works well , easy to use , and videos are a nice touch  .
plus , at this price , you cant beat the value  .
spend the extra 50 bucks to upgrade from 4gb nano to 30gb video .
i agreed with steve jobs for the longest time that no one would want to watch video on an ipod  .
but i never watch the ipod videos on the ipod it self , i watch it on a monitor or a video projector in the smart rooms where i work  .
the addition of video makes this more than just a person music player , i use it as a presentation tool in the class room  .
if fact i've been putting my power point presentations on it so i do not have to depend on the installed computes anymore  .
this is the future .
this review is based on use for music  .
i have not used it for videos very much (not interested enough , i guess) , but is very impressed so far .
in general , i like this product  .
slim design  .
but i dont like the case they give us  .
it gets dirty real fast  .
one serious problem that i have about the product , is the chargine method they want us to use  .
they want us to use the usb to charge , that requires the computer to b on while chaargine very inconviencient (spelling is bad)  .
just two key things i want to say here 1  .
to my surprise , the video is actually pretty watchable on that tiny screen  .
reason   the way us tv works , you get exactly the same pixel count on any display , whether two inches or 56 inches across  .
so a tiny display is more crisp , which is actually a fair tradeoff for the size  .
heck , let's face it       regular tv has very poor quality image       thus the interest in hdtv 2  .
apple has a higher reputation for interface than it actually deserves       thank you , microsoft  .
it will take you a while to figure out how itunes works , how it gets stuff onto the ipod , how you delete stuff from the ipod       hint   you have to set updates to manual , if you can believe it       and most of all , why it adds files to your ipod sometimes , and sometimes not , according to no obvious pattern  .
you upload stuff , and cannot figure out where it is       apple's autofiling categorizing system is just plain nuts of course , there's no documentation       because this is apple , we don't need no stinkin' documentation  .
yeah , right  .
first thing , go to the ipod area of apple and download the pdf docs  .
they are somewhat incomplete , but it's better than trying to guess your way through a system they clearly think is too obvious to need explanation a final comment ; as of mid    january 2006 , you simply cannot get stuff like cases and peripherals for this machine  .
they are not out yet  .
so your screen will get very scratched while you're waiting  .
nd apple's weird naming conventions       this is , by the wway , a 5th generation ipod , and that's how add    ons are labeled for compatibility , but you'll hunt forever for any reference to generations on the ipod packaging or docs or apple site  .
(cnet is the only site that correctly and completely labels this the apple ipod 5g (30gb , video)  .
to apple , it's an ipod 30gb  .
no mention of the most obvious distinction       video  .
how lame is that  .
it's been said before , great product that now plays videos  .
not sure why anyone would want to watch more than 15    20 minutes of video on such a small screen , but for videos and short tv shows , it's excellent  .
could not believe how clear and sharp the video quality is for such a small device i've got an ipod mini , the screen on which i can see in normal light without the backlight  .
wish this were the case with this ipod what makes ipod king is ease of use (what makes apple great is the same) .
it's the best ipod i have seen , but there are still some flaws that needs to be fixed like video playback battery life and those bloody scratches  .
i got a few on my screen already  .
otherwise , it's the best ipod i have ever seen .
i did the research and this is the mp3 player to get  .
it integrates with your car radio , and home entertainment system if you get one , get the extended warranty it is worth it  .
the other mp3 players that i looked at did not have extended warranties  .
i've owned the 5g ipod for about a week now and i'm very impressed with the product so far  .
some of the reviewers of this item are forgetting that the ipod is an mp3 player first and a video player second , therefore , it does lack some of the more advanced video features of some video players  .
i think the ipod with video does a great job of mixing music , video and photos , the color screen is one of the best parts of the whole package  .
i'm definitely an apple fan for life now  .
i am 13 years old and i have owned over 10 mp3 players  .
when i first pulled this thing out of the package i thought it is not very sturdy and would last long  .
so far it has held up fine  .
you can get a slim and sleek ipod with the cabilities of video , music , photos , and more  .
even play games and more  .
the battery life is great for music and viewing photos and the battery life for videos is just okay  .
the screen is pretty nice and big but yet stays portable  .
this ipod has the greatest sound and video quality i have ever seen    it works seamlessly with itunes , and you can have your whole multi    media collection at the palm of your hand  .
i highly recommend this ipod video over anything else  .
i think they did great with the nano , but the video ipod os just breathtaking  .
a sleek , slim package with the ability to stay in good condition , look cool , and store all of your multi    media with great quality  .
i love it  .
ok iv'e read alot of reviews of this item on this site and there seems to be alot of complaints about the video feature  .
well the screen might be small but it wouldn't get any bigger  .
just think if this item's size is designed any bigger , then everyone would complain about it being too chunky , 2  .
5 screen is the perfect size for this product and the video feature is exellent  .
good picture quality and everything  .
other mp3 players that have video feature are not as good as the ipod's video feature  .
other mp3s  .
with the video feature tend to use motion jpeg quality videos to play that are fairly pixelated whereas the ipod plays 30 fps quality videos that is in very good quality  .
now why worry about the fact it cannot play mpeg1 videos  .
just simply convert mpeg into mp4 using software such as cucusoft  .
now would you rather have the video feature than not have the video feature  .
and why buy music and videos off apple's online store  .
ever heared of p2p file sharing programs such as limewire  .
you don't need to buy music and videos from it because whats the point when you just download all this stuff for free  .
try downloading limewire and its free  .
then you would never have to worry on spending money on songs and vids after spending all that money on the actual product  .
now what really annoyed me is the fact that it didn't come with a wall charger , and you have to charge it up through the usb 2  .
0 to the computer , but this is not stopping me from going out there buying one  .
the ipod video is the perfect mp3 player full of features that have evolved from all of the previous versions of the ipod  .
the thing i have to warn you about is how much care and pressure you put on the front display  .
this item is abit dodgy when it comes to fingers and thumbs  .
scratching this product's screen aint impossible and it can even  .
ruin some of the imagery when watching videos , although i personally have taken extra care of mine and that the screen has minor scratches but not noticable when viewing videos , etc  .
the  .
metal mirror at the back of the ipod can get  .
smothered with finger prints but are easy to clean with a cloth  .
the headphones that come with the  .
ipod are good compared to other mp3 players these headphones can play the music rather louder than most mp3s and higher quality the ipod is meant to play songs in near cd quality which ive noticed other mp3 players don't as my old one played tracks in crap quality and sounds out of tune  .
what will amaze you the most about this product (30 gb and 60 gb) is the amount of information it can store for you on something fairly small and thin  .
its a must buy if you wa not the future to be held in the palm of hands  .
this product really is incredible  .
the ipod is pretty nice but the videos are too expensive to be 1  .
in order to convert the videos you have to convert videos which can take hours  .
all in all i give this a ten since you can get it for free at http  //ipods  .
freepay  .
com/  .
r  19844790  .
i wrote a negative review about maily the video part of the player  .
i did not purchase this player for video  .
i purchased it for photos and audio , which it does very well , and at great quality  .
for all the ipod    haters out there , i used to be one of you  .
i figured ipods were merely purchased either due to cnet's obvious bias , or their fashionable appearance  .
i purchased in june '05 an olympus m  robe (for $199 , read review) , because it is a nice alternative to the ipod mini  .
what i didn't realize is that there is an ipod available with a color screen , and 4 times the memory for merely 100 bucks more  .
the price on the ipod videos is just amazing  .
they are solid , and feel great in your hand  .
i am telling you , do not buy one because they look nice , buy one because they work , and do a great job at what they are meant to do  .
i love it .
the new ipod is the best one to date  .
it sounds great , it looks great , its slimmer , 30gigs and 60gigs for the same price as the older one ad its easy to use  .
but apple keeps surprising us with every ipod release , maybe next year there will be an ipod thats half the thinness of the 30gig  .
thats one of the reasons its the best ipod yet , not as found on the video must have mp3 player   ipod , which james kim refers to it as the best ipod ever .
this is a great product i've had mine now for a couple weeks and i love it  .
i highly recomend this product , buy this ipod for me is quite a step up from my 256 iriver player , now i can hold my whole collection of music instead of a max of 50 songs  .
many people are complaining that the ipod still has no radio or voice recorder , but i had those on my previous player and i only used them ones or twice when i first got the player  .
so for me this is not a problem  .
so 9/10  .
ok lets get one thing clear right off the beginning of my review i is never a crazy fan of apple and i is leaning on this one but i decided to jump at it this is not a biaists review apple has continued to shock us with alot of their gagets starting with the macintosh computer and now into the big and popular ipod stoop remember i is never crazy about apple i bought my ipod video the other day at my local bestbuy right out of the box i is impressed  .
the sleek design with its shiny glow and the same ease to use click wheel  .
i tested its itunes capability and the ease of use there is outstanding let me tell you , if you want an easy to use top notch mp3 player go with this i automatically put some songs on the device then i attemped to input a video onto the ipod not to easy as we all kno now , itunes is charging for their videos $1  .
