i am a bricklayer in minnesota  .
phone quality is important while the iphone has all the wonderful bells and whistles , dropped calls , late texts , and sometimes poor email synchronization were starting to cost me and my company money  .
after three revs of the phone , mys frustration met its boiling point  .
i could no longer rely on at t at least in the cleveland area so my search for a new phone began  .
i heard the promise of the android operating system and decided to take a look  .
i gave both verizon and sprint a try  .
tried the droid absolutely hated it  .
keyboard is useless , poor form , fit and function (at least for me) , seemed sluggish , just not that impressed  .
went over to sprint they had an htc and samsung android tried the samsung because of the keyboard  .
absolutely fell in love with it  .
to many people this may be surprising because of its utilization of 1  .
5 over 2  .
1 (it is getting the update)  .
it just works great  .
i love the fact that it is so customizable (all androids are)  .
but what stood out is that this phone really works for a business person with that keyboard  .
i am extremely happy with my purchase  .
i never thought i'd say this , but i really do not miss the iphone at all  .
i think this phone is the best option among other sprint phones so far .
awesome , awesome , awesome .
i loved this phone before the update but after it the weaknesses are addressed very well  .
the only problem is you have to go into the store to get the update  .
but , in a few weeks it should be over the air  .
this phone has it all    fast processor , slide out keyboard , very nice camera with a flash , capacitive amoled touch screen , and much more including android operating system  .
when os 2  .
1 gets released to this you will be hard pressed to find a better all around device  .
i love this phone    it is a dream to type on , is very snappy , and i feel like i'm always connected  .
you will save soo much money over the life of this phone when compared to one from verizon or at t because sprint's very generous $69 smart phone plan  .
this phone also 'roams' on the verizon network for free so you really loose nothing in terms of coverage  .
the camera may not have the same mega    pixels as the droid       but unless your goal in life is to zoom into pimples you will find that it just does not make a difference       and the led flash produces brilliant results .
this fone feel really good in the hands and the battery is good not what other people be saying it dies fast  .
its good too me  .
it's an amazing phone with a great qwerty keyboard  .
if your with sprint i recommend it  .
i love it  .
updated  .
on dec 26 , 2009  .
i love this phone and i have used just about every smart phone there is since i review them on a monthly basis  .
this phone has a robust list of features , a slide out physical keyboard , and a processor to support them along with a amoled capacitive screen  .
just a joy to use  .
i have owned many phones (iphone , hero , touch pro , samsung hd , among others)and this is the best phone i have had the pleasure to use to date  .
there are very slight issues such as the battery showing 15 percent for 5 hours of use  .
but that has cleared up some in time  .
i think a firmware update in january will take care of that problem  .
but overall this phone is quick , has a beautiful screen , very nice physical keyboard with nice feel , (which i kept the plastic coating on and trimmed it to protect the keys from any water)  .
great camera with a flash for dark rooms and night shots , loud speaker and quality sound on ear piece , android market , and many other goodies that makes this phone rule  .
sprints samsung moment is the android phone to get , the iphone and droid wish they were on the sprint network so they can try to keep up with this bad boy this phones screen is a step beyond most other phones , the android os with google is awsome and works as expected  .
samsung once again packs features and ease of use into an excellent device  .
sprints 3g is fully utilized by this phone and paired with the moments processor this phone is fast all around  .
wifi works great , gps / maps great , keyboard better than expected , call quality a+ , huge # of android application available  .
signal is one of the best i have had  .
battery life excellent get one i am so glade i got this phone .
me gusta el momento excellente  .
i just love this phone  .
the longer i have it the more i love it  .
i had this phone for over a month and love it  .
if you buy this phone after buying the hero you will not regret your decision  .
i had the hero for a month and the samsung hd for a few weeks and this phone trumps them both .
i love this phone  .
i have tried many top of the line phones and many of them are missing one feature or another like a flash for the camera , slow processor , or a hardware keyboard  .
this phone has everything you could want that really matters  .
just get it and you will enjoy having a complete product  .
enjoy  .
all i have to say is this phone has not received the respect and dignity that is deserves from the opening gate  .
i have owned many phones iphone 3 gs , hero , touch pro , and others  .
this is my favorite and a winner  .
my first android is the htc hero which strangely gets better reviews than the moment  .
the heros battery is so bad that every time i sent a few messages i had to recharge  .
i have no such problem with the moment  .
also , i have no problem with call volume  .
i do not understand why c    net is so lukewarm with this phone  .
since i traded my hero for this phone i have had no regrets at all .
i have had this phone for about three weeks now and i love it  .
one thing i just found out and learning new things about this all the time is if you go into menu settings while watching you tube there is a setting to change the video quality  .
you can change it from standard to hid and it makes a major difference in the picture resolution  .
it just looks fantastic  .
i don't know why they just do not keep it there all the time and ditch the standard viewing  .
i'll tell you another little secret  .
i had the hero before this for a month and i don t miss it at all  .
got this phone after having a hero for almost a month and very happy i switched  .
has all the bells and whistles  .
no lag  .
could not be happier  .
updated  .
on nov 17 , 2009  .
i switched to sprint from att where i previously owned an iphone , but sprint's unbeatable prices and new droid phones peaked my curiosity  .
well , after many trips to the sprint store and tons of research on the pre , hero and moment , i finally decided on the moment and i couldn't be happier  .
the hero is getting a lot of attention right now and i think it's simply due to the coolness of the phone , which if you have any sense you would lol at that  .
when you look at the hero and the moment together you can kind of see why people are leaning towards that device , but once you turn on the phones and start to navigate through the screens you will see that the functionality is very similar  .
some of the differences i found is the hero had the pinch and zoom similar to the iphone ; however , that feature may be available for the moment in the 2  .
0 release , but let me tell you that feature is vastly overrated  .
i thought it is actually going to be a deal breaker , but after using the moment for about 30 minutes i realized its zoom is just as efficient  .
another thing is the 7 screens on the hero , hahah at that , i mean seriously the 3 screens on the moment are plenty , especially considering you can create folders , which store at least 20 apps , so that is another overrated feature on the hero  .
if you're an iphone user you are nodding your head right now because the fact you do not have folders is irritating (disclaimer   i had a 3g phone , so the 3gs may have folders) .
get this phone  .
i promise you that you will not regret it  .
stay away from the htc hero  .
the hands on keyboard sucked  .
also i is the most loyal palm treo user for years but unfortunatelly the palm pre's keyboard is too small for anyone who has fat fingers like i do i hope my car tape adapter can fit into this phone so that i can listen to my sprint country music radio or pandora through my car speakers  .
(if you live in new york city (and as you know there are no country music stations there) and you actually like or love country music as much as i do well here is a free option and alternative to xm or sirius radio)  .
i see the cnet editor rated the moment bad for the following   the samsung moment's touch interface and controls were a little sluggish  .
the camera lacks editing features  .
i have to disagree all these negatives are just not true  .
maybe they reviewed a pre    release phone , and need to give it another look the response on the touch screen is the opposite of sluggish the fastest i have seen i am so happy the camera did not try to restrict or complicate its use with editing and such that would never satisfy everyone  .
the camera is a part of an android phone  .
you can use android apps to do everything you can imagine with the camera and the resulting pics  .
all i want from the camera is to just be there i will take it from there thank you very much this is the whole point of using android do not be fooled by looking at the android  .
com site i was  .
there are tons more apps available via the phone than they show on the internet sight i am like a kid in the candy store  .
there are apps for everything things you would never think of a compass , medal detector , level , stud finder , games out the kazoo , gps stuff out the kazoo , all kinds of calendars , clocks , reminder apps no point going on with the list it is truly endless if you happen to have your contacts in gmail , you will be happy to know this phone simply syncs between the two  .
this feature will probably send thousands of new gmail customers to google  .
of course gmail includes a calendar that syncs with the phone , and additional storage for documents , and a reader shesh , now i'm hawking google  .
cannot help it it really adds a whole new dimension to a phone to know everything is now automatically synced to the web ; as in back    up someone has got to build this great tool that includes a phone a longer life battery .
had a hero for 3 weeks and is sooooooooo unhappy with that phone work around after work around so to compare the 2 i'd say if you want a speedier browser , better looking screen , hardware keyboard , better batter life , a lean os get the moment if you think a pretty widget is more important than all those things then my guess is you're a mac guy and you need a hero the choice of the moment over the hero is a no brainer updated  .
on nov 5 , 2009  .
if you root it , it will come  .
with the right rom the phone can really come to life  .
this phone is so much fun to tweak and it has the power to play just about all the games i can load  .
its screen is one of the best , i watched avatar on it just to see with my itouch next to it and you can clearly see the difference  .
i use the gps daily and surf with it often never have had a problem  .
i really rely on it as it is a central part in everything i do  .
it really is a mini computer/nav/game system/media hub/everything  .
i have bought other brands of phones before and only had 2 samsung i will only buy samsung for now on  .
i have not had any problems with this phone nor my samsung rant which i still use and its 3yrs old  .
with the amount of 3rd party developers that have worked on this phone the customization is awesome you can spend weeks customizing it and after it has been rooted the possibilities are endless and the battery life goes through the roof  .
but just like any smartphone the issue with the moment is the lack of ram even tho android is made to run on less ram then say win mo a minimum of 512 megs of ram would have been a great idea coupled with the insanely fast 800mhz cpu  .
always remember your ram dictates how fast your cpu can operate  .
this device is far from garbage and it is way better than the already outdated intercept .
this is my second smart phone  .
my first the mb fried in 2 months  .
this one is awesome  .
easy simple and smart  .
this is how it's supposed to be  .
powerful phone with awesome perks and very well built  .
software issues i am sure have been fixed im just too lazy to download the new content .
this is a new android phone , which means it has access to over a million of apps and growing for fast and easy download or purchase  .
i love the customizable screen  .
the keys are nice and big  .
but gps turns on automatically and is a big battery drainer  .
but just make sure you turn it off by going to settings , my location and uncheck the gps option , and turn back on when using sprint nav and google maps  .
other than that and the weight i love it  .
i highly recommend downloading lookout antivirus which is 100% free and the subscription is $50 a month not the subscription is also free  .
a great choice for a phone  .
this phone is great  .
now with the 2  .
1 update its even better  .
the samsung moment can do everything , i have had no problems with it  .
i really have nothing bad to say about this phone except battery life but hey , for how much i use it daily i dont mind charging it every night  .
all apps load super fast , and i is surprised at how great web browsing is and how fast sprints 3g network was , on average i get 1  .
9 mbps , which is faster than some of my friends home internet  .
the music and camera functions are great and with 2  .
1 , the apps become even better  .
i just love android and how open it is compared to apple , there is so much you can change , i currently use launcher pro over the stock android ui and i even installed the htc virtual keyboard because its so much better than the stock one  .
over all this is a great phone and i would recommend it to anyone  .
obviously , this review is intended to help potential buyers who emphasize the ability to text efficiently  .
however , i want to add two side note  .
(1) many reviews state that the moment's battery life is a problem , but i have not had this issue  .
the phone comes with methods to save battery life , and when these methods are in place , my battery has lasted as long as my previous , non    touchscreen phone  .
so just follow directions (like you learned to do in 2nd grade) and you should be good  .
(2) many reviews state that the moment will disconnect calls  .
some reviews state that one's face on the touchscreen is the cause  .
however , i have not had this problem at all .
just got mine on friday  .
it's the most i have ever paid for a phone , but it is well worth it  .
great phone  .
i liked the specs on the phone , but i is pleasantly surprised with the product  .
coming from a palm treo and a blackberry , this phone suits me in both the practical and the wow factor you will like   call quality and volume , bright gorgeous display , easy navigation , pretty fast browser , pretty good menu trees  .
for those unfamiliar with apps , the app market brings you lots of tools and toys to customize your experience  .
i easily found a better contact manager , notepad app , plus media for pandora and orb you will not like   the email client (the non    gmail one)  .
if you use gmail you're set  .
if you use additional accounts (like for work , personal domain , isp) you will probably not be able to use it  .
the net is plastered with complaints  .
an open source app is available that supposedly fixes some bugs , but i had no luck with it  .
there are no other free options at this time minor item   the phone is heavy , like a treo 600/650  .
you can get used to that , but you will be shocked a few hours after carrying and using the phone  .
the weight feels fine while typing on the qwerty keyboard though  .
also , the newer android update is supposed to be coming soon  .
i hope it brings good things .
this phone is great  .
i cannot get enough of it  .
the reason i picked this phone is of the physical keyboard over only the virtual keyboard on the hero  .
the phones screen awesome  .
the size and the colors are really phenomenal  .
the phone has wifi , though i have not had a chance to use it but seems to be really fast on sprints network a lot of people complain about the battery  .
it makes sense though that if you leave apps running then your battery is going to drain  .
i multitask a bit on the phone but not for hours at a time  .
i am never just surfing the web on the phone for a period longer then 20 minutes  .
but i would assume anything more then that would start to deteriorate the battery  .
i can probably go for a good day and a half , with regular use , without charging my phone the android marketplace is awesome  .
just about everything on there is free or has a free/lite version of the app  .
apps run smoothly and are of high quality one of the biggest things that i like about this phone is the customization of the desktop (main screen for lack of a better word)  .
this way i can organize tools in one spot , contacts and email in another and games and social networking stuff in another  .
it is great have not had the chance to use the document viewer or anything of that sort so no comment on that overall this is a great phone  .
i am very satisfied and will be even more satisfied if the android 2  .
1 rumor comes true .
i've owned the iphone , plam pre , htc tilt , htc fuze and the bb curve  .
this is honestly my favorite phone so far  .
perhaps i have such a high opinion because this is my first experience with android , regardless this is a great phone  .
i have not had a problem with it yet and i've owned it for about 2 months updated  .
on jul 4 , 2010  .
this phone is a very good phone  .
you can do almost everything from it  .
its worth the money  .
i have read many reviews on the moment and i agree with some and disagree with most  .
the most common problem is that people are complaining about the battery life  .
yes , if you leave programs running in the background it will eat your battery with ease  .
solution , do your research on the os  .
android is a multitasking euphoria , it has everything iphone users want without having to exit programs to check your email  .
i have downloaded automatic task killer , it allows you to choose which programs run in the background and which stay open  .
impo there is no reason to run any app that you use frequently in the background  .
the processing power of this phone allows for quick opening of programs and save time and battery by having them closed when the screen is powered off  .
also the display plays a big part  .
if you are having your screen at 100% all day that is no good  .
being an amoled it runs much more efficient on a lower brightness and with the same brilliant results  .
i went from 7am    11pm on a single charge with moderate to heavy use  .
(ie texting , facebook , random internet surfing) not to mention that my office is in a network hell and would often go from evdo    1x back and forth  .
needless to say at the end of the day i is at 20% but that is good considering the time i had it away from the charger the only other thing i would say about the battery and how to make it work for you is not to have you gmail or twitter updated every 5 mins  .
no one gets that many personal emails that often nor tweets (because they are so crucial to social living) that you need to know when someone tweets about how bad their day is or what kinda shoes to buy the keyboard took some getting use to because of the funky layout  .
i can from a blackberry bold 9000 and it is a texting dream  .
so needless to say it has been a transition  .
but still it the key have just enough play and tactile feedback that it makes up for the layout obviously with a quirty keyboard comes added weight and bulk , which is not a big deal seeing that my bold is wider than my moment call quality is very good and i think the speaker phone performs quite well the only thing that i would change or omit would be the optical mouse  .
it works well in some applications but to me needs to be more sensitive in its response  .
also if vibrating feedback were used it would make for more precise navigation one thing i would suggest for heavy users (games , apps , fb) would be a car charger  .
the 1440mah battery charges very quickly , but if your seeing bad performance or low battery because of use it would be a good investment .
i bought my samsung moment the 2nd week it is out  .
45 days later i am on my 4th phone  .
phone #1 battery life sucked , (returned for new one)  .
phone #2 battery life still sucks but find out this is normal for moment , but my phone goes crazy with lock code and locks me out of my phone  .
come to find out there is a known flaw on this android system that has only been corrected on the verizon droid phone  .
this flaw will not allow you to do a hard reset if you enter the wrong security swipe 3 times  .
why you ask , well because there is no hard reset on the phone until now  .
oops i guess that tiny detail is overlooked , and yes this update ads a hard reset  .
so i is given a new phone  .
phone #3 every time the screen turned off my phone would not turn back on without taking out the battery  .
phone #4 had one week , zero problems yet  .
now about the freaking update  .
samsung obviously rushed to get this phone to market  .
so much so that hey have to tweak the operating system so much that an over the air update will not work  .
so guess what moment owners  .
the dreaded trip to a sprint repair store  .
be prepared folks  .
your phone will be wiped out  .
back up everything before you let the tech touch it  .
i suggest astro file manager app which is free and sync your contacts to your gmail account after an hour and half at sprint and starting all over for the 5th time to reinstall all my apps and settings this is my results  .
battery life is much improved and the phone even seems to run smoother and faster  .
other than that i have not noticed to much difference  .
good  .
i switched over to sprint entirely back in december and for the past month i've been eye balling this phone  .
i have been tempted to say screw it and add a third line to get this phone  .
i got a smokin' great deal on this phone only $36 at radioshack  .
i is tickled to death  .
i knew from the second i got this phone i'd be pleased with it  .
before i switched to sprint i had the gr500 lg xenon from at t , and that is my baby i loved that phone  .
it is quick , responsive , and twenty times better than the cool lg cu 720 shine i had before  .
and what is even better is that though it's gray , i would of liked blue or red , but it's all good , it looks almost exactly like the xenon only a little bit bigger  .
i love the android operating system , and at 800 mhz it is very responsive to touch and pressing of keys  .
it's hard to believe this phone came from sprint  .
it always reminds me of my lg xenon so much (i miss at t  tear ) i love the applications on it  .
i'm a big fan of pandora , and it was not available on my exclaim , but it is on the android operating system yay  .
they also have the find starbucks app and it has cribbage (i like my ipod touch cribbage game better , but it gets the job done  .
) it has threaded messaging (the exclaim somewhat does , but it does a poor job at it  .
) , which the xenon had and i'm a fan of i am a fan of speed , and when i use computers , i want them to be fast  .
the moment is up to par with some computers , making it a favorite  .
the fast switching between applications and the browser and calling and whatnot are outstanding  .
the battery life is rather short if you use it heavily , but i'm always near my laptop and a power outlet so charging is not a problem for me if you are looking for a stylish phone with loads of features , this is your phone  .
this is the perfect alternative for a customer who lives in a town of which there is sprint service , but not at t (kind of like the situation i'm in i roam in the small town i work in , but the wal    mart in the town of which i work in has sprint and not at t  .
) i recommend this phone to everyone  .
and the everything data everything mobile plan pricing is just right , also  .
this is a very good value , unlike verizon's plans  .
anyways peace out people  .
get this phone , you'll be glad you did  .
nate  .
i use my phone all my waking hours  .
from an alarm clock , to showing the recipe i'm making for dinner , to logging my fitness , nutrition and a myriad of other 'net things  .
i travel quite a bit and greatly appreciate solid navigation and location info , such as nearby fuel  .
i'd buy this phone again and would definitely recommend it if you're considering a smart phone .
this is a great phone  .
actually it's a non    windows ppc with phone capabilities  .
the music player started up the first time and there is no waiting to scan the sd card  .
unlike the instinct  .
i love the qwerty slider although the space bar on th bottom row of keys does take a bit of getting used to , but there is actually a row dedicated to numbers , unlike the t    mobile mda (aka htc wizard)  .
the sound is loud , actually ear    splitting if the volume is at max and you hold it near your ear  .
camera is 3  .
2 mega pixel , but threre is no provision to zoom in  .
not really a problem for me as i don't use the camera all that often  .
the things i do use it for , it excels at  .
the internet is actually usable , unlike the instint (instink , i call it)  .
you can sync your google calander and contacts to the phone and when the sync settings are set properly  .
it will actually push the contacts and apointments to your phone as you add them  .
one problem i noticed is that when i try to send a contact via bluetooth to the moment , it says content received but the contact is not listed in contacts  .
the battery life is not the greatest , but the best solution to that is to download the taskkiller app  .
that does help  .
but surfing the net does take a fair amount of juice  .
as does playing music through the speaker  .
it's better when you use headphones  .
sound wise and on the battery  .
i do have a quibble with sprint  .
this is  not  the phone's fault  .
currently you are unable to upgrade the firmware over the air  .
you have to take the device to a repair center and they will perform the flash for you  .
according to sprint , over the air updates will be here soon  .
hope they follow through with that as the device ships wih android 1  .
5 cupcake  .
do not get me wrong , cupcake is not bad , just a bit out of date  .
overall this i a  great  device  .
i love it updated  .
on feb 8 , 2010  .
a great smart phone  .
the android interface is awesome  .
the apps are great and they are adding new ones all of the time  .
being a single parent , teacher , and basketball coach , i am always on the go  .
this phone makes it easy to keep in touch and keep things organized .
i'm in marin county just north of the golden gate  .
i've had my samsung moment for a week and love it  .
will be searching the forum http  //www  .
samsungmomentforum  .
com to solve what looks like the common problem of short battery life that i'm experiencing , and get advice on apps and accessories , i also have a ce and mobile technology mktg consulting company so might be asking for your input on some future usage and technologies coming out  .
thanks for posting this .
i love this phone except for the battery life  .
i think the layout is well thought out  .
the moment does not lack any features like some other phones do  .
the key board lay out is great and easy to use where as the droid might as well not even have one for all the use it is  .
the hero has htc sense for more home screens but i use an app that gives me 7 home screens and a 3d cube effect when switching screens  .
the fact is there is an app that will do almost any thing a factory added feature can do .
i have have over 30 smart phones , just coming from a palm pre , and i love this phone  .
i am a very busy college instructor and full time student  .
i needed something to manage my tasks , calendar and email as well as easy to access contacts  .
this phone syncs seamlessly with my google apps so i can update any of these on the computer or on my phone  .
going from a palm centro to a samsung moment is like going from a kia to a cadillac  .
$179 with a two year contract is a little pricey but in my opinion it is worth it .
this phone is one of the best android phones on the market and by far sprint's best smartphone  .
i had the hero for about a week and had to return it for this phone  .
htc sense is great but the hero is severely flawed  .
this gets better battery life than the hero with a smaller battery and a faster processor  .
i love how fast it is and it will be able to handle 2  .
0 easily  .
the battery life is not great i can get through a day but it could be better and the phone only reports the battery percentage every 10%  .
i do have a task manager which helps but does not increase the battery life that much  .
hopefully this is a 1  .
5 issue and will be fixed in 2  .
0 the screen is amazing  .
it looks stunning  .
there are few phones that even come close to the moment's screen i do not understand what people are saying about the keyboard  .
i think that the key board is easy to use and better than the droid's this is a great phone and once you get used to having android's multitasking power it will be hard to use any other non    android phone .
just a fun media and business phone  .
the android market is a blast  .
through flycast app i am able to access 1 club  .
fm studio 54  .
wish i could sync to my i    tunes  .
coupled with the sprint simply everything plan , the best value out there  .
great for business , large enough screen , keyboard and does everything i want/expect , and comes with android ; there are already great business apps made for this platform and we're barely scratching surface    there are tons more in the pipelines if you're a business user who uses business analytics or business intelligence software , i highly recommend android apps made for pentaho on this phone (more of these in the works) .
it may not seem like i do but i love this phone  .
there are a little downsides but so what  .
sense ui is much better than stock android but use apps like panda home and i think u will be satisfied  .
the display , keyboard and processor are all better than the heros  .
in my opinion this phone is better than the hero by a hair and if you get either one you would be satisfied  .
take it from someone who had the hero and has the moment now  .
if you are looking for an android , this phone is definitely worth looking at  .
it feels substantial in your hand , not cheap  .
the slide action feels great with a satisfying snap back into place  .
i have not played with the camera too much but i noticed there is no zoom feature , which i can live without  .
the iphone has a plastic screen cover which just barely fits the moment's screen and i highly recommend that you get a cover or case for it , too , because the phone scratches easily on pocket change/pens be advised , you will be upgrading to sprint's everything data package which is an expensive bump up in the cell phone category of your budget  .
you've been warned .
iphone can have 100 , 000 apps  .
how many do you use at once  .
if you're on sprint , and love having a physical keyboard , this is a great phone  .
its why i didnt go for the hero the droid apps suit my every need  .
as ethel merman sang anything you can do i can do better i easily get my email    google , hotmail , etc  .
i can chat on yahoo msn , watch youtube , stream pandora radio , etc  .
800mhz processor , amoled screen is very bright vivid  .
so far i think android phones will give an iphone a run for their money updated  .
on jun 18 , 2010  .
i only had this for a few days , but man what a phone , i love the fact that you have the slide out keypad as well as the touch screen keypad  .
in fact this is what bummed me on the palm pre  .
the phone is very responsive and applications load fast did i mention the screen  .
you gotta see that screen .
bottom line this phone is well worth the price  .
my wife has the hero and complains about the keyboard and not having a flash , and this phone has that taken care of  .
it is easy to use and has countless features that will make it hard to put it down .
very happy with the phone and service  .
best bang for the buck and the amount of features/functions is impressive  .
the display and performance are amazing too .
just a fabulous device after having the hero for a few weeks i really do not regret my switch  .
anyone experiencing poor battery life just download task manager from android market and put a stop to all the running programs  .
works like a charm  .
i have been using two days and finally needs a charge  .
i cannot put it down  .
updated  .
on nov 10 , 2009  .
i had the hero right before this phone for three weeks and i have to tell you besides the ui , this phone has that one beat in just about every thing and especially performance  .
i really got tired of making mistakes on that keyboard and the lag irritated me  .
i actually like the virtual keyboard better on this than the hero  .
but the physical keyboard is a night and day difference i also had the iphone 3gs and several others and to compare but this phone just won me over  .
now the ui is very basic but i am the type that likes to build and design my own ui and not what someone else already stuck in there  .
when 2  .
0 comes out and this gets it , that will be something really look forward to  .
i cannot believe some of the reviews i read from some of the review sights  .
it almost made me not get this phone  .
i am glad that i had to see for myself with all the great specs this phone has i could not just not try it  .
but i am glad i did and i think you will too if you have some tech smarts in you updated  .
on nov 10 , 2009  .
this is the phone i've been waiting for  .
i'm probably in the minority , but i actually prefer the base android interface to htc's sense ui  .
combined with the physical keyboard , it made my choice of a sprint android phone pretty easy  .
i do wish it had android 2  .
0 (after all , the moto droid is launching on verizon in a matter of days packed with 2  .
0) , but i've been told it the upgrade is coming in a matter of a few months  .
in general though , i could not be happier  .
nice job samsung  .
i don't know what they are talking about in this review , but the sound quality and volume on my device is absolutly booming  .
other reviews on other sites same the same , so i suspect that somehow cnet got their hands on a dud volume wise  .
i put android 1  .
5 as a negative , only because it is a bit older , but if you aren't used to smartphone or coming from wm like me , you will love it  .
also , it most likely is getting a 2  .
0 upgrade anyway  .
as for the stock build , i like this  .
there are 10 , 000 apps and growing in the store , and many options to download customized home screens  .
why does it have to be a knock on a device that was not customized , when the operating system is specifically built for 3rd party development  .
another thing is lag or sluggishness of the screen  .
i have not experienced this at all , but to be fair they did state that android virgins would not notice this .
my main gripe about this phone is that it has the stock with google experience ui while it could've really turned heads if it had the touchwiz ui  .
the stock ui may turn some towards other devices and if there are those of you that will overlook this phone just because it has stock android i implore you to look at some of the home replacement apps like open home , a home and others and you'll probably be able to pick your own custom home screen that will make your own individual phone stand out in a crowd another gripe i have about it is the joystick  .
i just do not see how that would be better than a trackball and is probably put on to make the phone's cosmetics better  .
i plan on playing games on my phone and the way the joystick works just seems like it would hinder some games functionality  .
maybe someone could prove me wrong about this the samsung moment as of this time is the fastest android device in the market with its 800 mhz processor  .
this alone will probably make the phone glide through screen changes and handle plenty of running apps while it may not have the highest mp camera , it has 3  .
2 while the hero has 5 , it makes up for it with the flash  .
the amoled display will absolutely mesmerize you with its good looks and how it never fades out when you tilt the phone  .
however , i am willing to overlook this because of the many home replacement apps in the market that can remedy this  .
heck , if you were really savvy you could port the hero's sense ui onto the moment turning it into the best phone on the market including against the iphone in my opinion potentially sprint's own applications can really make or break this phone  .
with sprint tv , sprint navigation , nascar and nfl mobile on the phone it can really transform it into something special  .
if it looks and runs like the hero then the phone will have a huge advantage over non sprint devices  .
all in all this is a great phone and if the people who buy it fully know the powers of android , this phone will beat anything on the market .
i absolutely love the samung moment  .
its like a mini laptop that you carry around in your purse  .
and to the people who were saying the battery life stinks , well it's going to if you have it in your hands playing on it all day  .
but this really is a nice phone  .
it is quite bulky and it will freeze up from time to time but the product itself is great  .
i've had this phone for 4 months and nothing bad happened (well not yet) and also to the people that were saying not to get the phone , it is not a bad phone , it is to some people probably because they think the phone is not for them  .
and i think that is why they are posting it all over the internet i have not had to send my phone in one , and about the battery , as soon as it goes dead , before you got o sleep just plug it up  .
then when you wake up your good to go  .
but i only wrote this review to tell you that this phone is not bad at all , it probably is for some people because they are quite ready for a phone like this one  .
~awesome phone~   .
i love it and hate it , but i love it more .
this device is amazing only problems i found were the battery life and the size  .
the battery life is not as bad as everybody says , its only if you're on the internet all the time , which you still get 5    6 hours being on the internet constantly the sound is great and it has so many features  .
it can be overwhelming at first but once you get the hang of it , it's pretty easy to use  .
wonderful phone   )  .
updated  .
on jul 19 , 2010  .
