this is the desktop graphics , gaming and work lcd to have  .
i have dvd'd with it  .
and hours upon hours of general office use , including photoshop , autocad , illustrator and so forth  .
in that circumstance , it is exceptional  .
again , on my system built and configured to work right with this behemoth  .
at home i have an imac (fully top line outfitted) and that (or this since i am on it now) is amazing  .
just not seeing all the negatives some of you have so it may just be configuration compatibility issues .
i have had very good luck with dell products at work and home  .
the computers have gone down in quality a small bit in the past year  .
the monitors have actually gone up in quality in the past year  .
the only thing i have to say about the 24 inch is , if you can at all afford it or cut corners elsewhere , just spring for the 30 inch  .
also get the big warranty and a big power surge too , which is what i did not do  .
but the silver lining is , i'll soon have a spanking new 30 inch monitor  .
unless there's something bigger dell monitors have never let me down , ever .
ordered (from dell) on the 10th or 11th of january 2009 , and shipped on the 13th , this absolutely pristine monitor arrived on our doorstep today  .
small text is crystal clear and sharp , colors are spectacular , monitor is bright and strong , and you may want to tune that down slightly  .
immediately out of the box and quickly assembled and connected it performs sensationally  .
have not observed any heat issues (at all) or (blue) color issues noted by others on other sites  .
other than dialing down the brightness slightly , nothing more needed to be done  .
my son is very content playing world of warcraft on this gorgeous monitor  .
it pivots too  .
wife likes that  .
big dell discount on these right now (jan 2009) .
i just bought two 2408wfp's and have them side by side  .
i like two    screen setups because i do alot of layout work and imaging work at the same time  .
monitors were both blindingly bright , with complete oversaturation of reds  .
took me about 20 minutes on each screen to get the picture to acceptable color , detail and get black level set  .
a good professional    quality calibration is really a good idea with this monitor and i'll be doing that this week  .
but it is possible to get the panel dialed in pretty close with software calibration  .
i'm using ati video card and it works well with both monitors i is disappointed , though , in one of the panels lack of uniformity in screen lighting  .
with no picture , just black , the left side of the screen is a bit brighter than the right side  .
there are also anomalies in the corners  .
the other monitor is better in this regard , but it's a concern about dell's quality control  .
with most material , the problem is not that noticeable , but still i really dislike the on    screen control system  .
it's difficult to punch all these buttons , and the choices are difficult to navigate  .
i used the ati software to do most of the settings  .
all in all , a great value for a 24 incher , with just a few warts .
overall , this is an excellent monitorthe image quality is great , excellent motion    response for video and games , minimal if any ghosting , and lots of picture adjustments  .
the connection options are very nice if you plan to connect multiple devices , although i personally have not used any of them , so i cannot speak to any limitations or caveats i also use an apple display of the same size (which is twice the price , due largely to the aluminum enclosure) , and this dell preforms better in almost every way  .
the one thing i really like about the apple display is that it's text display is quite a bit smoother  .
i'm on a mac where high    quality text anti    aliasing is standard , so that's a tiny bit disappointing  .
still , probably the only reason i notice it is because the apple does it slightly better  .
also , the dell is slightly slower waking from standby  .
in most other ways the dell is superior (adjustability , color , contrast) i'm very happy with the dell and i've had no dead pixels or other problems of any kind .
this is the best monitor i've ever had just a tad bulky and heavy  .
bought the acer 22 just did not like the picture (cool bluue) so i bought this one great product goes nice with my 420 .
after a year developed more and more bad pixels  .
tech support at dell is great and sent me a new monitor , a u2410  .
assume it is latest version  .
picture looks just as good  .
hopefully the hardware will hold up .
honestly , if your not a professional or not a big gamer , its a great monitor  .
but if lag and color is important to you , look elsewhere  .
on the paper this is a overall great monitor with good color , interface , and brightness , and that is possibly why reviewers have given this monitor so great reviews but testing out fancy images and color templates have nothing to do with real use and this is where this monitor falls through  .
as a highend product you do expect some quality first of all the input lag is gigantic  .
60 sec in avrage input test from various sites and i can 100% agree  .
its horrible if you have too much text on the screen at once the screen starts to distort itself in some wierd way  .
text itself is also very unsharp if you want a 24 inch monitor go buy it somewhere else  .
dell's 24 inch is not worth the buck .
i am out of here .
i don't know why cnet rated this monitor so high  .
i guess dell persuaded them  .
so much for unbiased review  .
this monitor has very bad image quality with default factory settings  .
for example , look at people's photos on web pages    they all look like either their skin is sunburned or they are drunk  .
the picture quality can be improved if it is recalibrated , but even after that it has big issues with oversaturated red and green  .
people on photos look like they are drunk (reddish faces)  .
some colors are plain wrong even after calibration (i  .
cyan can have magenta tones)  .
this is the biggest downside of this monitor    even if you do not do graphical design , you normally make pictures of your realtives and they all gonna look pink on this monitor the second big problem          it strains your eyes    there is some flickering on lower brightness setting that is used most often  .
your eyes get tired pretty quickly  .
the only way to fix it is to put it to 100 brightness and then lower brightness on your video card also , there is a greenish effect around the text  .
it can be minimized if recalibarated , but does not disappear completely there is some lag in the games , not big , but still visible on a positive side    it is big , it has a solid design and good ergonomical stand  .
there are many different video connectors  .
it is relatively cheap i have dell 2407 at work and i think it is better than 2408  .
i decided to buy 2408 just because i assumed that it can be an improvement over 2407  .
i guess i is wrong .
i just purchased 2 of these 2408wfp's to use as dual monitors  .
i thought i did all my homework prior to making the purchase but evidently not  .
the model currently shipping is a first version and has major issues  .
just check the dell support forums customers with this monitor are eagerly awaiting a new hardware revision  .
first , the wide color gamut is basically incompatible with internet explorer  .
(and any other non    color managed applications  .
) most images on the web and in most other applications use the standard srgb color profile  .
this monitor does a poor job in displaying these images  .
users are having to use special color    managed web browsers for this monitor  .
second , this monitor has been found to have the worst input lag of just about any lcd  .
gamers be warned this monitor is not for you  .
the input lag is so bad it's even noticeable in scrolling on web pages  .
dell is promising an updated revision that should fix the input lag and other issues  .
not sure how they will address the color gamut issue if even at all  .
what this monitor needs is a srgb color profile mode for everyday use  .
a computer store recommended this monitor to me  .
i bought the monitor , and soon after random coloured dots started appearing on the screen  .
this progressed to a flickering screen , and finally to a screen that would blank out  .
i bought a new video card , but it still blanked out  .
the computer store sent the monitor back for a second one  .
the brand new second monitor also blanked out  .
dell refused to refund the computer store for the monitor ; all they would do is keep sending back the same type of monitor that did not work  .
luckily the store replaced the monitor  .
i am now happily using a nec monitor with no issues  .
dell refused to post this review on its own site  .
as a result , i lost the use of my computer for 6 weeks , while the store had to argue with dell .
bought this monitor in part because of the cnet review , but also needed the displayport connection for the new graphics cards (nviidia quadro fx3800)  .
the monitor did not recognize the signal on the displayport connection and with the dvi cable the signal is on and off (went into sleep mode)  .
tried to rectify with an updated driver from dell and could not find on their website (cannot get much help without a service tag #)  .
is on the phone for 1  .
5 hours with technical support getting passed from rep to rep  .
technical support personnel don't know they make monitors , wo not help you without a service tag # , and one asked what a displayport was  .
after they put me back in the automated que , i gave up and requested a refund  .
i am done with dell .
why did i bother sopending au$900 on this peace of junk  .
do not buy this monitor  .
i have purchased this monitor based on cnets review and i cannot believe they have got it so worng  .
bought the 2408wfp rev1 and it still suffers from many of the problems from rev0  .
i called dell to have it replaced after a week with a new one but after a week of waitng i called back and they prtended that i never called in the first place  .
then i had to organise another replacement  .
they sent me a refurbished rev1 (used) and it is even worst than my oroginal i bought this from dell expecting quality and good service    and got none of these  .
using this monitor felt like i is in las vegas at night  .
the colors (green/red) were neon  .
all this is after calibration using all its functions  .
the editors must not have too much knowledge of color to rate this monitor so high  .
(maybe it is because dell sponsored them  .
) i promptly returned the monitor for a full refund .
my wife does serious photography editing and design , and she has an apple 24 led cinema display  .
it is stunning , and very easy on the eyes  .
on the other hand , i do a lot of programming and email , so i originally didn't care about color and looks and bought a dell 2408wfp purely based on specifications  .
this dell is a big step up from my 20 dell that's about 5 years old  .
at every aspect , the dell on paper seems superior to the apple in terms of bang for bucks , and in terms of amazing features  .
dell wins every aspect , hands down the dell is pretty cheap , and if you catch dell deals at the right time you can get it directly from dell for $450 with shipping and handling  .
when i got it , i is super excited  .
i opened the box , and boy oh boy , this has got to be one of the clunkiest , plastic looking behemoth i've ever seen  .
it's thick , bulky , and looks very typical pc , which is alright , because i've been a pc person all my life  .
function over form , right  .
it has a very very bright backlight and the colors are quite vivid , and it's a pretty good deal considering how little you pay for so much features  .
however , after using it for a while , i realized that i is getting a lot of eye fatigue  .
during the day , i needed to turn the brightness from the default eye blinding 50 down to about 15 , and at night , i needed to turn it down to 0  .
even at 0 , it is still eye blindingly bright  .
this has got to be one of the brightest monitors i've ever had in my life , and if you find it appealing to look at bright monitors like how moths fly to those bug lanterns , you'll love this dell  .
one of the most annoying thing about the dell is that to change the brightness , you must get into the dell menu       minus button (to call the brightness menu) , minus button again to get into brightness selection , enter to select it , then finally    /+ to select brightness , then enter , then plus to select exit , then enter  .
that's at least 7 buttons  .
on a mac , you can do it in 2 seconds  .
i cannot believe how bad the usability on the dell is even after so many years that they could have improved it  .
the next most irritating thing about this monitor is the lack of power    off feature  .
if your laptop is suspended , it'll go to sleep  .
but the moment you unplug it to go out , it goes back alive and says no input instead of sleeping gracefully  .
everytime i unplug , i also have to remember to turn it off manually , which is really annoying  .
even my old dell monitor slept when i unplugged it  .
the inconsistent user interface is just yet another example of how badly engineered this monitor is as for color , i don't know what to say  .
if your life doesn't require knowing what srgb , adobergb , raw , color calibration , printing , etc , then it doesn't matter  .
however , i do some basic web design and photography , and i've had no choice but to calibrate the monitor  .
by default , this monitor is too bright , and too vivid for serious photographic needs , and requires a calibration hardware+software (i use spyder3pro which although not spectacular , gets the job done) i've always wondered why the apple led cinema display looked sharper , and simply looked nicer  .
so i took my nikkor 105mm f/2  .
8 micro lens vr for a 1  1 repro close    up macro on an aps    c camera , which resolves much more resolution than a naked eye can possibly see (near microscopic)  .
go to amazon to see the pictures i uploaded  .
the apple display is superior in terms of clarity  .
if this dell is suppose to be ultra sharp , then the apple is superiorly sharper (and without hurting your eyes)  .
as for color the colors on the macs just look better , pre    calibrated without much adjustments needed  .
if it weren't for the fact that my current computer doesn't support mini    displayport , i'd have gotten an apple led display already  .
i guess i'll just have to wait for my next big upgrade so that i can get the apple display in short , if you're a programmer or just a casual emailer/web browser , and if you want the most features or the brightest backlighting hitting your eye balls , and if you do not care anything about srgb/adobergb/etc this dell is an awesome monitor  .
it probably has one of the best bangs for bucks , with tons of features like multiple video inputs and card readers which i do find very useful since i do a lot of digital photography  .
on paper , the specifications are very impressive  .
on the other hand , if you want a well built , well designed , and great looking graphical display for serious photography and serious graphical needs , one that looks good on your desktop and is easy on the eyes , one with excellent resale values year after year if these things matter to you more , then the apple 24 led cinema display is really worth every single penny .
bought one about 2 years ago for my personal use  .
not bad although you have to use it at a very low brightness if you do work like programming/editing documents , otherwise expect some serious eye strain  .
as for my fps / action gaming , that when out the window and i'm back to my cheap 19 lcd for that yesterday i got a brand new 24 dell for work  .
all i can say is it's horrible next to my 22 dell  .
the 22 's quality looks like a $1000 vs a $300  .
yes , i've tried all the settings from preset to custom  .
all i can say is 1) if you're going to have thin back line i  .
text on white then stay away  .
2) if you're planning on playing games like quake , cod , oblivion i  .
games where you have to turn quickly then stay away  .
i'm very disappointed , wish i just ordered another 22    (  .
i ordered this great    sounding monitor online from dell  .
when i checked by email the next day to determine the status of the order , the information i got is that the order is canceled  .
i called dell       four times , and spoke to eleven different people , is referred to two specialists who were not available and a third whose voicemail is full  .
the gist of it is that dell put a hold on my mastercard account for $633 , and canceled the order because       they say       the order is not approved  .
luckily , it only took a second call to mastercard to void the whole transaction  .
i had forgotten about dell's three stooges approach to customer service , and came out of it feeling like i'd been through a chinese fire drill in a subway and emerged with my wallet missing  .
if this is how they treat people trying to make a purchase , imagine what trying to navigate the warranty servicing would be like  .
i'll find another monitor from a more reputable dealer  .
caveat emptor .
i is about to go buy one of these , when i checked the prices here in europe i'm not sure what these folks have been smoking , but the price in europe is  double  the us price  .
kind of ironic since it is made in asia somewhere    i do not think the shipment to europe costs $600 more than the shipment to the us it would be cheaper to fly to the us and back to buy it .
