this is my favorite gadget for the time being  .
i turned the fully charged nuvi on and placed on the dash of my prius  .
while driving out of my driveway , through downtown livermore , stopping at starbucks and proceeding to 580 south to oakland my nuvi is still loading maps (20 minutes had past since being turned on)  .
i cycled the unit by turning it off then back on (yes i is driving)  .
as im passing oak (oakland international) my nuvi has finally finished loading maps (now i can plug in the address) a mere 40 minutes since leaving my home  .
that is not a common experience as weather can have an effect on satelite signals    however this is a beautiful winter day (last week)  .
the one major flaw in the design is the msn pay service  .
this service is radio based (each unit is assigned an id)  .
due to computer problems , phases of the moon or mythical dragons the people at msn india have no explanation as to the failures in the system  .
as a paying subscriber it can be frustrating when a service fails to work when the duty calls  .
after 15 thousand plus miles of use and about 3 hours with tech we have had no further problems with the msn service (mostly because i stoped using the service)  .
unless you plan on spending $3k for a properly built in system the nuvi is ok , the msn service is laughable and not worth the subscription  .
bottom line if you wan't more gadgets buy a nuvi , if you wan't a reliable source , pick up a thomas guide map and learn the skill of navigating  .
we can usually see when there's traffic or an accident and do not need out of date info to remind us .
nuvi 1690 fails to deliver on all features i bought it for    .
navigation   faster time does not work   it will steer you to local roads polluted with traffic lights  .
for example   long island  .
s route 24 (hempstead turnpike) , which has traffic lights every 100 yards or so  .
i trusted this gps a couple of times to bring me to the places without checking the map , and it is making me go to rt 24  .
the computed arrival time is unrealistic ; the nuvi will just keep adjusting it while you crawl from one traffic light to another  .
i only use it as a backup now , in case i get lost 2  .
the bluetooth is horrible   the quality of sound is bad  .
the microphone is so weak that you have to put volume to max and yell so people could hear you  .
on the other hand , the volume setting is combined with the navigation , so the navigator will interrupt your conversation with loudestannouncement  .
there only practical way to use the bluetooth is to stop navigating , which defeats the purpose 3  .
i bought this unit to replace the old original street pilot i dropped and broke accidentally  .
i hoped the newer nuvi would be at least as good  .
alas , the new garmin seems to have a much slower computer  .
calculating the route may take over a minute 4  .
user interface   cumbersome , counter intuitive  .
the most frequently used features are at the bottom of each screen overall , this gps is a big disappointment and a very bad deal for the money i will never buy a garmin creation again .
i'm in expediting business , so i travel a lot  .
so far i changed 3 of the same model gps  .
they freeze , they reboot by themselves , if you go from a state to another , it takes like forever to calculate the directions sometimes i need to know if i use roads with tollway are better than the ones without tollways in one word , do not buy it , i've had always garmin's but this one is the worse so i am not trying to bring a bad reputation to the company is just i had only problems with it and now since the new slim ones got on the market , nuvi 3790t , i will go try those to see .
the nuvi is a great concept , but has been released to market without regard to end user experience  .
the tech support is marginal , has a usual hold time of 45 minutes but is at least in an american call center  .
garmin needs to work out the bugs both in the unit and their online servers before this premium priced unit will perform as expected and advertised .
i'm very disappointed .
it's intrusive that garmin would charge more than magellan or tom tom for their gps units and then slam us with pop    up ads to subsidize even greater profit i emailed them and they said it is to offset the traffic alerts that they call free ($500  .
00 is free  .
please charge me or allow me the option to diabale or pay instead of forcing me to watch your ad content from retailers like puma or wal    mart these generated forced ads must drain not only the battery but also the speed of accessing and following satelite connections my garmin 1690 is being returned because i bought a gps unit for a hefty price and not a 4  .
3 inch screen to watch advertising on avoid any garmin product that forces you to watch inflicted ad content updated  .
on dec 1 , 2009  .
overpriced for what it does i could not even get it to reroute correctly    when i finally got it to go more directly there    it routed me straight there    over terrain with no roads and over water  .
i would love this unit if it worked , but am afraid of reliability and terrible user support .
i am in sales and need to make numerous sales call throughout the day  .
first day using this 1690 and i have been looking for over 6 hours to find how to enter numerous addresses from my pc and download them to the 1690  .
could not get any answers on the garmin website so had to surf the net for answers  .
finally found that i need a program called mapsource and that it is supposedly downloaded with the maps  .
oh well , there is no icon for mapsource on my pc , no explanation where to find it and customer support says (with a smile) they will respond in 3 days  .
3 days  .
they probably need to find a gps that works so the knuckleheads can find their office anyway , this is my first day and i have wasted waaay too much time on this pos  .
not easy to use this unit and i am pretty computer savy  .
if you are not a computer programer by occupation then i would stay away from this unit .
if they could figure out how to keep it on i would have loved it .
i've had 2 garmins now  .
i love the options on them and how easy they are to use  .
they however are not dependable at all  .
this is the second time i went on vacation and the device died  .
i is traveling alone with my 5 kids and the device just went dead  .
acted like it won't take a charge  .
i honestly wanted to sit and cry  .
i is all alone in a strange city with no gps to help out  .
garmin needs to realize we depend on these devices for peace of mind to get around  .
when i called garmin they told me to mail it back in and they would repair it  .
i'm sitting in a city with their gps that wont work and i'm pretty much lost other than the maps i have to try and get around  .
will never buy another garmin  .
customer service is awful and the units are undependable  .
run a search on garmin wo not power on  .
there are 100's of responses  .
i wish i had done this before i wasted my money and ruined my trip .
garmin have lost the plot in terms of their business model (charging us once for a big ticket top    of    the    range item they have already sold once to advertisers)  .
don't buy this product and be suckered  .
not only will you have a product you hate as you are force fed intrusive advertisements but you will hate yourself for being ripped off for buying a product that has already been sold to the advertisers  .
i is a loyal garmin customer but now i hate them with all my heart  .
do not be a sucker  .
do not buy this product .
