great product very satisfied  .
they made the noise much smaller so it's less intrusive and really i think you'll be surprised at the high quality in low light the camera light is just a small (very small) light but honestly in a really dark setting it does the job  .
it wont light up a whole room but it really focuses the light in a small area , illuminating objects or people close by the picture is just sweet  .
i love the clarity of the colors and edges  .
it's truly an hd quality picture the thing you dont hear much about that im so excited about is the sound  .
no need for an extra zoom mic or anything  .
this thing picks up incredible quality sound  .
when i hold the camera , i noticed i can hear myself breathing on playback (im very serious) i filmed my dog in the yard and his clanging of his collar is so crystal clear , you'd take a second to realize it is on the video and not something else  .
this thing sounds incredible  .
i just want to say that i'm so happy i bought this camera and just didnt expect it to be as nicely functionable as it is thanks canon  .
por el precio , y por lo que uno obtiene de este producto  .
una de las mejores compras (value) que uno puede hacer  .
especialmente teniendo en cuenta que otras c�maras hd (alta definici�n) usan una tecnolog�a de memoria flash  .
y como toda nueva tecnolog�a , pues estas c�maras son caras , y una mala inversi�n , ya que todos sabemos que a los pocos meses , el precio de estas c�maras caer�  .
si buscas value , esta es la c�mara que har� feliz la c�mara usa cassettes hd , que no son muy caros , especialmente si uno los compra en el internet ebay .
add the optional winde    angle converter wd    h43 and the external michophone dm    50 and the camera becomes a semi    pro camera , with possibility to adjust exposure and soundlevel , and monitoring sound .
the canon hv20 is in my opinion the best sub $1000 camcorder on the market  .
it records in the most convenient hd format (hdv) on the most developed media type (mini dv) colors are very accurate for a camcorder in this range  .
the cine mode offers more subdued colors for a more professional look this camcorder has a great menu system , it is intuitive and allows you to fairly quickly access the suite of manual controls speaking of which , they're great  .
the price just keeps dropping for this cam , and as it does it becomes one of the best bargains around  .
i highly recommend this camcorder  .
great job canon  .
the footage you can take with this little camera will blow people away  .
i researched cameras extensively before buying this , since i make a video everyday for youtube and needed something small (so i can hide it) , easy , and with quality that can also work on television  .
i also wanted something close to $1000 i like that ths hv20 uses tape , as i'm not convinced dvd burners are there yet , and i don't like digital storage because i need to run into a drugstore sometimes and get more footage (no time or means to transfer) i'm very happy with this camera , and i'm back on the market again (and thinking of buying a second) only because the recording head is having problems and i know i need a backup  .
now i'll test how canon handles warantee issues (it's still covered)  .
i've dropped it a few times and it's kept rolling  .
lately i have some digital glitches on the left of the screen that do not seem to go away with head cleaning    nalts , willvideoforfood  .
com  .
one of the greatest features is the ability to pause viewing video , and being able to take stills of the scene you are watching  .
two weeks ago i is in 3 national parks and is taking video and stills  .
i missed some stills , but got them later while viewing the video the video could not be any better  .
i have a 61 samsung dlp and after hooking up the hdmi cable i is watching fantastic movies .
best consumer grade video i have ever taken ; unbelievable for the price .
i'm glad i waited for the hv20 to come out  .
i wanted an hd camcorder to record our two week trip to alaska in july and finally passed on all the sony models , the only other brand i considered , as i did not like the touchscreen  .
i'm also glad i did not get the hard drive as the tapes allow unlimited recording time on an extended trip and are so simple and reliable  .
i received my hv20 in may and on the alaska trip took seven hours of hd video on minidvs and over 350 stills to the one gig mini sd card i purchased  .
i also purchased an additional battery but never had to use it to complete a 63 minute tape  .
i could not be happier  .
outstanding  .
i recently carried this camera       including the wide angle supplemental lens       all over paris , holland and london  .
light and easy to handle even wiht the wide angle lens attached  .
the results were stunning  .
performed will in all lighting conditions  .
good battery life  .
i treated the camera    off    playback switch with care  .
it seems flimsy when compared wiht my gl    1  .
likewise , the zoom control is not very well designed  .
awkward location and too small sized for easy , quick use  .
i is very please with the stills as well  .
all in all an excellent camera for the traveler .
i purchased this camera to analyze my golf swing  .
it has worked out perfectly  .
i used the 24p hd mode with the preset sport setting to record my swing  .
i then replayed it on my hd tv  .
i is able to view my swing frame by frame and the video quality is amazing  .
the 1/2000 max shutter speed appears to be adequate for recording a golf swing and being able to view the exact positions of the golf head throughout the swing  .
i could also see the balls in flight which helps with the analysis  .
i also plan to record a cooking show with my wife for family and friends  .
i shot a short segment in our kitchen and is amazed at the quality of the picture with no additional lighting  .
overall , i'm very pleased with the hv20  .
i have yet to load video into my pc so i cannot comment on the ease of video editing  .
i plan to use v1 software downloaded for free from the david leadbetter website to do detailed analysis of my golf swing .
i have been doing allot of research on 2 camcorders  .
the canon hv20 and the sony hc7 and that is why i am so suprised that cnet dropped the ball on this one  .
now before you say anything let me give you two points of reference these guys know there business http  //www  .
camcorderinfo  .
com/  .
independant testing/comparison of both camcorders  .
sadly in german , however you can download the video samples taken from both cameras http  //www  .
fxsupport  .
de/21  .
html#  .
my own personal testing and research has came to the conclusion that the canon hv20 and the sony hc7 have very little differance in full light shots  .
however when you take both cameras into a low light situation , the canon stands out with a brighter and cleaner picture then the sony hc7  .
if you dont believe me  .
see for yourself by going to  .
http  //www  .
fxsupport  .
de/21  .
html#  .
and downloading the video samples from both cameras (especially the low light/ night footage) and judge for yourself  .
the videos are pretty large but if you have dsl or faster it should be no problem .
although i've only had it a few days , i feel this is the best mainstream consumer camera available today and the $1k price point beats competitors prices too without resorting to proprietary or emerging codec/formats  .
cnet rated this too low , not sure why  .
i researched to infinity and beyond , thrilled with this fast    focus canon gem  .
10x optical , 40x digital , 200x 'just because it can' zoom is superb  .
using hd mini    dv tapes it retains the easy to transfer format but recommend you use an external drive (files are huge)  .
can convert other sources to dv , can take 3  .
1mb images during or after recording video , nothing this cam cannot do  .
low light is fine to me , image stab works well especially considering palm size  .
it feels tipsy toward the display side but is much improved over the awkward vertical hv10 and canon all tweaked all the previous weak spots too  .
battery life has been 50 minutes filming child play so recommend a second battery and use only hdv cassettes (slightly more money but worth it , can use reg dv too)  .
sony camp offers pretty much one set of guts rebadged in gen 2 with three formats and dvd based vids are tricky to edit (some impossible today with tbd codecs)  .
panasonic is decent but canon has achieved what the most recent generation of hdmi equipped users want   transparent hd 1080i quality and usb , firewire , composite and hdmi output , without any additional hassle  .
this is my first high definition camcorder , and i'm loving it  .
i am not a professional at all but this thing is easy to use  .
the picture that i get is fantastic , it blows away anything i've seen from other simalarly priced cameras  .
my friend who just bought a mini    dvd camcorder is very upset when he saw the footage that he could have been getting for a few bucks more you can see some footage and pictures from my camera at http  //www  .
canonhv20  .
com  .
i wanted to have a camera that could zoom in and record things i couldn't see with my naked eye , and could see in the dark better than i normally could  .
the canon hv20 scores really well on both points  .
the resolution is amazing    i piped it through my 40 1080p lcd , and it is crystal clear    ugh    pores  .
color saturation is better than i could have hoped for    red is red , green is green , outdoors look  unbelievable   .
low light (even pretty dim compact fluorescents) look good    there is a little graininess and loss of color the dimmer you get  .
when it is really dark , the camera will still pick up things i can no longer see , but the image will be grainy and a bit washed out , and movement will be blurry while the processor strains to resolve everything  .
bear in mind that i is trying to test the camera's limits with progressively lower light  .
i really had no expectation that it would do anything with paltry light , given my (admittedly limited) experience with prior camcorders , and my expectations were exceeded on all fronts nevertheless ok    if you're viewing during normal conditions it looks gorgeous  .
think national geographic in full high def  .
well , maybe not that because my back yard does not look like bali , but it is awesome  .
the wow factor is totally there recommended  .
heck , yeah  .
i would have expected something this nice to cost two or three times as much  .
i chose the hv20 in preparation for a week long shoot in north and south india  .
i is ready to purchase the new panasonic hvx200 (for approximately $5 , 000) ; but the $1 , 100 hv20 camera actually has some major advantages that convinced me it is a better choice for my project the biggest factor in my selection of the hv20 is editing capability  .
the hv20's hdv format is compatible with editing packages like adobe premier pro , whereas the formats recorded (i  .
avhcd or hd50) by other products from panasonic and sony are not very compatible with editing packages and may be impossible or require extra steps for post processing regarding image quality , the camera earns a wow  .
i think this camera is currently the very best option for a solo shoot on the go  .
cnet gets it right regarding image quality and color , in addition , shades of black go very deep external and hot shoe audio are also a big deal for high quality shooting  .
the lcd screen is sharp and the feature to impose a horizontal line or grid on the screen (but not recorded) is very handy to maintain level shots the camera is not tiny , but is small enough to be slipped into a very large trouser pocket ; this allowed access to more spontaneous shooting opportunities than larger hd camera options  .
with a large fanny pack , i kept the camera (with extra tapes , batteries , monopod , and dm50 microphone) with me at all times and is ready for anything  .
for me , this portability factor transcends price point regarding storage , the hv20 records hdv directly to dv tape  .
the much more expensive panasonic hvx200 will record hd50 format (which is an equivalent or possibly superior format) but will only record sd (not hd) to tape ; with the hxv200 , proprietary p2 cards are required for hd recording (and an 8gb p2 card costs approximately $1 , 100)  .
i bought this camera for the price of one 8gb p2 card  .
recording to tape seemed like a disadvantage at first , but the advantage in india is huge    i did not need to transfer anything to my pc or need a pc) until i is good and ready (so i could maximize shooting time on site and deal with all post production later) ; in addition , archival is handled up front with less compression and no spaces constraints    that more tapes could not solve ; after shooting 10 tapes , i realized this is also a significant advantage  .
with less compression , tape may still actually be the superior recording media  .
i also took over 1 , 000 3  .
1 megapixel still shots with the camera on a 2gb card the camera layout is also quite good  .
the tape and battery can be swapped out without removing from tripod or monopod mount  .
in unplanned situations , this is a major advantage a few ways the camera could be improved    .
1) the lens width varies when switching between video and still modes , so i expect that adding stills into my video will take extra editing time  .
2) when using an after    market wide angle lens , a wide shot shows the black edges of the lens , it would help to have a settable zoom stop to control the zoom range on the wide side 3) the manual focus is not intuitive , more feedback on the dial or screen would help  .
4) switching from auto to programmable mode would be better if some auto functions could be set to stay on  .
5) an auto backlight feature would be handy  .
6) the minisd card is an inconvenient choice for still photo storage , since i could not reuse sd cards i already own (note that no memory card is included with the camera)  .
7) video input (like some samsung products) would have helped so that i could keep the camera in my pocket and shoot with a lipstick cam when necessary (to avoid looking like the typical american tourist or for action/sports applications)  .
8) battery life is shorter than expected , i got 1 hour of recording from each battery net net , this camera is fantastic and i believe the video quality is sufficent to qualify my project for a film festival submission .
this camcorder has just about everything you'd ever want  .
i had been reading reviews of all the latest and greatest camcorders but nothing had all the features i wanted  .
the canon hv10 came pretty close till i realized they had no plug port for an external mic  .
so i canceled that off my want list  .
i also didn't want a hard drive format as when it got full and you are in the middle of a shoot , then what  .
also i have allot of dv tapes so wanted to keep using those and it is so much easier to just pop in another one when one gets full  .
and they do not cost that much so easy to have extras around  .
then comes the hv20 and yes , it has the minidv , a mic jack , and a hot shoe  .
it has a pretty impressive photo mode of 3  .
1mp which is not too shabby either for a camcorder  .
the small size and all the great features makes this the sure buy right now  .
i must confess i've only had mine for a few days and will be putting it to the full test this coming weekend where i'll be shooting video interviews at a convention  .
then i'll know more  .
but with all the experimentation i've been doing , i'm very impressed with the complete control over shutter speeds , aperture , lighting condition options , and especially audio read    outs and control  .
you never see audio covered to this extent  .
i can watch the readout as i record  .
i have a hand held i can hook up , and i have the boom that goes in the hot shoe  .
so far i'm extremely impressed  .
with the cinema24 setting , and all the hdv settings i'm ready to rock and roll  .
wow  .
what a great camcorder  .
the picture quality is outstanding  .
all of the controls were easy to get used to , and the camera fits very nicely in the hand  .
a great camera for hd enthusiasts  .
this is an excellent camcorder for the money  .
i first want to point out an inconsistency with cnet's review  .
they state you cannot change the white balance and thus need to turn the camera on/off in different lightning  .
this is incorrect  .
the camera will adjust in different lightning situations  .
i filmed my dad walking in the door as the sun is coming up , then shot my mom in the kitchen and the balances adjusted perfectly the video is a bit grainy while shooting in doors especially in low light  .
however shooting outdoors in the sun is spectacular  .
the colors are bright and vibrant and hd  .
this camcorder works perfectly with my intel mac and the footage is excellent quality  .
if you plan on saving your raw footage on your computer you better invest in mass storage  .
about 20 minutes of my raw hd footage is 17  .
13 gb  .
yes , you read that right , gigabytes  .
i've compressed most of my footage to distribute to family , but intend on saving the tapes since the file sizes are so big overall i am very pleased with this camcorder  .
if you are an hd freak like me then this camera is well worth the $1100  .
i did not give this camera a 10 simply because of the low    light performance  .
other than that i'm extremely happy .
buy this camera  .
this camera produces near professional quality video at a price most of us can afford  .
add in all of the prosumer features like manual focus , optical and electronic image stabilization , hdmi out , a mic input (mini) , a headphone jack , an accessory shoe  .
this camera is loaded  .
i ordered mine as soon as it is available through b h photo and have had it for a couple of days now  .
right out of the box (after charging the battery) i recorded 3 minutes of video in my home under less than ideal lighting , plugged it directly into my jvc hdtv with my hdmi cable (not provided in the box) and watched stunning video  .
i'm an army broadcaster and i've used lot s of professional equipment and i can say that this is the best video i've ever seen from a one chip camera period  .
sony offers an hdv camera , but i chose to stick with canon as i've come to notice that their products produce superior imagery , and i was not let down  .
i also have a 3 ccd panasonic dv camera  .
i thought the image quality is good  .
it doesn't compare to hd  .
going from sd mini dv to hd on mini dv is like going from vcd to dvd  .
i had no problem with windows vista  .
once i loaded the software and drivers i plugged it in to my hp dv9230 and captured the hd into windows moviemaker with ease  .
haven't tried it with premiere elements yet , but i'll assume it should not be a problem  .
i would mention that if you plan on editing your video on your pc you may want to go with a higher end pc with a good video card  .
your old pentium 4 may not cut it  .
the only reason i did not give it a 10 is that i always leave room for improvement  .
with this camera there is not much to improve upon  .
way to go canon  .
this is a great camera for current and some time to go the only camera i would consider replacing this with would be the jvc hd 250 a $5 , 000 camera  .
we used this for our reviews at http  //apinsights  .
info/software_reviews  .
html  .
i would give it a 8  .
5 out of 10  .
a great buy below $750  .
roger  .
i don't like that you can hear the tape when you go back and look/listen to your footage  .
but of course , all camcorders make some sort of noise i'm sure  .
if you have enough people talking or other sounds other than you , just standing there , it would be better other than that little little problem , i'm loving it so far  .
hasn't broken down yet and really , the picture is great  .
i hooked it up to my hdtv and it looks excellent  .
this camcorder i think is the best bang for the buck i also tried uploading the footage to my macbook pro  .
i is a bit hesitant to get this camera cause i did not know if my computer is new enough to support hdv files  .
but it turned out ok  .
i uploaded it is a dv/firewire cable that i had already  .
( don ; t use their crappy cables , it'll take forever  .
i'm also planning on buying a hdmi cable , so it will be quick importing to imovie hd all is well so far  .
relatively cheap  .
hd 1080i  .
mini dv  .
great colors  .
mic in jack and headphone jack  .
24p is overrated , but i'll put it in as a pro  .
low light is not good , but not terrible  .
omni    directional internal mic is poor  .
buy an external mic for the cam and you will be happy with it    just make sure your subject is well    lit .
this is a great camera  .
my last one is a panasonic gs59  .
it rocked and this one does too  .
it has 4 options for recording modes ; hd , hd 24p , sd , and sd wide , and regular sd (box)  .
this thing will require and dual or quad core processor to edit hd though so be mindful of this when buying .
i continue to be amazed by this little cams picture quality  .
i has the best auto wb of any camera i've ever had  .
you cannot change the wb settings on the go but the auto is perfect 95% of the time  .
auto focus is fast and accurate most of the time too  .
i'm used to manual 3    chip models and this cam is a little short on those but hey , it's a little consumer camcorder  .
the built    in light is fairly useless and the flip out screen is not as big as the sony models 3  .
this unit does do what it's supposed to do get great shots in auto mode from a little package .
i love the hv20 for its clarity in hd  .
picture looks great on my samsung 40 1080p lcd would be good if we had    .
better low light performance 2  .
software to burn dvd hd format , with 1 button 3  .
to redesign the microphone to be less sensitive to the recorder's voice  .
the way to do that is to design a zoom directional microphone 4  .
could expand the lens diameter out a bit more to get more light , boosting snr a bit more for improved low light performance 5  .
could improve on wide angle coverage  .
i have to use external wide angle lens for indoor filming however i am still very happy with the hv20 , the best camera out there in its form factor at the price .
its better than sony hdr    ch7 .
i am a professional and is looking for a more covert hd camera that would not call attention to itself out in the field as being professional  .
i believe it is a clear choice over other hdvs in it's class but after perusing various forum postings by users of this camera trying to get the much coveted 24p out of it you cannot exactly  .
very weird for a camera that shoots 24p  .
but from what users and canon support are telling me , the camera insists on outputting the 24p image at 30fps with a 2  3 pulldown which introduces fields  .
so you must have software that will perform a 2  3 pullup during capture or in post in order to get the image back to 24p  .
but i discovered a little problem with this if you are capturing from tape     .
example jpeg (382kb)  .
http  //www  .
box  .
net/shared/static/15ydiu43co  .
jpg  .
when the 4  2  2 signal records to the tape it undergoes an mpeg 2 conversion/compression to 4  2  0 color space , which causes some loss of chroma data and consequent color bleed in the image that smears the fields a bit  .
so the fields can not be fully removed with any pullup process    with motion you see this telltale strobey/jaggy thing going on in the image  .
am told that if you shoot directly to a hard drive capture while bypassing tape then you can avoid the problem  .
but that kind of undermines the normal purpose of a little spontaneous point    n    shoot palmcorder like the hv20 unless you are always hooked to a hard drive  .
if you dont care about 24p , or are using it in studio then it probably wont matter to you , and is a tremendous image quality for the price also , the low    light capability is much better than what some users are commenting  .
you just have to use the right settings .
after years of using a sony tvr900 for goofing around , i've switched up to hd with this little guy the build quality is shocking    for a thousand bucks i felt at first cheated by what is an extremely plasticky and flimsy body  .
the sonys always feel solid and well put together  .
this feels like a cheap toy but    it's the picture that counts , and this little toy produces fantastic hd  .
i is really surprised by the colour depth  .
the hdmi output is the cherry    you can bump your flics straight into an hd plasma screen and enjoy the quality we wanted this for its portability , ease of use and its picture quality , and on all counts so far it has delivered quibbles   the sound is rather cruddy  .
despite a nice 24p feature , shutter and aperture cannot both be set manually simultaneously (meaning the camera is always adjusting one or the other    aaargh)  .
and the screen is kind of small but nobody's perfect .
this camera is a pure consumer camera though it can capture prosumer    like videos  some times   .
over all the performance is very satisfactory and it produces wonderful videos in good light conditions  .
though the manual focus wheel is tiny and bit awkward to control , it does its job pretty well  .
the 3 preset zoom speeds are really nice which can produce professional looking zoom in/out  .
i find the analog to digital option very handy as many of the consumer cameras now    a    days do not have this feature  .
1/2  .
7 cmos with rgb filter and canon digic dv ii internal algorithm are capable of reproducing vivid picture and real good colour  .
another good thing with hv20 is that it has got many in / out options like dv/hdv , hdmi , av/head phones , component out , mic , usb etc  .
manual audio gain control and mic attenuation are good to have in a consumer camera  .
it is also nice to see that the camera comes with functions like infinity focus , peeking zebra pattern to assist focus and exposure  .
the camera uses a more matured hdv technology compared to a relatively new avchd technology which is having hitches still  mainly in compatibility between manufactures for me , the most annoying thing with this little camera is gain it adds automatically based on the light condition  .
in low light it adds gain up to +27db which will produce a highly noisy / grainy video  .
there is no manual way to control this (unless you trick the camera) though there is one mode which does not add any gain and the result is too dark picture  .
canon hv20s sound is very poor  .
the internal mic picks up motor hum and it is quite noticeable when recorded in quiet places  .
cannon could have designed the view finder little more thoughtfully  .
if you are used to sonys lanc or panasonics wire remote , you will be disappointed as hv20 does not have anything of that sort in my opinion , one will not be disappointed with this camera if it is used basically for home videos or something like reasonably good quality podcast video recordings  .
(believe me ; people are doing serious stuff with this little toy  .
if you have an entry level professional / prosumer camcorder in your mind , stay away from this  .
this camera is reasonably price when compared to the high    end minidv consumer cameras  .
also the price looks attractive when compared to main competitors sony hdr    hc7 and jvc everio gz 7  .
another plus point (not from the manufacturers  .
) for canon hv20 hv30 users is the hv20 forum with more than 10 , 500 members  .
(www  .
hv20  .
com)  .
warning   the following comes from a video    layman , and camcorder novice  .
i've only used crappy mini    dv cameras for under $400 in the past  .
this is my first hd camera , and my first camera for over $400 i got an hv20 from ritz camera on friday in portland , oregon  .
i have 10 days to decide whether to keep it , or not  .
i liked their return policy better than circuit city or best buy  .
perhaps because of my inexperience and lack of an hdtv , i is a bit underwhelmed  .
the first shots i took were indoors at night with low lighting  .
the footage didn't look much different from regular consumer camcorders but the next day i did a test in a classroom with flourescent lighting  .
i filmed the same subject standing in the same location with my old mini    dv and the hv20 , put the footage side by side on my powerbook (using imovie) and the difference is obvious  .
the color and saturation is more vibrant , and the detail a bit clearer with the hv20 but still , i thought $1100 and it's only that much better  .
and    i is disappointed that the much    vaunted 24p mode didn't show me any difference in quality , either  .
and yes , you cannot really move the camera around when it's in 24p mode   it will show ghost trails and stuttering effects i realize i probably need to playback footage on a hdtv to see the real difference anyway , this being my first hd camera , some other things i learned   importing hd footage takes about 4 times as long  .
the computer (i use imovie exclusively) imports at 1/4 to 1/2 of real    time  .
imovie does state that for you ( importing at 1/4 speed ) after a few hours of using it , i did notice the awkwardness of design and discomfort in my hand  .
but i do not think that's enough of a reason to return it i'm open to feedback thanks  .
matt  .
this camera is originally over $1000  .
00 which i think is way overpriced  .
at $677  .
00 that i paid it is better but still overpriced  .
the video is great if you turn all of the sharpening off in the camera  .
but the build quality is terrible  .
it feels like a cheap toy with loose battery , loose cover over tape compartment ( which you hold ) the camera rattles when you roll it back and forth , ( the image stabilizaton ) which quits once the camera is put into camera mode  .
the camera has an unnatural grip , it seems that i am pointing the camera in the right direction but i am actually shooting low , awkward , also the hand strap that is necessary to hold the camera is thin and cheap , not much support here  .
my camera's dv port failed within a week , butterfly photo is sending another one  .
for the life of me i cannot understand why a different method of transferring video to the camera cannot be utilized    this dv thing is very problematic    i have 2 other cameras that have similar problems with the dv ( firewire ) port  .
if you do a search you will find it is a real problem  .
usb would work better    just transfer it and edit it later    just a bulk transfer    i just wants something that works  .
also if you look @ consumer reports canon minidv repair record is the worst , samsung 10% canon last @ 10% sony is @ 4%  .
i will try this camera 1 more time only because i shot christmas videos in hd on it    my only other option is a sony hd camera , which is not as highly rated as this one and is still much more expensive , the only redeeming feature of the sony is the build quality  .
canon support is great  .
sony could care less  .
but if your product is prone to failure you had better have good support .
i researched camcorders for several weeks  .
i wanted to replace my aging panasonic dv    51 (2001 model)  .
i is excited to see all the great reviews on the canon hv20  .
however , none of the hype lived up to expectation both outside massive light , and inside low light video is only a tad better than my 6 year old cheap panasonic dv    51  .
however not a $1000 better  .
playback is on a sony kdf60xbr950  .
( high def 60 inch lcd projection)  .
the 24p and cine modes were the most over hyped functions of the canon hv20  .
the video shot in these modes did not live up to the hype  .
it is a nice feature  .
however , not worth a $1000  .
also those interested in editing should search the difficulty in doing so with the 24p mode shot on the canon hv20  .
the mic is set to pick up any and all sounds including the whine of the camcorder motor  .
the high pitched sound is extremely annoying during playback  .
the mic gain can only be controlled in manual program mode  .
however after switching back to auto mode the extremely annoying whine is heard  .
fortunately you can set most of the auto function modes to auto while in manual program mode i could not recommend this camcorder to anyone upgrading their current minidv model  .
however , if you are in the market for your first camcorder or replacing an old vhs or betacam than this is probably the best choice for $1000 range camcorder i am returning mine today and suck up the 15% restocking fee  .
yes losing $150 is worth it to me to shed me of paying the full $1000  .
i knew better but trusted all the reviews to save me a restocking fee only fools rush in  .
next time i will go to crutchfield or another dealer without restocking fees .
have had the camera for one day only  .
seems good regarding quality and handling  .
but has a really stupid and irritating error for those living outside of 12 h (am/pm)time zones  .
there is no possibility to enter a 24 h format  .
for this type of quality camera it is an error which seems like a joke .
i bought a canon hv20 from electronic express to tape my baby girl who is on the way  .
i got the camera on time , took it to the hospital , recording is smooth i is really enjoying the camera and taking hd video of my new baby girl  .
i got home all excited to copy the video off the camera and send it to our friends or host it on our family website  .
to my surprise theres no software to copy a rough video off the camera  .
so i went looking around for some software , downloaded trial of adobe premier elements 3  .
0 started the software up and began capturing through firewire  .
blue screened about 3 seconds into the video every time , i thought maybe it had to do with my system running vista 64bit so i took my firewire card out of my computer and went over to a friends house who is running vista 32bit on a different set of hardware  .
we made it little further in capturing the video before we got blue screen on his computer roughly 5 min into the video  .
thinking this might have something to do with the firewire card i went to frys electronics and bought a different firewire card (different brand belkin)  .
using the new firewire card i had better success , however i could only capture roughly 12 minutes of video before it would blue screen my computer  .
its a good thing premier streams the captured bits to mpeg    2 to disk or i wouldnt have gotten my footage off my camera of my new born baby girl  .
needless to say im very disappointed in canon for the lack of software and quality of canon drivers  .
in all cases the blue screen indicated canon driver fault which caused the blue screen  .
i contacted canon support on the phone and the funny thing is they told me to try all the things i already had and then they said its new technology so its expected to have some issues  .
i would agree except i paid $1100 for this camera and all i wanted to do is capture the video off of it nothing fancy  .
seems like a core issue if you cant get the video you recorded off the camera after all that i contacted electronic express and they agreed to take the camera back however its going to cost me 10% ($110) for restocking fee , this is quite frustrating to be punished for buying this camera and having no way to make it work , getting new hardware isnt going to help a driver issue and canon doesnt have any updated driver available  .
since i have no use for a camera i cannot capture video from , so im reluctantly sending it back and looking at some of the sony hd video cameras which wasnt my first choice obviously .
i received hv20 on 4/10 and am quite dissapointed in the build quality and how awkward one hand use is  .
major complaint is how sloppy the batteries , especially the extended canon bp    2l14    (non counterfeit) , fit on the camera  .
when moving the camera in different positions the battery is so loose i feel the battery slide around and bump the cam body  .
the only time it doesn't do it is if i keep the cam horizontial or put my thumb on the battery  .
i find this unacceptable for a $1100 peice of precision equip  .
the body is lightweight cheap plastic as are the covers , eyecup stationary with no eye cup  .
i would like to hear from the cnet reviewer and others on these issues , also if the battery sloppiness is an issue on their hv20's and from owners of the sony hc    5 and hc    7 to see if their batteies    especially the extened versions are tighter fitting and if the nightshot mode is as good as they say  .
i don't care about the greenish color  .
the hv20 is vey lacking in low light    shooting , especially outside at night  .
the night mode is useless unless on a tri    pod and not touched while recording  .
i have till 5/8 to return to crutchfield's with no re    stocking fees and i cannot say enough good things about them and their help on the battery issue  .
canon basically did not care and said to buy a battery from them    with a $11+change for reg shipping fee , and if i wanted to send it back i would also pay return shipping  .
they use other cam model batteries to cut cost and ruined a promising product .
i have a canon hv20 camera which i purchased less than 8 months ago and at the moment , it is a piece of junk  .
here i am in antigua guatamala to shoot video of the easter celebration , one of the most exciting in cantral america  .
