is this review a joke  .
i am also able to do movie editing directly with files on the drobo , so it can work as a primary storage device  .
nice  .
my only knock is that it would be nice if the drobo management application had an integrated backup capability built in  .
however , i am using a filesync app i downloaded from the web and it works well with the drobo in summary , i find the drobo fast , reliable and the ability to increase (or decrease) your storage pool on the fly is great for managing day to day storage needs  .
sweet product .
i used the original drobo for over a year and it has been working flawless  .
since i own multiple mac and the new drobo now has firewire800 i decided to take the plunge and purchase my second  .
so far it is working beyond my expectations  .
i moved my usb only drobo to a droboshare so i could use that as a central repo across all of my computers and decided to dedicate the firewire capable drobo as my primary storage for my new imac well , i can say this new firewire drobo is fast as hell  .
first thing i did is drag all of my imovie files to it and it feels about 2x faster than the usb version  .
then i tried doing some movie editing with the data on it and it is great  .
no different than when using data from my internal drive  .
wow  .
i then (for a test) did some copies off of it and it is going close to 50mb/s  .
that is terrific for a multi    terabyte storage device that protects me from a disk failure way to go drobo  .
i bought a 1st gen drobo and is pleased  .
i ordered a 2nd gen unit and got worried when i found this review  .
got my hands on it 2 days ago       this review and reviewer are wrong on all points timing file copies using finder on a mbp , i consisently get 52    55mb/sec write speeds and and 36mb/sec read  .
usb speeds are 22mb writes , 25mb reads       these are about 25% faster than my original , usb    only drobo the reworked fan and cooling grills make this dead quiet  .
even doing a prolonged time machine backup i could not hear any fan noise i think its a sign of sloppy work or bias that the reviewer mentions nothing about firewire on a mac  .
and he injects his personal opinion as fact when saying things like its expensive , it needs bundled backup software , or other interfaces  .
competition in the market will decide those things , not sniping comments from a some cnet dude .
my experience with this second generation drobo has been much different then this reviewer's  .
i have had a first generation drobo for over 9 months  .
i really liked the 'simplicity' of management of the storage array  .
i have grown from 500 gb to almost 2tb with its brain    dead handling of inserting of new drives  .
this is by far the easist raid array i have ever used the one draw back is it is rather slow on usb on my imac and vista systems  .
so , i purchased a droboshare back in feb and that has worked out well for backups now i have just gotten my 2nd gen drobo and on the imac (fw800) it just screams  .
i can open a raw photo in photoshop in 1/3 the time of the usb drobo  .
it is fast enough to use for all my editing  .
i only have fw400 on my vista box , but using iometer , i is still seeing read speeds of 44 mb/sec and write speeds of 32mb/sec this is a great improvement from data robotics  .
i've no idea what this reviewer is doing  .
just in simple drag and drop tests i'm getting around 50mb/s (400mb/s) on fw800 which is about the best i'm seeing for a desktop array (obviously a little less than a single disk drive but that's normal for any raid array from any vendor although it's not clear to the reviewer)  .
it's also tricky to know what he means by finicky  .
i just plugged it in and it's worked fine ever since  .
on windows you need to ensure you have the right drivers to get good fw800 performance  .
my guess is that the reviewer had something set up wrong  .
also true that every raid array has a proprietary format and this is not something unique to drobo although apparently also unknown to the reviewer .
i own the first gen drobo and really like it  .
i do not notice the performance being slow , as it's a backup drive and runs only when i sleep  .
i've never had any issues with it  .
if you can handle the cost , i'd say it's a good solution .
m overjoyed by a company making an effort to automate what are tedious and annoying chores  .
the device does many of the things that data robotics claims however , the hype that the company puts forth portrays a device that  .
s practicly bullet proof due to its proprietary software and functions  .
and the software can mislead a customer to loose data even when the software is all smiles and sunshine    i am healthy  .
not only should the mis    reported health issue be fixed , but the 'data robot' should , in theory , be able to monitor the volumes in this fashion along with its other duties so as to provide a more complete service  .
who is this product for  .
it should match all of the hype that the company is generating about their product , or regretably , speak just as loudly about this weakness .
would not buy another one of these until the pricing becomes competitive and more options are fully integrated for the price point  .
you can buy other products (more reliable in many ways) for hundreds of dollars less that offer 4    5 bay nas utility  .
drobo under    delivers and is over    priced .
mine is unstable (1) spontaneous uncommanded shutdowns (2) often refuses to go into standby mode which is required for safe power down (3) speeds never exceed 12    13 mb/s with usb2 and usually drop over time with a large transfers ,  .
dri support folks have a positive attitude , but seem to struggle  .
(1) the firmware downloads and dashboard downloads from the site are hit and mis    sometimes they just don't work (2) a number of links they have sent me were to things other than what is being referred to (3) they just don't sound surprised that it is flaky i bought this (at a premium to competetive products) because it is to be easy and reliable  .
so far it has been neither  .
i'll give dri the rest of this week to sort it out , but running as it is i cannot justify keeping it because (1) it is a pain right now and (2) i do not trust it .
i have been using a v2 drobo via the fw800 for two months and now the usb for two weeks  .
it is just too slow and unreliable for me to use anymore  .
i am putting it on ebay tomorrow and i ordered a lacie 5big 5tb nas to replace it  .
i really wanted to like my drobo  .
however , unfortunately , i must say that the drobo is a complete piece of crap .
i had to come by and comment on this  .
had to  .
it is a moral imperative a tech colleague emailed me the comments here from lmorse532 , jurasic005 and johnwiley82 he didn't tell me anything about the article just asked if i though the comments were odd at all being a 22 year it veteran and having read many business and technical documents i know how to read for style , and read for handwaving my response is simple    .
ok , so all the entries were written by the same person , and the person has little or no technical ability    so what  .
notice that all the comments started with the reviewer is wrong , none of them went into a logical argument , and none actually go into any detail  .
real tech geeks rant , we don't say the review is wrong we call the reviewer a fornicating scsi , insult his mother , and then ridicule his testing methods then my colleague told me about this article which he found while looking for backup solutions  .
he asked what i thought i read the article , and the comments suddenly make sense  .
it's just a stupid marketing geek trying to prop up a marginal product that got a bad review  .
aww muffin did the bad man make your sugar daddy cry  .
so i thought a little rebuttal is in order dear data robotics and tloverro , i know you're listening   i smell your marketing and it smells bad  .
this product might be good or bad , but your response here casts a pall of evil over your marginal product  .
whining about a reviewer is unethical , lame , and just it cost you a potential customer plus everyone i refer now i've attacked the comments here    maybe i'm wrong in presuming these are just pointless marketing voices  .
here's the questions    .
where are the reasons  .
where is the tech debate  .
where are the test runs to prove it works or sucks  .
nothing just spam about lovin' the product so i googled tloverro and drobo  .
found tons of stuff about him pimping for this product    even a video that would be at home in any listing of top 10 used car ads  .
nice voice there cupcakes , but you are way too excited about this product    i suggest a vacation so i figure i'll investigate this myself since i'm reasonably impartial  .
oh , feel free to send me a note via my account here and i'll be happy to explain to you my credentials tloverro , please watch how a pro does it oh , and take notes cupcakes    .
let's google drobo review and see what's out there for first and second gen    .
http  //www  .
reduser  .
net/forum/showthread  .
php  .
t  3602    first gen had quality issues  .
not good http  //www  .
engadget  .
com/2008/07/08/drobo    second    gen    mini    review/2  .
wow , they had the same reboot problems , but they noted it is an ok machine for simple home backups http  //www  .
automatedhome  .
uk/new    products/data    robotics    launches    second    generation    drobo  .
html  .
notes that it is slower than it's competition , but is not too bad http  //skyline  .
bosconet  .
org/pjohnson/blog/  .
p  490    not bad , but slow and concurrent access is not good http  //twipphoto  .
com/archives/593    notes that it is slower then an external drive , but overall is faster than gen 1 http  //www  .
asitis  .
org/drobo    review    lots of flaws listed , considered a marginal technology http  //www  .
maximumpc  .
com/article/data_robotics_drobo    considered it too slow , but cool looking http  //www  .
amazon  .
com/review/racblhtpp1nz4 says it's a waste of time and money ok so overall , the idea out there is that this is a product for non    techs to do backups , and is way slower than a normal external hdd  .
most of the geeks in the know complain it's slow , and that it lacks a network port so makes a lousy nas why  .
well in laymans terms it's got a lot of internal handling to do to  .
makes sense  .
in reality , anyone with some basic knowledge can use an external drive to accomplish backups with higher speed  .
i'd recommend that what about the article  .
mr ngo explains that he had problems with the system rebooting , but did ask for and test a second unit  .
frankly , if a company sends a defective version of a product out for testing logically they will get a bad review  .
duh    do not send it out  .
although mr ngo's results for usn    vs    firewire are a little odd he states that he clearly tried to make them work by contacting data robotics and even tested other os's  .
that's pretty thorough  .
even still , seriously dude , firewire is usually faster than usb , you should investigate why it's slower  .
finally , i'd explain why an external hdd is faster and better before testing this box against it since other reviewers had similar reboot problems and performance , i'd say the claims here are backed up so i give the article a 75%  .
accurate , but would be a solid 100% if it went into the details of why the problems were experienced overall , i would have given the drobo a 40% for it's trade    off of speed for simplicity , with some clearly quality issues but the kind of marketing bs seen here in the comments warns me off entirely drobo 2nd gen    0% .
nice toy , minimally built with low spec for what some may consider a critical device  .
this should never ever be a back up device , just a big pool to manage data slowly and immediately back up errr  .
slowly .
my friend bought one and we tried to get it working for a few days now , without success , even after trying to get help from the company  .
should have read the review first  .
taking it back shortly for a refund .
before i begin , i want to say that the unit suffered from problems and would reboot seemingly at random , quite often i is keen to get this device up and running to back up my gigabytes of photos , as i am a professional photographer  .
i is willing to overlook the slow performance (in line with the review) , and i even recommended it to a few of my peers , until about a week later when one of the hard drives crashed  .
recovery of data on this thing is really miserable  .
i called tech support and is put on hold for over 2 hours  .
then , when i finally got through , i is told that i had set it up wrong when i had clearly followed the directions  .
even after following the advice of the customer service representative , i couldn't recover the data  .
good thing that i had not deleted my photographs from my raid array or i would be out years of work thanks to this product  .
i would not recommend this product  .
if you lose a drive you can replace it and not lose your data  .
you'll spend days on the phone with tech support  .
in the end they wo not be able to help you recover your data  .
it takes a long time to boot up and i hold my breath hoping to see data on every reboot  .
must and i repeat must be on a power backup or you are asking for disaster  .
the fans are noisy  .
i hate this product .
you will have a better expereince if you buy from one of the big boys , data robotics needs to bake a bit longer  .
save yourself the trouble .
product is like a beta product  .
cnet really is being generous with their rating .
i agree with the review  .
