this little , innocently looking box is addicting  .
0 of 480mbps) but i can live with that note   all that talk about user and group security is useless if you do not format the drives attached to the ext3 file system  .
it's the slowest thing on earth  .
only good for archiving things but not real time use like sourcesafe or morpheus  .
the programs writing to it think it's broken because it's so slow .
i am generally a linksys fan but this product will be going back to the store  .
the nslu2 is quick and easy to setup and got me going pretty fast  .
i is a little disappointed by the fact that i had to reformat my hdds but figured it would be a small price to pay for the ability to access the content from any machine in the house  .
once i formatted and setup security i attempted to copy the approx 25 gb of data back to the drive which is removed prior to formatting  .
three hours later i cancelled the copy operation with only about 7 gb copied so far  .
ugh  .
sorry but this one is a flop .
purchased device for an easy network backup solution on a 3 pc network when linksys reported device now supports ntfs/fat32 installation is uneventful , firmware outdated  .
sadly , device does not have enough memory , so one has to use a linksys software tool to delete old firmware in the device before installing 2  .
3r63 firmware  .
no big deal , but an additional step that is undocumented and will be painful for the average home user usb (ntfs) drive attached , device comes online , network sees the nslu2 and i think ; great  .
copy a couple of files back and forth , response time is as expected ; not fast but very acceptable then , using explorer i drop a folder containing subfolders and files of varying sizes  .
unit begins to copy files , then fails with error that device is no longer available  .
this error is 100% consistently duplicated around 16    28 files copied  .
i duplicate the error using all pcs on my network in a 24 hour period ; 9 calls , with 7+ hours of my time on the phone with linksys tech support , the issue is unresolved with no time provided by linksys of when a firmware fix will be available unit may be satisfactory in the unix world ; but is not a solution in its current configuration for non    unix .
i purchased it since it is cheap  .
when i opened the box , the first thing i noticed is the lack of documentation  .
this device is made to be used by someone with years of experience and/or in business environment and to be installed by someone in the know  .
it took me almost 24 hours of playing around with it before i could get anything to work  .
the o  .
for this device lacks for the ability to be able to delete the files you do not want if you happen to change your basic settings  .
the device will reformat your h  .
into the linux environment and from then on , you will not be able to change it back to the windows environment should you decide to do so  .
once you hook a h  .
up to this device and begin using it , that is all it will ever be good for  .
i spent hours with support trying to find out how to re    use a h  .
in the windows environment if one should change their mind or get a larger h  .
to use on this system  .
i is finally told their was not any way  .
no where in their meager documentation (if one could call it that) does it so let you know  .
this device is not for the faint of heart or for the average computer user  .
take it from me .
i wrote an extended review of the nslu2 , which can be found here    .
http  //arajani  .
blogspot  .
com/2006/10/linksys    nslu2    network    storage    link  .
html  .
you have to reformat the drive    wish that is explicit in explanation  .
i would not have bought one if i had known  .
bought a buffalo terastation instead .
this did not work at all  .
it would only see the drives for a few minutes before losing the connection  .
when accessing files on the drive my system would lock up or crash .
quick install guide is incomplete , is missing steps , and does not clue you into some major details ie  .
hard drive space is limited to 250 gb , format is not widows , and the technical delay to access a usb device reminds me of the first hard drives long seek , read and write times  .
tech support is not supportive , no one could understand that i have a total wireless network  .
each person started me out with a wired setup  .
after almost 3 days , finally is able to use the drive , however , it takes 5 minutes for 1 2  .
2mb photo to pull up  .
way too slow  .
suggest using a d    link router (di    624s) with a usb port (not print server .
if you want to waste time and money run out and buy the nslu2 right now  .
i bought this unit along with two maxtor onetouch ii 300gb drives  .
after going through the process of setting everything up , with a little help from tech support (set up includes formatting the drives using a format not compatible with windows) i start transferring files  .
things go ok then rapidly downhill with some very strange problems  .
not seeing the drives on the network then suddenly the drives are there , the same files appearing on both drives even though drive two had not been written to , suddenly only one drive is there , oh there it is again , and so on this morning i talk to tech support , that's when i find out that the drive size is limited to 250gb max  .
yet when i point out that on the box it says connect up to two stand    alone usb disk drives of any size  .
from that point on i got excuse after excuse and finaly someone who i could hardly understand telling me to return the unit to the store  .
great , i get to waste more time arguing with the store  .
linksys a once trusted resource is now a source of deception and no longer can be trusted .
