good routes and re    calculating if you make a wrong turn voice directions good and clear bluetooth works great with my i    phone haven't tried the traffic receiver yet will be using that in the am i bought the refurbished 265wt for only $119 with full one year warranty could not be happier  .
i bought it from here   http  //www  .
garmin    nuvi    265wt  .
com/  .
it is only compatible with certain phones and you don't find this out before you buy the unit  .
in the past all my phones worked sucessfully with any bluetooth device i bought  .
i took it for granted that this device would work also  .
i is wrong  .
the traffic seems to work ok but i have not had any experiences where it saved me from a jam as of yet .
good unit once you get used to it  .
lifetime traffic a plus although it is slow to react to changing situations  .
route recalculations were fairly quick and gave satisfactory results  .
the sound should not be at full volume because it will clip the amplifier and cause unintelligable speech  .
keep it at 90 or below  .
i would recommend this unit especially if you get it on sale .
i found when using this model in a large city with multi    lane interstates , the turn announcements would not arrive soon enough for me to make needed lane changes at times  .
if the announcements would arrive sooner i would be totally happy with this model  .
outside of this problem and when used under less congested conditions (multi    lanes and speeds over 65 mph) i would give 5 stars  .
if you purchase this for the nav then it is a good deal but do not get your hopes up if you plan on using it as a hands free device for your phone  .
the same issue with the second one  .
finally called garmin and discovered that the issue is with the bluetooth  .
the phone i happen to have is not comp[atible with this unit  .
gps is great as long as i dont use the bluetooth  .
havent tried using it with a compatible phone  .
(garming provides a compatiuble phone list on its site) anyway that seemed to solve the locking up issue  .
gps works great as long as the bluetooth is disabled i would be very interested to know if the other reviewers that experience this same issue tried disableing bluetooth or have a compatible phone  .
bottoms line is the gps is great as long as i dont pair it with the phone i currently have so i guess im back to my old head set  .
love the design  .
still figureing out the traffic feature , aside from this im pretty satisfied  .
garmin customer sevice are very helpful updated  .
on jan 15 , 2009  .
pulled it right out of the box , turned it on and started using it immediately  .
very intuitive , just the way i like gadgets  .
probably the most usefule feature for me is the 'points of interest'  .
you can find just about any store in any city  .
it's great , i use it even in my hometown  .
on the negative side , i wish there is a volume dial on the unit  .
it's annoying to have to push two or three buttons to adjust the volume , esp during a bluetooth call  .
the whole point of bluetooth is handsfree , right  .
if i have to fiddle with my hands to adjust volume , what's the point  .
also , it's a pain to disconnect the bluetooth  .
that's about 5 button presses that , and the fact that car phones never sound great anyway i just do not use the bluetooth feature unless i have to  .
other than that , i really like the unit and am very happy with the purchase .
decent product  .
durable , and no major problems after 8 months of use .
bottom line , good gps unit with alot of cool features and downloads .
the topic of gps random shutdown poses a tragic roadblock to functionality    i'd been using this thing a week , is impressed , upgraded the firmware , then on its inaugural roadtrip as my husband's gift we were driving to god's country and the thing just kept shutting down    no warning and we missed turns on route  .
its a complete deal breaker if this thing cr ps out in precipitation conditions if that's even the problem  .
so far reviewing online it seems this random spontaneous shutting down of gps is a problem with prolific references online , but no fixes , and nothing i've been able to get from garmin  .
if no fix is available its back to the store  .
while the garmin unit cost me more money the tom tom overall is a more user friendly unit and in my opinion the interface on the screens have a better layout then the garmin  .
the tom tom website and add on were also much friendlier  .
garmin downloads were confusing and worked poorly  .
the website is extremely slow  .
both item work well overall but my choice between the two would be the tom tom .
it is hard to believe that the potential of this product is limited by the strange design decisions that resulted in reduced readability of the navigation screens and the removal of directional information that is standard on previous models  .
if those items are not important to the user , the garmin 256wt can be an excellent choice at a moderate price .
overall this is a good gps system , but it does not offer anything of value beyond that of the 205w model , which is much cheaper  .
i suppose this device will get you where you want to go , but it neither does so by the shortest route or the fastest time  .
and it often takes one needlessly out of the way  .
i confess that i'm befuddled about the logic programing  .
beware , one needs to refer to legitimate maps when traveling somewhere unfamiliar .
i am a little disappointed with this gps after after i upgraded from my old 200w  .
i bought it for the traffic receiver option  .
but i realized that it is one of the least important things in a gps  .
the poi database is the most important to me because when i'm in a big city and i'm looking for a specific business , i cannot find it most of the time  .
the maps and routing are not that accurate in rural areas  .
i've gotten lost several times using this gps and occasionally when i enter in an address it has no idea where it is  .
if you miss a turn , it does not ask you to make a u turn for the quickest route  .
it tends to avoid u turns even if a u turns could save you 10    15 min  .
the maps are not that accurate and it misses the destinations sometimes by 100's of yards on the positive side , the traffic receiver does work and show delays and optional routes  .
the blue tooth works great and better than some other gps units i've used  .
it is also very quick to lock on a satellite signal this gps is great if you just want to go from address a to b in big cities  .
but if you are looking for poi's i would not recommend it .
may be my gps is defective , but 3 garmin representative did not help me and i returned product to amazon , where i bought this gps  .
now , i am lokking more stable gps , where will be work all components  .
this gps price around $250 and not so cheap .
this is my first experience with a gps , and i am amazed how out of date the maps are even when using the one free update to the latest maps  .
in the area where we live , it has roads that don't exist anymore , and is missing the road to our house  .
google has had this on their maps for years  .
also , the software quality is rather mediocre , given that on day one , we've already had to shutdown/start up the unit several times to get back full control  .
but when it works , it is great  .
maybe we got a lemmon  .
we have all the latest sw and map updates  .
this is really surprising we have not been able to test the traffic feature yet  .
the ads have so far been unintrusive (shown when starting up) .
i'm amzed this got such a good rating by cnet , it's horrible to use takes for ever to find an address or point of interest the real time traffic alert system is a joke feature it comes inc but does little to nothing in updates on traffic i live in silicon valley very very disspointed will not by from this manufacturer again not being a tech guy , i'm assuming the chip is too slow to operate this gps  .
i am disappointed with this unit  .
it lost signal often in manhattan , and left me trying to figure out which turn to make , when i needed its guidance the most  .
the maps are out dated too  .
on one occasion , it guided me to a library that had been closed and relocated for over a year  .
i found it useless on many occasions that i used it on outings with my family  .
it kept getting us lost , especially when voice prompts came too late to do anything about them  .
i had another garmin before this , with all the same bells and whistles , except the volume is on the outside of the unit  .
that made it much easier to control than going through menus .
using a competitor handheld gps for a number of years with no problems , i'm disappointed in garmin automotive units  .
returned two 880's with multiple problems , used four days and three days  .
one 265wt in one day with problems right out of the box  .
all units had multiple freeze ups and maps gone haywire  .
both 880's would send me on a wild recalculated route in the opposite direction after arriving home on a highlighted route .
worthless if it cannot find the road you're on  .
i is given one of these units to get around la    it is a nightmare  .
it would lose signal every few miles causing me to miss meetings and pull over in dangerous places  .
i tried reseting it etc but it is pretty useless .
bought at costco less than a month ago  .
it turns off in mid    use while hooked to charger ; wo not turn back on easily    not sure what the magic combination is to get it to turn on  .
have had other garmin gps' never encountered this problem before  .
although a friend has had the same experience with the same model from the same store .
i called in because my garmin nuvi stopped communicating with my phone  .
i had already downloaded new software and applied any fixes that were available to both the phone and the garmin , but nothing worked  .
since my phone works will all other bluetooth devices that i have , i figured it had to be the garmin  .
after being on hold for almost an hour  .
a guy named marvin answered  .
he literally gave me about one minute , then said he couldn't help me  .
when i said please don't hang up on me , he said i wo not and then put me back in the queue to wait another hour  .
unbelievable  .
the device still is not working with my phone .
after using a magellan gps for 5 years , i decided to replace it with a more more advanced unit  .
i picked the garmin 265wt  .
poor choice  .
the warnings for upcoming turns are given too late  .
the system announces the next turn when you first enter a new road (there could be 200 miles to go before the turn)  .
it does not give you another warning until 3/10 of a mile before the turn  .
this is much too late at 75 miles per hour on highways  .
the magellan announces at 2 miles and again at  .
5 miles to go  .
the turn instructions are also not clear  .
despite being an experienced gps user , i missed a couple of turns in the city because of the confusing display  .
when re    routing , the system announced turns after i had passed the intersection  .
there is a display that tells you how many feet left before a turn  .
it keeps showing 90 to 100 feet left when you are already in the intersection  .
it tells you that you have arrived at your destination when you are still 2 to 3 houses/buildings away .
for the price $300 i paid  .
expect more  .
from west coast to east coast of canada the piece of junk managed to get me to take roads that dead    ended at border crossings 3 times  .
it is set on the fastest route   how is that possible when one has to stay over in the u  .
plus the fact i did not have my passport on me  .
cost me hours of driving and $$$ in fuel  .
no setting to remain in canada  .
never had a problem before with ordinary road maps  .
anybody wanna buy a used one cheap , lol .
i would look elsewhere as the problems i experienced are common with these units  .
look on previous reviews and you will see the same issues over and over again .
avoid this product  .
i even exchanged the first one for another  .
same problems  .
i've driven around the us and europe with this gps , and it almost always fails to create a reasonable route  .
it has directed me over pedestrian    only streets , the wrong way down one    way roads , through the congested centers of old european cities , onto single    lane almost    dirt roads  .
it has directed me to leave the highway to drive on surface streets , and to get onto highways when surface streets are faster  .
it's failed to navigate the highways and city streets of the largest cities in the us as well as the smaller roads of rural towns and suburbs  .
i have no idea where its directions are good , but the one thing i always do before setting out on a trip is to review it to make sure it is not doing something insane the traffic reporting/prediction feature is also completely worthless  .
my nuvi has never accurately reported a traffic condition  .
it reports green when i stuck in traffic (in the middle of los angeles  .
) and red when traffic is moving at the speed limit  .
it reports traffic alerts that never materialize  .
its traffic delay time estimates are worthless if you truly want a laugh , turn on traffic avoidance and watch the terrible routing work together with the incorrect traffic reports to having you driving all over the map   sudden instructions to exit the highway , make u    turns , return to the highway  .
it's pathetic and if this weren't enough , the device is also horribly slow  .
it often lags behind your turns so badly that it decides you are not following its directions  .
and then when it realizes you are , it tries to restore the directions  .
sometimes it gets confused and requires a hard    reboot , but mostly it just takes minutes to restore the route  .
searching for destinations is also woefully slow  .
it can take minutes to return a search for , say , marriot and sometimes fails to return results even when later searches do find them finally , the user interface is a nightmare to navigate  .
it forces you to specify a state to search in , but in some cases still lists destinations thousands of miles away first in the search results , forcing you to scroll through them  .
if you navigate the menus to change a setting , the interface forces you to hit the back button until you get back to the map , which can be quite distracting  .
overall , for a company that has been producing these devices for so many years , it is an embarrassment  .
cnet's positive review of this product casts serious doubt on its objectivity as a review site my advice is to buy a smart phone with a gps enabled and use google maps to navigate instead .
i purchase the nuvi265wt for my daughter , (i have the nuvi 255w what is much better)  .
i thought it is a great buy at $200 and i trusted the garmin name , but i is wrong  .
it looks good and the handsfree is nice  .
but the gps and maps are very poor  .
the unit seems slow and garmin support is non    existent  .
do not buy this unit or any garmin with these maps .
this unit is inaccurate and annoying to use  .
suction cup stopped wkg after a few months and the unit does not have roads that have been around for years inputed which garmin just blames on their provider  .
dont waste you money .
got the unit , followed instructions to register it with garmin and that's the only thing that worked well  .
it then checked for updates to the software and maps and reported that both are current  .
i tried to use it and is directed to enter the freeway at a closed on ramp (we've got a widening project going on , six of the downtown on ramps have been closed for two years    and will stay closed for another 18 months)  .
i called tech support and tried to explain the problem , the first techie said the maps are current and hung up on me  .
the second one said they are out of date , gave me the new version number and told me how to update the maps  .
i tried , but their website says they are current  .
then i found a link where i can pay $119 for updated maps four times a year as long as i own the unit and purchased that option  .
i got the confirmation email with a link to update the maps    i clicked    i got a page not found error  .
all in all i'd say the only thing accomplished here is that garmin has ripped me off for about $475 at this point updated  .
on feb 4 , 2010  .
there are too many things wrong to pick one to start with  .
i bought mine on a black friday deal and have had to exchange it 4 times since then  .
all the units i have exchanged at some point while driving freeze up and reboot requiring the user to re    agree and enter the information again  .
this occurred with and without the unit being plugged into the powersource  .
i corresponded with garmin and they even said the unit is defective  .
but come on , 4 units of the same model in less then a month  .
that tells me it is a flawwed design  .
when it did work , the directions were off and not usually the best route  .
the text to speach at times became garbled or silent for periods of time  .
the traffic updates are slow and inaccurate until it is too late and you are then neck deep in traffic  .
the funny thing is my wife agreed to get this gps if i would stop cursing while driving  .
instead , i curse even more just at the gps instead of the traffic  .
be careful when purchasing this unit , unless that is of course you enjoy being constantly fustrated with a product that is as dependable and valuable as a mcdonald's happy meal toy .
Got this gps as a christmas gift. ORIGINALLY OWNED THE STREET PILOT 340 ALSO A GREAT PRODUCT. THE 285WT SLIM DESIGN IS GREAT. SCREEN IS A GOOD SIZE AND GRAPHICS ARE VERY CLEAR; FIRST UNIT WAS RETURNED AS IT CONTINUOUSLY LOCKED UP AND AND KEPT LOOSING THE DIRECTIONAL VOICE RETURNED IT FOR THE SAME MODEL` .....
HotFix Feature works well; near-instant route recalculation; traffic info well displayed; Bluetooth Speakerphone could be much better
easy to read; INACCURATE! ROADS THAT HAVE BEEN HERE FOR YEARS ARE NOT IN THE UNIT; CONSTANT "RECALCULATING" EVEN WHEN GETTING ON TO FWY RAMPS. TRAFFIC CONTROL IS A JOKE- ITS TOO LATE WHEN YOU ARE NOTIFIED. ANNOYING UNIT - LOOKING TO RTN IT. DONT WASTE YOUR $
Fast navigation. Large display screen. Bluetooth for hands free use. FM Traffic works great.; None so far.
easy of use. accurate. fast reroutes; bluetooth with our phones was terrible
The small amount of time it did work, it was cool. The gps works sufficiently.; horrible customer service. drops communication with phone frequently
It's fun to play around with.; It offers the stupidest directions on how to get somewhere.
Directions are accurate, easy to use, spoken directions, big screen, fits in my pocket.; Acquiring satellites
I like voice, language selection, find addresses.; GPS didn't connected with my Nokia phone. Traffic infirmation doesn't work, despite Navteq on my computer indicated everything is OK. Garmin representative blamed Navteq.
Some nice comfort features.; Wouldn't find a major highway in Phoenix, that has been there for over fifty years Reported erroneous mileage from Phoenix to Colorado Springs, Co.
User friendly, simple to use, various languages available.; Day/night - bright/low light feature not as good as Nuvi 260W owned previously.. Marginal voice/microphone quality when bluetooth feature used in conjuction with cell phone.
It is simple to use and a v basic unit.; Substandard shaky GPS fixing.
Great LCD screen with easy to read display, Bluetooth, traffic receiver included; Map data not up to date, 2-year old data needs to be deleted
Easy to set up, easy to view screen, great volume and fast recalculations.; Turn announcements needs to be a little sooner.
Widescreen display, ease of functionality, compact size, very accurate.; Lifetime traffic alerts are advertising-driven (not too intrusive, though), power cord (which has FM traffic receiver on it) way too long (IMO), "up-to-date" map database does not have my 5-year old subdivision on it.
Easy to use right out of the box, clear GPS directions, traffic feature is nice; bluetooh feature is cumbersome
Nothing! It's completely useless!; Maps are out of date, tech support is useless. After the insult you by insinuations that you didn't purchase the unit they hang up on you!
Good toy, if you're biking.; I just sent back my Nuvi 265WT after being lost in Chicago for 2hours, the directions come very late and wrong, and the speakers are very poor quality, don?t waste your money.
Easy to use. Handles re-routing well. Traffic info (not tested yet).; Horribly out of date maps (just updated to latest maps for 2009). The maps must be years behind. Limited POI - missing lots of locations.. Sometimes, unit freezes up, voice gets completly distorted. Ad supported traffic.
Very legible. Good turn by turn audio. Traffic alerts decent in major cities. Very good off highway routing.; Traffic alerts a little slow and inaccurate at times. Doesnt always give you the best routing plot when freeways are concerned.
There are no pros for this unit!; The unti locks up at random, is slow on the maps, and the bluetooth feature is unstable at best. The power cord is also huge and bulky.
easy menu, looks good.; sooo slow to react to imput, when typing it takes a second to register the letter... reminds me of an old Motorola phone I had 5 years ago.
There are none since the unit never worked properly.; I recently purchased this unit and within the first 2 days of use started malfunctioning. The screen would freeze plus the voice would all of a sudden become unintelligible. I was SO disappointed and immediately returned the unit.
The life-time traffic info rerouting is a big plus. I find the traffic warnings/instructions timely, and like the "where am I?" and the "pedestrian" features and the Garmin portable friction dashboard mount.; The computer voice could be better but is acceptable.
Bought new--Updated per instructions. and Wham---right out the box--Loaded.. Very nice on the Road-- Loud enough to hear-the turns. Great Display; Can't find my address.!! Finds my neighbors--1/2 mile up the street but My address does not exist. Tested on 2-road trips after Up-dates--and can not find places that have been there--25 years.. 1/2 Mile away--every time..
wide screen; easy to use; good directions; turns off in mid-use while hooked to charger; won't turn back on easily - not sure what the magic combination is to get it to turn on.
Good voice directions. Adaquate display and easy to read.; Don't velcro the unit to the dash - leave room for the antenna to see otherwise the internal antenna will loose reception. Power wire is bulky and hard to keep in place.
-I have big hands and am more than able to navigate the screen and press all the buttons. -Beautiful. -Fits in your pocket. -Comes loaded. -Best GPS under $500; Few seconds late on turn directions :\ so you might have to do the speed limit !!!!!
text to speech is helpful. maps are crisp and easy to read. gps signal is strong; bluetooth is terrible - a nonstarter. traffic is never accurate - not much value. touch screen is not responsive to touch inputs
Came with all accessories needed..car charger/traffic receiver, USB cord, Mounting bracket. It does everything you could ever need and never really needed to read manual much at all. VERY user friendly!!!; The only way this thing could have been better is if it were free!
nice big screen and turns called out by street name very helpful; speaker for the blue tooth is not to clear when you turn the volume up
Widescreen; Free traffic for life; Bluetooth Speaker; Sleek and slim; FM Traffic Transmitter wire is a bit thick making it too big to be hidden underneath your dashboard
Wide screen, traffic, speed of calculation.; Blue tooth doesn't work with all phones and you don't find out till after you buy it. Speed limits aren't always correct. No compass on main screen. I miss the fact that it plugged in automatically when you snapped it in place on the older models.
Directions are accurate and the text to speech is good. Color and screens look good. Nice looking unit and suction device worked very well.; The Garmin software and computer downloads are confusing. I still have not be able to download some items. I also just bought the Tom Tom One and while it does not have the text to speech the software and downloads were extremely easy.
-HotFix feature works pretty well. -Big, vivid screen. -Quick recalculations. -Free FM traffic notifications. -Automatic brightness adjuster. -Decent signal reception; -Points of interests didn't have the theater that I usually go to and my high school (they were both built about 3-4 years ago). -Seems to have an apparent liking to my local toll roads. -Hands-free calling quality is so-so
Best bang for the buck. got it at Costco for $169. Very viewable and easy to use. Traffic did take a bit to initiate.; Experienced a horizontal line across the screen after about 1 week of usage. Hard reset didn't resolve, so exchanged unit.
Not much. Maybe it is slim and looks nice.; The maps are outdated; It loses signal too easily, and left us lost; The voice prompts for both the navigation and for traffic alerts came much too late. Bottom line: This GPS is a stinker. I'm going to return it.
Handsfree Bluetooth phone integration--awesome with an iPhone; Easy to use; Can import custom POI files; Not as easy to manage multiple waypoints in a route, or see various upcoming POIs (such as all POIs at the next highway exit)-- unless I haven't figured it out yet (the user manual is a bit lacking too).
I like the big screen, it is good. The handsfree works pretty good even with my SonyEricsson W580i which is NOT on the list. The unit is thin and light, mount is good.; The maps are terrible. Roads are labeled wrong and missing, major roads that have been here over fifty years. It will only find East addresses on my street; I live on the West end. It won't find my shop or my parent?s home. I have up-to-date maps.
Very easy to use, display is easy to read, Free FM traffic is a great feature; FM traffic requires 12v adapter to be plugged in. I agree with other reviewer that the cable is alittle too thick. Bluetooth phone call was not as good as I expected.
Traffic Receiver even though I didn't think it was that accurate.. Blue Tooth worked great.. Quick connection to satellite; POI not up to date and is missing a lot... I mean a lot compared to online databases.. Maps not accurate even with the latest maps downloaded.. Rerouting is not all that great.
The Bluetooth hands-free phone control, wide screen, traffic info receiver,lifetime ad-supported traffic reports, and the Garmin time-tested logical operator screens are major attractions.; The wider screen uses smaller fonts than the narrow older screen 360 series. Key header traffic instructions are harder to read than on older units. The Track Up nav screen contains no indicator of north direction. This is a serious omission.
Ease of use - intuitive layout and operation. "Where am I" feature. Traffic feature. Voice prompts timely and accurate. Bluetooth connection easy to set up and easy to use. Detour feature.; Sound quality of speaker limits usefulness of the bluetooth feature - hard to hear at highway speeds. Dash mounting pad won't stay stuck (maybe because I was trying to stick it in 10 degree weather).
GPS features are quite good. Touch screen works well, if a little sluggish. Points of interest are generally accurate, though you might want to update the map periodically (businesses do close!); Traffic feature is comically bad, and totally useless. "Traffic ahead!!!" when there is none, nothing when an 18 wheeler is dashed across the road. I'm better off with the radio.
Minus the TRAGIC shut down errors, potentially a fabulous thing to have in your car. I love that it will tell me the nearest gas station, or shop, &#38; showed timesaving route for commute to work. Haven't quite figured out FMtraffic thing.; Don't know if cloud cover/preciptation responsible but this device started shutting down automatically - and frequently on its inaugural roadtrip, requiring reboot and reentering of information. Has latest firmware upgrade. Disappointing.
