i love the slingbox  .
i remember the first time i got a cell phone , the internet , tivo/dvr and lost my v    card  .
this is right up there with all of them .
ok first post here so let me get right to the point  .
i have been waiting for over a year to get my mitts on one of these units and man is it worth it  .
let me get to the point i way away from my ct home on 9/11 in san francisco and is stuck in a guest office with nothing but internet and no tv for 3 days  .
since then i have always wanted a product like this to be available so i can get news tv shows live or on demand when i need it  .
before the slingbox i is using a beyond tv duel tuner system witch is a costly solution and required 3 different ports to be open on my router and if my cable modems ip ever changed i is screwed until i could get home  .
oh and you will need a computer to run it now with the slingbox i first started using its built in tv tuner card and set it to use port 8888 and now i can hit it from anywhere (ny / ct offices or on my laptop)  .
heck with a verizion edvo card i is able to watch tv live on my metro north train ridge home  .
the trick to this unit is it will figure out an optimized ping time between you machine and the box and will automatic determine the correct speed to stream to you next thing i did is go to cablevision and upgrade to a new senitific atlantic 8300hd cable box / dvr  .
i ran the hd out to my plasma and the 2nd output to the slingbox  .
once plugged in i told the slingbox client what cable box i had and it pulled down an update from there server and next thing you know i am all set  .
i loved it so much that i got a 2nd unit just to control my hp z555 media center pc giving credit where credit is due &  .
when you set up the sling box you can either have it test the connection to their public server and create a finder id and password or you can direct your computer to the unit  .
if you have this unit behind a firewall you will have to redirect it port to whatever you choose via tcp  .
and if you are not famillier with how to do that they will even ask you what type of router you have and attempt to go into the router admin tool and configure it for you  .
wow  .
slingbox is totally making it a point to work for anyone and at no charge for it finder id server (aka ddns) and that says a lot for them cons   nothing bad but a few things to remember  .
first no duel tuner just a single built into the unit  .
no hd component/ dvi or hdmi inputs  .
and yes when i play the yankees on an hd channel on a full screen tv at a hotel room it looks better even with the rca inputs  .
1 other thing if you are going to watch music videos you will notice the song will pay a little slower but once optimized it will start to speed up great bang for the buck and its a must if you travel for a living to different hotels and want to feel like youre at home dz  .
both the hardware (slingbox) and the software (slingplayer) work great  .
none have crashed in almost a week of use  .
here's how i have used it    .
1) laptop in backyard , watched brazilian soccer and the giants beat the dodgers while writing a few articles for my blog 2) watched the giants beat the dodgers again in my office at home while writing some code  .
my vga has an s    video out option  .
went to circuit city and bought a tv and i can now watch anything full screen while having the slingplayer minimized  .
this rocks  .
3) while cooking some good spaghetti , placed the laptop on the kitchen counter and watched six feet under  .
i think i'll cook a bit more now that i've got any show , including live baseball/football 4) went to my buddy's place , and installed the slingplayer on his xp  .
he is amazed at how well it works  .
he travels a lot to korea , so he'll be getting one on monday  .
5) went to my mom's and showed her how cool this is  .
she likes the french channel , so she'll be watching it a few programs i recorded on one of the three replaytvs we have  .
the streaming from one replaytv to another works great , and the streaming from the slinged replaytv to my mom's dsl worked without a glitch  .
i think i'm going to have to buy a second slingbox since my mom will probably be using it a lot going to the microsoft pdc in september and there are some critical world cup qualifiers then    thank god for slingbox  .
i have owned my slingbox since they were first released to the public  .
i have never had any problems with it and i have been using it nearly daily  .
it is easy to set up and the quality is totally watchable  .
the frequently update the firmware and i am impressed with each new revision  .
i love my slingbox after years of owning it  .
i do not know about the newer boxes but my classic is fine for me .
i love this thing  .
having complete access to my dvr from my smartphone or my laptop is awesome  .
also the picture quality is great  .
works great on the verizon wireless evdo network .
had a bit of a problem with the first unit i got , went back to the store exchanged it and it is working within 10 minutes if it supported wireless connectivity , it would definitely be a perfect 10  .
you can even watch the hd channels , well at least you get the 16  9 screen of the hd channels overall a great product .
initially i bought the sony locationfree to maximize the feature of my psp  .
but i disliked the fact that it will cost $30 userkey to install the player to each additional pc/laptop  .
installation of locationfree is easier than slingbox but locationfree does not have the right driver to control my directtv remote control i decided to return the locationfree and bought the slingbox instead  .
each room in my house have wired    internet connections with a computer but no tvs in 2 of the bedrooms  .
having this device for $200 have allowed me to streamline tv shows to the computers without needing to buy new tvs remote viewing is also excellent after spending an hour of frustration while configuring the right port to be used in the router  .
i am so happy and i cannot wait to get my new windowsce phone/pda to connect to my slingbox and watch tv shows while away from home  .
it is a great product and a great experience overall .
this device made my life much easier  .
frst i had tivo now this i'll be able to watch my tv and shows from everywhere i want  .
thanks sling media for this clever device  .
everything as advertised  .
beats the sony hands down  .
sony is difficult to configure and did not have as good of a picture  .
slingbox is easy to configure and has great performance on my 802  .
11g network .
overall this is a great device  .
i would recommend it to everyone  .
especially those who travel a lot or are in places in which they could use some entertainment  .
personally , i use it at college in my down time and when i am at home  .
my current televisions are no longer being used .
i got my sling box brand new still in the box from ebay for $150 and my sling link from dell for $86 with tax and s h  .
saved money this way i have had this set up for about a month now and i absolutely love it  .
i had some difficulty setting the system up  .
i use two routers  .
one for vonage and the other a wireless router  .
i had to call sling box tech support  .
they were extremely helpful and freindly  .
minimal wait time , technician is easily understandable i use my slingbox with tivo  .
it can be a little slow in changing channels  .
you have to be patient  .
if you push in a command too many times it will register each one and you will have to wait for them all to clear  .
can be a little annoying picture quaility is descent  .
great taking your tv with you  .
love it  .
this realy is one of the best gadgets i've ever used  .
at $249 , it's s steal i have it piping tv to my home pc , laptop and motorola q phone all 3 work well  .
i have the slingbox connected to my wireless router via an ethernet cable the picture quality is great and i do not even have it running through a tv (slingbox is hooked directly to the cable jack) setup is a breeze  .
i switched routers after setting up , but all i had to do is reset the slingbox and run through the setup wizard again slingbox quality running through motorola q ia also very good , but if your going to use it on a phone , cingular edge speeds result in choppy video  .
you need a phone with wifi capabilities or evdo (not sure how tmobile edge would do heard it's faster than cingular edge)  .
unlike every other gadget i have owned , this one has realy had no downside so far (had it for about 2 months)  .
it allows me to watch tv at work , anywhere for that matter with a net connection , only downside is the native tv viewable size  .
but i think it is still the coolest new piece of technology out there  .
i'm in the us air force stationed in turkey and purchased my slingbox while home on leave last christmas  .
i also purchased a linksys gaming adapter so i could attach it to my high speed home network  .
i'm able to stream my directv programming all they way from texas including ppv through my laptop into the s    video connection on my tv  .
the picture is usually very good and if not it's because the network speeds here vary considerably  .
everywhere else i've connected to it while on the road at aiports like dfw , bwi , o'hare , frankfurt and istanbul international i've got very good reception i personally is dreading missing 15 months of watching my favorite sports teams while stationed here , but this fantastic little toy looking device has allowed me to keep up not only with them , but i've been able to keep up with all the shows i enjoyed watching while in the states and not have to settle for the limitted programming offered to all service members stationed overseas through the afn armed forces netwok) i is even able to download slingmedia's free software for my wife's sprint pocket pc running windows mobile 5  .
0 and it works great on it also bottom    line if you find yourself missing must    see shows or live games (is there any other way to watch them  .
) , then this is the thing for you  .
you will not and cannot be disappointed  .
i rate this a 9 , it is a really cool new gadget that works great  .
i bought the slingbox just for world cup so i would not miss the games when i'm at work  .
but now i find myself tuning in often when on the road even before the cup matches start i see people on here complaining about the video quality  .
it is important to realize that the upstream bandwidth where you will be installing the slingbox is the limiting factor for video quality  .
if you only have 128kbps you are not going to get great video  .
my home upstream tests at just over 400kbps which gives me pretty good video  .
i only have standard cable , so a signal splitter feed to the slingbox lets me watch anything on my cable system without affecting the viewing of anyone at home  .
the slingbox also has a composite video and s video inputs  .
i plugged in a video feed from my security cam and now i can also check my front door video from work .
i just set up my slingbox and i couldn't be happier (well if i could figure out how to make the tv guide from my cable box show i'd be happier)  .
that said , i just have it hooked up via the co    axel connection  .
i tried the composite one and had the same problem  .
i do not have an available s    video connection now i can watch my local baseball team in hawaii i can even get my on    demand movies on the road  .
a+ for this product .
i bought this product because i'm an avid red sox fan and also a business traveler  .
i spent over 200 nights in hotels last year  .
so , the slingbox gives me the ability to take the red sox games with me wherever i go  .
i also enjoy watching local tv from time to time as well as the premium channels i have at home set up is relatively easy  .
the slingplayer software has a very easy step by step setup guide  .
i had some issues becuase i tried using an xbox wireless bridge that i already owned instead of a standard wireless bridge  .
it is a little quirky and i decided to go with a netgear wireless bridge  .
now that i have switched bridges , i have experienced minimal problems using the slingbox is great  .
the frame rate and the audio always stay pretty good  .
the way that it compensates for lower speeds is to reduce the bit rate  .
so , your image continues to move smoothly , it just looks blurry (like a divx recording)  .
the remote control works very well with my comcast digital cable box  .
the graphical remote in the sling player looks almost identical to the remote i have at home i stream at about 300kb/s over my comcast hsi connection  .
the picture quality is pretty good at this rate  .
if i'm connected within my lan (wireless    g speeds) , it looks almost as good as normal tv  .
i think dsl users only uploading at 150 kb might be a little disappointed with video quality the only problems i have had revolve around my cable modem's ip address lease  .
it keeps expriring and not renewing  .
there is a patch for my router that i'm going to apply when i get home that should fix it if you are someone who travels quite a bit or is near a computer but not a tv , i would reccomend this product  .
i would also reccomend it to anyone who has access to tv but wants to see something on their home cable lineup when they are in another location .
the only down side to the product is the initial instalation process  .
make sure the pnp option on your your router is enabled  .
this is required if you want the remote viewing of the slingbox to work other than the initial instalation this is a great product .
amazingly easy setup  .
forget to set your tivo before going to work  .
no problem , just login from any pc with the sling software and you can do it  .
want to watch tv outside , in the bedroom , while on the 'throne'  .
just use a wireless laptop (i use a tablet) and go anywhere one gripe  .
the picture is not so great because of the low resolution  .
if the resolution were higher i could lower it if performance suffered  .
hopefully , this will be addressed soon .
after figuring out the sb would only broadcast if my dtv tivo is in 480i mode and switching my vonage router and netgear router , the sb performs as advertised  .
i is able to remotely watch tv on my desk at work and of course on my pc at home  .
this is an awesome device as i can now see the nationals at work since comcast refuses to carry the games .
this is a great product  .
i love being able to watch my shows    even recorded shows    outside , at a friends and anywhere i have access to high speed internet  .
my only complaint is the lack of cable connectivity  .
even so , connecting via rca jacks produces a surprisingly nice picture on my laptop  .
i highly recommend this product as 'it just works'  .
this is awesome  .
for $200 its completely worth it , i've been able to watch tv anywhere with broadband  .
if you have verizon wireless broadban access , then this is a must buy  .
i can watch tv at my construction site , at friends house and even in the car 1 think i love most is the easy installion , its simple , plug it in and let the cd do the rest i do not know how else to tell you how great this is  .
so i'm just going to descridbe it with the first word that come to mind speachless  .
enjoy  .
first of all , this is a really cool gadget  .
one thing to note though , there no record function with the software , so if you've got visions of using this as a way of transferring video to your ipod , it's not really useful for that , at least out of the box  .
i'm sure there are people who will figure that piece of the puzzle out eventually the video quality looks like decent web video  .
it's not the quality of your video feed , but it's fine (and as good as i expected) for viewing on the web i'm anxiously awaiting the macintosh version of the software  .
that's been announced and should arrive in the first half of 2006  .
i do not know of any plans for a player for the palm version of the treo , but that would be great to have too .
this is the best video investment ever for people with vacation homes tucked away in the middle of nowhere  .
we have an island home in the caribbean and have paid hundreds of dollars in import duty fees bringing in directv components that we've never been able to make work  .
the slingbox is not perfect , but it is entertainment  .
unfortunately , when the dsl signal hiccups (as it does frequently here) instead of just resuming the stream , the slingbox signal freezes and then crashes  .
fixing that would be a huge plus .
according to the web site if your router and tv source are not in the same room one can use a wireless bridge to connect them , but it didn't work even though i bought one the web site said would work  .
i then ordered a sling link but received a different brand powerline adaptor (who knows why the wrong thing is sent)which worked intermittently  .
then returned it for the sling link adaptor which finally worked  .
each time i had to call tech support at sling media the phone is answered almost immediately and the support staff all were native american english speakers and they talked me through the set up process  .
all of this problem can be avoided if your router and dvr are in the same room  .
mine were not and there is no way to put them in the same room now it works great my son at college can set the directtv dvr to record what he wants to watch when he comes home and he can watch orioles baseball in philadelphia  .
i can watch jon stewart while on the road .
i bought this slingbox in anticipation of my recently completed trip to south east asia  .
based on having taken many trips abroad i've been sadly dissappointed , even with satellite these days , the tv/movie selctions in most foreign hotels  .
i mainly stay in four and five hotels , but that far from garauntees i will find something watchable that is in english  .
well with the sling box i is able to keep up with every show i wanted to watch , especially 24 i did find that if the broadband connection in the hotel is kind of slow or being heavily used the picture quality is diminished severely  .
high action tv including sports really need a top notch connection to make the show watchable  .
however , when the connection is not so great , i would simply watch with a smaller screen and the pixelation is not so bad i have mine connected to tivo and i love being able to quickly change my season passes and or add something to record something rather than going to the tivo site to submit a request to record  .
with the slingbox i can add a recording seconds before the show is about to start i also have to add it is very simply to install  .
you need how to make basic av connections and have basic computer skills  .
the directions , to me , very very straight forward .
the slingbox is a terrific product  .
here is what a potential buyer should know 1  .
) setup is a piece of cake if you have a standard home network 2  .
) the product works exactly as advertised  .
allows you to control and view your tivo/dvr/tv from anywhere on the internet 3  .
) picture quality is very good  .
primary limitations are the available bandwidth and resolution of the program you're watching  .
these limitations are independent of the device , however 4  .
) no software for mac or linux  .
this is unfortunate , but i have faith the company will release at least a version for the mac (as promised on their website) overall , i highly recommend the product  .
works exactly as advertised       and this is rare these days .
do not buy it if you have aol broadban or if you only going to watch sports  .
sports are choppy to see , any thing fast moveing are blochy .
a great device to buy  .
its a feel at home for people on travel .
fun toy  .
this product does exactly what is expected  .
the slingbox is connected to a wireless linksys router via hard wire  .
the setup is easier than my dell wireless printers  .
had a little trouble with the directv remote but that is my fault  .
the macros channels are a must  .
total setup , 1  .
5 hrs  .
this a good xmas gift  .
i do read forums about treo and others but settle down about what ifs  .
this product does what is says  .
wish my other products did what they said  .
horrid branding and sales campaign  .
slingbox product works ad company needs to move on .
well , i've only been using it for about 2 days now and i must say that i am pleasantly surprised and 99% satisfied  .
(1% is lost on the fact that only one computer can use it at a time  .
the quality is top    notch  .
i thought it might be pixelated , jerky , or buggy    but it is not  .
it flows and runs like a regular tv  .
it just feels like you're watching tv let me also mention all of the features that it has    .
you can watch tv with a full screen and either have the remote on the screen , or not   you can hit a button and it will automatically dock to one side of the screen and re    adjust the size of your other windows  .
and then , you can even fine tune and adjust the size of that window   if you just want it to be on your screen and not be docked , you can do that and adjust that screen size as well   you can also create a list of favorite channel icons , so all you do is click onto your favorite channel's icon  .
if the icon doesn't exist    you can create your own  .
it also works with channels like hbo on demand and with tivo as well (however , i do not have tivo)   if your workplace has a firewall , you can access your home computer using your home computer's ip address .
i sent one of these to a family member up in pa and had them hook it up to the tv (they had a fast internet connection too)  .
now i get all of the philly stations and can watch football (eagles) down here in florida  .
bye bye direct tv sunday ticket  .
this thing will pay for itself this year .
this product came at the perfect time for me  .
we are about to move to a small island off the coast of the uk , and most of our favorite us tv shows are not available  .
we struggled with solutions like tivo to go , and were ready to give up until our video guru introduced us to slingbox  .
for $250 , we can access our tivo anywhere , including our new remote home  .
we can not only watch our favorite shows ; we can program the tivo and do pretty much anything we could do if we were in front of it the slingbox is trivial to install    requires connecting a few cables and doing a simple software installation  .
we had a minor problem with the software , and called sb support on saturday afternoon  .
we got immediate help and a successful resolution to our problem the video quality is average or slightly below (depending on the size of the image) , and the response to remote control requests is slightly pokey , but considering what this neat little box does , it's well worth the tradeoff .
warning   slingbox is like a tivo , once you have one , you cannot live without it i is very hesitant about purchasing the product for months  .
i didn't buy it cause it seemed liked there had to be more to it  .
it is never promoted , stuck in the back of the store on a side shelf and collected dust  .
no stores have slingbox on display showing the actual product working  .
for months slingbox sat in comp usa until they started promoting the product in ads  .
the burbank comp usa is out of stock of the slingbox  .
i bought the last one  .
best buy sells the product too i had a slight problem with my installation  .
it seems the slingbox provided a/v in/out cords are not exactly made for each other  .
it took me an extra hour and a half to finish my installation , due to the faulty connection of the slingbox a/v cord  .
i needed to uplug (at the slingbox) their supplied a/v cord and re    plug it , jiggle it , then i got video/sound  .
the little installation screen says starting , which is not that informative  .
the software installation should say stop and check your cable connections , if you don't see video  .
unplug and replug your connections , wait a few seconds for lag to see if you repaired the problem  .
once i got it going , it is smooth  .
of course having a good connection is important  .
if your wireless connection is not rating itself as excellent , don't blame slingbox  .
even when my slingbox is using bandwidth streaming at 1288kbps , it doesn't slow down my wireless web browsing  .
so i can check email , surf , without worrying about my slingbox hogging ram/bandwidth i is surprised that this thing that looks like a toy is capable of firmware updates  .
the firmware update is the easiest fireware update i've ever done  .
just a few clicks and it is done  .
you don't unplug , or reset anything  .
way    easy  .
don't you wish all your toys could be updated via the internet  .
my best friend is wanted to buy a wireless tv and has a hp 17 widescreen windowsmedia xp p4 laptop laying around collecting dust  .
he already has a wireless lan , and he's has a cable tv box that he uses for himself  .
i suggested that he purchase a slingbox , now that i know that the product works , he will love it upon opening the box , i is amazed that all the cords needed are included  .
i managed to test the slingbox on the go feature  .
i hooked up to my slingbox successfully through a neighbors unsecure wireless connection (without any port fordarding)  .
the wireless connection to my laptop showed excellent , and so is the video if you want to hear a little nit    pick about slingbox , the color and shape    design that makes it look like a cheap toy  .
the slingbox rear side is red plastic , with gold lettering indicating the titles of the jacks  .
bad color combinations (gold on red) for those with imperfect eyesight  .
slingbox is not a replacement for a high quality tv , so if you don't mind the occasional jerk in motion when your wireless connection has a drop in transmissions , then you'll continue to enjoy the product  .
i am running a hp laptop with a centrino processor and it is great  .
i also reccomend those who plan to use a slingbox on a regular basis to use it with a hp laptop that has altec lansing speakers on the front side (not top) of the laptop , so the sound projects toward you  .
the sound is great when laptop is created with great sound in mind  .
if your laptop has tiny little tin    can sounding speakers (such as on toshiba laptops)under your laptop screen , then you should consider running out and get a new hp laptop  .
i will never own a new laptop model that does not have speakers on the front side of the laptop .
i have been using this slingbox for about a month now and from my house to my office the connection is great  .
as i write this review i am watching tv at the same time  .
the only thing i find wrong is that if you use the rca plugs for connecting a dvd player you cannot use the cable (rf) connection to feed cable to the box also  .
it is a bit pricey , but consider that you only pay for it one time  .
you can have more then one slingbox hooked up to the same network also (i currently have 2 different ones) so you can stream to more then one computer .
interesting i've been experimenting with it all last night i bought the last one in the store its a very hot item i'll be honest once it's running its performance is pretty slick and the video quality is excellent even at medium broadband speeds  .
this is an amazing product for those that travel alot and especially internationally (granted foreign isps don't eventually put up barriers to it) and the fact it works with dynamic ips is astounding  .
this is also a great solution to add tv to the computer room if you didn't want to drop a cable or drill holes in the wall tested it fully at a t    mobile hotspot with full wpa/tsik encryption firewall restrictions with upnp traffic would seem to be the major impediment of using it in public but it performed excellent the people at the table next to me were amazed by it video has about a 5    6 second delay from source video  .
things still needed to test    .
need to test it with a 802  .
11g connection w/ wep it didn't work too well in my test with a linksys 802  .
11b wireless bridge (wet11) with encryption on (video tears , staticy to no audio) but the wireless bridge i used is specifically mentioned on their support site as not a good one to use with it with the slingbox connected directly to router    flawless video with the quality peaking at 1  .
3mbps downstream pretty good video quality even at only 300    500kbps downstream need to gauge to how it performs on dsl vs cable modem limitations only 1 person can connect to it at one time however as i tested with a desktop and a laptop at same time which resulted in a conflict only one device per slingbox but the form factor definitely makes them stackable comcast program guide cable box menu's do not appear with either coaxial or composite video i will try s    video  .
then again you can access local cable program guides on the web  .
this may be my error as its an hd box set to 1080i output and i'm using the analog outputs haven't tested it with the full comcast digital cable dvr combo but so far so good but if you cannot see the guide or menu then might be best for a digital tuner only  .
should work great with a tivo as it is specifically mentioned in the manual  .
i'll be testing it with my panasonic dvr soon contrary to the box windows xp home/pro/mce are not absolutely mandatory it does work with windows 2000 as long as you have sp4 , direct x 9  .
0c and windows media 9 codecs installed  .
do not think there's a client for mac os x right now this thing is getting product of the year imo .
this is a very cool and somewhat pricey gadget  .
i will be using this from germany so i can get access to american tv  .
it has worked great so far , but i have yet to hook it up to my tivo  .
easy to set up  .
i did not have to configure my router at all for it to open a port to stream the audio and video  .
i recommend this to anyone who travels and likes to get local tv news and sporting events .
works from my home in chicago to my apartmemt in europe  .
i have a tivo series 1 and is jelous of the series 2 features but , did not want to buy a new lifetime subscription this does it and more but , what you see is a function of your upload speed .
if you have installed a router or cable modem or dvd player you can install the slingbox for many years i've had issues at work of not being able to get a tv signal because of the buildings construction , i've tried all sorts of powered antennas and no luck  .
now that the slingbox is available i can remotely view and control my directv tivo box i can also regain the control i lost when i gave up my stand alone series 2 tivo since i can now schedule programs [or season passes] and anything else i could only do at home the faster your connection the better the picture and sound however i'm even able to use the slingbox with an isdn connection at work [128k under the best conditions] , granted i'm watching a smaller window on my desktop but it works for me  .
in the next 60 days i'll be connected to a 768k cable modem and it should really sing then when using the slingbox at home and viewing from a different room over my wireless network the video and audio are very watchable on my laptop full screen    if i wanted to i could also feed the signal out to my wega 32 and watch it remotely that way also in the 6 weeks that i've owned the slingbox the software has already been upgraded twice and the most recent upgrade vastly improved the way the tivo remote works    it even looks like the famous tivo peanut .
at first , i had some serious apprehension about the sling claims  .
having watched blocky , jerky and out of sync video on real or windows media , i is not expecting much  .
after following the simple    as    dirt slingbox installation , i is surprised how quickly i is able to watch a very acceptable picture and sound  .
once booted up , after a few seconds to syncronize , i is watching a perfectly acceptable tv program on my laptop  .
well not only me but half of the passengers waiting for our flight  .
it is kinda cool to see the local news and weather at your destination (if its home) while sitting in a departure louge thousands of miles away the other big sanity saver it offers is at hotels with their four or five over    the    air tv stations featuring quilting or hog tying specials   now you can reconnect with civilization wit a simple mouse click the slingbox has it own tuner for basic cable which means you do not need to watch whatever they are watching at home unless you want cable channels above 100 when the cable box is in control (the slingox comes with a remote control adapter to tune the cable box as well but them everyone is watching the same program) i woulds highly recommend it for frequent travellers as you can always feel close to home .
i have purchased three and put them in three different countries (different homes and businesses) to keep up with news and local programming where i work and play  .
it is very simple to install (ask my wife) , and it plays without interruption on various speed links , adjusting quality on the fly to ensure smooth audio and video  .
they offer the software free to anyone who wants to download it , but admittedly , i would like to see a browser plugin  .
it could use a wireless option    did not play nice with my d    link wireless 802  .
11 bridge  .
otherwise , i would suggest a little work on the software and improved video quality on lan/fast links  .
i could not get it to stream at over 550kbps  .
a great innovation from a company who's top management and tech support seem extremell responsive and down    to    earth missed a 10 based only on minor complaints listed under cons above .
purchased the slingbox after a review on this website  .
installed it this morning  .
install took about 15 minutes and it worked flawlessly  .
i have a dlink router and analog cable so the setup could not have been simpler  .
i is so excited to test it , i took my laptop to a local wifi mcdonalds to watch cnn while i ate lunch  .
how cool  .
i travel for a living  .
cannot wait to use this on the road .
this is great for anyone who travels frequently for work  .
the cost of this device is easily justified after the first airport delay  .
most major airports are now offering wifi service , so being able to catch up on my tivo'd shows or just watching real tv while waiting for a flight takes the sting out airport delays  .
for those who do not travel , with my homes wifi , i can watch a baseball game while tinkering in the garage or the basement or just outside the house .
this is a great product  .
it's not perfect but close it delivers exactly what it promises to do .
when setting this up the novice user may need techical support assistance  .
however there customer service/tech suppport staff are very friendly and knowledgable  .
qnce you experience this ingenous device you'll wonder why it was not created sooner  .
a true joy to own .
after following this thing since ces i finally found one    the last one    at compusa in san francisco  .
it took no time at all to hook up , but make sure you read the box  .
i had to also buy a pair of powerline ethernet adapters because of the setup in my apartment i spent most of the afternoon showing people in the office how i can now watch my tivo from the laptop and they were blown away  .
the video quality is very good too  .
some of the reviews i've seen are a little critical of the video , i'm watching the tivo in my house  .
how cool is that  .
this may be a whole new idea for starbucks , latte and tv (sling are you listening  .
i bought a slingbox and hooked it up to my home network via a wireless bridge  .
and love it  .
it is easy to hook up , i get beautiful sound and picture from my  .
cable at home while at work or on the road  .
its a great product you can get  .
more details on this website  .
a href   http  //www  .
mobilephones    info  .
com/slingbox  .
htm  .
http  //www  .
mobilephones    info  .
com/slingbox  .
htm /a  .
great item  .
i have had my sling box since last summer  .
i is able to cancel my cable subscription at my office and just use the sling to see news or anything else  .
it has allready paid for itself  .
if possible sling should look into having a built in tunner chip for controls  .
the ir plug can get bumped out of place and leave you without control .
the sling box is a great little device  .
i normally keep my laptop bedside for those sleepless nights  .
now i can watch t  .
via my tivo without dragging myself to the next room or purchasing an addtional t  .
for my already cramped bedroom  .
