i read a lot of reviews and did a ton of research on gps's  .
i immediately hooked it up to my computer via usb cable and downloaded the latest update on the software  .
it could not have been easier  .
i'm truly a fan of this brand and model  .
i had had magelan gps purchased in costco , which is absolute waste i got my 360 for christmas  .
have been happy ever since  .
i travel for my business all over the country  .
so far , nuivi never let me down even once  .
smart , versatile , light , comfortable  .
just a pleasure to have i am a critic by nature , but this gps is excellent .
i've had my handy dandy nuvi 360 for 2 days and i have to say i love this product i'm pretty picky over electronic purchases and i only decided recently to take this plunge and wow i'm glad i purchased this one i is on    line 2 days researching gps units and wanted something under $500  .
00 this particular nuvi has the bluetooth and when you drive as many miles as i do i wanted something hands    free  .
it works great  .
iam so impressed with the sound and am told it sounds better thru the mic on the nuvi than the phone itself  .
the menu's are easy to use and its very accurate  .
i updated it last nite thru my laptop and it is so simple , i is expecting a mess of programs i would have to try and figure out how to do what but it was not , then i even downloaded different cars for the display car which i thought is awesome  .
nuvi has it goin on  .
i'm totally impressed  .
i'm getting ready to drive from here in mt to wv and i'll update on the performance when i get back .
i travel extensively and this new tool (xmas present) is the best thing i have ever had  .
it not only gets me to where i want to go but finds my gas , food and places i need to go and then you can call them if you wish with a push of a button (if you have bluetooth phone)  .
i can not wait to go over seas to try the translator service and converter  .
i will never travel again without it  .
recommend this to anyone , its bluetooth feature is awesome  .
bought it for my 17 year old son and he had it up and running in a ny second  .
we were blown away with the blue tooth interface , especially the display of his phone list  .
very clear display  .
i drive into very remote logging roads in se oklahoma to take nature photos and all those dirt trails were displayed  .
that really made me happy  .
everything worked as promised so well done gary and minh (garmin) .
after doing a lot of research , i decided on the nuvi 360 over everything else remotely in this price range  .
it is ready to go out of the box  .
i'm one of those guys who enjoy reading the manual , but after a few pages it became very clear that the manual is unnecessary  .
no instruction is needed to get this baby on the road and you headed in the right direction the day i got it , my wife , friends and i hit the road for a 3 hour trip to make a concert at night  .
i took no backup directions and relied entirely on the nuvi to get us to a place we had never been before  .
the 360 took us right to the front door  .
i is relieved and excited at the same time  .
the size is perfect  .
it looks compact and neat on the dash and it is not visually intrusive for the driver  .
the colors and back light is bright  .
the night time mode and the ability to dim at a user determined time is nice  .
the nuvi is easy to place in and remove from the included window mount , which i highly recommend that you do considering that this little fellow would look mighty attractive sitting in the window to passing thieves the most impressive thing so far is the poi feature  .
the list is extensive and includes food , gas , lodging and even schools  .
my wife is in education and travels all over the state to different schools so this is perfect for her  .
on the way to the concert we all wanted to stop and eat  .
my wife , who is not necessarily technologically savvy , is able to navigate the menus and pull up a list of fast food restaurants  .
we found a chick    fil    a that everyone wanted and set it as a via point  .
my friends were amazed and are now considering getting one there are a lot of other features that are both useful and fun , too many for me to go over  .
ill just say that this device is as advertised and then some  .
i highly recommend this to anyone looking to get a portable nav system .
i took it to europe and bought sd card maps for germany and turkey , worked perfectly with the sd card available from a turkish company having street level guidance even in out of the way cities  .
bluetooth useful for hands free driving in the car , mp3 and audiobook compatible  .
2 gig internal memory which handles 2009 na maps and a few audio books  .
i have one sd card with eurpean maps and a 2nd with audio books and mp3 and its worked great  .
i did get the travel case and a thin plastic screen protector separately .
one of the best ones i have seen for the price  .
highly recommend it to all .
don't want to repeat about all the great stuff that's already being said about this gem the cons maybe more of an interest to some bluetooth connection to my phones (motorola e815 and krzr)works great once setup , however , once the gps is turned off and back on , does not seem to automatically reconnect to my phone (s) , i need to rescan , find device and reconnect , etc mp3 player    works and sounds amazing  .
problem tho is that you can either play one selected song or play all songs  .
no option to select few songs or create a playlist  .
(if you know a way , please let me know)  .
last problem although not such big deal no qwerty keyboard option find it hard to type fast i paid $289 for this (with an instant rebate of $100)  .
it's the best price you will find in canada (costco  .
ca)  .
get this device , you will not be disappointed cheers and happy driving .
this is my first gps unit  .
overall im extremely satisfied w/ purchase  .
there are a few things that garmin can improve on ie  saving phone# there are no ( ) or    key  .
ive read that it can be done but you need to pull the file onto pc then convert and put back into the unit  .
seems silly a simple function  when saving address and you want to enter phone# you have to go back to favorites list and edit from there  ne one noticed that when you save a locate and view the map there seems to be 2 names on top of each other  editing names/number/info , there is no backspacing  .
you can only delete 1 character at a time or hold down to delete entire these are minor issue that i hope garmin can fix with their updates  .
other than that is unit is perfect for me  .
size , portability , and user friendly is what i like .
waited for a great price , and got one at costco for $ 250  .
00 love how the docking on the windshield works  .
the hard wire connects to the docking station  .
so you do not have to  .
disconnect the unit from the gps every time you bring it with you  .
taking it on and off the windshield mount is very easy i looked up my phone on the garmin site , to see if it was  .
compatible with the bluetooth  .
i didn't see it listed i called garmin customer service , which is based in the usa  .
i talked with jeff , very pleasant and professional  .
he asked me what my phone model was , and looked it up  .
he said he thought it would work  .
he asked if i wanted to link it up , while i is talking with him  .
of course i said yes  .
one minute later my phone is talking with my 360 nuvi  .
he then put me on hold , called me with his own cell phone , and it worked great  .
he stated that all the phones have not been tested , but they had over 325 phones that  .
worked with the nuvi  .
mine will not be fully functional ,  .
but it does what it's intended to do , hands free calling and receiving  .
my phone book did not copy over his suggestion is to take your nuvi to the phone store and test the link right there everything so far has worked perfect  .
love the screen , size ,  .
and especially , the customer service  .
many of the magellan people are upset when they call customer service , they cannot understand what they are saying , because there talking to people in india hope this helps  .
i bought this after using quit a few gps navigators  .
i like the nuvi 360 much more  .
it's super quick loading new directions or when you go of course  .
not like tom tom or magellan  .
i put it on my motorcycle and cruised around in my new state with no fear of getting loss and no need to get my hands off the bars because i can just set it cruise and it lets me know how far i'm from home , mph , avg mph , miles in this trip and tons of other stuff  .
finding gas , food , hotel/motel , malls , stores , etc thanks to aaa is my favorite  .
being in a new town it's a must have trying to find the closest grocery store , new job and kids school  .
plus great for hikes  .
i used it to hike through a national park and let me set where i started and helped me make a long circle back  .
nice not to worry that i wo not get lost i got it on amazon for $289 with shipping  .
others that are much bigger and not as fast  .
plus cannot walk around with it or use on a bike or motorcycle , for more or the same price with less capabilities .
i love this product  .
it's packed with features and is so easy to use that when my technically challenged parents saw it they went out and bought one  .
first , just to make it clear , i am not using the mp3 , nor the book reader , or the picture viewer  .
and the dictionary and the calculator/currency converter might be used if we travel to europe , but i seriously doubt it this is a gps navigation unit ; this is why we bought it and this is what is used for  .
and for navigation , as it is a garmin it excells , and this is what is important to us  .
the satellite reception is great  .
the options available while searching destinations are unbelivable , and if you know how to make use of them , you will know what i mean  .
it is small and easy to carry in your bag or even in your pocket  .
you can even hold it in your hand and walk with it (we did it in manhattan 2 weeks ago and we found our way with it) and it is small enough so you will not look like a walking robot the only feature that i considered to be a worthless gimmick and now i have to take my word back is the bluetooth  .
this is an amazing feature  .
the comfort of taking the calls on hands free are just out of this world  .
it works perfect and people on the other side of the line don't even know it  .
if you drive a normal car , and if you use your common sense before you answer the phone , believe me , it works great  .
and being able to call any of the poi's you find during your navigation with a push of a button , it is mindblowing (reserve a room , a table or check for opening hours on the flight) the price for this unit today is 399$ which is really not bad for a gps of this quality  .
it is not much more expensive than the low end nuvi 250 and it is probably the best gps on the market  .
it is true , this unit came to the market in the summer of 2006 , and at the speed the technology is changing today , this is antique stuff , but looking in the garmin line , there is nothing else there better today  .
their new line of nuvi 200 is worthless in my oppinion (see my review on the nuvi 250) , so until they come out with something better , the 350/360 is what you want to buy p  .
just a note on the cons above   we have this unit for month now and it froze on us once  .
it is a bit worrying , because the car is moving on the screen , but we noticed that the touch screen/power button were dead and the unit is not responding  .
i wander what would have happened if we got to a turn   is it going to guide us or not  .
i had to press the reset button in the back and it came back to live and it did not lose any information  .
i have read about these glitches in people's reviews ; i am just surprised this is still happening on a unit that is running in the market for a year  .
we'll wait and see ; maybe we played with it too much while it is navigating  .
for now , we are very happy with this gps .
i have taken four (4) long road trips with my garmin nuvi 360 and it has never gotten me lost nor taken me to the wrong location  .
this is one neat portable device  .
when ever my gas tank gets down to 1/8 of a tank , i search for the closest gas station and the nuvi takes me right to it  .
i have also used the nuvi to search for local restaurants , entertainment , shopping etc  .
i don't know why i waited  .
i cannot imagine taking a trip without it the only reason it does not get a 10 is the bluetooth  .
it works fine and there is no problem discovering my cell or making and receiving calls  .
the problem is the speaker is so small that you cannot hear anything unless you turn off the car stereo and roll up all of the windows  .
there is a headset available that should help with this  .
i'd like to see garmin build in an fm transmitter that allows you to hear everything through the car speakers .
this product is good for anyone who does not want to take days to read the manual  .
it works right out of the box  .
my favorite feature so far is that its bluetooth compatible  .
just sync it up with your phone , (i have a motorola razor v3) and your phonebook transfers to your gps  .
just select the number you ant to call press dial  .
the sound quality is good enough  .
also , the point of interest (poi) feature is really neat  .
just chose a restaurant , store , or anyplace you want to go , and then select dial and you will be connected to the place you want to go  .
good for making reservations , finding store hours , or movie times  .
trust me , im not a computer wiz , and i had no problem getting this to work right away  .
i paid $403 from abes of maine (free shipping , no tax)  .
it got here (ohio) in two days  .
my wife , who is less tech savvy than me , likes mine so much , she wants one for her birthday .
i bought a tomtom device initially , and immediately had problems with the device itself , with their customer support , and overall had to send the unit back for repair (not replacement)  .
i returned the unit and went with the garmin nuvi 370 (i needed europe maps)  .
i loved it immediately  .
it is so much easier to set up , so much easier to use  .
slightly more expensive , but well worth it  .
very user friendly , and fast processor (much faster than my bmw factory gps / navigation  .
) slightly difficult to drag the map but i'm sure i'll get used to it  .
overall , i would get a garmin product in the future (and certainly not a tomtom) .
this is a excellent device  .
i am using this for over 4 months now and have had no problem whatsoever  .
acquiring satellites is fast , directions are fairly accurate and the unit software has never crashed i have never used the picture viewer inside it and so i cannot comment on it but i wish the mp3 player had more features and it is m ore easily accessible from the main navigation screen but these two features are fairly insignificant for me  .
i use it primarily for navigation the mount sometimes falls off the front windshield but it is still better than the one i had for a previous garmin .
this thing is a lifesaver for me  .
i moved to the dc area a few months ago , and every outing to a new locale is a huge huge ordeal  .
anyone who knows dc knows how confusing it can be  .
this little device has solved that problem for me in one fell swoop  .
i've had it for one day and i don't know how i ever lived without it it's true that it doesn't work all that great as a music player  .
there's not a ton of space , no playlist feature , not even a shuffle feature  .
what it does do that is clevery is pause the music to announce turns and exits , then play the music again after the announcement  .
i have an aux line in to my car speakers , and it sounds decent  .
it's so easy to add and remove music since it mounts as a regular harddrive , so the lack of space and or playlist is not a big deal if you just change up a bunch of songs  .
i just think of the music as a bonus i had a little trouble with the hands free phone feature in the car  .
it is great when i tested it at home , but it could not understand me in the car  .
it might be because the unit is too far away from me to hear very well , and because there is a lot of background noise  .
i'm going to keep trying it and see what happens  .
i'm curious about what happens when you are on the phone , listening to music , and using it to dictate directions all at once .
the garmin nuvi 360 is not the first gps navigational device i have used , but it is without a doubt the best  .
physically , the unit is perfectly sized small enough to be unobtrusive or easily hidden , but with a screen plenty large enough to see and use easily while driving this device is extremely easy to use  .
even gps novices can start using the nuvi 360 right away without even peeking at the instructions (which are helpful when needed)  .
the mounting hardware is excellent , well    made , and easy to use acquisition of satellites is super speedy , maybe 30 seconds tops definitely faster than any other car gps system i have used  .
once acquired , the signal is strong i have never yet lost a signal , even while driving through tunnels or thickly wooded areas or through the streets of chicago and new york city , surrounded by skyscrapers (even without the waas on) the directions have been flawless , the maps are very easy to see and read , and the database of poi (points of interest) is pretty good , plus you can manually add more i would give the bluetooth functionality about a b+  .
sometimes i have a tricky time getting the nuvi to pair with my phone , but once they are paired , the bt works very well and , again , is very easy to use  .
i have not used the mp3 player except to play a couple of the sample pre    loaded songs  .
the sound quality from the small speakers is inadequate for music listening and there is no fm transmitter , so the nuvi will definitely not replace an i    pod or mp3 player for those who want even decent sound quality  .
the jpeg    viewer is nothing special certainly not one of the nuvi's strengths overall , this product is unsurpassed in the gps market right now  .
i cannot imagine purchasing a gps device other than the nuvi 360 , unless you are looking to spend less money (this is still a $400 to $500 gadget) or , in the other direction , you want to spend more on a larger device with a wider screen , in which case the nuvi 660 is what you're looking for .
i have had my nuvi 360 for a week now and it is great  .
it has everything a great gps system is suppose to have .
if you guys are in sales , this thing is a beast  .
i recently bought the blackberry curve and combined with the nuvi 360 , they are a force to be reckon with the bluetooth links up flawlessly and the speakerphone is very loud and clear  .
i don't know why it took me so long to buy this  .
if you are a road warrior like me , buy the 360 and the curve and you wo not regret it  .
what a piece of equipment  .
so easy to use  .
the voice commands are generally clear and understandable  .
i found that i had to talk myself into actually believing what the garmin 360 is telling me and one time i decided that i knew better  .
not  .
no problem though the friendly voice informed me the it would recalculate  .
men are renowned for never asking for directions and then getting lost  .
with this gps    i'll be one of those that never has to ask and never gets lost .
in short it is the best in the market as far as i could review and use .
i bought this to use when traveling via rental car , and i figured the bluetooth hands free phone would never work in my loud truck , but it works fine  .
very simple to operate  .
the power cable can plug into the windshield mount    making it effectively a docking station when power is removed (verhicle turned off) it prompts you to switch to battery power , which serves as a reminder to put it in your shirt pocket (it will fit w/no problem) or throw it in the glove compartment it took a free upgrade of my verizon treo's os (1  .
05) to get the poi dialing and speedials to work , but well worth the trouble the text    to    speech makes looking at the 3  .
5 screen optional  .
i mount next to rear view mirror so it is safely visible  .
very portable , very convenient .
i never thought something so small could be so much fun to use and easy to use  .
the nuvi finds most addresses i put in and there is no second guessing  .
i just press go and i let the nuvi guide me all over long island  .
someone said it's the best thing next to an ipod and being a huge ipod user i agree  .
it's like my amex card , i do not leave home without it it may be a little pricey , but worth every penny and it's portable so off to europe it goes unlike the gps that comes preinstalled in your auto try it you'll like it , i assure you .
i did extensive research before i purchased the n�vi 360  .
i is a little concerned about the size of the screen , but when i received it , it is much better than i thought  .
it took about 5 minutes to get it set    up and running  .
the suction cup for the glass is quite strong  .
i love the thin    ness of the unit  .
cannot wait to use it throughout italy this summer  .
the price is just right  .
i would have bought the n�vi 660 , but did not really want to spend that much  .
this is the perfect solution .
this is a wonderful upgrade to my previous unit  .
very compact , very light , long battery life  .
despite reviews saying it should have a manual volume control , that is very minor  .
it is nice having the bluetooth but i do realize now i have very little use for that feature and i do wish i bought the 350 instead  .
my only real negative is the voice directions , unlike my other unit , seem to call the next turn until you are just up to it and it is too late to make the turn so you do have to be careful and memorize the next street or keep watch on the screen  .
oh , and unless i misread the instructions , there should be a dedicated touch key allowing you to go immediately back to the active map  .
if you are elsewhere on the unit , especially if you are several layers deep seaching for an address , you have to keep hitting backspace to the top to view your map .
i did a great deal of on    line and word of mouth research on all things portable gps for several weeks before deciding on the nuvi 360  .
i purchased this particular one because it had all of the features i is looking for  .
i had just traded in my car for another and lost the installed version of a navigation system from jeep  .
i really liked that one and i did not think i could find a portable one that would have been comparable  .
well , i is very wrong  .
the nuvi 360 has all i expected and more  .
the only downside is the cost  .
i do understand if i waited a few months the cost would go down as most electronics do however , i is unwilling to wait  .
overall , this is a great product that is very easy to use .
this is an amazing device  .
it has more features than i imagined  .
my bluetooth phone connected with no instruction , almost surprised me when it rang  .
everyone says my voice is much clearer than when i used a bluetooth earpiece  .
the sd card has also been very helpful  .
no regrets , except i should have bought it sooner  .
we love our garmin  .
it is easy to add our addresses , the instructions were easy , it's also easy to update files from the computer  .
our 12yr old can do it all  .
for rural areas where there are no address , it's easy to set the location as an adress .
wow , just got this yesterday and i'm very impressed with the nuvi 360  .
for a guy that has no sense of direction this thing rocks  .
once locked on it talks you through your destination and even if you make a wrong turn the unit recalculates and gets you back on track  .
includes mp3 player , language guide , audio book player , picture viewer , world clock , currency converter and calculator  .
lots of other fun features too  .
if i could only own one gadget this would be it  .
the garmin nuvi 360 is expensive , but i'll save a ton on gas as i'll never get lost again .
here's the deal , i have researched every gps device out there and i have read just about every review and spoken with seven of my friends who own everything from a tom tom to a nuvi  .
when it come to the nuvi 360    you cannot go wrong  .
the device is well made and loads of fun  .
by now you have read many reviews and you know all about the great features  .
one word of caution  .
i is having trouble picking up satellite connections for the first two weeks and i is getting rather frustrated  .
it is taking about three to five minutes or longer to acquire a signal and that is just unacceptable  .
i therefore contacted garmin and that problem has since been resolved you see , the software on many of the nuvi 360s out there is already out    dated by the time you buy it  .
as of the time of this write    up (12/15/06) , you should be using software version 3  .
30 on your nuvi 360 so how do you know you can check which software is on your nuvi 360 by (1) turning on your device , (2) pressing on the tools icon which looks like a wrench located on the right side of the screen , (3) pressing the system icon , and (4) pressing the about button located on the bottom of the screen if you do not have version 3  .
30 (or better at some point in the future) then you must connect your garmin to your computer via the usb cable and log on to garmin's website to download the latest software (which is free) there are quite a few updates so be patient  .
it took about 20 minutes to upgrade my system on a cable modem connection one more very important thing to be aware of for the best reception , you want to keep the antenna at a 90 degree angle  .
that means you should only open it half way  .
this will increase the surface area and allow you to pick up a satellite feed much faster and with much more signal strength okay , one last thing the nuvi 360 offers waas technology  .
so what does that mean  .
it means that the nuvi 360 will constantly search for the best satellite signal out there and give you better accuracy then the tom tom (only if you have the waas option turned on)  .
so , that begs the question   why not always have it turned on  .
the answer is   battery life  .
if you have it turned on , just be sure that you are connected to an external power supply (i  .
your car) because the uses a lot of power since it is constantly searching for optimal signals  .
to turn the waas option on , just follow the instructions i gave you above in steps 1 through 3 and then press the waas option at the top of the screen all in all , this is a fantastic gp device and definitely worth buying  .
shop carefully because prices vary widely  .
i bought mine over the internet from a reputable source and saved $275 over the retail stores  .
as of 12/15/06 you should not be paying more than $575 (and the price is now coming down even further because garmin has introduced a widescreen version   nuvi 660) in any event  .
check out the prices on cnet  .
com and find out who is offering it at competitive prices  .
i know this is a long review , but i hope this helps happy holidays  .
i just got my nuvi 360  .
this is my second gps  .
my last gps is a lowrance iway 350c and it is a piece of crap (freezes often , major signal lag , doesn't know where im at half of the time , i can list more )  .
good thing i bought it at costco and got my money back ($450 credit) got this nuvi for $550 on sale at costco , i paid only $100 difference  .
that's the beauty of costco , if u don't like your product , you can return any time , i mean any time  .
anyway back to my impression of the nuvi 360  .
here's my impression    .
obvious impression    .
signal capture is fast  .
directions are acurate , reading all the street names  .
super fast route re    calculation  .
stuff you might not know about nuvi 360 that do not cover from reviewers    .
plays mp3z , playlist  .
scan mp3z track but silent when u scan it  .
will automatically pause the music when announcing directions , then continue with the music again  .
if you do a route calculation while the mp3 is playing , you music will lag and skip possibly because the gps processor cannot handle multi    tasking  .
the audio out from the gps is a plus when you have an audio in on your car stereo input  .
you can listen to your music , make phone calls , and voice dial through your car stereo speaker so far i'm very happy with the garmin nuvi 360 , and there's reason why you pay so much  .
you get what you pay for  .
i learned my lesson .
great unit with very easy to use interface , very large poi database , bluetooth comes in handy when someone calls or you want to call a poi in the unit  .
mp3 great but it would be nice to have an fm transmittor built in highly recommended .
so far , i love this gadget  .
it's smaller than i imagined , but it's still very useable  .
it showed up fully charged (  .
) and i is up and running in just a couple minutes  .
i used the usb to connect it to my pc and downloaded a significant update without a hitch the bluetooth works well , it works in varying conditions (sitting below my radio in the ashtray , it worked fine) , and it responds quickly when you fail to pay attention to directions  .
the text to speech is very understandable , although i haven't tried all of the voices i think the only downside is that unless you need the bluetooth , and even if you do want handsfree phoning , this is a hefty premium to pay for some features of potentially limtied use       features like mp3 player , audible book player , traffic navigation and even the bluetooth handsfree without those , yuo could probably get a comparable       although heftier garmin c550 for $300 less  .
and that $300 would more than pay for a bluetooth handsfree device and even a ipod nano  .
the traffic feature , from what i've read elsewhere , is a little immature right now  .
it has a bad tendency to detect traffic jams too late to allow you to choose an alternate route , or hols old traffic jams long after they've cleared  .
i also do not think the nuvi does any kind of smart detouring without you asking it to all in all , i like it so far  .
more later if that opinion changes .
i would rate this product a perfect 10 except for the sound quality  .
not bad but could be improved a little  .
i've tried it walking around downtown manhattan and through northern nj and it has been flawless  .
great features  .
one thing i wish it did have (and it may) is remaining miles to destination  .
this is my first navigation system , but could not imagine one being significantly better at any price than this one  .
i bought at costco  .
com for $650 with tax and shipping  .
cheaper places to get it , but costco is great with returns  .
i will definitely not be returning this .
i just bought the 360 after doing a lot of research  .
i must say , i am totally impressed with this device so far  .
it took 3 seconds to pair with my cell , my pda and my computer  .
made voice activated phone calls with any issues  .
the nav aspect works with out any flaws and so far i have been locking instantly  .
other than the size of the display , i do not think that this unit lacks any thing bottom line , strongly recommend .
i've had the nuvi 360 for 3 days now  .
this is my first gps , but i read a lot of gps reviews including cnet's and consumer reports  .
i'd settled on buying a nuvi 350 until finding out about the 360's bluetooth uses  .
i do a lot of driving for work , and the 360 so far has worked great in mapping out directions , clear easy to read display , and clear spoken directions from jill my 360's chosen voice  .
i love the compact size and that the nuvi can be used as a handheld device  .
also love that garmin provides all the needed wires for charging the nuvi by ac , car lighter , or usb connection to computer  .
i have not yet downloaded map updates , as i have not needed to yet  .
i had the 360 working within 20 minutes , and i is surprised at how easy it is to attach to my car's windshield    took less than 5 minutes to set up the windshield mount  .
also love that the 360 can run on battery power and avoid all the wires while driving  .
i will have to see how long i'm avearaging in battery time per charge all in all , i am satisfied with the purchase thus far , i may post again after having the 360 for awhile  .
my only after purchase regret    is i wish the 360 came with a built in fm receiver  .
i've read the nuvi 660 has one , but looks like it averages at least $100  .
00 more .
this unit is all i'll ever need in a gps device  .
setup is a breeze as the battery is fully charges right out of the box  .
it's very accurate and pretty neat watching myself drive down the road  .
the screen , while very bright , washes out in intense afternoon sun  .
the turn by turn directions are right on and bluetooth is easy to set up for my bb 7290 and moto q  .
it works very well as i have had a number of calls placed thru it  .
it's small footprint does not interfere with my driving view yet the screen is large enough for me to see what is going on  .
i also purchased the traffic antenna which gives me updates on hot spots in the dc area  .
i got it at comp u plus for a little over $600 + shipping  .
updates are easy as it can connect to the pc and get web updates  .
it's kind of peculiar that it has to use it's own usb cable to work  .
i tried using the same one my digital camera uses and the pc would not see it  .
once i changed cables , it came right up  .
this is a sweet little unit and well worth a good look at .
i have been using the nuvi 360 for a little over 2 weeks now and it has met all and exceeded most of my expectations  .
it locks onto satalite signals in 5    10 seconds and i have yet to have it lose the signal while driving  .
the routes are accurate and the text    to    speach voice guidance is clear  .
you barely have to look at the screen at all because the voice prompts call out the distance to the next turn as well as the street name the nuvi 360 has a huge points of interest database and it has found every hotel , restaurant , store , post office , etc that i have searched for  .
the bluetooth feature works great and you can dial the number of any poi simply by touching the screen  .
setting up the bluetooth with my cell phone (motorola razor v3 from cingular) took less than 5 minutes  .
it has worked great with the exception of the fact that in order to hear the caller well in a moving car , the volume usually needs to be at it's maximum and the sound quality at that setting is not perfect i have also purchased the antenna for reciving live traffic and construction information (which includes a 15 month subscription to the service) and that too has performed well  .
it alerts you to traffic jams on your route and automatically re    routes around the slow moving traffic  .
it only works in major metropolitan areas but has been a welcome feature for me while driving the i    95 corridor between new york city and washington d  .
c the only downfalls that i have seen so far are the nuvi 360's price and the fact that the antenna for reciving real time traffic and construction info is not included  .
at it's suggested retail of $899  .
99 , it is one of the most expensive units on the market and you would think that garmin could include the antenna  .
if you do some searching online , you should be able to find the 360 in the mid $700's , from an authorized garmin dealer  .
still not cheap , but i would have to say that so far it has lived up to my expectations .
i just reurned from a trip with my nuvi and must say that it exceeded my expectations  .
i bought the nuvi 360 online for under $700  .
there is no reason for you to pay more right now , just search price online the nuvi arrived and is ready for action right out of the box  .
i turned it on , mounted it in the window suction mount that holds solid as a rock  .
immediately my location appeared and i is ready to punch in my destination  .
within seconds my route is established and i is on my way  .
the voice prompts alone could have taken me where i is going , but the screen also highlighted my route clearly  .
the turns were noted in advance with a voive prompt that named the street as well , very cool  .
there are two voices to choose from , jack or jill  .
others are available if you want different accents , etc  .
there are 8 languages to choose from with the nuvi 360  .
a few awesome features include the bluetooth that syncs to my phone and my phones contact list  .
i can make and recive calls handfree  .
also , if you want to find a place to eat , gas station , golf course , etc  .
just ask nuvi and seconds later an array are choices are available with addresses , phone numbers , and of course directions with the touch of the nuvi's brilliant screen  .
i found a golf course in a flash driving in westerly , rhode island  .
this unit is incredible and a must for travelers or sales people on the road  .
another feature i like is the tracking data that is stored for your trip  .
the unit calculates your time of arrival to the minute and tells you your time driving , time waiting , average speed , max speed and direction  .
included with the item is a home charger , car charger , pouch and usb cable , plus the window mounting device  .
finally the unit has other applications that you can read about on the garmin website that are somewhat useful , but mere throw ins after you consider the primary use of this device is a gps  .
i hope if you are on the fence you take the plunge and buy this as it is well worth the cost  .
also , if bluetooth is not a feature you need you can buy the nuvi 350 for about $100 less .
i purchased this because i wanted a portable gps unit that could slip into a pocket  .
my priority is to have a simple to use gps  .
