this is my second samsung tv  .
this is our first hdtv , and we are extremely pleased with the vivid picture quality  .
the blacks are just superb and colors are very accurate  .
there are a myriad of picture settings to choose from  .
so , feel free to play around with the settings to suit your eyes  .
definitely hook this tv up with a home theater sound system to truly enjoy it  .
other than the picture quality , the tv is extremely thin and looks sleek when put on the wall (of course with a slim wall mount)  .
the only feature i wish for is built    in wireless connectivity  .
i would have given the tv 5 stars , but for the panel that needed to be replaced  .
i do feel that manufacturing defects can occur randomly , and i is unfortunate enough to be a recipient of one  .
i do give credit to samsung to seamlessly arrange for the repairs  .
do not buy samsung tvs until they quit using cheap components (the cheap capacitors)  .
and properly re    vamp their customer support so many people have had capacitor problems that there are instructions on how to replace the capacitors on youtube  .
(no joke  .
all i know is i got a bad product and want it fixed , no more run aroubnds  .
will update when i get another response from samsung  .
no sounds , can not turn off power  .
before you buy any samsung tv do an internet search for samsung tv power supply problems  .
you'll find many complaints about a capacitor issue  .
if nothing else , buy an extended warranty .
samsung has horrible customer service  .
if you have an issue they give you an address to send your complaint  .
this is a great tv , period  .
check out the reviews and take note that of lcd tv's , it's picture quality is often rated the best  .
the fact that it died after 4 months is absolutely unacceptable  .
it's an industry wide known fact that bad batches of capacitors out there exist , are causing products to have shorter than reasonable lifespans  .
more expensive working capacitors can be bought to resolve the problem but companies are too cheap to make the switch and instead just let the consumer take the pain  .
the effect is that consumers do not want to spend money on anything because quality is low , and purchasing something new just means buying problems and agony wake up electronics industry  .
do the right thing  .
locate and destroy these capacitors assuming my broken tv is repaired with new , good quality capacitors , at no expense to me , i still will have missed seeing the olympics on my new tv  .
how does samsung make that up to me  .
taking a deep breath and putting the obvious frustration aside , this tv is great  .
i'm picky , and i have no complaints  .
samsung's back lit led/lcd tvs have always been a site to see for picture quality  .
the have been a brave company , innovating and advancing the entire hdtv industry  .
they give the consumer what they want in terms of performance and features  .
the only feature i would add is a built in 6500k thx callibrated mode that is done at the factory i would buy another samsung in the future if i had proof the capacitor issue is solved  .
i would advise potential buyers of any high end electronic product to consider extended warranties until this industry wide capacitor problem has played out updated  .
on feb 19 , 2010  .
just be an informed consumer  .
read these and make your won decision on this brand of tv http  //www  .
consumeraffairs  .
com/home_electronics/samsung_tv  .
html  .
cheap , is only a led backlight and a lcd display not a true led , quality of sound is horrible with no mid or low whatsoever , would never buy it  .
im waiting for sony real led .
buyer beware of samsung all samsung t  .
v's are plagued by cracking bezel defects , cracked screens and dead pixels  .
if you have any problems with your television even if it is under warranty samsung will not fix it  .
they will send a repair guy out to your house within a couple days of your warranty claim than they will be mia  .
they wo not return your calls or even give you an update on the status of your warranty  .
in my case i have been waiting for 2 months and no one wants to tell me anything  .
if you need more proof check out the better business bureau or the ontario ministry of consumer services samsung is on the buyer beware data base updated  .
on feb 25 , 2010  .
it works for short time then shuts off - maybe i should start reading instead; everything - it doesn't work
True / vibrant colors, deep blacks, crisp images that really "pop"; Mediocre sound for a $4000+ television
Picture is the best I have seen. Bestbuy delivery is perfect. Internet connection vey easy to setup.; Nothing so far.
Nothing, Samsung knows it is selling a defective product yet wont recall it.; Samsungs customer service and issue resolveing are a joke
Beautiful coloration, perfect uniformity, BRIGHT, independent day and night control, deep black levels, customizable Judder/Blur Reduction, LED back-lighting without bright spots, reflective screen creates richer images (previous Aquos was matte),; Really needs calibration out of the box.
Wonderful picture, incredible colors. I would have given 5 stars if Samsung had used good capacitors, and had proper customer support; 1. Terrible customer support!. 2. Cheap components............. 3. .EXTREMELY expensive to fix. 4. CHEAP CAPACITORS................thousands of Samsung TV owners angry about this problem!
PQ is amazing in light or dark room to us. Very thin, and great looking even when off.; Calibration can be a bit intimidating if you are new to highend HDTVs which we are
Blacks rivaling top end Plasma. Bright enough to use in a room with a 4x6 foot skylight and three panel south facing French doors. Picture detail and color saturation are off the scale.; Costly, pedestrian on-board speakers
Impressive black levels, Fairly accurate color reproduction if you take the time to calibrate, Network ready, Fairly smooth motion display. Great sleek design! It also has a decent amount of options to tweak the sound to your liking.; Color saturation begins to fade outside of 45 degrees from 10 feet back. Internet widgets are painfully slow to load. Very expensive compared to some of the other high end competition.
I wear glasses and it is so clear I love it; Longer warranty. Should have waited though for the borderless one.
Crisp, picture. Colors are perfect. The quality of the picture is so good, you actually become part of the scene, you feel like you're there. Sound is awesome as well.; Need plenty of room for the 55" screen. The size can be overwhelming at times. Cost was too high, could get the 46" for $1000 less...
Great pic out of the box. Blows plasma away. Sound okay for regular TV listening. No problems with blooming, patches or capacitors. Just great picture, sometimes too real.; Reflection during daytime. Can ignore after a while unless you think about it then it drives you crazy. Does have "soap opera" pic on some venues. Some like it some don't. Pic washes out on side viewing.
best picture on high def.; according to the user manual burn in is bad.quote(displaying stationary images on screen can cause uneven aging fo led display or burn in. Stationary images should be limited to 5% of the total viewing per week.) Poor pixture on non HD. I have cable.
Deep blacks, extremely vivid colors, bright whites. Reflective screen hasnt bothered me, image is richer than matte screen. Originally wanted a plasma but found the LED puts out more light for a more vivid image, with arresting color and inky blacks.; Cost is high, but this will change with time. LCDs have had more trouble handling motion than plasmas, which bothered me on the A950, but with the separate dejudder and antiblur controls on this tv basically solve the problem
Wow 55" thin; picture quality is bad next to any sony lcd, white looks light blue and background of picture has horrible detail, panel creates a lot of glare and colors are so bright that makes it look fake. 120hz-240hz create ghosting samsung is just not there yt
Largely regarded as the best LED/LCD picture on the market, low power usage, DLNA built into TV. Firmware updates via Internet.; Purchased TV on 10/09, it's now 2/10 and it won't start and has the dreaded repeated clicking noise that is usually indicative of bad Capacitors in the power supply. The capacitor probelm has been a known, recurring, Samsung problem.
I like the fact that it's LED backlit with 240hz and produces great color and deep blacks. If you had an led behind every. pixel, guess what you'd have.? You'd have a Plasma TV.; In Canada it would cost around 6200.00 dollars or so with taxes. My Panasonic TC-P54V10 is just as good or better. and costs about 40% less than the UN55B8500
Loved the fantastic picture quality , great size for the room and wonderful definition.; Worked fine for 6 weeks then lost 1/3 of the screen, lower right. Now it is a dark square. The pixels are bad. The company who sold it will not take it back. Told to call Samsung, they have a problem with the warranty.
Design is very nice not quite as thin as the 8000 or new 7000 but those are edge-lit and suffer from flash lighting. Swivel stand (brushed aluminum) looks great! On screen programing and endless picture adjustments work great. Amazing picture!; TV input locations are atrocious, center bottom would have been a way better choice. The picture can be so good and clear in HD that movies look "FAKE" like the actors look as if they are on a set. This is disturbing and is a little heavy. Widgets!
Deepest blacks, whitest whites and colors make you think that you're in the picture. Ease of operation you may not even need to manual. Even the sound is not all that bad. When you crank up the 6.1 you will know what I mean. No bloom at all. No blurr; Most of the bad points in all of the reviews on at least 4 web sites is the sound of the speakers that come with this TV. Look they are not that bad for generic TV speakers. Great for listing to the news.
