the navigon 2100 gps navigator is an exceptional unit for the money  .
so are poi provided by the zagat survey which include the zagat ratings the unit does not come with a charger for in home use , but it functioned with a usb cable from my nikon camera the suction cup mount is very easy to use and very steady  .
the gps unit mounts and dismounts almost instantly with no difficulty whatever  .
i carried the 2100 in my pocket when not in the car and programmed it on it's battery when not driving  .
i programmed it indoors by being near a window the map data let me down a couple of times  .
navigon uses navtek maps  .
on two occasions the map took me in a circle  .
navigon now offers freshmaps to regularly update map information before i purchased this device i had very low expectations and felt that most of the features listed by gps manufacturers had little value  .
i find that the navigon has just the features that i really need for traveling if i traveled for business i would opt for a more complex gps with a slightly larger screen , fm transmitter and blue tooth , such as the navigon 7100 one feature i noticed which is not documented (that i remember) is that navigation continued after contact with the satellites is lost  .
driving through tunnels under baltimore and hampton harbors did not stop the navigon from displaying my progress before i learned how to use itinerary planning this feature gave me a bit of problem  .
once i started to route based on relatively short way points to prevent routing to the fastest highways the unit did exactly what i wanted  .
i routed to town names  .
when i approached that town , i cancel the way point so that the gps continues on my route without hesitation  .
doing this on my return trip saved me over 2 hours there are optional settings for the types of poi that are displayed  .
there are displays for speed limit and warnings that can be set from 5mph to 20mph over the limit  .
when you drive over this setting the unit starts saying warning  .
i enabled speed , altitude , coordinate display , time to arrive , trip time while the unit also displays distance to the next turn and way point  .
the 2100 has a 3  .
5 display  .
when all the features are turned on , they do seem to crowd the screen a bit i is very impressed by the intelligent logic used to find addresses and poi  .
the unit gives a choice of street first or city first lookups  .
it intelligently displays and reduces the number of choices available from it's map data most of my driving is done at night  .
the unit is flawless  .
i've been lost in hampton , va at night before  .
this time it took me to the front door of the house i is visiting at times i switched to 2d mode  .
i find the 3d mode more pleasing  .
the zoom ratio when the gps shifts modes automatically is adjustable the navigon gave me the most enjoyable long trip that i've taken in many years  .
it kept me updated and on course  .
it far exceeded my expectations and needs .
i is in the market for a simple navigation unit  .
nothing fancy , no bluetooth , call answering , music playing , etc i just wanted navigation after researching the heck out 1/2 a dozen entry    level nav units (i'm an electronics nerd of course) , i opted for the navigon 2100 because of it's form , function , and its unbeatable $119 price tag from staples (special of course) the unit has a very sleek design  .
i is surprised at how clear the graphics were compared to many units in the same price range  .
i've seen many units where you can hardly read the cross    streets because the graphics are so grainy  .
not the case with this unit  .
clear graphics , bright screen , clear text  .
the mounting bracket is a bit clunky for the unit though and i always find myself struggling to get the unit on and off the cradle the routing is not bad either  .
i have not run into any situations where the unit has left me dry the optional lifetime traffic option is also offered at an amazing price  .
you can find it at amazon for less than $50 and it's a lifetime subscription you unlock in the unit  .
this has saved me from being stuck in traffic many times the navigation itself is great  .
the screen has this really neat zoom feature that zooms in when you're going slow and zooms out as you speed up  .
you can of course turn this off  .
the unit has reality view , a pretty neat feature if you're unfamiliar with the freeways/highways in the area  .
this feature will show you exactly which lane to be in to properly merge into when hitting a junction or an exit all    in    all , if you're looking for an entry    level unit without all the bells and whistles , i think this unit is your best bang for the buck .
great gps on sale at staples for 119  .
i took me 3 months to buy this , i first started looking at it on september , when it is advertised on time magazine , is going to buy on black friday , but wife did not want one  .
i bought mine on x'ams i read all reviews , i like doing research before buying something , and my feeling after reading them all (i went through 4 web sites) is that this had a lot of potential and that a lot of users did not really use it before jotting down their thoughts i have used nuvi 350 , and 670 before and i thought they were the best , i is wrong nuvi takes to long to link onto satellites , over 2  10 (twice it took over 20 minutes , i am not kidding) with navigon it has not taken me more than 2  10 (the shortest 1  50) even on a rainy day comparing the 350 against the 2100 (had them both in the car) the 350 showed the same route , same distance  .
the nuvi showed a shorter eta than the navigon , but while driviing the nuvi will go up as far as being user friendly goes , i preffer the navigon , its more like windows , and although the navigon is pretty much standard like the other manufacturers , the navigon is really easy to get used to and faster the reviews that i read daid that the navigon took sometime to show the addresses while typing , that is because it shows the options , narrowing them  .
something that can be construed as a nuisance , but its not the 3d really view is awesome , my wife likes it , now she can drive herself on the instersate without having to call me , and ask me what exit to take  .
i wish i had the 7100 , for bigger view , but its too pricy  .
the speed warning feature is good , i like it the cons   pois , no post offices and no fire departments car mount is good but does not have the ball behind the mount , therefore you can only move side wise and not tilt it .
the navigon 2100 has features that some of the higher priced units do not have  .
the graphics are awesome  .
if you're looking for a good gps unit at a decent price , this unit's for you  .
i received the 2100 as a gift and love it  .
the size is perfect for my smaller car and the screen is amazingly accurate for the size  .
there is one negative review on cnet about not being able to find a town in illinois , but i is able to find it in less than 30 seconds  .
i love it  .
just as nice as my sister's new garmin  .
i love the unit  .
i've never had another gps , so i have no basis of comparison , but this unit is working great for me , espcially for the price ($149 at hh gregg with free traffic)  .
sometimes it gives a round about route , but nothing's perfect  .
i've found if i drive part of the route that i already know and then start navigation , it does a great job getting me there  .
i've tested the rerouting and it gives new instructions before i even make it to the next intersection  .
it picks up the satellites quickly  .
it's a bit harder to get a signal for the traffic system though  .
my biggest complaint is the lack of up to date poi's  .
i could live with the small number of them if they were more up to date  .
places that have been around for years do not even show up  .
i just read geebeess review i dont not know what he is doing but i put in mt prospect il it popped right up  .
this is a great gps .
for the price , it is better than some i tried for twice as much  .
i have run the list of lower priced gps  .
bought several and returned because i couldn't be satisfied  .
then i tried the navigon 2100  .
eureka  .
even have a way to correct tts mis    pronunciation of streets names  .
navigon doesn't tell that part but there is a text file on the sd card mn6\sound\sara_21_tts\lxen    uso for special pronunciation rules that can be extended to correct the way streets names are pronounced  .
it's a little trick with the use of letter keys  .
works great  .
just be careful if you try it  .
do not change any existing entries  .
just add new ones at bottom  .
study carefully to figure out letter combinations to use i have never seen a gps tts that is correctable until now i would recommend navigon to anyone .
i bought this unit for 149 at staples , and for me , i dont think you could find a better value for the money  .
loud , clear , text to voice is great , the display works very well , quite bright  .
the only thing i had to work on is the points of interest  .
after playing with it for a bit though , it works quite well  .
another nice option , is upgradability for access to live traffic reports  .
all the important points to buying a gps unit are here with the navigon 2100 .
this is an awesome unit for the introductory level considering that most introductory level gps units do not offer street names (text to speech) where this navigon 2100 does  .
i is able to buy this for only $150 on black friday and that included lifetime traffic updates    so i'm very happy for the deal that i got pros cons mentioned briefly above highly recommend .
i got this for $99 from staple in black friday  .
i did not expect much for this price and i may return when i ordered it  .
finally , i got the unit 2 days ago and i believe it is as good as navigon and garmin  .
i really like the turn by turn list function  .
i compare it with yahoo map  .
navigon is as good as yahoo direction i had tried lot of gps and returned most of it  .
for this time , i will keep navigon gps for sure .
this device is worth its money no doubt  .
the interface is a lil slow which a lot of people complain about , but once you get used to it , its not that bad  .
i havent experienced route calculations to be slow  .
traffic updates lifetime for $99    thats incredible  .
this has a lot of features which anyone can use if you read the manual  .
they are not very complex  .
i would certainly recommend this to anyone who are directionally challenged like me or want to navigate with ease  .
i purchased the navigaon 2100 at office depot a couple days ago for an amazing $149  .
regular price is $249 but this week office deport is offering a $100 instant rebate  .
i also own the garmin nuvi 680 with blue tooth , photos , mp3s and after using the 2100 for three days , it gives me better route calculation then the 680  .
signal strength is better and rerouting is faster and the unit does not tell you that it is recalculating  .
it just does it  .
i love this feature  .
i do not think you'll be disappointed  .
read the online manual on the navigon web site  .
also reality view is cool and during travel of a planned route you can press the directional arrow to hear the instructions repeated  .
i love it  .
i live in northern virginia and it works great  .
no real problems  .
call navigon support and they will email you a form to complete and return to get free lifetime traffic .
for the price and accuracy it performs well  .
purchase map updates the us maps change all the time never ending road construction in metro areas .
we know it is a pretty simple installation project , but as this mount is a little pricey for what it actually does , we thought we would post a series so readers can better decide if they really want to spring for the proclip system it is versatile and does look better than the typical windshield mounts  .
click on any of the images for a larger version here is the complete series   http  //www  .
rainydaymagazine  .
com/rdm2009/home/june/week3/rdmhomejun1509  .
htm#proclipmount  .
http  //www  .
rainydaymagazine  .
com/rdm2009/home/july/week1/rdmhomejul0209  .
htm#proclipassembly  .
http  //www  .
rainydaymagazine  .
com/rdm2009/home/july/week2/rdmhomejul0609  .
htm#proclipinstallation  .
had a mio , returned it in less than a week  .
kept freezing up  .
pull over , reset , wait , go freeze , apply shampoo , lather rinse repeat  .
mio no go had a magellan  .
dont get a magellan  .
i is so frustrated with it's slow satellite time    you miss your turns because of a 3 second delay  .
i bought this navigon 2100 the day after i shattered my magellan on the street from pure frustration  .
the navigon has a lot of my wish list features that kept making me return the other gps's asks for clarification to duplicate addresses  .
very cool hancock street in boston can be beacon hill , charlestown , dorchester  .
nav 2100 asks you to choose one  .
other gps (mio) just took me towards charlestown  .
if you know boston , charlestown and beacon hill are very different dorchester and beacon hill too  .
hood vs hills usb charger    handy for motorola users   same charger for cell and gps battery life is long  .
i got 3  .
5 hours on it  .
has warning bars as it depletes bad   wont charge and use at the same time but it charges quickly 15minute charge will get you 45run time had i known , i would have bought 3 (brother and mom could use this)  .
if you get it for under $100 (you da man  .
) under $150 is a good deal $200 and youre pushing the envelope of price staples has a 2week return policy  .
test drive it yourself and then decide test ride other ones as well to compare options and what you want in a gps they're not all the same  .
this nav2100 had the set state feature (set to mass for now) can easilly change when i travel)  .
has the predictive text for choosing a street  .
you can choose street , then pick from towns or miami vice versa gives you a quick overview as it calculates (shows a yellow arrow from you towards destination)  .
tells you the name of the street to turn on to best part   tells you to turn 15feet before you hit the turn point so you dont overshoot the turn  .
that is key  .
i killed my magellan because it didnt do that im keeping this one for a long time navigon is my go    to gps company if this one ever dies or i lose it                                                                                                                                                                                                                                                  .
look , you're my best friend , so do not take this the wrong way but , in 20 years if you're still livin' here , comin' over to my house , watchin' the patriots games , workin' construction , i'll f kin' kill ya  .
that's not a threat , that's a fact , i'll fu kin' kill ya .
i is a first time user and really didn't have too much frustration in setting it up  .
the new update helps a lot  .
it seems to recalculate quicker  .
a friend has a garmin and often gets frustrated because it does not say street names or tell you often enough what the execution will be  .
the version with traffic really helps  .
finding alternate routes with the settings can be problematic  .
overall works pretty well , except that it can freeze from time to time , but if you get it install the updates  .
i love this gps  .
it has gotten me everywhere i need to be  .
even amazed how the 3d works  .
i would recommend it .
pretty good device for the price  .
bought it from staples with $10 coupon for $128 including tax  .
works great , should include little more detailed users manual that would make it easy for people who are new to gps  .
overall a pretty good device , would recommend it to anyone .
navigon2100 physical design is good  .
it takes a little bit of time knowing to get use with the unit  .
functionality wise , is excellent  .
tested this unit  .
first test , i followed the direction going to a certain address  .
it perform excellent  .
text to speech instruction is clear and giving enough room before heading up to the next turn  .
it actually announced the real name of the street not just the distance before the turn  .
there is also an indicator on the left hand corner of the unit telling how far before you get to the turn  .
reality view is fantastic considering the price category  .
second test  .
i tried my own route just to test how fast this unit can recalculate the route  .
i performed good again  .
in about 2    3 seconds , the new route is established  .
tried this rerouting 5 times in a row  .
it did well  .
fyi update is also available which improved more of its functionality  .
this is a good buy  .
i am satisfied .
got mine at staples on blackfriday for $99  .
excellent deal  .
works fine , but is a bit slow on bootup to acquire satellite lock , but once locked , its fine all the way through trip interface could be better , and is a bit slow to respond  .
you need patience w/ this device  .
if you're looking for simple routing of any trip , no problem at all , but if you like to push buttons quickly , this is not for you they did come out w/ a rom update just yesterday    v1  .
1 , so it might resolve some of the issues  .
i got free traffic    updates , and it works great  .
i do recommend this product if you can get it at a good price .
bought unit for $99 (black friday special)    view zooms in or out based on your current speed , 2d and 3d views , complex intersections are shown in real life views , recalculates routes fairly quickly , i changed route mode to optimum and routing improved for me  .
unit remembers previous locations so it is easy to create bookmarks  .
map seems to be about 2 years old so an updated map is needed for this unit .
stood in line at 4  30 am on black friday (in freezing weather) to purchase a comparable competitor for $99 (mio c220) , it announced turns but not street names which got confusing eventually i returned it and got the navigon 2100 for $149  .
the graphics are better than anything else out there on the market , and it announces turns and street names  .
do not believe the hype about the big 3    garmin , tom tom , magellan whatever  .
they might have more control over the market and more slection but so far this product is doing excellent for me and i would recommend .
i have used it for couple of days only  .
but is very easy to setup  .
less than 30 seconds for initial startup  .
clear text to speech  .
3d view is great free life time traffic update       wow  .
all this for $99  .
how can you beat it i wish it came with 4  .
3 screen .
overall i think this is a great unit for the price  .
it has some of the features that make other units a lot more expensive  .
like the text to speech spoken street names there is virtually no setup  .
i is ready to go right out of the box  .
for the most part i have left all the factory settings whats i really liked is the price  .
i did get it on black friday for $99 bu ti'd be happy to pay 50 or some more to get the spoken street names  .
it also has free traffic and some traffic alerts  .
oh and the suction cup stics to my window no problem the few things i do not like are 1 the cord is a bit shorter then i like  .
i wish it had about a foot more  .
there is a delay sometimes after you choose something on the screen  .
its a pain if you are trying to type fast but i got used to it pretty quick  .
and last it might be my area under some trees but sometimes its slow to pickup the gps signal if you are looking at 2 units and thsi is the one with the traffic and spoken names pick this one up .
it is very good  .
i used it while driving from atlanta to new jersey and viceversa  .
it showed me good lane guidance , speed limits and a good route planning (i made frequent stops all the way) voice guidance is also very good and it alerts me well in advance (about 2 miles in advance when you travel at good speeds) it is accurate about 100 ft  .
it immediatly recongnizes when you take the exit , but it takes a liitle while to recalculate the route  .
but for $150 (bought from staples) it has got lot of features when compared to other costlier models totally , i recommend it atleast for first time users or budget travellers .
this is a great value gps  .
i got it for $99 at staples on black friday  .
at $150 , it is still a bargain  .
that price included the free traffic updates  .
overall a great simple system that will meet most people's needs  .
most gps units have a lot of unneeded features , raising the price  .
this one has basic features (navig poi) and includes the lifetime traffic updates for free  .
the system is sometimes a little slow to react to inputs but overall does a good job  .
icons are sometimes hard to hit because they are small  .
i use a golf tee as a stylus for quick accurate input  .
screen resolution and size are good  .
i like the 3d view of maps  .
the reality view is also a nice feature  .
will do an automatic recompute of your route when traffic snarls occur  .
way cool  .
overall , a good gps receiver and a great value .
i have had it for about 4 days and i like it  .
yes the garmin and tomtom have more features but you pay for those things  .
i don't want/need a gps unit that plays mp3's and shows pictures  .
i wanted a unit that had text to speach , multi route , and is compact  .
i did not really need traffic updates but if i change my mind i can add it later  .
this unit powers up and acquires the satelite usually close to 1 to 1  .
5 minutes here is my one gripe , the mounting arm to the windshield is hard to get the unit in and out of and the other downside is the power cord is seperate from the mounting thing  .
so everytime you want to take the unit off the windshield you have to take it off the mounting and then unplug it  .
no biggie  .
i like it , great price , great unit  .
i recommend it .
no brainer here to use this gps  .
i bought it as a refurbished on ecost  .
com ($92  .
00)  .
it worked the moment you turn it on but a little slow  .
it frozed on me a couple times but has been working well  .
directions are very accurate  .
pois coulda have been more  .
i pretty much like the 3d view and also the brightness on both day and night view  .
the text to speech sounds a bit robotic but pronounces street names fairly well  .
map updates are not free so i purchased a mapfresh subscription for 3yrs at $52  .
00 the cheapest i could find (reg price is $79 and up)  .
it doesn't come with a wall charger but can be charged with usb cable to your computer or car charger  .
my cousin bought a tomtom that cost more than my gps 2100  .
he likes mine better hehe oh yea one more thing , the address book feature for this gps does not say anything about how many addresses you can save .
on the surface this appears to be a great gps device for the price  .
it has excellent graphics , the reality view is helpful , it has a text    to    speech function (it tells you the name of the street to turn on vice just turn right  .
additionally , you can find an inexpensive traffic subscription online and that is a lifetime subscription this feature is fantastic , even lets you know when minor work is being done on a roadway (although that is obviously a function of whomever is updating the radio info) (caveat   i have updated with the version 1  .
1 software from the navigon website (which is supposed to do away with a lot of the u    turn directions) and my words below reflect this)  .
but , and this is a big but the routing is really screwy  .
the optimum choice gives the best routing , but there appears to be no rhyme or reason to where it wants you to go  .
sometimes it's spot on and other times will have you scratching your head  .
i recently tried to get to a starbucks in williamsburg va  .
i knew where it is and i knew how i would go using my directions , but i had time , so i decided to let the navigon direct me  .
it told me the starbucks is about 4  .
miles away (correct)  .
then i started driving , following the directions implicitly  .
after a little over 3 miles of touring scenic williamsburg it told me i is still 4  .
5 miles away (again correct) again , on a route that i normally use to get home , the navigon tells me to go another way (standard)  .
but once i pass the turn that the navigon wants me to take , instead of re    routing me it tells me to make a u    turn on a major road until i get beyond halfway home  .
only then does it re    route me  .
(as an aside , i have a magellan 3225 that tells me to take the route home that i normally take as the preferred route) there are some hacks on some navigon forums that people swear make the navigation better  .
i have not tried these yet , but then again , should i really have to hack a recently purchased gps device to give me better directions  .
bottom line   for the price this thing has some awesome features , but this is offset by the thought that i may be driving miles out of my way to get somewhere  .
on the bright side the device will get me to my destination eventually , which is what a gps device is supposed to do and if i'm in a strange city i wo not even know it's messing with me i cannot give it more than a 7 .
being a first    time gps user , the 2100 is fine function vs price    wise the editor's review is accurate overall  .
instructions are very sketchy does the reset button reset the software to out    of    the    box mode  .
no answer supplied recalculated routing okay , as i often chose alternate routes as more efficient .
i bought this the other day on sale at staples for $119 (down from a list of $250)  .
compared to the tomtom 3rd addition i used for a week (and is also an introductory model) this one has a slow response as the article nicely describes  .
while it can be used out of the box i uploaded the latest maps off the net and it is a real pain  .
the install instructions told me to check that the version i loaded is v1  .
1 but in reality the version is already up to 6  .
most of my travel is to/from work so this will be used on vacations and trips to see my kids  .
i just do not need all the bells and whistles  .
so this one is a good compromise on function and price  .
i've been using it to/from work to test it out and it's very similiar to the tom tom but it provides more reminders on when to turn which is critical at multiple junction intersections where you need to pick a lane well before the turn  .
but maybe tomtom has fixed this as it is 6 months ago and multiple software updates have likely been made  .
this is a small screen but no worry as it has voice commands and i used the screen only to confirm what it already told me .
i own a 2100t (not bf sale@staples)  .
first off , 2100 vs  .
2100t is  t  includes the traffic subscription here are my thoughts       first off , the unit is small , good    looking with a very effective car mount  .
upon startup , it acquires gps signal quickly  .
it can be protected with pin # against theft  .
the touch    screen can be calibrated  .
reverting to factory    settings are possible coming to more important stuff , one can search for an address using street name first , or city/zip code combination  .
the map included covers the 48 contig  .
states only  .
also , it's feasible to store 500 addresses in favorites for quick retrieval  .
1 good feature is defining a route having multiple points and being able to save the whole route combination itself  .
without gps signal , it's possible to review the route in a map , giving tts and turn    by    turn using  simulation  after putting in the address , and assuming gps signal is active , a turn    by    turn listing can be displayed , where even specific roads can be blocked  .
post blocking , the system can be made to re    route and then use that route for navigation  .
in terms of routing , there's considerable options available  .
fastest route , optimal route , shortest route , scenic route , avoid/allow/forbid tolls , avoid/allow/forbid highways , avoid/allow/forbid ferries , avoid/allow/forbid u    turns , mode for bicycle , car , truck or walking  .
while driving , taping the map it displays a  block  option , which is like  .
5 , 1 , 1  .
5 , 3 , 5 mile sketches , if activated , system auto blocks that sketch in front and tries to re    route alternative route (traffic congesion , etc  .
)    a very handy feature  .
option to switch from 2d/3d at tap of the map  .
however , what the unit does not do (some gps units do it) is detect your speed and if less than normal auto suggest detour options  .
the system display on the map the next turn and the turn    after (if almost immediate)  .
in fact , also if it's situation like  bear immediately left , after right turn  , etc  .
shows both of them , thus it's possible to detect earlier what's coming up  .
good feature  .
in case you missed what is said , tapping the turn icon again causes tts to kick in and repeat in case traffic is activated , which is for life and the charging cable must be plugged in , system shows a small icon on map , if clicked shows all active traffic information  .
again , can be configured to show only traffic relevant to route  .
furthermore , immediate traffic details are displayed on the map itself (radius approx  .
2 miles)  .
system can automatically route you thru alternative routes or can be made manual  .
a very +ve point being the subscription is lifetime , once bought    it's forever active  .
very powerful feature re    routing , in case of missed turns are quick but read issues below tts functionality has a single voice only (lady) and is of good pronounciation  .
nevertheless , there's some peculiarities , which one can get used to  .
generally , states to bear left , or keep to the left/right much earlier , gives clear road    names , very accurate in saying  now , turn right/left  etc  .
if there's multiple turns (city) avoids saying each every road name to avoid confusion  .
the speaker , however is on the low side  .
might have slight difficulty in hearing at high speeds  .
however , the system uniquely provides an important feature called auto volume increase with speed increase  .
very effective  .
in case you're going over speed    limit and you've configured to warn you if over 10 mph , tts does do a  caution  statement  .
the volume is configurable , directly from the map and can be muted too the map itself is highly customizable  .
it's possible to display speed limits , set warning if exceeing limit at city/highway levels and that too at 5 mph , 10 mph , 15 mph above limit settings  .
can show/hide altitude , speed , distance to destination , duration of travel , eta , compass , street    names  .
the display itself is bright (brightness can be configured , both at day/night levels separately) and has separate day/night views  .
note    the unit does not switch to night view automatically  .
the associate time settings are done automatically  .
the 2d zoom provides another important feature    auto    zoom  .
at higher speeds , etc  .
; system auto    zoom to cover more area , etc  .
the amount of zooming itself is configurable  .
there's a button providing further options like browing the map itself (pulling/pushing it up/down , left/right) , tapping a point on the map which showing details about that point and if there's any recorded poi at that point , etc  .
very good and nice  .
manual zooming of the maps is possible  .
however , locking the map    view preventing changes if accidentally tapped , etc  .
is not possible  .
the orientation of the map can be direction of travel (default) or always north the reality    view is very effective  .
it  kicks  in at critical junctures of travel , where there are complex turns involved showing clearly which lane to stick to , etc  .
however , keep in mind it's static and automatically appears  .
once turn is over , switches to map view  .
again the view can be turned completely off coming to pois , it offers a set of pois which can be searched and navigated to , from the main screen  .
there are multiple categories of pois and each almost always have sub    categories  .
the search can be based on  nearby  (if gps signal is active) ,  city  or  nationwide   .
