its awesome  .
i dont miss the backwards compatablity , i got to where i didnt play my old ps 2 games anymore anyways (except downhill domintaion) the ps 3 games are so much better  .
i wish theyd make a downhill domintauion for ps 3  .
anyways , muy old system acted weird , finally traded it in on a new one and couldnt be happier  .
the new one is 1/2 the old ones size almost  .
gameplay is smooth , never choppy  .
playing online multiplayer with the old system is a mess , ive been playing bioshock 2 multiplayer every evening since it came out    no complaints  .
if you are thinking of trading in the old system for a new one , do it  .
then play games like bioshock 1 and 2 on it  .
its amazing  .
this is the best system a person could buy you dot go wrong buying it  .
i play online gaming alot , call of duty as most of you probably played it , its famous , i love watching blu ray on my hdtv  .
to get the very best picture and quality sound all around , need to have hdtv @ 1080p , recomend the 120 hz or 240 hz motion for some games and some blu rays and remember , always use hdmi cable , it gives you the best picture and sound  .
buy ps3 and get yourself the call of duty mw2 and world at war and rent a few flicks , i guerrantied that a husband or wife that cheats wont cheat no more  .
jajaa , its a good product , i rocomend it  .
there are plenty of games you must play in your life that are only available on this system   the thrill ride and top notch production of uncharted 2 , the expansive and creative littlebigplanet and the epic metal gear solid 4    when you need to take a break watch a movie on any format , dvd , blue ray , mp4s from your usb drive , or hook up to youtube all on your hdtv  .
go wash some dishes or chat with friends while your ps3 plays mp3s with higher quality than my macbook does    hook up to psn for tons of free demos , news videos , trailers , themes and more  .
then look into creative game experiences like flower or echodrome  .
rent movies through netflix , or use your ps3 as a phone (like skype) with video chatting through your hdtv    when you are tired and want to go to sleep , give back and help fight cancer by donating your powerful processor to folding proteins with stanford university and sony's life with playstation program    rediscover some classic psone games  .
they seem to be upscaled too  .
everything just looks better going through the ps3  .
if you have an older model play some ps2 games , or pray with me that the rumours of future ps2 and dreamcast (  .
) compatibility is to come i've had my ps3 slim for 2 months now and i am completely sold on the device  .
it is hardly ever off and serves all my needs , even when not staring at the screen  .
i love it and am continuously surprised just how cheap it is when you consider all the things it does  .
highly recommended .
i would love to see a widget/app/software store to extend the usability of sony's most recent gaming platform  .
on the whole , i love my ps3 , and though recently i've been on a love/hate roller coaster with sony about their psp , i am generally pleased with their products , ps3 and tvs are a given .
greatest console i have owned , it does many things other than gaming and  .
it doesnt fail to dissapoint me .
when the playstation 3 came out the processor is ripped on now it is one of the best processor the xbox uses a pc based processor which is clocked at 3  .
2ghz , now sony's (and ibm and toshiba) cell broadband engine is clocked at the same speed  .
now most people think it is a seven core it is only a singel core , but it has 7 spe's  .
now the problem with the cbe it is harder for game developers to program but  .
now lets talk what thoughs spe's do each spe has a duty now the power processor is the one that gives thogh duty to the spe's now game developers can only work with six of them which is plenty of room for developers .
if you only use it for netflix and blue ray its well worth the money  .
but if you use the gaming part then its the best deal out there  .
i think the xbox360 is now clearly overpriced  .
no blue ray , no bluetooth , no integrated wifi  .
if the ps3 is 300  .
00 then the xbox should be 200  .
00 with integrated wifi  .
by the way i am not a xbox hater  .
i think its the best pure gaming console and best online service .
i currently own a ps2 (scph    39001) , an xbox 360 (pro 20gb) , and most recently a ps3 (slim 120 gb)  .
i is ecstatic when i received the ps3 as a holiday 2009 gift  .
i is intending to purchase at the current msrp of $299 , but i think free is an even better price at first glance , it's obviously a game console  .
i purchased uncharted   drake's fortune and uncharted2   among thieves  .
the playstation 3 packs the punch of the cell broadband engine  .
i suggest doing a google search for explain the cell ps3 and click the first link the ps3 has an hdmi 1  .
3a port for high definition gaming  .
not every game on the console will be in 1080p , but every blu    ray movie is in full 1080p  .
blu    ray has been established as the standard format in which it will be taking the place of dvd (like dvd took the place of vhs)  .
every playstation 3 game is stored on a blu    ray disc  .
blu    ray discs have a storage capacity in upwards of 50gb , while dvds can store up to 4  .
7gb  .
benefits of blu    ray are quite obvious (more content , more audio channels , higher definition pixels) the ps3 has a built    in 2  .
5 inch serial ata hdd  .
this is a standard laptop hard drive , and it's upgradable  .
no proprietary hardware needed from sony to do so  .
it doesn't void the warranty either wifi is built    in also  .
this makes it so much easier when the internet connection is located in the room down the hall , and you don't have ethernet cable running across your home  .
no equipment to buy , all you need is your wifi key and an active internet connection the web is also on the ps3  .
you can view full web pages of almost any website on the internet  .
pandora radio is one of my favorites , and i is shocked when i tried to load it on ps3  .
it worked as though i is on my desktop machine  .
facebook and youtube are also honorable mentions that both work on the ps3 web browser media extension is a very valuable feature to me  .
i like having the ability of viewing all my content from my computer on my ps3  .
very handy feature , and free  .
it is a little difficult setting up due to computer issues , but it works like a charm now my only complaint is the lack of ps2 backwards compatibility  .
i really would have loved to pack my old dusty ps2 away , but it's not that big of a problem i also have heard rumor that sony is planning on releasing playstation 2 games for download via the online playstation store  .
psone titles are already available for download  .
keep in mind , you will need a credit/debit/bank account for purchase  .
you can also buy prepaid ps store cards at retail locations like target and walmart in several amounts ($20 , $50 , etc)  .
all in all , i think that ps3 is an amazing product  .
i don't regret acquiring it at all  .
the games are beautiful  .
the blu    ray movies are awesome  .
and the price is not all the bad either  .
the it only does everything advertisements really fit the ps3  .
get one , you wo not regret it at all .
i like it because it does everything  .
its great , better than xbox has lower failure rate than xbox , slim , light , quieter , looks good , good graphics , great games on ps3 , uses less energy than original ps3 , doesnt over heat as much because of less power consumption  .
and size  .
overall i love ps3 slim .
i should start this off by saying my playstation 3 does charge it's controllers whilst the system is on and as such have no idea what the previous cnet review is talking about it also bost's 4 usb ports as opposed to that of the 2 and yes i suppose i should replace the hard disk drive although that'll only cost me around �30 instead of the �150 that the local games shops are asking (and this is infact to loose 2 usb ports (apparently the ability to charge the controllers whilst the system is on) and the choice to install linyx if i so feel fit  .
so what am i paying for  .
it seems to me all im doing is loosing and once again lining sony's pockets  .
dont get me wrong sony havecreated an incredible machine and great value for money if you already own one although the upgrade to me iis nothing but a gimmick and is worse value depending on which version of the ooriginal playstation 3 you own  .
in summary if you dont own a ps3 run to the shops now it will be the best technological decision you'll ever make however if you already own the 'fat' one whats the point  .
i is actually looking for buying a blu ray player when i came across this combo device of blu ray player , wifi connectivity , netflix access and excellent gaming device for comparable price , i did not had any second thought but to buy this immediately and believe me i am more than satisfied with this purchase i usually research a lot before any gadget purchase  .
and am not as happy as this purchase compared all other gadgets at my house i will definitely recommend this to my friends who usually take my advise before purchase of any gadgets .
if ur looking for a blu    ray player go for a sony ps3  .
get more .
th ps3 is the best system if you want to experiance more than just games  .
the ps3 is hands down the best for a one place home entertainment system  .
you can play music , surf the web , play videos from your usb flash drive , and watch blu    ray and dvd's  .
that's only the home entertainment part  .
the games for the ps3 keep getting better and better  .
with the xbox 360 i can only think of three games that intrest me , halo 3 , gears of war 2 , and gta 4   episodes fro liberty city  .
with the ps3 i can think of quite a few , such as metal gear solid 4 , killzone 2 , grand turismo 5 prologue , and uncharted 2   among thieves  .
i'm only listing ones that are out now  .
in the near future , the ps3 will have many more exclusives like agent , grand turismo 5 , la noire , heavy rain , and the agency  .
the ps3 is just begining to see all the power it has to offer while the xbox 360 is about maxed out  .
even if you have no intention of using the ps3 as a blu    ray player or to play high    def games , it still is a better buy than the xbox 360  .
in the words of a sony ad campain , it only does everything  .
awesome game system with great games , excellent blu ray player .
having had an xbox360 for 3 years , moving onto the ps3 is a breath of fresh air  .
the whole experience is much more slick and you can feel and see the quality of the console and the software connectivity of the console is very good , although it has been said that there is a lack of a rear usb port for an external hdd  .
the 1080 full hd experience is the best and much better than the xbox's 720 hd capabilities , especially when i have spent plenty of money on a descent television the ps3 fits in with the room and it's unobtrusive and looks good , it's quiet and you may not even realise it's running  .
when in disc operation , the motors are quiet and the heat output of the unit is relatively low i enjoy streaming legal media from the internet and in the uk , the bbc have a particularly excellent service  .
this capability is built into the ps3 so i have no need to worry about satellite or cable tv subscriptions overall this is a wonderful piece of kit and for whatever faults it may have , it takes the title of king of the consoles  .
good job sony and thank you  .
the ps3 slim is the best console on the market  .
better than the 360 and way better than the wii  .
its smaller and lighter than the original ps3 with to me is a great thing  .
just go out and buy it .
the negative reviews on this site  .
backwards comparability  .
all recent ps3's didn't have it either and to be honest when i first got my phat ps3 it is an issue so i bought a slim ps2 as they where dirt cheap and over the 3 or so years i havnt played it once  .
overheated  .
never  .
weak online experience  .
its free and i haven't had issues over the last 3 years with my old ps3  .
os probs  .
none again over 3 years  .
the blu ray remote has all the dvd options i do not know what ppl are going on about there and its bluetooth too instead of ir , so you dont have to point directly at it at all , now everyone else needs to catch up  .
oh and by less features do you mean not being able to install linux  .
thats the only difference and i mean come on linux  .
get real who uses that  .
like 0  .
5% of ps3 owners  .
and to the ppl saying it has inferior graphics to the xbox , i say   i have both systems and on multi platform games there is little to no difference both have there graphical pros and cons , its personal preference really , and also to those ppl have you seen uncharted 2  .
like actually played it  .
because i have the beta and it is by far the best looking game i have ever seen  .
this is the best gaming console you can buy for your money  .
als serves as a dvd/blue ray player highly suggest getting this over other gaming sytems for sure  .
i still remember when i bought the first 60gb ps3  .
oh boy is it expensive (i think it is a little than 600 bucks)  .
despite the fact of the high price , it is a hell of a machine  .
blu ray rocks  .
now that the ps3 has gotten much cheaper , i think sony knows what they're doing and the ps3 is going to be more kickass  .
the ps3 is mainly intended for intense graphic games and fps's , but it does have a library of family games  .
if you want to play family games , i suggest to just get the wii  .
otherwise , stick to the ps3 or the xbox 360  .
now do not get me wrong , both consoles are amazing  .
each has its own pros and cons  .
but the ps3 is my choice in the end  .
it's true that xbox live is better psn and its gaming library is still bigger , but later on , things will probably change  .
as there are more and more software updates , psn will get better (i assume) and more games will come  .
and even though microsoft is releasing natal , sony also has a motion controller coming out  .
it may not be as hype , but it could end up being better  .
so in the end , if you like a blu ray player combined with a gaming console that has a pretty interface and a great gaming library , this is probably your choice .
great value , unbelievable versatility .
since it has a better price now and it has some more stuff than the 80 gb ps3 and xbox 360 elite it would be a good console to buy .
i called myself an xbox fan boy for the sake of those taking a quick glance wondering if the ps3 slim is worth the money  .
in truth i have always been a little partial to xbox/360 but i have always had all the consoles the ps3 slim is an easy choice for me  .
i doubt i would have bought it just for the high quality exclusive titles it offers ( little big planet , god of war 3 and mgs4 just to name a few of the real big guns drake's fortune is the one i really wanted and i beat it the first few days i had the system  .
great game  .
) but the fact it is also a blue ray player , and one of the best reviewed on the market to boot made this a literal no brainier i is just waiting for the inevitable price cut since buying br movies is not a high priority for me at the current cost , and i already had two 360's to meet my gaming needs  .
i'm really glad my frugality caused me to wait though as i feel the slim is a step up i know that the shine black is really a great looking piece of consumer electronics ascetically speaking , but the system scratches if you blink at it hard  .
i do not care for the matte black appearance as much , but i know it will still look great after a year , where every ps3 i have seen looks like it is dragged across the ground in addition to the look , you get the 120gb hard drive and a (in some cases) quieter and smaller system with no loss of features or power  .
in electronics smaller is usually better , especially when it comes to my crowded home entertainment set up real estate there are a few things i prefer about the 360 over the sony product , but it's pure personal preference and anyone claiming either system is vastly superior should be ignored  .
for me , the ps3 could not be my only gaming console  .
i prefer the xbox live experience (despite having to pay for it compared to the free playstation network) from community to functionality  .
i like the 360 controllers better (with the exception of some fighting games  .
tekken on a 360 controller would have been rough) and i like the interface of the 360 better again though , these things are personal preference  .
comparing the ps3 slim to an xbox 360 elite could be a tough call for the objective buyer the quality is there , the functionality is there , the price is right , and the added benefit of a top rated blue ray player makes this a smart buy for both hard core and somewhat casual gamers  .
it does everything it should , and it does it pretty much perfectly .
a great bargin for the money  .
i plan on upgrading the hard drive and storing all my media .
if you want a console for 299$ , this is the best value  .
on august 29th , i turned 13  .
our family owned a wii , but i began to find 80% of its games boring  .
my little brother has a psp , and i wanted a ps3 so bad  .
when learned of the ps3 slim and its lower price , i knew it is time  .
i sold all my ds games but 1 , 2 wii games , my game cube , and got $130 at gamestop  .
i tallied up the money my mother owed me , and got $170  .
so i bought myself a ps3  .
3 words   features , features , features  .
yes , all 3 are unbelievably abundunt in the ps3  .
high    definition is amazing , and blu    ray is great  .
built in wifi is good , and playstation is cool  .
in terms of games , i have ratchet and clank future   tools of destruction , and it looks and feels amazing  .
bottom line if you are looking for a gaming/multimedia console , the ps3 slim is the way to go .
its a awesome bluray player and a great gaming and media hub for your home theater and a price you cant beat  .
ps3 owns period  .
i will not get into the gamer side of things and instead will explain an area in which the ps3 is very powerful  .
i have been attempting to figure out the best way to copy our couple hundred family dvd's onto a hard drive for some time and play them without physically having to have the kids put them in the dvd player  .
i could have built a home media center on a stand alone computer but did not want to deal with that  .
i tried xbmc but still had some issues  .
all of our it guys at work had the ps3 and told me to go that route  .
after reading on the best approach for this i have ripped our collection of movies with dvdfab 6 and then use handbrake to compress them with h264 compression  .
then i place tthese movies that are now a couple gigs on a usb external hard drive attached to the ps3  .
we can not watch all of the dvd's that we own in perfect reproduction and with dd 5  .
1 audio by just clicking on them  .
when you couple that with the bd player and the built    in wifi it just made a lot of sense to go this route for me since i am not attempting to even get into an argument either way about games i am really stating that this unit is an excellent media center and if you are not using it for that (and have a lot of dvd) you are missing out on the convenience of this option as well as not having a bunch of scratched dvds in regards to the fat vs  .
the slim unit i see no real reason to get the slim unit over the fat other than it is now more affordable  .
the other thing that i would recommend if you buy either the ps3 or the xbox 360 is to purchase them from costo or sams club because if either of them croak you can bring them back no matter how long you have had them  .
the five stars giving is for the ps3 in general because there really is not enough of a difference for someone to go out and get the slim model if they already own the fat model  .
and , the bottom line to me is for the area of media center and not games  .
again , i searched for some time for the best option to put all of our dvd movies on a hard drive and not have to touch them anymore and this fit the bill  .
it is either go this route or have a dedicated computer on to stream them and this made the most sense last thing   when our it guys said to go out and get a ps3 for what i is wanting to do i did not want to spend the money but did  .
looking back it is a great purchase  .
now that the price has come down it is an even better route to go if you are attempting to do what i did .
its awesome easy set up and is a very beautiful system  .
buy buy buy buy  .
for $299 , you get both an excellent gaming system and fantastic blu    ray/dvd playback  .
plus , this is the most reliable hardware currently offered (compare to the 33%+ failure rate on the 360)  .
basically , an ideal combination of price , functionality , and reliability  .
no hidef cables included if you want component cables or hdmi you have to purchase separate , you can get them cheap , hdmi is all digital so you do not have to waste money on those expensive cables  .
also , the ps2 uses the same av multiout connector so if you are using component (red , green , blue , white , blue) you can get that just about anywhere for cheap as well i personally own all 3 systems  .
the ps3 , wii and the 360 the ps3 is my favorite the wii has some neat games but the graphics are a little weak my 1st 360 got the red ring of death 3 times , then my warranty ran out  .
i tried getting it repaired but it is finally dead i have since bought a used one because my son still plays halo with his hockey buddies from time to time , we will see how long that one lasts for a family the free psn is ideal on our xbox360 we have to share a live account because xbox live is $49 per year per person  .
so as a family of 4 gamers there is no way we would pay $200 a year just so we can play our $60 game in mulit    player  .
i have always hated that the buddy list is pretty broken when you have to share 1 account having used both psn and xbox live both work just fine for online play  .
live has slightly better invite system but it just does not work well when you have to share a buddy list so i give the edge to psn for that reason alone the games are spectacular  .
each system has it's exclusives  .
i would call them pretty even there  .
i really love the halo series , but killzone , resistance , warhawk , socom are all great series as well  .
little big planet is a pleasant surprise  .
it is a side scrolling platform game , but the innovative part is that you can create your own levels and the degree of creative freedom is remarkable  .
this makes for unlimited re    playability of this game  .
almost a year later and we still play this game on a regular basis with all 4 of us this is one of the best co    op family games around in my opinion  .
there are people who make levels that are near perfect replicas of mario levels with the price at $299 now this is the best valued system the 360 with harddrive is $299 but there is no built in wireless and then you have to pay $49 a year for xbox live $299 + $99 for wireless + $49 a year really adds up .
frakk bc  .
when i purchased the original 60gb ps3 , one year after launch , it had bc , but not once had i used it to play a ps2 game  .
i sold my ps2 within weeks for me , previous iterations of a franchise title will never be popped back in  .
there's no point not for reminiscing , not for comparing , and not for laughs .
great value at a great price and maybe it will finally make the other makers of the game consoles to finally drop the price of the xbox and the wii .
the new renovated ps3 slim is a focused gaming console hands down without the lenux os or al the other extras this version makes it les confusing .
wii owners have been attracted by the price and simple innovative fun of that console ; however , in today's hd age , the wii is horribly dated  .
now that price difference is a moot issue , sony must immediately make wii    style motion games available and standard in all games , introduce some cheap wii    style games like bowling tennis (maybe through psn download , or even with a firmware release for free)  .
do it right , and sony will win with the casual player , now growing bored with their sd wiis and the failure of wii to scale  .
against xbox360 , it helps those on the fence  .
dedicated gamers may still prefer xb because of xbox live's perceived (premium) superiority and some games like halo and gears of war that appeal disproportionately to dedicated gamers  .
sony should write them off  .
halo/gow are xbox360 only , and there are plenty of great fps for the rest of us  .
incidentally , i would love to have halo ;    ) i am a bungie fan from way back i bought my ps3 a year ago with my sonycard for $299 , now the current price , and felt it worth every penny  .
blu    ray rentals (netflix  .
) are just a no brainer  .
this is the way hd is meant to look  .
; the dvd up conversion is also very nice ; , if not true hd ; cds are upconverted to 192khz on my music system and sound beautiful ; i can stream hulu through dlna (requires playon on a pc)  .
this is why i bought mine  .
games were a bonus  .
for games , they look gorgeous  .
i like that psn is free  .
i have a life and limited playtime ; i would never pay for xbox live myself  .
but i am not a dedicated gamer who would be willing to pay premium annual fees  .
but my son plays the incomparable little big planet as well as lego star wars and indiana jones and loves it  .
i sometimes play fps shooters , and ratchet clank , and free demos , and with my son on his games  .
my wife would love wii    style games with a good motion controller (the current ps3 one sucks)  .
what's the hold up , sony  .
it's a niche of games , true , but why dismiss some simple fun games  .
hurry up on that for the $299 i spent on my ps3 a year ago , i feel of that , i spent just $150 for an excellent bd player with excellent dvd upconversion and dlna streaming       and upgradeable at that  .
a bargain  .
the remaining $150 replaced my ps1 with a hd compatible model and allowed me to leapfrog to the next generation of hd , web    enabled multiplayer games  .
a better deal than wii and xbox by far in my book  .
it's a brilliant machine at last , others can get the same bargain i've had for over a year  .
and yes , bd 2  .
0 is most definitely worth $150       the naysayers either have not yet gone 1080p hd , have tiny hd screens , are blind , irrationally hate sony , are bitter that hd dvd lost the hd disc wars , or oblivious that good streaming hd (supposedly already made bd obsolete) is a long way off in the united states because of our absolutely crap broadband infrastructure incidentally , i stream hd sometimes on my tivo hd from netflix  .
it is quite a convenience but it is no bd  .
highly compressed , even worse than cable hd , which is also crap  .
while i love netflix streaming , it is a different animal than bd even when it is hd  .
i am ok with streaming chick flicks but watch sci fi blockbusters on bd (rental) exclusively  .
it is completely worth the wait  .
superior visuals and sound is the point of hd afterall , and nothing beats bd for that updated  .
on aug 21 , 2009  .
lucky folks who get the great price and the bigger harddrive .
this is perfect it will fit easily in my entertainment center and i get great gaming consule , excellent upscaling dvd player , blueray , and with wifi i dont need a seperate home entertainment pc and with a wireless keyboard a really decent living room internet experience  .
i so there on sept 1 lol  .
updated  .
on aug 22 , 2009  .
let's hope they include b/c in a later firmware update for those who do not have the chump    change .
the ps3 is amazing , no doubt about it  .
it has the best blu    ray player on the planet built in , with dolby digital tru    hd decoding built in  .
all its games are in glorious hd , cough cough unlike the wii  .
the exclusives on this console are way better than the ones on the xbox 360 , i mean come on  .
halo is getting old  .
so if u want an amazing blu    ray player and a gaming console , then this is the system for you  .
i mean its only 300 bucks  .
the wii is 250 bucks and u get a stupid system with lame games and bad graphics and it cant play movies  .
it has awesome exclusives like metal gear solid 4 , resistance 2 , killzone 2 , little big planet , god of war 3 , uncharted 2 , gran turismo 5 , ratchet clank future   tools of destruction , ratchet clank   a crack in time , infamous , wipeout hd , motorstorm   pacific rift and many other great games  .
so i highly recommend this system to everyone .
this product is clearly the best choice if you're into hi    def entertainment  .
you will spend more money buying the 360 whether it's the arcade , pro , or elite  .
i have a 360 and it pales in what the ps3 offers  .
microsoft do have netflix and better online community and that's it  .
the ps3 is a solid console which offers more for your money than any other console  .
as of right now the ps3 offers a more robust exclusive lineup than microsoft or nintendo  .
more titles are beginning to show up on the ps3 including games that were once exclusives to microsoft  .
athough the online community may not be great , it is free of charge to you and is quickly catching up to microsoft service .
the ps3 has come a long way since it's launch  .
not only has the price dropped yb a whopping $300 (to now only $299) , but the library of quality games that it offers has also grown drastically  .
i would even argue that with the exception of mass effect , halo3 , and gears of war , the ps3 has a better gaming library than its competitors with games like killzone2 , metal gear solid 4 , uncharted 1 2 , littlebigplanet , gran turismo 5 , god of war 3 , call of duty 4 , modern warfare 2 , gta4 , fallout3 , bioshock , etc  .
you simply cannot go wrong even the playstation store has improved drastically  .
even though it is still a bit behind xbox live in terms of the quality of service it offers , it's definitely catching up  .
and best of all , it's free  .
add to that the fact that it comes packed with a built in wi    fi adapter (you'll have to shell out another $100 to buy that separately on competing consoles) , a fantastic build in blu    ray player , and a whopping 120gb hdd (which by the way is upgradable) , the ps3 is a must    buy system for any gamer and tech enthusiast if you were on the fence about buying a ps3 , now you have absolutely no excuse to hold back  .
especially give the new low price point of $299 .
it plays blueray so it good  .
the slim version is super cool i already own the fat version planning to buy the new version as well being the owner of xbox 360 and ps3 i can honestly tell you that ps3 has a much better value for money than xbox anyday even with with the unreduced cost ($399) now with the reduced cost you cannot really beat this deal here is my comparison between xbox 360 and ps3 for users who are still contemplating which console to buy 1  .
failure rate in xbox 360 is 35%  .
my xbox 360 has failed on me twice already  .
on the other hand , my ps3 runs like rock and has no problems what so ever 2  .
the titles on the ps3 are way better than xbox 360  .
except for halo and gears of war the xbox has nothing 3  .
the ps3 can play any videos plug in ur external hard drive in the usb port and you are set it pretty much plays all formats for the xbox to do this you need to leave your pc on and it cannot play all videos 4  .
the ps3 is super silent when it runs you can hear the noise from xbox 10 feet away 5  .
the online gaming is free in ps3 you have to shell out 40 bucks every year in xbox 6  .
the ps3 is the best blue ray player in the market 7  .
the wifi and the play and charge kit is built in ps3 you have to shell out over a 100 bucks to have this in xbox 8  .
the power brick for the xbox 360 is very clunky the power brick is built in for ps3 hope this helps .
have not been able to use one yet but i plan on purchasing one  .
gave my xbox , which i bought only because the sony playstation is so expensive , to my son and i miss it (i hope there's a steering wheel console available for this)  .
