first of all , do not get the silver colored camera go for a colored model  .
this is an easy to carry camera for travelers that dont want the big slr bag pictures are excellent except those requiring a long range flash  .
a hand held slave flash will solve that problem  .
much better then the canon powershot sd790 is i had before .
nothing to dislike  .
overall , this is one of the best cameras for the price  .
it has more features than the elph , and at a cheaper price  .
the price + sony + features   best camera .
lovely over all .
the camera is a amazing camera if you want to get one that can catch amazing images , although it is not sony's proclaimed top of the line one (w300) it has better zoom , records high def video , has all of the same scene features , it just lacks that titanium coating that protects it from scratches , although honestly i have never ever gotten a scratch on any one of my sony cybershot cameras , i had a older w80 camera and it broke after i hit on the wall and floor when i fell on vacation , even when i did that it doesn't have a single scratch it just broke the lcd which is why i bought this new camera  .
so really this is better that the w300 , the only thing it lacks is the coating that does nothing , and those 2 more megapixels which chances are are not even noticeable difference  .
the one thing i hate about this camera is that if you break the lcd screen  .
and check out this url http  //www  .
bargains    shopping  .
com/search  .
php  .
q  sony+cyber    shot+dsc    w290 and you will find best discounts .
all in all , a very impressive camera , especially compared with models with lower video capability , and slightly lower resolution , but cost is greater or equal  .
it has great feel , and is very intuitive  .
works seamlessly with mac osx , iphoto and imovie  .
i highly recommend this camera .
so , bottom line , it is a great camera in its category , but needs for higher zoom and better low light situation force me to upgrade to something else like a panasonic zs3 12x or canon sx200 12 x  .
this is only because of what i am using it for , not because of it performance  .
great family pictures , great concert pictures when not taken too close .
good buy for the price category  .
overall a great camera for the cost  .
it sucks that you have to pay additional for a camera case and a memory card though .
good camera for the low price if you do not plan to view the videos in windows photo gallery .
i took loads of photo's in both the auto mode and the scene mode ; neither produced the quality i is expecting  .
camera fired up quickly , and photo's in large lcd screen looked great  .
however , after loading them into laptop phot's were very disappointing .
love cnet reviews ; but do not agree with the w290  .
i tested/lived with sony w290 and canon sd960  .
both 12mp with same chip size ; wide    angle , 720p video and compact  .
i tested each camera and combed various camera websites and compared pictures at 100% crop  .
see digitalcamerareview  .
com and steves    digicams  .
com the canon sd960 wins with sharper pictures , better colors and 16  9 screen picture quality  .
accurate colors ; though i prefer the slight oversaturation seen with canon cameras giving subjects more life  .
macro is good ; however when pixel peeking at 100% crop the pictures are a little blurred with flowers looking painted  .
the canon sd960 if life    like with fine detail and textures   bad indoor daytime pictures   .
w290 has very poor shutter speed  .
if the camera moves a little or the subject moves ; the picture will be very blurred/useless  .
taking birthday pictures of my kids is impossible  .
even with forced flash i could not get the subject to freeze still came out with blurred moving subjects  .
my friends sd880 took great pictures video great for on    the    go 720p videos ; prefer my sony cx    12 for videos  .
the digital zoom does work during record (not optical) so the image gets grainy past 2x zoom  .
one great thing is that the macro adjusts during record so that focusing is an active process  .
sd960 focuses once when the shutter is pressed , but will not adjust focus (on macro) during that clip bottom line  .
cnet is right about most things ; but not the w290 best camera get a canon sd880 because 10mp has less noise inherent to these new 12mp cameras , has wide    angle (very useful) and all the reivew across the internet rave about the sd880 if 720p video is what you want as well , get the sd960  .
also has wide    angle , slightly less noise (digic iv processor) , great pictures (color/sharpness) and sports a 16  9 monitor  .
with hd plasma , computer monitors , camcorders all moving toward 16  9 , i would not be suprised if cameras slowly moved this direction i happily returned the w290 and am very satisfied with canon sd960 richard  .
wish i'd hung on and bought a canon  .
i is extremely disappointed in this camera as most sonys i have ever had were great  .
do not buy this camera if you are looking for consistent pictures or plan on taking many indoors .
this is the first time i strayed from a canon  .
it is a mistake and i am exchanging it .
having had several canon cameras , i thought i would give this sony a try based upon cnet's review  .
it may be great for video , but very poor for a camera  .
i'd probably give nikon a try , but am now afraid of wasting more money , going back to canon ; much better camera  .
i am surprised of the poor quality of the pictures taken with this camera  .
i changed the settings trying to get better pictures out of it , but it seems that it has a poor design  .
most pictures are noisy or blurry  .
it is a big disappointment for me , since i had a dsc s75 camera which is very good for a 3 megapixels camera .
i'm so disappointed with this camera  .
i have children who actually move ( go figure)  .
this camera does not produce a clear image unless the subject is completely still and in a well lit area  .
it's just ashame  .
the camera is a gift from my husband and we bought it from the army exchange catalog  .
for us there are no returns .
it seems sony has given the least priority to image quality which in my opinion is the most important factor i bought this camera a week back , and today i am done packing it back in the box ready to be sent back the images are grainy and lacks detail because of heavy and poor quality noise reduction done to them , even at iso 80 i had bought a memory card mc pro duo , which i will have to sell somewhere because i cannot use that anywhere else  .
i tried all the settings really hoping for a decent quality shot , because i had spent money in memory card , case , card reader , etc , but not at all satisfied  .
so even with the loss of the accessories i have to return this camera , and will not buy a sony again  .
i have finalized my next order which would be the panasonic zs3/tz7  .
its ironic if you see the editor's rating comparing the panasonic and the sony .
Looks good; Pictures nowhere near as good as expected, low light pics, again, nowhere near as good as expected.
- Quick start up and focus. - feels / looks good; Picture quality was less than impressive.
Smile detection is great, Outdoor sunlight photos are excellent; Blurry photos are the norm for this one
Smile detection for photos with children. HD movie quality. Simple menu. Large view screen.; Occasional problems with consistency of photos. Deleting photos could be one less step.
Great camera!. Beautiful clear pictures. always get my daughter blue eyes. Very ease to use.; Do not zoom when filming (can zoom before filming). Why not !?. The card is expensive.
Simplicity of use with professional results; No comment, other than it is great.
HD Video. 5x Optical Zoon. Good startup time. Fantastic multi-shot speeds.. Compact and robust feel. Very good display. Easy to use menus; No zooming whilst recording video
Very good display, easy to use menus, compact and robust, fantastic multi-shot speeds; poor performance indoor pictures
it is a small camera; most pictures are noisy and blury
Great size and bright LCD. Simple easy to use controls.; Significant delay shooting photos. Auto adjustment feature performs very poorly especially in low light. Many pictures out of focus in auto mode.
..this camera is an excellent buy..a good camera for fast trips when a slr is too big.. Complaints about indoor blurry pictures..read manual..flash has a limited range.its small.about 10' is max anything further than that will blur.; would rather see aa batteries and sd car used..
Qualiy of pictures a great. Takes fast pictures and is very smart with its face, smile red eye and blick detection.; It bit bulky.
Can dial in how much you want to go from full auto to nothing auto. Menus are linear and thought out well. Crisp photos with good color saturation. HD video is awesome.; Can't find anything negative... and I've tried.
Takes crisp clear pictures and records HD video. The many features work just as advertised -no gimmicks. Compact, convenient, inexpensive, large LCD screen which can easily be seen, even outdoors.; 1-No zoom during record in movie mode.. 2-I wish the battery would charge while plugged in via USB rather than the camera using the battery power while plugged in.. 3-only uses proprietary MemoryStick ProDuo memory cards (boooo, Sony!!!)
Most important, it has a viewfinder which sony seems to have omitted from the newer cameras.. Easy to transfer pics to computer.. The w300 is my first experience with image stabilization and i love it!; does not have an easy way to grip the thing. its coating looks bombproof but feels slithery.
Everyone's raving about this camera's ability as an HD video..., but I didn't buy a CAMERA for the primary purpose of filming videos.; Pictures are blurred with any movement, and does not have the option for "sports" filming to take pictures with movement. Camera had very slow response between pictures, you're literally waiting to see the pictures, and to take another picture.
All the different features, size of the LCD screen is bigger than the one I had before, smaller too.; Pictures are not as good as i expected. Or it picks up everything that I dont want to see. lol. It does show all imperfections. I guess thats the only backlash to getting a camera with more pixels.
Powers on Quick! Texture on the front makes it easy to hold on to. Big and Bright LCD= images look great. Intelligent Auto Adjust works well when slecting the right scene. Smile shutter is adjustable to different kinds of smiles (big, medium, small); Shutter makes a little noise when panning in and out. Finger prints are always on the LCD screen but come off easily. More scene options would be nice.
Ease of use, functions, 12.1 Mega Pixels, HD Movie 720p shows without the flicker or floating in and out of color levels like most other brands.Did have a Pentax Optio that cost $325.00 that lasted 3 months.; The battery and memory card door is easy to break. I do recommend that Sony address that issue. The door or cover for that area is very delicate and should be handled with care. Not for the fumbling fingers and hand type person.
The 5x optical zoom is great as well as the selector for the different options (Easy, programmable...). Taking pictures is a snap. Give the instructions a good review and test out the camera and it features...you'll be a master in no time.; I wish they had a case for it...I could probably get one from Sony but I'm sure I'll pay for it...it doesn't mean I won't do it.
5x zoom starting at a wide 28mm is great. HD movies look good and file size isn't too bad. Lots of advanced features like smile shutter and automatic scene mode selection.; Movies record in mp4 format, which can't be viewed in windows movie player or edited in windows movie maker. This seems like a major flaw.. Not as much control over the functions as I'd like. The shutter and zoom buttons are small and hard to push.
Video and audio is excellent, used at concerts, zoom was great, audio was superbe, no limitation movie time. Many manual features. Using AA battery was good and easy for long duration filming movie. 8 battery /325 pics 45 min movie.; Zoom not high enough, which it would be a 10 to 12 X zoom. No zooming while filming. In auto, BLUR are often when fast moving object in a low light situation. Close-up are not the best in low-light without flsh compare to landscape in same condition.
Well to begin with, this camera has the new and improved scroll wheel to select what to do, (Movie, Easy, Auto, Programmable, and Scenes), The camera can record in HD video which is great for most people who like to make videos! It overall amazing!; Finding a case for this that is not the easiest thing to do if you want a small case, either they are for tiny tiny cameras or they are to big an bulky making it unattractive. The accessories from Sony are overpriced but possibly worth it
Well to begin with, this camera has the new and improved scroll wheel to select what to do, (Movie, Easy, Auto, Programmable, and Scenes), The camera can record in HD video which is great for most people who like to make videos! It overall amazing!; Finding a case for this that is not the easiest thing to do if you want a small case, either they are for tiny tiny cameras or they are to big an bulky making it unattractive. The accessories from Sony are overpriced but possibly worth it.
