this cnet review is based on the old tomtom one  .
this feature seems to have been dropped from version 3 , which seems to be an attempt to offer a budget version no matter which version you get you can update the firmware to add most , if not all the latest features and you are able to update the internal map , to the latest , for up to a 30 day period after you have registered with tomtom to upload anything to the unit you have to install tomtom home on your computer and set up an account  .
you are able to download new voices , many for no charge , as well as other features  .
i found customer service to be second to none , almost no wait to talk to a rep i've owned a number of gps units , some going back over 10 years , most garmin and magellan  .
i have to say that this unit has the best signal pickup by far  .
i have mine mounted down by the centre console and it picks up a strong signal without having to be in the window  .
very fast signal aqusition time too a firmware upgrade added the auto off feature which shuts the unit down when it detects loss of power from the lighter plug the only thing that it seems to be lacking is auto switch to night mode , you have to change that yourself , odd , since it knows what time it is and my garmin ique , which is much older does it for me the antenna jack seems to support external antennas made for garmin , both of mine worked just fine , but unless i'm about 5 feet away from a window , it just doesn't need it it does lack the reading out of street names , but since i've never had that , i don't miss it i haven't tried the unit on the battery , when walking , the unit is not really designed for that but it does offer a walking mode  .
i assume that this does not anchor you to a road on the map  .
i've found that if you drive down a lane , between two roads , the unit assumes you are on one of the roads and moves your arrow to one of those roads these units have been on sale as of late , some going for as low as $129 to $149 in the pre and post christmas sales .
for the past year or so , i've shyed away from the navigation gps market due to the high cost of the devices and the assumed potential for subscription fees  .
however , tonight i saw the tomtom one unit in best buy for only $130  .
when i asked the sales associate what kind of fees the device required and to my pleasant surprise he said none  .
i threw caution to the wind and picked it up  .
my pleasant surprise continued when i sat down in my car , opened the package , turned it on , typed in my home address and is essentially 100% up and running  .
if you're just looking for a gps nav system , this is the most cost effective option , and it's got absolutely everything you could need  .
(and , yes there are in fact some extra subscription    based options traffic , weather , buddy list with instant messenger , etc  .
which i have not taken advantage of , but look like they may be worth it if you want to spend the money  .
) other than that , it's practically idiot    proof , and perfect for beginners but , again i cannot really see ever needing more than what this provides in terms of options and functionality  .
(and the included window mount is light , ergonomic and small enough to stow in the glove compartment with the device  .
) buy one now  .
nj middle of the day , i bought the tom tom plugged and found all of my destination within a few minutes even my contact person is surprised , asked if i knew the area  .
my philosphy is to keep it simple  .
this tom tom fits that thought to a t  .
(no pun intended lol)  .
excellent product  .
i bought the tomtom one yesterday and put it to good use today  .
i had to take my wife to atlanta for medical test at a large complex with many medical buildings  .
have been there a couple of other times and always got lost  .
i put in the address of the medical building were i needed to go and the tomtom one took me straight to the location .
it would not let us get lost on a trip to florida  .
for the price , it does what it is supposed to do  .
the touchscreen is large enough and mounting is not a problem  .
the one is a good basic gps .
i bought mine for my wife (she has no sense of direction) , then after using it when we went on vacation , and moved to rural east texas , we've come to depend on it every trip into the surrounding area it can be used to plot direction and your location , always making sure it gets you where you need to go  .
with just a little reading and practice , this moderately priced gps unit can save you bundles of money at the gas pumps with bluetooth capability , plus a slew of options , anyone considering a gps for their car travel would do good to get one  .
used tom tom one in metropolitan dc area and on a trip to montreal and quebec city  .
performed perfectly  .
no complaints  .
mounting device is excellent .
a piece of cake to use and it's accuracy surprised me  .
i use it for business travel and in 9 months has not led me wrong  .
it is bare bones and is exactly what i is looking for , a grusomely efficient inexpensive gps unit  .
only disappointment is in the battery life  .
for less than $300 , i'd do it over and over again  .
i use my tom tom for real estate and have found it does exactly what it is supposed to do  .
i have also found the mounting bracket every easy to operate  .
screen is extremely clear and the maps in my area of north carolina are very accurate  .
so far i am delighted with the tom tom 1  .
though it does not display speed or have a barometer i find this is no hinderance  .
great product for the money .
this is my first time with a road gps and i am very impressed with the accuracy of directions  .
on a 3000 mile trip , it made only one mistake  .
it had a flying j located on the wrong side of i    95 at exit 29 in georgia  .
voice to text would have been nice , but not worth $100 more  .
it tells you which way you are turning with the first alert 2 miles away , then second alert 1 mile away , then 3rd alert 1/2 mile away , then more alerts as turn approaches  .
this is very nice as you do not get caught in the wrong lane on crowded interstate highways  .
when the unit could not find my daughter's address in a remote location in the western part of the us where the zip code puts you 20 miles from her residence , i used the tiger system of the government to find the exact latitude and longitude coordinates , then entered them into the tomtom  .
the tomtom found her and gave her road on the display and the exact location  .
i is very impressed by this feature  .
the points of interest data base needs some work as tomtom did not know what i is trying to navigate to for zion national park , but did know yellowstone  .
i would hope the company will make some downloadable corrections to their database and a mechinism for tomtom users to submit corrections and points of interest that would then be downloadable  .
i rate this unit a 9 and can not see where features in more expensive gps units are worth the money  .
for basic navigation , i would rate this unit a 9  .
i've been using a tomtom one for a while and i've been really happy with it , its very clear and easy to use without even needing to read the manual .
i really like the tom tom one  .
its really easy to use and it does exactly what it needs to do  .
the gps signal stregnth is always good and it really shows a change in location  .
the tom tom one is worth the money  .
wow    what a fantastic unit the tomtom one is  .
i have it for only 5 days so far and i love it  .
i owned a garmin and lowrance before but this one takes the cake  .
just so remarkable compared to others    i got a great deal at www  .
sdcommodities  .
com they are the lowest anywhere on the internet  .
call them first if your ready to buy at 718    921    9100  .
i am buying one for my mom for mothers day    she will love it  .
makes a great gift .
this is my first gps  .
i have had it for about two weeks and am so far very happy with it  .
i had an issue with the tomtom home software  .
submitted a request to tomtom and had response the next day  .
(d/l latest version of home software  .
) did it and all is well  .
i like the intuitive nature of the design and find it easy to use  .
i wish the pasenger in my car could give as good directions  .
(too use to hearing turn back there ) also found it to be up to date on the newest road in my area only issue is it never quite gets you exactly to the doorstep  .
i played with it getting directions to places i already know  .
found several map errors in small towns  .
i just keep send in the details to help make them better in the future .
bought a garmin c550 for $500 , because of the reputation garmin has  .
swapped for the tomtom one , saved over $200 , and i like it better  .
the tomtom maps are more accurate her in nj  .
is capable of many waypoints , garmin has one waypoint  .
the tomtom has itenerary planning , you can make a route with as many stops as you want  .
the tomtom is very accurate  .
garmin is always about 50    100 feet behind on screen  .
tomtom is dead    on  .
the only thing i do not like is when in menu or settings , when a selection is made , it takes you back to the navi screen this unit is a great gps for a small investment .
the first thing i did when i got it out of the box is to program the gal with the english accent into my tom tom  .
this is now my favorite gadget  .
now i can go anywhere and not get lost lol  .
easy to use and had it up and running in 10 minutes  .
i love my tom tom  .
mitch from nj  .
this is the apple in a pc world not complicated , intuitive , extremely user friendly  .
i is able to power up and cold start calculate a route in about a minute  .
i dared ask for an alternate route and bam , there we are  .
accurate directions , good voice prompts (audible and clear) and i may be imagining here but i think the voice prompt sound level increases with speed to compensate for road noise  .
good deal  .
for someone who does not need something else to amuse them    i  .
, mp3 , phone , et al    this is it , directions to anywhere in a box .
the tt one is great for someone that wants a quality gps unit that you can also use outside of the car  .
the tomtom one is great unit / my employee's do alot of traveling and i have purchased many gps units for them , but tomtom one is a winner  .
i purchase all my gps units at www  .
sdcommodities  .
com , they always have the best deals , and will match anyones prices  .
call them first at 718    921    9100 if you like to save money .
i love this product  .
i travel extensively during the winter and this product gets me to where i need to be  .
if you have been some where before it may not give you the route you would take but it has successfully taken me to places 3 hours away that i have never been too i would be ware of the window mount  .
i put it on like stated and after about 3 hours it fell off the window and put a big gash in the interface  .
the unit is broke  .
i did get it replaced after much hassling with the best buy .
this is my first gps , so i cannot give comparisons , but this device works great for me  .
routes are good , verbal prompts give enough information without constant chatter , and maps are clear  .
while it doesn't say street names for turns , these are easy to find on the display , and hasn't been a draw    back for me  .
the features are extensive , but you can start simple and learn as you go  .
while some routes have been questionable , it has actually shown me some short    cuts i would never have found on my own as for inaccurate maps , mine have been pretty current  .
tomtom also provides a free update that is coming in the mail  .
i have to wonder if some people having problems haven't updated their maps or software through the computer my biggest complaint is that the pc interface doesn't automatically download and install available updates to maps when you register  .
software is updated , but not maps  .
these are shipped on dvd  .
it would be more convenient if it would synchronize the device to the latest maps , maybe monthly  .
they could charge a fee , and it would solve some problems cannot comment on plus services       just have not felt a need  .
its nice to have the option for later .
i first purchased a mio c310x after the holidays and thought i loved it  .
then we got this one last minute on a good deal and decided to compare  .
this won by a landslide  .
the mio in town consistently tried to route me ways that did not make sense to the quickest or shortest routes  .
this one , perfect  .
the voice is louder on this one and you could change the voices  .
on the mio you got 1 voice  .
it is nice until you realize how much nicer it can be when you use the tomtom  .
customer service  .
i had a question they answered it ok , then called me back because the guy had another idea he wanted me to try wow  .
i is amazed i is thought about after my service call is done  .
more map updates have just been released  .
you can add poi's i did and it is easy  .
i love this thing simple , does a great navigating job here in town and freeway amazing support battery life is supposed to be only 2 hours , but with car charger and the fact it will charge off the usb i have not ran out of battery power yet .
i cannot see how this unit interfaces to a headset or external amplifier  .
if it's an mp3 player , they sure hid the output well  .
can anyone comment on this  .
i'm only lost 5% of the time , but i want music 99% of the time , so this is a detail i need to know .
i bought this unit today at a black friday sale and i love it already  .
i've taken 3 short little trips and it has been perfect  .
the maps and poi seem up to date and the screen is easy to read the mounting bracket is short , but i don't need to be messing with the unit while driving so it keeps me safe by being short the supplied tom tom software is really good and enables you to do lots of stuff  .
there's even a feature that lets you plan out routes and then load them on your tomtom  .
the only drawback is it wo not connect to my phone via bluetooth .
as an entry level device , it does everything you'd want it to , and easily .
i just got this 4 weeks ago and sometimes it won't turn on  .
i keep resetting it for it to turn on  .
am i doing something wrong  .
if it would just turn on i'll give it 10/10 but i do not know help  .
when you actually compare the navigation features of the one to the garmin nuvi there is no comparison , the one can save routes , have multiple vias (multiple stops in a route) and a functional detour button along with tons of other customization  .
all of these things are missing from the nuvi line , which in some cases is double the cost of the one and provides a very dumbed down user experience .
this is a great unit especially for the price  .
the software is extremely easy to use and the interface on the unit is better than the garmin in my opinion  .
i had alot of trouble with the garmin software and web site  .
i would highly recommend this unit for an entry level unit and i like it better than my more expensive garmin 265w  .
i travel all over the u  .
every week and i is going to buy a garmin or mio , but got the tomtom one 3rd edition as a christmas gift  .
i is not considering tomtom because of the lack of restraunt categories and no text    to    speech  .
i found that i could get over those hurdles  .
considering that you can get this gps for $150 , it is so worth the money  .
i do not know why anyone would buy the nuvi 200 over this , nor why anyone would pay $200 more just for text    to    speech  .
it is really unecessary to hear your gps mispronouncing the street names you can mount this little puppy a little below line of sight and see all the turns clearly  .
the pois are so easy to add , all you have to do is place them in the map photos after you download them from one of many free poi sights  .
i highly recommend this for those who need a gps  .
if you need all that other junk , that's what an ipod is for .
i had to fix mine right out the fox  .
apparently a bad batch of these things were shipped out just prior to christmas and i got one of 'em  .
after initial use , these things would have to be reset every time after being powered off  .
without the reset , it would only display a white screen when powered on  .
imagine having to reset it everytime you powered it off  .
tom tom has provided a fix on their web site that has to be downloaded to the unit  .
the fix seems to have worked on mine so far but i just applied it last night so the jury is still out  .
other than that , i'm satisfied  .
i rated it an 8 assuming the white screen issue is just a correctable glitch that sometimes happens with electronics .
lets face it the reason you need a gps is to avoid getting lost  .
this solves it i've had this unit for a year       been all across the us and canada with it and works wonderfully  .
simple to use          and easy to teach your 'significant other' how to use it would have liked it if the battery lasted longer so you can use it while on walks great that you can download other voices especially having denis hopper tell you what direction youre going  .
if you want flash and things like mp3 players etc dont get this       but consider that you'll likely never use those features great product  .
i used this to go from new jersey to conneticutt and it worked great easy to program and gives directions loud and clear  .
screen is easy to view no problems with glare or anything  .
if you like simple and efficient this is a buy .
since i bought the unit 4 months ago i have used it on several occasions with no problems  .
problem is the map share feature must have ver 6  .
75 and my unit is 6  .
65 so i can not use mapshare  .
when i contacted tomtom asking for a map upgrade they said free upgrades are only available on units purchased less than 30 days before  .
i believe for good customer service there should be at least a 1 year upgrade period  .
this type of service may influence my next decision should i buy a new gps  .
too bad because so far this unit is good .
i recently purchased a tomtom one v2 with standard screen  .
since i purchased it , i have had it upgraded (by the new version of tomtom home) to include a new operating system and the new mapshare that came out with v3 all in all , i am pleased with the device  .
there are some things that do not function as advertised but it is a spectacular machine in a small package  .
the only thing that is serious is that it is possible to bypass the security password with little trouble making it ever more a target for thieves if it is left in the car  .
for those that are concerned about the mounting problem with v1 , that has been corrected  .
i have no problems mounting it , warm or cold windshield what i do not like about it is the dearth of knowledge from the support staff in the us especially a person named jeremy  .
to this day , he insists that it is impossible for me to have mapshare on this gps  .
before the new os is downloaded with mapshare included with it , other support techs had told me (though email) that tomtom is not going to port it over to v2 from v3  .
obviously , there are people that did not read the memo would i recommend it to a new buyer  .
yes , if you are technically inclined and can do without support or with incorrect answers to your questions  .
besides , the v3 price is down to euro 199 .
i based my decision based on the features the unit gives me  .
i recently bought my one version 4 and have loved it from the get go  .
my one did not come with an sd card as all of the memory is internal  .
it still has the sd slot , although i'm told that it will only run off of either the card or the internal memory , so it's not like you can pop a bunch of custom features on a sd card and run the main maps off the internal memory (why tomtom didn't plan for that , i have no explanation)  .
the maps and poi databases are not as complete as the garmin's , but they are still very complete and more than capable of getting you where you need to go  .
i have had no problem getting to places i have never been before with this unit  .
i have a v4 with the 6  .
65 map version (most up to date) and i have yet to have the unit tell me to go down a one way street the wrong way , etc , etc  .
the routes it picks around my home are usually spot on , and the alternate routing capability of this unit is head and shoulders above the garmins i looked at  .
the planning feature is really cool as well , giving you the shortest/best route between multiple locations  .
i do not plan on using the tomtomplus features , but the availability is nice , and it sync'd right up with my bluetooth phone for wireless service if i wanted to use it (no handsfree calling though) my biggest complaint right now is that the poi database (while better) is still not as good as my dad's c330  .
tomtom has a free download for retail stores , which include best buy , circuit city , etc , etc , which helps out but it's still far from what i've experienced with the garmin  .
this is fixable however , hopefully tomtom will address this with the next map update  .
i also find it odd that tomtom decided not to copy off of garmin in this department with the inclusion of the phone number when you select a poi to navigate to , it's a feature i'd like to have  .
there are lots of custom poi lists out there (starbucks , etc ) that are very easy to add to the unit , which aids in this department , i'd just like to see more included right out of the box ready to go what made my decision is at the price these are currently going for , you simply cannot beat the feature set  .
the slim form    factor and user interface are really quite easy to get used to , even after having used the garmin you have two options system  .
if you are concerned about having the most accurate maps out there , this is not your gps at the moment , but it may well reach that level in the near future with a map update again , i have been very pleased with my purchase , it's not perfect , but not a single unit out there is  .
i intentionally didn't follow the directions on this unit and it quickly recalculated a route  .
on known routes , the unit generated ones very close to the routes i would have given on the highways the gps directs you to stay right or left which is annoying  .
turning the volume down or off remedied this the mount stays attached to the windshield (there has only been one incident when it did not but the heat from the florida summer probably had much to do with it) but at times in the florida summer heat , the ball of the arm would not hold its position in the socket and would move with each bump i wish the tomtome one gps would allow you to manually start and end navigation for those times when i don't use the car like when i ride my bike or walk  .
you can get a route summary , but it has to be input first  .
average speed would have been nice on the route summary using the tomtom one gps is so easy and convenient and so far has prevented me from getting lost even when i took a wrong turn  .
i could not put a price or value on the frustration it has saved me  .
i highly recommend this unit especially since the prices have gone down .
for the price it is great , not worth spending  .
hundreds more  .
i recently purchased a tomtom one (from butterfly photo , no problems) and i wanted to dispel a number of negative myths about this gps device  .
i read reviews , blogs & anything i could find on tomtom versus garmin  .
for some reason people think that a gps device needs to have the ability to show pictures , play music , get traffic reports  .
of the three only traffic reports is marginally interesting to me but im not willing to pay for it when i get traffic updates from my local free news radio  .
the other two options are too ridiculous to consider  .
what i want is something that gets me to the place i want to go when i dont know how to or know the area  .
on my reason trip to indianapolis , in and through corn fields ne of indy , my tomtom one did the job quite well  .
i did not read the manual before the trip , but simply thought i would see if i could get the device to work for me with some trial and error myth 1   tomtom mount does work  .
i put a dash of water on the suction cup and affixed it to my windshield just above the dash  .
it stuck tight  .
i tried to get it off that night and gave up (just removed the receiver instead)  .
that mount stuck to the windshield through the entire 5 day trip in 80    85 degree , high humidity weather with car sitting in the sun  .
i pried it off at the airport myth 2   slow recalc times  .
not so i made a lot of deviations and it quickly started telling to turn around  .
on one cross country hop i deviated from the course  .
it kept trying to get me back on its original course but eventually gave up  .
if i is smarter i would have re    input the destination and let it calculate a new route  .
i later found a menu item for alternative routes  .
btw , a co    worker took his older tomtom one last year on a trip to johnstown pa and we got the same dead on navigation during that trip myth 3   pois are old  .
i tried a few in indy and is able to get to restaurants and other places  .
i dont care about pois because i can either ask someone for a place and look it up in a phone book (oh , how archaic) or call and get the number myth 4   support is rude  .
i have a small problem updating the satellite file  .
i emailed them and got back a reply the next day  .
i havent solved the problem yet (been too busy before and after the trip) , but the email traffic is courteous and regular  .
im on the west coast so i have to pick a time to call them during the day  .
since the file had no effect on the performance , ive not worried about getting back to solving the update problem i rated the tomtom one 8 out 10  .
i did take one point off for the lack of text to voice  .
the display (which is nice and bright) is generally very clear about the direction , and it does give the name in text of the next term on the screen , but it would have been nice to have it speak the street name  .
i think ill try to change the display to the 2d version and see if that eliminates any ambiguity  .
i took another point off for the unsolved update problem since i thought the suggestions should have cleared the problem  .
all in all i dont see the need to pay twice as much for a garmin to get features you dont need and the performance that is not any different than my $249  .
00 tomtom one .
i research on cnet  .
com and other sites for a nice gps to go in my car  .
after a while i settled on this tomtom one  .
from day one this has been a great purchase  .
i am new to the city of boston and this has helped me get around beautifully  .
sometimes it does not have all the short cuts , but if you need a simple , easy way to get around  .
this is for you this is way better than my co    workers garmin .
this is my first gps unit  .
i use it every day for work driving around the portland , or area i would rate this unit higher , but since it is my first , i do not have anything to compare it to  .
it works beautifully  .
the screen is very easy to read , even in bright sunlight  .
the mounting bracket (included) works great  .
the sound is awesome  .
i can hear the directions even if i'm listening to louder music or talk radio even though this unit is considered an entry level model , it does everything i need it to do  .
if you're looking for a small , affordable gps device that will get you right where you want to go , look no further than the tomtom one .
we bought this gps for our personal vehicle because we are very directionally challenged we found the touch screen menu to be intuitive and easy to use and the unit did a great job right out of the box some of the advanced features like real time traffic info that are displayed on the menus do not function in the u  .
but for the non    commercial user , it is a bargain for the price .
after a great deal of research into similar models at a comparable price (garmin sp330 , etc  .
) , i decided to go with the tomtom one  .
i must say that i have been nothing but pleased with the purchase  .
i found the tt1 extremely intuitive to use , and using the tomtom home application makes updating , backing up and customizing my tt1 very easy  .
within an hour of opening the box , i had already downloaded and installed additional points of interest (dunkin donuts , retail stores such as best buy and walmart) , voices (the celebrity voices make driving directions fun) and map colors (there are a variety of uniquely colored map schemes available)  i found all of these customizable features to make an already solid unit even better and tailored to my specific tastes  .
in terms of actual use , i find the tt1 to be pretty spot on with mapping and navigation  about 99% of the time  .
occasionally it will plot a less direct route than i would have personally taken , but the great thing is i can just ignore it and it will adjust the route (in seconds) based on which direction i turned  .
i love the feature where you can simply tell it to avoid part of the route and it will recalculate (i  .
dont take me on the highway)  .
granted , many say the pois are outdated which they may be , but will a poi database ever be truly up    to    date with all of the changing restaurants , stores etc  .
i think this criticism of the tt1 may be a bit harsh given all that you get for under $300  i find the major attractions (parks , beaches) and critical pois (gas stations , police/fire dept  .
) are all there  .
as a basic gps unit , it does the job  .
i had a how did i live without this moment last weekend , where i is driving through a remote part of ct and where i would have likely second guessed directions and gotten lost before , i is able to push forward with confidence knowing i had my tt1  .
i am extremely pleased with the features , ease of use and value i am getting out of this unit and would recommend to anyone looking for a solid gps unit  .
i would also recommend , in terms of accessories , a carrying case and a more flexible mounting unit (you can find ones online that allow you to either mount to windshield , dashboard or vent and are easier to place the unit in)  .
as tomtom is a growing company in the us , i can only expect the pois , maps and customizable features to get better in the future .
i had used a garmin offered with avis rental cars many times and is not overly impressed  .
i decided to purchase a unit to travel with instead of paying avis to use theirs  .
after looking at different units i chose the tt one about a month ago  .
the unit has performed great , has found every location i is trying to locate including hotels , resturants , and airports  .
the unit locked up once after i had it connected to my laptop , reset it and haven't had it happen again  .
the only complaint i have is the calculated driving time and estimated arrival time for a trip  .
the unit must assume i drive 20 mph below the posted speed limit , and it does not accuratly update the estimated arrival time to match the actual driving speed  .
i will be 5 minutes from home and it will still say i'm 15 minutes away  .
tt support says it cannot help with this as it is the way the system works  .
i disabled the display of dirving time and arrival time and just use the remaining miles to estimate the time i will arrive  .
other than this one issue i am very pleased with the unit and would recomend it to others .
this gps is great for someone who wants to enter into the world of gps  .
i've had gps systems in the past , but they've usually been hand    helds with no built    in maps  .
this one has very detailed maps of the us , canada and guam and has a very sleek form factor the time it takes to find satellites is almost non    existent  .
it'll lock on to a signal in 30 seconds or less , in most cases  .
this thing also has a dynamite screen  .
it's bright , crisp and colorful  .
the touch capability of the screen can sometimes be a little fussy , however , but that's probably because of my big fingers  .
just use your fingernails or a stylus if it ever becomes a problem accuracy is also awesome , and the customizable navigation voices that are available are really cool for those who want something out of the ordinary  .
i downloaded john cleese's voice and found it very funny there have not been too many problems i've had with this gps , except a few minor things  .
first , the included windshield mount is very strong  .
you may that's a good thing , but just wait until you try to take your tomtom out of it  .
it's takes a lot of effort to get it out , and you'll probably end up having it pop out and fly across the car if you're not careful  .
also , on two occasions , the tomtom has frozen up on the boot screen  .
i have no explanation as to why this happens , but it's easily fixed by pushing the reset button with a paper clip or thin pencil overall  .
the tomtom one is an incredible gps for gps noobs or experts  .
it's fun , small , accurate , and , in most cases , reliable .
tengo mas de 2 meses usando tomtom one y el tama�o me parece perfecto , la estructura con la que la pongo en mi carro esta perfecta , antes tenia un magellan pero la estructura era como un resorte y se movia para todos lados era dificil ver para donde irme y escribir tambien porke el karro estaba en movimiendo y el gps tambien en fin el tomtom one me parece perfecto hasta que quise grabar las direcciones de mis distribuidores en el gps para mi es mas facil grabarlas y despues buscarlas y dirigirme directamente , , y estube grabando algunas hasta que la makina no me dejo , , solo se pueden grabar 48 favoritos  .
y si quieres grabar mas es imposible solo los puedes poner como punto de interes y es un poco complicado usar el sistema que trae este gps , , , en fin ando buscando otro y ojala encontrara uno exactamente como el tomtom pero que trajera unos 200 o 300 favoritos o algo ahi para grabar mas direcciones personales .
i think this tomtom one is a great unit for the price  .
gets you where you want to go with extras that the garmin c330 does not have  .
price point   a steal  .
i like the device and it seems to map things out ok but will never replace experience and local knowledge of traffic patterns and short    cuts  .
it refuses to replicate or approximate my 30 mi  .
surface street only commute though says my office is unreachable if we do not take the freeways  .
(living in so cal is not all it's cracked up to be the traffic is absolutely oppressive  .
the unit seems to have quite a sensitive satellite receiver and it even works insde my house  .
i would like it even better if it would stay attached to my windshield  .
falls off about every 15 minutes  .
no issues with not knowing how to use suction cup devices  .
tomtom has acknowledged that some mounts are flawed and is rushing out a new one , it's supposed to be here in 3    4 weeks (  .
) per their support team  .
i'm very impressed by their sense of urgency in resolving my issue  .
they're probably shipping the replacement tied to a stray cat .
the tomtom one is a great gps for someone that just needs an inexpensive gps that's easy to learn and use without having to memorize the manual it lacks a few of the more minor features of the more expensive gps units , and most of the plus services (traffic , point    of    intrests , etc  .
) only work in great britan (where tomtoms were originally made) , and the uplink to bluetooth phones for updates and for the subscriptions has limited model/network support  .
also , the pc software leaves more than a little bit to be desired (poor ui , severe uplink/connection problems , bad overall coding) all in all , the unit itsself is great , but a lot of the extras could use a lot of work .
the one has now a lowered price at $299 so i bought it  .
i have never had a gps so it is the first one  .
out of the box , i turned it on inserted the sd card and is on the way  .
the screens are very intuitive  .
there is some minor set up to do with registration , etc when i installed tomtom home it installed fine but that is where it ended  .
i could not really tell if i is connected to the pc even though everything indicated it was  .
nothing happened  .
i downloaded my free voice but never really figured out how to get it to the tt one  .
i called tt support and talked to a real person  .
problem is she said there were some problems on the web site and it is being updated  .
i should see the improvements the next day  .
well this is the next week and i still cannot download the voice or see my unit connected  .
also she is quick to get me off the phone  .
oh well , the unit works great took my first long trip with it  .
about 800 miles  .
very accurate with what i saw on the road  .
poi's are pretty good also  .
nice to have the rechargeable battery that either plugs in the car lighter or you can charge it on your pc with the usb cable  .
got me to my destination within about 2 minutes of it projection 2 hours prior to that  .
this is a great gps unit  .
it is very easy to use right out of the box , the charge    up time is quick , and the maps appear to be quite accurate  .
it took less than a minute to acquire the satellite signal  .
the voice commands are helpful , but not totally necessary window mounting is fine , and i have not had a problem reaching the controls  .
i'll probably find a dashboard mount soon , as ca doesn't allow most window mounted devices if you are new to gps , as am i , you should realize that all gps are good tools , but they don't replace common    sense navigation , especially in familiar surroundings  .
it's too much to expect that a computer will know the best way to every destination given all the real    life variables that affect our driving experience  .
if you like a differnet route than what's suggested , just take it  .
the one will re    plan your route to get you where you want to go  .
it could not be simpler an excellent unit , nicely priced , easy to use , and a great tool to supplement your common sense .
i just got the tomtom one as a gift and it's great  .
the touch screen works really well and the menus are easy to navigate  .
creating an itinerary is quick and easy  .
i also had no problems with the suction cup (make sure the window is clean) and put a little moisture on the suction cup prior to placing on the screen i would have liked to see a large sd card (1gb came with the unit)  .
but it is easy to back up the system and then change the maps , so it's easy to work around .
this is my first gps and i am very happy with it  .
i got it on wednesday and left for a 1500 mile road trip on friday and it is a huge help , even around oakland which is a nightmare to drive in i got it for less than $400 on a popular auction site , new in the box and ready to go i have had a problem getting it to power up on several occasions , even with a full charge and a reset  .
if the battery is low it wo not start till it charges for as long as 2 hours  .
but i am very happy with it over all , basic , but a solid performer .
were it not for fact that the one uses tele atlas maps in north america , i would easily declare the one the editor's choice  .
in developing the one , tomtom focused on the customer who is only concerned with navigation , and does not want an mp3 player , a picture viewer , or a hands    free speakerphone  .
for a more detailed in    depth review with lots of photos , check out http  //www  .
gpsmagazine  .
com/2006/09/review_tomtom_one  .
html  .
had the unit now for a week  .
this is my first purchase of a gps unit  .
so far it has made my driving experience much better  .
i have a large five state territory that has close to 600 different locations ; i will be expecting to visit each of them at some time it has gotten me where i wanted to go without fail ; and twice rerouted me around traffic jams without a problem  .
this is something i is always nervous about using my old method with a mappoint paper map  .
much safer than flipping pages in traffic only complaint is that i can only enter addresses via the unit  .
there is no interface yet for entering them via your computer  .
this will be very time consuming ; especially with 600 locations .
i had a tomtom go for a couple of years , really happy with it but internal battery started to lose charge too quickly  .
cant' replace myself , tomtom offering to fix for �175 euros  .
are they for real  .
bought tomtom one as replacement , even more pleased with new unit than old  .
hope battery is not knackered after a couple of years though , is this normal  .
my unit came with a right angle mounting cord which works well and helps to keep the cord out of the way  .
the directions are clear and the route picks seem to work well  .
the unit picks up alternate route pretty quickly when you deviate from the programed route  .
a nice unit for a first gps .
i got my one on sale at wally world while 300 miles from home on vacation  .
i sat in my car and configured it in less than 5 minutes  .
i then planned a route home    the preferred would take me through heavily congested holiday traffic on freeways , so i asked for an alternate route  .
