would highly recommend to anyone  .
3 in screen (bright and clear at max when auto    balance is disabled) , synch email , contacts works great , love the htc sense ui , 8m back and front facing cam for video conference , 720p hi    def video recording and hdmi out , great call and speaker quality , no connectivity issues at all , love the google apps , vpn worked great for accessing my work's network , paired well with my lenovo and dell laptops and my car's bluetooth , easy to upload/download music , movies etc w/ pc organizes and plays mp3 very well  .
in conclusion , i can use this phone for work , multitasking , entertainment , multimedia , internet etc also , i am very happy with sprint's network in my area .
bottom line i am a iphone lover i have owned the iphone 3g 3gs and i have the iphone4 and ipad what i really love know that i have had the htc evo 4g for 2 month i must say the true no way any phone out in the market include my iphone4 could beet my new htc evo that it now i am waiting for htc evo 2 .
a great product , worthy of the name smart phone .
really , the good far outways the bad  .
easily the best phone i've ever owed  .
easy to use , with features that are too numerous to begin to mention here  .
cannot wait to be able to utilize the 4g  .
they need to get that out to far more areas than what's available right now  .
but , it'll come  .
one thing though , don't listen too much to all the hype on iphone and all that apple crap  .
i own an itouch and have used plenty of apple products they have plenty of flaws  .
i've had them freeze up and not work properly too  .
so , do not think their product is impervious to gliches  .
i will say this though , i've not had one thing freak out on my evo since i've had it  .
and it's going on 3 weeks  .
i love this phone .
best phone hardware ever , plus being an android phone , it is an amazing combination  .
better than any iphone and the sprint radio frequency is better than any other carrier at penetrating buildings  .
this in itself is another point , what good is a carrier that you have to be outside always to have signal  .
i've owned a nokia n97 , samsung vibrant , nexus one and numerous other mobile phones and none of them has offered the reliability of the htc evo  .
i have to say that the 4  .
3 screen has grown on me so much that i do not think i will ever go back to less than 4  .
reading on the device and using applications from the android market are a delight on the 4  .
3 screen .
it's fast , very fast  .
it arrived running android 2  .
2 and i'm not noticing the terrible battery life some have mentioned  .
i make it through the whole day on a charge without a problem  .
it feels good in the hand , and yes it does slip easily and out of my jeans  .
i miss synergy on my pre and simple syncing from my iphone , but i love this phone  .
great sound quality , no dropped calls , it is really fast unlike my pokey pre , camera is excellent , cheap sprint calling plans , and hold on to your hats i really have had great experiences with sprint customer service  .
i'm very happy updated  .
on oct 29 , 2010  .
no phone out in the market could come close to this amazing gorgeous phone believe me you'll be playing with this phone all day ask me cause i is a iphone i pad i pod lover i must say i left all i thing for the new baby in town ( la piu bella evo) .
i root my phone with cyanogenmod and i like this phone even more  .
it gave me so much freedom to change the phone the way i wanted to  .
best multimedia phone ever owned .
updated  .
on sep 7 , 2010  .
best smart    phone i ever seen and had (still have it lol)  .
i swear i've been using computers for more than a decade and this close to one + the phone  .
i have peace of mind knowing i can do everything i need  .
i cannot picture myself without this mini computer with both cameras , the kickstand + all its specs .
bueno su soporte de flash para reproducir videos en la web algo en ningun telefono hasta ahora nisiquiera en el iphone4 pobre verdad pero bueno creo que despues de la bateria no tiene contras  .
this is one of the bst phones i have ever used  .
it would take a full page or more to list all it can do  .
i have only owned it for about 2 weeks and i know i've only scracthed the surface of its capabilities  .
at one time i used to cast longing looks toward iphone users but no more  .
the only downside is because it can do so much the battery life is not the best  .
with the recent froyo update the battery has improved but to really be able to use this phone all day without monitoring what you have turned on or off you will need an extended battery and this of course will affect the form factor  .
my wife is the first person to upgrade to an evo so i bought her a seidio 3500mah extended life battery  .
this battery is extremely powerful and can go for almost 48 hours (that's right i said 48 hours) without needing to be recharged  .
of course using a battery like this will also require a change for the back of your battery and then it will feel different in your hand  .
so that is the downside but otherwise it is a great product .
evo 4g is the best smart phone to date ; better than anything that apple and att t have to offer by a mile sprint service is a big plus (++++) .
generally very happy with this phone  .
notifications are poorly implemented  .
i is concerned about battery life , but now with android 2  .
2 , battery life has improved quit a bit  .
i'm happy with the switch from pre to evo  .
great phone overall .
connie's review is dead on  .
this phone is outstanding  .
big bright screen and easy to use all apps .
it cannot get better this is the best technology no wonder why i dropped my iphone 3gs and did not upgrade to the iphone .
android is the new king and the evo is the chariot to take it to the top .
i love this phone , i enjoy the android platform  .
suppose all window users to make the switch  .
and all iphone user to enjoy something different  .
google did a awesome job with the android market  .
people complain about the battery life  .
yes the bigger screen did cause this particular phone to drain battery faster than small phones out there  .
but know what to do to save the battery usage is a must for any htc evo users  .
shut down features when they are not in use  .
turn off/change settings on luxuries such as vibrate on incoming calls , haptic feedbacks , animations , brightness (auto or 30% light) , screen time out  .
once these options are turned off or changed  .
your are good to go with a minimum of 4    6 hours above normal usage on this bad boy  .
hope everyone with htc evo enjoy this awesome phone , and all other users try this phone out  .
updated  .
on sep 13 , 2010  .
i had the iphone 4 and switched to the evo 4g 2 weeks later  .
iphone has a 5mp cam evo has 8  .
iphone has 3  .
4 inch screen evo has 4  .
iphone has no default gps and they recommend you buy one for 50 bucks evo has an amazing one that is not only free but linked to google search so you can instantly navigate to your google search results  .
you have to type everything with iphone evo has talk to search , talk to type and talk to txt all included and its incredibly accurate  .
iphone has a much much slower internet browser  .
the iphone drops my calls sometimes when my fingers are over the antenna even with the 30 dollar bumper i bought  .
the customization with the evo via droid is so much better than iphone  .
i have never paid for an app yet about 90% of the droid apps are free , where iphone a lot of them cost money especially if you want the full version  .
iphone you have to cancel each app that runs in the background evo has several app killers that do it all at once  .
although the network is small still evo has 4g capability whereas iphone is stuck on 3g only  .
it's nice to know technology will have to catch up with my phone  .
in the past i would get a new phone because my old one is outdated this seems like the reverse  .
oh and the iphone 4 webcam can only be used to talk to other iphone 4's in a wifi spot  .
the evo's webcam can talk to anyone via skype etc on any webcam anywhere you get 3g in short the evo is by far the best phone on the market today  .
i looked at the droid x for verizon which looks similar to the evo but no webcam and no 4g among other things  .
through the years i would get a phone based on imporvements i wished it had and then get the phone that most closely met those desired improvements  .
with the evo 4g i have no improvements i would want except maybe a better 4g network which not only will come but no other network even has 4g yet and i'm often in a wifi spot so that does not really matter at this point anyway  .
besides that it's a perfect phone  .
updated  .
on aug 4 , 2010  .
i is with palm for 5 years and finally switched over to android  .
i'm glad i did  .
this phone is simply amazing  .
it has more features than any phone currently on the market  .
the android app store is awesome with over 35 , 000 apps on top of the phone  .
the phone is fully customizable  .
battery life is not amazing but is good for a smartphone and can be greatly improved with a few changes in the menu  .
the sprint network is great and is way better than at t incase you are comparing phones  .
very satisfied overall .
i do not live in a 4g area so i did not test this so far  .
the battery life is surprisingly good and lasts all day for me despite some early complaints about the battery dying too quickly i must say that i am thoroughly impressed with the evo and it has changed my mind about android based phones overnight  .
this is my first htc android phone and i enjoy their sense ui over stock android ui  .
with the impending 2  .
2 update coming this week , the evo (and droid x for verizon) is the best of what android has yet and i am delighted with this smartphone updated  .
on sep 21 , 2010  .
i switched back to sprint from at t at the end of march 2010 and initially got the htc hero for both mine as well as the wife's line  .
i sold my htc hero on ebay that i initially started my sprint service with and got a white one back on 7/09/2010  .
it's an awesome phone with all you could possibly imagine and everything i've wanted in a mobile device    1 ghz processor  .
sprint tv has excellent reception  .
fast 3g speeds as well as 4g  .
camera takes excellent quality shots , both still photos (8mp main and 1 mp front camera) as well as video (720p)  .
and are you kidding me  .
face    time on wifi only on iphone 4  .
we can video chat on 3g , 4g and wifi izombies  .
kickstand is a good add on useful when taking a call over speaker or watching a video on this device  .
htc's expeditious handling to release patches for immediately detected defects with this device  .
, defect with the expandable storage which is addressed by the end of the weekend and then the battery life and wifi connectivity  .
)    the market place offers more apps for android on the higher end devices and many are great over 4g  .
55k    65k and counting (lookout apple , we're gonna take you down  .
didn't apple's app store have that many or may just slightly more when their ios is only 2 years old  .
android phones will get android 2  .
2 (i  .
, froyo) very soon  .
no more storage setbacks compared to iphone    wifi mobile hotspot is a nice add on to this device  .
monthly subscription than that on mi    fi or overdrive    screen resolution is impressive , second probably to the up and coming epic 4g coming later in august 2010    live wallpapers are really nice  .
google maps with voice navigation is the way to go  .
i've stopped using my garmin for this purpose as the maps on google maps are more up to date    concerned about sprint's 4g transition wimax to lte , which is potentially going to happen in the next 2 years  .
sprint techs have said though that a firmware patch ota would resolve this connectivity concern    my wifi connection at home over fios (25 mbps down/25 mbps up) is faster than 4g (3    6 mbps down with occasional 10 mbps spikes/1    2 mbps up)  .
boost the speed    sprint corp store radio shack still working a wait list    no voice dial over bluetooth until the arrival of android 2  .
2 (froyo) on 08/03/2010  .
i'm so glad though that the evo is only the 2nd device to the nexus one to officially get froyo release for it  .
i'm so waiting for it  .
do not wait  .
get on a wait list at your local best buy , radio shack or sprint store and get one today  .
updated  .
on aug 5 , 2010  .
this phone is best on the market , period updated  .
on jul 28 , 2010  .
after owning the first three iphones i decieded to switch and try the evo and it is hands down the best phone i have ever had  .
even comparing it to people iphone4 evo stands out .
heard alot of people complain about the battery lol funny my battery last 8 to 12 hrs depending on use best phone on the market def beats the eyephoney  .
this phone dream come true i always loved my blackberry bold and i is scared to take this move from at t to sprint after 2 weeks with the amazing evo i am keeping it because no phone could out preform this baby eeeeeeevvvvvvvooooooo blazing fast updated  .
on jul 26 , 2010  .
i have returned the iphone 4 for this phone and i did the right thing thank god after using the iphone 4 i said to myself wow what a phone then i start having problem with the it returned the iphone and get the evo and i must say wow wow wow awesome phone you can not go wrong with the evo .
well everyone is coming out with 4g if your phone does not have it you have to buy a new one so the evo is good there  .
the hotspot works really good  .
the overall operatioon of this phone is awsome  .
it just works  .
the big screen makes it so much better to use and see  .
i've been testing all the new ones and this one is hands down the winner  .
just try it for a while you'll never go back .
the best phone i have ever seen  .
the evo just works so well on so many levels  .
i have my nook for dedicated ebook reader but the evo is so portable and takes great pictures    great as music player , video in daylight and an awesome browser that even plays some flash already prior to foyo    i now use it in place of so many other gadgets .
the evo does it all  .
i swithched from a heavily tweeked palmpre to the evo 1 month ago an amazing machine  .
i have not touched my laptop for 4 weeks now dont really need it with this phone around i will reccommend that anyone wanting a superior phone buy this one  .
best phone on the market , and sprint has the best data plan  .
my wife and i traded in our iphone 4's for evo's and we haven't looked back once we started using the evo , we realized that so much of the iphone's appeal is asthetic  .
this phone is a workhorse , and it outperforms the i4 in nearly every category  .
and while it may not be as sexy as apple's baby , it looks great in its own right (and you can hold it any way you please) if you have not used android yet , you're missing out  .
in my opinion , it offers all the perks of iphone's ios , but with soooo much more (android's much more open , whereas apple has their walled garden method of only allowing what's most convenient for them  .
it offers more possibility out of the box , and you get the sense that it's infinitely more upgradeable than iphone  .
android is here to stay , and the evo announces that with the voice of a giant i'm much more tech    friendly and i love this phone ; yet my wife is only casually familiar with tech , and she loves it as well  .
i highly recommend the evo  .
spring $30 for an extra oem battery and the only drawback will be null and void updated  .
on jul 23 , 2010  .
had always been a blackberry person (a very non    intuitive phone) so the switch to the evo is not only easy but made me realize how hard it is to learn the blackberry while how simple the evo is no need to repeat the things people have raved about i other reviews       i think this phone is just awesome .
first , let me say    i love the phone  .
i am thrilled with my decision to retire my blackberry curve 8330  .
i cannot imagine going back to the blackberry after having this phone to me the most important thing about a phone is , surprise , the call quality  .
i think we tend to get caught up in features (bells and whistles) , and we lose sight of the fact that you actually have phones to make calls  .
sprint's service is much improved over the years , and i have found that drops , echoes , being able to hear the other person clearly but he/she cannot hear you at all    those things are few and far between  .
noise cancellation is very good , and you cannot hear yourself of anything on your end when talking  .
i have roamed off of sprint's network a couple of times , and you would never know the display is , well , large  .
the phone is the size of a 4  .
3 gps  .
it is a big phone , particularly compared to my old blackberry  .
not a really big deal though  .
i can still fit it in my pocket , and it doesn't look like you have a banana in your pocket (or you're happy to see someone)  .
the colors are sharp , bright , and beautiful  .
taking pictures , video , or viewing websites all look breathtaking  .
i have taken 720p video and sent it to youtube to see online , and it is hd quality  .
pictures are 8mp , and they look just as good as a regular consumer's digital camera  .
as is the case with most phones , you can obviously zoom from picture to picture , but you cannot zoom during video shooting  .
zoom is not that great in either case , but who cares  .
you don't buy a phone for what a camera is supposed to do the ability to switch from screen to screen , web page to webpage , what have you is amazing  .
the snapdragon processor is remarkable  .
my understanding is that this is why they are nailing you for the extra $10/month  .
whatever  .
either way , the phone moves very smoothly from calls to texts to web to apps speaking of apps , i am new to the android market , and i have found its selection comparable to the apple app world  .
anything that i've needed for the evo , it's in the android market  .
i allow my daughter to play with the evo every once in a while , and there is more than enough to entertain her wi    fi    for me , it's a necessity  .
i do not live in a 4g neighborhood  .
it kicks in about 10 miles south of where i live  .
i frequent that area quite a bit ; so it was not completely nonsensical for me to get a 4g phone  .
that said , my wi    fi at home more than fills in the gap for when i cannot get the 4g  .
should i not be in a 4g area or not with wi    fi , the 3g is amazingly quick too  .
i have been going download speeds at close to 1 mbps on 3g , 4  .
5 mbps on 4g , and my wi    fi is close to 6 mbps  .
speed on the web will not be an issue on this phone even on 3g  .
3g on this phone compared to the blackberry is night and day    please don't think that you're not going to be upgrading if you don't get into a 4g area as the 3g on here is far faster the music app is very ipod like  .
while the ipod is the gold standard , you are not losing much on the evo  .
it has become my ipod when i'm at the pool , exercising , etc now for the things , i'm not crazy about i have an ipod touch that i type on every once in a while    again , when i'm on wi    fi  .
i find my accuracy in typing on the ipod far better than my accuracy on the evo  .
now , that may be a me problem  .
your results may be better  .
i find myself making a zillion mistakes on the evo  .
the dictionary on the evo is really deep , and most common words are in there  .
i get a little frustrated sometimes texting or emailing from the phone because i find that i'm just not really good with the keyboard yet  .
hopefully , that will improve battery life   if you leave the brightness on automatic brightness , you will not make it through a day with this phone if you are a power user  .
just not going to happen  .
i have found a couple of work    arounds   (1) lower the brightness to as far left as you can handle it  .
i have been pleasantly surprised that going lower on the brightness has not been a big deal at all  .
now , if i'm outside in bright sunlight , of course , i can run the brightness back to automatic  .
but , if i get in my car or go inside , lowering it is not a biggie at all  .
(2) install an app called advanced task killer free  .
for some reason , apps tend to mysteriously come on in the background and stay on (even though you'd never know)  .
this app can be set to close those apps automatically , obviously saving battery life  .
with those things in place , i have been fine with the battery life  .
i is scared to death when i first got the phone that i would have to take it back because of the lack of battery life , but i'm ok now lastly , 4g is really cool    when the phone recognizes i'm in a 4g area  .
sometimes , i know i'm in a 4g area , and i have to cut the 4g off and turn it back on for the phone to pick it up  .
not sure if that's a flaw or , again , a me problem hope this helps  .
enjoy  .
it is ahead of the curve period  .
even if you dont live in a 4g area it will smoke any other 3g phone  .
it's simply at the head of the class in smart phones  .
i left verizon and i could not be happier ; sprint is competive ; give you more for your money and is will to absorb/credit up to $150  .
00 of your early temination fee  .
it is too easy to switch  .
i now have the best smart phone on earth on one of the best networks , and with 4g capability  .
there is a $10 premium on the evo 4g due to it 4g and faster 3gccapability (worth it) you will more than make it up with the $69  .
00 unlimited all inclusive plan  .
the only thing that is limited is 450 anytime land    line minutes but even that is free from 7pm to am  .
verizon cost more (with an employee discount) and anytime starts at 9pm (irked me)  .
for $69  .
00 sprint gives you   unlimited cel to cell ; unlimited texting picture mail ; free unlimited data plan , free gps  .
i had the $69 plan with verizon and got way less and more restrictions ; i also had a separate $60 per month data plan for my netbook  .
well i only pay $30 for my built    in hotspot that will host up to 8 wireless divices  .
that alone is saving me $30 per month  .
i could go on on but i am still learning what all my htc evo 4g can do  .
and i lived happily ever after  .
updated  .
on jul 17 , 2010  .
perfect device for those intelligently looking for something better than apples power trip on buyers  .
i was not able to get the iphone 4 on launch day , then when reports of antenna troubles emerged    i decided to go eloping with verizon and sprint  .
i spent a week with the droid and loved the tactile keyboard , but is wishing i had a 1ghz phone  .
i got my hands on the evo from sprint and couldn't be happier  .
the data plans are cheaper , and with free roaming    i not only get spint coverage       but verizon , at t , t    mobile too some people dislike the htc sense ui , but i think it's gorgeous and a welcome change from the boring iphone interface  .
it's so customizable that you'll spend the first two days looking for wallpapers , widgets , launchers , etc syncs up perfectly with ms exchange and i find that htc's e    mail interface is much nicer than apple's and has a lot more functions (sort by unread , sort by conversation , sort by attachments , etc )  .
my contacts and calendar sync perfectly with ms exchange and the calendar is much nicer than apple's too syncs my facebook contacts right into the phone    and adds information and pictures to existing names notification bar is super handy    especially when you have your phone on silent and do not want to check it every 10 seconds to see if 'that e    mail you're waiting for' came in  .
discreet green led light flashes when you get a new text or e    mail multi    tasking is excellent  .
i learned that you have to use the 'back' button when exiting out of each program instead of the home button (like iphone)  .
if you just hit the home button , the program will continue running in the background and pretty soon you'll start draining the battery  .
there's another setting       i cannot remember if setting the preferred network to sprint or disabling one of the roaming options fixes the short battery life problem  .
i'm able to have my 7 screens full of widgets , keep push e    mail on , surf the web , text , talk , etc and still have battery at the end of the day apps are great       some are even better than the versions from itunes  .
clock , stocks , calculator , etc are all a cut above the iphone  .
documents open up perfectly  .
camera takes great pics  .
phone is blazing fast  .
the kickstand is great for carrying on conversations without needing to hold the phone  .
front    facing camera just like iphone 4 this phone is a beast       for anyone sitting on the fence about renewing your contract with at t    i'd suggest you try out verizon or sprint  .
you get a 30    day return period to try out their network and phones  .
google has really surpassed the competition with android  .
any of the phones with htc sense ui will blow you away       lots of eye    candy and functionality  .
motorola's motoblur and the 'naked' android interface are ok (but will need a lot more customization to give them glamour) i also love that i can set any song that i want to be my ringtone  .
i download music from amazon's mp3 store (just like itunes) but the difference is i can play on any computer without apple's permission give the evo a spin    it's worth taking a break from apple to see what their competition is doing .
bottom line this phone is great and you just have to own one to know what i am talking about  .
coming from the iphone , android took some time getting used to  .
once i got the swing of things i could not have been happier jumping ship  .
sprint has great coverage in my area , which means i finally have a multimedia powerhouse that can serve its original function , to make and receive phone calls (thank you htc and sprint  .
) while i think this phone is way better than the iphone there is only one draw back to me , which is finding a phone that is in great condition out of the box  .
i went through three phones before i found the love of my life , lol  .
i had one that is missing an sd card (returned) , the next had a dead pixel (returned) , the next had slight screen separation (returned) , and finally i got a good one  .
i give it five stars because if you can get one that is in good coming out of the box you have a gem  .
come on sprint and htc you have seriously got to make sure what you ship out is on point before you ship it out , but i guess that is the common theme this month for cell phones (i  .
, htc evo , iphone 4 , htc incredible)  .
call it my bad luck or whatever you want to call it , if you can get this phone and it is truly mint out of the box you will not be disappointed .
i luv sprint  .
prices , coverage and it's always the other guy dropping the calls now they have a real smartphone .
i cannot even explain how great this phone is  .
i have used almost every phone at least the high end ones and this is just some else  .
after having and evo it just feels perfect  .
i love the feel in my hand and love the beautiful screen for searching the web and so on  .
if anyone has anything bad to say about this its the battery life and some say the size may be too big  .
i will say number one that the size is not too big at all  .
not even close  .
just feels like i said before perfect  .
everything after using it just feels crammed and feels like your missing out on a great experience  .
slides right into your pocket  .
better than most phones slide into a pocket  .
number two , battery life is very misleading  .
there are sights out there that do say the battery live is not bad and it gets just as good as most phones  .
than there are the ones that say its very poor battery live which is very much a lie  .
i would say most of the people that say that dont know how to use the device and another thing is to some people it may seem that way because with this phone you will want to play with it all day so your on it much longer than you would of been on a other device  .
even so i get on average about 11 12 hours of battery life out of it before i charge it  .
thats using it much more than normal use  .
after using this the iphone just feels well boring  .
you can customize everything  .
not to mention how good monthly fees are  .
unlimited data for hotspot up to 8 devices as well  .
every other phone just feels so restricted  .
and who wants to video chat only on wifi and having to hold there phone up the whole time  .
kickstand really is a very nice feature  .
bottom line is it is an amazing phone and you wont be disappointed .
i would and do recommend this phone , but get a extra power cord for work .
yes i can complain about battery life , but thats with every phone i have ever had  .
i love this phone so much i sleep with it , wake up in the middle to play with it  .
it is love at first sight my last few phones is a mogul the touch pro , then touch pro 2  .
i loved each phone until the next one came out every feature that is important to me has been made easier to manuever on the evo 4 the way i can manage text messages and visual voice mail is awesome  .
from deletion to locking message  .
same with email  .
screen is so enjoyable to watch you tube , which i use to research anything at the drop of a dime  .
internet speeds are fast especially opening up a attachment ,  .
the fact that i can use my rhapsody subcription on this has made it an instant  .
mp3 player which i use with my stereo wireless headset or through my car speaker , sounds and plays great with ease of use  .
i am a real estate agent , camera and camcorder is all i need to post a house emailing pictures is a piece of cake  .
, and they are so clear  .
video phone is great to give an online tour via qik  .
com the phone is also used to enter homes via lockbox  .
so i dont need a camera anymore , a lockbox key , a gps , mp3 player and my small notebook computer  .
oh dont let me forget the data card which always needed to be replaced for $100  .
00 a pop  .
hot spot will take care of that the feature i like the most is that i can send the caller who left a voice mail a message back to their voice mail without speaking to them  .
slydial is missing me the games are awesome and i am 58 years young take your time learning the phone , before you dog it out  .
i learn something every day  .
at first i thought i is going to send it back because i is not use to the android system  .
watch every video and read forums  .
you will learn something everyday sprint you can offer me a job i will answer any questions on how to operate this phone  .
i can do commercials for you and sell more phones than best buys or radio shack  .
i love the evo  .
and stood on line to get it ( a 1st) (and last)  .
i is reluctant about signing a 2 year contract , but this phone is worth it  .
and i havent even set up my hot spot  .
nor my sling back to watch my dvr on the phone via a computer with the proper cord sprint i am proud of you for this one  .
plus your customer service has even gotten a little bit better  .
hope these two years is not painful  .
i've had no problem with this phone , really like using it and have been very impressed with sprint's gamble  .
i've neither seen or used anyting better basically this thing is approaching a small computer in capabilities .
with today's technology it is hard to expect the battery to last all day the screen is big and bright which means the phone is going to use a lot of power i'm happy with the advancements we have made thous for and looking forward to the next big deal i do not upgrade my phones very often so this is a big upgrade for me you have 30 days to try it out so i would tell everyone to try and see if the evo is your cup of tea .
