old school basics still apply in the digital world  .
they must have been working out the bugs in the first batch  .
the zoom is super fast  .
the sports action mode has some problems in bright light in that it makes over exposed streaks on the pictures , but in dim light it works well  .
is able to take pictures of pitches crossing the plate in a local baseball game and actually see the ball in successive shots as it moved closer to the plate  .
i've had the nikon 5700 and 8700 in the past , and like the features of the p80 better  .
just wish they would have kept cf memory and the same battery as the 5700 and 8700 so i did not need to buy new batteries , chargers and memory cards , sigh i ended up getting extra batteries , chargers and memory on e    bay and pricegrabber for good prices  .
overall , an excellent camera , the sports action setting needs a little improvement in bright light situations .
i own a nikon d40x , and d300 and this is an amazing back up camera  .
it takes as great shots as my d40x does , sometimes haha  .
i would recommend this to anyone just starting out , if you it's your first camera or as a backup , you will not be disappointed at all  .
it takes amazingly clear shots and at 10mp you can blow up your shots poster size it has a great video function , manual modes for up to 8 long exposures  .
the lcd is bright , clear and accurate  .
the long lens range and 18x zoom along with macro function lets you get some great shots you would not be able to with any other coolpix or canon sd series camera  .
this is an excellent camera , the only thing i wish it had is raw , i love shooting in raw , but that's just me  .
this would be a 10\10 if it had raw and if you could expose for more than 8 seconds , but hey for 400$ its practically as nice as an 800$ d40x  .
buy this camera , you will not be let down .
i am very satisfied with all aspects of the camera    except    the deficiency in the zoom capability as compared to the coolpix 8800 which has a rating of 10x zoom as compared to the p80 which has a rating of 18x  .
should not it take clear pictures at nearly twice the distance  .
the picture i took of a hawk at full focal length with the p80 is neither as clear nor as large as the picture i took of the hawk on the same limb of the same tree from the same back porch with the coolpix 8800 .
in general p    80 is great outdoors , and it 18x zoom works well  .
it has plenty of functionalities  .
the camera has a slow performance       but the major issue is definitely the p    80 difficulty on understanding indoors light environments , specially with flash  .
in these situations it becomes extremely difficult to focus specially if you zoom  .
i just bought a point and shoot for my grandson  .
after looking at a couple of cameras , the sales person showed me this model  .
we discussed it and i had to agree that it is not as good as the other models i had looked at and the price is higher  .
so i opted for another nikon camera  .
i have had no actual experience with this camera ; i just did not like its features and price  .
i normally use a nikon d200  .
the review of the nikon p80 notes the digital noise , the slow processing , (even on the fastest read/write memory chip i have , i still found it to be slow , ) etc the most disappointing aspect of the camera is the washed out pictures       not only highlights , but entire well lit areas  .
i have fiddled with the menu to try to get better renditions , to some inprovement it is ironic , i got the camera because of its manual , shutter and apperture priority features , but the best pics i have gotten were obtained using its point    and    shoot option truly disappointig  .
one of the main reasons i bought this is the sports mode  .
but i have to return after using two days  .
whenever i dial to the sporst mode , i felt the continual shaking dull sounds  .
it is not worth to keep over $399 .
there is one major fault among the smaller noise issues etc , it's really bad at focusing in lower light conditions like in a loungeroom with 60 watt lighting and lamps  .
in comparison my family's old hp photosmart camera is able to autofocus more often , i'm even able to say my nokia n73 3  .
2mp cameraphone can consistantly focus on subjects in low light  .
i wo not be buying another nikon coolpix camera again  .
i was not able to take photo's of my little sisters graduation and i should not have to miss moments because of a design flaw  .
autofocus is the only practical option for point and shoot where theres no optical view finder updated  .
on dec 16 , 2009  .
this is a very slow camera , slow to turn on , slow to take pictures , and the internal software wo not take more than ~ 10 shots in a row w/o freezing up further , despite all the software updates i am now unable to upload pics from my camera to my mac  .
both nikon and mac have been no help i am returning this   camera for a full refund  .
what a waste of my money and time .
my 1st and last nikon  .
do not buy by reputation  .
this camera is terrible  .
lost too many great shots to inability to focus , slow response , lock    up/reboot , and low resolution telephotos  .
my alaska vacation will not be remembered with admiration due to the p80's inability to deliver  .
shame on nikon .
nikon service people are rude and cheap  .
they gave me the run around and made me send it to a nikon service company that doesnt even do business with the manf so i would hve to pay out of pocket either way  .
now i have to pay for the shipping back to  .
i already spent 15 to send it to the manufacturer in new york  .
ugh  .
long zoom lens, vibration reduction, large lcd (2.7 inch), small size camera body; none so far
Good stitch program for panoramic with several shots; When sports mode on, the camera made sporadic noisies &#38; vivration
Close up resolution; Slow in all categories, poor focus, purple fringe, locks up - needs to be rebooted, poor gui
Still looking. The lens may be a positive feature, but... I'll look some more; Washed out highlights -- washed out entire areas under bright lights, e.g. sun.
good quality pictures and zoom; S L O W .... and what's the point if pictures don't upload to your computer?
good telephoto; slow, no raw, some what large for a point and shoot
extensive feature set, huge zoom range, generally very good to excellent image quality, operational flexibility; very noisy above ISO 200, no RAW file format, somewhat sluggish performance
18x Zoom, image quality, lots of features, good image stabilization, pop-up flash; Above ISO 400 it gets a little noisy, sluggish performance at times, longer then 8 sec exposure
I bought this 10/08 the LCD display blacked out. I never dropped it! I hardly used it &#38; the Manuf will not cover it. They sent it back &#38; the camera does not open, says"Lens Error,remove cap" so now i have no use 4 it. I spent $400 @ walmart. Im an; I will never buy electronics from wlmrt again and this nikon service sucks! dont even buy it, its a waste of time and money.
Great Colors, excellent large prints, easy to use, pre-programed modes are perfect, ISO 64. Excellent image stabilization.; Uses Nikon Lithium Ion Battery instead of AA's. Does not have RAW Image format, no lens accessories available or recommended by Nikon
It seems to have about every feature available in point and shoot camera.. It has a great feel and is a joy to use.. Great zoom lens seems to satisfy most every shooting situation; Does not have raw photo option.
Good and easy to use megazoom, great for pictures outdoors -specially daylight. Significant amount of functionalities, relatively friendly user interface. Very god battery life, battery recharge in fair time.; The P80 has trouble understanding indoors light environments, specially with flash. In these situations it becomes extremely difficult to focus specially if you zoom.. The camera has a slow performance in between shots
Wow!did not expect such clean shot! And Pic quality!EvenD60and higher cam. can?t do that!Uwill not achieve the same shot!Unless U spend at least $800.00 just for lines!NikonP80 cost about $400.00there is no better camera in the world for this price!; Cons: Need more light, Small Flash. However, You should count all facts! I was sitting on my chair! Did not want to move My b..! If I get up and try to do the pic again it will be Perfect quality!
Huge 24X zoom, not bad pictures if you take them in daylight or stronger interior fluorescent lighting.altho sometimes even then it doesn't like it.. Good macro and great wide angle...; Terrible low light performance, I mean absolutely mediocre low light performance. I shouldn't have to compare a 5 year old HP PhotoSmart camera with a 1 year old 10MP Nikon.
10.1MP, 18x Zoom, Amazing Image quality, Large LCD, Manual A,S,P,M Modes for SLR control, Nice ISO range, great in low light, great on camera editing features like d-lighting, small, built well, SDHC; Doesn't shoot in RAW(only con for some), a little too big to fit in pockets, flash isnt amazing at times, only take 13fps at 3mp not 10mp, not really cons, just wish had a little more
The camera is easy to handle, takes sharp clear pictures and images transfer easily to PhotoStudio or PhotoShop Elements. I do not experience the noise and other defects others seem to find in the camera.; The camera is rated at 18x zoom, yet it does not take a clear image (let alone sharp) at the same distance as my Nikon Coolpix 8800. I took a picture from my back porch of a sitting Osprey hawk with both cameras. The 8800 took a far better picture.
