one low price and no add on fees or taxes  .
sure , the phone is expensive , but if you cannot afford a one    time expense of $300    $400 , then you should not be shopping for smartphones anyway .
i have had metropcs for just over two months now and so far i am very happy with them  .
i live in a service area that has a solid 4 bars of connection and good 3g data connection ; i have never had a dropped call and the call clarity is as good as att and far better than sprint ive tried all the major service providers and none were significantly better , most were worse ; verizon overcharged me 18 out of 24 months and i would spend literally 1    2 hours on the phone each month fixing it (once they charged me $500 of international use when i had not been out of the country for 2 months  .
sprint had horrible reception and more dropped calls than anyone , t    mobile did not have 3g at the time i had service with them , though their customer service is outstanding  .
att , my provider before switching to metro , had great call quality , acceptable data quality , and i could use it internationally but the bill is way too much for the service i ordered my metro phone over the internet and it arrived one day earlier than promised , with a tracking number emailed to me within a few hours of placing the order i have called metropcs customer service 3 times so far including the new activation , and each time the rep answered my question politely and efficiently ; i never had to wait more than 2 minutes , which is something i can not say for any other carrier except t    mobile things i like about the service    .
unlimited everything  .
lowest monthly bill ive had in 5 years+ , and fixed bill too  .
good call quality if you have strong reception where you are  .
free international txt ; i use this a lot and it works great  .
unlimited international calling to lots of places with a $5 fee / month  .
international calling to places not covered in the plan is cheap when using their ild card  .
(cheaper than att and verizon , on par with t    mobile)  .
things i don't like about the service    .
no international phones (phones with both cdma and gsm technology built in please add one ; yes i know you can flash a blackberry 8830 to metro but still )  .
the phone that i ordered did not come with a usb cable ; but it did use a standard connector so i could use one i already had and the software drivers were easily available 3  .
international calling card seems to be only available in the corporate stores ; how about letting us add money online without having to even get a card  .
i wish they would post a list of the countries that are covered by the $5 international plan  .
you can check a specific phone number , which is ok , but come on , how hard is it to just post a country list  .
bottom line    .
for me , metro has been a great option ; but do your research  .
check the coverage map for the areas you will be using the phone  .
research the fone you want to buy  .
dont buy from an authorized dealer  .
i picked metro because of the value they offered , not because of credit or any other issue and so far , i'm glad i did (disclaimer   i am not employed by metropcs or any of its affiliates or dealers , but i am a computer engineer with a strong understanding of cell technology)  .
i love metro pcs i live in detroit , mi and before this service came along everyone is used to the house phone because lets face it we don't need contracts holding us down and as far as the face that traveling is somewhat restricted , think about it how many times do u go out of town if your average john or mary  .
you go to work or school then you stay close to home u may travel a little  .
overall its good service unlike paying 100 plus dollars a month for service with contracts  .
when i feel i don't want a cell phone service anymore with metro pcs i just don't pay my bill no damage to my credit look at that if i want to pay late sure why not no credit checks  .
so no damage one again get the picture  .
bottom line its easy to sign up all the minutes you want yeah its not perfect but you pay for what you get in america baby you do not like it go pay sprint or verizon a million dollars a year  .
after owning the samsung finesse phone and metropcs service for a week  .
i love the phone , but the service is spotty  .
really like the phone and now i can see why some people love the apple iphone  .
on this phone , i can get full html pages which is nice , but probably faster to use the moblie (mobi) webpages for many sites  .
as far as metropcs service , some areas are very good , some areas it is nowhere to be found  .
calls to china using the unlimited international plan worked  .
customer service (which is suppose to be a big negative) is decent  .
not great , but good  .
big problem with customer service has nothing to do with the reps , but all about the metropcs equipment and service coverage  .
tried to activate my phone from the mobile phone  .
do not do it unless you are in a very strong coverage area  .
call their toll free number and do it that way  .
888    863    8768  .
nothing worst than going through everything with them only to be disco at the last minute because of lack of signal .
i have been with att for years and very happy with their service , phones and reception  .
but the recession has me looking over my expenses  .
wow , i am spending $190/mo for 1 phone line  .
$99 unlimited talk , $50 blackberry service and lots and lots of taxes  .
i couln't believe when i found a company called metro pcs that offered blackberry service and unlimited talk for $50/mo  .
i'm in orlando , so the coverage here is actually as good as sprint or tmobile  .
att remains the king    for a price  .
after reading so many awful things about metro pcs i is so scared , but at that price i had to try  .
i have traveled from the florida east to west coast and have had great cell reception in all covered markets  .
i have the bb curve with email , voice , text , data internet  .
all works great  .
i told att i would stay if they gave me a $50 discount but they scoffed  .
so i left  .
no regrets  .
btw metro customer service is also comparable to att  .
just fine  .
if your in a covered market , make the switch do not be afraid .
if you are a someone who calls or texts alot throughout the day on a daily basis , then this is the plan for you  .
no nonsense , no frills type of cell phone user , this is the plan for you  .
although companies like verizon , sprint and at t do offer a better variety of phones as far as selection for free , or reduced price , in the long run you pay triple or quadruple that for service in a year  .
at metro i pay $200 for a samsung messenger , and have a bill of 85  .
00 a month that is for 2 phones , unlimited text and calls  .
at sprint yes i got a free phone but my bill ranged from anywhere from $60  .
00 (a good month) to $120 a month ridiculous  .
$960 a year sounds much better the $1440 plus i am never surprised when i receive my bill or left in shock for days on end  .
customer service could use some assistance , phone selection could use some upgrading , but overall i am satisfied .
all in all , i am happy with my metro service  .
flat fees and no hidden charges , no going over my minutes and free long distance  .
yaayy  .
politeness and education of staff is a problem  .
hate the fact that i have to go into the store to make a payment and they charge me a fee for paying it .
if phone bill is a priority , pcs is the answer , where you can surf the net , textmsg unlimited both mms and sms , receiving email offline and call all day to anywhere in usa for $50  .
i enjoy very highly  .
the bad part is there is no smartphone , forget all fanzy phones like q 9 , i    760 , blackjack ii or treos , or curve , so you have to put up with slvr l7c , or samsung u520 (their top of line phones entire co  .
) squinting eyeballs when reading emails or surfing net  .
other than that they are cool , given more time i think they might be big , but they need some gutsy phones to offer .
both my husband and i have had metropcs since its inception here in south florida  .
in the first place service is very spotty at best as there were not enough towers  .
now i find the the service to be comparable to the verizon wireless that i dumped to go to metropcs biggest advantage  .
for a total of $103 per month , including taxes , for both of us i have unlimited text , photo , and voice time , hubby has unlimited voice service (he has no use for text messages)  .
we both have 3 way calling and voice mail and we are both on the phone constantly  .
my last verizon bill (back before i became a travelling salesman and really started using my phone) is $320  .
00 for a month for just me  .
hubby's is only in the $180's  .
so metropcs is a no brainer for us however the downside is that because it is a prepay service , most of their cliental are people who really cannot afford cell phones and are basically the irresponsible lower eschelons of society  .
as a result , if you have a problem with something and need to contact customer service , you are going to be treated like gum on someone's shoe  .
the average customer service employee at metropcs is like a waitress at an all you can eat buffet all gum chewing attitude who thinks she is better than her job with more teeth left than brain cells  .
i much prefer customer service from verizon its like walking into nordstrom and asking for assistance a very pleasant experience however , all in all , at 20% of the price , i can put up with bad attitude customer (lack of) service .
i had them in florida for three years now  .
customer service is good  .
its not automatic  .
i never had a problem with billing issues or going over mintues  .
its good to see they finally got some good phones like the razar with more  .
on the way  .
you cant use mp3s on your phone cause metropcs wants you to buy it on @metro from your phone  .
as for the call reception is good in the orlando florida area  .
my friends be having sprint and the call be droping and metropcs has good coverage there  .
i do find the roaming expenisive  .
i hear the carrier going to expand in a big way  .
going into the northeast , boston , ny soon  .
i will tell my friends about metropcs and the great price .
it's really a good deal  .
this service offers unlimited for one low price  .
no hidden fees or costs (i believe they changed their fee structure in the past year) if you need anything other than buying a phone do not go to third party stores for anything else  .
they provide terrible service and give out misinformation  .
you will just need to go to a corporate store to fix the mess  .
go to the corporate store the first time to deal with anything that needs to be handled i do personally wish they offered a different plan for their family packages instead of just offering $5 off per plan per month  .
perhaps they will in the future offer something better than that do not expect free phones from this company  .
other companies roll the free phone cost into their contract cost  .
no contract , no free phone here  .
however , you can find some great deals on phone prices online at their website  .
if you want to deal with it , you can also find phones listed at ebay  .
just make sure you know what your doing and that the phone is truly a metro pcs one before you bid this service does not drop anymore for me than my kids t    mobile phone service does (their dad provides this service , but pay much more for limited minutes and hours/days of the week) but they drop calls in different places from each other overall it is a good service for the price paid if you are in a city that has established coverage  .
newer cities may have hiccups until the coverage area is more established and settled .
a few months ago , my verizon contract is up and i decided metropcs is worth trying  .
verizon is $40 a month plus tax for a plan that included 400 minutes of voice and absolutely nothing else  .
metropcs is $40 including tax for unlimited voice , text , data , picture messaging and a bunch of other stuff (which , by the way , would cost $100 a month from verizon)  .
and there is no contract , so i figured if i didn't like it i could just go back to verizon so far , i've been very happy , i'm surprised at all the negative reviews on this site  .
i haven't exactly traveled extensively thus far , but my phone has worked everywhere i've needed it to , all over michigan and in chicago  .
and even if i have to go out of network , i can use the verizon network for 19 cents a minute  .
in three months , i think i've used about 50 cents in out    of    network minutes so it hasn't been a big expense  .
your phone always tells you if you're out of network , so there are no surprises the network so far has been very good , i would say it's very slightly less reliable than verizon , which is still quite good  .
one small trade    off is that it's not quite as seamless as a larger network like verizon  .
occasionally , you may have to switch the system setting on your phone if you're traveling  .
but it's really not a big deal i've also found that i actually prefer prepaid billing to monthly contracts  .
with verizon , i had to keep track of my usage and go through a bill every month  .
now , i can call or text whoever , whenever and set my metropcs account to autopay and forget it  .
it's always taken out on the same day of the month and it's always $40 i also haven't experienced the problems with customer service that others have mentioned  .
when you call customer service , you have to follow a series of voice prompts  .
when you get an agent , they may not speak english that well , and they may not be that bright , but they generally solve your problem  .
i wish it is better , but it's no worse than any other wireless provider one note    the data service can be very slow , at least with the $40 plan  .
this does not really bother me , as i is paying more on my old plan and got no data at all  .
i can check my email and get driving directions and do some other things , and for me , that's good enough  .
if data is a big priority for you , you should probably upgrade to the $50 smartphone plan .
i started with verizon and really didn't like thier customer service , then switched to metro pcs and did not really have any serious problems    had a minor issue when i first made the switch but they fixed it without a problem very promptly    had to go into the store tho ended up switching to t    mobile to get a more fancy internet/phone and it is the biggest mistake ever  .
i had a horrible time with t    mobile and would never ever go back to them  .
i regret ever leaving metro and plan on rejoining soon  .
good basic phone for an unlimited carrier .
i love my samsung finesse smartphone it cost me $200  .
00 to buy  .
but compared to a contract phone i would be paying $80 , 00 a month for service plus an extra $30  .
00 for a mandatory data plan with metro i only pay $50  .
00 a month plus the $4 for the insurance and i get the same perks with them that i would get with a contract phone only i'm saving $55  .
00 a month  .
i love everything about this phone  .
metro is ok in my book  .
payment system flawless to date  .
no over charges or big auditing issues with a flat fee service  .
smart phone services plans for $50 monthly the big guys can eat my shorts , since they also took jobs from americans to offer through their global unions sad , their is little loyalty and patriotism in this country .
i love the service hate the robotic customer service reps  .
i have had metropcs for 2 years  .
the service/reception in the dfw metroplex area is really very good  .
i can travel aprox 80 miles outside of the metroplex area before i start loosing the service  .
love the unlimited texting , local and long distance plans  .
the family plans you do not share minutes which is the greatest especially if you have a fast fingered teen that is also very chatty  .
phones    use caution and research the phones they offer before you buy one since the phones cost a bit more to compensate for the low cost plans  .
i am about to get my 3rd phone  .
1st phone is without a doubt my fault dropped in the lake never to be seen again  .
(oops) 2nd phone i thought i had damaged but now i am thinking it may have been the kyocera phone  .
i got a kyocera strobe 612 and really regreted spending the money on it 2 weeks later  .
the phone just powers off for no reason , frequently try to get into the phone book/contacts list on the phone and get a message updating phone book what the heck  .
why would the network need to update something that is saved on my phone  .
to reset the error sometimes if power down take out battery wait 5 minutes put it back together and turn it back on the phone book might be working  .
the front key pad started acting up after about 3 or 4 months  .
short battery life replaced 2 times already and need another but decided im getting a new phone instead  .
it will be my christmas present this year cust serv call centers located world wide so you can never get the same cust svc rep twice  .
they use a script for problem solving and you have to start all over from start with each transfer to another rep  .
1 time paid account but the phones got turned off when i called i is told i had shorted the payment by 15 cents they would not take my card over the phone because it is under the minumum amount allowed  .
we had to drive in almost 10 miles to a store to pay  .
15 cents and had to pay a 3  .
00 handling charge for paying an actual person  .
24 hrs later phones still off called back to cust serv and got a huge run around and each rep/manager said something different from the last  .
horrible management and customer service  .
bottom line                       .
research the phone reviews before you buy , hope you never have to call customer service and especially dont short pay by even a penny  .
overall if you do not do a lot of traveling out of the major city you are in its a great service  .
the minutes for roaming however even the pre purchased are expensive  .
the reception/service in metroplex and in my case surrounding area is excellent  .
the plans available from very low cost 25  .
00 minimum plans all the way up to a very reasonable $75  .
00 unlimited everything with all the bells and whistles plan  .
the family plans are equally as good .
metropcs works fine in the places where i spend almost all of my time  .
and i love the unlimited minutes .
great plan idea  .
the other major companies could take a note or two on it  .
but if you dont live where service is all around you might as well yell and hope whoever you trying to talk to can hear or you will be walking around for along time trying to get signal .
there is a family plan and my phone works well but my boyfriends phone sucks i dont know if its the fact that he bought a cheaper one than me or what but his phone never gets reception  .
metropcs does not offer much but they excel in what they do offer  .
if you are looking for an unlimited prepaid service which is priced substantially below the price of a contract plan , you may wish to consider this unique product i use a motorola razr v3s in conjunction with metro  .
s service in the san francisco bay area for roughly six months  .
i have found the call quality to be clear and consistent throughout the area and much of the state , far better than any other provider i have ever used  .
only rarely is a call dropped , and it is usually when i am either driving or entering a subway station where the call must be forwarded to a smaller antenna on the platform , which doesn  .
t seem to connect with the surface antenna system the text messaging service is very reliable and is able to send international sms at a reasonably competent level  .
international texting (unlimited , of course) is included with the $45 per month plan and i have tested it with most british carriers  .
it usually works quickly and reliable but some o2 customers are unable to send replies to metropcs this talk of international usage brings me to another point , international rates  .
the international calling rates on metropcs are among the best in the industry but they made substantial changes to the way in which international calls are dialed  .
a few months ago the network is configured such that you prepaid international long distance credit and simply dialed the numbers right out of your address book , as if you were calling via international direct dial  .
the only difference is that metro charges only 2 cents per minute to call england , a steal compared to all other mobile carriers in the us  .
this feature ended though , much to my dismay  .
the rate is still the same very competitive rate but it requires the user to dial a calling card number , and then enter the phone number , which is inconvenient  .
many of my international contact also reported that their phones were unable to identify my number when routed through the new system  .
if i could change one thing about the service , i would bring back the metroconnect international calling system the last bit about international functionality is that of international roaming , there isn  .
t any  .
enough said , that  .
s why i didn  .
t give 4 stars  .
even if there was , the cdma network issue would offer only limited functionality in a few countries given that the network is cdma , the user must rely on mertopcs for all phone choices  .
they can flash phones to operate on the network but the options are not nearly as extensive as if the network is gsm  .
if this were so , any smartphone would be compatible but instead , there are no options beyond very basic phones which metro supports , there it is rumored some smartphones can be hacked to work on metro the negative things being mentioned , i will now accentuate what i love about this service  .
they don  .
t sell you more than you need and then force you to keep buying it for two years  .
when you subscribe to a major provider , you pay for very extensive coverage that you probably won  .
t use  .
instead of using this model , metro has included coverage only in major metropolitan areas of the country (as the name implies though roaming is available via verizon) and you pay half as much as the unlimited rates of the competition  .
for all of this unlimited service , there is no contract and phone prices are reasonable  .
though the plans have only basic services (no laptop tethering or 3g speeds , ) the services they offer are very reliable and the call quality is amazing for a mobile provider  .
