i purchased the dns    323 after lots of research  .
and i must admit , that although i is not very impressed by some of the reviews i had read online    i'm glad that they were wrong my primary purpose for purchasing this unit is to maintain a backup of my files , stream videos and pictures over my home network and dowlonading torrents  .
this unit does all the three beautifully the setup is extremely easy  .
tried their technical support but they were slow (2    day delays for every email) , redundant (i had to respond the same questions many times) , and not knowledgeable at all (did not know anything about tcp/ip and did not fix my problem) after fixing the problem on my own the first time , the raid array failed again after 1  .
5 months  .
i decided to cut my loses and try a different nas box  .
i will never buy anything from dlink again .
i have worked with many brands (qnap , synology , buffalo , snapserver , etc)  .
this dlink is the worst by leaps and bounds  .
the admin tool kit it to crippled i have to make mutiple shares for folders since i cannot assign multiple groups/users to a shared folder  .
raid tools and hd health tools are a joke  .
when i compare to an 8yead old nas the dlink fails for the reviewers that like the dlink i can only assume that they have only ever used the dlink and do not know what else is out there the only way i can recommend this is if you dump the dlink os and hack in your own os for it for a good nas look to synology (my current fav) or qnap (almost as good)  .
buffalo is cheap and ok  .
look to anything other then the dlink  .
our dlink is a few months old in a small office and we are planning on putting it in the trash and popping the hd into something else anything else .
this is just plain horrible  .
it is my second try to replace an aging maxtor and i wanted raid so i got this turkey  .
the unit can be found and setup for network attachment easily as any other nas box but after that , the setup is a total nightmare  .
groups are completely broken  .
when you assign a user to a group , it works  .
when you assign that same user to another group , it is removed from the first group  .
this makes setting up group a waste of time to consider  .
not documented  .
when you add additional users to share a folder , you get a different share for each user named in the order they were added with a dash and a number behind  .
you cannot change this  .
it is not documented  .
this unit has a fan which does nothing to cool the unit  .
i had to purchase an external fan to keep it below 100 degrees in a cooled environment  .
without the fan , it goes to about 120 when used at all  .
during initial loading (if you still insist on buying one of these turkeys) , be sure to have a fan blowing on it and best to just keep it going forever if i could give it negative stars , i would but cannot so gave it the lowest i could  .
avoid  .
i am somewhat stuck with it now and trying to make the best of a sad situation  .
tech support does not care and they do not intend to fix anything , ever on this box  .
with reasonable software , i would love it  .
small , quiet and broken as designed (bad) .
just about ok as a nas but the non    windiws file format is annoying  .
cnet didn't test the upnp server    they should have done , as it is completely hopeless  .
d    link's poor tech support lived up to its name and have totally failed to help  .
the unit is supposed to have a programmable hibernation mode to save power when the unit is not in use    doesn't work  .
also , the included backup software is only a 30    day trial (not mentioned on packaging or promotional material)    very shoddy approach indeed and technically a breach of advertising regulations  .
you can be sure i wo not be buying any more d    link products .
forget about it .
this is going in the junk pile , the box where i keep all the orphaned power blobs and connectors .
in conclusion   not that i do not like dlink they have a few good products , infact i have 3 dlink switches 2 routers nic cards in 8 systems , and i had this dns    323 unit  .
after the support i received from dlink with this unit i will never buy another dlink product , and i will find every single message board and review for this item to tell everyone how horrible this company is with their support and product  .
dlink trys to blame you and not help you at all  .
im a networkadmin and have built many systems and servers in my day  .
i just completed a build for a company using all dlink products what a regret .
yes it's easy use like plugin blank HDD - format - use it; very poor design - It's like big soda-pop can with HDD inside. unknow HDD format. poor when use - vary long time operate
inexpensive, readily available at fry's; cheap software design, unreliable,. technical support is outsourced and not helped at all. slow
99% of the time the product works as advertised.; Poor file structure regarding user information, Poor support.
Very reliable. Quiet. E-mail updates of status.; None that I can think of any longer. First unit was DOA.
Fast download and upload, sleek look, runs cool, very quiet, easy setup.; Wish it was a tad faster
Could find nothing good about this product.; Would not recognize my hard drives.. Don't waste your time trying to get tech support on the phone.. 3 emails went unanswered.
good value for dual-bay device; excellent hardware; begs to be hacked to exploit its potential... which is fine unless you're not a linux gearhead
Easy to set up for a novice like me. Thought it was pretty cheap.; Instructions were a bit muddled and unclear for someone new to this. Although, managed to set it up.
There was nothing I liked about it; Non-standard file system, can't configure permissions for a single user for a particular folder, can't hide partitions, can't allow read access for users and write access for other users to same folder. Can't backup drives.
Aluminum construction, small, quiet, very easy to install hard drives, can work with only 1 HD, many features*, Raid 1 capability, etc.; Unstable as a media server, a little hard to turn off (the power button has to be pressed for several seconds)
Inexpensive, hardware set up a cinch.; The BT client is too barebones. It would be nice to have 1-click torrent DLs directly from website (instead of having to manually add .torrent files to client). Also, there's no ability to choose which files within a torrent you want to DL.
Small, RAID 0 or 1, cute LEDs; You CANNOT create userids the normal way you expect without getting a multiplicity of share names, each specific to a user. If you want 3 users on 1 folder, you get SHARE, SHARE-1, SHARE-2 and have to remember who gets what share. RUNS VERY HOT!
Easy to set up minimal configuration. Runs quiet. RAID 1 (Untested by me thus far) Firmware upgrade (and downgrade) worked well.; Horrible support. Step back. Take a breath. Think of the worst support/attitude you?ve ever had the pleasure of dealing with. Configuration was horribly hard for anything besides straight networking.
Ok for shared file storage &#38; backup across a network.; Media server just doesn't work; with 14,000 music tracks &#38; 22,000 photos it takes 8 hours to index and then serves only about 1% of the files - the rest says 'no content', and the images are distorted. Power saver doesn't work either!
I took a lot of time looking for an Ethernet capable 2-bay system and found several and went through three. You'd think the selection would be better but the selction is pitiful if you want an Ethernet capable NAS.; None that I have found in 6 months of use.
It is able to serve up files stored on it.; Primitive and limited admin tools. Can't make users and user groups like every other NAS or OS out there. There has to be multiple shares for different groups or users. The rest of the admin tool kit is just as poor, primitive and limited.
Very simple setup and has a lot of useful features for a basic and cost effective nas drive; After reading the reviews I was under the assumption that the DNS-323 was quiet. No way. It's noisy and the led's are too bright. It's best relegated to an area where it won't disturb you or the neighbours.
NONE this thing is a peice of JUNK sorry but i will not spend $200 on something to last me for 1 yr what a rip off. You buy something like to last you longer and to protect your data, not to fail.; Everything is a con when you loose your data and the unit dies. to top it off dlink support treats you like crap and trys to blame you for everything.
The transfer speed across the network is comparable to the USB 2.0 hard drives. It can act as a server so bittorrent files don't need to be downloaded elsewhere and then transferred. The network shares are always instantly available.; As other reviews have said, the lid comes off easily, although this isn't much of an issue since it is essentially a server and I don't move it much.
Lots of features, you can connect a printer to network it, has iTunes server, FTP server and uPNP sharing(sort of). Most recent firmware added support for 1.5 TB drives so you can have up to 3 TB in this tiny enclosure. Could be portable!; Firmware update are usually buggy and most always effect file system, see summary for explanation. The new uPNP support for XBOX360 and PS3 is not solid,s ee below. Box gets very hot with little airflow inside device.
