needed a slim and smooth working network drive  .
connecting this drive to a imac (intel) has been a long yet fruitful experience , fruitful because it seems now to be working with timemachine for the moment at least  .

out the box the imac did not recognize the drive  .

i tried everything to achieve this , connected via ethernet to the router , ethernet to imac directly , usb connection to imac but nothing worked  .

the software that comes in the box did not even recognize the drive  .

only way to connect is using command prompt , something i'm not an expert in but it still did not appear mounted  .

besides this is supposedly plug play , not so for mac os x  .

i contacted the iomega support , although very helpful they could not help me  .

then i found this blog ; http  //roncox  .

org/12 , followed the instructions and voila  .

now not only does timemachine work but the iomega 'home storage manager' also finds the drive  .

pure joy but it took way too long and it really should not be neccessary to use command prompts to get a drive working  .

iomega should review their statement about os x compatibility we'll see if it behaves and keeps working .

i liked it due to price and stated performance  .

unfortunately , i just have an expensive printer switch now because my 5    year    old 80gb usb external drive transfers backups faster  .

i realize i am hardly a normal user , but i really would like to use it as a backup device not just a printer switch  .

i guess you get what you pay for  .

this nas seems to work well , the printer switch works great , the software looks hokey but functional , i got chat support for the software since the software in the box didn't support win7 (chat is very nice once i came to the top of the queue)  .

i would not recommend this unit to any of my friends , though  .

with the best transfer rate achieved being 13mb/sec over gigabit connecting to my system with teamed gb nics and raid    1 drives inside and a 6ft cat6 cable is well just plain pathetic  .

transferring to another computer on my network (without the raid and with a 50ft cat5e cable) , i get around 65mb/sec sustained so i know it is not my network or my computer causing the bottleneck .

shame on me (been fooled twice)  .

iomega cobbles together potentially excellent hardware , then ruins it with an alien interface  .

example   iomega rev drive is the only reasonably priced removable media hard drive for backup  .

yet , it shows up as a cdrom  .

so much standard software wo not work with it they've done it again  .

this thing could be so useful if it were just a network hard drive especially if you could connect an ntfs external drive to the usb port  .

instead they put a typical goofy iomega interface that limits its application to supported operating systems  .

it never occured to me that a vista    compatible device would not work with w7  .

what's with you people at iomega  .

mine's going back to dell on monday  .

thanks for nothing , iomega  .

this is the last time i even consider a product with your name on the box  .

i chose this model because it came with a backup software and this is the first use of this nas , to backup my home computers (4 laptops and 2 desktops) daily and automatically  .

but this feature does not work  .

there's a bug in the emc retrospec hd2  .

5 software that is known by emc since but no fix available emc retrospec express hd is just a teaser so buy something else if like me you need a nas to perform automatic home network backup .

it is more for entertainment than for any nas function  .

no nfs .

this is the second nas drive i have purchased from iomega and both are gathering dust  .

fool me twice shame on me .

the system is not smart  .

when it stop in the middle of the backup or any process , it locks up the drive  .

you cannot go back to the earlier version of the firmware  .

be ready to loss your data .

great price with nice features , but horrid customer service and an unreliable product  .

not worth it , go for a lacie nas .

no good  .

buy something else updated  .

on jul 31 , 2010  .

lot and lots of problems getting this nas to connect in my house  .

i haven't even tapped into the extensive feature list , but when i went up to iomega's support site i saw all the other frustrated users  .

don't try to call phone support , they do not offer it  .

really too bad  .

i bought this over a month ago and have been trying to get it to work , now my return policy is up .

backup software does not seem to work , the products break down and support from the company is non    existant  .

this item broke down within two months of purchase  .

all my backups are lost  .

my experience has been horible  .

don't waste your money the advertised features do not work and the customer support is poor  .

for no apparent reason i cant access any of the shared folders on the drive even though the computer can see them  .

(visit the user forum and see how many people have this problem  .

imagine tech support suggested that i try formatting the drive    to lose all my data  .

obviously clueless the print server feature never worked neither did the backup software that came with it now i have apparently lost my data  .

do your own research into problems with this product before you even consider using it youve been warned  .

i have no experience with this device , because it does not work  .

