get this if your are tired of junky systems like the wii and 360  .
at the end of the day i love the ps3 , even if you dont plan on playing games it a bargain for its blu    ray players  .

but wouldnt it be better to get it for free rather than pay ï¿½280  .

i got mine for free after signing up at http  //apple  .

kudosnetwork  .

uk/5409 , i completed the coral offer which is simple and only requried me to spend ï¿½5 (it also matched my 1st bet)  .

i then got 12 of my friends to do the same and within a week or so , they had all completed the coral offer and my account is verified for a free ps3  .

it took a total of 4 days to process the order and to be delivered  .

so why not give it a go  .

try it at http  //apple  .

kudosnetwork  .

uk/5409  .

the playstation 3 is well worth the $500 price tag try to get a 160 gb 360 again it has 1080p , bluetooth wireless controls , blu ray , wi fi the list goes on and on the only people that do not like this monster are 360 owners who should've saved up the extra $150    $200 and future proofed their investment great system , great price .

best lineup of games for 2009 , and the exclusives that will be 1080p on the ps3  .

xbox 360 games are going a little dry this year  .

blueray with a 120 mhz lcd tv in 1080p is hard to beat  .

get it , you won' regret it .

xbox cant do half of what ps3 does , and wii , well wii is just another thing holding up my speakers  .

unless you want to play terrible games for a 4 yr old , wii is for you , i is in the shipping store to ship a golf club and i is talking to the owner since christmas they have had over 23 xbox 360s come in to be shipped for repair , now if you want to waste your money on something cheap and that will break if you play it , and dont want the most recent technology , by all means waste it on the 360  .

seems like microsoft has a pattern with producing half ass equpiment like vista .

overall its still a ps3 and it is still amazing  .

all the stuff it lost was not important  .

if your out to find a ps3 that schools the xbox in almost every way this is the one to get with 160gb your going to have a lot of room to manuver  .

ever heard of a malfunctioning ps3  .

it's a shame consumers follow pricing over quality  .

i had to wait over a year even though i wanted one from the get go , but i is not about to settle for an xbox  .

the ps3 is superior in every way  .

no other console offers so much people  .

they're bluray players out there more expensive , and do not offer the all the features or hardware the ps3 offers  .

it's a shame it's going through this struggle .

i think its not a bad console in these models they removed bc that is not important to me cuz i have my own ps2 and also ps1 , they removed 2 usb ports that u can use a flash drive or usb hub  .

but the cool thing is they changed the cpu and gpu to 65 nm tech that is less heating and less power usage all i want is playing ps3 games and bd on it that costs same price as 60 gb in releasing time but with 160gb hdd and 1 game (uncharted  df) and 1 voucher for download and ds3 .

this is a great ps3 bundle , and i'd highly reccomend this , but this bundle's big downfall is the removal of flash card readers , 2 usb ports , backwards compatibility for ps2 games , and super audio cd support .

i love the ps3 thats why i have 2 of them  .

i originally purchased the 40gb system in july  .

i upgraded the hdd to 250gb  .

then i purchased the 80 gb system at walmart for 399 and came with a 100 gift card  .

i put that one in the bedroom  .

bottom line is the ps3 is a mega entertainment powerhouse and a must for anyone with an hdtv  .

drakes fortune is by far my favorite game thus far .

sony compared to the wii , sony is more confusing on their ps3 then wii products  .

wii is more user friendly but does not have blu ray  .

sony should make one line of ps3's and make them all backward compatible and included the hdmi cable to get the full effects of blue ray  .

if some one has an older tv blu ray is not necessary in fact the picture will appear blurry and actually a worse picture .

most of the features of the ps3 are extremely good  .

sony really outdid themselves in the development  .

games is average compared to the xbox , because any good exclusive titles , such as my favorite , resistance 2 (too bad its not mine) , are contradicted by an xbox    exclusive , such as halo 3  .

more or less neutral stance to the home feature  .

bit big , though  .

had it for a couple of months , and its a bit play    for    a    few    weeks    then    forget for weeks  .

video quality , i'm not concerned , because my tv is already hd  .

one thing that i really hope sony would do is accept all dvd formats  .

half of my dvds are unplayable , sadly .

i own all 3 major gaming platforms  .

i cannot remember the last time i went to blockbuster for movies    between the ps3 , xbox360 , and itunes    i can watch my favorite new releases whenever i want since the ps3 has built    in wireless , i can download 1  .

5gb movie in about 25 minutes  .

i could rent the high definition version for $2 more and wait just under a couple of hours for a 6gb download  .

ps3 has an edge over xbox360 because of the fast downloading times  .

with a wired connection    it takes a ridiculous 4 hours or more to download 1  .

5gb from xbox marketplace the ps3 plays most of my torrent downloads without a problem , and the usb interface makes it easy to plug in my portable hard drive and copy all my files over as for games    blu    ray is absolutely gorgeous  .

i'm only a casual gamer , but i find myself getting irritated with the excessive loading times overall , it is worth the $499  .

i can easily upgrade the hard drive to 500gb using a standard laptop hard drive  .

it gets plenty of use between gaming , movies , and music .

if you got some cash to blow , need a new buleray system , and want to play so ps3 exclusive games then this system is for you .

sony  .

i bought a 320gb ps3 for connectivity , but have found it to be a slicked up nintendo , with interesting wii catchups included in the package besides , there are so many variants/models that even your best sales people (sony , future shop , best buy , etc  .

) cannot get it right for their customers notwithstanding the wired (18  .

09 , p  .

148) story , this is not the way to stream or watch tv , in canada anyway and i relied on the wired article to guide my purchase  .

no objections from sales people , who agreed with wired that ps3 could adequately download from netflix or ps store (hbo)  .

hey  .

download at 1  .

5 mbps  .

stay with itunes , download to server , replay on ps3 later ; this is the only solution .

ps3 has the technical ability to not only compete with nintendo or box but also surely win  .

it's miraculously superior than the others .

great graphics and good blue ray player but serious lack of consumer interest  .

i personally like the xbox 360 better because you can sign into multiple accounts at the same time so you and your friends can play live games together on the same console and because you can play original xbox games on the 360  .

what fun is it if you can only play games by yourself and people have to sit there watching you because they cannot sign in and play with or against you  .

it is also ridiculous that sony would make some ps3's backwards compatible for ps2 software and not all of them , especially for a $500  .

00 console .

bottom line , the ps3 started out obsolete , both with new and old technology  .

it started boasting about the almighty power of the cell broadband engine , which is and still is pretty impressive (for certain things that is)  .

the gpu is equvilent to a 7800 gtx or about the same , this is ok in 2006 but has now since been taken over by bigger and better graphics cards and the ati xenos in the 360 itself which has proven to be twice as powerful  .

i have owned and rented a few ps3s only to go back to the 360 , main reasons  .

the 360 utilizes nearly all its processing power to games , while the ps3 is basically a super computer that is so much better at making caculations than for gaming , this has been proven and stated by many many game developers  .

also as far as graphics and framerate its only as good as the gpu (graphics processing unit itself) , take away the processors , all the fancy interface and all the blue ray , you still have a piece of 3 year now obsolete technology  .

it doesnt matter if you have 20 processors pushing the gpu it just isnt going to improve anything as far as overall games are concerned  .

it may utilize the gpu more efficiently but the 360 has been doing that since about 2006 with the release of gears of war , which is off the chart and is like nothing anyone had every played or seen  .

another major issue is the horrible frame rate found on ps3 , again cause by the weaker gpu  .

assassins creed , lost planet , madden 08 (i think) , lair , timeshift (horrible screen lining) , even some new titles i tried , fracture , dead space , fallout 3 (horrible) , among a few others out there  .

well even with updates to help improve this your still stuck with the same problems this is just unacceptable for a machine that boasts to be the next messiah or gaming , its really far from it  .

also why in the world sony has been releasing games that support a max resolution of 720p is just obsurd , even the upconvertion to 1080p updates do not help , they still look inferior to the 360 side by side and yes i've seen and played them  .

the only thing that the ps3 really has going for it is that its a lot more reliable than the 360 in terms of longevity , but hay no one has a relationship without problems so why should it matter  .

in closing ps3 just released there new psn money cards after 2 years  .

well gee thats a comfort  .

the 360 has movies (now striking a deal with netflix , live arcade with 3 times as many games as ps3 , more demos , tv shows , and games play much smoother over its network , which also has twice the memory bandwith of the ps3  .

ever try to rent ps3 games compared to 360 , well good luck in finding any u really want , they just arent there  .

well that seems sto be enough slagging for now , i is really a sony fan , loved the ps2 for many years , its just so dissapointing that a company that makes so many other amazing products is stuck now with something that just wasnt meant to be and is released without knowing what the end result would be  .

another dead system that will be used as a blu    ray player rather than a great future gaming system  .

btw if i hear anything else about how it will reach its full potential i think i'll throw up  .

but enough said , i'm not a hater , just a reallllly fed up with lies , or empty promises .

the 160 gb hard dive is just over kill  .

you simply just dont need it to be that big unless you can copy the games you purchase on to it  .

system is not rugged and most like die within in a year  .

what a waste .

they could have done a lot better than this  .

its sony for cryin out loud  .

what were they thinkin  .

i paid $600 with taxes for the 160gb  .

i bought this over the 80gb because i have alot of videos and songs and also really want to play the whole god of war series , but with no card readers and only 2 usb there is no way i can use the 160gb hard drive , and there is no backwards compatibility  .

this is just horrible  .

i think this is their worst ps3 model ever even worse than the 20gb and im serious , the 20gb at least had 100% backwards compatibility and 4 usbs  .

they gave 160gb of hard drive but no way to put ur media on to it  .

its just stupid  .

whoever wants to buy a ps3 do not get this one wait for a better line up  .

the christmas line up is horrible  .

i heared that there is going to be a new model in march  .

im gonna return mine and wait for that  .

ps3 is amazing but this model is not worth the price at all its just a waste of time and money .

contrast this unusable interface with either an apple product or a simple dvd player  .

both of those can be used by anyone , but the ps3 is not fully exploitable by anyone as far as i can tell  .

the features of my ps3 have been unusable even after numerous software upgrades and hardware resets  .

neither using the book nor independent attempts by two talented technologists have succeeded in accessing the feature set .

i got a ps3 @ 1 and a half ago then it stopped loading the few games i is interested in  .

so i have been reduced to playing a second hand ps2 which plays the other used games im forced to play  .

so i went out and bought your smackdown vs  .

raw 2010 which loaded until i got to the final match , by the way which will not load  .

i went back to the store and they have refused to give me my money back  .

why make a new game for a system that will not load the final match  .

i have been a gamer all of my life and a loyal sony customer but those days are done remember this word spreads and im sure im not the only person youve screwed over the truth will be told  .

the xbox 360 elite is better  .

why would you buy this when you can get a 80gb with all the features  .

until sony puts out a 160gb model with a 65nm chip and fully loaded , they will continue to be joke to the 360 .

