bottom line  .
microsoft's zune's desktop software is much more open than itunes as far as allowing me to better manage and access my music (both purchased on freeloaded) , as well as acquiring new music through the marketplace , radio and the social  .

once you make the switch , you will never go back .

better than the ipod  .

this is hands down the best hard drive mp3 player , it is my favorite after trying sansa e250 , archos 604 , ipod nano , creative zen and ipod 5th generation  .

dive in and never look back at a significant upgrade to your music experience .

i have bad 4 ipods fromt he 30 t0 the 120 but after playing wiht a zune 30 i is hooked , he improvements ot the software has been great  .

i recommend this product without a second th9ought .

if you love music and want a nice mp3 player this is the one  .

this zune has amazing sound quality and the interface is amazing  .

the newest games , space battle , sudoku and checkersd are awesome and free  .

you can play texas hold em and checkers with a friend wirelessly over 30 feet  .

the screen is impossibly scratch resistant , u have to see it to believe it  .

the touchpad is awesome  .

you can see yuor fellow zuners profiles on your zune , and with a zune pass , get any song on the marketplace and radio for free  .

i lovew the zune , because it always updates , and gets the exact same features as the new ones  .

this 180 is a perfect gift , and it feels like new every time it updates  .

the only thing that is a crasher to this beautiful produuct is the battery life  .

the battery life sucks and i always have it in mind while watching a movie or tv show  .

its a great product and cheap for its features , i would recommend it  .

and hopefully in the next update they increase the battery life  .

first , just by looking at the zune you can tell it's awesome  .

then when you get to listen to it , you can hear that it's awesome  .

using the touchpad is extremely easy and pretty cool to boot  .

it is also very accurate  .

i haven't tried the games but then again i did not buy one of these for the little games it has  .

the battery life is alright and watching videos on the big 3  .

2 inch glass screen is quite the awesome  .

zune is totally better by the way than the ipod in my opinion  .

i've gone through ipods and people just like them because theyre popular  .

they fail at life otherwise  .

my only advice besides obviously getting a zune , is please buy a decent set of headphones with it  .

some sony buds or something .

best product ever had  .

the ipod is a good player , but the zune 120gb is a solid buy  .

the software takes some getting use to , but it helps to organize your media in a decent manner  .

i'm not a subscription type of individual , i've always used my own music and videos to download to these devices , so if you're of the same mindset , this is the device for you .

i love the zune brand  .

i've owned a 30 gb , 80 gb , and now a 120 gb  .

although the 30 is nothing tooo special , the zune team has pushed the envelope and made zune a staunch threat to the ipod label  .

the wifi capabilites just keep getting better (from what i understand the zune's wifi reaches longer than the touch's ) , and the feel of the matte finish on the back and the glossy finish on the front are definitely a surprisingly good feel  .

the hdd upgrade to 120 gb is matched only by the ipod , but it makes better use of it by also doubling as a video player the zune will be a great platform for games and future apps , and i hope the zune team plans to add a browser (preferably one thats different from ie) to an already feature dominant device .

very sleek , thinner look with glossy black and vivid screen    fantastic mp3 player for watching vids , podcasts and listening to tunes .

buy one now  .

worth the extra money when compared to mp3 players .

unmatched in it's class of mp3 players .

i consider the ipod an alternative to the zune  .

i still use a zune 30 but because microsoft updates even the older released zunes , i can still be up on 90% of the new features  .

just let me say this , the zune is well worth the money , and assuming either you have a pc or a mac that is running windows , the zune is a very nice device and i highly recommend it after owning two ipods previously  .

there are only a few small problems , mainly that since the 3  .

0 firmware update , a bug previously fixed by 2  .

5 , when someone plugs in their zune and it simply wo not sync with the software or even act plugged in , has returned with the use of a more generic driver in windows for ejecting the zune  .

it's a simple fix to solve the problem , but it's a temporary fix untill ms releases a patch for the problem  .

also the zune software is fairly heavy on recourses  .

over all though , the organizational abilities of the zune software completely outweigh itunes , as well as the softwares sync speed , store integration and just overall ease of use updated  .

on jun 19 , 2009  .

i like this product because its easy to use and does not crash .

honestly , this is about the coolest and sleekest mp3 i've ever had  .

does not lack personality like similar apple products  .

amazing video quality , large amount of space , amazingly simple controls  .

all this for a fairly low price (i mean the 16gb nano chrome is 20 $ less when i went to buy it  .

if you want attention and satisfaction , a definit must have .

it is with sad remembrance that my creative zen micro photo 8gb broke , and it's feeble hard drive spun to a halt  .

without wasting a second , i dove into researching , and within a week , had ordered what i considered the best player out there  .

having pitted it against the ipod classic in every way that i could , the zune still came out as the champ , and without a moments hesitation (well , maybe a little) i bought it within a week of it being released since then , i have spent much time with it , and could not be more pleased  .

though this version does not include the premium earbuds (which are amazing by the way) , i managed , and started to use it heavily at school day after day , brought it with me to class , plugging in when doing math homework , and putting it through a rigorous test of endurance that would ultimatly decide if i made the best choice  .

in the end yes at the end of the day , battery life is only drained to 2/3 which i think is pretty good  .

the solid glass on the front does not scratch , and though it does conduct fingerprints , they wipe off easily and smoothly  .

though hearing complaints about the zune pad , i have had no trouble with it , and actually prefer it to tactile control  .

the ui is stellar , providing an o    so    easy way of navigating , while delivering power and preformance unmatched  .

one of the best features is the ability to edit the now playing list , which makes it a pleasure to compile a playlist on the go video playback is stellar , and i is able to watch the illusionist without even realizing it is on a 3  .

2 inch screen  .

seriously , it is downright enjoyable i referenced software because zune software is horrible at first  .

kind of odd that out of all things to get wrong , microsoft got the software out of wack  .

but that is all passed  .

i now enjoy using the zune software , and i must say , it whacks itunes upside the face  .

(for once , a microsoft product actually looks way better than a mac product  .

) it's sleek , cool , and defiently won't fail to impress you  .

whereas itunes looks like a spreadsheet in reference to the cons listed above , i offer that i also posess a sansa clip , which has somewhat spoiled me  .

it's small , easy , with dedicated volume controls , and has nearly unmatched sound quality  .

so it is only in comparison with the clip that i mark the zune down  .

however , if you're looking for a player that is a smaller , but doesn't sacrifice usability , get the sansa clip  .

you wo not regret it  .

(plus it's only $70 for 2gb)  .

for those of you that are looking for a high capacity player , the zune is a god  .

it's sturdy to the point of downright rugged , has great control , an outstanding ui , and is one of the only players that just radiates awesomeness .

this player is awesome overall , but microsoft still has their work cut out for them if they want to really hurt the ipod .

the zune is great and i'm loving the new software update more and more as i use it  .

the games , although only two have also kept me pretty occupied and i love the fact that they offer the upgrades free of charge to the old zunes  .

the ipod does not offer this andperfect  .

this is a true story of an out of the box wow  .

connected fine and loaded up with no problems , updated to firmware 3  .

0 with no problems as well  .

the updated features of the wireless , the store , games , and buy from radio are very nice  .

video playback on the larger then ipod classic screen is amazing  .

(the ipod touch is not really a comparable product all tough a lot of people like to compair it  .

it's more like a psp centered around music then games and microsoft does not really have a comparable product to it as of yet  .

personally 32gb is a joke for a device with those features) i found the set up for wireless syncing with the zune software to be very straight forward and painless  .

another thing i like the is ability to connect to another friends computer and get undrm music off his computer without it messing with the music that my computer synced by connecting as a guest  .

(something no offered by itunes) another thing you can do with zunes is load up custom apps and games  .

this is unknown to a good percentage of people  .

to find out more information about it and a step by step on how to do so check out my web site http  //williamrmoore  .

net/zunegames  .

aspx  .

there are even multi    player games that you can play with other zunes wirelessly and im programs  .

all free and developed basically like open source .

microsoft is really thinking about the future when they designed the zune  .

the new zune 3  .

0 update really makes older models of the zune not obsolete unlike apple's business plan which is to constantly release new models at a rapid pace forcing the typical apple lover to replace his mp3 player every year .

if you are looking for the ultimate device to partner up with your windows media center and allow you to bring all your media on the road with you to watch on a bigger screen then ipod or on a hotel tv when travelling zune 120 is the best choice .

the zune is great for who loves music , it's not an organizer nor an internet device    it has been mainly design for entertainment in music on the go you'll be lovin' your zune for a long time , the zune team keep rollin' out the update for all zune for free , makes you feel like having a new zune everytime you do the update zune wifi capability is still limited , you cannot access wifi with on    the    web authentication , or the network with proxy server screen resolution is not as high as the competitor , but it has decent bright , color and angle pair with a/v pack and you'll get an hd output to your tvs wireless syncing is useful for updating podcasts , music    without having to mess with any usb ports battery life is ok , with 30 hours music plays (about 20 hours in real life , with high bitrate music  .

finally , i'm happy with my zune    and you'll be .

you should give it a try and you will love it .

very good alternative to the ipod i say go to ur local best buy and try it out for yourself or a friend that has one and see if u like it if u do then i say go for it  .

i love mine and thinking of getting another one  .

cant wait for the next zune line up .

last year , i bought the short    wide ipod nano (8gb)  .

i thought it would suffice my music needs , but i realized the size is small when i got more music and videos would shorten the size  .

i could have went with the new nano , but i decided to get the new 120gb zune last week  .

first of , i once owned the classic zune , but is turned off by it because of the crappy battery life , especially less than 3 hours with fm radio turned on  .

i stuck with apple  .

however , i have some friend who bought the second generation zunes last year and said they were great  .

when i heard that software 3  .

0 bought more features to the zune , i decided to buy it  .

since i have owned this new zune (120 gb) , i am impressed and believe that this product is so much better than any ipod (even though they are still good player)  .

once i imported my music and started listening , i noticed a huge difference in audio quality when compared to the ipod  .

there are no equalizers , but i do not use them anyway since they usually distort music and waste battery life  .

speaking of , battery life on this thing is great  .

yes , it is less than the ipod classic , but 30 hours of audio playback is still great  .

it is long enough to last about a month on one charge since i basically listen to my zune on my way to class , on trips , or working on outside class assignments  .

i like the user    interface and how you can import your own backgrounds  .

i also like the large album artwork display on the now playing screen while still having plenty of space displaying song information  .

video playback is awesome and compatible with many formats including media center tv recordings  .

great for me since i own a hd tv tuner and can watch my recorded shows on the go  .

i also like that the zune is compatible with aac audio since it is better sounding than mp3 and all my music is aac files  .

overall , this is the best media player i have ever bought  .

i honestly believe that i will be satisfied by this zune for many years .

it is a highly polished , very well integrated package  .

a music lovers dream with the zune pass  .

the ipod is very good  .

the zune + zune pass is simply outstanding .

if you're looking for a high capacity media player look no further  .

the ipod classic is nothing compared to this , and they cost the same .

first off   the zune 120 is not the ipod touch's competitor , but instead the ipod classic  .

the zune beats the classic in features and usability , and definitely in sexiness , especially with the available zune originals  .

the ipod touch is better than the zune in more cases , but with less storage size (like a fifth of the size for more price)  .

if you need a mini computer , get the touch , if you need a great music player , get the zune overall a brilliant product  .

the third generation has changed very little , although the black back covering is really really sexy , more so than the 80  .

the glass screen is very scratch resistant , i have no scratches anywhere on my zune  .

the wifi rocks , with a marketplace feature added  .

the song sharing 3    play limit sucks , but i use the feature with my friends a lot  .

it is quite practical , especially when you want a friend to hear a song , but don't want him handling your zune for the next 3  51 that the song lasts  .

the games are cool , but the beta games won't work in the new 3  .

0 firmware , but i did not play solitare that much anyways i have hardly had any trouble at all with my zune , period  .

it has frozen once , but every product has these times  .

i cannot count on one hand the amount of times my old ipod classic has frozen absolutely great product  .

looks better than the classic , better interface , subscription service , good fun games , new clock feature and screen lock are nice , excellent radio , and beautiful screen make this better by far than the ipod classic , and a more pure music player than the ipod touch .

the best mp3 ever , definitely worth $250 anyday of the week  .

i love the zune pass because i can download as much music as i want , even without a computer .

this is a fantastic player  .

apples seems to shifted focus to the ipod touch/iphone and to the new nano , where as they just kinda threw together the ipod classic with no real no features  .

this is giving microsoft a huge advantage in this realm  .

i personally almost bought an ipod classic for the storage and cost , but i hate itunes  .

when i went to the store one of the zune 120s is on the shelf for the same price and i grabbed it right away as i is a first gen zune adopter that needed more storage  .

the new software is great as well  .

its a solid alternative to itunes and genius i much prefer the recommendation system in the zune because it reminds me of the way that last  .

fm works  .

gives you a small history of the band and not only who they were influenced by , but who they influence  .

genius is nice for those that just want similar songs , but for music junkies that want to know about the bands as well , the zune is the way to go zune and ipod are both great players with different ways of going about doing the same thing  .

i prefer the way zune works and the software so thats what i went with  .

i would recommend trying the zune software before you buy the player though , especially if your used to itunes  .

its different , but in a very good way  .

one thing i do like is that i dont have to make a playlist for everything like in itues  .

if i want to burn i cd i just drag and drop on where as in itunes you make a playlist and it stays there  .

i eventually had hundreds of playlists .

i'm very glad i found this product in canada  .

they do not sell it directly in retail stores here , but it is on ebay  .

we need more competition up here , apple is pretty much running the show , and i cannot stand them  .

microsoft needs to get the zune marketplace up here  .

i'm not a ms fanboy , they just happen to have better product most of the time .

a truely great multi    media device with excellent memory capacity and user friendly interface that is easily used one handed  .

the large screen makes watching videos a more pleasing experience than its' ipod counterpart  .

in order to get the most out of the zune you really need the zune pass  .

the zune pass really cranks this device into high gear  .

i have a wide range of music taste and listen to a lot of comedy albums and the zune pass allows me to add to and change my music and comedy albums as often as i wish while maintaining plenty of memory for movies and video clips  .

battery life leaves a lot to be desired compaired to my sons sony walkman but is plenty good for a single days use even when watching videos  .

however if downloading music straight to the zune via the built in wifi you can actually see the battery meter drain right in front of your eyes  .

i have usb ports in my work vehicle and wall usb adapters , as well as two computers , so for me keeping it charged is not a problem but if you do not have constant access to a charger you could find battery life a problem all in all the zune 120 is a great player , easy to use , and large memory for tons of entertainment .

basically , it is an awesome player that i love and enjoy  .

i prefer it over the ipod because it has a huge screen and little wasted space (unlike the ipods wasted surface area)  .

i do not have many complaints other than one weird issue  .

normally you can turn the device off and leave it alone for two weeks and it will still have the same battery as when you left it  .

sometimes however , when you try to turn it on , the battery is mysteriously dead and you have to charge for a few minutes before it will even turn on  .

all in all , if i were in the market for a new mp3 player and had to choose between the zune 120 and the new 160gb ipod classic , i would still buy the zune because of its awesome features .

the screen is great , vibrant and high resolution  .

the touchpad is great , i prefer this over the ipod's circular motion touchpad  .

this one you simply swipe your finger up and down to go up and down on the menu  .

it also has a fun feature to it , if you swipe your finger fast it will scroll fast at first , and then slowly slow to a stop  .

if you hold down in one direction , it will slowly speed up  .

when scrolling at high speeds , the first letter of the section you are in will appear on the side of the screen  .

the sound is great , that is if you have good sound quality songs and decent headphones  .

seems durable so far  .

i've had it for 9 months and dropped a few times , so far no mishaps just a few scratches from the hard drops  .

one feature i wish this product had would be the ability to save on the go playlists  .

but , that is something i can live without  .

i also wish connection for charging and connecting to you computer is standard usb instead of a propriety connection overall , hats off to microsoft  .

this is one device that pretty well does everything that i want  .

i don't miss a web browser , because i have my phone or psp for that  .

but with the 120 gb i can pretty well store my entire cd and dvd library and have room left over  .

it now entertains me whenever or wherever i want  .

it's also small enough to be convenient  .

the only things i can find that i do not like is that there is no eq function , and you either have to charge from your computer or xbox 360 unless you want to shell out $30 each for the car charger or ac adapter  .

all in all , i would strongly recommend this  .

all my coworkers want one now .

120gb memory , everything you could really ever want in an mp3 player  .

i say , you cannot go wrong  .

itï¿½s worth the price    a must have for music lovers  .

updated  .

on jul 24 , 2009  .

greatness+  .

an excellent music and video player , amazing for podcasts , gives another feelling for those who always see the omnipresent ipod right out there (bolivian pal here)  .

the zune is the next big thing  .

it has one of the biggest screen , although the compromise is the battery  .

since the screen is so big the battery is used faster , but it lasts longer than the ipod  .

in comparison to apple there is none  .

zune and apple are two different leagues of mp3 players  .

even though the zune is not supported by many accessory companies , microsoft itself has many accessories for it .

i have never owned an mp3 player in my life , but when i seriously began to look at the zune and ipod i is impressed with the zune  .

not only do you get 120 gb for $249  .

99 compared to the ipod touch at 32 gb for $279  .

99+ , you also get a user friendly interface  .

microsoft has always prided itself on being user friendly for so    called computer dummies  .

i love that my zune is plug and play  .

i have only used it so far for music and podcasts , but i'm very pleased what kept me from giving the zune a 5 star rating is their software  .

it took forever to download and i have a very fast computer  .

once i started the 2 week free zune pass which is their subscription service i had some questions that aren't answered on their faq  .

i can download albums to my zune and take them mobile with me in the car , however , are they mine to keep on the zune forever or do they have a digital expiration date  .

it might be because i'm brand new the to digital mp3 player world , but i'd love to find an answer to this  .

i might also not be utilizing the software correctly , but their subscription service does not offer a lot of artists when i go through their list of artists and albums that are available i love my zune  .

i love how i am set apart from the ipod crowd  .

i can see a thiner design and more accessories in the 4th generation and i'm definitely looking forward to maintaining my loyalty to the zune .

about two weeks after its purchase , i had become so flustered with my new ipod classic that i started looking into other mp3 players  .

i had heard of microsoft's zune a few times before ever considering to purchase it , and i had to admit that it is a fascinating product , and it quickly grabbed my interest  .

so , i returned to the store , gave up the ipod , and upon recieving the money from the ipod , i purchased the zune 120gb (glossy black) (since the ipod and the zune are the same price , it is easy to make the transition)  .

i have rarely made a better choice  .

the zune is truly wonderful let's start with the 1) the zune is extremely easy to use as far as menu navigation and such , and surprisingly enough , it pulls it off with style  .

the menus are sleek and powerful , and the font size used for them is legible 2) one of my main complaints about the ipod is the fact that it had horrid sound quality  .

there is no mid    range in the audio , it is either blaring , yada yada yada , too quiet , yada yada yada , etcetera , etcetera , etcetera  .

(if you want to read more about the sound quality , go to my profile and read my full review on the ipod classic  .

) although , with the zune , no matter what song i choose , i can actually get killer sound quality  .

there actually is a mid    range in audio , it's not blaring when you don't want it to be , it's quiet when you want it to be , and so on and so forth  .

in a nutshell , the ipod's sound stunk , and the zune's is wonderful 3) even though the battery life could be a tad longer , it still has an impressive battery compared to others  .

it beat the ipod's battery life with ease , and if you're going on a long road trip , the zune's battery should last you for quite some time  .

good for traveling  .

definitely 4) the large screen displays vivid colors and resolution , and although some video playback resolution is not as great as the ipod's , it is still a brilliant choice for viewing album art and pictures even though the zune is probably the best mp3 player on the market , it does have its shortcomings  .

they are as follows    .

1) the casing for the zune is beautiful and glossy to an extent  .

i haven't ever seen the zune 80 upclose and personal , but i can assure you that the zune 120 scratches much more easily with its plastic exterior than the zune 80 did , with its metal shell and aluminum backside  .

i would highly recommend getting a case for your zune  .

it will help 2) at times , the zune will have to restart if you get it confused or press too many buttons at once  .

if you leave it on for , like , five straight hours , it will overheat and have to restart  .

although , this doesn't happen often , and it should not hinder your choice in purchasing a zune 3) ok , this is the only thing that i think the ipod has over the zune   service  .

itunes is a wonderful service that offers multiple movies and tv shows to buy , and you can download almost any song known to man  .

the zune marketplace , however , lacks the ability to download movies , and also lacks many tv shows that are available on itunes , such as one of my favorites   family guy  .

also , the marketplace doesn't have as many songs as itunes supports , which is a let    down  .

although , the marketplace still has enough songs to keep up with itunes , which is impressive enough 4) this is the only thing i cannot stand about the zune   the zune pass subscription  .

the pass will let you download as many songs as you want , but here's the catch   you can only keep ten of those songs a month  .

ten  .

in an entire month  .

only ten  .

a month  .

it blows my mind  .

that's , like , renting music  .

who wants to rent a song  .

you rent movies , or games , but songs  .

unbelievable  .

i am currently not using the pass , and i do not intend to start if you can grin and bear the zune marketplace and zune pass (which you do not have to use) , then the zune is a wonderful alternative to the ipod  .

the way i look at it goes like this   the zune is a great device with less    than    desirable service , and the ipod classic is a less    than    desirable device with great service  .

i've come to embrace and accept the fact that the zune marketplace will never be itunes , but i can rest assured that the ipod will never be the zune as well .

it good if your like to like to listen to high quality music and watch a lot of videos  .

because the zune hold a lot more videos  .

and the wi    fi is good with the zune pass  .

i have one and i love it .

i think that this product is superior to the ipod classic in so many ways  .

first off , i sold my ipod touch to buy this zune , i knew about the ipod classic , but it didn't appeal to me , it's not that good of a product  .

it's a shame that zune sales are abysmal , this is a gem of a media player  .

it's sound quality is amazing , my ipod touch's sound quality is abysmal compared to the zunes , at high volume the sound on the ipod is muffled , even though i use some decent phones (jbl reference 410)  .

with those same phones , the sound on the zune is so clear and crisp , with great bass , i really do not need eq settings like bass booster because it fits my type of music genre (rap , hip    hop) without any complaints  .

really , this is what i like most about the zune , amazing sound quality , thats what most media players should focus more on (e  .

, ipod) , now listening to music is a much more satisfying experience  .

there is so much memory in this thing , there is no limit to the amount of stuff i can upload onto it  .

i adore the bright , scratchproof screen , simple easy to use interface and zune pad  .

it`s build is great , nice and strong , but not heavy at all  .

the fm radio is great , with good reception  .

i really like the software for the zune , it`s so open and simplistic , it`s easy to use  .

for a 120 gb mp3 player , it looks pretty slick , with that nice black casing with a glossy black front , it`s a functional looker , not quirky at all but not too serious looking too  .

and the 5 games that come with the software are a big plus , they are all good games , and i`m sure that more are coming  .

what i dont particularly like about the zune is the battery life , but i can live with that , and it`s a shame that the marketplace is not available in canada , but i would rarely us it anyways  .

all in all , this is a great media player that is prefferable to the ipod classic , it`s just better  .

the thing is , people buy ipod`s because of the name , and that`s why it is so sucessful , and why the zune has horrific sales numbers  .

still , any day would i rather have the zune than the ipod , who cares about the name , zunes are better than ipods , and that all it is , i adore my zune , and so do the majority that buy them , and i can`t say that for the ipod classic .

while there is no competition to the ipod touch , the latest line    up of zune's make them worthy alternatives to apple's ipod nano and classic line , as well as sandisk's sansa line , one might even say it passes the walkman as well  .

if you have windows , and don't want all the hype of an mp3 player , plus you want some integration with your home wifi network , this is your mp3 player  .

however , sometime in the future of this device , i'd like to see improved battery life , slightly cheaper price on zune pass (say $12  .

99) and a slimmer profile for the ssd (solid    state drive) zune's  .

no bash on microsoft , but the os on the zune could be more windows like , althought it goes in saying that it already looks (somewhat) like the guide menu in windows media center , despite being made up of a chopped down version of windows ce  .

maybe some personal themes (color wise , font size and menu readout come to mind) would enhance it even more over the ipod lineup , especially since the zune already has wallpaper customization  .

hint , hint microsoft  .

and lastly , pass up on the zune if you wish for an alarm clock or any sort of note viewer as the zune does not have them (though the ipod does) , otherwise , this is an excellent mp3 player .

everything about it is great  .

screen is awesome , and everything  .

the battery is good for just music but videos not so much (movies) unlimited space  .

everything but battery and smudge is great  .

great device  .

the zune blows its competition out of the water  .

for the batery life what the autor overlooks is the fact that the screen is almost 2x larger  .

watching movies in an ipod (other than the itouch) is abysmal at best due to the tiny , eye    straining , screen  .

with the zune you get a screen , movie worthy , that multiple people can view at once the built in radio tuner is great and is just one thing you get without buying an accessory like you have to do with the ipod  .

wireless sincing is great (ipod's cannot)\  .

sharing songs over the built    in wireless is fun and is a great way to hear new songs without sharing the ear bud  .

one other major point the author makes is how its games and movies arent comparable to the itouch  .

the itouch is the same price but has 1/15th of the space  .

i have 23gb of video at half the resolution the itouch supports and with only 8gb the itouch is ruled out as a video player imho  .

the games however are better but if you want to play portable touch games of fun quality buy a freaking nintendo ds its what its made for .

a++++  .

with the zune , microsoft has taken many variations on the standard ipod formula  .

the biggest of these variations are the included wireless features  .

songs can now be previewed , bought and downloaded directly to your zune through any open wireless network  .

this becomes especially useful when combined with zune pass , allowing you to download tons of songs with out having to keep track of payments  .

you can also stream full songs with zune pass , meaning no more thirty second clips [but i digress , this review is not supposed to about about the zune services]  .

other wireless features include wireless sync through your home network , music sharing with your fellow zune cohorts , and a very nice fm radio tuner  .

altogether the wireless features work well and add lots of functionality to the zune in contrast to the ipod , the zune's body is a little bigger , but the third generation zune is not the brick the first generation was , and is still capable of being stowed in most pockets  .

the screen is also bigger with a nice glass , scratch resistant screen that is great for video veiwing  .

the metal backing in the second generation zune is now a matte black , and the front has gone from a textured opaque black to a glossy black finish  .

personally i like the texture look better , but it's really a small difference  .

below the screen is the track pad , or    uh zune pad and a play/pause button and a back button  .

for most this setup requires some getting used to from the ipod scroll wheel , but it becomes just as instinctive as the scroll wheel with in a few days  .

the track pad also allows for more natural feeling games in comparison to the ipod , and makes for easier navigation  .

along with the zune itself comes a usb sync/charge cord [no outlet power adapter] and some low end , but usable , head phones software wise , i found the zune market place program to be just as surprisingly full featured as the zune itself  .

most noticeably , the social option allows you to see what your zune market place using friends have been listening to and what the like the most  .

with zune pass you can stream their playlist and easily download what you life  .

you can even chat with your friends through messages or online comments  .

on top of the social features , zune market place's mix view feature suggests artists you may like or fellow users you can befriend based on musical taste  .

it should also be mentioned , that for me , a reluctant vista user , zune market place runs beautifully , especially compared to itunes overall , i find the zune to be a much better mp3 player than it's adversary , the ipod  .

it comes with more user friendly features , void of the tyranny of the itunes / ipod duo  .

being a former ipod user , i'm ecstatic about my zune  .

even switching has been made easy thanks to a free 14 day free trial of zune pass , so i could just redownload music that i had to leave behind because of itunes drm  .

there are few draw backs to the zune , and in is most fields it matches up and surpasses its competitor[s] .

i've waited years for an mp3 player that is perfect  .

and after having used creative zens , ipods , cowon , and a bunch of others i've finally found it    with microsoft no less  .

the first thing you'll notice is the gourgous , glass covered screen  .

it beats the ipods hands down and is great for watching movies on  .

the audio quality is absolutely amazing , even with the lack of eq  .

everything sounds natural and deatailed  .

get yourself a good pair of earbuds and this thing really shines  .

so baisicly , got $250  .

need an mp3 player  .

buy this  .

you wont regret it .

let me start by saying i had been an ipod user  .

i owned a nano till the click wheel died and i replaced it with a 30gb classic which had served me well  .

i also had purchased my daughter 2 nano's  .

no longer  .

ipod's are more popular but they are not as good as zune's thus my recent purchase of a new 120gb model i have a larger screen and much greater capacity than in my 30gb and the price i paid for this 120gb is comparable to what the ipod cost at the time  .

the zune is much more sturdy while not bulky  .

it is built very well and has a large vibrant screen  .

the navigation buttons are very easy to navigate and work very well  .

battery life is good but like any heavily used battery operated product we will always want more  .

i can watch 2 movies or listen for 2 days of heavy music play before the battery will die  .

but as stated that is listening almost every waking moment  .

in above average use i can get about 3    4 days without having to charge it one of the greatest things about my zune for me is the music quality  .

the ipod music quality just doesn't compare especially not for purchased music  .

the ipod bitrates are skimpy @ 126kbps and it shows in the quality of the music  .

i abandoned the itunes store and have been buying my music from amazon's mp3 store for that reason  .

