panasonic has definitely made a strong product here  .
when i start the update , it slowly creeps towards about 20% before giving an error message saying that the server is crowded and to try again later  .

i then have to reboot the tv , after which it has to restart a second time because the download is interrupted  .

i tried multiple times through the night last night and today , with varying degrees of failure (some immediate , once i got to 40% before it failed)  .

updating the firmware on my panasonic blu    ray player is similarly slow , but it managed to complete successfully  .

i do not know if there is a way to download the tv update on my computer and then install from thumb drive or sd card , but it's frustrating at the moment  .

i cannot find any reference posts or fixes online that's the only gripe  .

otherwise , a fantastic purchase  .

bigger , better , and cheaper than the 46 samsung 8000 series led lcd i is looking at .

great tv  .

very good overall picture quality for a lot less $$ than a pioneer kuro my only concern is the color red  .

when adjusting colors , reds are too red so i have to turn down colors to make red look more natural other than that , this set is a no brainer for anyone shopping for a new tv highly recommended  .

the tv is excellent , had no problems except the universal remote part , i would also recommend this tv , have used it in my game room , great tv as well http  //txtexe  .

com/7f0d8c  .

i've been looking at tvs awhile to really see what is being offered out here  .

checked out the pioneer and yes , the tv is pretty damn nice with rich blacks and accurate colors but i is not happy with the brightness at all , especially for how expensive the tv was  .

it's good for blacks to be black , but the whites were not bright white  .

another thing that is pretty important to me is the motion and of course , accurate colors  .

now with these expectations , i had to pick the one tv that could pull off all of these well with the money i is willing to pay  .

so i checked out mr  .

#2 on the list the blacks were deep and makes for great detail , especially since there was not a lot of blooming and washing out  .

after having this tv for a week , i've seen this thing really take on the darkest of scenes and still establish bright whites where they peaked out  .

there is the cave scene on ironman that showed , on one half of the screen , a very dark corner in the cave with the smallest of details still being seen in the shadows and on the other half of the screen , there is a blinding light peaking into the cave that is bright white  .

that is the balance i is looking for the colors are very intense on this tv if you don't tone them down , especially the blues and the yellows  .

but after some tweeking , i got everything under control and nicely balanced now as far as motion goes , i've read that plasmas have the best motion because of the 600hz processing  .

now you'd think they were head and shoulders better than the lcds because they are only peaking at 240hz  .

i tested this theory and after my tests , i've found out that nothing could be further from the truth  .

many of these manufactures are comparing two different types of processing  .

i make this claim because of the test i performed  .

nothing big but revealing  .

this is the test  .

while at paulson's audio , i is floating the floor and came upon a demonstration being shown on the sony tv  .

they had three 42 bravias running a sony demonstration disc simultaneously  .

and the video is of a pendulum in motion  .

what better way to capture motion , right  .

but they put one on 60hz , one on 120hz , and one on 240hz  .

of course , the first is very choppy , the second is considerably smoother , and the third is perfect  .

you could see all the detailed writing on the pendulum very clearly on the 240hz set tv  .

so i wanted to test this with plasmas the masters of motion  .

so i ran that test on panasonic and it performed slightly better than the 120hz lcd sony bravia performed  .

so yes , you will still see the clicks or jutter in the motion  .

however , in all fairness , the motion of the 240hz lcds are unnatural  .

how do i know  .

test your own eyes in the real world  .

while driving in your car , look at the motion of the light poles zooming past you  .

if you notice , it is not an ultra smooth motion because our eyes cannot process that motion that quickly  .

but the 240hz technology really is just filling in the gaps of what is not there and therefore , it does not look natural and can at times can make a movie look like a camcorder recording  .

but it really is a matter of preference  .

i read on someone else's review that disney movies were really jerky  .

i have to admit , i test a pixar movie , and it is a little jerky  .

but for the most part , this tv performs well with motion i wish the screen was not so glossy because there is a nice amount of reflection there when compared to the lcds or the pioneer  .

but it's not a biggie i'm not gonna touch on sound because if you have a 50+ inch tv , there is no way you should not have an external sound system but all in all , i am extremely happy with this purchase  .

probably the best purchase i've made in years  .

obviously , the picture is the most important thing for me because i didn't critique the menus , the sound , and the vieracast feature but the picture on this tv is rediculous  .

you will be in awe every time you sit in front it  .

so hopefully , this helped you make a decision  .

and if you go out , test some of the things i hightlighted  .

demand to play with the settings on the tv and if they won't let you , do not give them your money  .

move on .

first , i did not get this tv  .

(if i did why would i waste my time reading all these reviews , right  .

then why the 'whatever' do i write a review  .

because i had an opportunity several times in several stores to spend some time directly comparing performance of this unit against other panasonice own models and other vendors  .

side by side at the same time with the same content simultaniosly  .

with the same conclusion  .

it performs great  .

same as panasonic g10 and s1  .

and samsung lcd and sony and sharp  .

as long as you watch the unit alone  .

the more you watch the better it seems and while you see its still not a 100% perfect live image its dificult to imagine how else it can be better  .

sharp , bright , coloruful , detailed now step back and compare  .

and you start seeing diffrences  .

one slighlty brighter , another smoother , still other has slighly warmer skin tones or darker picture  .

sure one skin tone , for instance , is truer according to some standard but dont ask me which one  .

should it be a little rosier or slighly lighter  .

no way you can tell  .

so you got any major brand and in most cases you'll be happy  .

the more you watch it the more my friend's sharp (not even mentioned on cnet) has a gorgious picture  .

until you tell me its not that good as v10 i would not know  .

the differences are miniscule (forget the standards    your eye is the best standard as thats what you you using)  .

saying that there are differences when compare  .

unfortunatley , contrary to normal people for perfectionists like me that creates a barrier (more phsychological) what i saw is that there is no visible difference between v10 , g10 , s1 pans (in picture quality , design is better on v10)  .

without checking the name i even piicked s1 as having slightly more pleasant image  .

they're all have a little more pleasant pic than samsung and sharp lcd (who are a little too bright and harsh in comparison)  .

and in the end i could not help but keep deviating to pioneer 5020 who certainly had the most pleasant , smooth and accurate (at least psychologically) picture of all  .

either for films , broadcast , static or dynamic type of images  .

no matter who and what would tell me ( (including cnet experts)  .

that what i would buy if i would not be concerned with potental tech support issues with obsolete product  .

pity as to issues with pan i noticed (as comparing to reference pioneer)    overall colors were a little too strong , oversaturated , somehow a little 'off' , maybe indeed leaning a little to yellow    light green  .

after pioneeer it felt a little annoying  .

another one    and i spent some time trying to catch it and make sure    it seems that in live broadcast when the camera is moving there is suddenly a noticable (at least from ~3 feet) pixelation of the image  .

particulalry over objects like a grass on a football field  .

to some degree they're all doing it but its not normally noticable  .

its noticable on pan (on all models)  .

is it a deal breaker  .

depends  .

i say its not  .

for normal people  .

my logic and experience tells that if you watch movies or baseball or shows instead of watching how your tv is doing you will be happy with pan (and sharp and samsung) , the more you watch it and the more your eyes adjust , the better  .

but if you are guided by feelings (like me) you may get sorry you did not buy pioneer earlier or wait (like i do) till pan (or samsung) get it done better (hopefuly for the same price) and if couple of hundred $ concern you while slighly cheaper looking plactic does not    by all means get pan g10 or s1 , they perform in reality same as v10  .

they have less controls but i personally set my tvs once and then dont even remember what conttrols they have till the end of their life  .

of course , your children might love screwing all these setting around  .

then maybe you do want more of them  .

but im only concerned about image quality .

i ordered the panasonic v10 online , and everything worked out perfect  .

it got delivered on tuesday and the fed ex guy who had the personality of a flounder asked where i wanted him to put the tv while he is standing inside of his giant truck  .

i said , didn't i get curbside delivery  .

he said yes , and i said okay than can you put it on the curb  .

he rolled it passed the curb and to the bottom of the stare well of my apt  .

building i signed some paperwork indicating that there is a small quarter sized blemish on the box , he phoned in that to his headquarters , i slid his lame ass a few bucks for his efforts , and my boy and i now had to carry the tv up flights of stairs  .

not to ruin the story but it is so light that it is almost laughable  .

mind you i had carried my old sony crt (200 lbs  .

) down to a friends apt  .

a half hour before , and that is a nightmare  .

so right away the fact that it is so easy to carry blew me away  .

i'd suggest instead of paying extra for any unnecessary fancy deliveries , you go buy yourself a pair of white gloves and carry it in with a friend if you're capable of course put the stand down , slid the tv on ; put a few screws here and there and the bad boy is ready like freddy  .

i put it on top of 2 tv stands from ikea (besta) side by side  .

i swore that 50 inches is going to be too big for my 8 feet eye level viewing distance  .

it is the perfect size  .

46 may work out well for someone into standard definition and dvd's because it will tighten up the image a bit  .

but i have no regrets with this size and viewing distance i have a really big window to the left of the tv , so if you're sitting directly in front of the tv the window is to your left  .

initially i is in absolute shock at the reflection that i is seeing , it seriously haunted me for a couple days  .

i debated on returning it and getting a 46 inch lcd to avoid the reflection that i is seeing  .

i'm an artist and i know alot about color and i consider myself to have a pretty good eye (or eyes for that matter  .

) also the color on the v10 is greenish for sure , even in thx mode  .

(people say thx mode is dim yes , it's dim) so all these things were seriously making me sort of regret my purchase  .

mind you at this point i had barely broken the panny at all that night (2nd night) i is doing something in the kitchen , and when i looked up and saw wall    e (hdon direct tv) my entire thought process did a 360  .

i is stunned when you sit any thing thats that big in your living room it takes a couple days for the pink elephant in the room to fade out  .

and it did  .

now i have almost a television crush on this single paned beauty  .

now mind you i have been shopping for an entire year for the right tv , and i targeted the v10 off of mostly looks alone  .

i visited the best buy near me when the 5020 pioneer and the g10 were literally hanging next to each other on the wall  .

the 5020 just oozed superiority  .

it is like a thoroughbred standing next to a really fast donkey  .

2 things i did not like about the pioneer is the steep price (even at its dirt cheapest) and the glossy black frame that looked to 90's for my taste  .

the v10 seemed to be the one to chase at that point  .

on looks alone the v10 crushes the g10's gaudy plasticy frame with the silvery cheap gradiation spray painted at the bottom  .

even if its picture is comparable or just below or just above the g10 ; the v10 is effortlessly slick  .

and for the price , is one tough plasma not to notice i think david katzmaier gets alot of heat for suggesting price as compared to picture  .

listen , i get the argument , but now that i own a pretty expensive plasma i completely understand his point  .

if u walk up to a guy who test drives sports cars and you ask what car do u suggest to get , its pretty likely he won't suggest a $250 , 000 car  .

if money is no object , decisions are always easier  .

but in general most shoppers are looking for a bargain  .

i found a old stuff magazine the other day from 2002 , and a 50 inch plasma is $15 , 000  .

for what i'm staring at in my place right now , panasonic has put out a truly classy panel for a pretty fare price  .

katzmaier points out that the color is not perfect , and he's right  .

but if u think about it  .

if panasonic made this tv perfect , it would probably cost as much as a kuro , and not many people would buy it , and they may throw in the towel on making plasmas too  .

we wouldn't want that to happen now would we  .

the reflection does not bother me any more and the picture quality seems to be getting better and better  .

so far i have to say that i am happy with my purchase if any one has any break in tips or opinions , i'm interested in hearing suggestions  .

it has been a real pain trying to figure how to break this set in  .

some say break in is not necessary on newer plasmas , some say its a must  .

i've run the tv in hd in zoom mode for a few days now and run slide shows the white scrolling bar alot  .

sincerely , d    test  .

updated  .

on nov 11 , 2009  .

i'm very impressed with the image quality of this set  .

build quality is excellent as well  .

the web content , especially full screen youtube viewing , is a nice bonus  .

video motion is so much better than anything i've ever seen on an lcd  .

if you like to watch movies , plasma is the only way to go  .

i've had this set for two days now updated  .

on jun 19 , 2009  .

bring the 42 v10 to the usa  .

i would love to buy the panasonic v10 plasma or samsung 8500 series led lcd but i cannot make heads or tails of your reviews  .

i've seen the samsung 8000 series at best buy and frankly as i move off to a 45 degree angle , i see no change in the black levels you site in your review of the 8500 series  .

you claim moving over a few feet and the black levels drop off quickly  .

i just did'nt see it you rate so many of your hdtv's 4 stars i have no idea which one is truley best  .

like the majority of retail buyers , i want the tv with the best picture  .

that picture needs to be essentially free of motion artifacts , have highly vivid and true coloration and have a reasonable number of useful connections  .

sense picture quality is the main concern , you need to give that your greatest attention and you need to emphasize that in your reviews  .

don't rate the tv's on a cost vs  .

performance basis  .

tell us which is the best picture the black levels on the panasonic v10 series may be the best sense the pioneer kuro but how does that make this such a great picture if the primary and secondary colors in non thx mode are less than accurate  .

when i watch tv i notice the accuracy of colors other than black more than i do the black level  .

if green is off it sticks out like a sore thumb , as does red  .

i'd rather have a tv with rich accurate color saturation than one with the deepest blacks  .

you seem to emphasize the opposite  .

for instance , you rate panasonic higher than the samsung 850/860 series yet you site the accurate colors on the samsungs as a positive but not on the panasonic  .

wouldn't a better color reproduction make the samsung a better picture and therefore a better tv to view  .

i'm leaning towards the samsung 8500 46 unit because of the coloration  .

most people do not watch tv in a totally dark room and therefore the panasonic's black levels are not so important  .

most people watch their tv in a living room at different times of the day , in different lighting conditions and need a review that takes into account those realities i like your reviews and i believe that that you know what your talking about but please give us , the typical user , a review that takes into account our typical viewing habits and how appropriate a tv is for those situations which one   46 samsung 8500 led lcd or 50 panasonic v10 is actually the better pictire  .

just got off the phone with panasonic tech support i cannot believe they skimp on the input connections with a tv that is otherwise so perfect  .

i is just about to order one before i got this info .

c'mon , cnet is bias as heck  .

do you really think panasonic can make a better tv than sony or samsung  .

the answer is no  .

sony puts in the best technology possible and they are always a step ahead , why would panasonic be the better buy  .

if you are budget conscience , get a samsung  .

if money is not a factor and you want quality , get a sony .

due to the reasons i posted above , if i had it to do over , i would have bought an lcd  .

i payed a lot more for this tv , i could have gotten an lcd for a lot less and gotten a t  .

with a better picture  .

i bought this off best buy's website as they did not stock it at the store  .

cnet said it is the best t  .

they reviewed this year but i strongly disagree .

good tv , too much energy .

i bought this tv in late october 2009 and in the last few months i have experienced 3 significant failures  .

on the first failure they replaced the input board with another malfunctioning board  .

when i tried to explain the problem they did everything they could to side step the failure  .

you see the first failure is in the hdmi inputs and when the new board is installed the network port is bad but they tried to insinuate it is my network and not their board  .

they fought with me on the phone before i finally proved to them it is their equipment  .

they would not let their approved service technician troubleshoot it in their shop and made them deliver it back to my home and have me call tech support where they were very rude and lacked network knowledge  .

over one month later i am still waiting for the input board which is still on back order with no projected date when it will be available  .

it then raises two questions , does this mean there are so many failures they can not keep up with the demand or is the supply support that poor they cannot repair tv's less than one year old  .

or are they so vindictive they decided to withhold repairs because they induced another problem into the tv and they do not care about the consumer's inconvenience  .

based on my experience with the technical support to date i have received little confidence they have a compassion to consumers once they have your money for the product  .

right now we have a tv that will not power up and have been without tv for a month with no relief in site  .

i have requested they replace the unit and even offered to pay the difference and purchase a larger tv  .

at this point i would not recommend buying any products from panasonic as this experience has left me with a bad taste about their ability to stand behind their product warranty  .

i did a search on the internet and have found many consumers have expperienced similar treatment .

the black level has risen considerably and image retention has increased  .

panasonic claims that the black levels are designed to rise  .

essentially this means that the tv's picture quality is designed to get worse over a short period of time at first i is in love with the picture quality of this tv  .

however after about 5 months i noticed that the picture looked a bit washed out and realized that the blacks were not really the true color black that they were when the tv is new  .

the increase in image retention coincided with this change in black level as well  .

i used to watch a 2  .

35  1 movie (black bars on the top and bottom) and have minimal image retention of the bars  .

it would only take a minute or two of the scrolling bar for this to disappear , now when i am finished with a movie it is quite clear where the bars were on the screen and it takes about 15 minutes of the scrolling bar to removing the ir  .

typically ir decreases with the age of the plasma panel , not increases bottom line is that the picture quality still looks good  .

however this is supposed to be an excellent tv  .

i watch tv in a very dark room most of the time , so my eyes will be more subject to a rise in black level than a person who watches this tv in a bright room  .

the increase in image retention is annoying , but always goes away plasma tv's are know for their deep black levels  .

the rise in this level on the 2009 panasonic line puts them in line with a very good lcd  .

if that's what i wanted i would have bought and lcd , but it's not  .

i wanted deep blacks , which i bought and paid for and did not get this issue is well documented on line  .

panasonic has been less than helpful for me with my issues  .

their customer service has been poor at best  .

i do not recommend this tv or any other panasonic plasma .

i also know of a specialist hifi shop that lost $10k from the same scenario i would not buy anything this company makes for the remainder of my days .

