perfect for taking photos on vacation  .
i contemplated the following (amongst a few others) , sony h2 , h5 , sony r1 , canon 350ds , panasonic fz7 and the canon s3 is as i said before each have their own pros and cons  .

the sony r1 is a great camera however as a fixed lens camera , for me a 5x zoom is not enough if i'm going to carry its 2 plus pounds weight  .

the 10mp and big aps sensor were very compelling features  .

the 350ds almost got my money  .

the optical viewfinder the solid feel , the fast continous capture capability and the interchangeable lenses are superb  .

however the interchangeable lenses were (foe me) also its downfall  .

i have for years prior to owning the sony h1 , been an slr user  .

i sold my whole pentax kit and moved on to an auto pentax slr    oh the convenience of point and shoot after years of lens changing exposure setting etc , etc so (for me) the dslr's are out  .

they are all good    some better than others , but to get the capabities of 12x zoom , the lens cost can easily outweigh the cost of the camera so my choice came down to the sony h5 and the canon s3 is  .

do i want the extra 1  .

2mp and that extra 1 on the lcd display (hmmm  .

i do like that viewfinder)  .

do i want better quality movies with stereo sound , an intervalometer for picture sequences , a twain driver to allow a computer to capture images a really macro macro capability a flexible lcd display and many great and useful camera options  .

well , the larger lcd display is nice but i normally use the evf for taking photo's the lcd display is used for just that , a display , to show images to others of the images taken  .

the canons s3 lcd though smaller , is useful and it can be foded away for screen protection  .

the extra 1  .

2mp is of marginal benefit for most photo's offering only a slight improvement on enlarged images the intevalometer and the twain driver to allow pc control of the s3 is something i find advantageous    though this is not for everybody the ability to take excellent movie clips is something very useful  .

there is of course a limit of 8 minutes at 640x48 at 30fps on a 1gb sd memory but most movie shots are far less than that anyway  .

a thirty second movie clip of the same scene seems a very long scene  .

so for holiday makers and quick home movie scenes this can be a very useful feature so as it turns out , the canon s3 is does it for me  .

this is not so much because it's better than the sony et al , but because it offers the features and 12x zoom convenience that  i  want at a great price bracket on a featture by feature basis after lengthy reviews , i think the s3 has the advantage , but that 3 screen would have been nice regards  .

petetr  .

i initially bought the sd630 last week because i thought i wanted a camera that i could shove into a pocket for the odd funny shot thoughout the course of the day  .

turns out that i'm just not that kind of guy  .

each day's downloads brought a slew of disappointment  .

in all , i ran through some 200 to 250 shots and i knew i wanted more control  .

don't get me wrong , the sd630 is a great camera , it's just that somewhere along the way , my opinion changed about what i considered photograpically (no , i don't know if that's really a word) fun  .

went back to cc to swap it for the s3 today and guess what  .

more fun , clearer pics zoom , zoom , zoom  .

cc's 14 day return policy is great as long as you spend at least what the return price was  .

i plan to spend the next week shooting my surroundings and if this one doesn't cut the mustard than the sony h5 is on deck  .

so far , i do not see any reason to buy into sony's proprietary crap so the s3 is probably it for me .

i currently own the s2 is which i bought as soon as it came out last summer for taking pics on vacations  .

the camera is excellent , offers amazing picture quality , and i found the stabilizer useful  .

the new s3 is adds 1 mp , although this is unnecessary for increased resolution , and the camera is now black instead of silver (possibly to give more resemblance to the higher end rebel model)  .

save your money and buy the equally good s2 is which can now be bought for around $350 vs  .

the $500 for the s3 is .

i love all of the features it offers  .

i've owned this camera since november of 2007  .

just recently , our house flooded  .

well , i is inclined to take pictures for insurance purposes , but when i couldn't find the date/time stamp in the options , i is highly confused  .

i went online to the canon support site and could not find anything about it  .

so , i randomly googled my problem and came up with a whole bunch of pages and reviews complaining about there not being a date/time stamp i love the camera though , even without the date/time stamp  .

it is very reliable and doesn't drain batteries as fast as a lot of my cheaper cameras  .

the zoom and speed shot features are , by far , my favorites  .

i have really shaky hands due to nerve damage , and to be able to catch a picture that's not blurry is a miracle  .

the neck strap is a good feature too , because of my hands  .

although , i have dropped it a few times here and there , it has not given me any problems , other than restarting  .

it is a very sturdy camera and very easy to clean the lense  .

before today , i would have given it a 5 , but i just cannot because of that one flaw  .

sorry canon  .

i do have to say , it is one of the best $300 investments i've ever made though , especially with my employee discount  .

^_____^  .

i recommend this camera  .

great camera , worth every penny  .

i had the s2 is , but it broke for some reason  .

since that camera made me warm in the happy parts of my soul , i decided to go 'head and upgrade i cannot say enough about the vari    angle lcd  .

if you have not used one before , you really really need to try it  .

it allows for much more creativity (and let's face it furtivity) when taking shots  .

the 12x optical zoom is now about standard for this class , but the vari angle lens kills the competition for me  .

if canon comes out with a vari    angle slr with a workable live view , i might finally make that jump the start up is quick and silent and rarely makes me miss the shot  .

the video feature is a very nice add on , but the video encoding that canon decided to use will go through your sd cards pretty fast  .

you should have somewhere to dump your files  .

(i use the creative zen for in field transfer and a wd portable hard drive back at the internet cafe )  .

in all i would recommend this camera  .

hell i might even try the s5  .

i bought this camera instead of a dslr , mainly because of the price difference  .

i have to say , that this camera is simply the next best thing to dslr  .

every day i use it i discover a new feature or new setting that allows me to take my photography to the next level  .

this camera can easily be used for professional photography  .

lens filters can also be used with it to enhance shots  .

a lens adapter will be needed , but its inexpensive and worth it  .

overall i have been very pleased with the performance of this camera , and if you are looking for a dlsr but find that you cannot afford it , i would recommend this camera instead , no doubt about it .

had this camera since 2/2007  .

it is awesome  .

thank you , canon , for a great product  .

this camera makes everybody look so pretty in the picture    amazing  .

love the fact that it doesn't require expensive proprietary batteries does not even need rechargeable  .

camera works great with regular (duracell or costco's kirkland brands) aa batteries  .

when you take as many pics as i do , you'll be grateful too as you change the batteries mid    shot  .

is a little frustrated at first when camera refused to take the shot even when i had it lined up perfect  .

then switched to hi    speed sd card and that took care of that nicely  .

sometimes looking at shots through the viewfinder , it seems like the shot is fuzzy but when i look at the screen , they're almost always gorgeous  .

in panning the camera to take close    up shots , sometimes it does take a bit of time to get the focus perfect but all in all love this camera  .

reading through the inst manual makes me lose my focus as the technical stuff is way over my head  .

appreciate it being there though as i look forward to the day i can comprehend the technical aspects  .

in the meantime , i'm just taking the shots .

so , i've been jonzing for a digital camera for some time now , and relied heavily on these cnet reviews , as well as steves cameras , and pc magazine , and whatever god    forsaken review sites there are out there  .

this is going to be my first digital camera purchase , so needless to say , i is really cautious in doing so i'm pretty much an amateur photographer , looking for a camera that had an artistic edge to it , and i definitely believe that i found it with this camera  .

the mega zoom , coupled with the image stabilization is such a f'in kick @$$ combo , that its made me a long life cannon fan  .

and on top of the mega zoom , there's super macro feature that'd like putting a magnifying glass on the subject the only thing that gets to me is that the manual focus (something i cannot do without) is a button i have to hold down on the side of the lens  .

it can get kinda annoying , especially when trying to take quick action shots  .

but then again , the auto mode on this thing is pretty darn smart  .

leaving it on produces images that are sometimes even better than what my amateur @$$ can do so for anyone starting out in photography , and wants to one day maybe take it a step further , and do some real professional/ artistic stuff with it some day , this is the camera for you  .

it's also good if you just want to take normal (boring) pictures , that is , if you don't mind the size like me i wouldn't recommend this camera to people to experts , and people who are spoiled by dslrs , and general idiots who do not know a camera from their @$$#0le$ bottom line   this camera is f'in awesome in features , quality , and of course in price .

for those who are not ready to make the techinal or financial leap to slr , this camera offers the simplicity of a point    and    shoot with the advantage of megazoom  .

its design lightweight , sleek and intuative , and it offers a range of automatic and manual settings the major drawback of this camera is the lack of focus at maximum and minimum zoom  .

the macrofocus is soft , making it near impossible to get an extreme close up of your subject , and pictures are noisy at maximum zoom .

well , im an amateur photographer and thought id finally kick things up a bit  .

so after 3 months of frustrating research , i finally went for this camera  .

i researched the kodak 612/712 , the fuji s700 , the sony h9/h7/h2 , but still went for this (though wud have gone for the kodak had it been available at the time because of the price)  .

ive had this camera for 3 weeks and i cant get my hands of it  .

pics are great , colours are very well saturated , shutter lag is very small  .

movies are of high quality but the compression leaves a lot to be desired  .

hmmm all in all im happy i went for this camera has been a greta buy ill get bak to u guys in case i discover glitches or some other good thing later  .

i have a dslr and it rarely gets used , this camera does it all , and i dont have to lug around a lot of lenses to get the same quality captures , i am considering selling my dslr as the canon s3 takes pictures just as good , i do wish it had raw support though , but i can deal without it  .

if you are looking for a camera , for all occassions that will give top notch shots the canon s3 is the way to go , i use rechargeables in mine and battery life is good , do get a 2gb card home movies are fun and you can get a lot get this camera you will not be disappointed  .

this camera is wonderful  .

i have to admit that i do not have a good background in the subject to compare thoroughly , but overall , i know what a good image looks like  .

for anyone who's not sure what to pick for their needs , you can look at this as sort of a bridge camera between point and shoot/dslr  .

it has the amazing zoom for those far away shots , a good is feature , impressive custom settings , and a very useful flip around screen believe it or not , that flip screen really does help a lot for taking angel shots , self portraits  .

or over the crowd shots  .

even floor shots looking upward look amazing when using the flip screen the 6  .

0 megapixals are all you need unless your trying to make a building sign  .

and the interchangeable lenses are a nice treat if your willing to spend the doe on it also , video is phenomenal  .

the stereo audio is very nice and the video is soooo clear , you can just let your old camcorder collect dust cuz this is all you need  .

and the greatest feature that i love and cannot find in any other camera is the ambility for this camera to shoot pictures in the middle of the video  .

bad thing is that the snap of the photo is seen in the video , but for me personally , i like the look  .

makes it look like paperatzzi video , lol  .

it just doesnt make for a smooth video with no clicks if thats what you want overall , this camera has a great price , a great balance btwn the complexity of an slr and simplicity of a point and shoot , and i highly recommend it for the amature/casual user  .

it also works extrmely well for those who are a little afraid of the slr world or cannot afford it right now (like me) , but definitely want to eventually get there .

i just upgraded from a 5    year old , 2mp elph  .

i took a lot of great pictures with that little camera , but really wanted to take some higher quality photographs  .

i thought about dslr's but the price and taking the time to learn how to use it discouraged me  .

so i decided on an advanced point and shoot  .

like many others , it came down to the sony and the canon  .

since i is already familiar with the set    up of canon's buttons and features i chose the s3  .

from the very first test photo's i took (on the practically useless 16mb card) i is thoroughly impressed  .

the clarity and the sharpness of the pictures were outstanding compared to the old camera  .

i is amazed by the detail it captured , i is used to photographing beautiful sunsets then being disappointed once i downloaded the pictures  .

i do not know if it is the lens or the megapixels (or if i would be equally impressed with the sony) , but it is like watching an hdtv after years of the old tv set  .

as for the complaints i read about this camera   1) small screen    it is big enough and i had the camera on vacation for a week , took 400+ pictures and did not have to re    charge the batteries once  .

the larger the screen the more power used  .

i also like the fact that you can pull out and angle the screen , a feature many video camera toting parents are used to using  .

2)too many buttons    they are placed well and very functional  .

3) flash    agreed  .

it has to be manually popped    up which is inconvenient when used to full automation  .

4) flimsy output cover    nitpicky  .

a camera is a delicate instrument , so it should be handled with some care , unless you are using a shovel to access the digital jacks it should not be a problem  .

overall , it is bulkier than my old elph , but it has the same ease of use with nearly professional looking photo's .

it took me about 2 and a half to 3 weeks to find the camera that is right for me  .

i thought i wanted a camera that had more than 8 megapixels , and more than 10x zoom  .

but , i also wanted a camera that i could fit in my pocket and take with me where ever i could go  .

i is stuck between the powershot s3 and the sony h5  .

i chose the s3 for many reasons  .

i have been buying canon digital cameras ever since i got into photography  .

all of their cameras i have chosen had met my needs  .

i have heard many bad reports about sony and how they have had many technical difficulty problems , and many have sent back to sony for good now a little about the s3 and its features  .

the s3 has many options that you can choose from  .

it has movie modes , scene mode , portrait , landscape , fast shot , manual , apature , shutterspeed , tv , and custom  .

i'm sure youve figured that out by now  .

all of these modes gives you many options as to the sitution that you are in  .

the high powered flash is very helpful at night , and the shots look like you took them in daylight  .

i did some tests with this by at night i would have all the lights off , and i would use the flash and take a picture of a desk or something  .

the photo came out as if it were daylight  .

the zoom is a great quality  .

do not let the 15x zoom of the h5 fool you  .

that is only optical  .

it has 2x digital whereas the s3 has 4x digital totaling it's zoom to 48x , and the h5 to 30x  .

canon 1    sony 0 my previous camera the powershot a700 , came with a 2  .

5 inch lcd  .

so , it is a bit of a downsize , but the rotating screen made up for it and its really not that bad  .

you do not need your super glasses to see the screen  .

it is clearly visible , and if you dont have to move the camera around to get the light from hitting the screen and creating a glare  .

the h5 has a 2  .

5 in lcd , but it does not rotate  .

canon 2    sony 0  .

the movie mode on the canon is amazing  .

the 30 fps on the 640x480 is like a camcorder  .

the sony h5 has the same size , but at 30 fps , you have no audio  .

thats no good  .

you only have audio on the 640x480 at 15fps  .

canon 3    sony 0 i thought about lugging around this superzoom camera after i had bought it and i is asking myself constantly what have i done what have i done  .

but , when the camera arrived , i is surprised  .

i could not tell the difference between the powershot a700 , and the s3 is  .

the image stabilization on the s3 is is a great feature  .

so far , i have taken 356 shots , and not 1 has been blurry  .

the ease of use on this camera is great as well  .

my mother who has never shot a camera other than a disposable one in her life , took pictures with ease  .

the placement of the zoom button has always been easily accessable unlike the sony h5 where it is above the directional pad  .

canon 4    sony 0 the canon powershot s3 won it over for me against the sony h5  .

i have had this camera for about 1 week , and am very satisfied with it  .

if you are someone who doesnt want to take that extra step and learning curve , and 300 $ , then this is the right camera for you i hope i is of help ,  .

thanks ,  .

steve       ma  .

i love this and would continue to buy canon looking for a video camera  .

this is the best camera i have owned yet  .

its got the look and feel of a dslr  .

it records great movies , takes great stills and has a stabilized zoom over 400mm  .

highly recommend for sports or nature shots with the great zoom and macro modes  .

black finish is a real nice touch by canon  .

microphone records stereo so your movies turn out really nice  .

you would be hard pressed to find a better long zoom range camera in this price point .

i got this for christmas and i really love it  .

i used it on my trip to ca recently and got really great pictures and movies  .

the microphone is greally strong and picks up sound well  .

at first it is a little heavy but comes with a really good neckstrap  .

it is a little intimidating at first since i is not used to all the choices  .

but after going through the getting started manual it is really easy  .

i like the fact you could take single photos while recording in movie mode with audio  .

the zoom feature is really good  .

it also has image stabilzation and red eye reduction which is a big help since i am a fairly novice picture taker .

i bought this camera to replace my old fuji s3000 6x zoom 3  .

2mp  .

i still didn't feel ready for a d    slr (too much camera for my abilities and much too big to want to carry anywhere) , but i wanted a big zoom (for me , prohibitively expensive option on a d    slr) , so no pocket camera made the grade for me  .

after reading reviews , handling and comparing this and the panasonic lumix dmc    fz7k (a lot cheaper , similar features and quality) , i bought this one  .

i love it  .

in auto mode , i'm very happy , and taking manual mode pics are a slow but steady learning experience (which i knew going into the purchase , but is something i wanted to experience and grow with i was not looking for a cheap point and shoot)  .

i have to keep the supplied manual with me in my camera case for more creative shots , but i'm having a lot of fun with it  .

so many features if i care to use them , and auto if i don't  .

personally , i'm glad there's no date    stamp to turn off i hate them and have no need for them , but i understand others complaining about the lack of it if they use it on other cameras  .

another big factor for me is the aa battery usage i just did not want a proprietary expensive battery to purchase as an extra , so i spent the extra money for the better reviewed camera , and i'm quite happy 2 months into ownership  .

it feels very solid , love the black vs  .

the prior version's silver , love the flipping (but small) lcd  .

i have not even tried the movie feature yet , but i've read it's fun  .

plus , i liked the option of getting an adapter tube to use optional lenses , which i've done and enjoyed  .

and now the price is falling i'd definately buy one again  .

i bought this to replace a canon powershot s400  .

that camera is great for portability , took some good shots and still takes them after about 5000 pics  .

i wanted to sacrifice the small size for a bigger zoom and a little more resolution  .

i got what i asked for  .

the s3 is has a great zoom and takes more colorful and crisper pictures than the s400  .

i love it  .

if it holds up like the s400 did , canon has my business next time too .

i documented my 10 day vacation with this camera and took over 700 shots and i must say over 70% of them i is pleased enough to have printed  .

startup time is very quick with camera , allowing you to capture most moments on the fly w/ no trouble  .

almost all the manual control you need is implemented perfectly (save manual focus , which is a bit awkward , and spotty but in this class , aren't they all  .

colors appear accurate and a bit on the warm side (which is how i like it)  .

noise is very low for a camera of this class up to 400iso  .

up to a 10 minute video can be shot on the canon at 640x480 and it looks great , however i wish canon had opted for a more compressed video format to allow for more recording time , and that they did not limit the time to 10 minutes per file  .

the only other cam i considered for my sub $500 price range (i ended up getting the canon in the low $300s) is the sony h5  .

the h5 feel is very consumerish ; felt lighter , more plasticy , and the biggie   the manual control is slower and less intuitive (having to move up and down to access a setting and then left or right to adjust)  .

if you're not going for a dslr (for reasons of price or heft) i cannot recommend a better cam .

my wife and i bought the s3 for christmas and are very happy  .

it's easy to use right out of the box  .

we had a small point and shoot and this is a great upgrade  .

indoor pictures look great with or without the flash  .

without the flash , i usually take 2    4 pictures right in a row and one turn out without any blur  .

the camera starts up super quick and resets to take another quick pic  .

i researched camera to death in the $350    $400 range and this is the best with the most features  .

i got it from sam's club for $329 , so check around  .

i have read that people have been getting blurry pictures indoor , just use a monopod or tripod and it works perfect .

i recently got a powershot s3 and quite happy with it i researched the digital world extensively , desiring to upgrade from my trusty kodak dx 3215 , as it is quite limited and i needed something more robust  .

i looked into obtaining a strict dslr , but the prices are in the high hundreds and low thousands out of my price range  .

and i wanted the capability of shooting video  .

the s3 had everytning i desired and more  .

the movie feature is quite nice , even at it's lowest settings baseline prices were averaging around $399  .

00 , with small variations  .

on    line deals were slightly better , but not much , and i prefer to pick up my electronics in person to examine the product  .

i saw an ad from officemax offering the s3 for $369  .

00    with an instant $30  .

00 in    store rebate  .

they threw in a free 512mb sd card and the option to purchase a $100  .

00 canon photo printer for $30  .

i took the offer , but declined the extended warrenty of $79  .

00 for two years  .

i could have waited till the prices came down some more , most likely after christmas , but i liked the deal offered  .

i am happy with the purchase it has plenty of zoom (12x) , takes very good images , and the sharpness of the images are quite good  .

i have plenty of experience with my old 35mm nikon film camera , and the s3 exceeds it in many areas  .

i do not miss at all lugging around various lenses and accessories , and this camera has plenty of features to satisfy the photographer i have experimented with the manual controls and find them exceptional , with real time results  .

and as an additional benefit , everybody who has seen it , has complimented me on the purchase even die hard strict dslr users  .

i will look into aftermarket lens hoods and tele    converters to enhance the performance astrophography     .

i needed a camera for astrophotography , and i hope this one will serve well , but one nagging observation it's remarkable that i have been able to record stars , constellations and nebulae with just the camera lens , but i find it bothersome that i cannot focus stars down to pin points , it just stops short  .

i do not know if this is inherent to all digital cameras , but maybe it's just mine there are examples of my practice begining astrophotography efforts with the powershot s3 here    .

http  //astronomer  .

proboards23  .

com/index  .

cgi  .

action  display board  ps3 thread  1166148281 page  1  .

and here  .

http  //astronomer  .

proboards23  .

com/index  .

cgi  .

action  display board  ps3 thread  1166148281 page  1  .

other than the difficulties of obtaining pin point stars , i highly recommend this camera respectfully ,  .

chicago astronomer joe  .

administrator  .

www  .

chicagoastronomer  .

com  .

well i had an s1 is before and upgraded to this camera and all i can say is that i is just amazed at the improvement in quality  .

it is easy to see when viewing photos which were taken with the s1 and which with the s3  .

i is looking at the sony equivalent to this as i liked the larger screen on the sony but this had better images  .

i am now making use of the 'bracketing' when taking photos and this is just fantastic too  .

i love the steeo sound and this is one of the very few digital cameras to offer this .

like many other photographers conclusions , my pursuit of a digital camera with near dslr capabilities on a budget came down to a familiar three    12x zoom / image stabilized choices   the sony h5 , the canon s3 is , and the lumix (panasonic) dmc fz7  .

after pouring over specifications , reviews , and getting some hands    on impressions , i came to the happy conclusion that all are great choices and that if any two were not on the market i would be lusting after that one remaining camera  .

in short , its great to have these options the image quality of all three cameras is comparable and any differences are certainly within minor post    processing tweaks of one another , however , they all suffer image quality limitations from 400 iso upwards  .

beyond the magenta / blue ghosting and inherent image noise level comparisons you read about they can all produce excellent digital pictures  .

face it , youre gonna sweeten your best shots with post processing anyway so as long as the shots are crisp (of which all three cameras are capable) the image quality shakes out within marginal preferences of one another my current photo needs are driven by family  .

i am a father of three & i have a cheerleader , a football player , and a soccer player to chase after so action weighs heavy in my decision  .

with all three cameras performing best in the iso 200 and below range none are truly ideal for sports or fast action (even with image stabilization) so whatever advantages can be found become decision makers for me  .

initially this places the sony h5 at some disadvantage (not that its bad , its just not quite as good) due to its slower performance specs compared to the canon and the lumix  .

the canon s3 is and lumix dmc fz7 both excel with   fast start    up / fast shot    to    shot , 2fps continuous burst mode , fast focus , fast zoom , and sd extreme iii ram compatibility (20mb / sec   twice the speed of sd ultra ii)  .

the canon has the unique ability to capture snapshots (stills) while in mid    stream video mode (major coolness) and it runs on 4 standard aa batteries enjoying the longest battery life of all three cameras (i hate running out of power)  .

needless to say , these features appeal strongly to my needs the sony h5 is , to my eye , the most aesthetically appealing of the cameras and i love the 3 lcd on the back  .

there is no better way to show off your shots than on a big display (its impressive) and its better for editing pictures on the spot , however , thats not how i use a camera  .

i dont edit on the camera , if anything i bracket my shots , keep moving , and sort through them all later  .

i prefer to edit images on a pc & for me , the camera back lcd is simply a reference screen  .

i find the refresh rate of the lcd for viewing action to be more critical and although the 2 display on the canon is the smallest of the three cameras it has the best resolution with the fastest refresh rate  .

the size difference of the canon display is easily overcome by simply moving the camera a little bit closer to my face (im an old 35mm slr guy and used to having an eye on the viewfinder so this is no compromise)  .

also , as the primary photographer in the family i am frequently out of the picture (behind the camera) by default  .

a 180 degree flip of the canon s3 lcd allows composition of personal and group shots at arms length (with me in the picture  .

) & i love that  .

additionally , the canon lcd can be turned around so the screen is protected  .

with 3 kids this is not a small consideration i didnt care for the appearance of the canon as much as the sony or the lumix largely because of all the buttons  .

that said , functionally i found the buttons well placed and often providing faster access than scrolling through menus for options (i  .

trashing a bad photo , moving between modes , shortcut programmable buttons)  .

at first i preferred the thumb friendly zoom control of the sony h5 but later found the index finger zoom controls of the canon s3 and the lumix dmc fz7 to be more responsive and both cameras auto    focused faster than the sony  .

the lumix controls were nice but i had to access the menus more often than the canon to get what i wanted , if lumix had shortcuts i wasnt able to find them bottom line   the lumix dmc fz7 is the most affordable of the three and a strong contender for action work (the lumix is my second choice) but has no compelling unique features and requires proprietary ($) rechargeable batteries  .

the sony h5 has that great 3 display but is not a strong player in the action arena and it carries the heftiest price tag  .

the canon s3 is has the best action performance with the longest battery life , runs on standard aas (rechargeables an option) , uses standard / ultra / or extreme iii sd ram , and has gobs of great additional features that stretch well beyond my current needs i bought the canon s3 is and im delighted .

i have read all of the 47 reviews currently posted for this camera  .

the good reviews all praise the features of this camera  .

the bad reviews almost all decry the fact that the s3 is shown no great improvement over the s2 is  .

not the point of a camera review , reallyy  .

this second category of reviews has nothing to do with the camera  .

they all criticize cannon and its manufacturing and marketing policies  .

too bad , because this artificially lowers the rating of a camera that deserves a solid 8  .

5 or 9 .

i did not have an s2 is so i cannot comment on the differences  .

i got it because i wanted something more compact than an slr , good picture quality , maximum zoom range , and image stabilization for usie at athletic events  .

it has performed exceptionally for this purpose  .

it's video capabilities are just an added bonus for me , but quite impressive some have noted that it's a bit pricey , but from what i can determine it is well constructed and should be quite durable       justifying the higher price .

my last camera is the olympus c    770 uz so naturally i gravitated back to olympus  .

i also looked at the sony and canon  .

olympus also has a new 10x uz , the sp    510 uz  .

1 megapixel  .

i originally purchased it as i already had the xd cards because i thought i could save a few bucks  .

but oh what a mistake  .

very slow write times and all the different modes , such as landscape , portrait , etc  .

have to be accessed via lcd menu and not through dial on top of the camera as there is for the sony and canon very annoying for me , optical zoom is everything w/o having to lug around a full size slr  .

for about 70 bucks more , i could have the sony h5 w/ the extra 1  .

1 megapixel  .

i however chose the canon because of the swivel lcd screen , a evf that doesn't jut out the back like the sony , the camera strap holders , and the fact that this feels like a slr , albeit only smaller  .

i use a 35mm for work everyday and the comfort zone is there  .

the canon seems heavier but feels more more solid than the sony i would have bought the sony because of the beautiful big honkin 3 inch lcd screen which is beautiful , but i just couldn't overlook the sony evf that sticks out the back and the zoom buttons located on the back of the camera  .

it's the little nuances that bothered me  .

hence , try them both out before buying the canon is not w/o it's faults as indicated above , including the manual pop up flash feature , but it's miles ahead of my old camera , and the tilt feature on the lcd is the clincher  .

a excellent camera overall and i do not think anyone can go wrong between the canon or sony if you're looking for a uz camera .

this is my first digital camera in ultra zoom category  .

i bought it two weeks back after reading many online reviews  .

so far i am very pleased with the results  .

image stabilization works great and the movie mode is the best i have seen in point and shoot category (much better than older 640x480 consumer level digital camcorders)  .

photos are sharp and colors are vibrant  .

however i would have been happier if it produced slightly less noise with high iso settings , but then again at $340 the pros far outweigh the cons  .

for anyone looking for a good high zoom still camera with good movie capabilities i think s3 is is on top  .

ofcourse sony h5 and panasonic dmc series have higher mp rating  .

, but i really do not think paying $100 more for negligible image quality improvement is worth it , considering their poor movie performance .

a good compromise between a dslr and regular point and shoot camera  .

i originally wanted the canon rebel but did not want to lug around such a big camera  .

i wanted something a little more flexible than point and shoot , so i ended up w/ this camera i could not be happier w/ my decision  .

at first the low megapixel rating somewhat turned me off  .

but once i started taking pictures , that concern quickly went away  .

it took sometime to get use to all the features and settings  .

i read the manual from cover to cover and it paid off .

i waited a long time to by my own camera  .

personally i think this is the best for me as of right now  .

the is a few features that attracted me the 12x zoom , tilt and swivel lcd , and the look after using it from june 15th to july 24th i could not be happier  .

i know in the future i will go slr because i is raised on an original and my left hand need something to do  .

recent purchase and still learning  .

bought the extra wide angle and telephoto lenses and the filter set , already using same  .

the lock focus and exposure controls very useful  .

like the one button movies  .

could not live without the stabilization  .

total information onscreen/viewfinder  .

great all around camera  .

pruchased from abe's of maine , good price , excellent service  .

(thanks , doug)  .

i finally had the money to get a new digital camera which i had been wanting for about 1 year but is not high on the list of priorities since the current one still worked  .

i is going for a point and shoot originally but then got given some money towards a camera and decided that it is worth to spend 500cdn instead of 300 and get a great camera to keep for a number of years  .

this one fit the bill  .

my price range is up to 600cdn dollars for the camera and my competitors were the panasonic lumix fz    7 and the sony h5  .

the fz    7 is lightning fast but used expensive battery packs and apparently the durability was not the best , and the sony h5 disapointed me when i found out that the highest shutter speed is (if i remember correctly) 1/1000th and would be low for capturing action shots , as well the flash could take up to 17 sec  .

to recharge thus the chance of missing photos ops  .

also , if you want to take a few movie shots , the canon has a quieter lens so when zooming you won't get lens noise in the audio i settled for the canon , sturdy , quick , solid build and great battery life  .

(i bought energizer nimh 2500mah and have taken approx 600 photos and a few movie clips on a charge as well as uploaded photos and movies [movies are huge files] around 4 times and there is still no low batt symbol runs on those 4 aa's for long time  .

) i is impressed with the shutter speed and easy to use manual controls via the toggle switch when in manual mode or some of the other manual option modes  .

