sony dcr    dvd403    .

excellent low light performance  .
3 [seperate] chip ccd  .

this produces a more vibrant colors compared to 1 chip ccd's 3  .

more options for users 4  .

decent still pictures reasons i would choose the dvd403    .

much easier to use dvd's than mini    dv's (with mini    dv's becoming obsolete , much better to stick to dvd's)  .

very easy to make copies while retaining original quality 2  .

widescreen lcd (touchscreen)  .

analog to digital recordings in a few touches  .

{this allows you to record movies directly from your vcr/dvd rca/s    video output to the camcorder a/v input}  .

3 megapixel still picture digital camera 5  .

very good sony online live chat customer support as well as 24 hour live phone support  .

it is clear why i went with the sony dcr    dvd403 over the panasonic gs250  .

the reason i give this camcorder a 10 is simply because i think this is so far the best camcorder in the market (although it is not perfect in some ways)  .

i have taken about 10 hours of video , and only have had to use 3 mini dvd    rw's  .

the picture package software provided with the camera is aweful , but the way to get around is by using a 3rd party software (just click and drag)  .

this way you can combine 3 mini    dvd's into a regular size dvd disc and have upto 1  .

5 hours of recording on each along with the stills  .

it is true that mini dvd+/    rw's are expensive , but you'd only need to buy like 6 (3 hours of video) , for regular use .

this is my first dvd camcorder  .

i is a bit impressed by dcr    hc42 but , however was not a good fan of mini    dv media  .

so , i started looking for a better option for a lazybones like me who does not care much about video editing after it is been recorded dcr    dvd 403 for sure , caught my eyes that gives very good features with no compromise on the video/image quality when compared against any camcorders that fall in the same price range on the 5  .

1 surround recording  .

the feature is real good  .

but , this captures the windy noise while recording in out    doors  .

i am using a cloth to cover the microphone to avoid this  .

i hope , sony would have taken care of this in their latest dcr    dvd 405 as a last word , i would say , this is an exceptional dvd camcorder and a product worth the price  .

my trips to las vegas and florida would be remembered for ever  .

thanks to dvd    405 .

as i said , remember the past who dares to compare this tiny toy to those bulky svhs camcorders of the 80s  .

or even to the not so bulky hi8 cams  .

video is a matter of s/n ratio (among other criteria) , and the dvd 403 rocks in s/n and other specs if you think you need (want) more , try a 3 ccd gear  .

same quality (for prosumer cams) but 3 times the price .

i gave it 10 only so that it would be at the top of the list and so that i could save you all the heartache of buying it  .

very very disappointed that i bought this camara i had thought from the reviews of this site and others    wow what a great camera this will be perfect , with the dvd for access  .

this camara is good if you only want to film and show your friends but you not able to edit anything  .

to edit using the camera you have to use the vr mode    which basically means it wont work on any dvd machine    so what's the point  .

no worrying about the video quality on this one , that's for sure  .

when it is time for me to part with my minidv panasonic pvdv400 , i was not sure about  .

#1 moving away from panasonic which has been fantastic  .

#2 making the call on dvd vs minidv now that i have had the sony for over 3 months , i have no dounts in my mind that i made the right call  .

the direct to dvd convienience comes in more than handy when you record (no rev  .

or ffwd finding where is your current record position)  .

once completed , i finalize the disc and thro it into my dvd player or import it directly into my movie editing software for no    comprosise video transfer to my dvd  .

this is a problem with my previous minidv as i used rca video capture which lost a bit during transfer the built in 5  .

1 audio recording works great as well i wish the camera did better on two fronts  .

the mic is awful during outdoor shooting , as it picks up even a modest breeze and makes it sound like a typhoon  .

(beach recordning is out of question , with so much wind noise)  .

but well , for me as most of my recording has been indoors this has not been such a big deal 2  .

sony should upgrade their software package to include at least the most basic of video editing and dvd creation functions  .

unless you are planning to use your recording as    is , a dvd editing software purchase is nearly mandatory  .

after trying a few (pinnacle phew  .

) , i settled with ulead movie factory and it has been great overall its been a awesome camera and if not for the minor quirks above , this would have received my perfect 10 .

finally a great little digital camera that combines the best of video and still image capabilities in one great package  .

i really liked the cool night vision capabilities but i'm not sure that i would ever use that feature very much  .

the video composition software that comes with it makes it so easy to combine images and video in a few easy steps  .

they could have made it easier to add a utility to burn full size dvds  .

over all i love it .

do not be fooled by low prices on this dvd camcorder  .

i have already been to 5 sites to order this camera  .

these sites do not sell the camera with the battery cables connectors or anything that should come with a camera when you buy it  .

the lowest price i've found is at http  //www  .

radioactivedeals  .

com  .

this comes with the complete package like you would expect  .

they also offer you at the time of purchase some very good prices on wide angle lenses and things like that  .

if you are looking for a straight forward place to buy this camera look no further  .

dont call anyplace that has this camera for less than $670 because they are selling it without the essentials david burleson  .

have had my camera 10 days now and is able to take awesome video without even reading the directions sony has done it again not crazy about the location of some of the buttons or the dvd  .

you have to lay the camcorder down and make sure the strap is out of the way in order to eject the dvd it's worth it .

i have been using this camera for the past 6 months and the more i use it the more i like it because i get use to it's lousy view finder and too sensitive of a zoom button  .

you can bypass the viewfinder by just using the lcd display  .

the 5  .

1 surround sound recording is awesome and gives your video products a very realistic sound  .

on the same token the microphone is so sensitive that sometime it picks up a lot of wind noise  .

i put a piece of dampener on mine and that took care of the problem  .

the video quality is superb  .

i only use its best quality setting  .

it gives you 20 mins of movie on that setting but if you need more then you have to use a new mini dvd disk which these days they run around $2  .

00 a pc  .

you can reformat it and use it again once you transfer your production to other media (5 dvd , etc  .

contrary to cnet's editor's comments , i find it that it is very easy to edit your movies with this camera  .

you'll have a very limited in    camera editing options but if you transfer your movies to your computer via a video editing software , then you'll be surprised what you can do with the movies you shot with this camera as far as still pictures go , i would not make an 8 1/2 x 11 print out of the pictures taken by this camera but for any smaller size print out of your pictures this camera performs just fine one more thing is that , this camera can also act as an enhancer box  .

the device that you use to transfer vhs movies to digital dvd movies  .

that means you can connect your vhs recorder to this camera and transfer your old vhs tapes to dvd without any flickers or tracking problem  .

now that is cool  .

saves you couple of hundred $ , if you are into that .

i love the camcorder and nearly everything about it  .

it has a great ergonomic design , is easy to use , the video looks quite good , and it even has a camera function that works pretty well in a pinch the only thing i is even slightly disappointed with is the camera , which takes a long time to write to dvd    if you have an actual digital camera that you want to use for snapshots , then you might want to bring it along aside from that , this is a fantastic device .

2 months w/ this camera  .

i have used it at stadiums and it is excellent  .

surround sound works great and defines all different sounds from different areas  .

true to avoid the wind    messes w/ any mics    video quality is great  .

i have had a few of these camcorders throughout the years  .

my 1 reccommendation    buy 1 or 2 dvd rw and after a day of shooting , download to a laptop and then reformat the mini dvd in the camcorder for round 2 , 3 , 4 then make good large dvd's w/ the files rather than collecting many mini dvd's  .

i have never done more than 1 mini dvd per day w/ lots of action shots on beaches still and video at highest quality  .

i never shoot anything at sub par quality levels so stick with the highest quality choices on the on screen menu  .

after all these videos are for keeps right  .

so camera and laptop together forever  .

by the way , i like the touch sensitive menu  .

it's easy  .

oh and yes the 3  .

0 megapixel still is good    very good at times and average at others but the best on the mkt now for digi videocams  .

i take many still pictures w/ the video camera @ 3  .

0 or better megapixel  .

a still can say more than a video if you know what i mean  .

no need to drag 2 cameras around for good stills  .

i have a very good (better) olympus digital still but i will stick w/ the sony    it's certainly clean and good enough for pictures all in one  .

much better than it's predecessor at 1  .

somthing mega pixel    do not buy those ever  .

0 or better    good luck    do it  .

no real negatives i love it  .

warranty makes sense one question you ashould ask yourself is is a ddv media necessary  .

one could download off of a tape i guess but the cameras are obout the same price  .

i like the usb capability as i use it always when downloading video and stills .

been using this camera for about a month now  .

have never written a review before but after using hte cam , felt i should write one  .

great camera and is really impressed with the ease of use and the compactness of the cam  .

the only thing you need is probably lots of media but got about 9 dvd    rw on the net for about $24  .

00 , so am set for some time  .

the software included is great too  .

i had been trying to edit some scenes from a video i had taken on my hi    8 camcorder using other software but had not been successful  .

either i is too dumb or the s/w is difficult to use , but with the s/w included in the dvd403 , it is a breeze  .

the only other problem i have encountered so far is the rear microphone captures the sounds of the cameraman and it is too loud  .

i guess i need to find out how i can reduce the sound captured from the rear mic  .

i haven't used the photo part of it yet so do not have any comments on it  .

i would say this is a great camera and would recomment it to anyone considering a dvd camcorder .

by far , this is probably the best camcorder i have seen/used  .

sony camcorders are very popular mostly for their design and sleekness more than performance but with dvd403 , sony has proven everyone wrong and has outdone all the other competitors in the dvd arena  .

certainly a winner , dvd403 has very little to improve upon battery life is excellent and so is the simplicity in using the camcorder hard to beat  .

with a 3  .

2 mp dig camera , it would have been very useful to provide a memory stick slot (why not sony  .

after owning one other sony camcorder and a very nice canon digital camera , i did not think i would be ready to part with both of them so easily , but i am  .

this really is a nice camcorder/camera  .

the picture quality is excellent and after a couple of weeks i am ready to give it a strong recommendation to others seeking a serious dvd camcorder  .

i scoured the market and did not initially want to spend this much $$$ , but after doing the research and now using the product i am very glad to have made the step up to the dvd403  .

it is money well spent .

i just had the dcr    dvd 92 and returned it to get the dcr    dvd 403  .

the difference is amazing  .

first of all , the difference in the video and sound quality is staggering  .

the 403 really allows you to capture all the colors and sounds of the moment  .

the 92 is in a word blah  .

the 800x digital zoom on the 92 is nice but that's about it  .

it basically let me take photo and video from very far away with very poor quality  .

in fact , my cell phone took better still pictures than the dcr    dvd 92  .

in my opinion , that feature is simply a waste on that camera  .

it's funny that in the same family of dvd camcorders , the big brother of this line really shines  .

the 403 is vastly superior in all respects even down to simply getting a bigger battery , a remote control , and most importantly , a means to actual edit your footage or photos in your computer even though the supplied software leaves a bit to be desired  .

in any case , this camcorder is by and large the best i've ever owned hands down  .

i am sure that there will be a ton of advanced editing software available shortly that supports the mpeg2 format from this camera as well as dvd's with more storage capability  .

at least that's what i hope  .

i love this new technology  .

i replaced an old 8mm camcorder with this new one  .

what a difference  .

this camcorder is so compact and easy to use , and the quality is out of this world  .

i bought it at the beginning of a road trip and used it for graduation parties and amusement park trip  .

the colors and clarity were fantastic  .

both the videos and still shots were great and i is able to easily use the mini    dvds with my home computer for editing into an amateur production  .

i could not be happier with any other camcorder  .

i love having this unit .

i am not a professional videographer  .

we have owned a canon hi    8 es2000 for 10 years and it served us well until it died this year  .

we needed a replacement for our family videos i knew i wanted a hybrid camera that could do good video and average stills so i did not have to take two cameras on vacation  .

our digital camera is a canon digital rebel and that certainly excels in the still image quality department , but not in the portability category  .

i looked at getting an affordable dv camcorder for $500 and then adding a nice 5 mp small still for another $300 , but that still left me with 2 cameras to carry around i started looking at the crop of dvd camcorders earlier this year and the reviews scared me off  .

reports of poor image quality and an overall poor bang for the buck lead me to minidv instead that lead me to the canon optura 500 and the sony dcr    pc350 , two high end hybrid models  .

i went with the canon because of brand loyalty  .

i used the canon for 13 days and returned it  .

the low light performance is lacking and the controls were difficult for anyone to manipulate  .

i is going to get the sony to try out but always put it off for some reason our vacation to mexico is quickly approaching so i logged on to check the pc350 prices and stumbled onto the dcr    dvd403 reviews and that piqued my minidvd interest anew  .

seemed like everything i needed so i bought it and brought it to cancun for the family vacation  .

we filmed and snapped pics of everything , everywhere sorry for the long intro , but i thought some background would help base the review properly  .

we are a family that really enjoys watching our videos for the memories , with little criticism of video quality  .

that is important only in so far as it should be transparent so , what did we think  .

this is a great camera for us  .

video quality is very good  .

from our casual review , better than the hi    8 and just as good as the optura 500  .

the colors are rich , exposure is fine , focus is fast and accurate  .

the 16  9 is very nice  .

i rate it a 10 of 10 for us  .

it is transparent the zoom is a little unpredictable at times  .

fast zooms are the norm until you get used to the zoom toggle's sensitivity the stills are very good  .

shutter speed seems to be too slow to capture any motion at all , but for still objects , the images are great  .

as good as my old kodak dc280 2mp still digital  .

i would rate it a 6 of 10 for stills when compared to my digital rebel  .

most of the 6 is for convenience , but any image quality differences would be nearly impossible to detect at 4x6  .

actually , the digital enhancement sony applies in camera makes the images look better out of the sony than out of the digital rebel  .

at least that's what my wife thought the only complaint so far is the wind noise  .

the beach with a 15 knot breeze sounded like a hurricane  .

at the pool one night with a light 5    8 knot breeze , the sound is dominated by wind noise  .

hopefully sony will fix this  .

in the mean time , i am going to put a small piece of foam over the mic to see if that cures the problem  .

certainly not a show stopper , but something to be aware of low light performance is very good ; much , much better than the optura 500  .

at the pool at night , we could see the kids swimming in the lit pool  .

at the beach at night , the night shot mode is good enough to capture us swinging in our hammocks in almost no light at all  .

inside the house at night , the video looked bright and clear with no noise  .

perfect for us ease of use  .

this is where this camera beats everything else , hands down  .

we used dvd    rw's which held 30 minutes of video  .

no issues there at all  .

just remember that stills eat up video time  .

we kept 10 dvd    rw's in the bag (2 per min dvd case)  .

that is enough for the whole week for us  .

after we filled up a dvd , we finalized it and watched it in the kid's portable dvd player  .

to our pleasant surprise , the stills played at the end as well  .

by far , this is for us  .

i will transfer the minidvd's to dvd later on and reuse the dvd    rw's  .

hard to imagine a simpler way to do things as far as running the camera , it is as simple as it needs to be  .

my 2 daughters , 6 and 9 , were both running it in video and still mode without issues  .

my wife , who is the defacto standard for measuring ease of use , had it all up and working fabulously without trouble  .

i have yet to open the manual  .

this thing is easy to use and requires no special effort to take great videos and stills cannot think of anything else to add except this is the perfect camera for us  .

the optura 500 is nice , but not perfect  .

this camera is made for my family .

very easy to use and ability to download to computer or cd is excellent  .

very light and compact  .

dolby 5  .

1 sound is excellent  .

image stabalization is superb .

have buy this model 2 week a go and i'm verry satisfy great video resolutions with sharp colors and the built    in flash is verry effective for clear picture in dark room if you look for the greatest dvd camcorder this is the model of the years over the other  .

i recommend it  .

it's a great camera for anyone who wants a dvd recording quality and compact size  .

it's a true sony product and it shows that sony indeed is the best  .

go for it  .

the dvd403 has the best video resolution for dvd camcorders that i have seen out there  .

whichever model you decide to choose make sure to review the video resolution as some models do not compare  .

the camera works great on here and now helps me eliminate having to carry the digital camera too  .

i am very happy with this purchase .

a nearly perfect camera offering pro shots at ease , crystal clear , has remote control , im very happy with it , integrated flash and many many accesories such as polarizing lenses and underwater gear as well , two thumbs up  .

i have got pal version of this model few weeks ago  .

it has got the stunningly good performance with ease and convenience briefly the pros pro's    .

convenience in playing back the recorded minidvd in computer or set    top dvd players immediately after finalization 2  .

3m    pixel ccd resolution (3  .

05m still and 2m video effective pixels)  .

(1/3 inch size ccd means better video quality)  .

very good low light performance  .

no need of rewinding , forwarding for blank space search with minidv 5  .

no possibility of accidentally video getting overwritten as with minidv (in case of overlook)  .

16  9 recording (wide)  .

1 channel dolby digital surround sound recording and in    built 5  .

1 ch enabled mic 8  .

excellent still quality equal to digital camera of 3m  .

can edit mpeg2 after downloading clips from minidvd and finally record into bigger dvd 10  .

provided software does the conversion of audio from 5  .

1 ch to stereo for compatilbility with many softwares  .

till 5  .

1 ch enabled encoding softwares are available , the minidvd could be copied directly to 12cm dvd without loosing such audio performance for home theatres 11  .

dvd    rw usage is more economical for recording usage over long    term  .

may rerecord for 1000 times approx 1  .

dvd (mpeg2) format is not recommended over dv for extensive editing 2  .

may need to change minidvd's (30min sp) for recording more often than a minidv tapes (1 hr  .

sp)  .

but , this is not an issue for most of us as we may take a logical break (standby during unimportant scene) well with    in less than 30 min to change the mini dvd .

this camcorder packs a lot of punch into a small , efficient package  .

it is relatively pricey but you get a lot of features in return  .

the videos are crisp and clear and this is really what it is all about  .

the touchscreen is quite convenient  .

sound is great and it records in 5  .

1 digital surround  .

the small dvd's can be finalized and played right in most dvd players without a lot of fuss or lengthy transformations via computer programs  .

the small dvd's are relatively expensive (someone is making a killing on these things) but if you get the rw disks , you can then transfer them over to a cheaper media (e  .

dvd+r)  .

outstanding product sony  .

i upgraded from my sony hi8 to the sony dcr    dvd403 on 01 april '05 for $750 + s h  .

i have been doing a lot of research on the different dvd models available in the market  .

403 is the latest of all  .

here are some pros 1  .

has 3 ccd which means true    to    life color 2  .

the 3 mp picture mode also delivers good pictures  .

(though i have a 5 mp digicam , its still handy to know that 403 can take good quality digi pics)  .

the best of all that i like is the way you navigate through the recorded scenes  .

no more rew and ff's and no more accidental over writing 4  .

each recording session is stored as individual tracks  .

what this means is that you have smaller files to edit and manipulate  .

which means less time consuming while editing 5  .

the touch screen is another feature that i like  .

no messy buttons on the body like other models 6  .

watching video in wide screen looks good  .

its compatible with normal tvs as well 7  .

the line    in recording is super  .

i can convert any movie to a dvd 8  .

it operates good in low light now lets come to some cons 1  .

the view finder , is always straight  .

i would have appreciated if it can be tilted up and down like other sony camcorders 2  .

mini dvd media is expensive  .

i work around this by having a few dvd    rws 3  .

the provided software , picture package , is a yuk  .

i never like it  .

you can use pp to only burn a minidvd on your camcorder  .

it cannot burn on my external dvd burner  .

why would you wan to burn a minidvd  .

but one good thing about that is that the sound can be converted from 5  .

1 ch dolby to the normal 2 layer stereo  .

if you ask me why you want to do that , the answer is , if you want to use the mpeg with 5  .

1 ch dolby on your other video editing s/w's like photo studio etc  .

, you will not hear the sound  .

you need to convert the audio before using other s/w  .

i currently use pixela image mixer (this is provided for other older sony dvd models) and its able to recodnize the 5  .

1 ch sound  .

dvd encoding is also excellent in that software  .

if you can get a copy of that , then you need not use picture package at all overall , the best dvd camcorder in market .

after extensive research , i chose the dvd403 and received it yesterday first the bad   the power switch is difficult to manage with the tiny safety button  .

secondly , the photo button is slightly hard to reach with your index finger for which it is designed  .

lastly , the zoom toggle is a bit flimsy and hard to regulate for slower zooms the good   i've read in numerous places that dvd camcorders do not measure up to minidv camcorders  .

i took a leap with the dvd403 having not seen it in person nor read an editorial review about it  .

the specs are stellar , especially the 1/3 inch ccd (same as the highly regarded dcr    pc350  .

the startup time for recording when using a dvd    r is nearly instantaneous  .

(this has been a big issue with previous dvd ccs)  .

the unit feels weighty and very solid overall  .

videos taken in normal indoor lighting conditions were of high quality  .

the touch screen is wonderful   it's intuitive and easy to use i is impressed by the panasonic 3 ccd models , but my bottom line is the dvd format and the dvd403's 1/3 inch ccd that should give comparable video quality  .

i think minidv is a thing of the past  .

although i've only had it one day , my first impression is extremely positive  .

hope this helps .

i owned mini dv camcorder for more than 5 years  .

recently i decided to upgrade to dvd camcorder  .

after some extensive research , i decided to buy sony dcr    dvd 403  .

it supports dvd +/    rw formats giving users wider selection for recording , though i couldnt find mini dvd+rws yet from sony  .

if you are looking for camcorders that can replace your digital camera , this is the one  .

it has 3m resolution , built in flash , night shot , and more importantly touch panel lcd  .

i really like the touch panel lcd in this camcorder  .

it is very easy to use  .

np70 has good battery life (more than 2 hrs)  .

you can also choose between 4  3 16  9 recording and display formats  .

overll this camcorder is worth the price the picture package software supplied with the camcorder needs lot of improvement  .

it is below average for this kind of camcorder  .

more optical zoom also would have made this camcorder a must have .

would of been a 10 had it had mac support  .

http  //reviews  .

cnet  .

com/4520    33_7    5620749  .

html  .

tag  smpl  .

wanted to know if my toshiba sd    v391 dvd player is compatible with the    +r and rw discs before purchasing the sony camcorder  .

the opinions here are overwhealmingly pro for the kind of point and shoot simplicity i'm looking for  .

thanks in advance .

i bought this little camera to take to italy  .

it is nice and small and the video quality is pretty good  .

the ability to zoom in tight and focus on just about anything is a plus  .

i like the touch screen to access features  .

you can even zoom and record from little buttons on the touch screeen  .

the steady    shot is the best i've see , no shaking even when zoomed in close  .

when using the wide format the image is not that sharp , however , so i'll be using the standard 4 by 3 setting  .

my other camera , which is too big to take on the road , is the panasonic ag    dvc30 , which is quite nice , too .

i just got the camera about a week ago and i love the dvd feature  .

easy to upload into your computer and then edit  .

make sure you get a three pack of dvd    rw or dvd +rw so you can reuse  .

the touch screen is easy to navigate and use  .

i did not find any problems finding what i needed now here is the bad  .

most are minor but it is enough to make me say could you not have though of a better way  .

if you do not by sony dvds a message pops up stating sony dvd reccommended  .

why do i need to see this yes non    sony dvds work and are cheaper 2  .

the strap does get annoying opening and closing the camera  .

the manual is huge  .

it takes about an hour to get through then you have to go back and reference again 4  .

the software sucks a waste of money 5  .

it takes a moment to scan the dvd and identify what type it is  .

so do not expect to pop it in and get that unexpected opportunity .

i replaced a sony pc    10 mini    dv camcorder , that stored 1000 highest quality but low res digital stills on one mini    dv tape  .

it is inconvenient to transfer these to pc , involved running tape in play for an hour using only sony software  .

automatic mode didn't work if videos intermixed good news   this new camera means you just pop the dvd disk into your pc after finalizing (a word on that later) and copy the stills to your hard drive  .

at highest res , 3 megapixels , you can fit 900    1000 at highest quality on one 3 dvd    r disk , or 30 minutes of video or any mix there    of  .

i used dvd    r's from a stack of 20 for $29 from fry's and they worked fine even tho not 'video quality'  .

i is doing mostly stills tho  .

for video i'd get video rated ones , both speed rated and hard coating on them to avoid scratches finalizing   i had used this for 3 months and then one time during finalizing it gave me 'c  13  02' error on screen  .

then several times more in a row  .

this essentially means you're hosed  .

you can try downloading the 'isobuster' utility on the web (isobuster  .

com i think) and possibly recover the files (possibly , not always possible) what causes this  .

either a defective disk or dirt inside the case on the disk  .

prevention  .

use air can and dust brush , look carefully inside dvd compartment when empty , get every spec of fiber or dust out  .

make sure dvds don't have any dust or smudges on them  .

use a lens cleaning cloth dampened with cleaning fluid  .

and yes , the dvd can have defects  .

helpfully , if they do have defects , it tends to be visible on the write side  .

if you cannot brush off something on write side , use another disk i got a brand new memorex disk , video quality and it had major visible defect  .

unhappily i didn't look at disk till it had hosed a day's worth of shooting on a hike  .

i opened the next disk in the package and it had defect too , brand new  .

i even got into odd situation where one hosed disk plays on the camera but will not copy to dvd either directly or with picture perfect  .

and using one rw , copying directly gave me 71 pics but using picture perfect copy gave me all my pix , 276  .

for archival shoots where you will do alot of shooting in a day or two , use dvd    r  .

for alot of start    stop shooting , switch to dvd    rw , or even better , dvd+rw (+rw does not need to be finalized , so i'm guessing will have much less problem being wiped out as you should still be able to copy to that point to your pc)  .

these cannot be found locally but are shipped quickly from amazon or two amazon vendors pick up 2 extra of the larger battery and you can shoot for 8 hours straight  .

battery barn is reliable  .

very nice to have this much reserve as i do long shoots  .

pick up a 30mm clear / uv filter to protect the video lens when open , even tho it has snap shut cover when off  .

get a 30mm lens cap at local camera store for on top of this , plus a leash so you don't drop it zoom   this is a problem  .

it zooms 120x (10 optical + digital) in video mode but unlike pc    10 only 10x (optical)  .

i don't very much want to shoot stills over 10x but sometimes i do and i'm ticked off they did this  .

i also use it as a spotting scope and this means i have to switch to video mode to zoom in on an animal up a hill in their enclosure at the zoo they also turned off image stabilization in still mode  .

this is very bad  .

the stills are great on this camera but not if you are having any kind of slight vibration  .

the monorail around sd animal park destroyed stills i used to get good quality on with old sony cam  .

you must use video to avoid this which means low res to get stills out of video macros   this cam follows sony's great specs allowing macro in to 1cm from an object  .

it even focuses automatically much of the time  .

when it doesn't the old sony had an 'infinite focus ring' around lens which you activated with one finger of hand holding cam  .

this allowed quickly adjusting focus and getting close shots quickly of that tiny flower , etc not so with this camera   you have to take 2nd hand , select menu on touch screen , scroll down , select focus (or spot focus) and touch + /    till in focus  .

problem   you have to back off from screen to touch it so hard to look in screen and touch at same time ; net result   takes 10 times as long to do what used to be a quick manual focus flash   flash works good till you are closer than about a foot  .

then it over    exposes the frame  .

put it on red    eye to force flash anytime you want one and then off ; automatic flash is sporadic on when it turns on  .

the optional 3w video light is nice accessory  .

for macros in dark areas , get an led light or the sony self powered video light  .

unlike flashlight which show rings in light pattern , the video light can be held separately from camera and moved in or out to throw an even circle of light covering what you want or lighting up that small object for macro  .

inside  .

turn on flash for just about everything , will bring out colors incredibly for indoor shoots , unless too close to object copying movies to hd   you can just copy them , they are in '  .

vob' or dvd file format  .

you need a player that will play these , the cd    rom with the cam has one  .

use their 'picture perfect' software to copy the same videos over to hd as  .

mpeg files  .

seems they don't play on the pc i didn't install 'picture perfect' software on tho , some codec missing , will have to call sony about this , don't want to place on web then not have people able to view them all    in    all it's a good camera , and currently the only dvd    camcorder with hi    res stills far as i know  .

they goofed on a few things  .

hopefully next model will fix these these cheap dvds are way better than buying the 7    1  .

5 gig memory sticks i would have needed to shoot pix on my vacation without a way to upload and re    use a mem stick you can see examples of flower composites i made using the new camera , on our club website   www  .

rth  .

org/occss then select newsletter composites page  .

all the pix from 2005    07    04 cssa show on are using this (previous ones are with pc    10)  .

buying it   prices vary from 800 to 1000 ; do not get scammed , check out resellerratings  .

com , type in website of who you might buy it from , i avoided some scam sites that never ship product this way  .

i'd check their opinion of all your online purchase sites here  .

epinions has user reviews of products , fun to read also check out sony's website and look up this camera if you buy it  .

has manal as pdf , good to have and has diagram explaining various types of dvd    r ,    rw , +rw disks and modes anyway , thanks , sony for a good but not perfect product .

we thought a long while if we should take the sony dvd403 or the panasonic gs400    they are just so different  .

to be honest i am not sure if we bought the right one (cant compare because we dont have the other one) but i am very happy with the sony  .

i am the mother of an 18 month old daughter and we are expecting our second child in april  .

we just wanted something very easy to use (mostly point and shot) , with good quality not only outside but also inside  .

i love the fact i can just start it and its ready to go    no finding the right spot on the tape  .

20 min isnt a long time but so far we only had time to switch out the dvds i is afraid because i read i couldnt edit it , even the guy at best buy told us there is no way well my hubby told me not to worry and he is right , it is not much editing i want to do , delete a few scenes , change order , brighten it up a little , maybe some music in the background or some titles    and he is right it works  .

though mostly i make straight copies and send them to the family and inlaws , who all enjoy it very much to see our girl growing up as i mentioned there are things sony should improve (cons) and probably will all in all two thumbs up  .

overall i found the camera very easy to use , image stabilization and automatic settings make it simple for our kids to use  .

lightweight , but packed with options  .

it's a great camcorder unless you're looking for ultra high quality video  .

very simple to use/user friendly , especially with the touchscreen  .

people with big fingers might have trouble with the touchscreen  .

features galore as you would expect from sony  .

highly recommended for casual home videos  .

