better for powerful machines  .

on top of that , i have been using vista for almost a year , and i have never gotten a bsod  .

not even once  .

how's that for performance  .

windows vista includes the windows sidebar , a feature most likely borrowed from mac os x  .

it's a bar of detatchable gadgets (read   widgets) that sit on the right side of your desktop  .

sidebar comes with a nice selection of gadgets including a clock , calendar , cpu meter , feed reader , and a weather gadget  .

more gadgets are available on microsoft's website vista also comes with microsoft search , a definate improvement over the search functions from past windows editions  .

now , you can even search right from within the start menu vista also comes with windows media center , a client for viewing media files stored on your computer , accessing internet tv (if you have an internet connection) , and watching live tv , should you hook up your computer to your tv  .

it can download a channel guide of your local tv provider as well  .

you can even use media center to record live tv all in all , vista is a great operating system that deserves a better reputation than it has  .

i think if people really tried vista , not just booted it up , complain about the boot time , got to the desktop , complained about the interface , and just keep complaining about everything , they'd have a better time with it  .

go through all the packaged programs , try everything out , really get to know vista , and then form an opinion .

vista is beautiful  .

direct x 10 makes games/ graphics that utilize it surreal  .

learning the in's and out's of vista is much easier than anticipated  .

they took the best of xp and made it more functionable , and much prettier  .

vista's built in defrag is awsome  .

no more waiting hrs to manually defrag , it is allready done  .

in my experience vista's security has been rock solid  .

i have been using vista for a little over a year , and have yet to attain a virus of any kind  .

with xp it is a constant problem  .

since the release of the vista service pack , i have not had any software /hardware issues period  .

they have all been fixed with the much needed update  .

since the update i can honestly say that i love vista  .

as a college student , i use xp , and leapard at school of which , in my opinion , niether compare to vista  .

do not let old reviews scare you          water under the bridge sp1 ftw  .

i love the new flip3d and i use it all the time  .

aero just makes the windows os look a lot better and gives it a mac feel  .

from just opening/closing or minimizing windows (there are animations) , to flip3d (which i use all the time) , to the live previews on the task bar and the glassy windows , the os just looks more polished and good    looking  .

on the other hand , vista is not just about appearance even though microsoft heavily advertises aero and stuff  .

windows explorer is even better than before with the breadcrumbs feature which replaces the address bar , to the preview pane , which previews most documents or files  .

it allows you to view files like pictures , movies , office documents , pdf files without actually opening them (similar to quicklook on a mac)  .

the instant search (i guess its copying mac's spotlight) is very useful even if they ripped it off mac  .

the sidebar is a nice touch that doesn't impact system performance ; it's just nice to see the date , the time , the battery life (on laptops) , etc without clicking anything (cuz its right on the side)  .

btw the shortcut to bringing the sidebar to the front is win + spacebar , lots of ppl do not noe that also there are many under the hood features that most ppl dont noe bout vista  .

like superfetch which bascially prefetches your most used programs onto memory so they load faster  .

it is a smart program in that it will only do it when the system is idle  .

also it will monitor ur program usage and adjust which programs to load into ram first , which is a nice touch  .

all applications benefit from an increase startup time and just overall , vista is more stable than xp  .

when it first came out , there were many problems and compaints from the drivers and program compatibility  .

but this is warranted as vista is a completely redesigned os  .

now , most of these issues have been resolved , and theres no better time to get vista than now  .

it's time to convert to vista from xp ppl  .

i'm not really sure why people are holding onto xp anymore  .

i mean when vista first came out they had a lot of driver glitches and such , but since sp1 came out vista is amazing  .

i use it at home for entertainment , recording music , editing high def  .

video  .

i plug a ton of hard wear and soft wear into it to do that and i haven't had any problems with drivers yet and the the system never slows down  .

the easy to use interface also means i do not get lost searching for my control panel to find out what my sound drivers are doing when i plug in an audio device  .

and if i need to find a file i just recorded or saved , the windows search in the start menu makes it really easy  .

it is all right there in the start menu , the search box , and the files i searched for  .

no messy pop up boxes and file paths (but it will tell you were the file is located if you want it to) i also use vista business it at work  .

for just simple task really , but it works great on the network  .

full support for the multiple servers i connect to to get much needed shared documents also apple sucks i hate apple ever since i got an apple ipod for christmas i realized just how much i hate apple i'm so glad i got an ipod for christmas so that i can realize how much they suck they do not let you do anything you want to do with their product , that you paid top dollar for  .

what you want to move the music you paid for from your own ipod to your other computer at home  .

should be a simple process , right  .

instead they make you pay top dollar for more softwear products that might let you do , what you really want to do and that is just their little entertainment item they are scam artist anyone who buys an apple product really ticks me off because they support the cycle that feeds those greedy little pigs i hope seinfeld makes fun of them with bill g .

vista may get a bad rap , but in actually using it i have found very few problems stemming from the operating system itself  .

it has revamped security , increased ease of use , and it's a little prettier than xp  .

and one of the cons listed by cnet is that search is not on the desktop  .

how hard is it to push the win key and start typing  .

gamers please do not upgrade to vista if you dont have good system  .

there should be 2 gigs of ram and more than 256mb of graphics otherwise your system will be very slow  .

i am now using vista for more than one month i liked it  .

for my luck everything is working fine for me in vista  .

this is by far the best os yet  .

very stable  .

works with everything  .

my ipod locks up more than my vista machine  .

if you have a modern machine vista runs supurb  .

if you dont have a newer pc you can shut off all of the extra dings and whistles and you will benifit from the vista security and extra programs  .

mac wont sync with my tilt  .

several of my most used programs wont work on a mac  .

and i cant afford a non    upgradeable 1200 pc that will be obsolete the next time steve jobs wants to put on a snake oil show  .

i got a $300 refurbished gateway from tiger direct and put a $60 2 gig ram kit and i have had no problems  .

that is cheaper than a clasic ipod .

one of my freinds has windows vista buisness ,  .

and he told me to get one  .

so i got home premium , and everybody should get it  .

but my brother has windows xp , and he just dose not care  .

but windows vista home premium it has great graphics ,  .

great speed , and just great everything  .

and i have a windows millenium and it is now  .

abysmal  .

everything is windows vista  .

the next windows me its not  .

lets all face it , windows xp sucks  .

because of that i switched to mac  .

do not get me wrong , i love os x and everything about it , but then i used my friends vista pc  .

little to say i is very impressed about everything , how sleek it was , how easy the new navigation was , and even how programs minimized and closed  .

it really gave os x (tiger) a run for its money i heard about os x leopard coming out and wanted to see if apple changed the ui to make it sleek like vista  .

they didnt , and they almost seemed to be playing catch up with vista  .

i dont want any bashing from mac fanboys , because i use mac's daily and love them for video editing and multimedia functions  .

but lets face it , as a student i need microsoft office and all of the programs that are required for my classes , and some werent os x compatible and i absolutely hate iwork and office 2004 mac , its to hard to use i saved up my money and purchased a dell for $650 with 2gb memory , amd 5000+ and nvidia 128mb graphics  .

i dont understand those numbers , but someone told me that is a really good deal (they had $300 off) so i decided to buy it with the money i had earned working vista is awesome is all i can say  .

i hated ie7 on xp , but its like a totally different browser on vista  .

everything i own is compatible , so no worry there  .

i would reccomend it to everyone , even mac users  .

even though microsoft copied some ideas from tiger , i'd have to say they put it together better than apple , except apple wins over the whole ilife thing by no means do not install this on your current computer that is where all the trouble comes from as did for me when i put xp on my old 98 computer , the computer eventually crashed and died  .

vista works better running on a brand new computer hope this helps anyone on the fence about upgrading (if you do , get a new computer)  .

networking made easy thanks to windows vista , finding stuff made easy thanks to windows vista , all around a much more user friendly os which makes you think microsoft is really starting to do stuff good , i do not know what's up with all the bad reviews but i really have enjoyed it so far over windows xp and all the previous predocessors  .

thanks microsoft for a great product .

this os has all the bells and whistles i spent years adding to my computer (gadgets etc  .

) , it's visually incredible , i have added a few nice freebies like windows live free download from microsoft which enhanced the vista experience  .

i have not had any hardware issues as of yet that other reviewers have complained of  .

it's everything i've ever wanted in an operating system  .

i dont care what people say about not upgrading from xp , because they are wrong  .

vista is way better than xp the aero the search on the start menu  .

i will recommend this to any one .

enough said .

windows vista service pack 1 (sp1 is due in late 2007) vista sp1 despite the name , is going to be a major upgrade it will include a new version of the windows kernel (version 6  .

1) , bring vista up to date with the changes microsoft is baking into the next windows server version january 24 , 2007 (idg news service)       on the verge of the release of windows vista , microsoft corp  .

is already accepting orders for features to go in the operating system's first service pack  .

search is better cleaner interface  .

takes a while to figure out where every thing is simple to install and not very many drivers to install at all just have the correct hardware lined up and install the new software .

lets see me and my family love the pc windows vista is a major upgrade and is worth the upgrade and i am happy that windows is still moving foward and has so many 3rd party apps and for mac lovers the only reason mac does not get a virus is because cause the mac is such a dull computer and is very boring media center beats ilife hands over fist .

it is just my opinion that windows vista is better than osx  .

windows vista includes windows media center  .

gadgets and new windows tools i used mac osx lets face it its a windows world so eat mac .

look there is a lot of disputes about windows vista and all of its counter parts but back when microsoft mentioned longhorn there is a lot of people going around saying it is the best windows ever that is coming out well yes and no now remember windows 95 that is it had the same thing as people got so use to just using windows 3  .

1 they did not want another virsion  .

now xp coming out when there is already 98 98se 2000 and me in life  .

it has been around since 2001 and yes peopls are scared to upgrade to the unknown world of vista i took the plunge into the new world of vista on the 30/1/07 (australian dating) and i have not looked back  .

my computer is not the high end type it is just a hobby pc with features that are standered in all house hold computers and it runs fine a good thing about this new vista hp is that it comes with media center as with xp it is seperate and that would cost you more money i will say this finnaly tho people should see through xp how much windows has changed and that the new vista is a better operating system overall so give it a go you never know you might just find that vista is what you where looking for  .

http  //reviews  .

cnet  .

com/windows_vista_ultimate/4864    3672_7    32013603  .

html  .

tag  32013603 messagesiteid  7 tag  uoreturn cval  2364636 messageid  2364636 ctype  msgid  .

people that claim vista is xp slighlty improved have no idea what they are talking about and no idea about the changes in areas like kernel and network stack  .

it's the ususla ignorance regarding ms products , anyway  .

and do these people know an rc version is not the same as a final version  .

where are all these people that moaned when users started rating '1's to the icopiedphone before it is even released  .

how things change , is not it  .

unlike these many people who bash vista based on beta versions , i have microsoft windows vista business that i got through msdnaa .

windows vista home premium is the best operating system microsoft has ever produced  .

it is easy to use and has all the features you want  .

it is the securist windows out and will be a os that will change the way we look at windows .

all i have to say is vista and windows 7 is a thing to learn not some easy basic system like 98 and xp they have a 180 page book on how to use vista/7 you just gotta learn it  .

its to easy  .

bottom line is vista is hated because it had some bugs at first when it launched and people with old software they had been using since win 98 had troubles running it  .

i've got 3 laptops and 2 desktops that have all been running vista since 2007 and have been doing well (3 of those machines are 64bit too)  .

boot times are longest on the laptops due to the 5400 rpm hard drives but are all still within 30    45 seconds  .

the fastest desktop startup is actually a junky 250gb refurbished hard drive with an amd athlon x2 at 2  .

7ghz and 2gb of 800mhz ddr2 (pc6400) with a boot time under 25 seconds both desktops are hooked to tvs and serve as all around media centers hosting videos , music , pictures and serving as dvrs and are absolutely flawless .

windows vista home preminum is very nice  .

not any problems and good software .

windows vista home premium does not put search on the desktop (it's buried within applications , within the start menu) rofl why because you mac fan boys cant handle it  .

worth it  .

xp is getting fazed out eventually  .

go with vista home prem  .

or ultimate .

windows vista home premium and ultimate are very good operating systems  .

contrary to popular belief , on any system with more than 1gb of memory and with a reasonable processor and graphics card inside of it (reasonable being anything newer than an ati x300 video card and a p4 processor) , it is actually faster on most things than windows xp mce is i have had some problems with vista home premium , however those have always been of my own creation (poking around and deleting files that i should have left alone) or from installing applications that were made for earlier than xp that mess with other programs on the computer due to incompatibilities between the two pieces of software , not incompatibilities with vista itself it is also handy that you no longer have to have a bunch of media players installed on vista , media center (unless you are watching extremely rare and exceptional formats) is able to handle everything you throw at it , from divx to  .

264 codecs just one word of warning to anyone who is planning on running vista   it is a little memory hungry (especially when security software is installed) so make sure that if you are buying a laptop , you totally max out the memory inside of it  .

same thing for a desktop system   max out the memory  .

trust me , you will save yourself loads of headaches later .

when i had first booted into the microsoft's new windows operating system , vista , i is shocked and amazed at the brilliant new interface  .

note that the interface is as well customizeable  .

windows explorer integrates a new folder search box in the windows' ribbons  .

a small issue had arised while browsing the new interface , though  .

the new windows do not have the traditional ribbon that contains the drop    down menus of   file , edit , view , and help that previouse versions of microsoft windows integrated  .

this is true on windows vista in all explorer windows ; including windows media player , internet explorer , and microsoft office 2007  .

on older versions of microsoft office , such as office 2003 and possibly other software , this ribbon with all of the drop    down menus is integrated into the individual application ; not a part of windows explorer other than this , with good system hardware , windows vista is capable of doing even more than windows xp  .

vista works perfectly well on my dell xps m1530 notebook pc  .

it runs with a 2  .

4ghz 3mb l2 cache ; 4gb of ram ; 256mb nvidia graphics / video card ; 802  .

11 a/bg/n wi    fi ; and a 250gb hdd @ 5400 rpm  .

if you want vista to work well , you cannot have a shallow wallet and buy budget laptop and desktop pc's .

i think that if you have the right engine to power this os , then you should be at least a little satisfied  .

i think a great combo is vista+office 2007  .

while on a projector , you can do other work at the same time without enterrupting the slideshow with powerpoint for example  .

you can just put the mouse on the slideshow toolbar and see a live fee of what's going on  .

( kinda hard to explain sorry) .

i've been using windows vista home premium for about 3 weeks now and i love everything about it so far  .

i have not had one problem out of it since i found the 2 drivers i needed for everything to work properly  .

it's as if my computer is brand new  .

a lot faster than xp and seems to use a lot less resources too  .

i have a dell 1  .

1ghz amd athlon processor with 2gb of ram  .

really the only thing i have seen is for some reason about your computer info it says my processor is a 1  .

6ghz pentium m processor  .

i am kind of sad i am giving this computer to my parents now lol i just purchased a brand new hp laptop 2  .

5ghz dual core processor with 4 gb of ram with the windows vista 64    bit ultimate version hopefully it works just as well as this one is when it gets here .

windows vista is really not that bad , there are too many new features to list , and great performance .

i barely have anything to complain about  .

people have said that they cannot access their folders for security , but i ordered my computer from dell and they let me personalize it  .

i got to pick the security program i wanted and it is already installed when i got the computer  .

i love how you get a little preview of the window when it's minimized , and how you can access the desktop with a single button  .

the vista backgrounds and sample pictures are incredible , i enjoy them very much  .

the whole layout and design is so much sleeker and better than xp  .

of course , if a building is blowing up , and there is a wheelbarrow of windows vista os's and a wheelbarrow of windows xp os's , and i had 30 seconds to take either wheelbarrow , i would definitely take the vistas  .

i do not understand the complaints of several vista users , i have thoroughly enjoyed my vista experience .

if your going to upgrade to vista , atleast start with the home premium  .

i started with the home basic and it isnt that great compared to the higher value os options such as premium and ultimate .

vista is great for if you are wanting to go surf the net or play a game or watch a movie , aka (home use)  .

for office use on the other hand , not so great  .

its not something you would want while at working trying to upload a program you rely on for work .

first let me say i installed vista when it first came out and had network problems and driver issues  .

i went back to xp for a while now i have installed it on a dell e510 with a p4 3  .

0ghz cpu and 2  .

5 gb ram and it does very well  .

i still use the intel graphics but find them more than capable to handle vista aero i do not play games on it but video has been very good and office 2003 works great with vista  .

i like the side bar widgets  .

microsoft could have come up with a os that worked with older computers better but then people would have said vista did not advance enough  .

i think this is were os are going , its why leopard which i just installed too is taking home computers  .

i think maybe linux which i have tried is better suited to business were change comes along slower than home user's tech  .

i would say that older computers should avoid vista and stick with xp  .

but if you have a pretty good computer i think vista will change your mind about how you look at windows  .

i think vista is a great overall operating system  .

i've been running it for months now , and i've only had one issue , with an epyson printer , and it's driver , but it is easily fixable  .

i think vista is a step in the right direction for microsoft , and i know that i'm never going back to xp bring on windows 7  .

the positives out weigh any negatives you come up with  .

get ready multi    media with boxes as cheap as $500 w/os (see hp slimline) , everyone wins  .

the real gain will be the gamers and the software users who will make use of the new internals  .

this will allow quicker design and turn around time for developers over the next year  .

user benufits big time .

while waiting for my new computer to be delivered i is very concerned about having chosen vista home premium as my new os after reading many confilicting reviews after using the operating system i can honestly say that it's a great system  .

i think most of the people that are having problems are those that upgraded from xp and installed vista on systems that are not capable of handling it i purchased a dell inspiron 1520 with a 2ghz intel core 2 duo processor , 3gb of ram , and a 120gb 7200rpm hard drive  .

i also opted for 256mg of ram for my video  .

vista home premium can see up to 3  .

3gb of ram  .

i think anyone who goes for vista should have at least 2gb of ram  .

the system definitely is a power hog because of all the video effects if you have xp stay with it , but if you're getting a new pc vista is great  .

i'm glad i went for it .

the is the best windows ever  .

it has so many functions built in  .

media center , photo editing , movie maker , performance and tuning , side bar , start menu search  .

this list can continue microsoft really hit it out of the park with this one make sure you do not put it on weak hardware and you will love it  .

there is no comparison .

i have used ms operating systems from way back in the 3  .

0 days  .

the worst product to date being the millenium edition (i am not so sure why any one can say this is a bad product , unless they have old equipment that is not compatible , but even then this is a new product and like everything else it promotes change and advancement or its supposed to)  .

this is far from the millenium edition  .

it performs very well and really takes advantage of the new computer technologies available now with dual cores and speedy memory  .

i put off buying a new computer because my colleague showed such dissappointment with vista  .

well i needed a computer in order to complete a program and i had to send my trusty laptop away for repair so i needed a computer in order to complete extract logic for the program  .

well i needed a pc and currently all pc's have vista  .

so i is some what forced to buy one with vista  .

to my suprise , it is no where near as bad as my collegue stated  .

visual studio , sql server dev edition 2005 all installed and operate without a problem (there were however , updates that needed to occur that is alerted to me by vista and downloaded easily  .

i had a problem using my vpn in order to log into the server at work , but that is easily remedied by installing microsofts virtual pc  .

all of my software that could not work in vista , work on the virtual pc (well the only software that really was not compatible with vista is my jobs vpn)  .

it is really cool to be able to use more than one operating system at once with no resource hit and for free  .

i really do not have any problems with vista because anything that i use in vista that is incompatible i just use on my virtual pc as a programmer it is sometimes very boring looking at the pc with drab colors and the same old ms blue  .

vista adds a very nice polish and makes sitting in front of the pc fun again  .

i would say if you purchase a new pc with a dual core and a good amount of memory 2gigs or more , i see no reason why you would not enjoy vista , unless of course you have a bunch of legacy devices that need new drivers , and may have abandoned making any updated drivers by the manufacturers for newer products  .

i also bought office 2007 and being also an access db developer there is a far greater learning curve from office xp to office 2007 , than from xp pro to vista home premium  .

i give it an 9 because there is always room for improvment , very solid product though and no bugs that i have run into yet and no reason to thwart a purchase of a new machine , if anything it should make one ethusiastic in purchasing a new machine .

windows vista home premium is an amazing operating system , with many new features  .

it is probably the most secure version of windows ever  .

if you are very secure of your files wait until the first service pack .

this is what i've always wanted in an os  .

vista is the best  .

add media center and the gadgets , and i've rekindled my love for computers  .

the only thing i do not like is the constant questions  .

is this ok , is that ok  .

just shut up and work  .

but once you get by the row of questioning , it is the greatest os of all time .

generally this is a great os for home users    graduating from windows xp home ed  .

but no fax  .

why  .

i have to say i is hesitante to get vista until i downloaded rc1  .

from there i could not wait to build a new machine and get a new copy of the os when it hit the stores  .

it is solid , looks great and simple to use  .

search is so easy and fast  .

i have both a mac and pc , and i have to say i barely use my mac anymore  .

i know a lot of mac fanboys out there think it's the best os , but to me they have a lot to learn from windows  .

previews pains , backup , search all better in vista than mac  .

hell they were better in xp too  .

i hvae had no issues getting any old software to run on vista  .

printers and all my other hardware works great  .

i just wish microsoft would get into promoting the gadgets more  .

there are not enough qualty gadgets .

in my opinion , vista is the best os yet from microsoft  .

the new aero interface makes apple's look like outdated , and the flip 3d is incredible  .

the new media center looks better , and has more features  .

i absoutley love the segoe ui font , it's so easy to read , and looks good printed  .

i'm not trying to be a microsoft fan , so there are downsides  .

those stuck with intergrated graphics cards (apparently many people , even me) probably cannot run aero , unless it is very recent  .

seriously , vista doe not have that high hardware requirements , you can get a $400 pc at fry's with enough power for home premium  .

and who actually faxes today  .

email and instant messenging make it so easier nowadays  .

to sum up , vista has some flaws , but its pretty good .

as i said windows vista is not a bad operating system , i know this from working with them and comparing their components for self puposes however i don't think that if you are looking to upgrade to vista it would be a good idea  .

because this would mean that you are using a windows xp or something older  .

and installing vista would not be good for the computer , becuase the hardware is not up to date  .

and the few things that vista improved on will slow down your system and make things worse though if you are looking to buy a computer vista is a great deal , in the past apple is superior to windows in the layout and design , but now vista has what is needed to compete with that and as always supirior hardwre vista becmae more compatible with newer programs , but less compatible with old ones , so if you plan on only buying a tower , (the actual computer) then you might as well throw your money in the dumpster , because your printer and software (which is your cd's and programs) might not work , in which case you might have to buy all new computer accessories if you are starting from scratch then go for it , but like i said vista did not make vast improvements in hardware  .

so if you're thinking it will run faster then and xp , it won't  .

becuase the random    access    memory which is what runes programs didn't climb much higher  .

and the distance that it did move is only enough to fit the new features on vista windows vista is a good operating system , but always remember that the operating system , dos not change the computer .

i is slightly unsure of whether or not to upgrade from windows xp to windows vista home premium ; my main concern is whether or not all of my programs would continue to work    only two haven't one feature which would be fantastic , which microsoft unfortunately has not made yet would be to enable users to reorganize the taskbar    which can be accomplished by downloading third    party software which would be nice if it is included in windows .

i really liked windows vista premium is a really valuable upgrade from windows xp and its really worth having , one of the things i liked the most is windows vista home preimum and the aero theme for windows vista , also the instant search is really usefull because it allows you to look for programs and documents easyly leaving your desktop almost emty for computer and recicle bin , the new efects on windows vista are really nice but they should be also included in the asic and standart themes not only in aero  .

i got the express upgrade to windows vista premium about 3 days ago for my gateway vista ready pc  .

i had windows xp before my install of vista  .

wow , i is hurting for 2 days , because of a driver issue with my ati x1950 pro and my gateway monitor  .

at first i did blame windows vista and tried to go back to win xp recovery disc , but the recovery failed ha ha  .

so now what  .

i can stay in safe mode or solve the problem  .

i re    installed windows vista premium and did not install my retail catalyst ati vista ready cd  .

instead , i got the new driver catalyst on the internet , only because vista kept my basic internet settings  .

however , anyone out there with an ati x    series graphic card , make sure you enable a checkmark on vista windows features  .

net 3  .

it is blank , until you check the sub directories  .

ati/gateway still needs to do there homework , because i still cannot change resolution settings with the new ati catalystcontrol vista driver ( it crashes , frequency out of range)  .

however , vista allows me to change resolution , with no crash  .

it's not just windows vista causing the problem , but 2nd or 3rd party vendors  .

everything works awesome now  .

incuding   , harware games , business programs and the internet  .

i take away 1 point for a 2 day hassle  .

i run both windows vista and osx on the same pc (don't ask how , cause i won't answer) , and i must say that since i got vista i've begun to despice osx  .

i hear people saying that vista looks to much like osx , and that is not true , it looks better than osx  .

and what they've done with features is basically just the natural evolvement of the os , who gives a   if its the same as in the mac , you liked it in the mac didn't you  .

why not in windows to then it even features things such as something that reminds me a little of the time machine in the upcomming osx leopard  .

you can revert back to an old version very fast  .

admitted , it does not look as cool as the videos of the new time machine , but hey they had it first to sum it all up i am running windows vista home premium , and osx on my ferrari 3400lmi laptop , and the only thing i lack is more memory and more harddisc space , but i guess i cannot blame microsoft for that .

i know everyone has an opinion on this but if it is only for the fact that media center actually works like its supposed to i would be sold on vista  .

i use media center more than any other feature in windows and its important to me that it works  .

if youve ever used it , you know what a pain it is to get the remote to work right with xp media center , no matter how many times you program the remote , it can never seem to translate the numbers correctly to my directv set top box  .

with vista you program the remote by pressing and holding down the 0 button instead of every number and enter and the chan up and chan down keys , and it works  .

ive used it for a month now and i can count on two fingers the number of times that it has missed a channel number  .

i think this is a great product and since everyone is complaining about it , i wanted to state a positive and no i dont work for microsoft  .

amd 3200+ , soundblaster live 24    bit , nvidia 6600 , 1  .

5 gb of ram ok , my ram is outrageous but i come close to minimum on everything else  .

it's a great upgrade from xp home , nice graphics games for all ages , and re    done software  .

the tablet feature is for better laptops which cannot handle vista ultimate  .

a tablet os would just be a disaster and wasted by confusing the user  .

photo gallery is a total photoshop bridge knock    off and the search feature is well deserved .

underestimated .

introduction/vista features  .

i have been a fan of the windows os since xp came out  .

xp is the most stable version of the windows os to date and it looked great  .

then windows vista came out and i is completely blown away at the new user interface and new features  .

the windows aero feature is by far the most innovative i have seen , and is very useful  .

it always you to view a thumbnail of whatever program that is minimized in the taskbar , it also improves on the alt+tab feature , instead of icons you actually see a thumbnail view of the programs you have opened  .

i have used these two features most often , it really makes using vista a joy to look and is only made more enjoyable by the other interface changes  .

i have not used the windows flip , i feel this purely for graphical effect  .

i another vista innovation i have fallen in love with is gadget side and the surprisingly vast amount of gadgets you can find on windows website for free of charge  .

my gadgets are the calendar , picture slide show , and the terror alert from the dept  .

of homeland security  .

other gadgets include are clocks , radios , rss feeds , news , etc  .

, etc  .

there is even a gadget for ebay which lets you know the status of your bids and/or items for sale  .

while transferring files from a data disk to the computer windows found that one of the files had the same name as one already on my computer  .

vista now gives you the option with click of mouse to save both files and automatically giving the other file a different though easily i identifiable name  .

people have complained that vista is very security sensitive when it comes executing actions that you yourself have initiated such as installing programs  .

i hardly find this annoying or even slowing down the process that is going on  .

all you who complain about this are just either being nit    picky or you just want to trash microsoft  .

another change i like is the start menu ; instead of going through different pull down menus to look for a program simply put part or the whole program name in the start menus search field and in an instant find what you are looking for  .

other programs that complement an already enjoyable experience are windows media player 11 , i  .

7 , and office 2007 installation  .

as far installation goes it is a bit lengthy but other than that it is a snap , those who are having installation issues probably dont know what they are doing ; a possible solution is to try a clean install rather than an upgrade  .

i backed up all my data and did a clean install right from the get go  .

also those who have had issues with vista , your problems most likely lay with your computers manufacturer and/or the program/file is not compatible yet with the new os yet , this will probably change in time  .

if you have a large hard drive , make a partition and install vista on that new partition and you can get the best of both worlds and boot to either os (xp or vista) whenever it suits you system requirements  .

i installed vista home premium on my notebook (hp dv9000t cto) which has an intel core 2 duo t5500 processor @ 1  .

66 ghz , nvidia go 7400 fx card with 256 dedicated memory , i gb ram , and 100 gb hd @ 7200 rpm  .

