a great product for the price we paid  .
loud speaker (i've read some reviews of a soft speaker    i guess either it is a bad batch of devices , or you didn't read the instructions on how to change the volume  .

with mine , on 80% it's blasting over the radio and road noise  .

volume adjusts to driving speed  .

great gps reception (even in nyc , although sometimes because of tall buildings can have a little trouble finding current position , but that's the problem with all of the gpss i've had , including the very highly reviewed nuvi 350)  .

the new easyport mount that eliminates the need to carry three things for your trip   the device , the mount (sometimes more than one part) and the car charger  .

this new mount is a blessing and a small nuisance at the same time since it makes it slightly more difficult to fit snugly into a pocket or a pouch , but is definitely more of a pro than a con because of its simplicity of use and the eliminated extra plastic thing to carry  .

this little issue can be solved either by buying the tomtom carrying case (the one made specifically for the models with the easy mount for an extra ~$28 on amazon) , or simply by detaching it from the back since it is detachable  .

though detaching it , some would say , is defying its purpose    tomtom home software is a breeze to use and lets you add user updates to the maps when roads get blocked or other changes take effect to the preinstalled map    device software software software   the best software of a device i've had the pleasure of using  .

explanation follows    .

the software allows much more intuitive handling of the device than any garmin i've found it's quick , it's easy , and the most important , when you search for a name of a poi , it uses the more modern approach that allows you to type any letter or word no matter where it appears on the name of the poi and it'll show you the results on the list there are dozens of advantages in the software over the one of the garmins i've used but i cannot possibly list them all some important features to note are that the actual navigation screen view gives you so much more clear information (which one can , of course , tweak to one's liking) such as current time , time of arrival , total trip distance , remaining time to destination , gps signal strength , next turn's street name , current street name , direction of and distance to next maneuver (which nuvi 350 garmin only tells you which way to go right before the turn) , and to that you can add a compass , change the car symbol and even more impressive    the color scheme of the map  .

i have to say this is just a short list of software features i absolutely love and think are on a much higher level of sophistication than what i've seen of garmin i really have to strain to think of any , but there are some minor ones (after all , nothing's perfect)  .

as i said the easyport mount can be a little problematic when fitted into a pocket , but it can be removed from the back (see pros)    the car charger takes a little practice to insert it easily    the password feature when powering on the device seems more fluff than a hindering threat  .

it doesn't really lock the device if for example you enter the wrong password three consecutive times or so , it just won't let you use the device until the right combination is entered    no bluetooth capability  .

for some it's a con , but for me personally it's a pro (because i do not really need it anyways , and if any corner should be cut to make the product less expensive , this is it  .

the map is not as pretty as on the garmins  .

it has a little more jagged lines but , if visual beauty is important to you in a map representation of a gps , you're really looking in the wrong direction in other words , warmly recommended for the people who are interested in getting the best gps for their hard    earned dollars .

overall i'm very pleased with the unit  .

would definitely recommend the 330s to any prospective buyer  .

the price is right and the features provided are outstanding and many for the comparatively low price .

this is my first auto gps  .

i owned handheld unts from magellan and garmin  .

i conducted plenty of research and decided upon this model  .

the maps of canada are useful when we go to montreal or ottawa  .

the speaker is great and the map , accurate  .

i did not have uploading problems that others expressed  .

i did notice , however , the trickiness of plugging the supplied cables into the unit  .

traffic updates are available should i pick up the proper cable ; that's useful in montreal or at the border during evening rush hour  .

i like the accuracy of poi's and that i may add poi's  .

while space may be limited , i do not have a lot to add , just trailheads and the like  .

all said , a good unit and i look forward to years of usage .

i did like my old one enough to make me feel that a new tom tom is a good choice  .

i like it , it is very intuitive , i do however dislike the mount .

worth buying if you do not need or want bluetooth  .

it's a very nice looking and great working gps .

i haven't had any problems of the time it takes to recalculate routes , takes less than a few seconds  .

like the bottom of the screen to where it gives you your eta and current time and how long it would take you to get to your destination easy to mount with included mounting bracket , once you have the suction cup on the windshield , all you have to do is attach the gps to the mount with ease  .

very  .

accurate  .

some things i didn't like about it is that sometimes when i'm playing with it , the voice prompts come on for no reason , i do not know if it's because it has a route planned and is always referring to the current route  .

and also the sunlight factor , but i guess that's true with any lcd display if you're looking for a decent gps that is very accurate and easy to use , i would definately get this one  .

good solid basic gps navigator for those like myself who don't require a lot of bells and whistles  .

attractive unit visually , one thing i really like about the tomtom units over garmin is that they are more customizable by the user , (i  .

when in the menu setting for volume control , unit allows volume to be linked to car speed , also setting to turn off screen in between instructions to conserve batt pwr if just using batt  .

, etc  .

) have not had my unit for very long , so i cannot go into a very in depth review , but i've used my 330s for a few short trips , and it's performed flawlessly  .

recommended updated  .

on mar 1 , 2010  .

prefer my cobra gpsm5000 which has bigger print on a 5 inch screen , although harder to program .

functionality and design is great but but with glare and slow reroute update limitations .

no printed manual worth mentioning , i see all these features on this forum i did not know it had  .

dsl in my rural area is not here , so downloading huge adobe files aint gonna happen  .

at this price , a real printed owners manual should be included  .

it tells me i'm  .

7 mile away from home when i'm in my driveway  .

my grocery is 4 miles to the west , tomtom says go 14 miles to the east  .

my old garmin streetpilot (batteries died) was not as fancy , but it is always helpful , and 99  .

9% accurate too  .

tomtom to the trashtrash  .

very unhappy i wasted the money .

i wish i had not bought it .

tomtom needs to get their update software fixed  .

it is junk  .

it killed my tomtom before i could even use it  .

best thing is that it happened early enough to return the product and never buy another .

nowhere as good as similarly priced garmin's both my sons have  .

shocking , the amount of times this unit has given wrong directions on both interstates (i    84) and secondary roads  .

somewhat quaint (european) way of instructing you to get on a highway/interstate as it says motorway  .

is looking for a basic unit as i did not need a lot of fancy features , but i did expect something that gave accurate destination routes  .

very disappointed .

updating , and buying new maps off the website is very very bad  .

site navigation is very poor  .

page loads are frequently horribly slow  .

2 days now to try to download a uk only map and suddenly i get the message that the shop is offline    come back soon  .

wake up tomtom  .

page loads frequently take a very long coffee break  .

in all my online purchasing i've never experienced the like  .

i suspect that tomtom has a very very poor shopping cart conversion ratio    no wonder  .

for this reason alone i would not recomend buying a tomtom of any sort .

i've had updates end up with corrupted files twice now  .

the problem is it took over an hour before it hit the corrupted file and then it is a pain to recover  .

the first time i just had to redownload the entire map (a 2 hour process)  .

the second time i had to reformat the xl and start from scratch  .

both times i is trying to update before trips in which i needed the gps  .

both times i had to go without a gps in the past year the 2 main reasons i needed the gps in the first place it is a horrendous oversight that the software does not better manage downloading updates and the ability to fix/repair corrupted files  .

it should be able to interrupt and restart the update process as well since it can take hours i do not recommend this product to anybody .

do not waste your money  .

if you must buy this piece of junk buy one used  .

there are plenty out there for cheap .

do not waste your money  .

