oh , i want a droid x .
i love this phone although it has glitches sometimes  .
be sure to disable the my location setting , among other things  .
this means that when you open google you won't get a cool list of locations of questionable interest near your personal point in space , but that's ok  .
you can always turn it on temporarily if you feel the need to do so some apps are cool , come from a fairly reliable source , and have access to things i'd rather not they have access to  .
google sky is one  .
if you're totally paranoid and don't want anyone to have access to you , your not going to like the droid  .
then again , you probably don't want a droid in the first place  .
however , i can understand why google sky needs to know my gps location    i don't understand why a grocery list app needs it in the month that i've had my droid , i've used it daily  .
i have used it to navigate to a family reunion and bypass the tollbooth , thank you very much  .
i've taken really good pics of a varity of things , no more i wish i had my camera  .
i have found out just what that bright dot in the sky is    it is venus , i didn't remember venus being quite so high from high school science class  .
i used a translator to help someone whose english is not great  .
i used a compass app because it is cool  .
i took my kids geocaching one day when they were bored and driving me nuts  .
i've read five books , on my phone  .
i have an alarm clock that works  .
i have a flashlight that i never forget to bring with me  .
i kept myself entertained when asked to 'pull ahead' in the drivethrough  .
i aways know the date of the next full moon and is it waxing or waning  .
i have a unit converter for work  .
i've looked up an endless number of useful things to know , right when i needed to know  .
i got online while in an extremely remote location where my friend did not even have phone service because i could  .
i showed a fellow gardener the really pretty flower i planted , a rare plant with an impossible name  .
i've even made a few phone calls , and is pleased with the reception and sound quality  .
none of this has cost me one extra penny beyond the monthly cell bill if you want a phone , get one  .
if you think way too much , love to research and do cool geeky things , get a droid  .
if you find yourself far from home , wishing you had remembered to bring a book , your camera , laptop , etc get a droid  .
i have had every cell phone that has came out (iphone    blackberry storm you name it) an hands down i have never been more happier with a phone  .
all i can say to sum this up is bravo motorola you have step up your game  .
i is considering leaving verizon so that i could get an iphone on at t and i am so glad that i decided to take a look at the droid  .
i mean , i do not see what it is lacking at all compared to an iphone  .
maybe just a smaller pool of games to choose from  .
if you think that the droid has low quality games , just buy the raging thunder 2 game  .
it's just like playing a ps2 game  .
this is a great example of the capabilities of this phone as a game player  .
i just love this phone  .
i have 15 movies loaded on it and about 4 gb of music  .
if i decide to upgrade to the 32 gb sd micro i can have double  .
there is no reason that i can see to deter a smart phone buyer from getting this phone  .
the bluetooth problem is not a big deal to me , because when i'm driving the phone is always in the gps style cradle and it's no problem to hit my voice dial button and then hit the phone again when it lists the contact i voice    searched for  .
it's not a big enough problem for me especially when there is a perfectly good and easy work    around updated  .
on apr 19 , 2010  .
i got this phone a week ago and it has been the greatest phone ever i havent used my computer since i dont need to this thing is a computer the call quality is amazing crisp clear neverending apps battery life is excellent if u download the app killer app the keyborad on the phone is wonderful the camera is perfect i could go on and on but final saying best phone ever (the phone i had before is a delve so thats a big step up)  .
phone is great  .
this is the first phone that i have not gotten bored with  .
the app store continues to grow which makes the phone operate a little differently each time  .
so far my phone has operated flawlessly  .
highly recommend  .
if you want quick response time from apps as well as your browser , this is the phone for you  .
tons of useful apps are free and the screen size and resolution are unmatched .
great apps great look great feel good price no complaints  .
ive had almost all smartphones in the last 2    3 years and this is my favorite  .
gotta love the google os .
i would recommend this phone to anyone who is getting tired of the iphone hype or just wants a solid smartphone on great network like verizon  .
it'll do anything an iphone does and probably better  .
i spent months agonizing over this purchase , and i'm glad i made the right choice and went with the droid .
some background on me   been a mac user since 2007 , have had verizon since 2003 , have the ipod touch , has friends with the iphone (same as the touch , without the phone) and blackberries  .
first off , i want to say that i think mac makes some great products in regard to innovation and design  .
i have the most recent software on my ipod touch (same thing as the iphone , without the phone or crappy at t) , have a ton of apps on there , and use it all the time  .
i think apple started it all when it came to innovation and improving the smartphone , but the motorola droid has definitely taken it to the next level  .
the positive reviews you are reading are not just from people who are anti    apple fanboys , but people who have owned apple products including the iphone  .
you definitely should listen to them if they say they had an iphone but the motorola droid blows it away i first went into the verizon store and played with this for about 30 minutes  .
i walked out , not sure if i really liked it especially since the keyboard felt awkward at first  .
i is actually going to wait a bit and get the htc incredible when it came out on verizon  .
i did more research and found that a lot of people mentioned that the keyboard takes getting used to , but that it is worth getting because it's a handy thing to have  .
as someone who's been using the touch for 3 years and had an lg dare before getting this phone , the novelty of a pure touch screen is not as appealing to me as anymore and it's luster has worn off  .
there's times when i wish i had a keyboard which provides easier typing and just more accuracy in regard to selection  .
i is surprised that motorola actually came out with a great product  .
i came back the day after and played with it for an hour in the store  .
as i played with it more , i began to get the hang of the keyboard and found it extremely useful  .
in addition , i had a verizon rep who had the droid who really showed me all the neat features of the phone and knew the ins and outs of it  .
i actually told him  .
look , it takes a lot to wow me  .
i have an ipod touch and i  .
m familiar with all the apps and what it can do  .
show me something impressive about this phone  .
there  .
s too many things to name as to what he showed me , but let me just say that this is not a phone for simple people  .
i bought the phone , and have no regrets that i did  .
it is honestly the best phone i've ever had and i can honestly say this puts the iphone to shame it will take you about a few days to learn how to navigate the phone , but once you learn what it  .
s capable of doing , it  .
s just even more exciting  .
m used to the itunes apps and is a bit skeptical about the android market , but i did find many apps that were free or low    priced ($1  .
99) that were close or equal to what i had on my ipod touch which were mostly budget/finance apps , games , etc  .
the google market actually has a lot more cooler apps when it comes to customizing your phone , so i actually think it  .
s better than what itunes has to offer i  .
ve pitted my droid against my friends  .
iphones , blackberry on at t , and blackberry on sprint and it doesn  .
t even compare when it comes to the processing speed of the droid against their phones  .
even the droid vs  .
the htc eris (both on verizon) , you  .
ll notice a difference  .
this is the phone to get on verizon , and anyone with an iphone who says the droid sucks is obviously someone who hasn  .
t spent 24 hours with this phone  .
my friends with iphones were actually envious of my phone , though some didn  .
t want to outright admit it updated  .
on apr 5 , 2010  .
the droid is by far the best smart phone verizon has to offer  .
everything is nice about the phone except the battery  .
the battery life is very short but with all the features , you cannot really expect it to last real long  .
besides that , i think it is very nice and is much better than my old samsung sch    i760  .
this phone will be around for a long long tine .
this is a great phone and you can drag and drop your itunes songs directly onto the sd card and they will play so you basically can put all your itunes on here  .
this is my first smartphone and i am glad i waited motorola is back  .
the best phone out there  .
the iphone runs it close but the droid's keyboard , although not the best , pushes it into the lead .
sweeeeeeet a  phone  .
this phone does everything  .
the screen is fabulous and the internet is truly fast  .
like the option of physical keyboard  .
downloaded the beta swype keyboard and now rarely use the physical keyboard  .
los of apps to choose from to personalize your phone right down to the color the led light flashes when you get a text depending on who sent it .
get this phone  .
its worth your money  .
verizon has the best services for your tv computer or cellphone all the more reasons to go with the droid .
i switched from at t on their iphone 3gs and is tired of unreliable 3g signal  .
i is dropping calls everywhere  .
in my area we have excellent verizon service  .
everyone on my street has verizon and no one has had any issues with service , while some other people that have at t on my street have spotty service the iphone doesn't have widgets  .
the iphone doesn't have customizable backgrounds for the apps to sit on  .
the iphone doesn't have a keyboard i am someone who needs a physical keyboard because the staleness has set in for the iphone  .
apple fails to update and refresh how the device runs and gives the average consumer the choice to customize droid does  .
period  .
droid does everything i ask it to  .
the droid also multitasks  .
it may eat a little battery but it does last longer than the iphone 3gs  .
let me tell you , i did the same internet surfing and e    mail on the iphone and the droid and i would leave the house at 6 am and come home at 5 with a dead iphone  .
with the droid i would leave the house at 6 am and come home at 5 with 1/3 battery gone  .
i still have most of my battery left for the rest of the day  .
droid's battery is excellent  .
i have no issues at all  .
droid's camera is 5  .
0 mega pixels while iphone is 3  .
0 mega pixels  .
the droid takes fantastic pictures and when the iphone cant see in the dark to take pictures , the droid comes in and uses its duel led flash to light up your photo this phone , droid , does an execllent job at picking up the slack that the iphone does  .
i can multitask and do everything plus more with droid on a better network i have not dropped any calls on verizon since the droid came out and am very happy with the service  .
verizon has 3g coverage everywhere i am in new england  .
new york city is so much better for droid because at t's spotty service in nyc doesn't do me any good  .
thanks to droid , its been a life saver  .
enough said  .
droid wins one last thing  .
iphones gps doesn't work in nyc when the droids does  .
droid does an excellent job and keeps up with the new technology of gps  .
it did not say lost connection or anything when traveling from 5th ave to broadway  .
thanks again and the clear winner here is the droid .
great phone , will probably buy another for my wife .
recommend it to anyone under the age off 40 and above the age of 12  .
solid performance with total customization  .
i keep finding new applications to use and keep being blown away with all the features .
i've been using an iphone 3gs provided by my employer for almost a year now and like it quite a bit  .
we got my spouse a droid over christmas and she has been using it now for a couple of months  .
she is extremely happy with it , the free navigation tool , while perhaps not as good as a dedicated device , has come in very handy for her on multiple occasions  .
the link to her google account means no having to transfer contact information  .
the verizon service is simply better than at t in our location  .
the apps she has she really enjoys  .
if i had my way i would ditch the iphone in favor of the droid myself  .
the only thing i would miss is the pinch to zoom but the spouse doesn't even notice that because she never had an iphone , it does not bother her at all overall very pleased with this smartphone .
i enjoy this the droid more than any other phone i have owned , including the iphone  .
that's because i am not constricted to how i can use this phone in terms of customizing the home screen and how i can store music/videos to my memory card  .
the touch screen is very responsive and the keypad is more useful than i imagined  .
i use it when i'm just not in the mood to use a touch screen  .
most importantly , i use google apps for my business and i do not miss a beat in terms of synchronization and access .
it's a great phone i'm enjoying it and really have not had any problems  .
great phone that can hold its own with any smartphone out there  .
maybe i had low expectations , but this phone exceeded my expectations in so many ways  .
i now have a phone that can play pandora radio while i'm surfing the net , and my calls do not get dropped anymore  .
love it .
this is really a mini    laptop computer , and then some  .
the sheer usefulness of the gps integration is one thing that really surprised me  .
you can just speak into it and find the nearest store , or library , or police station , or anything  .
you can speak into it and have it call any contact  .
since the os is open    source , and android devices are popping up all over the place , the app selection will start to expand exponentially  .
the brilliant hardware design will assure a long and very useful life for the droid .
my headline says it all  .
if there is it's not available yet  .
this phone is fast and easy to use  .
the internet is super quick , which is important to an inpatient person to me  .
the email use is great , i have all my email accounts in one view , and get notified when i receive new email  .
it's the fastest way to check my email  .
i think the screen is amazing , pictures look great  .
my decision is between droid and iphone , and i don't regret my decision  .
i have had this phone since thanksgiving and have not had any problems .
people judge too quickly  .
this phone is great and i have no complaints so far updated  .
on jan 23 , 2010  .
i am so glad for motorola coming out with , also happy i waited for the droid and did not buy some other smart phone  .
love the fact that i can see the screen without my readers , i also like the the basic book that it come with (nothing) so i can set it up the way i ant to set it up  .
i have had all new phones since the wireless phone craze started and this by far blows away any phone that i have ever owned  .
everything i have always wanted in a phone and more .
first off i love the weight of this phone , with the metal chassis this thing can take a pretty good drop without damage i love the android operating system , and feel that most of the issues about the phone are software related and therefore fixable with a good patch if i had to come up with a con , it would be that the powerful processor gets kind of hot in your hand while streaming video or doing something that taxes the mighty brain , but it is certainly cool to know that the processor is that powerful .
this phone had a huge learning curve  .
verizon has an in    store class that is super in teaching you how to use it , as well as online tutorials  .
droid is amazing with all of it's features  .
the gps is very good and amazingly clear in satellite mode  .
the camera switches easily from camera to camcorder mode  .
droid market is easy to search and find everything you need  .
google search bar is convenient and intuitive  .
the best accessory is the entertainment dock which makes the droid a great bedside alarm clock and convenient for watching youtube or photos  .
i find the virtual keyboard easy to use , and the slide    out keyboard fine for when needed  .
this is a fun phone and i totally love it  .
sorry iphone yeah really sorry  .
being exceptional at everything you do is not an attribute but rather an attitude  .
matt  .
an attitude that droid does  .
yeah this is undeniable  .
i'm recommending this phone to all my friends , family and colleagues  .
i have used this product for over a month now and my life suddenly changed from being late to my appointments now i'm on time and even early .
great for anyone who wants a top line smartphone with googles new os installed  .
great interface and easy to understand  .
i love this phone .
i have never really liked the idea of a smart phone  .
it seemed like too many trade    offs  .
but the droid is a really good pda in its own right  .
it absolutely kills anything running windows ce , trust me i've tried to make those things work  .
so for me this is how i can actually get away with carrying one device  .
instead of a phone and a pda or netbook and remember to take that gps on trips , i just carry a droid  .
one thing really is everything i need  .
like i said in the beginning , i never thought i'd own a smart phone , but i love this thing  .
best smartphone ever  .
i like this product because i am google person and have been with verizon for 10 years now , it just makes sense  .
i like the overall design of the phone and the materials they used , it has substance  .
this phone got my attention because i feel the google os and its power to see the world is key in this industry  .
i also feel that the phone will be able to upgrade with the future and have many new features as needed .
great phone  .
having used an iphone for over a year , i find the droid is every bit as good (and as cool)  .
but there are some wonderful differences  .
even though at t claims to this awesome 3g network and complete coverage , i found so many dead spots (in well    traveled areas , e  .
, down i    25 in denver) that i wouldn't even bother with phone calls when i knew i is going to be on that route  .
but that's the network problem there were some quirks with the iphone , just as there are some with the droid , as mentioned , the keyboard tends to slide out when in my pocket top    side down (so the keyboard is down)  .
the keyboard also requires that i orient my rather large thumbs appropriately ; however , that being said , i virtually never use the physical keyboard  .
the touch    screen keyboard is at least as quick as the iphone , especially when in landscape orientation so there is no need for the physical keyboard  .
i have not been on the web enough to have required the physical keyboard , and the sites i've been on have worked just fine with the touch    screen finally , the seamless syncing with my google calendars is a big , big plus  .
there are some quirks with forcing a sync with both contacts and calendars , but i actually only ran into that once  .
i is able to force the sync and only wish i could remember how i did it so i could pass it on it is money well    spent and worth it  .
and not having to pay for ringtones is a hoot  .
this phone is a surprise for me       as a long    time verizon customer , i've been used to being snubbed on quality phones  .
as soon as the droid came out , i decided to take the plunge and see why it is getting such good reviews       and now i know  .
the phone is outstanding the screen is incredible       its pixels make you wonder how you could ever look at a lesser phone's  .
facebook automatically syncs with your contacts if you sign in , and although one might think that it would lead to some problems or take lots of time , the syncing is quick and seamless  .
the applications found on the store cover most of the same areas that can be found in the apple app store , although in the android market , one can get applications that compete with native android functions ; for example , i downloaded two separate browsers to try them against the default one i haven't yet brought up the google maps application , which is simply stunning       and free  .
it gave outstanding directions to a house over an hour away from me , and it quickly synced and did what it said it would do  .
an impressive piece of work that said , the keyboard could use improvement  .
it's impossible to learn how to type quicker on such a flat keyboard  .
on the phone's default settings , it can be a bit scary  .
the phone states drooooiiid in a mechanical voice every time you get a text message       luckily it can be changed  .
the start    up shows a massive red eye staring out and almost pulsating the small problems though are minute       this phone is amazingly outstanding , and after using a droid , i do not think i could ever go to an iphone .
i had envied all my friends who had the iphone  .
i'm a long time mac user  .
but i had previous dismal phone connection service with att , dropped calls , could not use my phone in my house (att said it is because i had concrete walls) , lost voicemails  .
when i heard about the new verizon phones in november , i decided to check them out  .
i liked the look of the htc imagio but the internet seemed sluggish in the store  .
when i played with the droid i is hooked from the beginning  .
all the things i said above are what i like  .
i have big fingers so the physical keyboard is a bit small  .
after some practice i do better with the virtual keyboard and like the auto    word feature  .
if you get the phone , download the free advanced task killer so you can easily shut off un    needed apps if they launch a buddy and i did side by side comparison of his iphone and my droid as far as downloading youtube videos  .
the droid smoked the iphone  .
he is envious of the high def screen on the droid  .
bottom line if verizon got the iphone tomorrow and offered me a free exchange , i definitely would keep my droid updated  .
on jan 2 , 2010  .
i is hesitant in purchasing the droid after reading so many reviews complaining about the keyboard , contacts , calendar and other minor issues  .
but after biting the bullet and getting one i must say this is one of the better smartphones i've used (and i've been using them for many years , since the first palms and hp's on at t)  .
i'm have very large hands and must say that , while a bit cramped i do not have a huge problem with the qwerty keyboard  .
sure there are occasional typos but i've not found a single qwerty that's any better (and i am coming from the at t tilt which has probably the largest and most spacious keyboard available)  .
the onscreen keyboard (both in standard and landscape display) is good enough that i'm actually using the physical keyboard less and less the market place is great with tons of apps already available and more coming  .
i've used gmail and google services for many years so the lack of support for outlook was not a big deal  .
the phone is great with google calendar and contacts (though people not using google may have some issues , note   there is a workaround for connecting to outlook but it requires the google business app)  .
personally with the way the phone works it actually is better for me because i like having everything based online (i  .
on my google account) i is a little upset that there is no support for avi (divx) video but some quick conversions to mp4 solved that and the video playback on the phone is just great  .
video resolution and sound are the best i've seen outside of some very high    end htc phones the built in wi    fi and gps work great  .
i get a quick gps lock even with thunderstorms overhead (it's the quickest cell    phone gps i've used and is on part with an actual gps nav unit)  .
the google navigator is great , though admittedly is not perfect (in terms of map accuracy) but it's still a 'beta' so i trust it will get worked out soon a note on service   i'm coming from at t so i'm very happy with the coverage that verizon has in my area (of course this will vary greatly but here in nashville , tn verizon coverage and 3g is far better than at ts)  .
also customer service seems far better than at ts .
just a matter of time before same widget or another allows redial of last call but you can dial and broswe at the same time    while surfing web you can hit home key , activate included standard phone widget or another , make call , chat while hiting home key , then browser widget to find you are right where you left off in the browser while talking away  .
the apple commercial and several reviewers are wrong updated  .
on dec 27 , 2009  .
the droid is possibly the best phone on the market today  .
it competes directly with the palm pre , iphone , and the other major smartphones on the market  .
it lives up to the high expectations of the competitive market , and has no trouble keeping up with , or surpassing it's peers the phone flies , to be honest  .
applications open instantly , run smoothly , and multitasking has no effect on the phone speed  .
loading webpages is a breeze , as it takes very little time to render and process all of the incoming information the design is an odd look , that is starkly contrasting to the iphone and pre  .
where the iphone and pre go for a smooth , sexy , sleek look ; the droid stands out with a sharp angular look , that seems oddly imperial , as if it should be commanding all of the other phones  .
the design is thin , especially for a phone with a full qwerty  .
it's only slightly thicker than an iphone the screen  .
oh , the screeeeen  .
it's the best feature of the phone ; it really is  .
it's double the resolution of the iphone , and the colors pop  .
the size is huge , and really helps out the android os , which i've always found slightly cramped on a 3  .
2 inch screen  .
the responsiveness is great , and is second only to the iphone  .
the screen still wows me every time i use it the lack of a call and send button has been called out as a bad design cue on the droid , but it's not called out on the iphone or the pre , and i do not quite understand the logic behind this i've been extremely pleased with this phone , and the biggest advantage it has over any other phone is that it has verizon's service backing it up  .
coverage is great everywhere i go , and it really helps when you're traveling abroad  .
voice quality is great too  .
all of my calls sounded clear and natural , with calls sounding good no matter how many bars i had overall , i'm extremely pleased with this phone , and plan on keeping it as long as i can the droid is not only the best android phone on the market , but is also the best phone on the market in my opinion .
already returned mine because of a faulty earphone plug (it thought they were still plugged in and did not let me use to headset , only the speakerphone)  .
a minor gltch with google voice sending texts twice if sent with virtual keyboard up  .
camera issue fixed with update  .
some sound issues through earphone fixed with new replacement phone otherwise it is everything that is advertised  .
able to do everything someone wanting to write and app wants it to do  .
its app library is growing everyday  .
this phone can only get better with time as software programmers get into gear .
i stay at the top of the smartphone chain  .
although i have been a customer of alltel/verizon for about 12 years , i tried the iphone for about three months  .
i loved the phone but hated the service in my area  .
when i saw the motorola droid , i bought it , canceled my att contract and sold my iphone  .
in my humble opinion the motorola droid is a complete class ahead of the iphone  .
from the slick interface to the incredible built    in speaker  .
all i have to say is the best phone ever , period updated  .
on feb 10 , 2010  .
bottom line , throw your iphone at me head and i'll deflect it with my droid and then kill you with my qwerty board  .
coming from someone that has had verizon , tmobile and cingular/at t , and a plethora of phones along with that (including blackberry's , sidekicks , palms , lgs , and samsungs) i can honestly say this is the best and most functional phone i have ever had  .
its also one of the best multitasking phones i have ever used as well (second up is the sidekick) i really do love everything about this phone , the contact sync with facebook and gmail , the giant touch screen , and they keyboard  .
yes , the keyboard feels flat and weird at first  .
you will press 2 keys at once a lot on your first day because of this , but after a day or two's use it becomes a lot easier and you find your sweet spot with the phone  .
the browser is incredibly fast  .
the default browser has tap to zoom , not pinch to zoom but there is a browser on the android marketplace that supports pinch to zoom  .
(dolphin browser) the app store is growing , and there are a lot of useful apps on there  .
i love how the store is set up as well  .
apps/games/verizon when you make the selection it goes to top paid , and then top free , and just in  .
great organization  .
when you select an app , before downloading and installing you can read about it and see user comments on whether or not they like it , and their ratings  .
as soon as you download it you can rate it and comment it yourself for others to see  .
text messaging is fast and organized (because its threaded messaging messages organized by contact)  .
when you play around with the phone you find so many new things like when you click on a contact's picture a little bar comes up that shows their facebook status , and a bunch of options that you can perform like text , email , call , look at their profile via facebook app , or instant message all in all it is a great phone i havent found a con that didnt get fixed or is something i can look around best phone i have ever used .
the best phone i've ever owned  .
the android 2  .
x operating system is a pleasure  .
the touch screen is clear , bright , and very responsive  .
the camera works very well , and has a flash  .
i love having choice of 3 keyboards  .
about 60% of the over 20k (and growing by the thousands every week) android apps are free  .
contacts can be created and maintained via a gmail account , and will sync and combine facebook data into the contact list  .
any changes are automatically sent to the droid  .
most importantly , it's not on at t  .
well worth the money for the data plan and the phone  .
perfect when traveling to eliminate dragging my computer with me  .
it cannot access every webpage , nor every email , but it sure comes close  .
updated  .
on dec 21 , 2009  .
great phone for verizon wireless , i would even describe it as the iphone of verizon  .
highly recommend it , you will not be regretting your decision  .
this is a great phone and you do not have to be on at t to get it lol  .
i really like the iphone for it's design and intuitive interface , but at t is a killer for me  .
the inability to make calls from many hotel rooms and in some major cities (like nyc) made verizon my only option as a carrier  .
and while the android market is nowhere near the app store (in sheer numbers) at this point , they are growing and have most of the apps covered that i use personally  .
the droid's interface takes some getting used to , but i can now navigate it with ease  .
the weight of the phone is a turnoff initially , but is due to the body of the phone being made of metal instead of plastic , so it is a problem i accept  .
i have had none of the problems that have been reported by some users  .
i do believe that there have been some manufacturing defects , but luckily that has not been my experience  .
this phone is faster than any phone i've used (including the iphone) with multiple apps running at all times  .
call quality is excellent  .
the learning curve is more steep than any phone i've ever owned , but once i read the manual and checked out some user tips online , i am loving it  .
is it an iphone killer  .
probably not based on the hardware and software alone  .
throw in the verizon network and the difference between the two is dramatically reduced  .
in a perfect world , i'd own an iphone running android 2  .
01 on the verizon network  .
then i could truly leave my laptop at home most of the time  .
if you need the dependability of verizon with their customer service , imo this is the phone for you  .
if you get decent at t coverage where you live and work and must have an iphone , that's a decent choice as well  .
for me , this is the absolute best combination of features and carrier available  .
it's the best technology purchase i've made in the past three years and that is saying a lot  .
the droid has a ton of potential in the coming year  .
developers are finally beginning to take the android platform seriously because of this powerful device  .
soon we will see apps that will give the iphone a run for its money  .
switching from the iphone is not a bad call with this device  .
i love how much more i can do simultaneously with this phone  .
i couldn  .
t even respond to a text message using my iphone without having to exit any app i is using except itunes  .
now i can listen to pandora , text , browse the web , download and install apps , and launch tons of other applications all at once  .
i'm glad i switched , and if you're on the fence , get off  .
come try this phone  .
the first thing i will say is   this is not an iphone so im not going to compare  .
i love both devices and what they do , they do very well  .
they run on to os platforms and work differently although there are some similarities  .
that said , this phone is simply phenomenal  .
its very responsive , the touch screen works really well , it has tons of expandable memory , the picture and screen resolution is awesome , and its a beast of a multi    tasker  .
as i said in the cons portion of this review , i havent found anything really annoying that i didnt expect from a device like this  .
and anything that i may eventually find will probably only be software related and can be fixed with updates if you are on the verizon network and need an awesome smart phone that can do just about anything you would expect a device to do , then you should definitely check the droid out .
i love this phone so much , i have to usually charge it at least once in the middle of the day  .
i waited over a year before i finally made the move to a smartphone  .
i looked at the iphone and yes that phone changed the game but the droid is a player  .
the only things i would change about the phone are text suggestion prompts when using hard keyboard , software that allows dual touch (yes the phone has the ability) , more apps for the 2  .
0 os and more accessories like a xm dock  .
there are a few querky things with using the phone like using the dial pad during a call , learning the menu button and figuring out a widget vs app but anyone with half a brain will be an expert in a few days  .
go the store and give it a try i'm sure you'll love it .
i didn't need the manual because everything is so easy  .
the phone is very fast and there is typically no lag when thumbing through screens  .
i didn't think i wanted real keys , but i love that too    you do not have a virtual keyboard blocking your view  .
games are fun , video and pics look great , marketplace has a lot of great apps , connect to facebook is something new to me and is surprisingly smooth and easy    one click and everything is imported  .
very cool .
best cell i ever had  .
i am 50+ years of age and this is my first smartphone  .
it is a bit scary at first , but i am having a wonderful time learning all its capabilities  .
it may be intuitive for my 30 yr  .
old son , but i have to work at it a little  .
i still love it and would recommend it highly .
wayyyyyyyyyyyy better than the iphone  .
best phone ever .
this phone is a fantastic phone for anyone  .
best phone on the market thus far  .
will hurt iphone sales for at+t's lousy coverage is well known open operating system , hence applications are being ported at rapid pace  .
verizon will sell one million of these by year end , hence huge momentum  .
upgrades based on user feedback  .
phone has a big upgrade on 12/11  .
slide out keyboard works well updated  .
on dec 4 , 2009  .
as my first true smartphone purchase i have been thoroughly satisfied with the droid phone  .
battery life lasts around ~2 days with my normal usage  .
