this review does not do the sansa clip + justice  .
this morning it shut off by itself , i turned it back on , and 10 minutes later it died  .
power button does nothing , plugging in the usb cable does nothing    just nothing  .
at least it is still in warranty (i think)  .
i guess my bottom line is that this player stopped functioning an hour and a half after i took it out of the package  .
i'm not sure if that is due to the problem with the small connector on the usb cable and if it became damaged while i is connecting it  .
i think i basically got a substandard product yes , the sound , or what i heard of it , is very nice  .
unfortunately , the unit i bought is very poorly put together  .
the headphone jack/headphone plug were badlly fitted  .
if headphone plug is pushed all the way in , no sound  .
if it is pulled out slightly , got sound but it cut out player is moved  .
use this for sports  .
i do not think so the manual claims the player supports audiobook files  .
this is not the case  .
i tried loading a spoken word cd both through a music program and directly from the disc and the files were not read by the player although they appeared to be there when the unit is connected to my computer but the file appeared empty when it is disconnected i'm at a loss to understand the discrepancy between the over    the    top wonderful reviews this product has garnered versus my experience with the one i purchased  .
at least i can still get my money back .
You can transfer songs from your Rhapsody Account, Price, Style, Sound; I can't find any yet
Threre's nothing really to add from the review.; 1. No Bluetooth, and. 2. No Continuous-Playlist Play
Good quality, good ergonomics, multiple color choices, small but bright screen; Sound quality is average, awkward headphone jack placement
size. clip. screen! (thats why no shuffle for me). mini USB charging. decent enough battery life for me (15 hrs). playlist support!; on screen display not really customizable (I prefer time remaining on songs, or at least total time and time elapsed). poor podcast handling. super cheap included earbuds
Good sound quality, easy software navigation.; Any movement at all will send the player into "Refreshing your media" mode. Cannot be used for jogging or even walking.
good quality music, very fast navigation, easy to understand, cheap price, clip feature and small size, mini-USB connection, international language support, FM radio; no cons so far
Small size. FM radio. Storage Capacity. PRICE!!; Only fault I found is it is cumbersome to drag and drop songs as I like itunes functionality way better when creating and editing play lists.
Price, Easy to use, FM Radio; Menu not as intuitive as other MP3 players. Radio doesn't receive all the stations that I can at my home, but does when I'm outside.
Easy to use and understand. FM Radio. Small in size.; The fact that it just stopped working. The only way to charge was have computer on and this plugged into USB port.
-Small size makes it easier to clip to, say, belt loop. -Amazing compatibility. -Price is unbeatable. -Many features; -Transition from iPod will take a couple of days. -Battery life could be better. -included headphones aren't great. -FM radio isn't great
Easy music management from any computer or OS. Simple interface. Excellent sound quality. Wide range of supported audio formats. Nice OLED display. MicroSD slot for add-on memory is great!; Audio output is a bit anemic; greatly benefits from a headphone amplifier. FM radio and other features are superfluous.
True story, came back from the gym, by accident it ended up in laundry basket, went thru entire wash cycle, thought I ruined it, a day later works perfectly. Like Timex, it keeps on ticking, try that with an Apple product.; Wish somebody would sell a quality arm band for the gym.
Its got a large memory for a small price; the cube is cheaper and you can put in an mini sd card in it
it was easy to use and just the right size; it is a piece of crap
Extremely light and small.. Clips on to what you're wearing - great for exercise. Great sound. Bookmarks audiobooks easily. Micro SD/SDHC cards - to provide more memory. FM Radio. Easy to use. Good online manual. Dan delete files from player; Headphones packaged with player are not that good.
- supports microsd upto 32gb. - can delete media from within the player unlike ipods. - small size, clip. - solid sound quality, custom equalizer. - podcast / audiobooks/ audible support. - cheap; - no stopwatch. - may take some time to refresh data if you have higher capacity card but that's probably due to read speed of memory card. ( i am using 16gb)
Lightweight &#38; compact; very easy to pick up and go; decent battery life; expandable memory/Slot Radio; solidly built; integrated clip; FM radio; price; decent EQ settings; stock earbuds not bad too bad; works w/ Zune Pass; Screen is a little hard to read outdoors; can not set to shuffle from playback screen
Excellent Sound Quality, Compact, the Clip, easy menu, folder + artist view, easy songs transfer - no softwares, good looking, extendable memory, Simple operation, Easy-confident on-off button, continues where u left a song on switching on, etc. etc.; Nothing at all... hmmm... you might need a better headphones to enjoy the real sound quality the device produces.
Small, clip feature (clip holds really well and doesn't bounce around), can change songs by feel when running/biking/skiing, great sound quality. Cheap.; Will not survive being run over by my riding lawn mower. (Personally, I think the engineers need to work on this one.)
Cheap, expandable memory, good sound quality, small, rational design, builld quality of "Plus" is better than original Clip, appears as external hard drive-allowing "drag and drop" file loading; So small that it is easy to misplace.
Many well designed, and readily accessible features on this little dynamo. Sound quality is excellent, with noticibly good separation. I was pleasantly surprised by what I got. And all at a great price.; At the moment, I have none.
Sound was nice for the 60 seconds or so I heard it.; Small connector on USB cable did not fit the player properly. Almost had to jam it in because it was badly sized.. Player does not support audiobook or spoken word files. But the manual claims it does!. This section is not big enough for all issues!
Easy to use, lightweight, works well. It is my first MP3 player (I'm 35) and I have little trouble using it. Well worth the money!; It came with free trial memberships to download music and those were miserable to use. It takes a couple of hours to charge.
Small size and light weight, easy to load/unload songs, pretty good battery life, "golist", exandable memory; navigation can be a little tricky at first since there's very few buttons, but you get used to it quickly. No wall charger (but it charges pretty quickly off of USB)
headphones superior to my recently purchased walmart phillps (11$)expandable mini SD slot potential to become up to a 16gb MP3 player. belt clip is sturdy, music transfers quickly, nice recorder, Superior battery life; Using windows media player to sync your files is a pain sometimes(does not update folders quickly so you have to manually search in your files), no volume controls on the head phones,
Sleep timer! Bookmarking! Awesome sound. Feather light and has a clip for easy carrying. Progressive fast forward and the controls actually work well! Best MP3 player out there for audiobooks.; You MUST download the latest firmware update on the SanDisk website to ge the bookmarking to work right. If you don't, it won't let you transfer audiobooks into the audiobook folder on the player unless they are Audible downloads.
Simplicity and easy functionality. Product quality over complex design and lots of unnecessary bells adn whistles. Can use without looking at it and it clips on to my workout tee shirt or lapel or front pocket so don't have to hold or have long wires; With Sansa, it seems I have to reformat too often as my audible books are replaced but don't come off the play list and jam up the HD.
The sansa clip+ is a step up from the first one clip, which was already amazing. It has a new folder view, is only $50 for a 4 gb player, and plays a diverse amount of formats along with great quality.; Other than not playing AAC this player has no cons, a 15 hour battery life is over half a day, good enough for me.
This little device is everything I need in an Mp3 player. Portability, functionality, simplicity, and affordability. I bought the Clip because it fit my needs the most, small, great sound quality, bright LCD screen, easy navigation, and cheap.; HUGE Con- Design of clip attachment flimsy and easy to lose/break.
Great sound quality, crisp clear sound, especially with good headphones/earbuds (not the ones that come with it). very easy to use, almost as easy as an ipod. MicroSDHC card slot is very useful i use an 8gb card with my 4gb clip+.; a physical lock button would be nice but thats a very minor niggle for a device this cheap.
Very nice and small only MP3 player plus radio. With sound quality is the top choice for people who dont want such unnecessary features like video on small displays.; what I really really really do not like about Sansa is the usage of Windows Media Player, very bad file managemenet and very very very bad playlists management. This cutted two stars from my review. Absolutely dissapointing.
Has a well made look and feel. Sound quality is excellent using the ear buds that shipped with it.. Gets incredible radio reception.; More of a comment on Rhapsody... the Clip+ comes with a Rhapsody CD. Once installed , Rhapsody is asking you to set up an account. You DO NOT have to sign up with Rhapsody to use the player for your own music.
Small with a lot of space available. Mic and FM radio.; I am on my 2nd Clip in 2 weeks. The quality of the inner workings are in question at this point. I had the First Generation Clip before and it lasted a long time. I decided to stay with Sansa but I think they released the Clip + before it was ready.
Its a very good product for a tiny price. Using it for power-walking I forget it is on my waist as its so compact. Majority of my music has been downloaded to it and its a pleasure to listen too, as songs I haven't heard for ages suddenly play!; Having to charge on my computer , the battery life.
user friendly. Does not waste battery life on anything unnecessary. Incredibly small and light; perfect for running with. No annoying software, just plug in and copy over. Display is the perfect size. FM Tuner is a great bonus; Battery life could be slightly longer. It lasts about 1-2 days with moderate use. Not bad by any means but could be better. Also the battery is irremovable so if it goes out you must replace the entire unit. USB cord could be longer.
It's small but not too small. It has a Screen Unlike the shuffle. It has Buttons unlike the shuffle. You can mount it in MSC (hard drive) mode or MTP and sync it with Windows Media Player, Media Monkey, and winamp.. It has fantastic sound quality.. CHEAP!; I use my clip+ to play podcasts and I like to listen to them in Chronological order. I had to do some fancy stuff to Media Monkey so that the player would play back the files the right way.. http://www.anythingbutipod.com/forum/showthread.php?t=48100
Great sound, great feature set for player this small. Love using it when running, driving (with it clipped to my seatbelt chest strap, or recording lectures at University.; Would be nice if time/date could be displayed (perhaps when pushing the center button). The clip broke off of the player after 8 months, but the RMA coverage from San Disk is great and I had it replaced within 7 business days.
ease of use,like the drop and drag, i. I use mine in the gym does not get in the way just clip to your shirt and go to work. Has a great sound even with the ear plugs supplied with it. you have 4gb of space @ micro sd for more space under 50.00!!; so small guess you could mis place it.
Great interface, intuitive use, nice matte finish on back and glossy curved edges around the small device. Dont use the clip on feature that much but this thing is a perfect to take on trips. Really like the fact that it has SD card capabilities.; -cheap feel to the directional buttons, and a bit to light for my taste. -sometimes you have to go through excessive motions to get to the song you want, and unlike the ipod you have to go to the actual song playing and press pause to stop the music.
