i love that it has all that blackberry , apple , and win mobile don't have  .
totally impressed with this phone past all my expectations , we are being flooded with android phones but this is it , is very fast , no lags , no slowdowns , droid incredible needs to watch out for this phone , it might not a have a snapdragon but it is as fast and snappy as a droid incredible i know i return my droid incredible last week after playing with the my touch slide , htc sense expresso is excellent , ui is excellent , built quality is great , keyboard is great , browser is as fast as the droid incredible tmobile 3g is fast , phone performs really great , genius button and my modes is excellent feature , call quality is excellent no static no drop calls , go get one you wont be let down like the previous tmobile android phone except for the nexus one .
this is my favorite android phone the best smartphone i have owned , excellent tons of features , htc expresso sense is just awesome , this phone is very snappy fast , it has a arm 11 cpu chip but it performs like a snapdragon chip i know cause i had a nexus one a droid incredible , but i love the genius button my modes features , well built with a great keyboard way better than the droid keyboard , the browser is real fast just like the droid incredible the multitouch performs excellent comes with flashlite , the camera is decent but not as good as the droid incredible camera , overrall very fast snappy phone with tons of great features for some reason for most applications the arm 11 chip performs as good as a snapdragon plus you can easily overclock this cpu to 800mhz to 1  .
2 mhz by rooting it .
this is my favorite smart phone i had a nexus one a htc hd 2 and this phone perform better browser connections is faster , better call quality than these phones , htc sense espresso is awesome , my modes , genius button is great , it does have a snapdragon chip but the arm 11 chip performs just as fast  .
best android smartphone on the market  .
love this phone  .
nuff said .
the mytouch 3g slide is hands down one of the best android choices in terms of performance and usability  .
touch screen is accurate to a tee  .
pinch to zoom is a very nice add  .
sense ui is very convenient without hampering the straight forward android experience  .
the 3  .
4 display is vivid , bright and sharp  .
it's standard resolution is not a deal breaker  .
viewing youtube videos and other videos are a high quality experience  .
web browsing shows the speed of t    mobile's 3g service for it is lightning fast  .
i am able to go to mobile sites in milliseconds and full sites in 15 seconds max  .
the taking photos are excellent  .
the pictures can be customized , there is zoom and the flash is very very bright  .
call quality is very sharp and clear with not tinny background noise  .
the genius button is a nice addition which works very well , but in an environment that doesn't have a lot of noise in the background there is so much great about this phone that i can keep going  .
if there is a gripe is that the swype , though a neat addition , can be a hassle to use and feels gimmicky  .
other than that there are not any minuses overall , this is a great phone that runs the latest android operating system with smoothness and no hiccups until 2  .
2 froyo shows up  .
many have said that this phone cannot compete with the likes of the incredible and nexus one , but it sure does prove them wrong  .
it ranks well with the droid incredible with the added luxury of a key pad for those who prefer  .
it is t    mobiles best phone and one of the best phones on the market  .
i thought i'd found my dream phone when i bought the htc hd2 , only to discover that it is horrible  .
but the my touch slide is everything i is looking for  .
the physical keyboard is so great to have again  .
i bought the my touch 3g and have loved it , but the slide is everything i liked about the my touch and much , much more  .
i love this phone  .
updated  .
on jun 12 , 2010  .
had the nexus one before this , like the slide better  .
i don't notice a difference on the processors , though i do notice the slide does not need a soft reset every night like my n1 did  .
the keyboard layout is perfect for me , and i can see it being usable but all sizes of hands  .
naunce software can even understand drawls and lisps .
this is one of those phones where if you're just going off specs and trying to compare it to the higher end androids , and you decide not to buy it , you're sorely missing out  .
the photos , videos and specs of this phone simply do not do it justice until you see it up close and personal for yourself the first thing i noticed out of the box is it's rather compact size and pocketability  .
in my opinion it's the perfect size , not too thin or thick , extremely comfortable in the hand and has a very sturdy build  .
it felt much better to hold on to than the htc incredible , which i couldn't really get a nice grip on (too thin for my taste)  .
in terms of the hardware , the hard plastic with the chrome accents make it look very elegant , and the quality of the tactile keyboard is excellent , extremely comfortable to type on due it its spaced out keys two things i worried about after reading some reviews were the processor speed and the screen resolution  .
i felt because it didn't have a 400x800 touch screen or a 1gig snapdragon processor i would have an outdated , sluggish and visually unappealing phone  .
again , do not let the specs fool you  .
multitasking on this phone is great , i've experienced no lag , menus glide in an out very smoothly  .
the screen is excellent too  .
i've read that it was not as sharp or vivid as higher end phones , but i've found the screen to be pretty sharp and vivid , even for it's lower resolution this is a great phone for novice users but offers a lot to more experienced smartphone users , and it's keyboard and features will leave a lasting impact in the ever growing family of android phones .
it's a great phone and i love it  .
i'm not disappointed in my upgrade .
i had my doubts until i held it and played around with it  .
i've very tech savvy and this is a fun little phone    it does have a tendency to cater to a younger (twenty something crowd) being that it has the option to link into your twitter/facebook/other social networking site  .
but this phone is all about customization    gotta love android for that if nothing else    and you can really do whatever you'd like with it htc sense makes the fluidity of use    well just that very fluid no bumps or any other issues so far  .
the keyboard is a tab bit more consolidated versus the g1 phone's keyboard , but it's not too far off  .
fits well into my hands and works like a gem  .
the battery life will be a problem , but it's also my fault as i cannot put the phone down i do have a gripe    i hate that they changed the phone charger  .
it's not a mirco charger    i now have to go and rebuy a car charger and 2nd charger for my office  .
it does not affect how much i love this little gadget , but it would have been nice to not have to repurchase the whole lot of chargers  .
back to ebay i suppose lol .
i have had the following phones in the last year   mt3g , bb bold 9000 and 9700 , bb 8520 , droid eris , motorola droid , htc incredible , iphone 3gs  .
yes i have a problem  .
after one day of use , i think this one may be the best  .
call quality and 3g signal have been very good , severely lacking on the incredible and to a lesser extent the eris  .
did not like the moto droid keyboard , this one seems much more usable  .
despite not having a top notch processor , it feels very similar to the inc in everyday use  .
significantly more responsive than the eris  .
not quite as customizable as the inc , cannot use live desktops for instance , but not too big a deal  .
battery life so far exceeds the inc , do not know about the moto droid battery , been awhile  .
heard some gripes about the slide mechanism being rough or feeling cheap , seems fine to me  .
compared to the iphone , the mt slide to me is much preferable  .
t mobile service where i live is very good , at t and especially with iphone not good  .
love the android features and ability to customize device , and multitasking  .
sorry if this turned into a review of more than the mt3g slide , but makes sense to me to compare it to what else is available updated  .
on jun 6 , 2010  .
love this phone .
i am coming from a nokia nuron and android is by far the greatest mobile platform , this phone is amazing it is the fastest phone i have ever owned  .
the keyboard is great and the 3g speeds are better than that of the evo 4g , i am currently getting over 5 mbps which is awesome  .
best phone on tmobile because the samsung vibrant is a terrible phone .
this is a great phone for the most part but like every android , there is a battery issue  .
i came from the fender mytouch which is the worst phone i have ever had  .
the mytouch slide is a perfect phone for me  .
i love the hard keyboard and the look of this phone  .
it does everything i want it to do and more than i ever thought a phone could  .
would i recommend this to my friends  .
with out a doubt , yes .
i absolutely love love love this phone  .
the only problem with it is that there is not enough internal memory to store apps on and you cannot delete mundane apps that came pre    loaded on the phone in order to free up memory  .
i absolutely love the ui  .
super easy to use  .
cannot wait for android 2  .
2 so i can store apps to my sd card then this phone will be the best phone ever  .
finally found a phone i loved  .
so glad i unplugged myself from the icult  .
i took a leap of faith and left the iphone 3g behind and could not be happier .
i think this phone is highly underrated  .
i have been using it for about a month now , and grow to love it more and more  .
i am new to android , but have had blackberries , and an iphone 3g  .
this blows them both out of the water  .
highly reccomend  .
love the phone just wish some of the rumors of froyo update would have been true like it should have been out one week after release i understand that updates go through multiple test phases thats why im not writing to t    mo yelling wheres my frozen yogurt  .
the longer it takes them to bring on the froyo the better its gonna taste lol  .
i bought this phone out of necessity after my other phone's touch screen died it is a samsung behold (1)  .
lol  .
i had a 8320 (overrated piece of trash) before that while being very familiar with this phone , as well as htc's reputation for quality  .
i decided to buy this phone after a week of using it heavily ; i am happy with it i normally do not like to buy slider phones and i'll admit that i rarely use the slider on this one either it has zero wobble  .
it is fast as hell  .
i can use it to do everything i need to do and more internet is fast  .
everything is fast my fave's takes a sec to update  .
no big deal patience is a virtue download the ultimate faves app  .
it is amazing  .
the only problem i have is that the battery door in the backs gives a certain feel  .
reminiscent of my old bb curve  .
but i'm not worried about it too much the phone feels solid  .
if you haven't heard of it , get one  .
if you haven't got one , get one  .
if you do not know much about android , definitely get one  .
if you want to start slow , buy a used g1 , get used to the glory and then upgrade to the slide updated  .
on jul 15 , 2010  .
i wanted a great phone that was not the hd2  .
i got an amazing phone that was not the hd2  .
and imho , t    moble does not really have any other good phones besides the mytouch 3g , hd2 , and the g1  .
the sliding keyboard is just what the original mytouch 3g needed and its just a hair bigger than the mythouch 3g  .
the genius button needs a little work , but its still really cool and nice to have  .
love love love the android 2  .
1 in it  .
the swipe is really good i whish the touch screen worked a little better , but i'm nitpicking that  .
some apps i'll never use (stocks , app pack , faves , friend sreem , mp3 store and the like , peep , quick office) and cannot get rid of  .
i mean , seriously , there's 3 music apps in it  .
who needs 3  .
but to be fair i can uderstand some ppl using these , even if there's better ones out to use instead of these best  .
phone  .
evah  .
its a great phone and i love it  .
much better than the motorola cliq  .
overall , i love this phone  .
i've used pdas for years and moved from those to a treo 600 and from that to a blackberry 8320  .
this is by far the best smart phone i've ever used  .
the battery life doesn't compare to my blackberry and i'm hoping that the froyo update improves that i like that i don't have to jailbreak this to use any apps i want on it  .
the android market , while it doesn't have the sheer number that the appstore does , has apps that work and seem to be reasonably priced  .
maybe there's a place for quality over quantity as i think most of the 150k apps in the appstore could probably be called crap the camera is pretty good for a phone  .
if i need a camera and don't have my point    and    shoot available , this one actually takes good pictures  .
would 8 mega    pixels or 10 mega    pixels be nice  .
sure , but a phone is not going to ever take better pictures than a dedicated camera or better video than a dedicated video camera  .
it just has to be good enough for the immediacy of the occasion my biggest gripe is that the g    sensoronly works in one direction and not universally  .
if you turn the phone 90 deg ccw on the home screen , nothing happens  .
if you've got it sitting like that and expose the keyboard , the screen rotation changes to match  .
why cannot the screen rotation change when i have the keyboard closed  .
when calibrating the g    sensor the app that does that clearly shows that the sensor knows it's being rotated in different directions  .
this is really a software issue that should be corrected  .
the charger port is on bottom , so when charging the phone in your car it will be upside down (unless you've got something to hold it upright) and the display will be upside down because it won't rotate why did htc have to go with micro    usb  .
why  .
i have all kinds of mini    usb chargers and cables laying around and now i have to start collecting micro    usb  .
is this really necessary  .
i wrestled with this phone and going with a htc hd2 on t    mobile and just couldn't bring myself to give up the physical keyboard  .
if that makes me old fashioned , so be it  .
i like being able to actually hit a key and not use a virtual keyboard  .
the physical keyboard is more accurate and easier to use  .
i occasionally use the vk (my wife never uses hers) when i do not want to slide the screen up .
performance is sterling after the first few days the phone's biggest strength so far is its capacity to simply do everything it is set to do  .
i beilieve that's where all the excellent reviews come from  .
there are certainly the newer units hitting right now with lots of attempts at eye candy but they seem to push beyond the hardware and come up short  .
android platform shines in effectiveness and user interface on this unit  .
some have said the genius buton is lame , i think it is a really effective feature  .
the other new features provided by htc sense improve on an already effective interface well without over reaching capabilities of the phone the shortcuts seem to come in the housing  .
i would prefer a rubberized housing and a bit more rigidity on the two pieces making up the screen and the keyboard halves  .
much of this can be made up with a good case or shell most likely  .
that said , there's no actual hit to the performance from the housing the keyboard has a nice feel and it took me all of 1 text message to be accustomed to its 3 rows of buttons  .
the screen provides excellent sensitivity and reaction to commands  .
the pieces fit well together it's more of a feel and sensation i'm looking for that come up short with this particular plastic chassis when compared to the now antiquated g1 i used extensively   all functions are improved significantly (as they should be by now) , larger screen while becoming much thinner  .
new htc sense enhancements work well for tmobile , i compared this with a hd2 and with info available on the coming samsung galaxy s rumoured to drop any day in july  .
unless the galaxy can show the same stability in function , this is a great way to go  .
the hd2 seems to have a great eye candy appeal and you can even do a fair amount with the windows mobile 6  .
5 os if you're willing to work tirelessly and invest a tremendous amount of effort for an os destined for replacement within 5 months  .
you can also get an unlocked droid x or other i guess to combine the android os and new hardware on tmo but this purchase for a mt slide is for function and it hits more than perfectly  .
to be honest , i also did not want to become a slave to protecting and modifying some newest gadget on my hip as much as have an effective tool working on my behalf android is the platform to go with in my opinion with nothing but more and more expansion in options this phone seems to be capable to keep up with a great deal more potential as the apps continue to evolve if this phone holds up to use the next 1    2 years , i would consider it the honda of the industry with what seems to be an excellent balance of form and function  .
it prioritizes smooth function and a great balance of size and features  .
there are fancier and glitzier pieces of hardware dropping but i am dubious of some of the performance for some of the newest feature claims  .
i needed a solid smartphone with great performance first (aka it simply does what is says it will do every day) , better than average function (more than enough features in the hardware with the android platform to keep it moving forward) , and one i do not have to spend worship time getting it to do what i needed while still being versatile enough to customize (that android thing again)  .
how's that for balance  .
call me a fan .
contrary to cnet's reviews , this phone is more than capable of competing with the so    called high end android phones  .
i would definitely not call this an entry level phone  .
it's tons of features require time and patience to wade through but in the end will provide you with a great user experience .
heres a phone that i is not going to even consider and just wait until oct/nov to purchase a higher end android unit  .
cnet's review called it a beginners phone but after using phones such as the g1 , the cliq , mytouch and most of all the phones offered by android on t    mobile , i would choose this phone over them all , even the nexus (because it does not have a physical keyboard only  .
1 android is phenomenal  .
smooth  .
much easier to use and navigate than the previous versions  .
check how you contacts with their pictures scroll oppose 1  .
5 and 1  .
6 android  .
leaps ahead  .
very pleased and t    mobile should push this unit harder  .
its a winner  .
over the last 6months i have owned the hd2 , the cliq , the htc touch pro , iphone 2g , g1 and this is by far the best  .
the only other in my opinion that compares is the nexus one if that had a keyboard it would be my favorite but as it does the mytouch 3g slide is the winner by far finally i am happy with a phone and will keep it for a while resolution is fantastic , camer with very bright flash is wonderful and ove all my android apps this is definately the best phone from tmobile in a while   ))  .
i would have given this 5 stars if the battery life was not so weak  .
i converted from vzw for this phone after not being able to find a phone with a physical qwerty keyboard that i liked  .
i went to tmobile and played with this phone and then vzw and played with the lg ally and i found the ally to be cheaply made (it felt that way to me)  .
i immediately went back to tmoble and grabbed this phone i love it  .
i didn't think i cared about the swype technology but i cannot seem to stop using it  .
it makes text messaging a breeze  .
like the video says , it takes a little bit to get used to the fact that the numbers share keys on the keyboard and it takes a bit of getting used to where all the symbols are but in general it is a great phone  .
the keyboard is nice    the letters are spaced well so it is easy to text by touch and the phone feels like it is well    made and durable which is something that i always look for in a phone  .
accidents happen and i like to know that if my phone falls out of my pocket it won't shatter on impact  .
the facebook app is a little slow to update but works quite well and other than that it has all of the standards you would expect with an android phone  .
i is really excited about this phone and am really glad i did not cave early and go with something else  .
i would recommend it  .
my boyfriend has the droid and even though he loves it , told me last night that he is a little jealous about my phone because he really liked the feel and especially the swype technology  .
the speech    to    text works very well too again , the only downfall i have found so far is that the battery life is a little short so make sure you get a car charger and another one for the office or travel  .
other than that i will be recommending it to people and i'm sure there will be plenty of converts from people who are sick of the iphone and other phones without a physical keyboard or people who are sick of phones with horrible physical keyboards (the droid and the like) .
been using this phone for a couple weeks now i absolutely love it  .
while the genius button is a bit slow , the dragon dictation (talk    to    text) that powers it is off the hook super accurate can be used anywhere text is entered  .
the mymodes is pretty cool in changing the theme settings for work , personal , church , etc  .
(tip   location    based mymode switch drains the battery a car    charger is highly recommended for this phone) the tech    heads who   that it's lacking a 1ghz processor don't realize that the vast majority of consumers don't need it  .
true , it would've been nice , but i'm managing just fine without it while i personally do not really use it , many will find the faves feature is a cool simple way to keep tabs on all the happenings of your closest peeps family  .
faves notifications overlap with standard notifications , which is no biggie , but hopefully gets fixed in an update (at this time , the phone has yet to be released) most reading this already know the perks of android 2  .
1 but one of my favorite features is google navigation for (free) turn    by    turn voice navigation  .
fades in out perfectly while listening to music overall , this phone is amazing and i highly recommend it just know you'll want a car charger if you plan using this phone as it is designed (phone , gps unit , music player , social networking , etc) .
i've had and tried numerous smartphones over the years and this is the best one i've used yet  .
i think the sprint evo and the droid incredible are a little better hardware but not enough to offset the cheaper service plans of t    mobile  .
i is able to get more than double my minutes with unlimited data for slightly less than what verizon or sprint were offering  .
the range of apps available more than meets normal business needs and the performance with multiple apps open is plenty fast  .
it's a little heavy and battery life is an issue  .
i agree with other who have said , it's a winner .
as a first time android user i is pretty amazed  .
now that i pretty much know my phone inside out im not that amazed no more  .
android 2  .
1 has a numberless of errors and bugs that of course prevents the phone from functioning basics like a regular cell phone would  .
also applications that i never open or use like amazon mp3 keeps running on the background like many others even if you kill the applications , therefore , draining cus out of your battery  .
this phone has too many bugs that causes basic operations like messaging and the android os itself to force close very often  .
even after receiving an ota update from tmobile addressing some problems including extending battery life , i cant see any difference in performance at all , quite the opposite , it lags more after the update  .
hopefully the new update will fix these problems .
the bottom line is if your a social networking freak this phone is for you  .
a little cons here and there but i love the phone over all  .
i think its better then the iphone .
how is this phone compared to the regular mytouch  .
that is currently what i have it is terrible  .
does this phone lag  .
how is the real keyboard  .
, i hate the touch screen keyboard  .
i know the camera sucks on the one i have it sounds like this one does as well  .
how about doing multiple things at once  .
updated  .
on sep 13 , 2010  .
the mytouch 3g slide is an interesting phone to say the least  .
it's basically an upgraded regular mytouch with a physical keyboard at first glance , but the reality is this phone is much better than previous mytouch offerings my first thought upon turning on the phone is the screen  .
i'm used to amoled screens thanks to my nexus one , but i is amazed at the brightness , crispness , and overall wonderful color of the screen for the slide  .
it only comes in at 3  .
4 , but i never felt as though it is too small  .
the top coating on the screen gives it a slick surface that's excellent for a touch screen phone the other hardware aspects include the physical keyboard which i found a bit lacking  .
the back    lighting for it is a bit weak and i'm not a fan of the symbols placed directly next to the numbers or letters  .
this often confused me as to where i is typing and having difficulties finding the symbol i wanted  .
however , the tactile feel of the physical keyboard is very nice the processor on the slide runs at 600 mhz , but you wouldn't initially believe that as the phone's performance is unbelievably snappy  .
i rarely seen many instances of slowdown  .
the most notable occasions occurred when browsing the photo gallery and installing apps from the marketplace  .
other than those , most tasks loaded within seconds the earpiece for the slide is very good  .
i didn't have any problems hearing the conversation  .
however , the speakerphone is abysmal  .
voices and sounds come out garbled  .
while the ringer is load and clear , using it for phone calls is almost impossible camera is another weak area for the slide  .
photos look grainy and the flash on the camera overexposes images making the subjects look like they were hit by a spotlight  .
video for the slide is decent  .
two other issues in the realm of the camera were the phone's realtively small size and physical camera button  .
the small size often leads to accidently covering the camera lens and microphone  .
one has to be careful when using it  .
also , the camera button is in an awkward position , right against the sliding mechanism , making it difficult , but not impossible to use in software , the slide runs a modified version of android 2  .
1 , with 2  .
2 in the near future hopefully  .
the custom ui is a modified version of sense that has my modes , allowing you to customize the look and feel of the phone based on preference  .
i didn't use it , but it is a nice feature to have  .
the icons look like they are almost encased in a bubble  .
this did not bother me , but some might not like the look of it  .
t    mobile has also included a little area in the notifications bar that shows you your most recent applications used  .
other than that , most of the usual sense mods are here including the clock/weather widget , friend stream , and others  .
if you've never used an android phone before , these widgets can be customized to show things like facebook updates , news , contact information , and the like  .
there are also other widgets that can be downloaded in the widget menu such as a battery widget for determining remaining percentage  .
overall , i like the look and feel of espresso , the name of the custom ui one downside is that this phone does not have access to live wallpaper in spite of the fact that it runs 2  .
all other aspects of 2  .
1 are there as far as i can tell  .
still , the official reason is that it was not in the custom ui build , but they've never said that the phone cannot do live wallpapers to my knowledge a few other software related mentions    .
swype is preinstalled and works great  .
if you get bored with the physical keyboard or just want to try something different , drawing words with swype is , at times , even faster than normal typing  .
i enjoy it very much the genius button that's advertised for this phone works quite accurately though it is sluggish to start up  .
you have to press and hold the button until the screen says that it is listening the web browser is great  .
on an average 3g connection (600 kbps    800 kbps) , pages loaded very fast and text is clean and easy to read  .
the web browser itself has elements of sense ui in it like the bookmarks menu with its 3d card flipping effect  .
all in all , a good experience app space is a bit limited though  .
hopefully , froyo will increase the rom size and let apps2sd benefit the slide because i'm already running out of space for my apps  .
granted some of them are big , but the big ones even say they can go to the sd card which would save me space battery life is above average  .
i found i could feasibly make it though 1 day to 1 day and a half which is pretty good for an android phone  .
modifying settings might may it possible for a long time between charges overall , the mytouch 3g slide is a good buy for someone that wants to upgrade or someone new to the android experience  .
this is no superphone , but its performance and ease of use make it a worthwhile purchase .
more pros   it comes with 8gb's of sd memory , which can hold a ton of information whether it be photos , videos or data  .
it also comes with a 5 megapixel camera and a built    in flash for moments when you need it , unlike most other phones on the market today  .
and with the new android 2  .
1 os , owners can take advantage of nicer apps and game features that the 1  .
5 os could not handle  .
another nice feature about the slide is that it comes with a 3  .
5mm headphone jack and a new mini    usb port that will become the new standard in all phones in the near future  .
a nice touch that htc is kind enough to provide users of this phone  .
so no more having to find the right charger anymore  .
lastly , the slide    out qwerty keyboard is a nice touch that its predessesor did not have , allowing the owner to decide whether to use the touchscreen keyboard or go with a wider and easier to use physical keyboard more cons   the fact that the mytouch slide comes with 8gb's of sd memory , but are not able to install apps and games onto it , the owner may quickly find themselves having to decide which apps and games make the cut , and which ones have to go  .
personally , i love having lots of apps and games installed for those unexpected moments where you have time to kill and you want to have lots of choices on how you want to kill that extra time looking up some informating on the web , downloading and listening to music , or playing a variety of games  .
also , having a 5mp is nice , but not all of the photos come out looking like it came from a 5mp camera  .
so here is one example of why it can be great to have 8gb's of sd memory (for taking lots of extra just    in case pictures in special situations) in a nutshell   the phone is great and well worth the price  .
and for all you mytouch non    slide owners out there , if you decide to take the plunge and upgrade , you'll be be glad you did  .
this is a top of the line smartphone and android 2  .
1 is really the star of the phone  .
the screen has the same specs as the iphone 3gs andseeing as how the motorola droid has a 550mhz processor and the mytouch 3g slide has 600mhz , the slide wins hands down  .
so i really look at this phone as a cross between to of the best phones out there , the iphone and moto droid , but in it's own league though it's processor is not the new standard of 1ghz and the screen is only 3  .
4 it's still plenty fast and and the screen is a beautiful display  .
and this is the best phone t    mobile has to offer on the con side of things however , it's battery life is substantially subpar and barely last a full day  .
i also notice that genius button and camera button you have to press down pretty hard for it to respond and the genius takes quite a few seconds to get up and running  .
i personally do not like myfaves , though i'm also not a big social network user either so if that is your thing then you may love myfaves my biggest con is that i am having an extremely hard time trying to set a different notification for each of my separate messaging accounts  .
with this phone you are unable to select a separate notification for you pop mail accounts and it is the same as your default account  .
this again is just a personal pet peve but should not be a deal breaker  .
i have also had trouble with the set ringtones for my contacts going off , as most of the time the default ring will ring instead of the assigned ringtone for that contact overall , i believe this is an excellent phone and will please most anybody's needs , however it may be better for you to wait a few months till they drop the price because this phone surely is not worth $429  .
99 or $179  .
99 (depending on what plan you have) .
this may not be a flagship android device like the evo 4g but it is an excellent phone nonetheless , i recommend this to anyone who has t    mobile  .
i almost missed out on getting this fine device because i almost walked out of the store with a samsung behold ii which would have been fine but no physical keyboard  .
i have always preferred real keys for texting  .
the multitasking is superb , is able to run navigation , and music at the same time with no issues whatsoever  .
that may not be a big deal to some but when you just graduated from an iphone with several restrictions to android you appreciate that  .
i have to say that if the phone is this good with android 2  .
1 , i can only imagine how good it will be since its eligible for 2  .
2 which is supposed to have greater features and performance the music player is easy to use and sounds good when you use decent headphones  .
the phone also has a decent camera though it is far better taking outdoor pictures  .
web browsing is a breeze and requires little effort to browse easily  .
the mymodes feature is genius since your phone can be a business phone at work and a totally different kind of phone at home the only glaring achilles heel is the battery life  .
it drains faster than i would like  .
also the buttons on the bottom front of the phone can be a little too sticky but that may be b/c the phone is new and has not been broken in yet i have always admired android phones since several people in our firm have them from different carriers  .
i had to sync them to our exchange server so i got to know the phones a little bit  .
i had to wait til my contract is ready for renewal to get this one  .
my wife wants one so i guess i'll be heading to my t    mobile store for a second mytouch3g slide in red , mine is black  .
i have been a crackberry user for years  .
no more this phone has everything the other android phones are missing .
i had a blackberry curve before i got this phone , and the mytouch slide is by far better  .
this phone is much faster than my bb ever is or could be , has more features and customizable options , and is much more user friendly  .
i love android and would 100% recommend an android device to anyone  .
i is a little apprehensive at having a touchscreen device , but i'm very happy with it  .
it is very easy to use and very responsive  .
i don't find the genius button very useful  .
i've tried using it to make calls while driving , but the voice recognition is so slow to start and never understands the name i said  .
i head it taes time for it to get used to your voice , but i've seen no progress  .
it's generally less distracting to just dial the phone number while waiting at a stoplight  .
the voice    generated text is a lot of fun to use  .
not because it's at all accurate , but because you never know what it is going to type after you've spoken to it  .
all in all , not a fan of the genius behind that yellow button i've had this phone for about 3 months now and up until last week i had not had any problems  .
i now have low phone storage space alerts on my device which prohibits me from sending/reading text messages and emails , uploading videos to facebook or youtube , downloading new applications , etc  .
this is how i found out that all applications , photos , messages , emails etc that are downloaded are saved to the phone's internal memory and not the 8gb sd card  .
i have a full internal memory and 6  .
5gb of free space on the sd card  .
apparently there is no way to fix this until android 2  .
2 is made available for this device  .
that is supposedly going to allow apps to be stored on the sd card  .
i had to delete all of my text messages and delete 5 apps just to get the functionality of my text messages back  .
i still cannot send or receive emails and still have the low storage alert  .
i think that is a huge flaw with this device  .
in an instant all the functionality of my smart phone is taken away  .
i'll let you know if the 2  .
2 android release fixes this problem .
i've had this phone for about 2 months  .
i is deciding between the iphone 4g , sprint evo , verizon droid , and this one  .
since i'd rather have the physical kb and needed a gsm phone , i went with the mytouch slide call    data quality is very good in nyc  .
works great as a phone , websurfing/social networking device , and personal organizer  .
the wifi antenna is good while traveling  .
music sound is very good through a decent set of earbuds  .
comes loaded with good softwares and there are many more on the android market  .
use doubletwist to sycn/import with itunes library and other files  .
(i wish the sync feature is more polished to compete with itunes/iphone  .
smartphone features are great  .
google and facebook integrations are easy and very useful  .
personally i dont find the fave stuff that useful but many users seem to like it keyboard has a great feel  .
swype feature works wonderfully  .
(now i cannot live without it  .
the iphone has none  .
) the genius button works well transcribing my commands photo    video quality is so    so  .
i also really wish i could install more apps on the sd card as the phone memory fills up quickly  .
there are great apps out there  .
would have been perfect if i could store maps on the sd card and could run map and gps offline  .
(my old nokia could do this  .
bottom line   i dont know why most reviews say it is a mid tier phone  .
maybe the processor is not the fastest but it feels very snappy to me and all the features (actually useful ones) are there  .
almost 5 star rating except for the cons above  .
