exemplary performance and with a rebate for $50 off    result   a perfect wide    screen for less than $200  .
am very happy with my purchase of the viewsonic va1912wb  .
i have two of theses , my wife is an arquitec/drafter and she works with graphics and all those 2d application , but the real magic came when she plug the dvi cable & wow  .
i run to the store and buy one for myself  .
with a midrange video card (ati x600pro) bf2 is running far better as is with my envision lcd , the color and graphics are of the charts and im very happy to use the full potential of my video card .
i bought this model mainly because one of my roommates had it and have been impressed ever since it arrived  .
in response to the post about resolution , the 1440x900 resolution has not hindered any of the games i've played with it  .
you can adjust the settings if needed to adapt  .
the picture is crystal clear and clean  .
i found this on newegg  .
com for $204  .
00 and they seem to run the special every few days .
i got excited about the improved quality of an ldc monitor when i got a 17 imac  .
pictures were prettier , text is sharper so i decided i wanted an lcd monitor for my pc  .
i found this monitor in a line    up at a local pc retailer and felt its quality is as good or better than the more expensive ones  .
after doing my homework on the web (the cnet review) , i found an online retailer with a great price  .
later i saw that it made cnet's list of the top 5 wide    screen lcds  .
it's only about 5 times cheaper than the most expensive one i have it side    by    side with my imac and i feel it is much better  .
maybe the 17 vs  .
19 is not a fair comparison but i feel the text is crisper and the colors are more saturated and brighter  .
i happened to have some pc speakers that came with a sub    woofer  .
i connected the viewsonic's speakers to the sub    woofer and that helped make the tinniness go away  .
for the price , i cannot imagine a better monitor  .
btw , i bought two others for my other pc at home and one at work  .
one of these has a failed pixel  .
i wrote to tech support and is told that up to 5 failed pixels would be acceptable to them  .
they said they'd send me a replacement but the replacement could have some failed pixels too  .
(this is a paraphrase)  .
that's a disappointing quality policy .
an unbelieveable monitor for the price  .
is somewhat concerned about my current system capabilites (video card) of pushing this thing  .
but the difference is unbelievable when compared to my old fp (2 yrs    then pop)  .
i made my decision from reading these reviews , so i felt the need to comment here  .
be careful , of the prices you see listed here if they involve viewsonic rebates through the retailer  .
if you do not buy alot of computer equipment , such as i , do not buy from office depot for instance , because the rebate program is so confusing you will make a mistake and end up overpaying greatly  .
($75 to $100) i had thought the rebate horrors had gone by the wayside after the hp episode .
actually , this monitor works great for me  .
i'm a graphic designer and my wife bought it for me for christmas  .
i'm actually planning on buying a second viewsonic 1912wb  .
pretty cool now that the price has dropped .
use caution when buying from a matter of fax  .
about a month ago i bought a 19 inch lcd monitor from amatteroffax  .
com  .
the monitor shipped in time and is in good condition  .
however trying to return it is a nightmare i paid $18  .
50 out of pocket to return it to an address in texas that they gave me  .
later it turned out i had been given the wrong address and it should have gone to new jersey  .
then it took no less than two weeks after the monitor arrived at amatterofaxs warehouse for them to process it as being returned throughout this ordeal when i called to inquire about the status of my refund , the staff at amatteroffax is rude over the phone  .
they would transfer me around to other staff , put me on hold without warning , and showed absolutely no interest in refunding my credit card for the retuned monitor  .
i would often be put on hold for upwards to 30 minutes at a time  .
imagine being out $220 for a monitor that you returned but never got a refund for jeff , who identified himself as the director of the company is especially rude  .
he is demeaning on the phone , and made zero effect to locate my returned monitor at the companys warehouse , or issue a refund  .
he would promise to call me right back , and never call  .
i could tell he is avoiding my calls because he didnt want the company to have to pay the refund  .
this went on for weeks  .
after the third week i asked him how much longer it would take and he told me he didnt care  .
this from the director of the company  .
to this day , i still have not gotten my refund  .
i wish i had kept the monitor to sell on craigslist in conclusion be very careful with amatteroffax  .
they really do not care at all about thier customers  .
use a reputable on    line dealer instead .
this monitor has same native resolution as the apple macbook pro 15 inch model , and it's a lot cheaper than the apple 20  .
the screen is bright and clear and aside from lack height adjustments i have few complaints i have never had a problem with any viewsonic monitors but hesitated in purchasing this one because in the last year , 4 out of 5 viewsonic lcd panels we had at the office died after a few months  .
in viewsonic's defense , they do readily replace the ones that go down .
i've had this monitor up and running for about an hour now , and all i can say is wow what a difference  .
this is a whole different world than that of my 17    inch crt i've been using for the past 3 years or so (which i always thought is pretty good by the way)  .
setup is fairly easy with no major problems  .
i had to restart my pc twice and actively choose to continue starting windows as normal the second time because it recognized the new monitor and was not sure it is compatible with windows xp  .
but after that , it is a breeze  .
viewsonic's software installed and automatically configured my nvidia geforce card to be able to display the optimum recommended resolution of 1440x900  .
believe me , this is the way to go  .
the difference from my native resolution to this one is striking  .
sharp lines and vivid colors are immediately evident , and i'm only using the analog connection  .
after reading a few other reviews saying the display is even better using the dvi , i'm considering upgrading my graphics card and getting one with a dvi output  .
the auto configure mode worked great  .
the only thing i've changed is the brightness level  .
it is set to the max right out of the box and is a little much  .
i've reduced it way down to about 25% , and it is still very bright and crisp  .
nice to know there's room to spare if you desire  .
some have complained about the plastic stand  .
i'm not saying it couldn't be a little sturdier , but it is just fine for me , and supports the monitor well  .
after all , you're not going to be doing pull    ups on it or anything  .
as for the built    in speakers , i cannot comment on them because i'm not even using them  .
i've got a 2  .
1 setup for my sound  .
nice to know the option is there for those without another option though do not know what else to say except that this is one sweet display for the money  .
we actually got 2 of these (one for me and one for my girlfriend) so they'd look better together in our office  .
if you've been on the fence about upgrading to a flat panel , i'd strongly recommend taking a hard look at this one  .
better hurry though  .
i noticed the price had already gone up $5 just since we ordered ours  .
i found the best price at pc nation that included free fed    ex 3    day shipping  .
they were great actually got them a day earlier than promised  .
i'd recommend going to www  .
pricegrabber  .
com to find your own best price .
for the most part , i have been very pleased with this monitor  .
the response time is excellent and it is delivered with zero dead pixels  .
the monitor does , however , have some issues i use the monitor with two different pcs ; one with an ati radeon card and the other with an nvidia geforce card nvidia's software provides an easy    to    use , accurate gamma correction tool  .
ati's does not , and it shows  .
the pc with the nvidia card has noticably crisper text than the one with the ati card in any case , colors and images are vivid on both pcs and , for the money , you'd be hard    pressed to find a better wide    screen monitor i highly recommend it .
this is my first lcd display  .
i would have to say its a night and day difference between my 17inch crt monitor  .
i always have been a believer and owner in viewsonic's products  .
this is one great product with a decent price  .
worth every penny if you ask me  .
well it is time to upgrade that old viewsonic crt  .
first bought a princeton 19 lcd  .
returned 3 units because of bad pixels  .
(i guess they figured people wo not notice or somebody dropped the load  .
) and then i found this nice 19 (wide screen) at the same exact price  .
never looked back  .
no trails on fast motion which is my concern as i use it for 3d animation  .
it's a keeper .
ok for a user just looking to surf the web occasionally or send email , but not for somebody that uses the computer extensively  .
i would recommend you spend more money and get a better monitor jason  .
www  .
jasonlevy  .
com  .
i took it back because i could not get any life out of the image  .
whatever tweaking (contrast/brightness et al  .
) i tried , i could not see things and shades of colour that i can see on my old samsung lcd  .
it is disappointment because my previous experience with viewsonic put them at the top and the format is perfect for my needs  .
is a good monitor , when it's working , but i think any lcd monitor should last more than 20 months with low to medium use , (time the monitor is actually on is 1 to 3 hrs a day)  .
i have always liked the viewsonic brand , so i is shocked when this one quit working .
i purchased va1912wb 5 months ago and is pleased at first  .
but then i noticed a light bar at top of the screen  .
this bleaching effect is not visible while i work as it is exactly where the window bar and menu lines are  .
but it becomes apparent when i'm looking at the desktop or watching dvd movies  .
it is as if my screen is scratched and the scratch is getting lighter and more prominent  .
it turns out this is what they call image burn (image persistence)  .
i've never seen this effect until with this lcd  .
so you know i don't do anything extreme with it , i work during the day , turn it off during night , and have screen saver running during the day when i'm away from the desk � so the image burn problem with my viewsonic va1912wb is definitely due to poor screen quality  .
i talked to customer service and it would take them 2 weeks to fix/replace the monitor once i ship it to their repair center  .
so i either have to put up with this light bar and hope it doesn't get worse , or i have to buy a new monitor , ship this one at my cost , and wait 2+ weeks for this one to be repaired � i do not like either options btw , just recently over thanksgiving the monitor is off for 5 days  .
when i came back things did get a little better but the image burn promptly came back within a day or two of use  .
my recommendation is stay away from this model  .
viewsonic is probably skimping on quality to bring the price down .
Sharp Picture, slim design, lots of settings. Speakers integrated.; Akward Connection Panel. Sound Quality could be better.
Excellent color, excellent clarity, easy-to-use controls, great driver; Speakers are a little tinny, Viewsonic's quality criteria
Excellent response time; no ghosting. Vivid color; Takes a fair amount of adjustment depending on video card
Neat size and great format; Muddy image
Widescreen aspect is great; sharp and vivid display; aesthetically pleasing design.; None so far.
Picture sharpness, plug in and it is ready to go, widescreen; Height adjustment
Lightweight and Viewsonic brand, dvi cables included; Plastic cover for the hideout cables, no height adjustments
Cheap, very clear and true picture reproduction, contrast ratio; no problems every things works great!
Cheap, very clear and true picture reproduction, contrast ratio; No wall hanging upgrade option, Fixed base
Clear bright screen, decent warranty, Digital and VGA cables included; limited adjustments, Possible reliability issues long term
Nice wide screen, bright colors, lots of room for programs.; Sound isn't that great, and had to buy new video card to support the high resolution
