i'm happier with this recorder than any i had in the past .
this is a great unit for us folks who want hdtv time shifting but dont have cable/sat company dvr  .
you will lose ondemand from your cable provider  .
while not a problem for me , (i rarely used it) others can make due with amazon unbox , youtube , and podcasts .
pay no attention to the negative reviews from ignorant folk who've never used one of these boxes i is a happy tivo series 2 owner for over a year before this unit came out and it is definitely worth the wait  .
hd recording plus the smart , versatile , easy to use tivo interface are alone worth the price  .
my 79    year    old mother , who could not program a vcr for a million dollars , uses this tivo like a pro  .
we have the unit connected to antenna only and the picture quality generally exceeds the quality our neighbors get with cable dvrs  .
being able to record two programs at once from any combination of sources (dual atsc or dual ntsc tuners or dual cable cards if installed) is another plus  .
the icing on the cake is the ability to play photos and music from my computer , as well as movies on demand from amazon unbox , on the living room tv by simply pressing a few buttons on the remote all that said , there are a few caveats  .
room for only 20 hours of hd recording is insufficient , especially with multiple viewers in the house  .
without an inconvenient work    around , the unit's esata port only works with the tivo approved and marketed 500 gb my dvr upgrade drives .
as the owner of two series 2 tivos , you could say that i'm a believer  .
in my pre    hdtv days , and no    pay channels , these worked great via analog cable signal  .
however , when it came time to upgrade from 27 tube tvs , research is necessary i have verizon's fios service  .
overall , even with standard set top boxes (going through the series 2 tivo) , the picture clarity is much higher than i had with comcast , both digital and analog signals  .
this baseline is what i'm evaluating the tivo hd versus the fios motorola hd set top box and dvr (which a number of my friends have , with similar plasma screens) the tivo itself is a piece of cake to set up  .
the interface is just as easy (my mother , who struggles how to get solitaire to open in windows , uses tivo effortlessly)  .
the picture quality is top notch  .
the features are great    storing shows on a desktop computer (if you have something you want to keep for eternity or burn to a dvd for your own personal collection) , streaming music , downloading video blogs , scheduling the tivo to record something remotely (i use this all the time) , etc the issue lies with the dreaded cable cards  .
the cards themselves are not the problem    the cable providers cannot (do not) get a reliable supply of functioning cards    but more importantly , their techs have not the slightest clue how to make them work  .
i had one card that would only pull the analog signal    four techs came out trying to fix it    wasting hours of my time and the cable company's time  .
ultimately , after going through many layers of technical support on the phone with verizon , the problem is that the home office did not turn the card on with the right signal  .
it is possibly one of the most frustrating and annoying processes to go though  .
this is no fault of tivo    solely verizon in this case    but read up on the tivo community forum how to install the cable cards  .
i wish i had    would have saved me hours upon hours the other negative is the additional cost    however , once you account for the lesser cost of the cable cards , the difference is minimal (buy a year at a time subscription and save money)  .
overall , tivo hd is completely worth it over the cable company's mediocre dvr offerings .
having been a long    time tivo user and fan , i is afraid of having to spend $600+ to make the move to hd  .
fortunately , this unit came along and made the move significantly less expensive using this unit is not terribly different from previous non    hd tivos  .
the most significant difference is the switch from an interface with a cable box for the inclusion of cable cards getting the cable cards set up took a bit longer than necessary , only because the comcast tech did not know what he is doing  .
but once they were installed , the unit is good to go i do miss comcasts' on    demand services , especially the option to watch hbo shows and movies without charge (as i'm currently an hbo subscriber)  .
but the sacrifice is worth it for the tivo interface and ease of use comcast is touting their own tivo    interfaced cable box , but i have read online that it is incredibly buggy and sluggish  .
for the time being , i'm quite happy with my tivo hd .
cable card allows multiple channels not only to record and watch but you can also play/pause and flip back and forth between live tv , it's great  .
last night i watched the national championship game , got to speed through commercials and down time since i could pause it when i caught up to live tv , flip to one of my shows on cbs/abc , watch that show until a commerical and flip back  .
is so amazing to skip past all the boring stuff you cannot access on demand or pay    per    view but you can still get a cable box and plug it in to a different input on your tv if you really want that , which gives you even another channel of flipping i have only had this product for 1 1/2 weeks now , but i is at home sick for much of that time , and i love it , got to really enjoy it  .
think i will buy one for my bedroom now too .
it's to bad i had to rummage through the ignorant tivo hater reviews of people who didn't have or even try the product to find real reviews i did , and i'm glad the tivo is installed by my cable company in about 30 minutes , card and all  .
it is linked to my wireless router and updated in another 15 mins  .
the tivo remote is linked to my tv as well as my receiver in no time at all (literally , 1 min for each) it incredibly easy , although i must admit , my wife is a wiz with the tivo now i do not have to bypass the tivo to get an hd show off the cable box because there is no cable box  .
one set of cables from my tivo to my receiver  .
one set from my receiver to my tv  .
one remote for everything they even transferred my product lifetime subscription from my original tivo to the hd box .
it took tivo some time to make it happen , but with their latest software updates , tivo 2 go functionality is back , along with all the functionality i used in my last tivo the tivo hd is a must for me , since i could not give up watching my shows when i wanted to get hd  .
tivo's normal fast forwarding through commercials and time shifting are great  .
and hd content with 2 tuners works out even better .
i've been using 2 original sony series 1 tivo units for over 5 years  .
i decided to buy this hd unit when tivo offered a transfer of the lifetime service from older tivo units for $199  .
the unit is very easy to set    up , and the cable company (cox) is able to add 2 cable cards with premium and hd service in less than 30 minutes  .
this is what i like about the unit    .
awesome dual tuners in hd  .
it is the only way to watch sports and movies  .
my cable company finally has a decent selection of hd channels , and i'm having a great time pausing , rewinding and watching football and basketball games in slow    motion 2  .
the government requires cable companies to provide cable cards , but they don't have to offer multi    streaming , so no on    demand or interactive  .
my cards cost $1  .
99/month 3  .
tivo list uses folders which is a great way to quickly search for your saved shows 4  .
1    button delete (with a folder for recently deleted shows in case you accidentally delete one you want) 5  .
exandable storage now available via port on back of machine  .
program your unit remotely via any computer  .
you can also download movies , shows and music from sites which charge for the service (i don't have this yet , but i considering trying the movie service) 7  .
network your home computer via ethernet or wireless (i use wireless)  .
you can view photos and videos via tivo's easy to use onscreen menus  .
right now , they only guarantee that their tivo wireless unit will work , but it is very easy to set    up  .
i got mine much cheaper off the internet than from tivo 8  .
transfer shows to other tivos and your computer (i really like this feature  .
it failed the first 2 times i tranferred to the computer , and then it worked fine after that) 9  .
good ergonomic remote with buttons in all the right places , especially if you like to fast    forward through the commercials now , what do not i like  .
no list button any more which means you have to press the tivo button twice for your list of shows  .
this is not a big deal , but it means that you'll see tivo messages more often 2  .
i've noticed that there is a very slight pause when changing the speed of hd playback from fast    forward to play , while the standard tv format remains completely seemless that's it  .
as you can see , i love tivo  .
i've been using it for over 5    years now  .
it's a great way to watch all the shows you want and none of the advertisements (unless you want to) .
the editors review is now outdated  .
the tivo    to    go , external hard drive , and multi    room viewing are all enabled now  .
both the editor and user ratings would be higher if this is the case previously  .
there are more new features like on screen rhapsody music service too first off , ignore the people who've abused this review system and rated the product down without having any knowledge or experience with it  .
once you take those nay    saying rants out , you'd see the user rating is very high , as it should be  .
it's very rare to find a tivo user who regrets their purchase i bought a tivo series 2 dt 80hr box before this product came out and fell in love with the tivo interface and extra features  .
we'd been using the cable company dvr for years and while it had the basic advantages of a dvr (pause live tv , record shows to watch later) , it had its share of downfalls  .
it is difficult to find the shows i wanted to record , the scheduling was not very accurate , and it would crash fairly often i won't go into all the details of the features of the tivo hd since the editors review does a nice job with it , but i will correct some things that are now incorrect the tivo    to    go feature is now enabled which is my favorite feature of all  .
you can save almost every show you record , including hd programs , to your hard drive to free up space , archive for later , or take with you on a laptop to watch when traveling  .
the only exception are a few digital channels that have copyright restrictions , but all the major networks work fine  .
want to save a whole season of grey's anatomy in hd quality  .
you can  .
the files are in the original hd quality which can run up to 6  .
5 gb per hour , so keep that in mind speaking of hard drive space , tivo now offers a 500 gb dvr expander for $199 that gets you 60 more hours in hd or 600 sd  .
you have to buy the tivo certified drive to work , but that is because pc drives are not designed for the incessant writing that dvr's do , and $199 is still a comprable price  .
cable company boxes cannot compete with this capacity  .
even the included 20 hours of hd is more than most cable boxes  .
if you don't want to spend the extra money on the external drive , you can transfer it to your pc's drive and still access it on your tv , which will stream it off your pc the universal swivel search deserves an extra mention too because it's really amazing  .
say you're wondering who the actor is you're watching on tv right now with 2 clicks you can see who the actor is , what shows or movies he/she's been in , and schedule any of the actor's shows to record or download it instantly from amazon unbox  .
it'll tell you what episodes are coming up for your show and recommend similar shows that you'd like  .
tivo has lots of picture and music options too which it will get from your computer , the internet , or rhapsody where you can stream any full song/album on demand  .
rhapsody requires a subscription , but the stuff from your computer is free one thing that everyone seems to bash tivo on is the cost  .
yes , i know that $299 is asking a lot when compared to a box you get free , but you clearly can not view them as equal boxes  .
i and most any tivo user you ask would say it's worth the price premium , just like adding options on a car , but consider this the tivo hd could actually save you money over an extended period of time  .
say you're paying $15/month for all the cable dvr rental and service fees and associated taxes  .
you can get tivo for $8  .
31 a month if you buy 3 years up front  .
it obviously takes a while to make up the $299 investment , but in 45 months you will have done it and it will save you money every month after tivo cast is another cool feature  .
if you're a gadget fan or cnet fan , be sure to subscribe to the cnet tivocast  .
it is a 15 minute show that showcases some of the newest products so you're always up to date  .
you can also see what shows celebrities are watching , or what maxim recommends by using guru guides one last useful , exclusive feature  .
let's say you forgot to set something to record and now you're out of town  .
with a cable box you're sol , but with tivo you just go to tivo  .
com , type in the show , and click a button and it's sent to your tivo box and added to the record list  .
it'll be there waiting for you when you return the only bad thing i can say about the tivo hd is actually the cable company's fault  .
cable companies aren't used to installing cablecards so some people have had trouble finding a cable person who can set it up correctly  .
it's a simple process , but the people on the phone just aren't used to it  .
this may be better by now as the device has proliferated the market more i got mine early on , so by now they may be better trained on it  .
the other downside is also the cablecard's fault and that's the loss of on    demand programming  .
personally , i do not miss it since my tivo has everything i'd want to watch on    demand already  .
if you ever have any questions or problems , the tivo support people are really nice , and you can tell they truly value their customers  .
try finding that with your cable operator i could go on forever , but really you need to just experience it for yourself  .
with the unbeatble interface , expandable storage , tivo    to    go , and the multimedia options , it is well worth the upfront cost  .
if you try it and disagree with me , come back and comment on this review  .
you can always return the box and your first 30 days are risk free with the service too  .
basically , if you can overlook the upfront cost you'll be much happier with a tivo hd .
i had a tivo when i had directv but switched to verizon fios and have had to deal with their dvr since  .
i am relieved to have tivo again  .
no more missed recordings , unwatchable recordings , or other issues  .
this machine does all the motorola box does and does it better  .
the fees for the cable cards and tivo service are still less than the lease fee for the verizon box .
i have owned tivo units since 1999 and this is clearly the best yet  .
i have owned 2 hd units since 1/07 and both work flawlessly  .
the video playback is superb and the new swivel search is a unique addition  .
of course i wish it had a 10tb storage disk so that i could keep every movie ever made for easy access , but the new amazon unbox feature helps in this category giving me virtual video on demand  .
i also love the remote recording option through tivo  .
com  .
it is a great device and no home theater should be without it .
wow i had no idea how many tivo haters there are  .
i have used several generic dvr's including the cnet editors choice vip622 from dish network and i'll chose the tivo over 'em all  .
i recently cancelled my dish went back to cable just to use the tivo hd , much better than any generic dvr from any cable co or satalite co .
i do not own a unit and am just questionning the review , which says ppv is not available  .
many people say ppv is not available for the s3 as well , but you can order such by phone .
the fact is that over the air (ota) digital broadcasts are better quality than cable and satellite broadcasts  .
if you want to time shift/record ota then there are few choices  .
luckily the tivo hd is a great product at a great price  .
i swapped out the small 160gb hd for a 1tb drive for about $100 and shelled out $400 for the tivo lifetime membership , which goes with the machine if i decide to sell , so i reccomend lifetime rather than trowing away money  .
there are used sony dvr's out there that do not require a subscription , but for what they sell for , you can buy a lifetime tivo membership  .
i am a netflix member and like being able to stream movies to my tv  .
to do this you will need a fast internet conection that can sustain at least 4mb/s .
had tivo for three months  .
i use it to record over the air hdtv (no cable or sat tv) and love it  .
with tivo , i can watch all of the free programs i love but normally miss (late night talk , pbs , shows that are on before my three year old goes to bed)  .
tivo is a great alternative to the endless channels of nothing on cable  .
plus you can download movies and tv shows directly to your tivo  .
if you are trying to cut costs , and can afford the $300 price tag , i find this a great alternative to cable tv  .
oif course you can use it in tandem with cable as well if you choose .
tivo is worth it  .
just say no to boredom with comcast's motorola dvr and buy a tivo  .
i is skeptical at first , but now i am a big fan of tivo .
still the best dvr out there , tivo is simply excellent and blows away dish/direct/comcast , etc  .
so user    friendly  .
a total value and there will be so many more options to come updated  .
on mar 1 , 2009  .
1st for $300 new or $180 reconditioned this is a great buy even with some of it's limitations  .
the hd is far cheaper than it's $800 big brother tivo 3  .
i've used tivos since 2000 and have found them to be a good price for the functionality you get  .
no dvr i've ever seen is even half a capable as the tivo dvrs the latest software upgrade however has introudced several issues with speed and poor ability to return to previous menus  .
while wait times are not terribly long , they are annoying as compared to using the older sw versions  .
tivo 2 dts have the same issue now as their sw has also gotten worse  .
the problem is you'll have no choice on what version you run  .
the tivo will upgrade regardless  .
tivo seems to be slow on fixing or even acknowledging this problem exists even though hundreds of forum users complain  .
this is the main reason this unit got only four stars instead of 5 it covers all the popular video output formats and is capable of all the hd standards  .
you can als view the output in three different ways regardless of how it is captured i got it because i wanted a unit that did over    the air tuning of hd digital broadcasts  .
this is one thing lacking that always irritated me about my older tivo 2s  .
it really depends on your area and listings whether this would be good for you or not  .
in my area almost all the major networks are doing over    the    aair broacasting and most are better quality hd than from my cox cable  .
no cable cards are required for ota reception and you can still record two things at a time one of the negative things is the lack of output options on the tivo hd  .
only one output that is either 3 or 5 component output or s    video  .
only one at a time can be used  .
no coax outputs and antenna/cable is not passed through this box  .
if you don't use hdmi for your tv connection , you won't be able to hook up a stereo audio connection or a vcr/dvd recorder as the tv connection takes the only output  .
not a good decision by tivo to actual remove output options that were standard on earlier tivos also the esata port for tivo hds are much more flakey than the tivo 3 ones  .
your options for adding or removing drives through this port are limited severly also i don't mind the peanut remote used with the older tivo units  .
but those who have seen the tivo 3 remote prefer it  .
i think the tivo hd remote works fine and if you've had an older tivo your used to it anyway  .
i understand you can purchase the better remote if you want it the setup on this unit is far simpler than many previous tivo products  .
i actually got a defective tivo hd the first time (bad drive) from best buy and had to return it and get another  .
while the tivo support people were polite , they will walk you through hours of wasted diagnostics and call    backs if you don't put your foot down to get a final diagnosis  .
sometimes you can learn interesting things from these techs though like undocumented tests from your remote and such one of the things that is improved with tivo now is the ability to transfer your initial contract term to a newer box without having to setup a new contract  .
numerous times in the past , having to start a new contract on a new box and continue the old one too is very annoying  .
i'm glad they fixed this  .
so now , if you buy a new box and want to upgrade to yet another new box before your contract expires you can without starting a new contract  .
i don't mind paying the $13 per month but hate having to have a contract for any length of time all    in    all this tivo hd's few limitations for the significant difference in price between it and the tivo 3 makes it a great buy  .
it works almost as well as the tivo 3 at $500 cheaper  .
i am someone who seldom praises a product but have sworn by tivo boxes since my first in 2000  .
unfortunately i do not care much for their customer service but so seldomly need cs that it makes it worthwhile  .
now that over    the    air is supported , i can cut cox cable bill down as well .
having upgraded from the series 2 to hd , i am soo very happy with this unit  .
my cable provider , comcast , didn't have any trouble getting the cable card up and running with it and it's just the best thing ever  .
not to mention the fact that i have one less device , the absence of the cable box , and one less remote to worry about  .
i am such a fan of the tivo interface that using comcast's dvr is not even something that i wanted to entertain  .
on the bang for the buck basis bang  .
the costs have come down on these and i could not be happier .
i purchased this dvr strictly for use with ota hd programming so the pay    per    view and interactive integration is not an issue for me  .
since there simply are no alternatives out there for ota tuning/recording (yes , the sony dhg    hdd250 and dhg    hdd500 are still available on ebay , but that's not a risk i'm willing to take with moving parts) there really is not much of a choice  .
i still resent having to pay the fees to tivo , though  .
i opted for the three year pre    paid deal to at least minimize the per month costs still , i'm quite pleased with the box , the excellent cnet review below provides better documentation than either tivo's own web site or even the manual itself  .
the 30 second skip ahead hack and the esata expansion hack are great and solve my only real grips out of the box  .
picture and ota tuning have been excellent .
the unit does what its supposed to do well  .
i do wish that tivo had shipped unit with esata port active , but i guess i can wait since it is rumored that it along with tivotogo and mrv will be activate by the end of the year .
as for the video on demand issue , the now playing function of tivo offers the same functionality  .
you can watch a movie or show that you have recorded whenever you like from the now playing list in tivo , so i do not see what is the difference  .
i would only look at shows or movies from video on demand that interest me which are the same shows or movies that i would mostly likely record i have always liked the tivo format more than than my cable companies dvr , so i'm glad this product has been released  .
i will cancel the dvr service from the cable provider and subscribe to tivo's service which saves me the same $12  .
95 a month that i pay to the cable company , so there is no loss on my monthly cost or paying double the cost i only wish the 300 hard drive is available at this price  .
i recommend this product .
tivo's video and audio quality of recordings is excellent , and it has a full compliment of hdmi , component , and analog outputs as well as digital (optical) audio output  .
there is no support for  internet  downloading of  hd  movies or tv shows yet , but tivo constantly upgrades its capabilities via automatic os software updates that download to the tivo units via its connection to your internet service provider or to the tivo service directly via a telephone line connection (but the latter is too slow to be considered practical for most people)  .
access to live365's internet radio service is excellent  .
tivo has excellent remote programming capability via internet and cell phone access , but it is not the only dvr brand to have remote programming capability tivo does have one serious shortcoming    if you are one of the many cable company customers who do not have a digital set    top box or cablecard decoder and thus have your cable connected directly to your digital cable    ready hd tv set   there is no ability to program recording of local hd channels' tv programs transmitted by your cable company on clear qam (non    scrambled digital) channels via tivo's tv program guide thus your only options are to either connect an antenna and hope you can get your local hd channels over the air , pay for a more expensive digital cable package or otherwise pay for the cable company's digital set    top box or cablecard (which the tivo unit has two slots for) , or manually program recording based on channel and time rather than program title    tivo's famed season pass auto recording feature will not work for such situations  .
to make matters worse in this regard , tivo's ability to receive such channels    although present    can be somewhat complicated for even  seasoned  gadget gurus and it is somewhat buggy in its implementation as well the long and short of it    if you need or want the ability to record over    the    air hd programs , tivo hd is the hd dvr to buy , and this is also true if you subscribe to one of your cable company's digital packages that includes use of a set    top box or cablecard (s)  .
and if you really want a dvr unit that can access your home network and can download movies , tv shows and independently produced programs that are available through the internet , tivo is the way to go the price of the hardware is very reasonable but you must purchase a monthly , annual , or 3    year subscription as well if you subscribe to your cable company's basic package and do not use a digital set    top box or cablecard but connect your cable line directly to your hd set and thus get your local stations' hd broadcasts on clear qam channels , and want to record programs on those channels automatically , you might actually do better to purchase the moxi brand of hd dvr    which fully supports clear qam channel programing  .
but    the moxi dvr does not support antenna/ota connection/reception (at least not in its out    of    the box configuration) , and although it does not require a paid monthly or annual subscription for full functionality it is much more expensive (around $700  .
) than the tivo hd dvr updated  .
on dec 19 , 2008  .
i love tivo , though when it came time to go hd , i reluctantly gave up my series 2 and went to the dvr offered by time warner  .
hated it  .
it is so user unfriendly compared to tivo  .
so i bought the tivo hdr and is fortunate to get in on the lifetime subscription  .
but there is a problem the cable cards provided by time warner (i've tried both two single cards and a multistream card) all seem to be defective  .
after a certain length of time , my screen freezes up on every channel  .
it plays about 5 seconds of audio while showing a frozen screen , then the audio stops too  .
i'm waiting for time warner to come out for a fourth time tomorrow to once again replace the cards  .
this has been unbelievably frustrating  .
and i'm assuming the problems are with the cable cards rather than the tivo despite it all , i still highly recommend tivo hd ,  .
if you love tivo , you have to have one of these  .
we switched to hd and could not get hd programming with our first tivo so we stayed with the hd box from the cable company because we did not want to plop down $800 for a series 3 tivo  .
then this one came out  .
we were tired of the torture from the scientific america cable box from the cable company so we jumped at the chance to go back to tivo we love the tivo interface  .
but , it is not good to have to pay a monthly fee for each cable card (you have to get two to record on two channels at once)  .
plus , we've really had alot of problems with our cable cards  .
at least every third day one of the cable cards will say its not working and we will have to pop it out and back in again at least every other week we will have to completely reboot the tivo to get the tivo to work at all it pains me to only be able to give this tivo a 7 out of 10 .
i just finished boxing mine up to return  .
i love tivo    had one since the series 1  .
it is a breeze to setup , and , the interface is    well , it's a tivo  .
the extras like amazon unbox , and access to music pictures from my mac are a nice touch  .
but my local cable company is goinf to switched digital video    it preparation for that , they are not mapping any new hd channels to cabelcard devices (ie tivo) , so , i is unable to get the 4 new hd channels they added  .
until tivo resolves this , you may find yourself with a tivo that is unable to get all the channels that are available so , check with your local cable company regarding switched digital video , and , don't be surprised when they do not know what you are talking about , it may take multiple calls to get the real story  .
tivocommunity  .
com and avsforum  .
com are excellent resources to find out what's happening .
i have to rebut many of the ill informed posts others have made  .
first , clearly this product can record hd despite what others say to the contrary (i mean get a clue    the name of the freakin' thing is    'tivo hd')  .
yes , there is a monthly fee and i don't know what other's get from their cable suppliers , comcast charges me $29 a month for two mediocre motorola hd    dvrs  .
just on monthly savings along , these will pay for themselves in about 30 months plus they are much better product (and i say this as a tivo user for more than 6 years)  .
the ability to listen to my mp3s and view my photos is great which cannot be matched by any cable box or dvr  .
don't tell tivo , but i'd pay $100 alone for this feature    think of it as an apple tv thrown in for free the issue with incompatibily with vod and ppv is not a tivo issue , it's a cable card issue  .
current cable cards don't support upload data communication so do not blame tivo for this  .
any cablecard product will have the same issue overall , this will be a great product at the $299 price point and i cannot wait to buy two of these babies and give back my two hd dvrs to comcast .
let me start by saying that i am a big tivo fan  .
for all the tivo haters out there   get over yourselves  .
it's better than the dvr you rent from the cable company  .
don't disaparage the choices of others just because you're thrifty  .
i had the hughes hi def directv box for years  .
when i moved to a condo and is forced into a relationship with cable and a cable company provided dvr , i thought i could adjust , but i just missed my tivo too much  .
compared to tivo , my cable company provided scientific explorer dvr is a complete joke  .
navigation is clumsy , menus were anything but intuitive , and simple features , like not recording duplicates , were absent  .
so yaaaay for tivo hd i is waiting for the s3 to come down in price , but this is my answer so i thought getting the thing on your network can be a bear , and once you do , it's downloads are very slow  .
i twice tried to download 'the departed' off of amazon's unbox , and both times failed  .
amazon kindly gave me a refund  .
navigating the 'downloads' menu from the tivo is next to impossible because it's so slow  .
use your pc for what you've got to do , instead  .
you can do almost everything from your computer  .
i hope the unbox thing works better for others because it seems like a great idea so once you get it on your network (try assigning a static ip btw it finally got me on) time to test out the cable cards well , all i can say is that i hope you don't live in phoenix , and have to deal with the chimpanzees they have installing and teching your equipment  .
after 6 hours , eight different cards , signal amplifiers , alternate installers dropping by , etc , etc , etc , they were simply out of ideas  .
one cable card is the best they could do , and no , they do not offer the multistream cards in phoenix  .
the one cable card worked in both slots , so it's not the tivo so i played with it for a while somehow hoping another cable card would be found that would actually work , and i still love the tivo interface  .
all in all , though , i is so disgusted with cox cable (the installer also shattered a glass shelf in my av center) , that i cancelled my service this morning  .
the tivo really is no good with just one tuner getting the digital signals  .
it was not designed to do it , so there's no way to set up to , say , only record hbo on tuner 1 with the money i'll save i'm buying an ota antenna and a supscription to netflix .
i am perfectly happy with my cable company's dvr  .
the extra cost of tivo's machine makes no sense .
i had a series 2 tivo up until 3 years ago when they dropped the ball on hd (really dropped the ball  .
