it's like having blu ray player connected to a fully adjustable 7  .
and once you're up , i highly recommend getting the latest software update by simply performing the search for the latest available software out there online  .
with this , you will have access to streams not just from netflix , you tube and cinema now , but also from vudu as well  .
in addition , this unit , provided the accesses have been granted from your home workgroup , can also stream media from within your shared drive space  .
if you are going to do this , i highly recommend you have an adeqautely higher speed internet , such as the services provided from verizon fios and comcast with a minimum of 15 mbps available  .
i have the 20 mbps down/5 mbps up and this works flawlessly  .
on occasion , if the network speed has slowed down , this would be the only time you'll experience any buffering  .
and the stream quality will depend upon the quality of the stream available out there in tandem with the upconversion that this unit will perform but this has been usually excellent in the two days i've had my unit i purchased this on black friday not only price matching sears' regular price of $245 but also got a free blu ray title with it as part of the bf special  .
for those in the dallas , tx , visit the flower mound , tx location and speak to eddie t  .
(ops mgr) or michael h  .
(store gm)  .
i highly recommend speaking with the folks at this store as they are very helpful updated  .
on nov 29 , 2009  .
way better than the samsung that only has edge leds  .
if you've got the cash , jump  .
there's nothing in here but awesome .
after trying out 2 samsung bd players and the lg 370 , this unit is by far the best for my home set    up  .
i use airport express to set up my home network and had no trouble getting connected (except that i could not find a way to include caps in my password    had to change network password to all lower    case)  .
the dvd up    converting is way better than with the 370 , and somewhat better than the samsungs  .
the remote is simple and easy for fingers to find their way around , though backlighting would be nice  .
third    party upnp (playback) has worked fine to link my macs to the player and have actually found that quality to be better than attaching a usb drive sadly i cannot get the sound to sync with the video , which runs faster than the audio  .
i had the same trouble with other bd players and cannot figure out where an adjustment needs to be made to get my projector and ht in sync overall i'm very pleased with this and have found it much easier to work with than any samsung players or the step    down 370 .
the quality of the hd image using blu ray disks is incomparable  .
but the secret weapon is the audio  .
my audio experience spans early monaural hifi to blue ray  .
this player is the best program source for audio that i have ever owned , bar none  .
because blu ray can fit 5 times the information of a dvd , there is no need for a compressed soundtrack  .
the sound is full and reveals details i've never heard before  .
i have a 5  .
1 channel set up ; now i am looking at getting a 7  .
1 receiver and even more spectacular audio where are the annoying loading times for blu ray disks  .
lg has engineered the worst of the wait out of the bd390  .
even with the wireless internet services it offers , with a good signal from your router the load is       again       superfast  .
the services you can access include netflix , youtube and cinemanow  .
two days ago the player asked me if i wanted to download a firmware upgrade  .
i clicked yes and now i have the vudu wireless movie service , delivering 1080p hd streaming movies and theatrical movie trailers  .
as the player sits in my stereo cabinet , it increases in functionality and value  .
netflix delivers for the bd390  .
i select instant    play movies on the netflix site with my pc , and the bd390 displays them on my hdtv  .
selecting and playing movies from the instant queue could not be faster or easier  .
i've upgraded my netflix account to blue ray and five disks at a time  .
now , to some extent , every night is a netflix night on the othr side , i am going to have to find a new income source because the bd390 has revealed flaws in my stereo system only an advanced av receiver and speakers even more impressive than my mix of epis (r , l) , polk (c) and mission (rr , rl)  .
i also need a 300mbps router to take full advantage of my players wireless features  .
luckily , i like buying gadgets .
excellent  .
would highly recommend  .
some reviews said this is hard to set up  .
it could not have been easier updated  .
on jul 26 , 2009  .
after the frustration of dealing with the samsung bd    p3600 , the lg player is just what i needed  .
easy to set up and not a single glitch .
i initially do not anticipate renting or buying a lot of blu ray discs but i did buy one as a test of the system and the quality is nice  .
i bought this unit mainly because of the features and the ability to stream from netflix  .
so far , that part has worked flawlessly  .
the only problem i have is that i also have an lg combo dvd/vcr that i still use and the remote for the bd390 also operates the dvd/vcr .
i love mine , i think you will like yours  .
this is my first blu    ray player so i dont have a lot to compare it with , but i do know from my research that slugishness and other quirks are common in this still emerging technology  .
blu    ray discs load in an acceptably quick fashion , though certainly not as fast as dvds did on my old oppo dvd player  .
regardless , audio and video quality is great in blu    ray and netflix on    demand  .
no problems watching downloaded  .
avi files streamed from my pc via tversity , directly from my dlink 323 nas (which is upnp compatible) or streaming netflix through my older linksys n router (wrt150n running dd    wrt) via a comcast 20 mbps connection , though i have yet to try streaming a full 1080p movie via vudu network setup is a little tricky in that i had to manually specify ip and dns instead of relying on automatic settings in order to establish a consistent wireless connection  .
if you have a bd390 and are having problems with staying connected , you should definitely try manually setting the ip and dns instead of relying on your router to assign an address i'm really hoping pandora may be added via firmware update but as it is not promised , its absence had no effect on this review .
does everything the samsung 3600 does with minor quibbles , and does them without all the bugs .
i researched a ploretha of blu    ray players before deciding on the lg bd390  .
my main factors were support of highdef audio , builtin wifi , and streaming capabilities  .
the addition of interfacing with my pc is a plus  .
though the price is high in some respects , i found it for $280 after tax and shipping online  .
load times exceed that of the ps3 , though i have contemplated since then of whether a ps3 would have been a better way to go for the price  .
i do not play much games , so this also factored into my decision along with design  .
i is extremely please with how easy the device is to setup  .
over all setup time including reinstating netflix account , and connection to pc , is right around 20 minutes  .
this will vary depending on your current setup .
in addition to having an easy to understand manual , the player seems to work like a charm  .
i tested a standard (non hd) dvd and the picture is crisp  .
although i have read complaints about the remote , it seems straight    forward , functions well and gets the job done  .
i also tested the strength of my wireless n by connecting to netflix , taking advantage of their 2 week free trial  .
again , others have complained but my network is strong , films play smoothly without any hiccups  .
overall i would say we are off to a great start  .
i used cnet reviews and consumer reports as my guide to buying and do not believe i've been led wrong  .
the player seems excellent and i would recommend it  .
on day one i am willing to give it an outstanding rating , subject to change as we continue to use the system  .
enjoy  .
this is my second blu    ray and a replacement to a sony machine that just stopped playing discs  .
the wireless feature is great  .
the firmware is easy to update from the menu and it updates through the wireless connection  .
superb  .
watching movies from netflix or cinemanow is easy and the quality has exceeded my expectation  .
the youtube feature is a bonus and fun to watch music videos  .
i highly recommend this product  .
wish it is cheaper , but would buy it again and would recommend it to a friend  .
the features including wifi accessibility to use netflix and cinemanow are what makes this unit different then all the rest of the dvd/blue ray players i saw when i bought this one  .
one other bad thing i noticed is that the remote does not work well at an angle (say 45 degrees from midline)  .
excellent product though so far , and looks nice too  .
i give lg a thumbs up to the nice set of features and appearance  .
overall , i would rate it 8    8  .
5/10 (would say 9/10 if i liked the remote better) .
worth the money if purchased at under 325  .
would highly recommend  .
cnet is right , very close to sams3600 , i'd get the sams if i had a sams tv just to have continuity , but i have a hitachi 55 hdx99 , so i picked the lg for netflix speedier streaming  .
i like youtube more than pandora , that's me , so lg's advantage over the sams3600 again my question to someone smarter than myself about audio    .
i have a 10 year old onkyo 555 receiver , want to use it to save money for now  .
just got the lg bluray and some energy 5  .
1 take classics for $329 from american (cnet reccommends them at $599 even , so i feel good about that  .
also , costco is selling the sub alone for $130 to $180 on the energy , the same 8 sub that comes with the 5  .
1 take classic set) my question is about the audio set up for multi channel on the lg blu ray  .
i am using the analog 7  .
1 out on the lg for my five speakers (leaving the last two slots empty since i don't have seven speakers) and using old monster rca cables to connect to the onkyo 1  .
on the lg , under setup , 'audio' , 'hdmi'   what do i choose  .
pcm stereo , pcm multi ch , dts re    encode , or primary pass through  .
then under 'spdif' , what do i choose  .
pcm stereo , dts re    encode , or primary pass through  .
does it matter since i am using the analog audio out and not the digitial hdmi or others , are those setting just for digital  .
also , what is spdif  .
does it matter what quality of cable to connect for the multi channel  .
regular rca's that come with the lg390 versus monster rca cables  .
side question about speaker wire  .
i have to splice and add length to my monster speaker wire so i can hang the smaller energy front speakers on my wall  .
do i need to sodder the splice or just twist and use electrical tape  .
(i currently have tower polks and the wire just ends into the bottom , now i have to run more wire to go behing my wall to hang the energy's) i had the sammy for two weeks , nice unit , but returned it after getting an email and reading the cnet review in the nick of time , in which the lg390 edged it out for the top spot  .
i returned the sams3600 for the lg since i is within the 30 day return period bought from american electronics for $340 , not bad  .
the sams is $350 thanks in advance , like i said , just a guy that does not know alot , so i read cnet and some other reveiws and trust the geeks know what's up , and i say that with the utmost respect updated  .
on jun 16 , 2009  .
the process of re    connecting the player to our router is too cumbersome  .
its like high level math , way over my head and i am pretty much computer savvy  .
should be an easier way to plug and play  .
or to at least have a trouble shooting screen to tell you exactly what the problem is  .
so right now we are looking for a new player that will stream and play great dvd's , then we can take this one back .
bottom    line   i really like this player , but the wireless could be better this is my first bluray player and i waited until prices came down and functions went up  .
my initial requirement is netflix streaming , followed by a solid bluray player  .
after reading the positive reviews i decided to purchase the bd390 as compared to the samsung 3600  .
i got the second to last bd390 in the store while there were pyramids of 3600s on the floor since they weren't selling  .
this is one of the more expensive bd players out there and thought it would be money well spent for the wireless n to stream hd movies to my hdtv  .
i have a new airport extreme wireless n router  .
from my experience , save the money you would spend on the wireless technology and put it towards the picture/sound quality as well as network features/offerings  .
wireless n technology is supposed to have a farther wireless range and faster speeds  .
those tech advances do not come into play with this player  .
my macbook has full signal strength while placed next to my bd390 which only shows 2/5 bars       not good  .
obviously this affects the streaming quality  .
even with wireless n , hd movies will stream in less than hd quality from time to time  .
for the best consistent picture , hard wire your internet connection to your player i still gave the player 4/5 stars b/c , for the most part , the streaming issues are limited and the player itself does an amazing job playing bd movies  .
if pandora becomes available thru a firmware update , i'll be even happier .
the product does everything well that is advertised  .
i originally purchased the samsung 3600 at best buy and returned it due to the fact that it did not play some of my older dvds  .
the up    converting had a noticeable improvement from the samsung and the speed of loading the disk is also a noticeable difference  .
ease of use is the same , installation the same  .
both solid products , but the lg wins out for me .
the bottom line here is , if you want an all    in    one media powerhouse , then this player will do you well  .
and with the new vudu service you get an even better bang for the buck with their 1080p video rentals  .
now if they could just fix the wireless issue then i would have given it a straight five star .
it's a good machine  .
there are no real serious concerns in the six months i've owned it and my blu rays look fantastic updated  .
on sep 21 , 2010  .
i went out looking for a bd player and never expected to get all the rest at this price  .
i have a full 7  .
1 theater set up with quality equiptement and was not expecting to see (or hear) much difference over standard dvd's but is interested in some of the additional features found on bd's  .
i is suprised at the difference , particularly with the sound  .
my av reciever is already doing a good job of upscaling the video to 1080i but most dvd's didn't take advantage of all the speakers  .
i played around with the audio settings a bit as you can select from pcm 2 and multi channel , dts re    encode , and direct pass    through  .
i decided to use the pass through and let my reciever do the decoding when necessary but the players dac's were equal to the task as well using the pcm multi channel  .
the manual , by the way , gives you no help here so unless you live this stuff be prepared to do some research i never really considered vod but having the netflix and vudu built in is cool  .
i am not sure i will ever pay $10 or even $4 to rent a vod movie since my wi    fi is not fast enough to stream hd content but watching trailers in sd works fine and it is fun to see what is coming soon to theaters from my sofa what really excited me is the ability to grab the remote and throw the most recent pictures and videos of the kids onto the tv when grandma and grandpa drop by without having to dig for cables , find the camera or load anything if i could change anything it would be to add codec's for video cameras so i didn't have to mess around with home movies before i is able to play them back through the media center  .
maybe they will add it later in a firmware upgrade  .
also , although the remote is simple and easy to use , the buttons do not match up to my harmony universal remote very well so i end up with a second remote in my hand  .
the remote signal is also weak so , whereas i can easily bounce the ir from my harmony off the tv to hit the av equiptment at the back of the room i have to point the bd players remote directly at the machine  .
no biggy for most but a pain in the neck (literally) for my setup .
i first bought the bd 370 because it is cheaper and i could use the wireless feature but prefer the hardwired internet because it is faster but while the 370 is ok on bluray it did not seam to do a great job in upgrading some dvds  .
this is important to me because i have many dvds , the next day i took it back to the store and exchanged it for the 390 which has better video quality on dvds  .
also the 390 seem to have more features  .
using the interface to display and play audio and video from my computer is also a feture that i like .
excellent piece of electronics .
paired with a denon 4310 so i do not use its upscaling feature  .
wireless performs flawlessly even with my old wireless g .
the lg bd390 is the centerpiece of my hom theater system  .
the streaming media features are great  .
cinemanow is handy when there is not anything on cable  .
i recommend it as a strong buy for non    gamers who do not want a ps3  .
novices with little networking experience may have some issues configuring the player to work with your router , but the auto configuration tool will work for most users .
this is my first bd player , and i really do like it  .
though , i wonder if i'm more enthralled with the netflix integration than anything  .
i had an upscalling dvd player , and honestly , i cannot tell the difference between the upscale and the bd  .
i is a bit dissapointed by access speeds , but it was not a deal breaker netflix streaming is pretty good  .
i wonder how long until they can stream true hd  .
youtube integration is honestly a cool feature , but at the end of the day , it's still youtube uber    compressed content , blown up on your big screen  .
i know more hd content is coming to youtube , but till then , it's just sub    par to ok  .
yt interface is awful who want's to type in searches with a remote (does offer smart    searching though) connected to my airport extreme draft    n with no issues the router is fast and so is this unit but there are some issues with integrating your mac computers with this unit  .
there is no native upnp on mac , so you have to find something compatible  .
i used vuze , and while the unit is able to see the vuze player , vuze does not know how to stream to the bd390  .
hopefully vuze will add this a supported device  .
tried eyeconnect and it worked  .
the unit does not support itunes (obviously) , nor does it support  .
mkv files (but i is able to stream  .
mpg files) usb drive support seems to be shaky at best  .
i hooked up my western digital my passport firewire/usb drive to the bd390 and it would not recognize  .
this is probably my biggest frustration with the unit (thanks for making me have to explain to my wife why the external drive i thought would work does not , and now i have to go by a completely new one she'll love that expenditure) overall , i am happy with the player dark knight looked fantastic and even with the issues with the mac and usb drive , i probably would have still purchased this  .
i wanted netflix streaming  .
i don't use pandora so i didn't care about that service with the samsung  .
i know i could have waited a few days to by the ps3 slim which would have been a few bucks cheaper , offers streaming , and obviously blu    ray and gaming but i have my heart set on an xbox 360 (for gaming) wife wanted a blu    ray player i wanted gaming , and netflix and since the 360 elites are not coming down in price just yet well i wait but happy with our purchase .
10101010101010  .
i like this player for its bd picture quality and ease of netflix streaming (i have an airport express and had no problem finding it , contrary to others' claims that it does not work with airport)  .
i spent too much time trying to figure out how to get the pure bitstream audio for dolby thd and dts hd ma to output to my onkyo 860  .
once i selected (by trial and error) the correct output type , the receiver decoded the hd audio signals just fine , but it is a frustrating 45 minutes or so overall , this is a very good player  .
i wish also that it had legacy video outputs (like composite and s    video) just in case i might need them someday .
the picture is great using a blu ray disc  .
but i is pleasantly surprised of the quality of the picture using a hd watch instantly movie from netflix  .
and it is delivered using the built in wireless adapter  .
(i get 5  .
0 mb/s download from the internet) i can play my mkv video files from my portable hard drive using the usb port located on the front of the player  .
it does not play the mkv files directly form you computer using the  .
my media  .
icon on the home screen the setup is straight forward with the exception of the audio setup  .
i did not know what to enter on a few of these steps so i  .
m doing a little trial and error  .
if anyone knows the audio input for the bd390 when it is connected to an onkyo tx    sr504 via the coaxial digital connection , please let me know  .
right now i have both hdmi and spdif set on primary pass    thru .
i'm returning it not because netflix is not streaming multichannel sound  .
what you get is stereo (2    channel) sound only  .
i discovered this after 2 calls to netflix and 1 call to lg support  .
the unit looks fine , though .
just a question , the wifi built in , the video review says it's wifi    n , but is it 5ghz or 2  .
4ghz  .
i think an option for either way would be ideal , but knowing how tech development works , i would guess 2  .
i tried to save money by buying the sharp bd    hp16u to match it to my aquos tv  .
what a piece of junk  .
once i returned it , i decided to do my homework  .
i looked at sony , samsung lg  .
i finally selected the lg bd390  .
once i hooked it up and played my first blu    ray (the police certifiable concert) i have not looked back  .
what's not to love  .
this unit is fast and plays a gorgeous picture  .
the big thing for me is the built in wifi capability , including draft    n  .
unlike the samsung , there is no dongle necessary  .
i am streaming netflix , youtube , and viewing movies , photos , and listening to music all from shares on my network  .
be careful  .
this unit will turn you into a bonafide couch potato  .
i purchase a lot of gadgets and i can say honestly that this is one of most satisfying purchases  .
i would recommend it wholeheartedly  .
the $400 price tag is tough to swallow at first , but it is worth it once i started using it  .
for those of you wondering , i am not affiliated with lg in any way  .
i just like the unit that much and decided to share my opinion with the masses  .
espicially since cnet has not reviewed it yet .
forget netflix  .
youtube is iffy  .
wireless n connection is flaky  .
tried everything to fix the problems       new firmware , turn off securespot , static ip  .
on n network it refused to play netflix 90% of time  .
on g network it has poor picture  .
vudu is stunning  .
go figure  .
lg denies that it's their problem , and the router manufacturers say that there's nothing they can do  .
and you , the customer , are stuck in the middle .
no complaints about this unit except for the cons listed above  .
i keep mixing up the power and tray buttons , which are opposite of where they would otherwise be  .
probably more expensive than it needs to be , but it is the only player that had everything i wanted  .
netflix is good (have not used cinema now due to price       waiting for hd) , and i have no connectivity issues (i use a wired connection)  .
the analog audio outputs are great at avoiding getting a new hdmi receiver , when you can figure out how to configure them  .
not the best , but it certainly serves its purpose well and has a good mix of features .
i is disappointed , and feel a little misled , given the wireless technology used in the device is 802  .
11n  .
my intent is to stream movies using my router's 5 ghz band and have my laptops etc connect via the 2  .
4 ghz band  .
however , the bd390 player only works with the 2  .
4 ghz  .
that band gets a little crowded in my house with the number of devices attached to it  .
this hurts the wireless video quality and defeats the reason why i bought it , for it wireless capability  .
now i have to wire it up  .
damn  .
i bought this player after reading the stellar review here  .
i am sad to report that image and sound quality were not even on par with the significantly older panasonic dmp    bd35  .
the picture seemed soft or perhaps the color is less saturated  .
the audio started making a crackling noise and i had to exchange the unit  .
the new unit had sound quality that is also worse than the panny  .
i ended up getting an oppo bdp    83 instead  .
it has superior picture and color , gold    standard anchor bay vrs up    conversion for standard def dvds , and killer sound  .
it also plays sacd and dvd    audio  .
it does cost $500 and i give up wireless streaming    but i can buy a roku box for $100 and get the best of both worlds  .
if you care more about quality and less about features , get the oppo  .
if you are looking for a cheaper option , as i is for a gift for my dad , grab the panasonic bdp    bd60 , which lacks some marginally useful features but delivers where it counts    video and audio quality  .
so , right now , i am really frustrated  .
i purposely use a wired connection  .
last night i is watching a netflix movie , missed something and tried to rewind  .
no connection  .
i just had it a second ago  .
the network drops for no apparent reason and comes back when it feels like it  .
and both the wired and wireless become non    functional  .
i tried the wps process to get a wireless connection  .
no dice  .
when it is complete , i could see it from the router management    view and then gone  .
i came across a similar reference that suggested putting the device in the router's dmz really , that's the best option  .
there is nothing on the lg website to remotely be of assistance (i think there are four knowledge base articles related to all of their video products)  .
the live chat didn't function the quasi    keyboard navigation is another pet    peeve  .
the advanced form of hunt and click required for youtube searches or (gawd forbid) trying to set up a 64    character wpa key) for the wireless connection is cumbersome  .
it would be nice to be able to connect a usb keyboard so with all of this , i really do not hate the product       if i did , it would be a lot easier to return it  .
when it has a mind to , it is a pretty incredible device  .
i used the fall to test the blu    ray out , and other than some overscan (mostly noticeable during the credits) , i is really happy  .
it's been hit and miss as it relates to the dvd display , with one title forced to 480p no matter what i tried and the other upscaling fine to 1080i so yeah , i am frustrated  .
i get a glimpse of nerd    nirvana , and then it gets yanked away  .
and what i am left with (for the moment) is a pretty expensive dvd player .
this is my first blu    ray player and i have to say that i'm very underwhelmed by it and will be returning it as soon as bestbuy opens up today i love integrated wifi for netflix and pc media access but the hdmi output does not work with my vizio gv47l lcd flat panel tv so i'm stuck with using the component outputs which cannot do 1080p  .
hours with first second level tech support at both manufacturers is futile with both claiming ignorance and disinterest in developing a solution  .
lg obviously released this product without ensuring full compatibility to existing televisions (firmware update to the lg did not help)  .
this vizio tv is 1080p and less than 2 years old  .
from an engineering and testing standpoint , there's no excuse for this and lg's dismissive customer/tech support failed to invoke any brand confidence in me not sure yet but i'm either going ps3 , samsung bd    p3600 or just wait for blu    ray players to mature for another year or so  .
the key functionality i want is blu    ray playback (in 1080p) , streaming netflix , and network access to pc media  .
gaming is a low priority with respect to the playback and uses i did experience with the bd390 , the unit seemed to work quite fluidly and flawlessly  .
upon isolating the hdmi compatibility issue with absolute certainty , i ran the device for a few days on 720p and 1080i through the component cables  .
all video and audio performance is great as far as a joe average consumer like me can discern  .
resolution , color , fluidity as well as basic 5  .
1 audio attributes were great while watching quantum of solace which stoutly challenges all such measures all connections and menu settings are quite simple with system navigation tasks feeling intuitive from first use  .
unfortunately i did not quite develop the same fluency with the playback functionality (resume , skip , markers , slow , fast    forward , etc  .
) which had me feeling very clumsy i connected the bd390 to my security enabled wireless network (n router on a 15mbs comcast cable line) seamlessly on the first try and got a netflix trial account started in a flash  .
netflix worked great even though resolution is very poor on the 47  .
lcd panel  .
the value of experience equation for streaming netflix is certainly the algebra between convenience and picture quality with the latter suffering greatly  .
i still like it very much though  .
connection to my wireless network is a breeze but i never bothered to sort out the vista side issues that made my pc media access attempts from the bd390 result in  .
pc media sharing not authorized  .
slaps in the face so overall i'm neutral to dissatisfied with the lg bd390 and also now less enthusiastic about blu    ray in general  .
m somewhat annoyed with the value tradeoffs of the experience and will likely hover for months hoping for product developments before advancing .
this is our first blu ray player  .
it plays movies great and we have no complaints with the performance of the machine in its primary function , which is to play dvd and bluray movies  .
however , we are increasingly frustrated and disappointed in the player's wifi connectivity  .
most of the time the player doesnt recognize the network  .
no amount of fiddling with the settings improves this situation  .
when it does recognize the network , the video does not stream for more than a minute or two (after taking ten minutes to load) before shutting down or dropping the connection altogether  .
we have the same problem with youtube , and we havent even tried to use the other features after all the time we have wasted on getting the wireless to work  .
we have replaced the router (not the problem)  .
we do not have the option of hardwiring to the network , no ethernet connection in our media space  .
i am very disappointed in this , and even with tons of researching have not found a solution  .
if anyone has a remedy , i would love to hear it  .
unfortunately we are past our return period , so exchanging is not an option  .
overall , a great bluray player but not worth the extra we paid to get the wireless features , that dont work .
lg customer support has little to no technical knowledge  .
apparently reading potential solutions directly from script  .
have hard wired to ensure firmware is properly downloaded and current without success in reviving unit  .
disappointed and will not purchase lg products in the future  .
bad product supported by equally bad customer service .
it does not read the disc sometimes  .
it has been only 9 months and i am experiencing the problem for the last 2 month i tried cleaning it with disc cleaner but it shows no disc  .
sometimes it shows error the labour charge is high  .
i alraedy paid more than 400 for it and now again after 9 months i have to pay $70  .
this  .
really hurts  .
what is the benefit to buy such a costly product which cannot even work for 2 to 3 yrs properly .
there is no other product that appears to compare in functionality of this device  .
it set up and worked so well initially but i got nervous when blu rays were not being read smoothly by the machine  .
it's no fun having a movie quit 7 minutes in  .
then , suddenly , no disc would work  .
it would show on screen the rotating disc upon insert and then read no disc  .
neither type worked  .
i had to return it  .
this apparently is happening to some of these units according to a web search  .
thankfully , best buy had an extended return for xmas gifts  .
they did not have another in stock in a 50 mile radius  .
they had no comparable model with wifi  .
i do not know what to do to replace it  .
color me really disappointed .
the unit does not work as advertised  .
the lg service is terrible  .
i know this is to rate the unit , but the service seems to find everything else in my home at fault except their unit i do not recommend purchase of this unit until this gets addressed properly  .
when it does , this unit will get all five stars  .
again , works great when it works .
purchased this player in june of 2009 , worked great for about 10 months , firmware upgrades almost every other month  .
