i have been using iwork '09 ever since i got my new mac  .
really try to maintain loyalty and appreciation for apple products but this sort of thing is pretty questionanle .
why is line numbering such a pain in the neck  .
nearly there but not quite .
fix the office/iwork compatibility and i am sold  .
until that time , we will use office for mac only because we have not fully migrated over to macs yet  .
we still have 2 pcs in the house and a lot of files for which we need access on both macs and pcs .
i have liked and used appleworks for years , but mac os 10  .
5 regrettable causes occasional quirkiness in appleworks  .
in comparison to appleworks , i dislike pages and numbers because the programs are needlessly complex and difficult to learn  .
(i don't use keynotes  .
) i've bought three books to seek help , but it's not ben worth the trouble  .
the highly    touted templates offer me almost nothing since i don't want to do what the templates allegedly make easy  .
there is no database in iworks even though one can try to make numbers serve  .
but why  .
the programs do things for me that i do not want to do  .
but it's hard to undo them  .
i have stopped using iworks and have switched to neooffice  .
i find the latter easy to learn and easy to use  .
and the price is only a voluntary donation of any amount .
did some really strange stuff with my documents and i stopped using it after about 15 minutes  .
sure , i could have spent more time but i had work to do  .
so , believe it or not , i fell back onto google docs , which is better and free  .
if you require a standalone package that is free then i suggest open office ultimately , ms office for mac is the way to go  .
iworks really is not worth it for a working professional  .
if you originate your stuff from iworks or are a student writing from scratch  .
maybe  .
but , why buy this when you can get openoffice for free  .
Intuitive, easy to learn, excellent handling of graphics; Weak support for Website designers, no html support
Nice templates, easy to share with iwork.com, good user interface.; No issues till now but it takes more time to startup.
-Terrific UI. -Compatible with Word, Excel, Powerpoint. -iWork online integration to distribute copies to PC and Mac users. -Loads of templates. -Easy drag and drop functionality. -Apple retail stores offer FREE group tutorials every week; None whatsoever!
All the power most users will ever need. Keynote beats Power Point hands down; Some of the formatting doesn't port well to MS Office
Easy interface, many convenient and beautiful templates; No auto save feature, simply pressing a key can ruin everything, no advanced options -- you're stuck with what Apple gives you
Have used Microsoft Office for years, and think this software is much superior.; Excel compatibility could use a little work.
The hype sounds nice but can't really tell what it does BETTER than iWork '08. We don't have a review like MaximumPC that get into the nitty gritty and rates numerically from 1-10. Every mag and reviewer are sales types.; Seems more of an upgrade than a new app. One year old '08 shouldn't need a replacement.
Simple easy to use apps pages, keynote, Numbers doesn't require a lot of learning to get the most out of the suite; None that I can think of
Easy to use and comprehensive suite with improved integration; Professional users will want a compare documents feature for Pages similar to Word
Great features, easy to use, great looking documents and presentation. Intuitive way of doing things and fantastic transitions for both professional and personal presentations. Best productivity software for Mac.; Some small flaws in formatting of text boxes, lack of support for saving documents in the .docx, ,pptx etc.
Nothing that I can think of.; Did not accept all macros and formatting from Windows based Office. Don't buy this thinking you will be able to bring in Excel spreadsheets and Word docs home to work.
It works great for average users, and allows the user to make stunning presentations, documents, or spreadsheets to share with the world.; The Support section is sometimes unhelpful, and it took me a while to figure out how to make a chart in Numbers.
Just similar enough to MS Office to make for a smooth transition from one to the other. Many more templates than MS Office. Nice looking, smooth graphics. "Inspector" in each of the programs makes for simple and precise corrections and edits.; Would love to see an auto-save feature. A few small bug fixes here and there for the first version are needed.
Pages will translate Word documents with fair accuracy, although some formatting is not translated perfectly. Pages will easily produce a PDF formatted document.; After using AppleWorks with great satisfaction for years for word processing, spread sheets, and data bases, I find Pages and Numbers complex and very difficult to learn.These programs do things "for me" that I didn't ask for and find hard to undo.
Pages templates, Numbers number crunching and Keynote updates are very good and well worth a look.. Keynote is still the one to beat.; Poor handling of tables, line numbering as well as word/excel compatibility and auto save issues still make Pages and Numbers the second choice when it comes to word processing and spreadsheets. Although the gap is closing fast.
Hugely flexible and creative. Might push Microsoft Word and Excel teams to make some real improvements in order to compete - then the benefits will continue to flow to all users, even though for Windows, it will be stuck at trickle-down level.; iWork is just not widely enough used yet, but that will change.
It's very intuitive, easy to use, and I personally prefer iWork to MS Office. (OK I admit it a fanboy since the 90's); Am never going to use iWork for work until I can open Word and Excel documents, edit, save and then send on to clients without any one being aware that I am not using a MS product.
Keynote runs circles around PowerPoint. Pages is the best graphic layout application I've used (different class from InDesign entirely). I use it mainly for marketing posters and MS Word is no match. The "instant alpha" feature is a Godsend.; No major cons, although I would like to see a more conservative resume template. The ones included are still to flamboyant for professional-type careers, and there is often too much white space on the page.
A ton of great new features, some new templates, and full screen, which i use every day, make this a great alternative to the Microsoft Office Suite for Mac.It is also almost half the price!!!! (neat visual fade in/out effects make it even better!); seems to take a little longer to start up then the old 2008 version
Like the Numbers program better than Excel, but cannot save in program readable by both Numbers and Excel which we still have on our PC machines. Like Word better than Pages. Like Keynote just fine.; We have used used PCs for many years, &#38; are migrating to MACs. However we still have PCs in house and a lot of files generated in Microsoft Office. We can read them fine, but cannot save in a file that can still be read by PCs. MACs read them fine.
