but it  .
this is definitely the best ipod i've ever owned  .
i have an iphone so i was not too sure if i would want another ipod , but after having this little guy and using it to work out i don't think i'll ever use my iphone while i work out again because this thing is so incredibly small , thin , and light  .
the addition of an fm radio is also fantastic because i love switching to the radio sometimes , or if you're on a treadmill , bike , etc at the gym then you can tune this guy to the gym televisions , which is phenomenal  .
the ui is so smooth and beautiful and the accelerometer is , dare i say it , better and faster than the iphone's (but it does not have all the data to compute that the iphone does)  .
the video sensor is at a little bit of an awkward place on the back (right where the hand would sit naturally) , but that's definitely not a deal breaker  .
the speaker and the audio playback without headphones are surprisingly good  .
i played some john mayer in my bedroom and had to turn it down because it is too loud (but in a relatively quiet environment)  .
this is an amazing little device and i highly recommend it to anyone who is thinking about their first ipod or replacing and old ipod or wanting something a little less cumbersome than the iphone at the gym .
i like it but it can still be improved .
i bought a the silver one of this product    line  .
the device looks shiny polished and it has the neat clean looking among any other mp3 player the screen  .
it is bright or should i say it's over powered by brightness  .
since at just 10% brightness it would is enough for me to view the display and going at 100% brightness would burn your eyes and could be your flashlight in dark room  .
imagine that's how bright the screen is  .
beside of that what i love about this display is how crisp and sharp it is you won't experience any blurred text or images so does video's or umm not unless you downloaded a real blurred down size image unibody or the device itself  .
in any color you get polished design like a glossy shiny device made of aluminum this is pretty useful from scratches but kinda a cons for the polished display since the whole device itself is polished  .
the screen is prone to smudges and finger prints getting a screen protector would solve this problem  .
the good thing in this design it's not a cheap looking product even from the previous ipod's it never looked cheap  .
overall i love the design for me there's nothing wrong with it the speaker  .
don't expect the speaker would be your amplifier or will be your portable speaker if you want background music while having conversation cause it's not powerful as mobile phone speakers  .
would be useful as an alarm speaker if you can wake easily or your ipod will keep beeping the whole day and your super late in your work  .
speaker somehow useful somehow not video cam , let clear this out it's only a video cam there is no capturing feature for images maybe because apple decide to add this feature in the 6th gen nano , as usual  .
the video cam i pretty impressive useful and record video clearly in sunny and daylight condition because in night your screen would turn black as you cannot see anything using in dark areas or night there is no night mode so you just get a video cam  .
for me it's useful addition for an mp3 player reason it's worth it mp3 quality    or music quality , it deliver the pro quality and it somehow reduces the buzzing and it enhance the clarity comparing from other mp3 players it's like the quality you get from all iphone and ipod products i recommended getting and pairing dr  .
dre earphone's which cost the more than this but offers the maximum mp3 set it's like it's a must    have to complete your music experience cause it sounds like high definition in your ears like the singer is singing in front of you that could be possible using dr  .
dre tour earphone's  .
although the headset comes with the ipod is fine but it doesn't deliver the sound as what dr  .
dre's earphone offers and sometimes it's uncomfortable for ears cause the headset came with the ipod is wearing    off all the time for me the capacity , 8gb and 16gb ranges is huge and won't easily be filled so it's enough and pretty much plenty newer additions feature from previous ipod nano video cam fm radio voiceover  .
it is something like a narrator which tells you the title of the song and artist  .
it's like the ipod is speaking  .
pedometer  .
for jogging or walking recording feature which tells you how far you walked from where you activate it and you would find more impressive feature after you have the device bottom    line it's worth what you pay for , long lasting device  .
strong durable and reliable  .
ultra fast performance great design  .
totally worth for what your pay for but for some it would be heavy in your pocket i recommend having an ipod if you are really a music lover you live in this world to listen to music then do not think any other product range other than ipod  .
and having dr  .
dre earphone is perfect match for this device it's like the ultimate music set in your ears  .
and you pick the color you love  .
it's great works great and almost perfect .
its very very thin  .
my old samsung is horrible , so i had to buy an ipod because all my music and videos worked with itunes very well  .
its small , its even got a video camera  .
its got games and lots of cool gadgets for working out , calendars , alarm clocks , a cool menu system , and here's my favorite part , you dont even need headphones  .
there is a bult in speaker  .
the screen is just gigantic  .
its amazing what apple did to this ipod  .
this is a great product , however , you might need the 16gb because i regret getting the 8gb because im running low on space  .
if you have lots of videos and songs , get the 16gb  .
there are a few downsides though  .
the control buttons are very sensitive , and sometimes annoying  .
the screen can get dirty so buying a protector case is recommended  .
i ran into a problem in the beginning of corrupting the ipod , but i found out that you need to eject your ipod before disconnecting it  .
a great product  .
i do recommend this product .
this mp3 player is almost worth it just for the excellent camera , this camera has auto    focus , x    ray (for you sicko's lol) , and lots of other features (everything else is in the pro and con thing  .
i just got the ipod nano a week ago , and so far i am very pleased  .
it not only has good music and video playback , but it now has a video camera  .
i have already taken several videos  .
though the video camera certainly is not professional quality , it's good for anyone looking to make a youtube video  .
unfortunately , apple decided to place it right where i tend to hold the ipod , so i have to make a conscious effort not to hold it there  .
for some reason , this camera cannot take photos either , which is a bit of a disappointment  .
overall , i am pleased with the camera , though  .
it also has a good radio , with the option of live pause , which can be useful if you're in the middle of your favorite song and need to go to the bathroom or something  .
overall , i am very pleased with my ipod .
i have an ipod classic , but wanted something that i could carry around everywhere  .
this is an awesome machine for that purpose  .
i love it .
i love my new ipod nano  .
i highly recommend this product to those who do not want an ipod touch or an iphone , but want a decent mp3 player  .
the ipod nano fit this role a long time ago , but now the 5g has much more .
functions and navigation through various menus and operations intuitive .
i regularly carry this camera in one of my classes where students learn evaluation techniques  .
i love the ability to capture a short sequence demonstrating the proper technique and quickly upload it to a server or website for the entire class to use  .
for my needs , the perfect combination of size and performance .
buy it  .
http  //www  .
ipod    depot  .
com has some good prices  .
i've had my fair share of ipods , 9 to be exact , all nanos down the the 2nd generation , this one has to be the best by far  .
i is so excited when i saw it came in so many colors for the same price and it takes videos  .
everythings great about it besides the face that it takes a genius to upload the videos on to your pc , and it comes in mp4 format , which is weird on pc's  .
it also doesnt take pictures , which is deppressing .
i chose the nano over the itouch because of the size , and the fact that i would never use most of the game and video features on the itouch  .
i love the new size , it fits perfectly into a back pocket  .
the new fm radio feature is great , although i have difficulty getting reception for many stations that i usually have no problem with on other fm radios  .
the battery life is not the greatest    it lasts a good work day , but i have to stop and re    charge after about 10 hours of use  .
i've also found that you cannot actually use the ipod while it's charging  .
i found it a little weird that you can shoot video on it , but cannot take still pictures  .
you can store pictures on the nano , but cannot take them seems like apple could have taken it a little further there  .
the video quality is surprisingly pretty decent considering the size of the nano  .
sound quality is excellent as usual with apple products  .
overall i'm pretty happy with my purchase , but there are a few things i think can be improved .
real nice new features but having just bought my ipod less than a year ago , i wish i could at least get some credit towards the new more advanced ipod ; gail a href   http  //dietinstitute  .
net/2009/08/gail    slim/ slim /a  .
ok camera no purpose in the cover flow to confusing when you tilt it cause it panics  .
the voices sounds like shes constipated  .
if you do not need the video , stick with ur old ipod  .
battery life isterrible .
i is excited to open up my new ipod  .
i got it mainly for the larger capacity to get more of my newly beloved apple lossless songs onto a smaller device  .
this excitement is short lived because i found a few things to hate pretty quickly first and foremost , this new nano is not compatible with the charging function of my 2009 vw's built    in ipod dock  .
2009  .
it cannot be obsolete already  .
not only did it not charge , it actually seemed to suck battery life out of the ipod taking what should be a 24    hour play cycle and turning it into 45 minutes  .
i thought i had a battery problem until i researched it more  .
i thought , leave it to apple to marginalize their own product line from a year ago to force you into all new accessories  .
evidently , many charging and syncing products use firewire as a connection instead of the standard usb  .
apple conveniently left the firewire portion out of the 4th generation nano (i is replacing a 3rd gen , so i did not know) in short , apple gets a wag of the finger from my car charger and car dock second on my anticipation list is the video camera  .
i had heard about the questionable location of the actual camera , but i thought how bad could it really be  .
it's bad  .
it's right where you want to hold the thing  .
it makes it hard to film something and actually see what you're filming simultaneously which ultimately defeats its cool factor beyond that , it's your standard ipod nano  .
sleek , chic , compact , cool , and functional  .
graphics were clean and crisp  .
organization as simple as ever  .
the pedometer is a great addition  .
if i never listened to it in the car , i would have loved it  .
but given how much time i do spend in my car , i cannot overlook the glaring inability to sync and charge at the same time , which is why for me , it's only a 3    star product  .
if you have a usb based sync in your car , you're probably ok but research it before you buy .
well to start , i bought the (product)red ipod nano 16gb  .
have to promote aids awareness  .
i used to use a motorola bluetooth adaptor with my sony bluetooth headphones  .
now the bluetooth does not transmit sound to the headphones , but i can still control the play/pause and track skip (does anyone know if there is afix for this  .
) i am pissed that i cant use the bluetooth , and now have to use wired headphones like the rest of you but besides this , its a great ipod  .
we ordered a 16gb 5g unit direct from apple for one in our household to replace her filled 3g 'stubby' nano ; the local apple store still hadn't received their initial batch at the time  .
the intended one chose purple as her color of chose based on the images on apple's website ; is disappointed when the unit arrived  .
color is far darker than advertised , though to my eyes is still rich and lush with the new gloss coating (but then i'm easier to please) despite the similarly sized click wheel to the 3g nano , the 5g's is easier to operate , i think because of the 5g's long body  .
response is fluid and seemless , with no hesitation or jerkiness that the 3g sometimes would exhibit  .
menu orientation is standard apple (e  .
, easy    to    use and logical in its presentation)  .
this thing does tons of things , and most exceeding well  .
that said , the accelerometer seems 'sticky' at times  .
the hold switch on the top of the unit is rather dainty ; with the dlo 5g clear shell on it pays to have small fingers to get access to it video looks good to great on the player , but the display washes out severely in bright ambient light ; not a convincing oled competitor here  .
the 5g is incredibly lightweight ; i compare it against my old 2g nano and i'm really surprised at the difference  .
that said , i feel that there's also a loss in the 'feel' of the player as a result ; there's not feeling of solidity with the 5g , a substantialness and confidence in the build    quality that a certain amount of weight brings , despite the aluminum housing that the 5g comes in pack    ins are standard fare these days ; less    than    enthusiastic toss    in ear buds , a dock insert , proprietary 30    pin ipod usb cable , all in a clear plastic case that is the same size if not identical as the one my 2g nano came in (when compared side    to    side) the video camera and mic are neat , though cnet is right   the video quality is not going to set the world ablaze  .
that said , it is a neat feature that i know is going to make someone in our household quite pleased , even if the one on her camera does video recording better  .
the fm tuner is really nice ; finally apple has addressed this particular oversight and built    in an fm tuner rather than trying quite unconvincingly to burden users with the extra    hassle , extra    cost extension cable tuner  .
i've had one of those and i rarely ever bothered to pull it out to use on my old ipods , instead reaching for my zune or x    fi instead when i wanted radio  .
the 5g nano's fm section is easily a match to the one on my zune 8 and 80 units ; simply put , it's simple , straightforward and a pleasure to use many of the extra features seem quite nice ; i'm sure the nike+ipod will get a thorough working out (no pun intended) , as will the pedometer and perhaps the stopwatch  .
games , at least to me , are less    than    convincing mostly because the click wheel was not the best gaming all    around interface from my past experiences on my old 80gb 5  .
5g ipod  .
while the calendar and contacts function is nice , i doubt that they'll ever be used since it doubles up on functions already being used on the cellphone  .
the built    in speaker is rather pathetic    sounding , but i suppose some might find it appealing in a pinch but i saved the worst for last   the biggest gripe i have with this latest generation nano is one that i have with almost all ipods in general   middling at best audio sound quality  .
this ipod does not go any way at all at improving the breed , even if the 'random play' shake is oh    so    cute , cross    fading is nice , and the player does have some usable functions , like its ability to show how much storage is available  .
compared to the new 16gb sony walkman s545 that my wife recently bought , apple frankly should be put off by the obvious discrepancy in audio quality , particularly keen for a player that my wife a little over $100 for during the sony style store's recent labor day promotion  .
sure the sony s has its own issues , but for over $75 less most of those can be dealt with and certainly great    sounding audio is not one of those she'll be concerning herself with  .
as for itunes 9 well it works on my old xp media machine  .
so far nothing has broken (fingers crossed) , like the early versions of 7 and 8 did  .
my 2g touch seems to work fine with it , as does a couple of earlier ipods i've tried (such as the previously mentioned 3g nano , for instance) i'm sure that there are plenty of other niceties that i've overlooked (like voice recording , for instance) ; this nano does pack plenty of functions in for the money  .
but for me , it's always been about the music itself ; the lackluster audio quality that apple too often seems so oblivious to is the one aspect that will for ever make me question my own 'next purchase' for any future pmp/dap device  .
as much as i like the functionality of my touch , i rarely use it for music so it seldom goes anywhere with me  .
other brands may have other issues , but where it counts i invariably will go elsewhere 3 stars , due of the sq flaws .
though they still have a good support system with i    tunes i don't see much change  .
i do not think most people will need a pedometer  .
fm other systems had years ago  .
i would have liked to see hd radio along with fm to compete with the zune hd  .
most players had microphones years ago also  .
creative players had a speakers for a while now  .
my wife has a zen mosaic with a speaker and my daughter has a zen stone plus with one  .
the camera though fun is not really needed  .
maybe without that they could drop the price under $100  .
the aluminum casing rocks and the display is awesome  .
it just seems to me with the exception of the touch it's the same old same old  .
i would still love to see a removable and changeable battery so i could keep one charged and be able just to swap it out if i am somewhere and cannot wait to charge it  .
but since most of the industry is going that way (sigh) i guess it's not a feature that will be implemented anytime soon .
i'm comparing this ipod to my first ipod , the 2nd generation nano  .
in my opinion the new 5th gen is more a fashion object than it is a mp3/4 player  .
it feels a lot less sturdy than the 2nd gen , it feels plasticky en the screen feels like you could scratch it any second  .
the quality feels much worse , because of the smaller , less    sensitive click wheel , the speaker that distorts sound at even 25% volume , and the fact that your itunes must be updated regularly to the latest version , which on windows , is an incredible pain  .
i doubt it will last as long as my last one (4 years)  .
a con on the other hand is the camera which has a very nice framerate , but the fact it is located at the bottom of the player means the lens will get dirty very easy from your hand  .
if you really like apple then go ahead and buy it but i wish i would have blown my money on something else  .
the video recorder is fantastic , the voice recorder is fantastic everything about the new nano is fantastic except for the one thing that is supposed to be the main reason for this device's existence   the sound quality is very poor .
this product is not worth the investment considering it's planned obsolecence with battery life .
since christmas day , we have returned the 1st one because it doesnt turn on  .
i dont know if its because the charge stinks or it is the model  .
i exchanged it for another one and on our 3rd day with the 2nd one the same issues  .
now , i am thinking we should go to the apple store  .
would it make any difference  .
i purchased it brand new at walmart because they had a special with a free $50  .
00 i tunes card  .
i dont know , im extremely upset and our daughter cant enjoy her gift  .
she wanted to upgrade from the ds to the dsi and i convinced her to go for the nano  .
it is suppose to do so much more than not turn on im not happy with it and have tried other ways of charging both of the nanos any suggestions  .
i guess when i waited for apples new release of the new nano for months just to find a camera , its a little disappointing .
they added crap (ie  .
the video/photo option really are you going to use this  .
) and made it so 3rd party apps/accessories do not work (ie  .
winamp , hardware accessories , etc)  .
Cute pink color. Video recorder. Radio player. Step meter. Tiny. Crisp and clear videos.; Battery life.
shiney, small, video camera; doesnt take pictures, bad quality videos, cant upload videos on a pc correctly.
small size, quality of video, integration with Apple software; placement of camera lens
Sleek, high capacity, larger screen, pedometer.; Charging compatibility - limited range of charging options. More below.. Video Camera was only so-so. Audio on the videos was even worse. Camera location?...what the hell were they thinking?
IT DOES EVERYTHING PROMISED, ALMOST; How do I get the radio to function on my Bose docking station ???
Light weight, cool color, bigger screen; Ipod swiched the earphone hole and dock hole, so now you have to buy new accessories. Bluetooth adaptor no longer works!!bluetooth
well,in our household we have had the classic, have the shuffle and Touch and have no problems. We bought the 5th gen for our 7 year old daughter because she loves to listen to music,play games and capture moments w/video.; compact, cute colors,video and holds enough on an 8 gig.
-an outstanding video camera. -plays HD videos. -exact size of 4th gen. -glossy finish. -affordable(because of features). -great sound quality. -24 hour s of music. -has a radio + live play/pause. -GREAT video quality; -camera's in bad place. -small click wheel. -radio reception not too good. -have to use iTunes(as always)
I tunes and a good support system. All I pods are easy to get movies onto. Size, camera.; FM Tuner and microphone that most other players had years ago. Still missing codecs like Flac, WMA, OGG, etc. Camera
-Functions nicely with dial.. -Genius works okay although it still needs some tweaking.; -Battery lasted 23 months. Unit will no longer charge and/or it doesn't recognize the battery altogether. Apple Genius Bar would not provide required paperwork for Credit Card Claim.
- Small and light enough to always carry. - Fully featured for a mini (music, movies, video and voice recording, fm radio) at a reasonable price point. - Beautiful. - Easy navigation; - 16gigs on the small side.
Perfect Size, new FM Radio feature, decent video quality, great sound quality; Short battery life, can't listen to music while charging battery, video camera but no picture camera, poor reception on FM radio
I love the new pedometer feature with "Fitness" submenu that lives in the Nano's "Extras" directory. Awesome idea to have the iTunes prompt you after it sees you've used the pedometer, to track your progress on the Nike+ Web site.; What do I do with my old ipod :(
I like the the enlarged screen and the live radio pause feature. Also the video feature and the speakers but it could be better.; I wish it had better sound quality when it comes to playing videos or music aloud.
Large crisp and large display, Battery life is long enough lasting a day and half in one full charge. Polished Aluminum Material which obviously doesn't look cheap. High-end iPod. Video Cam is pretty useful and clear enough in daylight use. Best Nano; Although some consumer would complain about the polished screen because it is prone to smudges and finger prints. Getting a case would solve this problem and would protect the iPod and it's pretty much PERFECT! ^^
I love the color of the blue, screen, sound quality, video; don't like the finish, it scratches easy so does the screen, and the camera lens. If you drop it on the top the hold button comes loose, and cause it is one sheet of metal it buckles when dropped so my click wheel is falling out. get the 3rd gen!!!
Very small and portable, good sound and video quality, radio, video camera; Bad placement of the camera with no option to take photos
Its a great Ipod. By far the best nano. Small and sturdy. Video Camera included, radio, games, calendar, alarm etc. Thin. Extremely durable. Alright pricing. Best place to buy is at Best Buy, not apple store. That saves you $10 on a protector for it.; The controls are very sensitive. Screen can get dirty and scratched easily so a screen protector is HIGHLY recommended.
Great UI, tons of features. Cover Flow is excellent to use. Video is easy and straightforward to use. Amazingly lightweight, especially compared to the competition.; Converse to its lightness, the nano has a rather unsubstantial feel to it. Color (purple) doesn't come close to matching the image on Apple's website, or the TV ads. VERY mediocre sound quality out-of-the-box; is Apple EVER going to improve on this?
The device itself is beautiful and the display is unmatched on this scale. It's really amazing just how big the screen is on such an incredibly thin device. The video works very well for such a small sensor and it is so easy and convenient to use.; None so far except that the new glossy finish does capture fingerprints more than the old, matte finish 4G Nano. But it is not incredibly noticeable.
Itunes lets you customize exactly where your songs begin and end.. Audio crossfade feature gives your music playback a great DJ effect which is unique to the Nano.. Compact package, yet it has a crisp video playback with ability to record on-the-fly; Such a "hot" item, that it can leave you paranoid and insecure that someone is going to steal it.. Would be nice if it had more games available in Itunes.. No wifi like the touch.
I like the styling and the many color choices. it is quite a lot faster than the 2nd edition nano which i had before this one.. the large screen is also very useful for watching movies on. first ipod to have radio without the stupid add-on; The speaker has a low sound quality, the albums menu shows an album as many times as there are artists in that album. It has a useless camera, and the connector doesn't connect properly to the ipod. Coverflow looks a bit useless.
Apple has finally added am FM Radio,which was a feature I was waiting for a very long time. The camera is also a nice addition (great quality btw), as is the pedometer (reasonably accurate) and the speaker (not perfect, but it works).; The only shortcoming was the fact that you can't take pictures with it. Who's heard of a camera that can't take pictures? Other than that nothing else is wrong with it.
Great features for music playback and video playback loaded up with all the extras that you'd be finding in your average smart phone, Excellent video camera quality with cool effects. Very cool ultra slim sized.; Shake to shuffle feature got a bit annoying and video camera is in the most random place so holding like a normal camera was not a good idea.
It's very portable and easy to hold. One of my favorite ipods. (the other is the itouch) I couldn't ask for more. considering the size of the screen, it still had crisp clear images and amazing new features such as the video camera.; The screen is a little small and not really "anti-glare". battery life shortened by about 2 hrs.
