once this machine is set up and running , it requires almost no attention  .
i had to pry the whole plastic unit away from the metal front casing so if the above method doesn't work , try brute force (just don't pry on the hard drive one you get the plastic holder away from the metal front piece , take out every screw you can see  .
be careful with the flat screw that holds the on/off switch (if your unit has one) since this is easy to strip  .
take out the 4 screws holding the sata circuitry to the hard drive and unplug the wires , the 3 screws holding the front switch , and the 4 screws holding the hard drive to the plastic piece  .
this allows you to remove the metal holder and the hard drive  .
now take off the 4 screws that hold the hard drive in place  .
then pry off the silicone washers  .
this releases the hard drive which is covered with a metal film  .
carefully pry/peal this off  .
don't damage the controller board this revealed a wd5000ks caviar drive se16 which is a sata drive made april 22 , 2006 western digital caviar se16 wd5000ks 500gb 7200 rpm 16mb cache sata 3  .
0gb/s hard drive    oem  .
no jumpers were installed i installed the drive into the internal slot of my powermac g5 and it now shows up on the desktop  .
i rebuilt the drive with disk warrior (it had minor errors) and checked it with smartreporter which reports that the drive passes the smart tests it's has been up for 5 hours and works fine , no data loss so , i think that the problem is with a defective sata connector/circuit  .
if you catch the drive early when it begins clicking (don't leave it on long with it clicking as this may mess up the hard drive heads) , you can remove the drive and use the sata circuits in your computer to mount the drive hope this helps  .
again , my advice is the minute you hear the clicking sounds , try fixing via usual techniques but if these do not work , take the hard drive out of the enclosure (sooner rather than later) and try it internally  .
this will void your warranty but might allow you to save your data (and maybe even the hard drive) .
used it for few months and having power down problem like everyone else  .
i was not diligent enough to do my research on the item before purchasing it  .
after it failed on me , i noticed lot of consumers having the same couple of problems  .
this hardware is definitely not reliable and i recommend everyone to stay away from any western digital external hard drives .
the drive showed signs of problems from day 1 when it would suddenly disconnect and give a delayed write error when copying very large (above 1 gb) files  .
i could live with that  .
but now it is not recognized by the computer at all , and you hear the characteristic clicks from the drive when it tries to start up  .
i've tried using diagnostic tools , such as mhdd and wd's own tools , but all of them fail to connect to it  .
my internet research shows that short of replacing the magnetic head stack (a cleanroom exercise) , nothing can save it  .
i've been using it for less than 2 years .
i will never buy a wd hard drive again  .
technical support is terrible  .
the drive only works some of the time  .
most times my computer wo not read the drive  .
then out of the blue it works  .
frustrating  .
i used the hard drive to store some media files and to back up my laptop each week i recently plugged it in to do the regular weekly back    up and got a message saying the drive needed to be formatted  .
i called western digital and they were not helpful at all told me the drive had failed and to google for a free data recovery program that did not work , as the drive was not recognized by the program or my computer (kept getting format message) , so i called a data recovery service  .
they said much of their business these days is recovering data from failed western digital books  .
i am now paying them a lot of money to recover my photos , music , etc , from a hard drive that lasted little more than a years i've learned two lessons to have two media storage sources and to never buy another western digital hard    drive  .
the review does not take into account the lifetime of the unit  .
my mybook unit died with less then 2 year limited use  .
left with hundreds of gb's lost data and no support  .
i have never had disks with such a short life span  .
searching the web i am not alone  .
my advise , seek for a more rugidized unit .
one year after purchasing two of these drives , both , within three weeks , have failed , (out of warranty)  .
after the first died and arguing for 2 hours with succesive customer support individuals , (you all know the rutine) they agreed to send me a rma for replacement , (additional cost time etc  .
i will not bother again as a replacement would be a waste of time , (i am certain the repplacement they sent for the first will fail)  .
i am moving on will never buy from western digital again  .
i is happy to see the nice sleek looking hd ; when it first arrived , and also is happy for quite a while although during regular usage i found it to be little slow than what i expected , but it is ok  .
someimes  .
i found that the external drive would not show up in the explorer , which , i found that , comes back with a  .
hard power cycle but the main nightmare happened when the whole drive became disfunctional one day  .
i could hear 6 clicking  .
noise when trying to access it , then the hd appears losing any internal motion  .
i lost many valuable data  .
stored there  .
honestly it appears to be a scam , while you are lured to buy a cheap hard drive , and in turn  .
the system crashes , and the data recovery takes about thousand  .
thenk twice before buying my book  .
the western digital my book is an excellent storage divice with a major flaw it is unreliable and may fail at any given moment  .
i had one sitting on my shelf for almost three years , to back up the data in my old dell  .
the western digital my book failed , but the hard drive in my old dell is still working  .
i will be buying a seagate with it's (5) five year warranty for my future back up storage forget about customer service a western digital , the guy in india is more help .
in the case of unplugging without shutting down or , if you have a power outtage all the data is lost and the drive is no longer usuable    at all  .
no putting data back on it  .
it's trashed permanently  .
i looked it up on their web site and this is listed as a standard function of power loss .
i bought this drive in january of last year and it stopped responding this month (may)  .
i have had the drive for barely 16 months and it is already useless and all my data is lost unless i can find a way to get the drive to respond  .
when i sent wd support an email they just said that it is out of warranty and they can do nothing for me  .
with a failure time of 16 months and a warranty period of 1 year you do not want to spend the money that they ask for this piece of junk  .
if it is just a few bad sectors then at least i may have been able to recover most of my data but it just stopped working altogether  .
wd do not give a hoot about their customers and i think that they deliberately choose a short warranty period because their product is rubbish and it would cost them too much to support us  .
instead we customers pay the price for trusting them and their slogans that there drives are designed to protect our data  .
now there is a lawsuit for misrepresentation just waiting to happen .
this drive is pretty  .
yeah , that's about it  .
it's a western digital , so the story is automatically bad let's start with the first and main problem   the board died  .
wd won't touch it because the serial number doesn't match the drive's model  .
the serial number reports a 300 gb internal hard disk , and mine is an external 250  .
being me , curious , i took it apart because i could not get service  .
i've found which chip it is   it's a st semi power controller that's getting very , very , very hot  .
it left a small red mark when it actually worked , it is very slow to read and write  .
the processor is a simple oxford semi , and it's not too fast it put off a lot of heat and for the first couple days a burning electrical smell that is sickening  .
had to have a fan beside it it made horrible vibrating noises and it is very loud go get a seagate or a lacie or a smartdisk  .
wd is awful western digital  .
because we hate you (tm)  .
i trusted this to be a great hard drive but when you try to access the drive and all you get is drive must be formatted when you have 10 gig of personal pics , data and music that you cant recover  .
whats the sence of even having a drive to store on big dissapointment as well as you trust your storage to be safe when all it does is lose it never will i ever buy another western digital my book or any of its products i would have rated this a minus 10 but 1 is the lowest it would rate it  .
drive is 1 week old and it already has bad sectors  .
i've had two of these fail already due to bad cards on the hdd itself  .
drive is slow when you move data to another device , around on the drive itself , or even listing files  .
drive will power down on it's own to save power  .
the power down is horrible because xp hangs whenever you try to access a filestore , even one which is not on the drive  .
empty recycle bin  .
spin up external drive  .
open my computer  .
spin up external drive  .
save a file to your desktop  .
spin up external drive again , do not purchase this device  .
if you want an external drive , get one with a power switch .
very disappointed in this hardware  .
i thought westerndigital had integrity , but i think the pointy    hair manager said ship    it regardless of the issues i cannot image they where unaware that the disk would unexpectedly turn itself off or something , it happens so often  .
